,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_L,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_R,Thal_MDm_L,Precentral_L,LC_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_R,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pc_R,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R
SN_pr_L,1.0,0.31657553835742147,0.15354598479643375,0.18112126414307056,-0.014956492008270577,0.045796836174279126,0.3231414452567696,0.011653455713850994,-0.04107409541332834,0.3904528463017729,-0.020763252294089603,0.15666772953793917,0.3037720705778864,0.17068694545536034,0.2926725369690547,0.10144944255018505,0.4531469167596638,0.04011466350526482,0.4749755518606706,0.26102940248373946,0.16488677847985134,0.04721494817136755,0.24896015525998264,0.3218136747131868,-0.14046815763004192,0.11594834608999074,-0.20921293493745508,0.15566087220332692,0.2397614609798641,0.275337165522633,0.07455305660616396,-0.005752121384161532,0.23712161502623838,0.16914685192513274,0.33336741935168956,0.32381561761552813,0.23906977328103274,0.1593271360104566,0.05926212571592987,0.28785647047527924
Thal_MDl_R,0.31657553835742147,1.0,-0.21130858299344144,0.2034296024665703,0.2646688171077121,0.6308403704993111,-0.1299600238646553,0.19407285905781535,0.00877843060560584,0.4210776876654171,0.24009749563275418,0.28239285875859027,0.6275452203078032,0.6150479012395527,-0.16930006143064708,0.538618630343685,0.6872978921713129,0.5540987954061628,0.5387503298392733,0.6797332572070778,-0.33080311046649763,-0.25678134370618744,0.6668268732554639,0.5520388666562465,0.38869273092308815,0.6188200880640741,0.34276662854370665,0.2730366090840851,0.5483354020213262,0.34275893258070866,-0.16821608587738396,0.5760271877179187,-0.24341348722237882,0.5492199219754564,0.699187746214287,-0.025628266708131058,-0.18084561466875948,0.23260360002735117,0.5397187589681282,0.6995433663195423
OFCpost_R,0.15354598479643375,-0.21130858299344144,1.0,0.31610107463006154,-0.373870178770682,-0.32059552699482385,0.6580692186475968,-0.28516431904556827,0.46002070131064193,-0.3868083744096975,-0.4066209689736066,-0.2778843595202972,-0.20155478777211316,-0.46562116420377403,0.5437597970295128,-0.48056867000116704,-0.4001283111177044,-0.5211949407249572,0.08094161413852949,-0.16495852924850055,0.7130905115887265,0.5185543997559613,-0.44656899092502667,-0.2702395683066771,-0.5643896030348422,-0.5964357913976822,-0.19362136252460999,-0.39402200824626565,-0.3783813593692102,-0.021772975846764502,0.6163688498203689,-0.42759385915122333,0.6032832870294617,-0.5773876241615776,-0.412918755358285,0.48455929084115285,0.662120429401136,-0.05080693731234362,-0.6120226333579684,-0.35634695294302315
Temporal_Sup_R,0.18112126414307056,0.2034296024665703,0.31610107463006154,1.0,-0.26007236219883584,0.14995020524196379,0.6206181613906291,-0.19149012228456977,0.58023654624629,0.39537594349572674,-0.4075849670215821,0.27580940791740705,0.042814565977820504,0.13659552833783303,0.5194175533289141,0.24031156736327255,0.20942150274462037,0.09804145570075315,0.6940444716837341,0.3885962713103132,0.4348175259212309,0.31723768981688266,0.07166495259989619,0.22192901313668345,-0.45680396990174876,0.08972557801534721,-0.01973755014218946,-0.1412934247970462,0.1730762469833108,0.42030928929538325,0.4952995998346429,0.06580721651286474,0.46133828140609745,0.10846311475626465,0.41444546926420534,0.4871613666809896,0.5096560667588645,0.11579802055762006,-0.1354415935376444,0.4057060082614372
OFClat_L,-0.014956492008270577,0.2646688171077121,-0.373870178770682,-0.26007236219883584,1.0,0.33277368495478005,-0.5115765992283675,0.29491813869994027,-0.33465797372824574,0.20170487108081486,0.3045018503996993,0.18610820888236254,0.19846082963405295,0.3887055071461859,-0.34039133515933284,0.45279492396097165,0.42667724035319915,0.4789184058733424,-0.054152462379867504,0.12203550282731701,-0.5341316987225135,0.04364237789047288,0.6639229948093247,0.2084031717879795,0.4995342229645595,0.4566654274255687,0.21772040084921115,0.3793967048489272,0.42519358305517496,0.1275572345263081,-0.6532581790462518,0.38621931147726696,-0.4209151501910611,0.4548680505301642,0.3336947364890194,-0.4391127099440647,-0.4439513819709859,0.17343315708117335,0.5689380100613814,0.4325128613123777
Heschl_R,0.045796836174279126,0.6308403704993111,-0.32059552699482385,0.14995020524196379,0.33277368495478005,1.0,-0.3282753917740242,0.1919232770024844,0.1712457261223316,0.383322170876504,0.32353117902983913,0.39503072446012266,0.6677517210695412,0.655108877204214,-0.3117125655544369,0.6262263259068125,0.4867378068122432,0.6439748374280639,0.40541948442539766,0.662270689634304,-0.5279531574232021,-0.24324225133482083,0.6845925627063196,0.6003311174410831,0.5607095887713275,0.7643665106061489,0.3506283955643687,0.37608937192415015,0.6228397201192393,0.33142170860690107,-0.2904160342070364,0.6477053060107132,-0.39268835482256687,0.5729226566871463,0.7112091228931605,-0.17220471087917272,-0.24750038516323716,0.40301871346459894,0.5880736109186092,0.7750515428579896
Cuneus_L,0.3231414452567696,-0.1299600238646553,0.6580692186475968,0.6206181613906291,-0.5115765992283675,-0.3282753917740242,1.0,-0.289780159282068,0.5409357233896831,-0.08117568103984502,-0.6734097272896993,-0.011639097912438355,-0.1949512793467678,-0.3043596709911618,0.8045777533382458,-0.4567763531073002,-0.14405661782477308,-0.5729152386453402,0.456858096566776,0.05900335411121514,0.8864214830336726,0.4887953666453244,-0.39390006810226535,-0.00830177136923285,-0.7853984144705801,-0.5341069263727276,-0.21671643072999458,-0.28013609251486765,-0.15660868072415815,0.24550147923079021,0.6903630012109857,-0.5198458885020498,0.8749309709205818,-0.5191692154334583,-0.16377826156723216,0.7596772301216265,0.8179122987643411,-0.07461825625729182,-0.7040095453848692,-0.20801821689766833
Occipital_Inf_R,0.011653455713850994,0.19407285905781535,-0.28516431904556827,-0.19149012228456977,0.29491813869994027,0.1919232770024844,-0.289780159282068,1.0,-0.09006912399983179,0.05977522815315139,0.12704104423400062,0.158746535747113,0.19357628828741077,0.26645548633245597,-0.20112467041795806,0.1224718213270586,0.18666182481253407,0.1345533646824501,-0.08281980240352564,0.08063679587943161,-0.3307110442720919,-0.09816170587470778,0.2259812700277668,0.19670012172978502,0.34816364066934874,0.18145215223533867,0.10857175121049975,0.29187028349337313,0.29508727917099414,0.21053819904518375,-0.3503289368968116,0.11815569748420067,-0.1750791663807604,0.15493609287362545,0.12429348546621313,-0.09906167125402979,-0.2008996995951415,0.0925454014575352,0.2114281084135509,0.11549090531460098
Temporal_Inf_R,-0.04107409541332834,0.00877843060560584,0.46002070131064193,0.58023654624629,-0.33465797372824574,0.1712457261223316,0.5409357233896831,-0.09006912399983179,1.0,-0.12722921344108187,-0.4671472341028799,0.09565280715773532,0.15598116012292632,0.017153772733598287,0.48321830816889316,-0.1350031789760531,-0.24713420647152776,-0.21293448968367523,0.36634672644430655,0.24691241427013447,0.454261334693263,0.3523819553035983,-0.23422029225823335,0.20349048904317696,-0.3301248937758284,-0.14664193538882406,0.08518743891253878,-0.03561541448556883,0.07656534065005025,0.37898950122867997,0.4596227174784222,-0.1630832985533059,0.5233936682950444,-0.313577283255743,0.010768207074798737,0.6142246137065857,0.6426145687694783,0.13456381640164333,-0.4473374794317464,0.05632719166320891
Red_N_L,0.3904528463017729,0.4210776876654171,-0.3868083744096975,0.39537594349572674,0.20170487108081486,0.383322170876504,-0.08117568103984502,0.05977522815315139,-0.12722921344108187,1.0,0.26336667950161124,0.4667192359958518,0.2993762153750324,0.516066016185868,-0.13253976838444276,0.6889702531288837,0.7736710741801204,0.581848952147979,0.5861688233845997,0.393401811607267,-0.2504689109650384,-0.28449878922988814,0.6436649006018048,0.3849735590210234,0.17321288164994694,0.6785570431298265,-0.01765444421346676,0.2344174044422647,0.4565581496231246,0.28843453460238905,-0.20423646846608687,0.4266635000784194,-0.20733658458174464,0.7590308259038994,0.757677131525563,-0.08129044939038432,-0.20350606341875496,0.29548149983834066,0.5836212909454372,0.6650330326416598
