,Parietal_Inf_R,Frontal_Sup_Medial_L,Thal_MDm_R,Frontal_Med_Orb_L,Paracentral_Lobule_L,ParaHippocampal_L,Frontal_Med_Orb_R,Cuneus_L,Vermis_4_5,Thal_VA_L,Vermis_6,Thal_PuA_R,Frontal_Sup_2_L,Thal_MDl_R,Vermis_10,VTA_L,N_Acc_R,Rectus_L,OFCpost_R,Cingulate_Post_R,Hippocampus_L,Occipital_Mid_R,Vermis_8,Cuneus_R,Thal_PuI_L,Lingual_R,OFCant_R,Temporal_Mid_L,SN_pc_L,Pallidum_R,ACC_sup_L,Rectus_R,Fusiform_L,Thal_IL_R,Frontal_Inf_Tri_R,Angular_R,SupraMarginal_R,Vermis_1_2,Calcarine_R,Heschl_L,Thal_PuL_R,Thal_VA_R,Red_N_L,Postcentral_R,Thal_PuM_L,Thal_PuL_L,Thal_VPL_L,Frontal_Inf_Tri_L,Pallidum_L,Frontal_Sup_2_R,Cerebellum_Crus1_L,Supp_Motor_Area_R,Hippocampus_R,SN_pr_R,Vermis_7,Thal_LGN_L,Precuneus_R,Cingulate_Mid_L,Cerebellum_Crus2_R,Rolandic_Oper_R,Cerebellum_3_R,Cerebellum_8_R,Cerebellum_10_R,Thal_MDm_L,Thal_IL_L,Temporal_Pole_Sup_R,Frontal_Mid_2_L,Vermis_9,LC_R,LC_L,Temporal_Sup_L,ACC_sup_R,Temporal_Pole_Mid_R,Cerebellum_6_R,Precentral_L,Cerebellum_9_R,Thal_LGN_R,Precuneus_L,Lingual_L,Cerebellum_3_L,Parietal_Sup_R,Parietal_Sup_L,Heschl_R,OFClat_L,Temporal_Mid_R,Putamen_R,Calcarine_L,Occipital_Sup_R,Postcentral_L,ACC_pre_R,SN_pc_R,OFCmed_R,Occipital_Inf_R,N_Acc_L,Cerebellum_8_L,Temporal_Pole_Mid_L,SupraMarginal_L,Cerebellum_7b_R,Cerebellum_Crus1_R,SN_pr_L,Frontal_Inf_Orb_2_L,Parietal_Inf_L,Cerebellum_7b_L,Supp_Motor_Area_L,Frontal_Inf_Oper_L,Thal_LP_R,Amygdala_R,Angular_L,Fusiform_R,Frontal_Sup_Medial_R,Cerebellum_Crus2_L,Thal_AV_R,OFCpost_L,Thal_LP_L,Caudate_L
Parietal_Inf_R,1.0,0.346527574473541,0.5458409834899226,0.08803367452854238,0.7606340769934765,0.5763189989859901,0.10119499634553025,0.6954531827525579,0.5474183277142777,-0.0603415387220036,0.48809828464538935,0.3268743395693861,0.43037413749371684,0.3105161814002746,0.21018819288711085,0.3930164235923999,-0.22020260817153559,-0.1585403476931215,-0.016090601990227275,0.37396158232346327,0.5679066206117327,0.6594260928864909,0.26519862379471415,0.6726513718148082,0.3983013740869555,0.5884512024529212,-0.0686432919741279,0.5102667928872129,0.4867168470507715,0.13939451034102632,0.09077517714568588,-0.17856120057489408,0.5912496812215765,0.18623471765394276,0.02810702466008591,0.80082611277385,0.8118720065253827,0.5550254274573858,0.48237528096874627,0.4539579803494622,0.05161295160764294,-0.012827791947918745,0.47564275659398275,0.8679042811250545,0.5191003697824157,0.4022618080090568,0.05724395684171042,0.36118662197447604,0.11748902477280783,0.3453572344956534,0.2793120504550559,0.7713510399730683,0.6891223401357782,0.3597813643950249,0.3955349102132956,-0.0637531364984638,0.7263072236805066,0.71463862644967,0.16229827205469616,0.5505844589948585,0.7049965515108729,0.34304470396968745,0.5379560231751603,0.5403348302994815,0.14543366507024094,-0.08061484599195146,0.45239645455188626,0.031523566324584494,0.1804086230532164,0.10994358362521443,0.5590047911539768,0.00132403769260068,-0.007000196380632409,0.44067713952707666,0.7973888104066676,0.3528426712928872,0.3730530571179082,0.7549735842792251,0.5060648813562623,0.5621300468119305,0.7749954047663621,0.5711272459608048,0.581721732466832,0.21590101457478753,0.5302881288421863,0.052796575922007094,0.5827570857260529,0.7001198618279827,0.6958252674541816,0.09159515019739355,0.35068382065197545,-0.03141464169936217,0.29497708825139674,0.029813476330038512,0.2569464692308909,-0.1546620246076882,0.7553966981692058,0.12200438840051887,0.17625110442781683,0.438132520583419,0.18009556442563066,0.8137641684504309,0.18773044857374896,0.6022466530181864,0.4242995467565346,-0.014482800618148833,0.056590780078552436,0.729798946544623,0.5878496916416629,0.4003366210796003,0.15884438648902205,-0.05047961649685699,0.08326931761758355,-0.05492005002875268,0.056682623036054265
Frontal_Sup_Medial_L,0.346527574473541,1.0,0.20026308787946973,0.3935418807359699,0.5413703411590417,0.2754536196929893,0.13206229556843113,0.08973962974218501,0.5095422984148298,0.3635364549732449,0.24759798124544696,0.12484597931392395,0.6244985503506628,0.528953820841915,0.2524247787589527,0.09497444535465352,0.04040635157380882,-0.12791995185497304,0.35251441036419645,0.38542812911700597,0.4777901780631877,0.049033832894769265,0.13377591057039898,0.1568495120448008,0.3217179950794446,0.2976974959109664,0.07272393355011798,0.2525149870082026,0.2998881432152817,0.2890846355977534,0.6481841006206589,0.0149486339720116,0.343341853076378,0.30916155593632483,0.28176036859502007,0.13485133091967008,0.38626730592495756,0.07390553656650688,0.20046152450603882,0.31407049137107285,0.47545110836340804,0.1516182871322134,0.4240164336983488,0.44128804404868316,0.132110397594354,0.38673228941647997,0.4728073911140724,0.317792896619446,0.4205172564325943,0.766039454260948,0.02282373226950367,0.5375332305708513,0.5505849917680419,0.12332933944137248,0.14851114946817737,0.4408183485057715,0.44417358075590113,0.5467136904705343,-0.06626979277900073,0.4254145293714318,0.4779195403872995,0.22499717586780119,0.49659295317338764,0.3826921319247604,0.2386500403383792,0.1359735592753926,0.4171885114937345,0.16117579806963633,0.45468104448092617,0.2810329916591025,0.49431633650948126,0.5640514688180185,-0.01748121088805511,0.24593999216714185,0.47238358690129834,0.20307069001206157,0.25204410706702157,0.21224313599833608,0.2536434303051959,0.2206933972724834,0.0672136940753135,0.04574952426259998,0.4573603897400752,0.176708560178932,0.21086852899388925,0.18990404470990835,0.3177749425327046,0.08626692619858815,0.591203359640226,0.4965319538719835,0.45942298023676714,0.22769380190188018,-0.020048640157075182,0.18316196138576196,0.07223983957828328,0.0941545429332242,0.31978347643431704,0.18702045662464858,0.09174832465738132,0.531975985303968,0.21618157807246594,0.3279455402017238,0.22706525196381755,0.6115295280109195,0.329022149469027,0.5932116652466993,0.39483685107894617,0.08215263827098396,0.5685126473812332,0.8322730520553216,-0.0007621935512215005,0.3276027562691513,0.19558057652673563,0.40686167097884857,0.016143492232081405
Thal_MDm_R,0.5458409834899226,0.20026308787946973,1.0,-0.06936710546973092,0.4551216738681988,0.5610105186397805,0.3266357545331339,0.7254974103349237,0.5586621534242665,-0.35686138469790596,0.5936110690490941,0.49050217680560565,0.29818073902012115,0.3765906292292408,0.09621933794909691,0.45798185919287004,-0.4699975673978234,-0.4023065600750295,-0.31459652620447837,0.43190730847730346,0.5033160055353796,0.6706675452191815,0.3830584346861015,0.7161348861435072,0.4822380668806778,0.6935573419480536,-0.20477319971256813,0.6396796708149586,0.5928937108555606,0.06667053174078,-0.1923964850064352,-0.4360722186143787,0.5968154585000434,0.24130711481839373,-0.1985148758855608,0.5714230962,0.4048442316561708,0.5208148750923383,0.5670172248759517,0.5482730550964949,0.15780456983385105,-0.42601904937465823,0.5632668470498448,0.425632702759987,0.3281349450886414,-0.012197387827582042,-0.13403377401917677,0.14153414109914386,-0.011916508284962029,0.2798848637635127,0.5046917359778191,0.4970169387850996,0.5274726093021873,0.2572256971695968,0.5623750961127497,-0.19209183586572257,0.5931472248048689,0.47678161211622044,0.15718588569940062,0.3650253908313192,0.3303687211409139,0.4570236375829066,0.5815041702264784,0.4669026386441994,0.09911499127231028,-0.31105904706893184,0.20561115585987447,0.037282661843616276,0.21390777205230802,0.09640218518670327,0.34646390940803157,-0.3188391179258786,-0.13923823668950075,0.5792602716477444,0.5730290914592966,0.41813582342061206,0.3870626982756912,0.4605132553004979,0.6183417190562246,0.6938350788189893,0.43896371083286106,0.31859188244431297,0.3590021318821509,-0.1134160487086371,0.4847162412015386,-0.31553457144184754,0.6161036685630101,0.6811714348407193,0.41504541960153035,0.057139947933845886,0.11432112798901684,0.08885470888193849,0.4348649863957705,0.013321552294819253,0.44521584342541337,-0.20428326317368262,0.6655894667784996,0.09984933502303253,0.37118285755292213,0.4933086530968828,0.06328021918500178,0.4949015596325473,0.3806807953150483,0.485224316526493,0.4674127366682305,-0.2418491464181414,-0.0679285137136997,0.6826724180598888,0.38071178514168696,0.27521663014886877,0.4068970233736129,0.09169162440091452,-0.0482594097763306,-0.13877746509038202,-0.13183465142821432
Frontal_Med_Orb_L,0.08803367452854238,0.3935418807359699,-0.06936710546973092,1.0,0.10460136623205891,0.01380870447023755,-0.17640092377067462,-0.13829653664715344,0.03473649654066804,0.32213126153319976,-0.06367874723510328,-0.11420778092338688,0.15355181835129145,0.2407929392956302,-0.10175151814935943,-0.05404567230063048,0.17476794790936243,-0.048340884336086375,0.28742409999266955,-0.12073871268643376,0.05924556570963559,-0.15057736670775929,-0.12932730049081076,-0.14348385080892356,-0.05793436242878408,-0.0324455503758592,-0.04175503152064319,-0.11932191090164712,-0.026976394308473695,0.31698077427222565,0.4278706183320348,0.051168389745540076,-0.06304458751613637,0.1056370082499024,0.3406840527297459,-0.044236651591258794,0.1053228498166537,-0.12480371163581035,-0.1548339325831881,0.0813911953161472,0.1906755180022412,0.083124977096474,0.18882482935446454,0.17178797748541577,-0.1859801070012746,-0.02758302554973907,0.21001985386397634,0.10016321184964652,0.3342633792346778,0.2904451757837597,-0.14824862034583952,0.1291080281153242,0.14421713267462416,0.05162515912047637,-0.11377891888898617,0.3163741823309051,0.04077747493949978,0.06430775371804041,-0.3149841045171093,0.11094955546290082,0.06933943061675792,0.1092996408788131,-0.017662332658610478,-0.04284659263007229,0.08639476455675524,0.16765561035859586,0.09165105006617162,-0.026079972898631752,0.23248937138684342,0.13412190264140905,0.036708922419067605,0.42357597198842656,-0.06484986440588983,-0.11461076158147065,0.043131979318455804,0.18518869893071738,0.009700935478726067,-0.042873332421744556,-0.07465813868100887,-0.08172818260142375,0.02897380677532686,0.05799309502894915,-0.04681917317306969,0.02908517244395217,-0.07650585887963868,0.22756037487475592,-0.09095603306764802,-0.1420471155907033,0.22864268549265188,0.37131752208830204,0.21312535957254772,0.056012600513334676,-0.10561498449484852,0.30752473000336633,-0.18030847411844464,0.16910382193379564,-0.04434355344013979,0.17460128705348754,-0.11523115638559313,0.199818365566212,0.3063930255901425,0.12093813069684961,-0.058551850094120415,0.10633473508395147,0.05606492146486739,0.3694198542276603,0.37468400484847525,-0.14251966887572076,0.13982293030343332,0.3492673334102483,-0.15581192736625915,0.30095674506086634,0.12144270730483563,0.2344091158167448,0.02818930387196965
Paracentral_Lobule_L,0.7606340769934765,0.5413703411590417,0.4551216738681988,0.10460136623205891,1.0,0.5120670611342258,0.02093980956116323,0.5022521129284628,0.6424222173420056,0.15138807850001396,0.4386759299249932,0.277104461274276,0.56237989611451,0.47348312838858025,0.34334678635392246,0.2251014391066944,-0.11920138180425258,-0.08414646240604756,0.15001087003667465,0.5477355489185708,0.6847690551846856,0.48939202836553225,0.23599349922982046,0.578311227204043,0.5034885344439253,0.539077402104113,0.06716087584873243,0.43102262021136073,0.5334563001406771,0.17289610417880424,0.37815285547515537,-0.11337407485789726,0.5749615578447197,0.287820529351433,0.3307141638079487,0.6127975457423559,0.8164027160180013,0.37903166639080793,0.4804285381912558,0.4522216984750184,0.31738646682896016,0.22074527845465738,0.43704320302985095,0.8466581946855489,0.5249892158805499,0.6113740824850897,0.3996257642114075,0.5476366249970621,0.19826333348139066,0.5832665998580215,0.18006196165420849,0.8208827593093966,0.7685867101449965,0.39011994189115745,0.2585001475791247,0.2350323729078682,0.7295036164208534,0.852356605203786,0.1162812938396873,0.7245742177714063,0.6781929027605048,0.33199215063541476,0.5539351625454793,0.7096403795905067,0.16988001150049156,0.16085286575581642,0.47255803286200954,0.18688579366723213,0.3081576184058154,0.28250856161595794,0.6705111162139721,0.30341770408533125,0.09214513239385574,0.41720018543038717,0.8534564542611159,0.31195744421652294,0.47370083508179317,0.7091600772340765,0.4462036550852979,0.47181108042836545,0.5435564747766765,0.4892190254611674,0.5878970659022613,0.3127728748947635,0.5362445335907169,0.2312867630227287,0.557099956757062,0.5359982293327,0.8322158104941509,0.16097116010745727,0.5482750530049463,-0.07662449081035391,0.1284771804292314,0.06371282131182267,0.18100370989955533,0.04959183701691015,0.704546944942026,0.12439127709364937,0.18344623652552056,0.5808746326204922,0.2182547169424624,0.7603285353490865,0.160169978285956,0.786233634603489,0.5686979012314863,0.24800765107786152,0.18239980179991624,0.5824858683376725,0.7173594148123458,0.4873302777593133,0.12174440310104792,0.1192058581701139,0.10019534894232028,0.13018430880894177,0.2511110731233233
ParaHippocampal_L,0.5763189989859901,0.2754536196929893,0.5610105186397805,0.01380870447023755,0.5120670611342258,1.0,-0.041053143260681324,0.6224039079626563,0.6736980752647295,-0.10247830194274221,0.6467619105806185,0.5674057388507887,0.5736311983935751,0.03806910591703716,0.35609508556741476,0.4455602588945549,-0.16113941822532749,-0.04625488062967122,-0.09398823618109126,0.4753150663317722,0.7546237140951468,0.6409779217400416,0.5929610000881061,0.5987124732804118,0.645365734327411,0.7546035366701263,-0.08101609911343542,0.6679268571351853,0.45323225260803535,0.20988018628156602,0.046795780178707835,-0.1306277582877689,0.7967395285879175,0.17114615336473687,-0.0451638863223245,0.4841832971792346,0.5588594299678943,0.4770828195605296,0.7092993120856345,0.6034952668726259,0.3755775370875467,-0.08904696839542635,0.5272832994287862,0.450490909385213,0.560252926791694,0.29643755742531774,-0.110212197483216,0.2926214120653642,0.24923055119067022,0.39734755112446807,0.5671722750335186,0.6080915028095761,0.7235338136025005,0.23934325517829638,0.6500897037261993,0.017745387465765008,0.4506157508103334,0.5780675352894743,0.17278564870219382,0.3820433696016527,0.6836100271134521,0.2721364196518406,0.6251834560994161,0.517680939548158,0.01879024001568711,-0.2088891448449661,0.3996638690066358,0.3051143913404207,0.2479927963119089,-0.012839406714193655,0.5692680694923422,-0.0322003326233321,-0.15715127564135864,0.7067590547872967,0.5857128905696962,0.2623389524964512,0.453694560638709,0.3883466365819817,0.7261228238004076,0.7395924779524282,0.2687249953115321,0.12076060592070174,0.48320104075864134,0.018255280422328768,0.6382971211340525,0.042445242170878084,0.6783912445954399,0.6968951732372459,0.36717093751104884,-0.05875361287176145,0.2772007949121441,0.19039337507594215,0.6105665186268922,0.10012072480459089,0.6235141293750952,-0.4000771032378604,0.6792782730154574,0.0892432817816532,0.5425225032301321,0.47370200322096045,0.25979523473964783,0.4094588505611541,0.4208924829321966,0.5341690645026572,0.4616499616615801,-0.05296165049392778,-0.10391511395039019,0.5511323922026815,0.5980031359052485,0.18197607650696856,0.5045075677213227,-0.0032082261296539397,0.1599225854053273,0.038294652833652604,-0.10210412983495555
Frontal_Med_Orb_R,0.10119499634553025,0.13206229556843113,0.3266357545331339,-0.17640092377067462,0.02093980956116323,-0.041053143260681324,1.0,0.25714577087853613,0.08829503592654402,-0.39320958221057195,0.09015495517908657,0.16269368631299838,-0.050727642086506236,0.13120877087090002,-0.17578704541859194,0.07216304306723373,-0.49364649969651514,-0.4911935261127722,-0.2092045285564661,0.1772104625936303,-0.043923832622607635,0.1321725689998605,-0.06158349632056481,0.2526639960134711,0.0281777975583625,0.0811041141756784,-0.17831486137847521,0.1933400395594895,0.19611666673030426,-0.39007481885958845,-0.1664633090613837,-0.415929238117395,0.047217686318261703,-0.04776159298386243,-0.35216839609857714,0.18433493035585774,-0.04749322085869967,0.13126512410650856,0.045501401504577856,0.10690050855230965,-0.017677537316624116,-0.47671476806475754,0.07791269835539126,-0.028510070582299634,0.07986055504969287,-0.11961672798157115,-0.23535234314652875,-0.22833374258082648,-0.3644032663597355,0.021567035792106226,0.058467284097376636,0.012479327124638022,-0.01599600057842919,0.05339028577545852,0.11463585611091257,-0.1824634129447339,0.251995882803712,0.014300659181601524,0.02796890581097839,0.023919223102967214,-0.07418808154016984,0.12234811775257141,0.1377872610016823,-0.013523722804055205,0.12660849804179344,-0.1587010596668848,-0.0018661739244457457,-0.25931648130715995,-0.02169501892611264,-0.11918601386512717,-0.024199139561681682,-0.24209510316192825,-0.20443941193835863,0.031075870060962598,0.06903038778094715,-0.0713624007644257,0.09465843550684794,0.17332668227310888,0.03893227102770714,0.1367399271228524,0.19064196272492648,0.12812099418229325,0.05982147292741978,-0.18365371588633225,-0.0031052055112992865,-0.6060694330281804,0.20707511824525876,0.1613407094935514,0.06739129746875419,0.16114997192292066,-0.0645429337591862,-0.047837518828746484,0.014555561774664235,-0.22866680847694595,0.12086669444275486,-0.012963351619427611,0.1468839846947542,-0.2611756493436726,-0.13196422633751553,0.08245454226233791,-0.2653341274778339,0.11599758749010781,0.21216614079281634,0.09783703463648048,-0.1212620668573922,-0.16927087752334286,-0.23397265379370197,0.22488396960621887,-0.061613928629703156,0.2311038835133296,0.011528009154459807,0.07892006372071846,-0.10147909512664391,-0.1427599146939687,-0.43785700610001554
Cuneus_L,0.6954531827525579,0.08973962974218501,0.7254974103349237,-0.13829653664715344,0.5022521129284628,0.6224039079626563,0.25714577087853613,1.0,0.6045197757511529,-0.4718606278455615,0.7268770094027354,0.48037901085286605,0.2365234016183581,0.1381545064062227,0.16118536492550764,0.536924432270431,-0.45156782911642257,-0.34659095873769136,-0.3720399249560237,0.4947254126001403,0.5060475129506299,0.8749735959561252,0.4822415101791972,0.909156582500183,0.4340424805689586,0.761532907172001,-0.2054521376167884,0.6905629049398937,0.583198015795952,-0.03274876737474573,-0.32773204161054226,-0.3946258519187431,0.6540766716486899,0.053244145058707955,-0.2825750547602891,0.7976840431007411,0.4830987710247229,0.7269240100462849,0.7195752672910138,0.5072610929996513,-0.02402457151143481,-0.3857922201467773,0.4792051213424318,0.5258001790303297,0.5645287722546106,0.15892639819881133,-0.3585894294202742,0.08058132767655155,-0.11944650346897272,0.1518301956306629,0.541303095602631,0.5805211864403884,0.5653311871140867,0.36241983406304756,0.6296836062133527,-0.4041014790744615,0.6794682807531871,0.5009005830791754,0.24341645070289517,0.4031794296967962,0.5718124791840918,0.38903243493945805,0.5849986692346119,0.3912409902742234,0.08753586785285719,-0.2971348351535852,0.21317758751106586,-0.0038922096039054823,-0.06391569752506762,-0.09859487429793809,0.38152280569975405,-0.41894660874566414,-0.2294328372039559,0.6535697455708095,0.6849065942825626,0.36216615461448043,0.4313323617121691,0.7064204576169342,0.6830221828002812,0.782856270313508,0.6505697382901565,0.4896374974591732,0.35101824680074795,-0.011964534053271038,0.7076806494199137,-0.2835533512328208,0.8015439883859319,0.9009870730993464,0.39440670238112974,-0.0057028116992271765,0.14067361376376591,-0.0585897552927889,0.5719716446632046,-0.0347811778767499,0.47873437191538926,-0.4251196973461477,0.7097300570026326,0.12773456372815115,0.4118454943869037,0.34892966164774003,0.11411351643759204,0.6224170470792965,0.383283792709719,0.48489540814151194,0.292941735209924,-0.3519495121010276,-0.22122225906463133,0.8709130653377479,0.4380167918557681,0.2213608160689936,0.3799003155086982,-0.20368265154455586,-0.11309746681491799,-0.3180374679320793,-0.1640804746348966
Vermis_4_5,0.5474183277142777,0.5095422984148298,0.5586621534242665,0.03473649654066804,0.6424222173420056,0.6736980752647295,0.08829503592654402,0.6045197757511529,1.0,0.07543647504490275,0.7137671985727144,0.3076652407373677,0.5951984215700805,0.44787668894884325,0.405639217219959,0.3929451080829172,-0.2238272306743857,-0.13327147480811624,-0.05555303631284862,0.5952435876548243,0.7124948335629834,0.5379122300008347,0.4878451827836049,0.6664925242029264,0.5160517837203354,0.8642807902826269,0.024838010753136526,0.6670464862388206,0.568710794405494,0.1821901752490055,0.16890857925059913,-0.17010732115868102,0.7720724826900235,0.31852747827204325,0.11514364555055152,0.44140487089879105,0.5510880942783077,0.39946383748643327,0.7836898701921376,0.6065427462393584,0.4280386499253046,-0.007208200698861775,0.5659454272285397,0.5607520657906675,0.34014540871935345,0.3005467896024278,0.17734388962793676,0.4477315920757373,0.15704629766442646,0.5174769926405952,0.4284981542716394,0.755523137200632,0.806876395475748,0.2173890321668527,0.5519985257232942,0.14343238103696507,0.6814893634362305,0.6143819312776513,0.10277935887793874,0.5735982325971871,0.7002790972123168,0.3880569275690871,0.6806748892795514,0.5924283009180327,0.18293365009573598,-0.09986083139796523,0.5145621137459276,0.3166560214818942,0.40616310580837844,0.16420563097843507,0.6720788128480336,0.1240578396785646,-0.08698346212028102,0.7195982468250584,0.6764132148900753,0.3723529441501866,0.6661136162627097,0.48480559167085,0.7713815874003931,0.7542171605382564,0.2506322430719476,0.1167396371510741,0.5638503818617929,0.12500169633674352,0.5689207433737505,0.06559274590394688,0.7817514226171813,0.626794875504031,0.5555921241776178,0.24833204655480096,0.3370421742978274,0.109999822688157,0.3828176526428113,0.10912764739208103,0.4643924355866937,-0.1793441881362442,0.594230231757323,0.0795804783404475,0.44717843903861465,0.5597784226415851,0.21334275146720144,0.4177866622228104,0.37229714997686547,0.6635428160369072,0.5030529341866621,0.19139858746814373,0.06688454265703431,0.44989701334472365,0.7422586051110137,0.455685324849709,0.320422822774525,0.11777394727274652,0.12317363889901402,0.10237039155273038,0.020493304681184498
Thal_VA_L,-0.0603415387220036,0.3635364549732449,-0.35686138469790596,0.32213126153319976,0.15138807850001396,-0.10247830194274221,-0.39320958221057195,-0.4718606278455615,0.07543647504490275,1.0,-0.280892628834992,-0.3954697887051117,0.30142193360695296,0.3724034696361416,0.20543490319200472,-0.23527003678829095,0.5202143035243648,0.46330777456993394,0.5378549589903198,-0.001226731140612586,0.08331418679300764,-0.4017127021316184,-0.15085428941861415,-0.3335447281940655,-0.11887548045131666,-0.15107820432538013,0.2701950944355361,-0.21376089961306802,-0.16029414461623034,0.3503669351424655,0.6383404144512467,0.49718224900313146,-0.0750794110998455,0.3673640695987588,0.607437397183974,-0.28876392654384103,0.11013081292323039,-0.4665568769166762,-0.1479790217230999,-0.009769851530203683,0.32638381078658796,0.6907823748284627,-0.05424540156025394,0.1557313025623671,-0.2578715087335672,0.21262972745286557,0.7917460138191983,0.498319770854255,0.3915566435298876,0.23249879443343485,-0.3098517063706408,0.16774938973197964,0.16662475438032032,-0.11814639342587101,-0.30195356939174134,0.6758235389631114,0.027418347457412815,0.11000283371793693,-0.1998013692610524,0.16505248362282934,0.07352051340870434,-0.07083298006679013,-0.03883509435515862,0.246232905065345,0.2747272569833562,0.4394654450812285,0.43625823586149287,0.2822885866226428,0.46346114545625117,0.33132466330028615,0.2591680252192833,0.7155687663227401,0.3687922655970045,-0.16606389899400575,0.020305384310553776,0.06469658163187984,0.0565343592420747,-0.14749572971457614,-0.17729946667204877,-0.3283939404795589,-0.26333633484221425,-0.23341018716259765,0.2500708563216155,0.35973991860408516,-0.1921396336168556,0.7462493220631494,-0.21233621231962707,-0.372527789700405,0.25009936752165873,0.20911223477988017,0.1335668285394161,0.11092448575539111,-0.38187587117462335,0.16986580294018927,-0.29196999509600263,0.43406347076851143,-0.16924247549531055,0.08474339867003446,-0.1256106346108956,0.032429676748035687,0.22004920060990846,-0.11802313609739092,-0.3139426828121669,0.10453378019998803,0.1752349898528909,0.674281520858626,0.504179229891878,-0.435557812315971,0.29062209387546706,0.16349274209173748,-0.2740489580063566,0.20631416278142437,0.44279064167061694,0.5162471586238154,0.5382861973603533
