,Thal_AV_L,Vermis_10,Cerebellum_Crus2_R,Temporal_Pole_Sup_L,Frontal_Inf_Oper_R,Vermis_4_5,Vermis_6,Postcentral_R,ACC_sub_R,Frontal_Mid_2_R,VTA_L,ACC_sup_L,Rectus_R,VTA_R,Thal_MGN_L,Angular_L,Raphe_D,SN_pc_R,Precuneus_L,Angular_R,Paracentral_Lobule_R,Rectus_L,OFCpost_L,Temporal_Mid_L,Rolandic_Oper_R,Cerebellum_10_R,Parietal_Sup_R,Occipital_Sup_L,Thal_VA_R,Cerebellum_10_L
Thal_AV_L,1.0,0.25184599395298674,0.24299648428120232,-0.04065912121784857,0.10439792801493375,0.22085120094538302,0.03856520796607762,0.20601313642277524,-0.21044014519784895,0.18318639936585954,0.20157685659467808,-0.04539063411209422,0.17767528155040818,0.2027739348044477,0.07967173248307637,0.2112158709696849,-0.025931768337399533,0.3933195956624338,0.1720414071075198,0.19682132680592368,0.12182790696788141,0.19077471239646643,-0.204602080906803,0.2107478358708731,0.05546331320915095,0.1562802771373939,0.1295536216793862,0.1345093196070613,0.2553589698871279,0.18665676534732872
Vermis_10,0.25184599395298674,1.0,0.3109862729068864,-0.10383288484418517,0.42834608384124606,0.405639217219959,0.4167764254093763,0.20035916997209163,-0.10829740725606127,0.43785968645508794,0.20947537784890927,0.22573206670311657,-0.0334338356551005,0.14091237716002236,0.3678314682055238,0.10521426116518433,0.15945871058851666,0.33505140848542725,0.08892394133686021,0.07520388459387302,0.06155131329103086,0.08992728945345382,-0.05439633714583654,0.35124541850083235,0.3603405976258423,0.41319279622028743,-0.09692083799656777,0.0990400637000378,0.3311660436728865,0.4427938806630635
Cerebellum_Crus2_R,0.24299648428120232,0.3109862729068864,1.0,-0.2681123707104121,0.10261573307172527,0.10277935887793874,0.2923522388093497,0.04582426706619693,-0.06896443539497552,0.012117117234796797,0.11729288469261012,-0.07563104540888035,-0.034206436201428866,0.17879304692827774,0.0635276568408231,0.24197831758149693,0.21788747366284658,0.15646361467382117,0.03899714183805529,0.1635800189990252,-0.010102687647594562,0.04039912982095729,-0.2592172547365735,0.3082776953877171,0.2283088249623683,0.3031327980023893,0.02836585045341998,0.21088985602681026,-0.03570743790335481,0.29134280065745366
Temporal_Pole_Sup_L,-0.04065912121784857,-0.10383288484418517,-0.2681123707104121,1.0,-0.1751637221085361,-0.08628878796249802,-0.5442344936778543,0.12229211293190971,-0.08010088097594784,0.24442997577737655,-0.2790753489856803,0.39310448982258206,0.6326742795752756,0.013676954462564726,0.0614478274242454,-0.36675432411219344,-0.35006038050424676,0.15926864173940036,-0.05567704693872762,-0.23366363802295298,0.0763596590095456,0.5639037273476589,0.3538264353377259,-0.3987662057836246,-0.04526404589708725,-0.21004462556787648,-0.09618698564874968,-0.49439293517540595,0.6167410075403092,-0.09213081551007601
Frontal_Inf_Oper_R,0.10439792801493375,0.42834608384124606,0.10261573307172527,-0.1751637221085361,1.0,0.5541558369205306,0.5142414863297041,0.6263715206517214,0.0869845789553664,0.5571281039754873,0.19205526699615774,0.3487589102147402,-0.2532846964555999,0.02097896747902149,0.40707505662116417,0.4055368017515755,0.3479811739850751,0.24902842398369626,0.4805078941450617,0.42576414156315906,0.40431078336448045,-0.19273292646354434,0.19848053925261097,0.3300865835071044,0.778946164726146,0.42165340946593227,0.3601041776419379,0.40251928334344667,0.11483241502101793,0.39854306658866556
Vermis_4_5,0.22085120094538302,0.405639217219959,0.10277935887793874,-0.08628878796249802,0.5541558369205306,1.0,0.7137671985727144,0.5607520657906675,-0.04163406613886631,0.5469337715643032,0.3929451080829172,0.16890857925059913,-0.17010732115868102,0.36353105606011316,0.5091212775424955,0.44989701334472365,0.21188649908817034,0.3370421742978274,0.48480559167085,0.44140487089879105,0.47274843113587467,-0.13327147480811624,0.12317363889901402,0.6670464862388206,0.5735982325971871,0.6806748892795514,0.2506322430719476,0.48625850728028336,-0.007208200698861775,0.688469219321191
Vermis_6,0.03856520796607762,0.4167764254093763,0.2923522388093497,-0.5442344936778543,0.5142414863297041,0.7137671985727144,1.0,0.3486567316445085,0.0925192919146617,0.23351970574374298,0.5297691607416382,-0.09166656354298586,-0.4816258741289776,0.2582276203620794,0.2920508084615163,0.5998350554911915,0.4332777264547594,0.1585215633003269,0.3585964224294499,0.4410899703197021,0.28046046842227024,-0.3926512480056108,-0.04259812844881814,0.7787121124028229,0.5293957191351457,0.7014234217312696,0.22294281466203708,0.6364392116614228,-0.3332476580334028,0.6183475907538787
Postcentral_R,0.20601313642277524,0.20035916997209163,0.04582426706619693,0.12229211293190971,0.6263715206517214,0.5607520657906675,0.3486567316445085,1.0,0.0011171152369332453,0.5374844486153483,0.2147996467354668,0.268492233310816,-7.747065092207118e-05,0.15780390635471245,0.20851175984674847,0.5728534538918364,0.3545495279687064,0.4201648824591847,0.7901628941937193,0.7037405035732381,0.8153677824134117,-0.016366083503241886,0.12399271633028387,0.2860243453540603,0.6396418417239501,0.43144744071614344,0.7615223035050319,0.45514500301955807,0.20831425761295314,0.46957305632900304
ACC_sub_R,-0.21044014519784895,-0.10829740725606127,-0.06896443539497552,-0.08010088097594784,0.0869845789553664,-0.04163406613886631,0.0925192919146617,0.0011171152369332453,1.0,-0.016270203620908384,0.012069650167822554,-0.10575678811990133,-0.2855740059987867,-0.02881992673709702,-0.02489416814055124,0.1327159829930449,0.15292837362951514,-0.10959964257887711,0.06660839130989128,0.1022907918114342,0.022822023552803553,-0.28161701406580014,0.0365047372012886,0.07772778750635771,0.04456620517078149,0.051273436082678266,0.12556542916656388,0.1415693116745648,-0.15569162640238482,0.057512552178956775
Frontal_Mid_2_R,0.18318639936585954,0.43785968645508794,0.012117117234796797,0.24442997577737655,0.5571281039754873,0.5469337715643032,0.23351970574374298,0.5374844486153483,-0.016270203620908384,1.0,0.1624062753230555,0.6228920840608635,0.09693424749636895,0.21369511943783143,0.4834210031753213,0.13395195083783853,0.11642090013883306,0.40984689767708526,0.2927054081103469,0.24455225710377876,0.3076473492199318,0.12220486956605645,0.264124403569285,0.35882097431297744,0.5708298078484256,0.46034314912653673,0.12318458452524512,0.04393236651428765,0.48489192425077576,0.5481281648873034
