,Caudate_L,Cerebellum_3_R,Fusiform_R,Cerebellum_4_5_R,ACC_pre_L,Postcentral_R,Frontal_Mid_2_R,Thal_MGN_R,Cerebellum_Crus1_R,Lingual_L,VTA_L,Vermis_10,Olfactory_R,Heschl_R,Rolandic_Oper_R,Thal_PuI_L,OFClat_L,Precentral_L,Thal_AV_R,Parietal_Inf_L,Vermis_1_2,Paracentral_Lobule_L,Cuneus_R,Parietal_Sup_R,Paracentral_Lobule_R,Parietal_Inf_R,Cingulate_Post_R,ACC_sup_R,Temporal_Pole_Sup_L,Thal_MDl_L,LC_L,Putamen_L,Cerebellum_6_R,Thal_LP_L,Vermis_3,Cerebellum_Crus2_R,Frontal_Mid_2_L,ACC_sub_R,OFCant_L,Temporal_Mid_L,Vermis_8,Cuneus_L,ACC_sup_L,Cingulate_Mid_R,LC_R
Caudate_L,1.0,0.006642070347467936,0.2490611406241675,0.1522024185878259,-0.095822992554118,0.18656113419536205,0.5267481326730634,0.02604606713800122,0.18504165566445774,0.036817465726475804,-0.046383464578738876,0.3697419236331667,0.6532537403620974,0.19483470046939996,0.36244550639745576,0.08640702236825115,0.44467664484392216,0.1813087993055729,-0.15474334546602808,-0.025005933066437263,-0.18572941903691786,0.2511110731233233,-0.06069480492979332,-0.08505642255554437,0.129043574722966,0.056682623036054265,0.09065384580093644,0.34414642687445157,0.33870128789188875,0.5496487751501602,0.20377891158664202,0.6775840264714736,0.042690213649239826,0.1031750847175221,0.1772394846907928,0.09179892169472602,0.27067258554599755,0.07660310864209366,0.06997487501342267,-0.03259282515052584,0.10427178077637399,-0.1640804746348966,0.294220569882953,0.07462403483799752,0.1668665221672017
Cerebellum_3_R,0.006642070347467936,1.0,0.7615313213385452,0.73403391714102,-0.06588422895434394,0.6915176108999437,0.5169627058406396,0.18865706644644012,0.41838971147185655,0.5989625043000706,0.3603951471240609,0.47038670546956773,-0.017166554716959673,0.5596682597260703,0.5620424437132573,0.5490488299424392,0.18703117967901445,0.6965052973027172,0.03205108180217104,0.5498833180223544,0.5229463262001781,0.6781929027605048,0.5964674072347785,0.4292069915038654,0.4847209875940851,0.7049965515108729,0.4124058855856341,0.2021400677005602,-0.18557577872976325,0.17818894012487135,0.09837178110734815,0.2277815119205515,0.6114854516499023,0.10322079283461393,0.5214009518551754,0.22911666667833777,0.4798113489019951,-0.19099277509424897,0.2394057497085597,0.5024222576067675,0.5159439809070715,0.5718124791840918,0.24455884831966668,0.7292005721198892,0.26257328720660766
Fusiform_R,0.2490611406241675,0.7615313213385452,1.0,0.8197866190647916,-0.049090633456206,0.6462075691496366,0.6558908029729595,0.3443194481535302,0.4636745665089811,0.603536996644808,0.31082529465318787,0.5578812440538121,0.03480672200747159,0.5101498388105049,0.6898957303150652,0.5541873314006532,0.20397806191639575,0.7010431344111285,0.0805300516781383,0.48148074559883736,0.2823097399381712,0.7173594148123458,0.5233288362736447,0.26183226805402665,0.453488712877529,0.5878496916416629,0.47204451955878457,0.3199125674984828,0.0019092885130520666,0.33463473170834473,0.12187171011280239,0.22943541912295676,0.5994564346012586,0.27074850431253655,0.565759744445823,-0.007867942333351982,0.5422108701917099,-0.03705160372490038,0.16014053613054674,0.46805157166369094,0.5366722128979282,0.4380167918557681,0.39205504633425786,0.6945938140401058,0.41365988802467246
Cerebellum_4_5_R,0.1522024185878259,0.73403391714102,0.8197866190647916,1.0,0.013735625212872714,0.6217213475267996,0.5729033645255172,0.4951826236284744,0.3724610852293674,0.6250675206998934,0.2975392458095107,0.47952759422631924,0.02553578456863323,0.5176110706239032,0.5723175122135412,0.42732470442813353,0.18768877314014493,0.6100201289367179,0.0016488776722094426,0.4476550642509345,0.36632321549321495,0.6212580528159166,0.588800297757297,0.3141173137555628,0.5490496633706989,0.5494075075719099,0.47462986860719414,0.22291330616737629,0.014157015279721451,0.34565534844316526,0.24140881750768825,0.14369640004653772,0.6312360062103147,0.10084745630509652,0.5452169633943459,0.03709504562273764,0.49707113347991766,0.00654186489973501,0.0931761811851763,0.5056795005798725,0.43151019772198673,0.524656498715911,0.27085820392787824,0.5953244164709178,0.4067222442420144
ACC_pre_L,-0.095822992554118,-0.06588422895434394,-0.049090633456206,0.013735625212872714,1.0,0.044563947089173425,-0.09427269240503215,0.12907571149987648,-0.17866802188204434,-0.11787314901576228,0.045113913068871116,-0.05371511520834981,0.009515167794833967,-0.07604858141017794,-0.004172307685351626,-0.16732394552405,0.09844276906571828,-0.03504803282423728,0.06194997905174231,0.018971888363329015,-0.09919617559830526,0.004325078406522433,-0.10036438331502791,0.11041382207480102,0.05109142368056993,-0.007893992388235843,-0.14354978540162228,-0.033156839409884536,0.14389115245884793,0.024159771220998594,0.04744679690040202,-0.20790947835661247,-0.15284903203334224,-0.0770091149804756,-0.028884439607934104,-0.18142213096358617,0.009956559527857036,-0.09456766627458604,-0.1285609979785433,-0.17621942661596848,-0.13277618627692578,-0.08120816729354292,-0.027524088962771972,-0.001289435434047526,0.08214753846533876
Postcentral_R,0.18656113419536205,0.6915176108999437,0.6462075691496366,0.6217213475267996,0.044563947089173425,1.0,0.5374844486153483,0.29363824412554435,0.05293880967530465,0.3348794613193198,0.2147996467354668,0.20035916997209163,0.05809982023075206,0.47835470792068596,0.6396418417239501,0.3049346023317983,0.2881868120296839,0.7934295105461346,0.057115748954124676,0.852110739883419,0.43335187913665274,0.8466581946855489,0.5374471181486048,0.7615223035050319,0.8153677824134117,0.8679042811250545,0.34200605283237306,0.19279140427253438,0.12229211293190971,0.2885198126376588,0.3038860608810249,0.172275105119544,0.285256676144043,-0.005944806163924626,0.3793458031098785,0.04582426706619693,0.38545730126108085,0.0011171152369332453,-0.12655028754407005,0.2860243453540603,0.12335862823623474,0.5258001790303297,0.268492233310816,0.7275340810376599,0.20318884061064812
Frontal_Mid_2_R,0.5267481326730634,0.5169627058406396,0.6558908029729595,0.5729033645255172,-0.09427269240503215,0.5374844486153483,1.0,0.3394396349774389,0.18878403108375585,0.3667022311437203,0.1624062753230555,0.43785968645508794,0.24758535711276197,0.6328701443233399,0.5708298078484256,0.35788893165834285,0.4006149913090303,0.5639474019641609,0.18978583572620766,0.30131142688280577,0.014328136164226063,0.6401454628560311,0.27616607246146924,0.12318458452524512,0.3076473492199318,0.4953750213219518,0.4101249991372445,0.6083259500006266,0.24442997577737655,0.603884011476294,0.28124805005914183,0.5060837201313283,0.3344597651908401,0.35535095026586927,0.4550493862171504,0.012117117234796797,0.7496951692882464,-0.016270203620908384,0.17888300109031985,0.35882097431297744,0.22759082021795107,0.1367696749506703,0.6228920840608635,0.566934323967586,0.5015715807657621
Thal_MGN_R,0.02604606713800122,0.18865706644644012,0.3443194481535302,0.4951826236284744,0.12907571149987648,0.29363824412554435,0.3394396349774389,1.0,0.17613027673159962,0.4650450628547009,0.2821800091365325,0.05535636775107297,-0.2848419916237983,0.2998427218088515,0.3876856066254145,0.2786279493653888,-0.06960921290914947,0.33656334207605754,0.1349680528683247,0.2528653069071903,0.3035981387807081,0.36775533313016273,0.5202456085405465,0.18818420912220007,0.32184525575277373,0.32943493834320214,0.32418023385240496,-0.028557740174217257,-0.11625278504472626,-0.004512550308805874,0.17605941702724104,-0.24799056970657748,0.44011328374629066,0.039481732136824356,0.32033498206666705,0.015589606211091022,0.2843990913831163,0.2537582301050909,-0.06720479056533778,0.4846835318352762,0.18437271447335762,0.4318506483328681,0.05621566552225641,0.3111044570233765,0.3374914658971411
Cerebellum_Crus1_R,0.18504165566445774,0.41838971147185655,0.4636745665089811,0.3724610852293674,-0.17866802188204434,0.05293880967530465,0.18878403108375585,0.17613027673159962,1.0,0.7826649568519859,0.4126379037560745,0.6297377558406846,0.06737407451924173,0.2058559651549326,0.37682207844127946,0.6284936132883479,-0.0032845979620944495,0.30610464876783783,-0.13959257550789347,0.0011697495523037517,0.393248669544898,0.18344623652552056,0.48209759250061707,-0.16679737883157283,-0.05238851721893586,0.17625110442781683,0.3981434899145924,-0.10407305757883742,-0.4009389041792233,-0.1540003714096408,-0.1882250418644838,0.1848616917103487,0.8504342855004468,0.06783980214350277,0.251362086739354,0.47001502501279513,0.18759362254076353,0.020621569948409926,0.49190648805057413,0.6423902653521678,0.8779737520413712,0.4118454943869037,-0.0822706231972256,0.3271926643169556,0.10567299810671527
Lingual_L,0.036817465726475804,0.5989625043000706,0.603536996644808,0.6250675206998934,-0.11787314901576228,0.3348794613193198,0.3667022311437203,0.4650450628547009,0.7826649568519859,1.0,0.5746284717189681,0.46126901486978084,-0.1081987709627652,0.4791561854475725,0.4960295100132482,0.701144993842368,-0.000722075988927951,0.5650298749553989,-0.1209048120273123,0.25686207814543055,0.602502497544054,0.4462036550852979,0.7238806584072187,0.11124424172748187,0.2168445977954398,0.5060648813562623,0.538394594317929,-0.1778461844097394,-0.4248368644394169,-0.1415242128999833,-0.11948526859000906,0.0424535501007967,0.9281496280460619,0.004786378538248446,0.45030435329013546,0.301995228078015,0.38535979615787624,0.04082048790529604,0.4111854933048758,0.8630976942038004,0.7586048902245874,0.6830221828002812,-0.1112218281797449,0.5755148308924285,0.17982366929805443
VTA_L,-0.046383464578738876,0.3603951471240609,0.31082529465318787,0.2975392458095107,0.045113913068871116,0.2147996467354668,0.1624062753230555,0.2821800091365325,0.4126379037560745,0.5746284717189681,1.0,0.20947537784890927,-0.07062074768471847,0.34796755943520813,0.22910071773357282,0.3207305705903985,0.13500345851964426,0.3715343925772306,-0.23648504748929322,0.1688754436302501,0.3556709070371463,0.2251014391066944,0.44535418005559213,0.21019707402965135,0.22835312759704063,0.3930164235923999,0.2894679982109465,-0.24843379442483657,-0.2790753489856803,-0.18614279044644122,-0.2748764545821771,-0.055095879825390104,0.557148022665078,-0.11123471100710047,0.2020678804752138,0.11729288469261012,0.2710561032486462,0.012069650167822554,0.31971732943152004,0.5845383679307825,0.4994117764511074,0.536924432270431,-0.21791195242922548,0.33399998315665697,0.045072629314641996
Vermis_10,0.3697419236331667,0.47038670546956773,0.5578812440538121,0.47952759422631924,-0.05371511520834981,0.20035916997209163,0.43785968645508794,0.05535636775107297,0.6297377558406846,0.46126901486978084,0.20947537784890927,1.0,0.2498396998008863,0.29010573717908683,0.3603405976258423,0.4626474818160984,0.18839581538139313,0.36113142315370067,-0.03453261294671343,0.0630248026967571,0.12083841634900622,0.34334678635392246,0.2908432561843525,-0.09692083799656777,0.06155131329103086,0.21018819288711085,0.33654051053480627,0.24770939798290453,-0.10383288484418517,0.2816522831706958,0.07419949175100403,0.35775055501726855,0.5575054118012097,0.14684521217001706,0.3481204449882579,0.3109862729068864,0.3048648506801281,-0.10829740725606127,0.28504688458478,0.35124541850083235,0.6466537775694813,0.16118536492550764,0.22573206670311657,0.3307095393156548,0.2285580075332786
Olfactory_R,0.6532537403620974,-0.017166554716959673,0.03480672200747159,0.02553578456863323,0.009515167794833967,0.05809982023075206,0.24758535711276197,-0.2848419916237983,0.06737407451924173,-0.1081987709627652,-0.07062074768471847,0.2498396998008863,1.0,0.03632781074720267,-0.0028310866909830104,-0.16620625799921956,0.625430786748787,-0.02131000198604618,-0.18811769187380467,-0.13783839538083553,-0.3454439082605619,0.007372229494674168,-0.31848046061049634,-0.1334910412395572,-0.014994250313292608,-0.0834096162403182,-0.1334416714437172,0.2111654261980053,0.5025669301115534,0.5161021128029823,0.16186454758890031,0.8146455423486076,-0.17522760366614473,-0.02342761520050532,-0.10083768743431261,0.05767858083720547,0.1510417605654657,-0.06546831021973558,0.32328395932458714,-0.2943431206040859,-0.02669652727675723,-0.29258823112342586,0.04731790195480159,-0.02322208029917329,0.09529446202918819
Heschl_R,0.19483470046939996,0.5596682597260703,0.5101498388105049,0.5176110706239032,-0.07604858141017794,0.47835470792068596,0.6328701443233399,0.2998427218088515,0.2058559651549326,0.4791561854475725,0.34796755943520813,0.29010573717908683,0.03632781074720267,1.0,0.42296207539278063,0.3388470556124033,0.4205372886256685,0.5750280678413123,0.0027899336039558863,0.2696513773305011,0.13501898515277239,0.5878970659022613,0.3917704692781173,0.19536520587789152,0.37997557434673856,0.581721732466832,0.5303395460452226,0.2653817305100683,0.15507281860448305,0.417057996080956,0.07176306492468185,0.225843338843986,0.48335203584355446,0.19276646844488948,0.28493470406318444,0.2312808539382793,0.7566348227602977,-0.1224523183734768,0.21763294594358107,0.6152869483402642,0.3199455538914354,0.35101824680074795,0.29602369940250217,0.6520977453399902,0.45563809982850245
Rolandic_Oper_R,0.36244550639745576,0.5620424437132573,0.6898957303150652,0.5723175122135412,-0.004172307685351626,0.6396418417239501,0.5708298078484256,0.3876856066254145,0.37682207844127946,0.4960295100132482,0.22910071773357282,0.3603405976258423,-0.0028310866909830104,0.42296207539278063,1.0,0.4614095531519925,0.2100808657340656,0.6296149447930727,0.09489784992084041,0.5468012795166692,0.4485630327152738,0.7245742177714063,0.5547177834541641,0.37291398178869406,0.5023819947392191,0.5505844589948585,0.4697828943870949,0.28955529559712795,-0.04526404589708725,0.27089202126582024,0.1326585073668525,0.1524441191946194,0.502492992387965,0.12894665648935902,0.5681451671592028,0.2283088249623683,0.5192170536696304,0.04456620517078149,-0.08922906586969233,0.4107371299534409,0.39112162483722446,0.4031794296967962,0.3924112187360288,0.6203549141961691,0.18497803548687847
Thal_PuI_L,0.08640702236825115,0.5490488299424392,0.5541873314006532,0.42732470442813353,-0.16732394552405,0.3049346023317983,0.35788893165834285,0.2786279493653888,0.6284936132883479,0.701144993842368,0.3207305705903985,0.4626474818160984,-0.16620625799921956,0.3388470556124033,0.4614095531519925,1.0,-0.11357922973042578,0.522695599793511,0.022916130410820548,0.2774021682723278,0.48394380830510897,0.5034885344439253,0.5241437818406648,0.044854656737825634,0.09323518881049934,0.3983013740869555,0.4747595890492716,0.021407269163408727,-0.36622478061491054,-0.16034899520037482,0.06883848537596575,0.06943366058021105,0.7066507319110478,0.08631100229755648,0.41815074387944806,0.3235015320079992,0.19631741019030027,-0.033383416317724436,0.2924977697862252,0.6180500709744673,0.5972839089321633,0.4340424805689586,0.16171650066822923,0.540347167894962,0.14704905545773517
OFClat_L,0.44467664484392216,0.18703117967901445,0.20397806191639575,0.18768877314014493,0.09844276906571828,0.2881868120296839,0.4006149913090303,-0.06960921290914947,-0.0032845979620944495,-0.000722075988927951,0.13500345851964426,0.18839581538139313,0.625430786748787,0.4205372886256685,0.2100808657340656,-0.11357922973042578,1.0,0.2552029074348021,-0.13443445059234907,0.1020556425782602,-0.24691699093550754,0.3127728748947635,-0.03896568136306293,0.12564188999769177,0.21925986010794296,0.21590101457478753,0.10637399028584392,0.2744857786563821,0.5016408159302793,0.5665011843013917,0.10102883726092081,0.4972627070376918,-0.043678406240607225,-0.029329392096355728,-0.027807072234217117,0.16776809552337138,0.4554214307801165,-0.06376365902818075,0.22247231673440013,-0.002052613811773342,0.0022460607024509874,-0.011964534053271038,0.19827328990803866,0.30767722214974436,0.15270829370243513
Precentral_L,0.1813087993055729,0.6965052973027172,0.7010431344111285,0.6100201289367179,-0.03504803282423728,0.7934295105461346,0.5639474019641609,0.33656334207605754,0.30610464876783783,0.5650298749553989,0.3715343925772306,0.36113142315370067,-0.02131000198604618,0.5750280678413123,0.6296149447930727,0.522695599793511,0.2552029074348021,1.0,0.018316159625792368,0.7594613454903044,0.46662058944883816,0.8534564542611159,0.6956818790316827,0.5727866897525575,0.64619577262439,0.7973888104066676,0.5307813811935954,0.05138864456454423,-0.012880512031884431,0.19420832244786493,0.20497469598621523,0.10938111024853732,0.5160130722809813,-0.03114384521567721,0.45627993251311094,0.13860834707339975,0.4495179480448025,0.010260873815915905,0.03156600050289693,0.5685162350379649,0.36894663981650233,0.6849065942825626,0.16549180600483648,0.8331089276702236,0.17521907302223877
Thal_AV_R,-0.15474334546602808,0.03205108180217104,0.0805300516781383,0.0016488776722094426,0.06194997905174231,0.057115748954124676,0.18978583572620766,0.1349680528683247,-0.13959257550789347,-0.1209048120273123,-0.23648504748929322,-0.03453261294671343,-0.18811769187380467,0.0027899336039558863,0.09489784992084041,0.022916130410820548,-0.13443445059234907,0.018316159625792368,1.0,0.02190593300171009,-0.26175311974638177,0.1192058581701139,-0.0916090991347256,-0.1122232203871236,-0.052719478262142905,-0.05047961649685699,-0.04239077512608087,0.43847724457805637,0.11288059930278009,0.08608938830648424,0.2974822632758552,-0.0028486619438920532,-0.09354603872282637,0.3269316514387277,0.06814960444387677,-0.09110929466670366,0.13744871648555015,-0.04069819376533743,0.03978068125912768,-0.150533264757252,-0.18177921866466798,-0.20368265154455586,0.4280849090628997,0.07797693005575826,0.32413826184721867
