,Thal_Re_R,Raphe_M,Insula_R,Thal_PuI_R,Red_N_L,Vermis_3,Vermis_1_2,VTA_R,Temporal_Mid_L,Amygdala_L
Thal_Re_R,1.0,-0.03373213812908552,0.29205914855108306,0.07605957376737528,-0.5312432278930446,0.1805230126699917,-0.11608631373677333,-0.02124726845938924,-0.3182851050774291,-0.5558688878751614
Raphe_M,-0.03373213812908552,1.0,0.20672178888606996,0.2663488529496918,0.09110685346655195,0.5880528222143051,0.37518748351935544,0.31268432476225877,0.12559746444751244,0.4578629763212115
Insula_R,0.29205914855108306,0.20672178888606996,1.0,0.4819259300295385,-0.19446113766228468,0.428763452609428,0.3887585231199129,0.02761847200031806,-0.48807129628922125,-0.20576397135548902
Thal_PuI_R,0.07605957376737528,0.2663488529496918,0.4819259300295385,1.0,-0.001959366480999848,0.3053278617830747,0.40671836214920953,0.11001667557426123,-0.2866694392800583,0.08002936049395111
Red_N_L,-0.5312432278930446,0.09110685346655195,-0.19446113766228468,-0.001959366480999848,1.0,-0.026043035247063192,0.3884180872799928,0.1544424812268773,0.6068079081990521,0.42709553406567047
Vermis_3,0.1805230126699917,0.5880528222143051,0.428763452609428,0.3053278617830747,-0.026043035247063192,1.0,0.5868104412971964,0.21564987245075204,0.014789835062348563,0.2887813322444887
Vermis_1_2,-0.11608631373677333,0.37518748351935544,0.3887585231199129,0.40671836214920953,0.3884180872799928,0.5868104412971964,1.0,0.08457687675727892,0.14163096869446756,0.37803394104839255
VTA_R,-0.02124726845938924,0.31268432476225877,0.02761847200031806,0.11001667557426123,0.1544424812268773,0.21564987245075204,0.08457687675727892,1.0,0.252325240457811,0.07117991798331302
Temporal_Mid_L,-0.3182851050774291,0.12559746444751244,-0.48807129628922125,-0.2866694392800583,0.6068079081990521,0.014789835062348563,0.14163096869446756,0.252325240457811,1.0,0.24169339153990832
Amygdala_L,-0.5558688878751614,0.4578629763212115,-0.20576397135548902,0.08002936049395111,0.42709553406567047,0.2887813322444887,0.37803394104839255,0.07117991798331302,0.24169339153990832,1.0
