,Thal_AV_R,Thal_PuI_R,Cingulate_Post_L,Cerebellum_8_R,Vermis_1_2,Thal_AV_L,Red_N_L,OFCant_R,Thal_MDm_R,Vermis_6,Cerebellum_3_L,Cerebellum_Crus2_L,Thal_MDm_L,Thal_LP_L,Temporal_Inf_L,ACC_sup_R,SN_pc_R,Thal_MGN_R,Frontal_Inf_Tri_R,ACC_pre_L,Occipital_Mid_L,Amygdala_L,Frontal_Inf_Oper_L,Thal_PuM_L,Hippocampus_L,Thal_PuL_R,Thal_IL_L,Rectus_R,Calcarine_R,Lingual_L,Cerebellum_Crus1_L,Thal_VL_L,Vermis_4_5,VTA_L,Parietal_Sup_L,Pallidum_L,SupraMarginal_L,Parietal_Sup_R,Amygdala_R,Frontal_Med_Orb_R,Precentral_L,Pallidum_R,SupraMarginal_R,Cerebellum_9_L,Vermis_7,Cerebellum_10_L,Cingulate_Mid_L,Temporal_Pole_Mid_L,Parietal_Inf_R,Putamen_L,Parietal_Inf_L,Temporal_Inf_R,OFClat_L,OFCmed_R,Cerebellum_7b_R,Heschl_R,Cerebellum_4_5_R,Precentral_R,Frontal_Mid_2_L,Cingulate_Post_R,Calcarine_L,ACC_sub_R,Red_N_R,Thal_VA_L,Precuneus_L,Thal_MGN_L,Frontal_Inf_Tri_L,OFClat_R,Occipital_Inf_R,Thal_LGN_L,Frontal_Med_Orb_L,Thal_PuM_R,Fusiform_R,Cerebellum_8_L,Supp_Motor_Area_R,Thal_IL_R,Cerebellum_6_L,Thal_MDl_R,Temporal_Mid_L,Hippocampus_R,Postcentral_L,Occipital_Sup_L,Occipital_Sup_R,Temporal_Sup_R,Cerebellum_Crus2_R,OFCpost_L,OFCant_L,Raphe_D,Fusiform_L,Cerebellum_10_R,Temporal_Sup_L,Paracentral_Lobule_L,Temporal_Pole_Sup_R,Temporal_Mid_R,Thal_LGN_R,Thal_VL_R,Frontal_Inf_Orb_2_R,Precuneus_R,Postcentral_R,Vermis_9,Vermis_10,Frontal_Sup_2_R,Frontal_Sup_2_L,Cerebellum_3_R,Thal_LP_R,Thal_VPL_L,LC_L,Cerebellum_6_R,VTA_R,Temporal_Pole_Sup_L,Thal_MDl_L,N_Acc_R,Caudate_R,Thal_PuA_L,Thal_VA_R
Thal_AV_R,1.0,0.16108552282784022,0.4575918942340378,0.18521210460642487,0.3600667422891109,-0.013948210992783473,-0.0202814392509162,-0.019181974273123143,0.5688779042726262,-0.04496050939919478,0.5072316412491277,-0.3154777115095653,0.6166989318811746,-0.006504160278738667,0.18084357881153512,0.22814340596255495,0.051795370898846914,0.2898294651700141,0.2228016528578023,0.17156681934310158,-0.36482114177301833,0.5160559357622395,0.36611876935140353,0.1768022374874949,0.5593842185372925,0.2100640927579298,-0.026585007309471307,-0.09580243839044715,-0.17484619174334334,-0.1556402054866433,-0.1884786870811954,0.427508677936332,0.1687256669281268,0.13328839156989,-0.03404468265856754,0.6142113180164424,0.13284085483006922,-0.20743806993999953,0.4463399570507917,-0.036833150758144334,0.4079239153514014,0.6407799687712686,-0.06668841862073349,-0.22697259811500334,0.09353468940657564,-0.0715385490744783,0.2734016440134416,-0.13833426170427707,-0.11081610458533586,0.5634272133909227,0.0898607109629178,-0.02177457099454663,0.09420274841884242,-0.11883376842497717,-0.13723267103161998,0.5498608436714406,0.45731550129867804,0.5192071554213276,0.38448757852216886,0.20379380340133135,-0.026638837768905202,-0.11390199888697086,-0.11878446053245774,0.44047828593063404,0.2387645858803782,0.48382258655978116,0.20795134044462643,-0.15948593789710397,-0.2898545239674463,0.15415942406499372,-0.036719865856506495,0.19938899330440868,0.17570055272423082,0.07160587883095802,0.22222617138181186,0.014751786557895134,-0.15027992577481578,0.5145671438539491,-0.11561847118534922,0.6328577625552163,0.2972364583797489,-0.3369195848415138,-0.32709612839854535,0.14829676260094385,-0.3036859933559042,-0.1090299199392207,0.046327555562453014,0.30402279536074917,0.18955659099011463,0.2720195211095758,0.12598904519791476,0.28399126316369994,-0.0029042969274358527,-0.198829079701737,0.29514000061518414,0.3147557525174014,0.3375749624904169,0.23066250106913258,0.1696281962120412,-0.3688960748017588,-0.5509449388919139,0.5251999276673828,0.3016928798784711,0.5022697152695947,-0.18849098050790744,-0.015036809159900792,0.08906152964029308,-0.03566186679036677,0.07400941148688223,0.151130244464917,0.3759508849466461,0.07464901365366837,0.6336129995484956,0.18225263198226252,0.4949747528367039
Thal_PuI_R,0.16108552282784022,1.0,0.3063693913324609,-0.10306772412383867,0.40671836214920953,0.10411399217406124,-0.001959366480999848,-0.2145561615611261,0.4131084740711727,0.40469195778326117,-0.005795900297076058,-0.02244902818737852,0.26374481845853903,0.3023379809192546,-0.05999973457027704,0.34467407106806014,0.5594200747008231,0.2888713145575544,0.46257253871673815,-0.35523508831620354,-0.044765772093845295,0.08002936049395111,0.005325613062643347,0.018256099446823718,0.3136626589790543,0.1836344572268939,-0.053188168857320764,-0.27645743791854366,0.3697052066476001,0.25582468340987113,-0.24430097094255224,0.1443400911476697,0.37355339058807413,0.2652686788245461,0.3361525390750828,0.20183290816037458,0.038389824564071535,0.21450155543367588,0.3936396079811983,-0.25817200205380164,0.4504362531453526,0.3685679632805732,0.4185435178227273,0.3178066785622119,0.1289812558557124,-0.05499446408664575,0.26947486749453525,-0.02051296075228882,0.2763546026446595,0.16315923458216364,0.2885985492727074,0.45664913498951104,-0.0598340719309181,0.037230232561813806,-0.0628937226034386,0.3157262953091732,0.41996469662224556,0.3767064520600614,0.38632189924939514,0.13091431683311,0.4144954212459111,-0.13760902639414066,0.3977944039609147,0.3042975309634065,0.4063251218191889,0.2293514513960067,-0.1485489695263541,-0.2716210567680052,0.37052755741450766,0.06660132433259541,-0.3042530475966326,0.3184255376850607,0.5447065386207028,0.10895818953526587,0.411391520599731,0.3256197915433009,0.18759934148254453,0.16378809137674594,-0.2866694392800583,0.4953850384113402,0.35478262336570554,0.1580306257919269,0.24251487557868343,0.49288669108373234,0.2339075663634591,-0.15748848032970847,0.09023468267480081,0.23047683606488886,0.178074392153283,0.39663944956907565,-0.28021023314856736,0.44237896710827185,0.3004069671360639,0.4963667809732763,0.27700338190084595,0.14507026996528868,0.3184775606280394,0.41242653269556734,0.4605772277400427,0.21056344300371013,0.13497233723508126,0.28417652433664903,0.1318172330898607,0.28924494601736606,0.2772379566661993,0.28122068034482467,0.2724673652343392,0.35712831376486615,0.11001667557426123,0.04683627822203636,0.025081941359291014,-0.24358668370943865,0.13404049915445962,0.13729263192402688,0.007781154892946367
Cingulate_Post_L,0.4575918942340378,0.3063693913324609,1.0,0.38720842099645214,0.5594653068452972,0.06919633397214142,0.17378200982464906,0.03065229482193194,0.5519868688797407,0.1527817311904652,0.5667418892161926,0.1508972593389915,0.4123495420693591,0.3202238849721729,0.4404134111279739,0.22744764092808276,0.20579508376534517,0.31936520330199936,0.28290359249268665,-0.3279218770797091,0.06439988514370656,0.316199178192286,0.22552587432835058,0.38937246427369704,0.6135763002921913,0.3035854353717535,0.24567143574733571,-0.25350544618962,0.21910374941952254,0.2527613151976917,-0.06672641934339972,0.5282858317747929,0.6092265307037986,0.10130808717634013,0.42488031449248664,0.5169556116519584,0.3850747127954284,0.2754639231670972,0.2097486367442759,-0.30639247023991484,0.5886486739686153,0.4627251359839824,0.331830740828618,-0.031575467262206086,-0.028573756962668156,-0.32060706825112334,0.6180313866302705,0.15361263511603995,0.39767923835064006,0.5461764614308746,0.4754079271203157,-0.026296606003577073,-0.09956290886086476,0.032213318875697255,0.1396293228108263,0.33514452474743284,0.6526419696756047,0.6085537476513916,0.4122915733823229,0.7014123185871333,0.4244891233128989,-0.10170727441531359,0.14117068341666883,0.41930757611034275,0.6926856894760453,0.46489242544892817,0.1178920014629465,0.06905031396151846,-0.057135165864986855,0.4369917931056634,-0.3082813788166704,0.46310663473741565,0.3338788101043516,0.37515511686743636,0.6248198991904548,0.21720991838637974,0.2975574815933418,0.4010428550683946,0.08724653602929205,0.5303822743839859,0.5475457936126881,0.15852201895789278,0.2024006116638794,0.15897944784833262,0.026627905371185735,-0.24738812318171205,-0.06668128227981238,0.42027648484739955,0.5433812678528274,0.26519340510503125,0.08378392086972541,0.5920791981209971,0.1846881361506897,-0.03793882650014091,0.37316709279809473,0.4575800299927907,0.1865765798474229,0.6613970682783002,0.5448503501210067,-0.212702678177272,-0.22143892422964379,0.42495366356988074,0.1558143717831164,0.5012275132768557,0.1485462429851673,0.3524082984964201,0.32268972719921274,0.33053242862173354,0.13508995493427992,0.09391383705023754,0.4645904994198169,0.09222619726430303,0.36214694938177494,0.5838344537247754,0.414538086759436
Cerebellum_8_R,0.18521210460642487,-0.10306772412383867,0.38720842099645214,1.0,0.2798397034507581,0.06100640108664336,0.49956789294017634,0.5804003560237218,0.36029379853819193,-0.044381446839422384,0.6436240763504986,0.38302975714014287,0.29009488922284393,0.20339511347289865,0.5729182689558037,-0.08335379723460234,-0.0694896033204497,0.3460779959434853,-0.31578309284945,0.09998425689778788,0.18330303437565756,0.35128722690453557,0.37720033148957155,0.35384069497234677,0.5315926509049135,0.21712217062065456,0.3891117864273638,0.30683814215078287,0.23085874649865415,0.46321089194977544,0.5223361251357423,0.29659058557250745,0.3134016977214195,-0.16732045787229122,0.08655645485820157,0.20298087100047457,0.24212319294697576,0.5405750380065968,-0.1080117378590696,0.2601995861885764,0.20397090774339302,0.05692408924143412,0.2598681975839411,-0.11162927820510175,0.10790809409858448,0.054186916100484955,0.5746670480439524,0.08683339995262274,0.5613952104993791,0.4064284535206027,0.13138860034309963,-0.49167683639462395,0.1202614135620347,0.3333224250857302,0.29498913099268137,-0.04221509522561304,0.4515662253742575,0.32453377599864536,0.12682913756288813,0.5736992519631741,0.3087559342320014,0.22097618107048303,0.16515002328596737,0.01145765050026027,0.261748896000104,0.2506470596083291,0.4233123186886672,0.5318166161683193,-0.2980396777903445,0.6898850776320653,0.24429307297317696,0.1776760049065445,-0.14052798812434875,0.4624134169441979,0.4621445282971761,-0.0715301942663887,0.3460839479409365,0.4256335811977366,0.5175127519008113,0.19604502703998675,0.13960581523675017,0.17777553653421546,0.23718575803920489,-0.37422526732845013,0.10619550062741195,0.04124750593855746,0.265935824416436,0.31145420886366326,0.6098335743874886,-0.470845838824546,0.5586246883641873,0.07036404239405394,-0.019048979370153762,-0.2732988475132774,0.281117235786758,0.1846517642101342,-0.45124442665520137,0.2594515632495285,0.29653587116451474,-0.2852471023804147,-0.14862771034654526,0.4147934124175176,0.38084549514464383,0.5529179667167378,-0.06108597926556215,0.42878762292759287,0.3993320972278052,-0.12449641232683416,0.20854259364545205,0.26294759002417634,0.40218700730747503,0.1423172531262694,-0.0036530904627050643,0.4781418321121836,0.2580554959954221
Vermis_1_2,0.3600667422891109,0.40671836214920953,0.5594653068452972,0.2798397034507581,1.0,-0.12656930471776026,0.3884180872799928,0.009644511216594636,0.5678221095312761,0.44343895494269336,0.39769851925803906,0.0949124897540186,0.4408860305900256,0.24916294947713935,0.4021644761183754,0.5643890606749637,0.3281574076562764,0.3639624058568042,0.45460084975055076,-0.34171692109011387,0.18569386470813265,0.37803394104839255,0.3431208682797342,0.4403497122243608,0.7179089116176184,0.4091956590864268,0.2336677173566962,-0.20165374449006823,0.5548434350241327,0.4998585840006979,-0.09128948714973997,0.6334678052281891,0.7847819853210694,0.3185678483651969,0.624486194538448,0.6216056707956719,0.5338623949331428,0.43517159645377546,0.33687928492589947,-0.20441719110672704,0.7537996745945769,0.4929463097678514,0.42805967002146916,0.28150027373678155,-0.031668934771003764,-0.1791244943550116,0.5835050585022966,0.009969264994453206,0.38751919117537975,0.4636357068108987,0.608896664530415,0.2145217440439588,-0.18085556719796345,-0.16726538896136525,-0.015012998386609659,0.25623290523318837,0.7120765858792512,0.6825713573251213,0.4689636673703193,0.555859107022775,0.702289417124138,-0.17134627354114132,0.4851033924854802,0.4864033521268387,0.808048825170464,0.5056541078818402,0.2219227761183406,0.03181391719727161,0.30086729465760614,0.5134885833267339,-0.27040178526627695,0.5847426595809008,0.5579980457157036,0.3318325538308585,0.6094165688357401,0.37972709613311884,0.5658262867261484,0.4907751156689923,0.14163096869446756,0.6325105810959873,0.6801755928930407,0.3172984787480609,0.4853595297991828,0.35398339253386113,0.2731202442394765,0.0039173092619239095,-0.032215826664922224,0.5506460142277547,0.6269253454378582,0.33000225686823764,0.07132710651887735,0.7625402281170915,0.4049961143492107,0.2891510605371106,0.530997165052846,0.5819215019641064,0.21609670925270327,0.7749685552552984,0.7363124387744123,-0.05544167711605948,0.0447721729738379,0.46393128212862983,0.21435201923464817,0.372485111355434,0.19934778918860258,0.65803352758833,0.3850532554614989,0.6272971610362825,0.08457687675727892,0.1449254071414315,0.6837492350509667,-0.13232554865519564,0.4283738786978503,0.5920991858632608,0.21344901652694775
Thal_AV_L,-0.013948210992783473,0.10411399217406124,0.06919633397214142,0.06100640108664336,-0.12656930471776026,1.0,-0.3912721378461463,-0.03172936045082797,-0.02019629154286567,-0.3060599325965837,0.041181787097528795,0.15340943851426767,0.08806829985319363,0.21866942379574614,0.06225555932866182,-0.33899946819790416,-0.17521519291627669,0.26645150797380207,-0.049663571951934424,0.21991477782112123,-0.1516134670964607,-0.261878126409815,0.0333687699096348,0.025615754682840976,-0.009085062666594331,-0.4717445776592934,0.12065996010369834,0.10568786019669599,-0.3013497073378923,-0.1909276468377879,-0.0653314337395772,-0.10589425536796065,-0.09183645859931037,-0.22284059416179833,-0.1629029165572312,-0.3186148297706753,0.027486528655300622,-0.1286752555990558,0.0060438822483142125,0.06898224774311293,0.06168101103148867,0.023249901106521448,0.08087698525998466,-0.08054664828486081,0.05920339554133737,0.01972422147279949,0.058197729828658305,0.21402896169154007,-0.007579416386775703,0.09234691823262182,-0.07140829417390167,-0.03763689018380339,0.021230634475934988,0.2666799870484437,0.3906821457266856,0.12380961123462048,0.06028075088075845,0.19720000823955222,0.1875757311031066,0.10407313850226779,-0.06376074871648163,0.40442469806069103,-0.3747860879066408,0.10983444940473908,-0.09715145105386437,-0.1370290969342181,0.09575032071503613,-0.02348664515768348,-0.22968121955147125,0.12130892301133692,0.0899941824895424,-0.10247224382715771,0.008151183636648754,0.1889484126633046,0.10201401845273889,-0.058095897155370516,-0.09958637725632576,-0.040400515175967294,-0.05662280591972313,-0.03747312572565897,0.0007386057594171824,-0.19329218469881554,-0.17226995087552163,-0.021464428466175262,-0.07140360237015485,-0.05990063132885815,-0.11337877669788496,-0.031181942964711367,-0.08013902901343004,-0.06858864995650453,0.07595487202995925,-0.03272590360057749,-0.474995700792516,-0.11906041275879121,-0.2632331735847641,0.16135430170977066,0.11887247544776984,-0.13113748138125284,-0.035109254240299266,-0.10755801276733211,-0.2402703251979505,0.1318606686911137,0.10970022276638827,0.028691084735697286,0.506627327508026,-0.3020513677243156,-0.11618122483347282,-0.170221275236927,0.08611198703937654,-0.21363460873051407,-0.25277074394305643,0.5636068914334734,0.054673108213240576,-0.14969666532796508,0.41134038766465825
Red_N_L,-0.0202814392509162,-0.001959366480999848,0.17378200982464906,0.49956789294017634,0.3884180872799928,-0.3912721378461463,1.0,0.6447761120313157,0.18343080314696306,0.42763317657895583,0.35370677450047944,0.36667222569364505,-0.02948204817365905,0.19118509223658217,0.4905524398665573,0.07505240018763418,0.06799112208861915,-0.037902059654048845,-0.23067263628350518,-0.08171030809233797,0.5512425735794284,0.42709553406567047,0.3249717308821109,0.32305336650796573,0.2758599832641786,0.44173158891137926,0.3551435388772271,0.17878073285189058,0.4890946064380451,0.6050251475916187,0.5698437996823658,0.2632633396176874,0.40199984413819373,0.02985880193597731,0.31808128602286406,0.2346322145331753,0.3368896344510999,0.5230440016455549,-0.2655510206149161,0.26817193952936946,0.13733543209205185,-0.1921300685247232,0.07899842539011283,0.09736881405553485,-0.060820983376706494,-0.0027878346797852818,0.33775354494698173,-0.09452839760634742,0.4115720065257647,-0.09810571758390119,0.29430925028080834,-0.3615138620290445,-0.11281704191188155,0.16020515051672315,-0.2094897255709893,-0.3830476051368947,0.244678076189253,0.08633339716532218,-0.09954610109390821,0.4544636284573655,0.41058817345008075,0.03631484010407081,0.6393574947054889,-0.08962422568638899,0.3262231177848441,0.11732643798319198,0.2342946562950969,0.591868720761479,0.09147452903455171,0.43685452963844684,0.20635461411239048,0.2292020320370957,-0.14277810173367236,0.0604324753420609,0.13095333260863753,0.055513235671772174,0.5526961680348488,0.16569327330461592,0.6068079081990521,-0.01593742425103345,0.16575518072681586,0.46663813822812045,0.5160945675948513,-0.3482388847450483,0.13707223684913802,0.27147927477293254,0.4339372618513385,0.2638554492494341,0.6399198185035865,-0.24348952304415644,0.376212092004743,0.1920929382567945,0.3874411447520162,-0.12845412165979864,0.3974955408555752,-0.08638188360298107,-0.4867799933405393,0.3459129792502223,0.23184112198907603,-0.05090494786623446,0.3165584281779368,0.18106216164272879,0.141670595378814,0.12073307596917748,-0.2271890197921474,0.5856859780451321,0.41837743108809705,0.17405794737237792,0.1544424812268773,0.3917374730899275,0.4588247116870537,-0.41820905989183293,-0.10149026718406076,0.6202629152423056,-0.27568147680344124
OFCant_R,-0.019181974273123143,-0.2145561615611261,0.03065229482193194,0.5804003560237218,0.009644511216594636,-0.03172936045082797,0.6447761120313157,1.0,0.010271309237874513,0.015698684491449313,0.43769595989491655,0.3464449908636861,-0.07205986121859181,0.3248688330961894,0.5540589243120967,-0.31282571040351165,-0.28256881321274296,0.019794514201583933,-0.6297024950283517,0.4039790026729776,0.44942626272172215,0.27706624352024,0.47634604423991705,0.28859966272706167,0.17453882469324247,0.18689845160029428,0.5691683395469167,0.6204946522013468,0.08565001779265397,0.4160207265307185,0.857089522765088,0.05122305250540668,0.09240636496609801,-0.0657810265261182,-0.12891773300267875,-0.04316460266541187,0.2462639827207723,0.3651912792848692,-0.40099594853817105,0.7323723094355524,-0.15758128906015104,-0.3526658983932811,-0.12336759615383959,-0.008973926234226173,0.017840836027917462,0.36991262450798523,0.2641301725260412,0.0025607935759415215,0.33714179452092347,-0.10466224929124052,-0.032381470790283376,-0.6503906083644504,0.21355066219056046,0.47429012142035115,0.060696228888656965,-0.41450862639388225,0.12127984915717267,-0.053783389653945,-0.25634476004570855,0.3559888685136588,0.04223429969451863,0.4108356327853375,0.14882935290444635,-0.2558743640048465,-0.05659320418497613,-0.17364841991272656,0.5269829802920396,0.8133476960992206,-0.3309942098797059,0.43713084304529937,0.713672872108019,0.011498404978144444,-0.4594748811062572,0.06195208900305359,-0.02307806844222458,-0.1371120833708885,0.4132922072579089,0.07279862164748407,0.7523338134833127,-0.20099661142023134,-0.1717336310141902,0.28150675527718316,0.17588082348547152,-0.6856641634901287,-0.07975940692025998,0.32927861403540387,0.6171704062224344,0.06666407141446026,0.5159571344579157,-0.5615051161982557,0.6989110047549872,-0.20669557802760458,-0.15156571949167183,-0.4600249342732831,0.1356207378543829,-0.18239502172523858,-0.6900225542063759,-0.0277563107290447,-0.0984379928689099,-0.16891483687134037,0.06833172785323995,0.2706891211787988,0.3989364290108258,0.20070295098818186,-0.20554708472105482,0.2953710528651592,0.2321320053221349,-0.3283195195428433,0.35949774303866633,0.3341609767514916,0.20672251260469662,0.024189747556176706,-0.09936673296502495,0.388336739556051,-0.1358709551291571
Thal_MDm_R,0.5688779042726262,0.4131084740711727,0.5519868688797407,0.36029379853819193,0.5678221095312761,-0.02019629154286567,0.18343080314696306,0.010271309237874513,1.0,0.07275119875068113,0.5425506790890541,-0.051656936959663266,0.7742003130981547,0.1096281718743209,0.30477462835252245,0.44105414934885806,0.2627486075757601,0.5298329088353544,0.38456492182639695,-0.11375570395711043,-0.045382255077459265,0.4655747198734615,0.4055044725431138,0.3535075140329773,0.6685096054234156,0.4657987683471438,0.14520303418665592,-0.14460233648734913,0.2599072185584162,0.22188892810158448,-0.1365822709728312,0.6249166448207184,0.5009430902386357,0.20930921438170805,0.3056444620364486,0.5206502676994847,0.3100265146890387,0.21935355418297667,0.39289083929823626,-0.14513076781374865,0.5807168222072346,0.5447956007198497,0.2877925919485788,-0.11443916557794649,0.30033422418000955,-0.1265195186344851,0.6407629323053877,-0.13320177225932206,0.2918556357882314,0.6644208660090312,0.3757801417118752,0.06768257561616857,0.11718176870067684,-0.08432166490287357,-0.04006324531286749,0.5087844644673943,0.6820451737400558,0.6174613727913625,0.5057145364966729,0.4405023895124008,0.36883531146899645,-0.10156553529777236,0.25738419831491066,0.496735536708181,0.5264862881275421,0.5713816490960487,0.28434389741907246,-0.03744283703592963,-0.08467670270699329,0.44221843151307105,-0.15259477544422984,0.4943477443519219,0.4017201711450412,0.2243451566520292,0.5818712697222965,0.27019984716682693,0.1480347202832942,0.8094632367817108,0.03369334628804743,0.6878767008412955,0.5032843550808668,0.08902395234848687,0.08745102561162847,0.25186735433290763,0.062466404824035884,-0.07341666219736553,0.0033903018147892084,0.33668890073389296,0.4730201141653125,0.275200846273673,0.16169787408676603,0.48621020880673893,0.14537359132747937,0.04511189628701602,0.3848791717633274,0.5331569636103302,0.22845102712173634,0.5298643564023925,0.5292853138693238,-0.19691614690937456,-0.24573402460010133,0.511786352502839,0.3107352565798419,0.6283989575097596,-0.016571836927429563,0.38684242253391776,0.38544530076971534,0.2335978185896392,-0.008504956697729438,0.05955661097028523,0.5802259830950648,-0.013366935458156471,0.49237517370356343,0.3893526765610224,0.4030147751084675
Vermis_6,-0.04496050939919478,0.40469195778326117,0.1527817311904652,-0.044381446839422384,0.44343895494269336,-0.3060599325965837,0.42763317657895583,0.015698684491449313,0.07275119875068113,1.0,-0.11496622811048877,0.1295876454197706,-0.07214324253312082,0.25890780065664076,0.08777525058825957,0.3217841565200235,0.44565385120504436,-0.1167476598834899,0.2801883368149711,-0.4089425544378353,0.21168905941139823,0.08166926307643174,-0.11426815052317127,-0.01551183727197082,0.15664644285854604,0.279554379509913,-0.008877358711003076,-0.18568869060647739,0.4992945830437247,0.38313381569703314,0.04413046216415915,0.11755027863577547,0.5029194801208462,0.11013209414193728,0.47561039813807326,0.3947599260080204,0.09365920854703871,0.3418334220101396,0.08705760383365005,-0.1928222129800999,0.2878231488645798,0.09897072395686005,0.27293804033864405,0.5883518697537384,-0.2108691135276135,-0.10186026940611276,0.09096229074545559,0.16897761362298744,0.2437814098873899,-0.1811837967369366,0.3604547488366897,0.3760601002709735,-0.3342220819820743,0.13054925894397745,-0.12479500954473455,-0.08312963250765266,0.26469941320162615,0.10678809418982427,0.09622418861246161,0.11512973271610372,0.39218057388809224,-0.255564531125445,0.5630483928886894,0.11238163209200953,0.42748291594565524,0.251513625214071,-0.24367212687294493,0.025916697319662875,0.5794879462419941,0.03149965707493399,-0.2874010397425717,0.2798007104297873,0.3467387765287297,0.13434306616879876,0.11853936114640369,0.3843189349557261,0.5703170045684425,-0.09899918208045393,-0.0473938497385552,0.20693262779116084,0.2931137266972688,0.302186380051842,0.4840008250542364,0.31883033688206025,0.33490359925783997,-0.0252690335313209,0.2927395207676308,0.27431654973939235,0.3136057264832615,0.2963345681065031,-0.2919964578971437,0.43409493685128253,0.7202462661734991,0.4602900384616868,0.4350588751907442,0.01547717115567654,0.06667589264914543,0.4007324311712286,0.3788414720429194,0.29476652647376556,0.44439907458923117,0.061124026222974644,-0.10196971387044274,-0.04804634598261954,0.1587426694290043,0.4935676235276695,0.26609760129317905,0.6736238827551706,0.23098511754578663,0.4786209592764908,0.24899245163937234,-0.5572852831369166,0.003230826914605467,0.3939013155449311,-0.38943445691951845
