,N_Acc_L,SN_pr_R,SupraMarginal_L,Thal_MDl_R,Vermis_1_2,Thal_LP_L,Thal_MGN_L,Insula_L,Temporal_Pole_Sup_L,Cuneus_R,Vermis_9,Angular_L,ACC_pre_R,Occipital_Sup_R,Thal_IL_L,Thal_VA_R,Caudate_L,Pallidum_L,Cerebellum_10_L,Rolandic_Oper_L,OFClat_R,Occipital_Inf_L,SupraMarginal_R,Temporal_Pole_Mid_L,Cerebellum_6_R,Frontal_Med_Orb_L,Cerebellum_8_R,Vermis_4_5,Thal_IL_R,Thal_MDm_L,Thal_LGN_L,VTA_L,Thal_PuM_L,Cerebellum_4_5_L,Rolandic_Oper_R,Thal_MGN_R,Temporal_Pole_Mid_R,Temporal_Inf_L,Frontal_Inf_Tri_R,Vermis_3,Rectus_L,Thal_LP_R,Supp_Motor_Area_L,Cerebellum_3_L,Thal_VL_R,Cerebellum_Crus1_R,Frontal_Med_Orb_R,Cingulate_Post_L,Calcarine_R,Cerebellum_Crus2_R,ACC_sub_R,Thal_Re_R,Thal_PuL_R,ACC_sup_L,Precuneus_R,Thal_LGN_R,Frontal_Inf_Orb_2_L,Thal_MDm_R,Lingual_R,Frontal_Inf_Oper_R,SN_pc_R,Occipital_Mid_R,OFClat_L,Parietal_Inf_L,Cingulate_Mid_R,Temporal_Pole_Sup_R,SN_pr_L,Occipital_Mid_L,Thal_PuA_R,Thal_VPL_R
N_Acc_L,1.0,0.3629293701380288,0.027615593501334555,0.40127117368088405,0.37505203786630936,-0.25647744016432017,0.47191753750359433,0.08380300993336642,0.0802931129647906,-0.08537746582941466,-0.19951511630611066,-0.059497504108006666,-0.017212241437974597,-0.149423177888597,-0.2665317567058751,0.30843652367779817,0.4132024638182117,0.5732258227806805,-0.17675488660946473,-0.06339629365199018,-0.3035898515626101,-0.11009465778884693,0.052744456755686966,-0.24886108439526286,0.1840931480061734,-0.24408471120215997,0.10938228784342353,0.1799303081748223,0.014673651132703936,0.4881458341893662,0.032243298526633594,0.22048220180390118,0.050732254205412976,0.28392879550320305,0.25297221292540534,0.17676817682588844,0.029341997535837314,-0.023938935161952786,0.3641550939372379,0.41314526517200956,-0.12812204124678195,-0.22367230873632954,0.2162980391601842,0.29934325692907426,0.23010495280349993,0.08434196975837144,-0.24189445748708985,0.2703662963268462,0.06882638590029662,0.07355303219871417,-0.24365549461011965,-0.12126944252580892,0.3390770065629689,0.14923155836870192,0.2539582351724116,0.22455464479505458,0.08941256018103151,0.43865049758199365,0.0758520173409666,0.18710632986158587,0.1785641617458335,-0.25798293204521117,0.024713209327869,0.14744190897749843,0.13023922675513,0.22284370680535281,0.11737422798221021,-0.28579937685167145,0.2985841142077545,0.23612980156007035
SN_pr_R,0.3629293701380288,1.0,0.03155604535924418,0.2983748283112448,0.4295826778100452,0.06010785056147569,0.4055993305880162,-0.008170573365831442,-0.05788522243858658,0.026867886185880957,0.2343920515479283,-0.06742347408044001,0.30378194763928035,-0.03296268586837381,-0.09008325648223046,0.22813672948930208,0.48483788523170435,0.48122190244345914,0.05404066561993928,0.023117208029643472,-0.42250613104363693,-0.027418377886111543,0.3916703522109587,-0.06603353164333581,0.4141175820684822,-0.359780982050565,-0.17024053756119623,0.26463771349762377,0.47483050993602305,0.4580645612171808,0.013489240982825865,0.5369478468738589,0.0038173430686698324,0.30805638030259064,0.6832014112589557,0.16569401858929186,-0.09389270961399816,-0.24030511811405855,0.7309997609490698,0.5326739705481757,-0.3133839903940089,0.4209707466905459,0.3868162464212735,0.01202507600450035,0.4859771040427304,0.4903217135343216,-0.3548440680501735,0.303265345125801,0.2581399817634608,0.17679179484584295,-0.2655031531777938,0.15881227699332898,0.14417015080622764,0.18979974411427353,0.35728969960110435,0.4368016946558003,0.2994416382304858,0.33571838940053433,0.4018425416355111,0.5648848616202524,0.5721297222250691,0.002903456117712926,-0.06490388655301517,0.22555673279113284,0.31592324309493847,0.2142032510035684,0.20788224178509665,-0.28065915186397444,0.29286874515137273,0.4979089629412236
SupraMarginal_L,0.027615593501334555,0.03155604535924418,1.0,0.1816755700133347,0.5338623949331428,0.4342336049017467,0.17747075221418326,0.3029604733459939,-0.04577451515070032,0.46112095698042815,-0.05778726524329586,0.8398864203654401,-0.02176219035238196,0.5017008750891274,0.5711580005250493,0.12841813278464187,0.22234013501903555,0.21100176372314258,-0.04876394679428774,0.274183441419167,0.3606257944526322,0.4191772890144884,0.05951791414572703,0.25048788252674264,0.40296049318750676,0.1130642530334382,0.24212319294697576,0.663110531199069,0.3520604122513031,0.16033939706105219,0.6002128979723371,0.10304323989898095,0.5779022802542471,0.6364574698567078,0.2717414793061913,0.26273372779667253,0.12461109391651622,0.6581032511262066,0.12621251583145665,0.4439050123955365,0.058793222664879075,0.15616165883622551,0.7170011185286008,0.46764492696616883,0.41030846349504446,-0.11544119662802944,0.12046128733760492,0.3850747127954284,0.3896716800514236,0.17563290301886877,0.10766674278304438,-0.039579890029118193,0.3296244198320161,0.4352858299833652,0.6904242426321633,0.19394747765787126,-0.12105741458727985,0.3100265146890387,0.40004418292241484,0.3597276666929104,-0.0586310671780952,0.159709279945642,0.08525208991832058,0.7887454759498114,0.4746640790208892,-0.0053722030752976725,0.31567967778322203,0.5901408220996668,0.4504556686069224,0.33960383968092545
Thal_MDl_R,0.40127117368088405,0.2983748283112448,0.1816755700133347,1.0,0.4907751156689923,-0.15556170076215622,0.34602832681588924,0.38584438259570547,-0.002792620850301831,-0.0814250166975485,-0.3068854228143945,0.010693170220494722,0.092699267578572,-0.1168450025539034,0.0465655001844084,0.43859435232714084,0.5712609978199811,0.47322581814886744,-0.03133628110985981,0.32464788008926315,0.06767981948773129,-0.02716155090435194,0.1115109071653507,-0.40302420521083776,-0.011375006865842606,-0.01079651852456248,0.4256335811977366,0.2612384649000113,-0.01784479013427302,0.760479325631016,0.3910228294883619,0.3249571844162025,0.261856797238806,0.4433492393719824,0.15767476147029372,0.5258616066826807,-0.12539212781129658,0.2694529351400957,0.1724617899023362,0.5145764758904933,0.12222921965279078,-0.0530325087383071,0.36561584011670645,0.5195828527081612,0.5295657266566853,-0.2910272656004413,0.007322852009382451,0.4010428550683946,0.10415448997585712,-0.07218734549406167,-0.12963750382241482,-0.22430082631466197,0.28524990598397443,0.5763308931476675,0.2867921016264319,0.20873790682726664,0.060591604486208366,0.8094632367817108,0.03583496882317144,0.12721655745095775,0.1125658134839515,-0.27856158670287823,0.09815505131089104,0.07506120080773995,0.4550366475200804,-0.008861713872119691,0.4813796390594569,-0.1895643889754953,0.6074469618926135,0.3743609708725127
Vermis_1_2,0.37505203786630936,0.4295826778100452,0.5338623949331428,0.4907751156689923,1.0,0.24916294947713935,0.5056541078818402,0.12250536816142689,0.1449254071414315,0.48327987066856637,-0.05544167711605948,0.4698410996560041,-0.19657219108812832,0.4853595297991828,0.2336677173566962,0.21344901652694775,0.4530955663562612,0.6216056707956719,-0.1791244943550116,0.03759043851058208,0.03181391719727161,0.4243525923959453,0.42805967002146916,0.009969264994453206,0.6272971610362825,-0.27040178526627695,0.2798397034507581,0.7847819853210694,0.37972709613311884,0.4408860305900256,0.5134885833267339,0.3185678483651969,0.4403497122243608,0.7718689336846734,0.4151234093660932,0.3639624058568042,0.162794018720625,0.4021644761183754,0.45460084975055076,0.5868104412971964,-0.2507944871134309,0.19934778918860258,0.6404959172706877,0.39769851925803906,0.5819215019641064,0.0908918513707993,-0.20441719110672704,0.5594653068452972,0.5548434350241327,0.2731202442394765,-0.17134627354114132,-0.11608631373677333,0.4091956590864268,0.4515707547259666,0.7749685552552984,0.530997165052846,-0.02700729246152168,0.5678221095312761,0.5265750761977298,0.5552982434182526,0.3281574076562764,0.2585392965903714,-0.18085556719796345,0.608896664530415,0.5612487192601135,0.4049961143492107,0.26265217161542476,0.18569386470813265,0.6959057555379548,0.6718515546805518
Thal_LP_L,-0.25647744016432017,0.06010785056147569,0.4342336049017467,-0.15556170076215622,0.24916294947713935,1.0,0.056672078065003274,0.22455771512047876,0.17834205656453447,0.4040756917471294,0.12409967006246461,0.4727007248043405,0.0647425380622026,0.481645183958578,0.5619977168951511,-0.04259191323607243,0.0024003175531511285,0.060761023673746625,0.21191995816847803,0.25802471833421436,0.3261986477701587,0.22797964820622468,0.34102880529989427,0.46784751823261195,0.3018825115677703,0.19351993505849913,0.20339511347289865,0.5236470865863533,0.44343916257222127,-0.018332371448449628,0.38878162860066734,-0.09505459231325421,0.3729217405435087,0.48240853964189956,0.10219354863916202,0.11803177341515653,0.3519423108828955,0.43813846981793075,0.04942972865476206,0.33585619336559436,-0.008242116918701489,0.4358266454692049,0.5282273655044463,0.24472888112496394,0.18374144480279522,0.03160201899322634,0.22848692493691047,0.3202238849721729,0.29999916839551305,0.1375811394436787,0.27544385950481765,0.12912265758001878,0.16535568544501547,0.24105663885578013,0.4387894253812659,0.25834025731847066,0.06860000540846166,0.1096281718743209,0.4208145788670155,0.22211150090651838,0.0011839223290555662,0.36740653195526696,0.13927005329467404,0.4657268602745401,0.48029126854075366,0.038691662888284795,0.061371667827737675,0.45740689958865893,0.02717362002960385,0.3044866047979768
Thal_MGN_L,0.47191753750359433,0.4055993305880162,0.17747075221418326,0.34602832681588924,0.5056541078818402,0.056672078065003274,1.0,-0.024866537205312168,0.1093370021701785,0.23499993977586842,-0.0752412327931798,0.14117946054260702,0.009282739134532692,0.18581745864918034,0.08030112434748722,0.35977327708605245,0.34869508032561575,0.5805129431925442,-0.3068210871252436,-0.1162453793637637,-0.22959450450937477,0.033262941369334935,0.4494380165948199,0.13309910537800654,0.46474195814183505,-0.39469267864643626,0.2506470596083291,0.5161818539988655,0.44371145177222593,0.47108935507205496,0.32103460025904546,0.0660071231790842,0.28410611234078853,0.582297960890572,0.49759936181485814,0.2627882889679346,0.2486916295380834,0.12808516304903392,0.5626954764161065,0.5948671922815625,-0.3223586993921073,-0.017556403201057526,0.508954324422589,0.3642543158886977,0.44407309835321745,0.20176148508287262,-0.37309693327313787,0.46489242544892817,0.3040708113748573,0.2330456388813554,-0.20587057416023177,0.10576124095529803,0.36661383832237165,0.19742535365124328,0.538515116017753,0.6389101919630484,0.004381900048465993,0.5713816490960487,0.3795532177073747,0.47708820086381365,0.39470622252142085,0.04440181345933619,-0.11873880260285435,0.3967444482910647,0.45313994930763785,0.31985288352987135,-0.008833205674220718,-0.1100079987326922,0.3122712709315419,0.45542592479640015
Insula_L,0.08380300993336642,-0.008170573365831442,0.3029604733459939,0.38584438259570547,0.12250536816142689,0.22455771512047876,-0.024866537205312168,1.0,0.13618593305301624,-0.05150811177271734,-0.13067666061760885,0.07320491109425056,0.26462821682701626,-0.06568664639136873,0.510367940603791,0.19558134627456267,0.3742714847957562,0.17642980650104478,0.6651241410952086,0.8922163624404024,0.4403583555498005,-0.14176143964111176,-0.12863648420433685,-0.1201519604262927,-0.3803777043411693,0.6809223835870162,0.48302482825795395,0.05326233489562112,0.07857777251899163,0.3535408216239714,0.5175934315197124,0.22423968252203344,0.2496401518011282,0.2683505633527554,-0.16945424965398276,0.26126736832475644,0.0030934229417932833,0.3746952522798196,-0.2860256737744326,0.41453996618687206,0.6558772231286613,-0.1139591370316605,0.3109797668435432,0.546046770083681,0.15120589864363596,-0.33820139387861503,0.641805469947262,0.08777040645293331,0.14998953456369093,-0.12213572268685781,0.2210227704000176,-0.13029791659820666,0.3035252472437669,0.6081699884991275,0.07197406618636441,0.20041122526192381,0.4747993724272741,0.26283105084234104,0.15153705576884413,-0.19682386680920572,-0.14303883768968945,-0.18659901531446074,0.643941747484576,0.009231681370378254,0.481343350720649,-0.2882327957584376,0.5963961808949073,0.17350953216395226,0.06946652888030674,0.09408264602923685
Temporal_Pole_Sup_L,0.0802931129647906,-0.05788522243858658,-0.04577451515070032,-0.002792620850301831,0.1449254071414315,0.17834205656453447,0.1093370021701785,0.13618593305301624,1.0,-0.006619244704798383,-0.005194380520507708,0.008771049139071972,-0.23458606160626436,0.08257271285037479,-0.011474709003970202,-0.3475414309689863,-0.20977778476554784,0.40260649291765926,0.200282935087091,0.09950108136193714,0.25638785533621705,0.08733320338441622,-0.04633475409737534,0.1782003018789778,0.042949568532450765,0.1444783277151877,0.26294759002417634,0.13424478903595444,-0.005377890057578384,-0.0024175727347605478,0.07459029542409137,-0.13186789245890915,-0.2976094296290588,0.1317833946380147,-0.24737428618877036,0.051515448054565906,0.5948182158109598,0.18451823725169958,-0.24214819438599713,0.010782909239074281,-0.04079417808786789,-0.0939489329463951,0.006884901311251161,0.18789223692761833,-0.33470704511699034,0.028207058945239644,0.19375380685159174,0.09391383705023754,0.13508701870093678,0.10077635178939218,0.08106669082505995,-0.15986011082941548,0.1525739074973969,0.10110608333638947,0.013222052045319567,0.25963557081552807,0.038515584118388,0.05955661097028523,0.13060058827863597,-0.17654084346662835,-0.04006968014800076,0.0387502982055904,0.12419783678899979,0.021781997356149666,0.16451685908308486,0.5023794761342998,-0.202497084482191,0.05108358646577549,-0.19092675174011772,-0.09817667160266416
Cuneus_R,-0.08537746582941466,0.026867886185880957,0.46112095698042815,-0.0814250166975485,0.48327987066856637,0.4040756917471294,0.23499993977586842,-0.05150811177271734,-0.006619244704798383,1.0,0.36972772398892767,0.7241745421057951,-0.4638609564165968,0.9483101156777577,0.38337092968759595,-0.2915841342873824,-0.1139100007931381,0.043652485033625774,-0.10375139435528258,-0.12551852151107468,0.1839021589089775,0.5263805463349127,0.552129621437239,0.30722391726789794,0.6436730293182451,-0.23384593033670242,0.17685127840906073,0.6552904502236638,0.5608449030198492,-0.1812485273304197,0.41561305437132007,0.044933599912055255,0.39329137903030303,0.5051068944617821,0.20208112704453787,0.06321440691795034,0.19308709659183798,0.2633442971658139,0.28021490154985274,0.09279570642243044,-0.23131085795284512,0.13393423956667957,0.36782768648150754,0.013138514293139131,0.16490367115671084,0.3106892104362878,-0.1794914583872887,0.17970831699230874,0.8402899568250467,0.5699613213544283,-0.06361052529853016,0.02277668865202679,0.4414993897297147,0.1413112309253041,0.6915539575539704,0.3819916292679774,0.07418463520603333,0.13413936661442102,0.7449951623068752,0.6371632938825198,0.310600801607265,0.8678037962373271,-0.13787274910239739,0.6933518105125944,0.43202048700679474,0.4347660702228141,-0.06027871599733353,0.74641483053646,0.317052904195301,0.5797504874884234
