,Thal_PuI_L,Occipital_Mid_L,Thal_PuI_R,Precuneus_R,Cerebellum_7b_L,Cerebellum_6_L,Rolandic_Oper_L,Parietal_Sup_L,Vermis_6,Red_N_R,Temporal_Mid_R,Cuneus_L,Thal_LP_L,Thal_PuA_R,Putamen_L,Calcarine_R,Cerebellum_4_5_L,Cerebellum_4_5_R,ACC_pre_R,Occipital_Mid_R,Fusiform_R,LC_L,Cerebellum_8_L,Cerebellum_10_R,LC_R,ParaHippocampal_L,Cerebellum_Crus2_L,Thal_LP_R,Thal_PuA_L,Frontal_Med_Orb_R,Amygdala_L,Cingulate_Mid_R,Angular_L,N_Acc_R,Cerebellum_9_L,Frontal_Sup_Medial_R,Vermis_10,Temporal_Sup_L,Frontal_Sup_2_R,Temporal_Pole_Mid_R,Paracentral_Lobule_L,Thal_PuL_R,Pallidum_L,Cingulate_Mid_L,Cerebellum_10_L,Thal_MDm_L,ACC_sub_L,Raphe_D,SupraMarginal_L,Vermis_8,Precentral_L,Cingulate_Post_L,Heschl_L,Thal_MGN_L,Olfactory_L,OFCpost_R,Occipital_Sup_L,Occipital_Inf_R,Vermis_7,Cerebellum_Crus1_R,SN_pc_L,OFCmed_R,Frontal_Mid_2_L,Cerebellum_3_R,Fusiform_L,SupraMarginal_R,Vermis_1_2,Rolandic_Oper_R,Frontal_Inf_Orb_2_R,Red_N_L,ParaHippocampal_R,Temporal_Sup_R,Lingual_R,Insula_R,Olfactory_R,Rectus_R,Calcarine_L,Postcentral_R,Precuneus_L,Thal_LGN_L,Cuneus_R,Thal_VL_R,OFCmed_L,Vermis_4_5,Cerebellum_9_R
Thal_PuI_L,1.0,0.2520426650789405,0.25712041361513177,0.5705372029903091,-0.0015010875873641787,0.5256859864969455,-0.08149543757868669,0.5257910167198301,0.6279240565881302,0.6736376012608474,0.2668084579118397,0.4060083870615484,0.14738262321284068,0.39551923997090765,0.17117048776383592,0.5884725036325407,0.5757451832575743,0.5111281282048534,-0.46824108195486563,0.38987018906892457,0.2886288371301922,0.48621233575817585,0.2508714349775195,0.1090935107310092,0.4538441419260085,0.06894366172403553,0.334838102955311,-0.07159097189588527,0.6111719470052959,-0.20724196897906697,0.3149662840600346,0.4489905241759337,0.35387819791813785,-0.4602793566381103,0.22385293028513248,-0.0260602510263204,0.28107595429913196,-0.01105833672674262,0.25796118138901986,0.3761783866545794,0.5500887850758824,0.4383916373453968,0.6294875948670468,0.3843999562290745,-0.23000160375937975,0.2249475074252658,-0.2912508493484745,0.4180013724578398,0.25515922919930645,0.21204619724389964,0.44518144282515343,0.390716497118245,0.3403484876145845,0.5614342906974407,-0.16449715869959583,-0.08023035199191353,0.3583068387121725,0.3721947184587617,-0.1451985239132513,0.139953915813544,0.18152360691301306,0.07207473360689493,0.19891800680368024,0.32612511555562845,0.5736357028615694,0.3989303302533814,0.6468800326471625,0.15434152033730308,-0.09148747995534658,0.6373418485052051,0.32180956689278,0.18346106609576177,0.5293368133230967,0.24947324502479445,0.1965283308981761,-0.13389237185582104,0.575877845148341,0.5679433546893351,0.5990238914032723,0.3657077687007547,0.5035409867760893,0.16600568529264748,-0.06779993397597728,0.6184564508393993,0.48140885078424883
Occipital_Mid_L,0.2520426650789405,1.0,-0.044765772093845295,0.44489447758837447,-0.12772958969026962,0.6104130910946819,0.13268122437965596,0.5641217854514345,0.21168905941139823,0.4476596250478922,-0.004219320133855015,0.7530024988505944,0.45740689958865893,0.09330924337584497,-0.22180639974347843,0.593108106868584,0.30732061637776603,0.14585280875886264,-0.3536041019678541,0.6080007069867653,0.037586339891439335,0.29435421748404234,0.1729873938563869,-0.08208199048232473,0.3723079727314961,-0.14162494419703572,0.5480433717119851,0.008323846059671264,0.45888648882664695,0.27384731820149044,-0.11509717594857628,0.3125511078156904,0.8030537541387508,-0.15149900012910816,0.0810030844884218,-0.021137078788761903,0.6509729596470992,0.3691318683287818,-0.028019558079098953,0.17943225130665313,0.1671065602466716,0.3709179927391607,-0.14907942047609216,0.30021425100725374,0.07735479696806932,-0.3059316800652739,0.22715826385514656,0.025140649783564627,0.5901408220996668,0.20428324431161685,0.09143271812360743,0.06439988514370656,0.31567374763092904,-0.1100079987326922,-0.1431834297127631,-0.07533958875738932,0.8811101717512034,0.3099683460958101,-0.10439112419352924,-0.010084494749268206,0.4533844485206331,0.19374603869762028,-0.10432370709769792,-0.07595614118421654,0.608522363423228,0.07042879040533226,0.18569386470813265,-0.10276428399539758,-0.39395889260094463,0.5512425735794284,-0.036732282286660686,-0.2866405354998344,0.49248969328646225,-0.033337005290215944,-0.38373552286986184,0.18563714261255898,0.5143004008473249,0.2463825380988541,0.3143225144645419,0.41098206250675035,0.74641483053646,-0.07180096377893229,0.18920316365354073,0.4498676463970681,0.5020046256638376
Thal_PuI_R,0.25712041361513177,-0.044765772093845295,1.0,0.41242653269556734,-0.0284902093251452,0.18759934148254453,-0.10185831622949958,0.3361525390750828,0.40469195778326117,0.3977944039609147,0.4963667809732763,0.16837911774829367,0.3023379809192546,0.21922928558560373,0.16315923458216364,0.3697052066476001,0.37214123046683334,0.41996469662224556,0.020227758179501648,0.24789396058167468,0.5447065386207028,0.2724673652343392,0.10895818953526587,0.39663944956907565,0.07771655695981679,0.2192789240141758,-0.02244902818737852,0.2772379566661993,0.13729263192402688,-0.25817200205380164,0.08002936049395111,0.2608608688460412,0.05273979968777149,-0.24358668370943865,0.3178066785622119,0.1166040209246279,0.13497233723508126,-0.28021023314856736,0.28417652433664903,0.022956280280913684,0.44237896710827185,0.1836344572268939,0.20183290816037458,0.26947486749453525,-0.05499446408664575,0.26374481845853903,-0.33445750401924207,0.23047683606488886,0.038389824564071535,0.22048166006755648,0.4504362531453526,0.3063693913324609,-0.1161527317885061,0.2293514513960067,0.012385862465971256,0.2583116629557738,0.1580306257919269,0.37052755741450766,0.1289812558557124,0.3077210862909135,-0.04757541281452857,0.037230232561813806,0.38632189924939514,0.28924494601736606,0.178074392153283,0.4185435178227273,0.40671836214920953,0.3649245101507471,0.3184775606280394,-0.001959366480999848,0.43409842014243344,0.49288669108373234,0.47753107734997075,0.4819259300295385,0.12820315251164927,-0.27645743791854366,0.4144954212459111,0.4605772277400427,0.4063251218191889,0.06660132433259541,0.28225750931829285,0.14507026996528868,-0.23650415552738052,0.37355339058807413,0.1441724205340345
Precuneus_R,0.5705372029903091,0.44489447758837447,0.41242653269556734,1.0,0.13244855961910848,0.5908729254713319,-0.03792177194055854,0.8654190463105434,0.4007324311712286,0.5288839218340735,0.34591611108188175,0.42925929753143116,0.4387894253812659,0.6037920218091023,0.4272670369268016,0.6847912801326017,0.8511271331704918,0.7277016432882205,-0.17720621530100705,0.4064752595480499,0.6820038311007475,0.46894180277800945,0.43090824371297154,0.4340327924225061,0.44721311171092376,0.30758018859119257,0.31615348142575667,0.24666638312989947,0.6666542972561319,-0.3011987372119917,0.14159058260239932,0.6854364731199439,0.7046633749658133,-0.13843851263097168,0.17954727348867217,0.19158619649965583,0.269334146538931,0.05181214681983798,0.4046992304097267,0.27373103409118504,0.852772853647075,0.5113900342295707,0.48870484057195385,0.7237164193805794,-0.27598921881125543,0.3225172144110942,-0.35309827718458014,0.4955686808241946,0.6904242426321633,0.29621073265246955,0.8130280215194204,0.6613970682783002,0.3109908988023869,0.538515116017753,-0.07993392341814504,0.3705533848557755,0.6090592602162829,0.42703283776865286,-0.05811705706144664,0.1822861951332189,0.29526463930471974,-0.10896709172016514,0.5236544979406051,0.41064299655668046,0.7395391913936428,0.5193205882798215,0.7749685552552984,0.5289799675245904,0.2518235892701288,0.3459129792502223,0.6557689782760535,0.39842625968012096,0.709529098564306,0.505513658918378,0.13730290637946474,-0.21269248059081633,0.8283800216789067,0.8718061542571788,0.9460592914685604,0.5852167692142459,0.6915539575539704,0.5675371513121747,-0.1342216511995013,0.8960780930135493,0.603343824780567
Cerebellum_7b_L,-0.0015010875873641787,-0.12772958969026962,-0.0284902093251452,0.13244855961910848,1.0,-0.07600490434399364,0.3054198541947482,-0.13070450206373826,-0.20434113368659632,-0.2904690488207911,-0.529057369648975,-0.3297059937247801,0.014427756175441009,0.28345150047277545,0.5430241298836689,-0.19033981638247163,0.2980924581118054,0.3449034899605403,0.10451675259459506,-0.521935188684932,-0.16120788313536136,-0.11539377703233532,0.17421208233128224,0.024710002377502094,-0.039898080447072645,0.5980377874725412,-0.2393072639474902,-0.08699997119536265,0.21846180420433484,0.21681553502808193,0.6155445165032666,0.35546125508112764,0.000921005871898258,0.302705488357266,-0.3070864111269324,0.41165117773582754,-0.6738075914420285,0.41900805249875256,0.4727531060279146,0.010296203892853333,0.03261453212068649,0.08955179030623353,0.36785811165694254,0.3655501451276434,-0.07784417232309845,0.49690370227789427,0.1590163543461015,0.3061919720786677,0.18148559249865764,-0.27542730918892133,0.20234671104780802,0.4367992080178945,0.3617845433621703,0.16017425922815226,0.484115908251528,-0.13514174645051785,-0.2435760987542892,-0.5463772110221132,0.12999847530309314,-0.5093870791741131,0.37699149785768715,0.03086276323230334,0.1686270477231274,0.35313674780466786,0.3680567908388734,-0.16464411948558355,0.24222296504778323,-0.0741469609314031,0.004062447372997667,0.1084061416899475,0.26893713447619466,-0.240456637541703,-0.18465046290143017,-0.2503003095713243,0.3361824447702191,0.028984516099208095,-0.06419314954813138,0.054337452152816636,0.1521181736476862,0.3863333576951599,-0.2712546725608164,0.2909823493534733,0.07150215764306853,0.11108335368982478,0.11486228212321536
Cerebellum_6_L,0.5256859864969455,0.6104130910946819,0.18759934148254453,0.5908729254713319,-0.07600490434399364,1.0,0.2437276070270512,0.5467333991487936,0.5703170045684425,0.5287506778842839,0.24429922049250916,0.7333766992128599,0.6114487671284637,0.3169050495563633,-0.057544666116010126,0.6339437888777214,0.6294147434793723,0.4997164039059201,-0.3595943957268008,0.5979037963952067,0.28073578748024774,0.3430130188849312,0.36630651811569304,-0.049335230942764145,0.3435251677625422,0.09200942357322593,0.49493681652438537,0.25572986186081775,0.5955134387247096,0.17241318153454596,-0.0415957872626765,0.551861521294923,0.6546005630779744,-0.16556871717979638,0.5247788179308863,0.12201042981871237,0.5097941715076999,0.3119736114335037,0.2853463493403688,0.40651821446441844,0.46103129061532483,0.3039927127857494,0.21589687210990086,0.49747751919530164,0.16113235667802406,-0.029611247584756896,0.1015941579347362,0.33648420870362095,0.5513616311641846,0.20660103832154916,0.42762775079340665,0.2975574815933418,0.4261743324637866,0.14586668497665653,-0.2580491921600092,-0.12424345621446266,0.6475748752173593,0.37669555739189603,-0.17999991769024393,0.04429929514360701,0.3929290104848765,0.2766981137705629,0.13888903492200994,0.12447516478249575,0.72754046108945,0.4217038219453894,0.5658262867261484,0.0713109235735443,-0.2511962406023286,0.5526961680348488,0.18070845939169142,-0.0467111131942402,0.546433733174449,0.1221436240132471,-0.10999430943674975,0.11737614124716216,0.6632836887471544,0.5188787785005555,0.571456634993087,0.5017700893542527,0.6765741276201725,0.22403300125572104,0.07016803950663582,0.7299982917904264,0.5745521864852919
Rolandic_Oper_L,-0.08149543757868669,0.13268122437965596,-0.10185831622949958,-0.03792177194055854,0.3054198541947482,0.2437276070270512,1.0,-0.32731785658432216,-0.2944637630502004,-0.07321998799955177,-0.3166054864658563,0.10988441332021112,0.25802471833421436,0.0006621250217231828,0.30152555692992317,0.07008923170238975,0.18970877017499285,0.30226208237599844,0.279421298310929,-0.17666993735117237,-0.20310236525278774,0.1877096845405016,0.15789389284301564,-0.3401660082585076,0.21038963551692771,0.5942042036677447,0.09607069979672682,0.010139213410705481,-0.00705460712139727,0.6726237788926702,0.2775714937809687,0.4367701874376906,0.032495665268230986,0.3160162959193429,0.058915882052453766,0.7069163009962113,-0.10665721800428872,0.8744066155368542,0.5798257969759602,-0.06961770320009229,-0.21148194852907434,0.11821400790778329,0.03857176821461726,0.4321687279352018,0.7230870831005287,0.3113770425051834,0.6287589956542298,0.25928350380542337,0.274183441419167,-0.21731514489937379,0.1417451794149529,0.008469867690127707,0.6143870755562476,-0.1162453793637637,0.20524297483421594,-0.2965788850860858,0.06373700782815675,-0.39619161394379154,0.28106641178213637,-0.3438378332212977,0.45355446686379564,0.23284711512589448,0.20539788629715167,0.45538713464748953,0.3249872766551727,-0.08209401559610445,0.03759043851058208,-0.14583018594936004,-0.21887151016297327,0.18955568585330382,0.06630969173374121,-0.38605256237773483,0.08526933407506462,-0.29031478720891785,0.08700861314597307,0.46621413211395635,0.08042329870599667,-0.1182210486834294,-0.17322198023255833,0.4574608316988591,-0.12551852151107468,0.1225029208654369,0.5039128345808431,-0.022282536670000505,-0.15371046842240288
Parietal_Sup_L,0.5257910167198301,0.5641217854514345,0.3361525390750828,0.8654190463105434,-0.13070450206373826,0.5467333991487936,-0.32731785658432216,1.0,0.47561039813807326,0.6074020423704665,0.4818596202858311,0.5795429407031908,0.3956784994359333,0.4399051671864691,0.12621360045565716,0.6984551343147739,0.642196377506141,0.5047995541662,-0.32011113007038655,0.6239459094448283,0.6776934842776431,0.4031664040966462,0.35150778406118377,0.43980945158177437,0.3762607851418169,-0.023563664906030405,0.3549153764228451,0.23200236257214127,0.5968879606239955,-0.4092639654451084,-0.1023579504015286,0.4315232047159235,0.7708496241739194,-0.24232787351826188,0.22467679018026182,-0.11872287765899268,0.4886088175323653,-0.18849690567021976,0.08798967604010982,0.24718595485282688,0.7519838407759911,0.4742951985044854,0.27459133077396414,0.4545124865419882,-0.37668814746818313,0.015785730072530004,-0.4145979938923713,0.27467111937853284,0.6154497259598208,0.3959714661331542,0.6126792161613221,0.42488031449248664,0.07309681271242507,0.447056854248749,-0.22806917527656193,0.421015594961605,0.7410914556295456,0.6387340774097703,-0.12285257647850735,0.36438499709182504,0.14623571950228562,-0.13055932028644246,0.3667012106739428,0.15130317890286463,0.563014226992194,0.48731408312892993,0.624486194538448,0.45534682242437746,0.16956847822422844,0.31808128602286406,0.4847217241465122,0.4275802013545338,0.6945467978098986,0.5325657703633556,-0.049963456131836254,-0.26617270692179007,0.7618552204300149,0.8128948969064353,0.8453663618074057,0.39147110188307754,0.8317988972838128,0.36383627857652684,-0.20963601351312858,0.791217032731977,0.6034676415633976
Vermis_6,0.6279240565881302,0.21168905941139823,0.40469195778326117,0.4007324311712286,-0.20434113368659632,0.5703170045684425,-0.2944637630502004,0.47561039813807326,1.0,0.5630483928886894,0.4602900384616868,0.4100066080428475,0.25890780065664076,0.18861335169320614,-0.1811837967369366,0.4992945830437247,0.3005460521579545,0.26469941320162615,-0.4058533923965841,0.4792435264627745,0.3467387765287297,0.26609760129317905,0.13434306616879876,0.2963345681065031,0.09296071511040714,-0.14416172469170146,0.1295876454197706,0.1587426694290043,0.3939013155449311,-0.1928222129800999,0.08166926307643174,0.14951086385252632,0.2616722794598742,-0.5572852831369166,0.5883518697537384,-0.16974751349294845,0.44439907458923117,-0.2919964578971437,0.061124026222974644,0.32469731599865886,0.43409493685128253,0.279554379509913,0.3947599260080204,0.09096229074545559,-0.10186026940611276,-0.07214324253312082,-0.277553165009646,0.27431654973939235,0.09365920854703871,0.321299538747036,0.2878231488645798,0.1527817311904652,-0.03268110220370726,0.251513625214071,-0.2923857624063612,-0.026271563075506488,0.302186380051842,0.5794879462419941,-0.2108691135276135,0.4498396685453156,-0.07932671187869515,0.13054925894397745,0.09622418861246161,-0.04804634598261954,0.3136057264832615,0.27293804033864405,0.44343895494269336,0.1674572444552542,0.06667589264914543,0.42763317657895583,0.17460386568448188,0.31883033688206025,0.44896491337303013,0.39751238621010176,-0.10746279774805578,-0.18568869060647739,0.39218057388809224,0.3788414720429194,0.42748291594565524,0.03149965707493399,0.4388465139550957,0.01547717115567654,-0.20689066819257332,0.5029194801208462,0.476049608998984
Red_N_R,0.6736376012608474,0.4476596250478922,0.3977944039609147,0.5288839218340735,-0.2904690488207911,0.5287506778842839,-0.07321998799955177,0.6074020423704665,0.5630483928886894,1.0,0.5459198818878176,0.6620507031834305,0.3163622050658056,0.22903345312996407,-0.10159926410854263,0.7369724735364482,0.4446248142567806,0.38042862949480744,-0.3929185931407789,0.7143870273283695,0.41685507146260664,0.5899291583594545,0.151356463312237,0.14793822664205541,0.4007489901990808,-0.1224572932437092,0.3483784618747575,0.024681718045979933,0.4419299445343647,-0.15129219293271318,0.008195708771580783,0.41173509614756065,0.43153719189941986,-0.5596762553036412,0.39990008405825905,-0.05391726341740541,0.6019594900192109,-0.11645070499968206,0.12941605930745612,0.18132998680663126,0.4348186932571582,0.5375661938318294,0.2402499387027952,0.395925840973153,-0.016291637594394646,-0.015299355014418297,-0.18198219567526086,0.2536888684097578,0.22188821991795535,0.40943326627574944,0.3796626868595074,0.14117068341666883,0.16123964757745912,0.3210147099751782,-0.3138909650170227,0.03363828210378012,0.619865068840966,0.6255119839887778,0.0025363709207249915,0.37335492545930754,0.20640420092378714,0.010277821867066411,0.19925472356749835,0.2286263773000889,0.42081966080144606,0.5125930254575158,0.4851033924854802,0.1999338675937333,-0.08140243670839553,0.6393574947054889,0.23281267494080923,0.2743769625751449,0.677603824082463,0.40576133682380305,-0.1450232614397641,-0.12209663352085372,0.6518081719234987,0.5648055814447731,0.4984958167381127,0.2683981284218181,0.7021585474366026,0.023778616910325307,0.040014301791364934,0.526269072236634,0.345693333331562
