,OFClat_R,VTA_L,Thal_VPL_L,ACC_sup_L,Precuneus_R,Cerebellum_3_L,Rolandic_Oper_R,Frontal_Inf_Orb_2_R,Frontal_Sup_Medial_R,Thal_AV_R,OFClat_L,N_Acc_L,Vermis_7,Frontal_Inf_Tri_R,Frontal_Sup_Medial_L,Cerebellum_7b_L,Cerebellum_7b_R,SN_pc_L,Cerebellum_Crus2_L,SupraMarginal_R,Thal_VL_R,Thal_PuL_L,Red_N_L,Parietal_Sup_R,Thal_MDl_L,SupraMarginal_L,Temporal_Inf_R,Temporal_Pole_Sup_R,Cerebellum_6_R,Thal_PuA_R,Thal_MGN_R,Occipital_Inf_L,Precentral_L,Supp_Motor_Area_L,Thal_LP_L,Fusiform_L,Temporal_Pole_Mid_R,Temporal_Pole_Sup_L,Thal_VA_L,Frontal_Inf_Oper_L,Vermis_4_5,Cerebellum_3_R,Cuneus_R,Thal_IL_L,Thal_MDm_L,Postcentral_R,Hippocampus_R,Calcarine_R,Cingulate_Mid_L,Thal_VPL_R,Rectus_R,Postcentral_L,Occipital_Mid_R,Frontal_Mid_2_L,Frontal_Sup_2_R,SN_pr_L,Temporal_Sup_L,ACC_sup_R,Temporal_Inf_L,Parietal_Sup_L,Paracentral_Lobule_R,Insula_L,Thal_MGN_L,Raphe_M,Thal_AV_L,Cerebellum_Crus2_R,SN_pr_R,ParaHippocampal_L,Occipital_Sup_L,Amygdala_L,Cerebellum_6_L,Frontal_Inf_Tri_L,Red_N_R,VTA_R,Fusiform_R,Paracentral_Lobule_L,Olfactory_L,Parietal_Inf_R,OFCpost_R,Putamen_R,Vermis_10,Raphe_D,Thal_LGN_R,Cerebellum_10_R,Vermis_9,Angular_L,Vermis_3,Heschl_L,Cerebellum_8_L,Thal_PuM_L,OFCant_R,Frontal_Mid_2_R,SN_pc_R,Pallidum_L,Cerebellum_Crus1_L,Occipital_Sup_R,Frontal_Med_Orb_R,ACC_pre_R,Thal_Re_L,ACC_sub_L
OFClat_R,1.0,-0.3551859982673337,-0.4117077872477583,-0.30547430426320216,-0.1422852580650039,-0.4603868147438754,-0.019860356191045044,0.4273464220508868,-0.03168212434223822,-0.46602215820305926,0.19880369095613767,0.01782119671843213,-0.0915491068759966,0.21457839623556565,-0.27002530175333406,0.09789901866529573,0.17294742261868376,-0.17800098358899435,0.13146891002574554,0.40129658150908937,0.05878384023044761,-0.057285631056339284,-0.23098059780676172,0.16964706422941944,-0.2069183648593152,-0.3890605933958447,0.14649329843782638,0.18268708099508002,0.14620684512996168,-0.2768032921645268,-0.29211232283603145,-0.14627012101446304,-0.24881483857178602,-0.3586200537618901,-0.2896059231819897,-0.1858859769654451,0.07442387634058902,-0.10671927334042053,-0.05198145701126191,0.06389354535380812,0.1757385205203994,-0.3080455177901971,0.26985987714326787,-0.4049948567105488,-0.21452176229742906,-0.004852722672508103,-0.12246857203929437,-0.1078029772400047,-0.266204881352809,-0.09302795229169364,-0.2195754156353222,-0.3566070344405426,0.32481061607678213,-0.056990301085702355,-0.16317238876336246,-0.1418554134837011,-0.44697384279165586,0.3388224801871888,-0.31132773862033997,-0.1102196846068952,-0.3047085037534508,-0.23363048058571148,-0.04220920218540304,0.32496623549861253,-0.20878619366133683,0.04989190478950882,-0.08268007192865395,-0.375136679569752,0.19916719014406603,-0.08684973424827196,-0.11424680645359621,-0.25412010250247236,-0.09033826793751709,-0.38156595540598237,-0.12472561410220168,-0.29534279307419675,-0.14055707515192728,0.27931200890083047,0.01764603321688937,0.2758869127853476,0.14764717968016572,-0.020738358528125115,-0.2618847960317066,-0.01313634222132231,0.38048432806761356,-0.08230453955043535,-0.1314545987619413,-0.43943761296161743,-0.11747779860234646,-0.39069867997708785,-0.26359185933408846,-0.1343645543007136,-0.08632727148109288,-0.2503414759814149,-0.10021280751406496,0.21338948874444558,0.08561306440995439,0.3496319918459757,0.2775115592537616,0.001612774137446046
VTA_L,-0.3551859982673337,1.0,0.17099365833175237,0.5975316261760661,0.41478493039550685,0.7540796619911799,-0.10373896008781824,0.3823720713056861,0.6509824430032807,0.4807024793245587,0.017642200458861456,0.36662725303448385,-0.4325488098304562,0.5253057921522385,0.7208751985096191,-0.20926070738731645,-0.6792340716569399,0.7583428458019287,-0.4545561536269941,0.12293083408549642,0.19564572914408557,0.22120043991592306,0.8417850779723224,0.5070570776729956,0.27883424003546353,0.005616949435482872,-0.4303913771461317,-0.0675515956703428,-0.22577996801681208,0.3158672197955107,0.7149142088827702,0.8541984119106178,0.5338862835956864,0.6498313770484534,0.13543121910337808,0.8042699187696551,0.2021741187947359,0.5122918936822819,0.6318040446729231,-0.19176013817949297,-0.43535709752296625,0.8191808029751384,-0.5404915166612745,0.6126017898472292,0.4558216510087858,0.6792736827822605,0.7901710476536136,-0.5398266170574479,0.575214601549981,0.5202146234053413,0.6249379840618232,0.584670692444878,-0.28953189837839344,0.766421137581677,0.7730025133201099,0.7938883177909302,-0.021412387606757326,0.36718994939284716,0.35878467760334337,0.67229009879729,0.704888788907841,0.2964388649312128,0.25051055669157074,-0.5063613167367171,0.6760333509605742,-0.13400780621257902,0.38716338295663016,0.843861158265106,-0.5194442682579328,0.21241418416792085,-0.4441827871664563,0.7288234470525558,0.7344007763680119,0.915863561706229,0.4200069097789077,0.5398166415439061,0.25131674298645446,0.11144679259718074,-0.07149348847939062,-0.16681424840355413,-0.7193863494002295,0.27398156578238914,0.7992748546984466,0.3233072643373429,-0.0354265234989566,-0.4818121151547198,0.61583238053011,0.3557426362638662,0.6627858937182733,0.33621367544680164,0.8496759405743247,0.8073136388885753,0.45442627314214507,0.45584753609524553,0.002038675445618618,-0.5604782258056382,-0.40510590957347753,0.33918618094898795,0.0798400989455624,0.04067674786690741
Thal_VPL_L,-0.4117077872477583,0.17099365833175237,1.0,0.5575759032135249,0.5212900024770033,0.503539144411045,0.3855287102012872,-0.1935983023396135,0.47956628058613915,0.5815880259042574,0.17282186021324372,-0.06557813803679012,0.35401718954678113,0.050987792193203325,0.5574245557563202,0.17009156440983816,0.23473864484544882,0.13295530041562012,0.16685807776756525,0.05508765931622157,0.478937664140593,0.3024417208642293,0.07116663375845063,-0.134633742860357,0.5210289214894298,0.7898789126203061,0.06399339150986229,-0.0020306887290323914,0.1711602353926308,0.760488210860837,0.03854227490439013,0.021442217263042882,0.6907649298389862,0.5763667731435124,0.7503532666606657,-0.05226936846259999,0.29719809773952494,0.2254098531450009,0.3162335053851018,0.6311234559527624,0.4128235516422509,0.2209457305248397,0.21485016429885895,0.5026271516324067,0.5713929950782665,0.15641932514408843,-0.004625536354922511,0.4969942473083217,0.6842568073688461,0.41539344494533403,-0.04845811155617591,0.7488617654495947,-0.03287532428588761,0.29251713594347306,0.4660831215039298,0.06164878263242964,0.7735350176070147,-0.03339078790881453,0.31669562927902334,0.13326724169452703,0.5411523134246689,0.7627714771345706,0.37398511310995586,0.10459100256960646,0.2207682698994016,0.16408369219970992,0.23297194482359218,0.22833332221690825,0.2049397969842401,-0.002496997882915959,0.5022950091392757,0.49937990663067416,-0.014192610457811937,0.27162461295206025,0.2492334250982675,0.62847476406483,0.19293680668431293,0.021937664530410003,0.2946220371878238,0.29142139848759546,0.2771447647253734,0.10106408876934536,0.10188464058656689,-0.005171849478816224,-0.18691062999729585,0.4730257281295756,0.43991389825967503,0.6125465324581253,0.12779219207223333,0.8625398593923472,-0.04109654083804191,0.34154053700905085,0.17614742829827895,0.4679412693978648,0.09916561300343057,0.14140254799954785,0.112553992451419,0.004970136246947784,0.10902902278737595,0.23396625540899244
ACC_sup_L,-0.30547430426320216,0.5975316261760661,0.5575759032135249,1.0,0.631105076220821,0.8153937132824978,0.17951943017821084,0.1870658907232412,0.8190084639877269,0.5238796754722892,0.17263132769792022,0.11094847878679377,-0.21871830375011628,0.6246323973885618,0.917549390643197,0.0007666738687331092,-0.36285943200252574,0.5042106707401915,-0.14475830364699988,0.3189101548600319,0.5475956978923434,0.46146490646046345,0.5812689932316241,0.3462295842719076,0.3827997217349444,0.34710265956925973,-0.3386521799419122,-0.15283886587838524,-0.02740460035937336,0.6956106149342688,0.5163840432477361,0.45379006998968924,0.8630249440218676,0.8606571781577137,0.46690436752082737,0.5668722228311899,0.16596836530658096,0.32580279803112333,0.6297816059260554,0.15384181798250302,-0.015611703860351692,0.743761548559716,-0.265091225362872,0.6373373914092328,0.5207518910661797,0.642812904122948,0.6912840352526701,-0.1687432480245847,0.891160934731872,0.7875517907476234,0.31628206207530696,0.8650145820230418,0.005798826671901251,0.8024646188742027,0.8189498566249919,0.4642643886144374,0.26175632021252027,0.3976872501376821,0.31218341091063473,0.53467683372412,0.8570246567658076,0.5687639444099922,0.39642515756779023,-0.08598651138482839,0.4922241315544076,-0.00669138230693855,0.26458146841745184,0.6796514622399369,-0.24109860714971754,0.13600485835451237,-0.1133193091625369,0.7790189691741204,0.4759524260255485,0.6490690908908832,0.5132496985254102,0.8518439746827196,0.20491375617074659,0.14146417481854998,-0.11757716932931685,0.05076260885998551,-0.39393018357156273,0.339784016362706,0.6397708982709657,0.23617723762336043,0.10113103797797716,-0.19735736058605471,0.7981824155112975,0.5431550889422139,0.5528296415908807,0.7244733468097211,0.5194154518146435,0.8236693659545897,0.22392609186405849,0.4525401758628586,0.05763794446571926,-0.3106951972958756,-0.32162103770281875,0.3370974616849067,0.16089621250134595,0.02314130748614344
Precuneus_R,-0.1422852580650039,0.41478493039550685,0.5212900024770033,0.631105076220821,1.0,0.49585774291634255,0.2650177991274835,0.1797902947238833,0.6628823229192907,0.3459992928384471,0.26448598571960896,-0.043107105784941854,0.22833227995537797,0.3694274428036545,0.6323872646682854,0.4565812151618559,0.04134140912665671,0.2868211317140806,0.27550244656134837,0.6017068162882492,0.3306061631503714,0.29631324652305047,0.2605790438683086,0.6701053884354362,0.2853283993937174,0.5038667493633536,-0.07078376412532311,0.0053639432791591675,0.4378577875953937,0.5030495698491342,0.11839333886720659,0.45257038033946145,0.6326910851611001,0.6025616535152156,0.4590137604468894,0.394570089228012,0.3053808685850845,0.254363838476704,0.3629219539490786,0.34687187069607134,0.4108629815317453,0.43689843174223775,0.32015381875385035,0.4397072883984876,0.5388613831228788,0.7575038144428642,0.35865656498399273,0.1441519249249188,0.7461945230482491,0.42744102924208704,0.2400536592427415,0.7090140839679923,0.07157844044220715,0.5585339785918629,0.6349822746964722,0.21918068323632936,0.29131632524639167,0.1469561348763837,0.3349692076661073,0.8035082601861528,0.7459774193080944,0.39838324242175294,0.20972303245983123,-0.01508402808956295,0.1849941529884394,0.4272434544762816,0.21672238439481714,0.34921657760632263,0.31874153646037634,0.08636385614924297,0.20779174005885284,0.5822643850779079,0.14857290771081835,0.4541544370850833,0.5397067359435315,0.7733969744316058,0.19205432264475386,0.609627222299947,0.17993983786157064,0.2266992860618562,-0.10589911060573645,0.14811373201424793,0.23546220437808243,0.16191300300163683,0.2113415389665131,0.2645354806253376,0.5593669567927491,0.20814208649572702,0.26235569871425823,0.5331372507014771,0.27217237881982204,0.6016942560255585,0.13959330925801852,0.2025334636757953,0.32381384487831505,-0.040540347563599505,0.03497637799078509,0.21233108039043685,0.06268406532311797,0.11578756817265433
Cerebellum_3_L,-0.4603868147438754,0.7540796619911799,0.503539144411045,0.8153937132824978,0.49585774291634255,1.0,0.017649525323979964,0.08732573151851773,0.6778107591931493,0.5751132976172108,0.11481704836742332,0.15526796871671053,-0.2699210575294978,0.474873787893971,0.8434988890968235,-0.15547479943658504,-0.4958201893121655,0.5165996784787193,-0.32509044504669904,0.0539011585368348,0.3287768354519846,0.34068123802688155,0.6290548476922723,0.3036094026082886,0.3396411023493346,0.28961905928888876,-0.3548292280726762,-0.22284761696329827,-0.1166043404889108,0.609459991435817,0.6624084085713747,0.540765652816199,0.7865950558905735,0.8970601056570287,0.37062314230649107,0.6210488997060647,0.14451657034133109,0.29663448820380545,0.5784206429159224,-0.07467761731876392,-0.2382283560541173,0.7875105199819958,-0.46642172346715927,0.6973043922913368,0.5401630764145088,0.6033319708890602,0.6965033131627199,-0.3124204310986811,0.7469872164179526,0.6176171675157924,0.3817694747203111,0.7948829985409518,-0.17269162978705951,0.7298153902650029,0.7696742600221819,0.5045278805101495,0.16833810894254664,0.2532271638068068,0.35504921653191557,0.5351198496682813,0.83897445909143,0.4484151426965545,0.3316573311083808,-0.25941954386770416,0.6430611523923753,-0.04920052785521089,0.280704246853289,0.7922791748193013,-0.42559672611211724,0.21205435710517465,-0.22423877211544405,0.7773206361110064,0.4854015220755162,0.7888015578415591,0.4658421366126646,0.7682928510614581,0.2346850216052844,-0.020807764489512184,-0.11008790005290967,-0.15282821546855987,-0.5377961189426994,0.31989603276625983,0.7076252404649535,0.16977035512868668,-0.021700299625949406,-0.2872296136756004,0.7750055485970807,0.5031803870105249,0.573573207507167,0.6482285776224234,0.6306524700853696,0.8112238128322067,0.24482619360557542,0.40353456238047897,0.1262837249518012,-0.40615638825883943,-0.30285103751264086,0.14003833315943365,0.026308227474595196,0.0814841234572488
Rolandic_Oper_R,-0.019860356191045044,-0.10373896008781824,0.3855287102012872,0.17951943017821084,0.2650177991274835,0.017649525323979964,1.0,0.3178141503583259,0.2882442933366434,0.1825185508198293,0.2390623586434986,-0.16413604150221084,0.4417533004598338,0.3141685313946752,0.1292854864505187,0.2550527133199402,0.34330032054284476,0.18116058391389728,0.45585592609967956,0.3256291302082073,0.47278640631835406,-0.08763787170029344,0.04434093334391839,-0.16842142031339238,0.2883081371377138,0.1119416432632344,0.08716435865742643,-0.10643055636630858,0.3796837226340792,0.4281103191812642,0.062021030663197724,-0.17188023388068147,0.29288059882098233,0.06490260819056533,0.3341233547876006,-0.2125196640533789,0.11951265718372547,0.18015228342936893,0.24639345303299182,0.34965148187450884,0.39061115395999685,0.07727526942305273,0.46797795179886165,0.017798611847966887,0.3611309059025352,0.06251397064835196,-0.1390416175705632,0.6167499854130417,0.30905486661960946,0.4663179445987657,-0.15332147812060581,0.16817156650390128,0.09619746019184444,0.03604510985813219,0.13323676696365142,0.0411758412758427,0.2536125142421768,0.2744750980568046,0.13016361020703254,-0.0757166839572186,0.20986954236001262,0.27953528848790143,0.38819014012769176,0.3649483031420923,0.043200214809524545,0.1297376631756728,-0.05814736278658462,-0.050092663050738284,0.3354875505441713,-0.023276461922992087,0.5225374727984559,0.06287901139134794,0.14567884109666232,-0.09982653626347161,0.3886478370893228,0.2910524074602734,-0.09728713955877857,0.4175846275518873,0.1707140265991243,0.8108515539106161,0.4310735717169434,0.3825315770787775,0.0018186794543336557,-0.024147440684847084,-0.0966240614939019,0.26219997980142035,0.2282065340406775,0.16985805486598,-0.13295349532282855,0.4386412422818161,-0.20324081088666568,0.10564573951195541,0.004086365784185013,0.23485385762239563,0.18096026118649078,0.35474843133883327,0.29688022182182516,0.2735927484896218,0.2829327725663142,0.18394895396502992
Frontal_Inf_Orb_2_R,0.4273464220508868,0.3823720713056861,-0.1935983023396135,0.1870658907232412,0.1797902947238833,0.08732573151851773,0.3178141503583259,1.0,0.5406719204482024,0.01635682557790322,0.23001402402518284,0.3051076380915296,-0.32838918954914675,0.7314095953144896,0.28507239220311215,-0.040561027131392334,-0.2794490412879416,0.5700793927189385,-0.1285292017808415,0.5217888805844445,0.3651413783528856,0.04336036096761148,0.5245293874613842,0.4131100802776204,0.16322389262089845,-0.42123653678648587,-0.20752777258258137,0.08626699692311304,-0.022136642570821607,0.053132238588404164,0.3583714427286103,0.4566470146941076,0.1734014810636725,0.08681214258325237,-0.14877097315968388,0.38409043437219537,0.19486976308884002,0.4294291536350552,0.4965644945305982,-0.01954832307050991,-0.09479919416553295,0.3958827626367299,-0.044918199275089825,0.08065996481289009,0.23206009148061907,0.43975016627250213,0.4279360843623297,-0.3273977472687961,0.270548789017086,0.49193146317552966,0.34131895738930984,0.07605736847039704,0.024888621999835697,0.5226679349872976,0.4954613103167746,0.5698302242469324,-0.39526848868451564,0.7819888964096215,0.003186903818007464,0.31327764229903504,0.24951899462571323,0.07424765209958804,0.2892079351278196,-0.034475541823216174,0.34491849482316783,-0.129701262670034,0.2277775198173271,0.26596383845711685,-0.12279194842977138,0.03652673246139779,-0.2677172997280885,0.3078323920555894,0.6508095626736493,0.27493224623837414,0.2918166998201968,0.1703411538465828,-0.10992646855433871,0.4304134392739715,0.06533152071961719,0.5144395241801482,-0.2795715134034711,0.34814286470382516,0.41612673684437507,0.17458549956689245,0.22539020179696173,-0.44179404781812515,0.3432337759863037,-0.07833609499728306,0.29691121037392343,0.0029176406569659495,0.37238376957747443,0.5045466841881749,0.3686886088602343,0.2898050643292949,-0.1267154701100667,-0.1606061058359979,-0.20157501880125542,0.8337969692960766,0.4185614989234003,0.04743721861223214
Frontal_Sup_Medial_R,-0.03168212434223822,0.6509824430032807,0.47956628058613915,0.8190084639877269,0.6628823229192907,0.6778107591931493,0.2882442933366434,0.5406719204482024,1.0,0.4655263609376501,0.26868108332871,0.19353753768774415,-0.13901109469880474,0.7722001236305244,0.8953756716955459,0.07869804787262083,-0.31938552455953756,0.6703053954205098,-0.06602690755257075,0.4986329984016978,0.5910015142749699,0.33638890034252217,0.6839785805497127,0.47446915350430985,0.4675887988041332,0.19720314282990595,-0.3277799099688557,0.02092289717679418,0.12163252672485833,0.6437706490567106,0.5064119618296645,0.5744963617516322,0.85300697171234,0.7631897331529278,0.3874665631367127,0.5962702931278752,0.3326149700199502,0.5318794273280019,0.7558661964095531,0.3019964797241535,0.05249162616443094,0.7478156988300264,-0.11523860110484857,0.6283864514504426,0.6737090452463863,0.7456241112223397,0.6816789746732249,-0.1748446000780554,0.870290076788835,0.8127580520280995,0.34855214000534845,0.8133430893878829,0.038008715461502945,0.8894475992572771,0.9206819693123504,0.6344647135936503,0.18200074577422026,0.6243950359742957,0.3856228176524807,0.5765099060578724,0.835381673537795,0.6472318419751103,0.44617692289524286,-0.05808479832687484,0.5549388781935444,0.09074384325128407,0.3514859556607854,0.6550445165032317,-0.17888564973152518,0.051577471303616035,-0.06479846654301968,0.8362476868364348,0.6352177789460662,0.6609975320930231,0.6046171238860838,0.7839299041519946,0.14310653547027866,0.36306602163724383,0.013280270415223032,0.33998210236596077,-0.35210476955458786,0.426262703113072,0.6404413003498455,0.29702241226258586,0.1378473054094644,-0.23435205767981582,0.809660861695986,0.4939285890641899,0.5813371153572651,0.6655740046078501,0.5536964458555309,0.89430449168169,0.3928147392070643,0.5867970711056898,0.11960109939141107,-0.24166501009713032,-0.22680346614968944,0.6211273045302184,0.2933594687216606,0.10102170016353083
Thal_AV_R,-0.46602215820305926,0.4807024793245587,0.5815880259042574,0.5238796754722892,0.3459992928384471,0.5751132976172108,0.1825185508198293,0.01635682557790322,0.4655263609376501,1.0,-0.03721444736230796,0.24489243526348337,-0.005203908309996349,0.15515020970648147,0.5662678803467265,-0.04166714187453907,-0.22291594298809747,0.36746322106460183,-0.19414670537140202,-0.11871163109469042,0.39635899460930396,0.22190622860009848,0.45805895353140985,0.02538154604810168,0.4479867031372782,0.4244282926558783,-0.21256749843031775,-0.12531871152512625,-0.10005221963700851,0.4687111873292667,0.4560880483795066,0.3978846545204496,0.5167689268863643,0.527844821210348,0.45058400031526363,0.35577214300920756,0.16375333658212682,0.406634290133769,0.43337973486984194,0.22512635647588142,-0.1346760278487195,0.5096323910139599,-0.22828038736182898,0.6518283452482704,0.49129445806485633,0.251058378832725,0.2821746496178165,0.021792807853277373,0.5588347928296529,0.4383697231180335,0.33056893023920086,0.6067773721458144,-0.17442555402681473,0.45336248031275694,0.5438030416868865,0.3839320539728597,0.4632000597719319,0.06226726774413716,0.34408628358747,0.3219959154834353,0.5345825202019406,0.5932574290931889,0.30483070458135336,-0.29486994687717716,0.32113488322423184,-0.024276720177877957,0.33428886133928604,0.5465019666183378,-0.21976515000087746,0.10839843865254241,0.07438145180292252,0.6476961435961442,0.3668951977522328,0.5765733288066845,0.29704375113296866,0.47500161107316247,0.18206157430552947,-0.07123908738639081,0.13549087426112616,0.050392363589074424,-0.22362322200913126,0.1565893839808847,0.44385368654032015,0.07285591739877295,-0.11679668683914643,0.03349558275800202,0.3856088391229659,0.535175569873616,0.2702816948419649,0.6318219359972204,0.40974747766588693,0.5019384759576929,0.3164613972221631,0.6731832125571724,0.07114412310658204,-0.24911715484029584,-0.20252971439075473,0.08629301240525009,0.007093478942694308,-0.02720586095782101
