,Cerebellum_8_L,Cingulate_Post_R,Thal_MGN_R,Red_N_L,Temporal_Sup_R,ParaHippocampal_R,Vermis_10,Thal_IL_R,ACC_sub_R,Thal_LGN_R,Thal_MDm_L,Caudate_R,Frontal_Inf_Oper_L,Thal_LP_R,Frontal_Inf_Tri_L,Frontal_Mid_2_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Cerebellum_6_L,Thal_VA_R,Frontal_Inf_Tri_R,OFCant_L,N_Acc_R,Paracentral_Lobule_L,Thal_LGN_L,OFCant_R,ACC_sub_L,Thal_Re_L,Temporal_Inf_R,Olfactory_L,Thal_VA_L,Parietal_Sup_R,Lingual_R,OFClat_L,Rolandic_Oper_L,Cerebellum_10_L,Red_N_R,OFCmed_R,Thal_MDm_R,Postcentral_L,Thal_PuA_L,Cerebellum_4_5_R,Frontal_Sup_2_L,Thal_PuL_L,Calcarine_R,OFCpost_L,Cerebellum_Crus2_R,Thal_VL_R,Precuneus_L,Vermis_1_2,Cingulate_Mid_L,Heschl_R,Cerebellum_10_R,Thal_MGN_L,N_Acc_L,SN_pc_L,Temporal_Mid_R,Precentral_L,Cuneus_L,Thal_VPL_L,Insula_R,Cerebellum_Crus1_R,SN_pr_L,Thal_VPL_R,Angular_L,Cerebellum_3_L,Supp_Motor_Area_R,Cingulate_Post_L,Cerebellum_6_R,Parietal_Inf_R,Putamen_L,Hippocampus_R,Parietal_Sup_L,Frontal_Inf_Orb_2_R,Occipital_Mid_R,Rectus_L,ACC_sup_R,Occipital_Mid_L,Postcentral_R,Occipital_Inf_L,Supp_Motor_Area_L,Frontal_Sup_Medial_L,Calcarine_L,Vermis_7,SupraMarginal_R,ACC_pre_L,Thal_PuI_R,ACC_sup_L,Thal_MDl_L,Vermis_4_5,ParaHippocampal_L,Amygdala_R,Cerebellum_3_R,Olfactory_R,Occipital_Sup_R,Thal_AV_R,Precentral_R,Temporal_Inf_L,Thal_AV_L,SN_pc_R,Parietal_Inf_L,Frontal_Med_Orb_R,Rectus_R,Fusiform_L,Thal_PuI_L
Cerebellum_8_L,1.0,0.3429720793256808,0.4810013804594135,0.5929776030126747,-0.25974839577009307,0.501962613255803,-0.5222529375004774,0.4294095415888588,0.277915284452558,0.5654355813917248,0.2794255268510554,0.24732081524261715,-0.137920924708424,0.23098434917042338,0.5682219071248518,0.6467692812417759,0.43123020115531735,0.23440579816284668,-0.3984518233087282,0.36257501122943736,0.5290071199079357,0.02373666791872586,-0.3929990317431197,0.41227197296994755,0.22789416926635644,0.5942317209885856,0.12586820773890758,0.09649575922657036,-0.2260060862297972,0.1899630893877009,0.4827840688015304,0.3908430093853388,-0.1923217402766862,0.13519220370041335,0.3391857696752912,0.2560396438265194,0.5055554734003288,0.14537011564257818,0.3475131768671434,0.464065872788202,0.21089159289918732,0.5898726769729905,0.6290949765109591,0.3026383877634706,-0.45659874988565263,0.18834138078944596,0.002998244745902206,0.2682295520046009,0.20083752155394466,0.6611933991240663,0.4306148662803059,-0.2960135708463218,0.4765896603883266,0.2339995715055774,0.199579179286603,0.5275310748992497,-0.44586616955921726,0.4938674621101491,-0.4345980632257172,0.12779219207223333,-0.17567023480586447,-0.022827368352696144,0.5512244523619886,0.4379911106524794,-0.39243712287535704,0.573573207507167,0.6184383106375023,0.4035086105693944,-0.17335799420447093,0.06657501764284708,0.10985506449573357,0.6291550800469605,0.46247130582994894,0.29691121037392343,-0.11580127775826668,-0.1745048886681948,0.3680667832045894,-0.37144862788618943,0.5276333018436553,0.5989386634071946,0.5741970321685524,0.6807421372627239,-0.47015618279188565,-0.33830942393977165,0.2041448602763453,0.23246268708407833,0.5112027266800792,0.5528296415908807,0.19470938237159385,-0.2719051392349348,0.5856523099781116,-0.41468669647935036,0.5897895910344548,0.01560298191906417,-0.41829372096516043,0.2702816948419649,0.5220100616866301,0.3849861725978396,0.49809568025236034,0.28153931069128385,0.25352143266797966,-0.3479101513500489,0.3407679142402125,0.626030972655656,0.3415593321635136
Cingulate_Post_R,0.3429720793256808,1.0,0.23681799140672302,0.2784106358384122,0.1798839472879119,0.47210402445460786,-0.02833279247806494,0.5549374824088921,0.27931621664403683,0.33951484229229906,0.6012186186020824,0.6855290147451081,0.40887831956904375,0.20550833476434924,0.6597272105516971,0.6686310031101639,0.35644322372015574,0.2744173004049552,0.20748860836226773,0.3555047807155439,0.46718424461126895,0.17349588333248445,-0.05951700430257858,0.8555540765103273,0.41665441458697,0.2137124606822153,0.1480480107421554,0.11199445977135505,-0.10460604044203387,0.20689816067804656,0.4967467515025898,0.24308482531581724,0.45651471269190624,0.37178019135954204,0.39594040275152714,0.09980552056795103,0.1692661707595641,0.1487919937083335,0.6148736445932464,0.862449457198204,0.5045667323327567,0.77904500852396,0.6891848499539505,0.45663718394048675,0.18814256330865853,-0.062160475063856184,0.1410075649257048,0.5844216165517618,0.7927194979758956,0.5634729784940661,0.8560493960628724,0.21135275165281797,0.14020888306757667,0.3868249085525542,-0.03000526430957366,0.2818235253267185,-0.0864519364152831,0.8531870524213607,0.3269709596436411,0.759089003020851,0.20158666237396314,-0.023784877568915827,0.22171233789331746,0.6486184912493312,0.18933924580606898,0.6859618032068943,0.7688514053898944,0.8959705042356015,0.13968687493852505,0.2189817480250301,0.48421027343897893,0.3857273672062794,0.4498104871060549,0.06736590867624484,0.14050690537130184,0.08365842765434432,0.27376382452095505,0.12450565828920537,0.5244290101256637,0.2626348419136269,0.8030205653544128,0.7893451104276434,0.17226472768753767,0.07822507431727996,0.36723211251050836,0.18428851631012083,0.5923268154333883,0.8383967890442358,0.4507973276217238,0.33665302933082886,0.4130278516874314,-0.05277401708283085,0.4848459288336437,-0.15124319176534187,-0.03970115511907491,0.48400307497609996,0.8227913274082294,0.2905112947085779,0.3282960709902725,0.10399159935912856,0.7510183298622958,-0.06643603367259014,0.12323018303844491,0.2615149118222958,0.6695328875620287
Thal_MGN_R,0.4810013804594135,0.23681799140672302,1.0,0.8371167601251923,-0.13443818065052668,0.7694972624261942,-0.7378898712101342,0.586867129055363,0.2625677719548206,0.8669839925831259,0.33989074018042237,0.3319069435154956,-0.33558217630593484,0.37637293262057003,0.601300664866336,0.6984642352834554,0.33871262217296655,-0.04150374894042592,-0.48241081257064083,0.6490734395266324,0.5592267914710641,0.12109969012626431,-0.46946753437548816,0.4459880441699933,0.6027227880215701,0.796060483419001,-0.018801579958149663,0.1070370293563513,-0.48324472877697866,0.0683516972633,0.6470089269865614,0.2381500221202415,-0.5318101112709649,-0.10594793306016953,0.47163825731317377,0.04970994284593249,0.8069520143573667,-0.041859315905568975,0.5922043343437126,0.425609678300932,0.3614323570125864,0.5068055218979283,0.5285624930954596,0.20042650701171738,-0.5454331452649747,0.09610968708816621,-0.26115071910206883,0.2511768624068071,0.19491035868312642,0.6638588395930639,0.4458340322789797,-0.22363238905245644,0.3000008113489939,0.21562811842166948,0.3117554016321818,0.6627803444051178,-0.5369496707125377,0.4733015486905855,-0.5319144499258281,0.03854227490439013,-0.26436598287060475,-0.15622854570860498,0.7402124864675234,0.6129064665471163,-0.6924935681402319,0.6624084085713747,0.5365507849889407,0.3944889764583846,-0.26699830686486936,-0.042006047353549826,0.13208449103651135,0.7785083750933894,0.3580308222627364,0.3583714427286103,-0.19342692515067067,-0.3171510947482799,0.3662815295036015,-0.7088125981907472,0.4849611795736814,0.5575470894612344,0.5535404845522812,0.5669602687018378,-0.5580212780700494,-0.4793730105879217,-0.05302485667012278,0.11943043709461917,0.5507172517958048,0.5163840432477361,0.29231423359027314,-0.6520199909369649,0.8534675375460754,-0.574097167932256,0.839881123753067,-0.009017958977905692,-0.565514842460795,0.4560880483795066,0.5131738377137065,0.20805552244565223,0.659965681580116,0.28764558253493394,0.01167609707699475,-0.47240498142870085,0.4663139684670545,0.7396820149428776,0.38199244154689777
Red_N_L,0.5929776030126747,0.2784106358384122,0.8371167601251923,1.0,-0.15500972305205382,0.8453430493970457,-0.7668380233566272,0.7322716417518096,0.3540773800599643,0.9270415576520928,0.4685299701156055,0.39215199874134415,-0.1960203609074237,0.4041828547676693,0.734984033098952,0.8072954481696859,0.3966831787917955,0.06317024409348561,-0.5057721844150886,0.7092120949782627,0.6706510873037353,0.0825368872474999,-0.44171124462956207,0.5077336735690368,0.5888416652592252,0.8712870398551087,-0.021307844283983562,0.24183997902069682,-0.5337599156331153,0.10778601331561827,0.7513519290245388,0.4159937781836214,-0.42476273242609863,-0.08446405726211902,0.5731395757279271,0.04268336992376363,0.9524102274454935,0.029547956716167497,0.6553319686445424,0.5104190290684985,0.3813644048588032,0.6090519399747248,0.6874506965102108,0.214673546312903,-0.5760096126815445,0.23863691229679992,-0.18936693829020074,0.32648316667673055,0.26976157247496596,0.7456147101980322,0.5477639181274455,-0.25788983357491274,0.34881092487858356,0.2721041651743819,0.45465594604728676,0.84083084045621,-0.623902479552074,0.5276230969972011,-0.5659951152231233,0.07116663375845063,-0.16666345351964695,-0.1601055273119985,0.9180715808360455,0.702415835854661,-0.692409702334107,0.6290548476922723,0.5659336484561043,0.4478961064605484,-0.26302445118453704,0.12378266305887742,0.29648244220512365,0.8696902176028916,0.5098035797954446,0.5245293874613842,-0.263036905785191,-0.30756694052230804,0.5253441835211594,-0.7079744906086695,0.6387383227243522,0.7283154775493244,0.56401473254214,0.6794043283816339,-0.5923269221060953,-0.476479446532056,0.10862858000337396,0.260971425631316,0.6767487061967733,0.5812689932316241,0.38187613490753564,-0.5960032852720486,0.9069229989884746,-0.6751263283053608,0.9142031235046884,0.14204089142364706,-0.6004212197866083,0.45805895353140985,0.5916903108081814,0.28957357639235815,0.7200030713873651,0.43721944034947924,0.0833023068344778,-0.47586561793044424,0.6007993848646944,0.8375313564309304,0.39466952909469893
Temporal_Sup_R,-0.25974839577009307,0.1798839472879119,-0.13443818065052668,-0.15500972305205382,1.0,0.03275537074313099,0.5095677556442112,0.15648780102259693,0.1458299728448147,-0.17818076755093595,0.19736593182341905,0.2233462607890873,0.3189618664690039,-0.022880875570468952,-0.1544893585944605,-0.11469566859276016,-0.1683990303098583,0.06357865863558831,0.44813276325642065,0.21888780172561473,0.16105857964747244,0.13023144408395843,0.4689374050596309,0.10991293250809149,0.18111897685657638,-0.3508048137165789,0.10875118504179122,0.24550555314983888,0.35666786354844465,-0.2568590987398893,0.1039551862198236,-0.29248976420835254,0.3151753536856742,0.22563239312069464,-0.14881008727671224,-0.15221549293717943,-0.04707875700138651,-0.13437896254115025,0.2054998949364048,-0.006246834387537416,0.27044958990899115,-0.0502231311109012,-0.11634512023449407,-0.14285252157458783,0.5604296311427902,-0.1299352878580928,-0.07765889292689714,0.34435506390824544,0.021505495098536873,-0.16593063174618203,0.1310270039694802,0.6334760948648364,-0.08034948319199393,0.36564275808342056,-0.18960514610714876,-0.0113581893276975,0.6339093356299268,0.09657811014146958,0.37443246171421946,0.21908213733683984,0.6568082430009522,-0.16759457854509371,-0.14800790295618124,0.2674201858067127,0.2477880036321664,-0.18519373077352352,-0.10251485788022077,0.016452394607006295,0.2141948436681302,0.23396853676970017,0.2347767603081326,-0.24889313794553583,-0.286326156887795,0.2541018579651806,0.14808001866070739,0.2557835705062381,0.22216924480497038,0.27982734066382176,-0.15316936802095132,-0.3687353027933861,-0.07925039711315443,-0.06980416678308367,0.4907343810530634,0.2588609266094244,0.2434659275544871,0.06831503805629413,-0.11906644728206293,0.01279345589501557,0.11381589719752268,0.3700628835890197,-0.24587809982097691,0.1792353314443416,-0.13382326671414513,0.05027454144509415,0.3003755515646284,-0.003215361984937414,0.05480280067162731,0.03090875252139701,-0.09754632504511834,-0.09307940563757218,-0.017536629433003232,0.18957463223550053,-0.25814788581090925,-0.3695883034068834,0.16080191539221705
ParaHippocampal_R,0.501962613255803,0.47210402445460786,0.7694972624261942,0.8453430493970457,0.03275537074313099,1.0,-0.649638478565694,0.8159771415111775,0.3139921492641348,0.8527144041581619,0.5844068660331567,0.5135970847164935,-0.1281486967214032,0.3323610733912805,0.7506242661871583,0.8388867938966451,0.3421468571347981,0.11939118304230996,-0.35913828017803706,0.66437304074541,0.6756288606629145,0.07297266727017138,-0.3327625516493389,0.6595452773690635,0.5989988143317181,0.7349311220632883,-0.06783836282390607,0.22705233242989964,-0.4176402493003737,0.023847816344755905,0.795303697731878,0.36584170532532667,-0.22021826869281597,-0.07164982360977602,0.539353850006681,0.09049577042230973,0.8041641090638674,-0.035676542701011914,0.6902553793630815,0.6522993908825602,0.5103009220010016,0.7451007269659651,0.7258119179744006,0.2572010051701543,-0.4061510343438854,0.23954082082097458,-0.2204254742807728,0.3720659258671391,0.4560438800142828,0.790291994776924,0.6840765070977574,-0.1070577664738419,0.3316396947328949,0.33216440394175034,0.28494233025489435,0.6835925085387513,-0.5092436644123353,0.6526345244435768,-0.33016202705568415,0.23472811794739304,-0.06445987794908359,-0.1758146743292626,0.7526471476113739,0.7821691108240318,-0.5578662780316728,0.660983512722494,0.6643736261929226,0.6584707621095461,-0.12213386442662975,0.1494053241207477,0.29321904123501014,0.8190409032807553,0.4990221683782097,0.4757011516549818,-0.10646636183832298,-0.33484896848435725,0.49182980520896524,-0.6153494834076182,0.6384715105275665,0.5693828306744346,0.6617258693668308,0.7211926354622991,-0.40514238996643454,-0.36932962452580337,0.15057115197014467,0.08435786911761901,0.7680592546194193,0.68621196841335,0.44419752681383806,-0.4210464775370766,0.8600992034598667,-0.5656628051515453,0.90586809778124,0.07965766002989498,-0.5632335930675356,0.4940026172823924,0.7106743336399963,0.40616180717268696,0.6644389197668851,0.3916278356354567,0.25902345825405276,-0.45445075091055637,0.4582074394961823,0.7841850068096802,0.5548420134691886
Vermis_10,-0.5222529375004774,-0.02833279247806494,-0.7378898712101342,-0.7668380233566272,0.5095677556442112,-0.649638478565694,1.0,-0.3603817260576101,-0.10293004585390693,-0.7868162415489974,-0.09305647636256342,-0.1423564505834994,0.5878062854096338,-0.3990745681215101,-0.5086419104493628,-0.6286955283549384,-0.371841594650834,0.13915547622198346,0.7849725499111895,-0.2830592761079696,-0.42684889363191053,0.026192335250360247,0.6749686483709226,-0.2726575776948355,-0.20752018247301326,-0.8615954740310158,0.17300533549490107,0.057799454681134385,0.5277316263187467,-0.06574093410979596,-0.4193504285048691,-0.5184470662679831,0.662935108793025,0.2236462071839464,-0.28875740096303065,-0.10471571684369196,-0.675764646191188,0.006525914395850082,-0.2142255844076086,-0.25096680467667987,-0.0014528758468081043,-0.469354330239712,-0.45916017206875537,-0.2448653479580493,0.8847754228244452,-0.21315518862931834,0.259303078912333,0.06474563421303117,-0.1662282650167195,-0.6256322345154016,-0.24999281084440084,0.6427133628372383,-0.2435531304183339,0.032321657225374244,-0.4013028336442671,-0.504044093177644,0.7668961522210294,-0.21741811268421873,0.692032017101749,0.2771447647253734,0.5832507523664674,0.1067722745287919,-0.6450829731251606,-0.3330156331439504,0.7985762981370248,-0.5377961189426994,-0.48017862259570426,-0.28235260722389827,0.3902333721381531,0.0769267604391459,0.11708728443483939,-0.8450319936337921,-0.5548436679145924,-0.2795715134034711,0.17262420100013512,0.47158557670993895,-0.2710534120130117,0.7472394112960534,-0.5420875012038817,-0.6551526321608292,-0.4265393511799936,-0.44819009701522255,0.8650844184410676,0.6814428446032205,0.08346048027896294,-0.010883592687868177,-0.6194156862403586,-0.39393018357156273,-0.06825333836158748,0.785446546783179,-0.7911334705447038,0.6864413971697131,-0.7729756710047775,-0.07447957771084911,0.7104159839118057,-0.22362322200913126,-0.36254221854199714,-0.18814361027726112,-0.5417210583709037,-0.2002754918224023,0.008629990946634315,0.5572636684448562,-0.5894708981781512,-0.8701847839386758,-0.09816744428066504
Thal_IL_R,0.4294095415888588,0.5549374824088921,0.586867129055363,0.7322716417518096,0.15648780102259693,0.8159771415111775,-0.3603817260576101,1.0,0.31336198485323496,0.7418130515351523,0.6943794039562923,0.5839262689980665,0.16990201072379557,0.3221819839294654,0.7639337971552587,0.7680773759714103,0.2372808826075846,0.15055563501932331,-0.1166443738846018,0.6910878992684715,0.6643849453529508,0.12989184338324825,-0.08580898162535532,0.6689564003242692,0.624668888263873,0.5132320265869541,0.12440921053107452,0.42235788188733,-0.3612808544349874,0.060211539977949105,0.8196448238593436,0.23676248916343604,0.03263693309807998,0.0058671376845310045,0.6019535708119114,-0.0002583150737247006,0.7140710013446595,-0.02967145555152556,0.8109550354204275,0.6903957281930895,0.6279370867175873,0.6969677415905605,0.7258126178975364,0.24469213999259368,-0.13805257978162547,0.2579667771770928,-0.0733569855337856,0.5810326304294657,0.44444100392972924,0.7455092832315373,0.7369980118805256,0.06878402320170472,0.1782538039132948,0.4276161140339651,0.2525478252426734,0.6524716910458319,-0.3744945188666997,0.7320340303033966,-0.1421618871568618,0.46118561976460465,0.15584278345286726,-0.10382043875839767,0.6792840842640396,0.8477963230004973,-0.3457022145137179,0.5927391484169576,0.6121810896257427,0.6272404349764111,0.0175675164899302,0.21289396132815439,0.5067692155711905,0.6317746933704601,0.3621028463398026,0.4515745529690542,-0.12615597230943498,-0.1465807144298144,0.5143787759756329,-0.41396011452732884,0.5588708060053,0.4177456560543765,0.6432582907303358,0.722694185318865,-0.15286325134914772,-0.13712278936325703,0.23071334728778167,0.2285497298312336,0.6802708465496736,0.6815996268409671,0.5572000328364168,-0.16916298879690467,0.7069392116167184,-0.4145141572971437,0.7499475443977447,0.1430272521512455,-0.3156077177472912,0.48001374030687116,0.7158178551067326,0.29507964719897134,0.6064208062437314,0.4100857579454449,0.28821300163164487,-0.2801982559587029,0.295640410381508,0.5492648599418788,0.5977369777208263
ACC_sub_R,0.277915284452558,0.27931621664403683,0.2625677719548206,0.3540773800599643,0.1458299728448147,0.3139921492641348,-0.10293004585390693,0.31336198485323496,1.0,0.2604687798136014,0.48862684217341096,0.1121336491188289,0.217557747569262,-0.031305227618372705,0.35246988556447967,0.39568136537503784,0.294698133057011,0.40811740614416026,-0.004629285748277536,0.3121241600335586,0.3529556785698104,0.13359176058080993,0.06582294878968198,0.3261091219769935,0.23465560664076326,0.3001375919569704,0.3277633964437296,0.0828789117341839,0.05003345469418027,0.13434691806274174,0.3770364691131659,0.1968189634683663,0.018606229475316132,0.32094402868575117,0.17653341931946423,-0.07090148638243521,0.3360828896534934,0.0598481003137922,0.2696637565348575,0.330441117308501,0.3005901864699804,0.3123706579887897,0.3848297005040926,-0.03272891355247551,-0.019423506692290496,0.06328751889647939,0.006040051130087742,0.19140584631649277,0.24078860315021008,0.2843544090359737,0.31942529767657735,0.12399309144327521,0.3157683991916866,0.25805123604876645,0.05474068669668564,0.4196504545210295,-0.09779291674169267,0.3727710273696996,0.08078580871083105,0.18883240926439646,0.23884779770819894,-0.06785613350478309,0.43503941321811573,0.2718146896933715,-0.1283445464599607,0.23756102698726508,0.3105954506957655,0.294166690654445,0.021565937290133206,0.2228814567272078,0.1077136823865211,0.2985382765350355,0.20773466297788193,0.38436476043645934,0.06697684313510888,0.11047108738747195,0.36547735527867403,-0.09111785856672823,0.34358591868008664,0.3530773756989438,0.3135507170927083,0.29178018855724847,-0.0387733175083592,-0.08144702579162809,0.2754704550993533,0.16937638949943967,0.21867282864254237,0.19959454180317437,0.30561303965283904,0.036032756987816265,0.29441023962086765,-0.0949127542560154,0.3144666059472744,-0.07793693286988124,-0.1200153581898135,0.10599160016029618,0.3627398797339047,0.20451794083959488,0.4090733625548996,0.19836614154560195,0.2013649864542518,-0.17224841686248665,0.21882886203590887,0.20663957109571332,0.16181632233378596
Thal_LGN_R,0.5654355813917248,0.33951484229229906,0.8669839925831259,0.9270415576520928,-0.17818076755093595,0.8527144041581619,-0.7868162415489974,0.7418130515351523,0.2604687798136014,1.0,0.4462885446644298,0.3904512992983879,-0.2861168166596384,0.4423971454194224,0.7380203792335335,0.8281510213397142,0.3617641067678773,-0.016506871654167064,-0.5470439132554684,0.6636266020274245,0.6800819901118009,0.05317147488639002,-0.48646775376533674,0.5667927372528415,0.5798282080362299,0.8330322632163912,-0.010654286751484854,0.2322137091489953,-0.5410839839359386,0.0989059831002638,0.7675525306876784,0.36074050392880924,-0.44115403228755695,-0.10997762661126946,0.5394148468228158,0.10142535537792584,0.8756009868184641,-0.0264174343205243,0.6410995460534801,0.5519395702806688,0.41250070371927133,0.6645031304864033,0.6622293357635287,0.3016363943416838,-0.6025547558310291,0.21190717768982342,-0.2184162484094874,0.3374385844931601,0.2950162148830224,0.8204298341166955,0.5647763770196318,-0.30897710930197037,0.28874716320511884,0.25837307214096183,0.42786864745437575,0.7083562439929451,-0.6370401171522299,0.5827566298729504,-0.5518812916384352,0.10188464058656689,-0.2726851494116082,-0.17625245918892815,0.8310302956186337,0.7453682985009679,-0.7227993495688367,0.7076252404649535,0.6439167488194133,0.5238349840537514,-0.2741962093932063,0.035790002016027986,0.21623696621157693,0.8994211454446692,0.45935498869747604,0.41612673684437507,-0.2264651375003583,-0.3861664167729739,0.4732884516637062,-0.7518224039412563,0.6263510841251138,0.6438332089449761,0.6491843664309719,0.6977548152978919,-0.6065177248008754,-0.49932318949560744,0.04464635868811414,0.15957335698200636,0.7345820492853771,0.6397708982709657,0.38595331552737344,-0.621310596851347,0.9281778612154775,-0.6590014562450196,0.9226860375613571,0.08762304171404735,-0.6175612561836077,0.44385368654032015,0.6478092302945598,0.21711107921472492,0.7603025478788493,0.3874656723304076,0.0893842515147273,-0.5232925156154117,0.5181982614947988,0.8322290997272154,0.4644161918666479
