,Putamen_R,Frontal_Med_Orb_R,Parietal_Inf_L,Temporal_Pole_Sup_R,Vermis_7,SN_pr_R,Cingulate_Post_L,N_Acc_R,Parietal_Inf_R,Thal_PuA_L,Cerebellum_7b_L,SupraMarginal_L,Cerebellum_10_R,Cerebellum_Crus2_L,Thal_VA_L,SN_pr_L,Cuneus_R,Cerebellum_4_5_R,Rectus_L,Precuneus_R,Cerebellum_10_L,SupraMarginal_R,Cuneus_L,Occipital_Inf_L,Postcentral_L,ParaHippocampal_L,OFClat_R,Rolandic_Oper_L,Frontal_Sup_Medial_R,Amygdala_R,Temporal_Sup_R,Thal_VPL_L,OFCmed_R,Occipital_Mid_R,Cerebellum_3_R,Thal_PuI_R,Cerebellum_Crus1_L,Frontal_Inf_Orb_2_L,Hippocampus_R,Thal_MDl_R,Hippocampus_L,Cerebellum_9_L,Thal_PuM_R,Cerebellum_6_L,Parietal_Sup_L,Precentral_R,Paracentral_Lobule_L,Precentral_L,Cerebellum_Crus2_R,Angular_R,Insula_R,Thal_AV_L,Cingulate_Mid_L,Amygdala_L,Thal_MDl_L,Cerebellum_3_L,Pallidum_L,Vermis_6,OFCant_L,Pallidum_R,OFCant_R,Vermis_9,Parietal_Sup_R,SN_pc_R,ACC_sub_R,Fusiform_R,VTA_L,Thal_MDm_R,Thal_PuM_L,Heschl_L,Temporal_Mid_L,SN_pc_L,Paracentral_Lobule_R,Fusiform_L,Heschl_R,ACC_sub_L,Thal_MGN_R,Occipital_Mid_L,Thal_IL_R,Cerebellum_6_R,Frontal_Inf_Orb_2_R,Postcentral_R,Red_N_L,VTA_R,ACC_pre_R,Calcarine_L,Olfactory_L,Frontal_Sup_Medial_L,Caudate_L,Thal_VPL_R,Thal_AV_R,Thal_VL_R,Raphe_D,Vermis_10,Thal_MDm_L,Insula_L,Angular_L,Occipital_Inf_R,Thal_LGN_L,Cingulate_Mid_R,Cerebellum_9_R,Vermis_4_5,Frontal_Med_Orb_L,Thal_Re_L,ParaHippocampal_R,Frontal_Inf_Tri_L,Frontal_Sup_2_R,ACC_sup_R,Frontal_Inf_Oper_L,Red_N_R,Frontal_Mid_2_L,Temporal_Mid_R,Occipital_Sup_R,Frontal_Mid_2_R,Thal_LP_L
Putamen_R,1.0,0.3265790530387814,0.05111692961202327,0.17849822139537652,0.42273234559932993,-0.03797400218563333,0.03954886399959731,0.579460729248647,0.5089689246900062,0.34897647975466123,0.2898434637897038,0.04722990272467919,0.004043449543792534,0.4731252500974309,0.22384382936650185,0.019463746568578588,0.6078101457160151,0.030389334624222393,0.4029952322285394,0.2266992860618562,-0.21727592869693096,0.5102744841248162,0.382518905027638,-0.11693258319943027,0.0715304803194648,-0.23283692201622605,0.2758869127853476,-0.05244038639733187,0.33998210236596077,0.18984448235458645,0.6664776551610672,0.29142139848759546,-0.047939608547838256,0.18454315753746772,-0.09462721583701887,-0.14214770832959064,0.07976059486351159,0.15995192464065988,-0.2440405158192336,0.24885679377746642,0.06427189195089242,0.3840441631431129,0.3522423042987428,0.5140310449217905,-0.10976739062723827,0.15081776391990567,0.13125770059523825,0.20703281520654704,0.2257192704700226,0.5460192017256685,0.9117261284219433,-0.0529895035300406,0.25022583589324754,-0.1531963916030413,0.23211921769356506,-0.15282821546855987,0.24816103618345212,0.41810862636596174,0.05050891908165861,0.8178950650087272,-0.30701704767765337,0.10723381639799066,-0.07295144660684817,0.13846385536776443,0.247213236460345,0.2686813796199434,-0.16681424840355413,0.3203709498182866,0.30349530995138263,0.08628753306536666,0.11938854230469667,0.17190428412559247,0.04173891480397269,-0.29145355452327176,0.62415688920127,0.21344120391913995,-0.11554509587311602,0.32631373008220255,0.27667173110899407,0.4510893541247245,0.5144395241801482,0.059784136302793355,-0.05246414346049362,-0.1530117736785779,0.5147837745753937,0.4696605291006811,-0.13045526465996446,0.07924344056877429,0.09344863522468838,0.36208398526210817,0.050392363589074424,0.5264199862582218,0.2846064319325982,0.529894636978158,0.297419835435528,0.3434229639175243,0.2916944823710323,0.3059288497805185,0.1867584081006296,0.314688778816381,0.3026419876547679,0.5600818914436039,0.05074966676202515,0.3640171633788161,0.05686668390559465,0.02946488085772951,0.12604823899699194,0.4307853060266342,0.5297148260548133,0.09483859773385817,0.045503409907578264,0.33998693812117203,0.45797530401300474,0.05872363980590718,0.2897677071134381
Frontal_Med_Orb_R,0.3265790530387814,1.0,0.02015949893408915,0.2602211522314693,0.539021853684367,-0.2063131702386271,-0.21540425292907034,0.3538138402919074,0.28368833685726014,0.06320944290457377,0.27553174343090236,0.1488734612190593,-0.25707336166227895,0.4732569901580888,-0.38721527858510923,-0.45871751754589546,0.5735411627415646,-0.376453113759671,0.4755525989230385,0.03497637799078509,-0.16686221491864595,0.1322951506417898,0.4802869990183053,-0.3056110605981591,-0.2420063981680948,-0.4992953705348858,0.08561306440995439,-0.2876583969899807,-0.22680346614968944,0.3753458864216304,0.18957463223550053,0.112553992451419,0.12444506854374142,0.012525209308918622,-0.4600503935769581,-0.4269447748379793,0.07644220417914059,-0.3810560550473015,-0.5412928387692431,-0.3142492788101962,-0.3037297365228099,0.38759289195331,-0.14325019748908227,0.4384061089457969,-0.16966806148010077,-0.21307651195715316,-0.2326662230479786,-0.190414725840015,0.45922144996165765,0.5270186011080883,0.320912445347631,-0.39132216289118343,-0.1981189126845607,-0.23008546528141527,-0.09605497345330309,-0.30285103751264086,-0.21641790397612867,0.5779254674607494,-0.03836630908462509,0.35521755337536765,-0.5476413749000516,-0.033575333577608946,-0.12382807626354699,-0.18505238676527114,-0.17224841686248665,-0.062213279486467384,-0.40510590957347753,-0.22247436815137914,-0.017230632317202815,-0.14295742993438268,0.2256855507221225,-0.32256524270044223,-0.26400789670874936,-0.5339361599845523,0.3314679669774315,0.052262353772400266,-0.47240498142870085,0.4815755524251819,-0.2801982559587029,0.37466812031301683,-0.20157501880125542,-0.1978446836625543,-0.47586561793044424,-0.36161511989142897,-0.2170410903886757,0.5351000271677923,-0.042483607758773786,-0.3219017794059669,-0.3772007799773206,-0.2753980605979948,-0.20252971439075473,-0.05812941783437363,-0.1554928464731239,0.5572636684448562,-0.10369998331197544,-0.10747324580336119,0.5228955363282736,0.2938588178642607,-0.17187414642061352,-0.21038538651107327,0.033738912194950836,0.4818254924461038,0.4079476456016915,0.0033879288630628513,-0.45445075091055637,-0.3346367811751767,-0.32008878610419633,-0.2056188693149318,0.2906829252594637,-0.44213721633166475,-0.4414298885574959,0.29571923897138175,0.5467104053034101,-0.3988595335127375,0.2122420428127446
Parietal_Inf_L,0.05111692961202327,0.02015949893408915,1.0,-0.01606947205567072,0.18640302201663742,0.26967770026281207,0.7358911898637245,-0.07361676741571459,0.22796125241606394,0.3031237799221132,0.3502325644811726,0.80814694623785,0.15857553779511918,0.11912725783288887,0.21047629391703793,0.07243163124128654,0.1911914634153443,0.5770040894515475,0.15997885675120552,0.8392199992191518,0.27522964488463053,0.29089097417824716,0.4826948812224997,0.3113946713232215,0.7460859856394209,0.2537865669005108,-0.29480580166331366,0.30180429605264825,0.5132044146277358,0.19821664311791998,-0.017536629433003232,0.6900793079770138,0.2229767008923225,-0.03938007351821833,0.26812441908455126,0.3727958368351396,0.17585962095626195,0.12206671678371381,0.18141713126510003,0.25827681049822054,0.5242071840292845,0.10500045945378289,0.5577710270299105,0.28758242012763857,0.640575198100631,0.602204925997222,0.6848906898315985,0.5859929422407257,0.25730109332059947,0.07548457619929498,0.0621418067966932,0.14362112592066437,0.6887766766840601,0.10821681049804706,0.22652075547722506,0.5550437339396767,0.17685424099324892,0.1610794350189224,0.11390306064463464,-0.03796790804959304,0.16563407126281837,0.09868548689893943,0.3843602077085491,0.1352759087172201,0.2013649864542518,0.1988408499225063,0.3598894696390132,0.34013849588012857,0.5898490010350269,0.22467898848295345,0.4750736688168005,0.12351522014803297,0.6294089435288512,0.2444547446493401,0.14456075954820286,0.12020863012896216,0.01167609707699475,0.38389813736865863,0.28821300163164487,0.2090829933057016,-0.09362391612901859,0.47317436341929503,0.0833023068344778,0.4370201807750244,-0.039529583115115,0.24512050515165704,0.25084371629920404,0.5940346542710823,0.4118468563749518,0.22364549292155067,0.4716285702584882,0.19721039383252797,-0.032761787814716566,0.008629990946634315,0.4836614581840584,0.47457892810135666,0.4621696557776931,-0.02446134437721571,0.18697385245342343,0.5993103198757638,0.2048442131276783,0.41469531369776397,0.16357844139314748,-0.027925679150185356,0.25902345825405276,0.49367110380773566,0.5573080385469726,-0.09455910984258485,0.3915449261399968,-0.07278393834221553,0.396717957437542,-0.03714384636295506,-0.08067769113746132,0.46034150321754186,0.5441414729826335
Temporal_Pole_Sup_R,0.17849822139537652,0.2602211522314693,-0.01606947205567072,1.0,0.09436789058186877,-0.06231898194694505,-0.12863395348202278,0.23505864891090025,0.13600330741658184,0.03465038784048525,0.0747672500920433,0.01285071499264508,-0.1679444528369663,0.05296471556264512,-0.06789713380076084,-0.10700850443433824,0.27249905227301824,-0.0350223337133024,0.19464739440457626,0.0053639432791591675,-0.2597825905849196,0.25430761404150576,0.10867636890728545,0.11078076471824416,-0.08536837038168238,-0.25886402194622554,0.18268708099508002,-0.0672345326511516,0.02092289717679418,0.1348022978650002,-0.04589548342909622,-0.0020306887290323914,0.14043360185735682,0.05540701103851896,-0.22705528615628073,-0.12529620729094457,-0.23216523122930052,0.05411543777456984,-0.21169715347464577,-0.08357544395722982,-0.18843916831800583,0.288952477542726,-0.13312328882629473,0.12382019947633138,-0.03767851408742844,-0.1159526086028029,-0.19356847097293697,-0.08945340510476113,0.18945297548005033,0.12299041373493869,0.264040067910772,-0.1595228154779927,-0.07280952916543418,-0.2037111832498785,0.023266944890719746,-0.22284761696329827,0.041467645747078764,0.26091012122365037,-0.16515959918897566,0.20805556985470147,-0.19318023976334583,0.053248217557472007,0.05050679467625481,0.18592937732928191,0.0545219369756199,-0.04390607974518915,-0.0675515956703428,-0.07722359885851891,-0.019526720317786846,-0.04716025877769727,0.07881069113893534,-0.0177136854976436,-0.1508742862283745,-0.22050262676160362,0.038727355607128686,0.005995725803397193,-0.3412936552199624,0.1591791520758382,-0.06701332136868493,0.18430360223782455,0.08626699692311304,-0.01601647861802443,-0.15316301318746842,-0.06781633324163411,0.07786831864097758,0.1397409883527486,0.07133566711552253,-0.10076610982609534,-0.16127215340229592,-0.1512339554034125,-0.12531871152512625,0.060260524872879744,-0.27624946692234104,0.25225859587740007,0.013643926706238029,0.12809653673105556,0.16290326791027607,0.12345248664127999,-0.21908823178045253,-0.06930560025659903,0.15335224489655874,0.29331354863145853,0.03227735006061985,0.08798025767804998,-0.19229314367414838,-0.04957029984375743,-0.046972924484202185,0.10386653588608365,0.3264091023927891,-0.12731671405420122,-0.07705196187214251,0.03673547316735473,0.21014248641567185,-0.12571556867114553,0.12888309943676066
Vermis_7,0.42273234559932993,0.539021853684367,0.18640302201663742,0.09436789058186877,1.0,-0.19488599865417663,-0.03312415901218442,0.4883486942162353,0.31738032663373406,0.19355114637065035,0.5728264931525684,0.39890354136459016,-0.103349669311518,0.7233835087805744,-0.24895551688064782,-0.430244973548658,0.7517124045043344,-0.2760301759318723,0.5070181584599115,0.22833227995537797,0.016625010388126627,0.1348583016606903,0.6823845123245978,-0.36492788433126033,-0.026252610314855877,-0.41480166393583967,-0.0915491068759966,-0.13854551226907572,-0.13901109469880474,0.47510853761092214,0.2588609266094244,0.35401718954678113,0.04994614827847064,0.044521104154743314,-0.4144760166129928,-0.40779249252651256,0.5367290546356386,-0.4030831604173073,-0.5751755778663361,-0.23591137077291466,-0.07285691041264522,0.47734179165348517,0.05784691865588961,0.8124517488288755,-0.16316237944928283,-0.03795541003845211,0.010541492027156875,-0.0008242488145932114,0.6294108384346856,0.6903375139845955,0.34409375433519895,-0.3427716996192574,-0.04234900623185595,-0.2223508233896982,0.06524467367102947,-0.2699210575294978,-0.07954810870013328,0.7596836530153908,0.20126085855916417,0.5033826405602043,-0.5458747836891962,-0.11342525982576858,-0.19328595317236344,-0.10628139177973187,-0.08144702579162809,0.16762060802054982,-0.4325488098304562,-0.05155276932240316,0.2040227985934273,0.05634072994421608,0.5059214404612167,-0.34255897606127045,-0.1279190107575707,-0.45556303854222924,0.4901559514530672,0.17852448966933684,-0.4793730105879217,0.5371778529243671,-0.13712278936325703,0.7071972401917416,-0.32838918954914675,-0.15829587718774613,-0.476479446532056,-0.36617834738684124,-0.2471962898505026,0.8108871619578273,-0.021615463018211187,-0.20158636920735123,-0.2590824804258153,-0.1749084663096117,-0.005203908309996349,0.012429837501252516,-0.05372406068876171,0.6814428446032205,0.11622954620056009,0.15048251157126738,0.7070030271775486,0.24125314145143142,0.02201880912381259,-0.07734658127853962,0.21642957534203433,0.6798100056019074,0.3306658018182428,-0.0787756904588674,-0.36932962452580337,-0.1946830588900526,-0.31047737754589533,-0.3385914730192264,0.45238477259251747,-0.4665707828669557,-0.40655176610507116,0.34523116985243196,0.615558989549394,-0.35390027189050566,0.33209089205280035
SN_pr_R,-0.03797400218563333,-0.2063131702386271,0.26967770026281207,-0.06231898194694505,-0.19488599865417663,1.0,0.33889811071412945,-0.18911826651720337,-0.007814778247240667,0.11448105399856502,-0.11218284136711373,0.17945677407765256,0.22914222326297298,-0.2888588509194046,0.3531419416816324,0.4218650008784769,-0.16523640405856738,0.30499559688784195,-0.18686845282884204,0.21672238439481714,0.19917861998174832,0.008868433068728249,-0.17802807068919052,0.3233983010150809,0.3576183531783039,0.3716589382262062,-0.08268007192865395,0.34994215776666054,0.3514859556607854,-0.12054366411469863,-0.07301677514455708,0.23297194482359218,0.05223470854455084,-0.21668000037975235,0.33476861957586257,0.29429526250948446,-0.1279587791457749,0.34229634226869365,0.2915399369972793,0.22200153794818323,0.4084924717421595,-0.18800984536182216,0.1917065913152721,-0.2134801315112432,0.2739036147319368,0.29178609942721423,0.28874592583247743,0.2783900193154952,-0.08241868060447069,-0.30158092470898806,-0.016787904564163975,0.311939170151598,0.31294653794064015,0.18360324682522483,0.3717016893231907,0.280704246853289,0.4189185262967079,-0.2428582013308935,-0.1277363750360123,0.01410718934510439,0.3041747423640228,-0.1950225902176761,0.1827229930213842,0.40664468424759787,0.18117225779546023,0.0632000856709184,0.38716338295663016,0.35343332100439856,0.3067630814120345,0.16612147825354387,0.08255387987964997,0.2959924789815189,0.33878949787264767,0.35632021366125893,-0.09223400197489388,-0.031216439154792594,0.19691819890769738,-0.12099232163637573,0.394674006288084,-0.23726173783725873,0.2277775198173271,0.2611576878839763,0.39134113130012027,0.42176594776376264,0.2299608702802165,-0.1627330141782286,0.01807199240475215,0.3801534444050365,0.3112533202273301,0.2892944238868542,0.33428886133928604,0.2146564876263965,-0.017333195501461868,-0.22465485106849797,0.3382025218448863,0.27535891704202653,-0.0980151298992369,-0.18830017357671647,0.2428802284321079,0.3098667276366108,0.09238071892494071,-0.1528127443451647,0.08754628369737015,0.12915988553835678,0.4235320519403798,0.43426766052292515,0.393790244112732,0.19874000668294284,0.04065500093895438,0.35830888714721587,0.41875733502479356,-0.17864178387272153,-0.33473827532894457,0.40141416339524494,0.13149914251156214
Cingulate_Post_L,0.03954886399959731,-0.21540425292907034,0.7358911898637245,-0.12863395348202278,-0.03312415901218442,0.33889811071412945,1.0,-0.2196583460306791,0.16110596608601654,0.5363763521127654,0.07755609292872913,0.5012670667271629,0.20823982055225404,-0.05574749753558864,0.5899597420357339,0.3643985293028846,-0.12083474345032448,0.8691014276145377,-0.11168389555397634,0.7632420142381235,0.18260486529136855,0.2673795114985464,0.21714915053146872,0.4067791364049619,0.9082882948877923,0.6173359335978259,-0.34889250894472634,0.47343743990956505,0.7502012936553066,-0.18008258985706493,0.016452394607006295,0.6456386931150611,0.1255724405605206,-0.014685292788393221,0.6612982878662513,0.7764516608591666,0.1625976966349572,0.39537298972151713,0.5821776722700708,0.6126558868300407,0.7849337039952464,-0.267071821691247,0.8326558225973083,0.04613797627793725,0.5641238292348846,0.8699287393168723,0.902435922505696,0.8459784907059099,0.06282373054848803,-0.15809443913146703,-0.0018564033935114695,0.47815060421967825,0.8887107473427134,0.0998225940125439,0.42952332851476127,0.7762633362539556,0.3849458841676869,-0.21689259863065816,0.11732804048010331,-0.08458139933977038,0.42029867872051274,-0.018170229995660044,0.34274716912089437,0.21781928879229775,0.294166690654445,0.4894283523349804,0.5583846705908202,0.5984998422277816,0.7470724985313871,0.4920529766883883,0.18782131966119428,0.3949724918716085,0.883983791754769,0.5034356984582868,0.009324089862402626,0.04521741207197832,0.3944889764583846,-0.10377333735660163,0.6272404349764111,0.09333939777797566,0.09854153452963109,0.6252346599650703,0.4478961064605484,0.5931799597224191,0.21511166182913458,-0.004961768167014384,0.15236815371749576,0.8168522645047793,0.7112247120724016,0.6508188199307307,0.4952018248144861,0.39965866796797034,0.2512854358662278,-0.28235260722389827,0.6688156326796961,0.5516605695076964,-0.02223643366145346,-0.0778897865785183,0.4858637029170905,0.83086887316245,0.05969334930043704,0.1331157421746524,0.0389626088697136,0.07435719436216633,0.6584707621095461,0.7519394601641346,0.7716687619727928,0.2571337545934381,0.20735260807731296,0.3131727377671559,0.7128401872475715,-0.3014287233942932,-0.27697126737159783,0.7697668935613223,0.4070443037891492
N_Acc_R,0.579460729248647,0.3538138402919074,-0.07361676741571459,0.23505864891090025,0.4883486942162353,-0.18911826651720337,-0.2196583460306791,1.0,0.3063463246653804,0.00537597296782022,0.3633771540248369,0.1232651897045234,-0.12069643908886886,0.5328446201110945,-0.14245969925331034,-0.32777747788639505,0.6798784108424378,-0.28207281754915176,0.3800512640608591,0.009356580974041405,-0.1658493323973216,0.3212810510627947,0.5085393204470274,-0.4350060192762882,-0.15652370592728482,-0.5466241677503274,0.35381563040287317,-0.1695490370445975,-0.07473912876148417,0.3663092794932338,0.4689374050596309,0.13438329020167844,-0.09523764625962453,0.20532873832422374,-0.4694652760550474,-0.38396570935757074,0.0368168317021876,-0.10269491479259882,-0.5017427239027357,-0.2036043658809387,-0.25591861253951964,0.5755842711506295,0.011048850381313695,0.5482725281797052,-0.3475555086351688,-0.18905811960644475,-0.1468705678351094,-0.09053135088013357,0.3144777703790582,0.5950331924358155,0.6264802345777981,-0.3793860377811714,-0.07950717504406556,-0.20506938850282694,0.03294447335983328,-0.4889932079131876,0.01683534614935008,0.6159418444394111,-0.012800248202949624,0.5475284926084286,-0.5556826131697663,0.0788046730840047,-0.21735463347764972,-0.1130014849726511,0.06582294878968198,-0.033274690383716256,-0.5534028385543495,-0.05820434660261015,0.0030154856202892185,-0.023716777893195633,0.29820750678074465,-0.25810970859823534,-0.30516254538162735,-0.5687803166126085,0.4484512705858284,0.22276647356460624,-0.46946753437548816,0.4502646720273845,-0.08580898162535532,0.4334683669237921,0.09252469889904488,-0.2246919506802503,-0.44171124462956207,-0.5267223299784092,0.14633047287341294,0.5680215487581696,-0.09758548461883859,-0.27271863731656004,-0.23534177759640193,-0.07533914086985403,-0.22932339501382493,0.20175782887044363,0.021200608795036817,0.6749686483709226,0.0021055015338581357,0.15038370878483076,0.4642391889224921,0.28812058396694473,-0.08335872622478814,-0.07908834991324064,0.2876626332411867,0.587208482362499,0.060770853008790926,0.13228648764661516,-0.3327625516493389,-0.2546257137175264,-0.2529121594627693,0.04604206636072509,0.5995632439777246,-0.3189289713189758,-0.3015764200434972,0.4943840883411526,0.49443366829197827,-0.3425505093750219,0.10285880346904884
Parietal_Inf_R,0.5089689246900062,0.28368833685726014,0.22796125241606394,0.13600330741658184,0.31738032663373406,-0.007814778247240667,0.16110596608601654,0.3063463246653804,1.0,0.21207498813516973,0.4269723797283309,-0.11286716706932433,0.1041758208374036,0.4625912945980663,0.19495000092178288,0.11392704783186262,0.5911990689751866,0.20736527351183284,0.3404216626634322,0.609627222299947,-0.08179657309446153,0.8355360867193973,0.28460766421170997,0.31511386321305773,0.1109231583106376,0.029432995433284814,0.27931200890083047,-0.21013335685843543,0.36306602163724383,-0.08263685805858041,0.23396853676970017,0.021937664530410003,0.08373357012376224,0.14789506738127842,0.14404413346249337,0.10973925002581601,0.290917566896064,0.2683957118718551,0.13217466687902593,0.23497949866729212,-0.016793351765850048,-0.09515535360015215,0.23217456854531449,0.13406431599209648,0.5055711810571424,0.3763603289645988,0.3037103429253382,0.2104764088933108,0.5954207749928115,0.402964717375856,0.41367802968847195,-0.010535890113949434,0.29300001014310395,0.02208252076987388,0.07344196593397405,-0.020807764489512184,-0.013820300990613026,0.07115002688648961,0.04612999953544691,0.2473044147307219,0.020734837759013754,0.32267733382789654,0.6666739049954101,0.022935608558681996,0.2228814567272078,0.5690233727099179,0.11144679259718074,0.04230044499034179,0.0869570957980276,-0.10170408185928903,-0.20758713373195953,0.19971566333220303,0.2819160342958359,0.1150315074026377,0.05674903747107995,0.15848758012719794,-0.042006047353549826,0.1385517299529539,0.21289396132815439,0.6447550424844872,0.4304134392739715,0.6598862727927657,0.12378266305887742,0.12317968011691108,0.3980126185204246,0.11765871783666955,-0.005446599141104459,0.18073834706915254,0.06161330121347691,0.27432345101948313,-0.07123908738639081,0.3068276310665083,0.23869517864868348,0.0769267604391459,0.231146171291154,0.025061719976135235,0.11066658709851271,0.20956678232008738,-0.03293986003361945,0.3626709597414164,0.05794938505594208,0.3838761644207408,-0.1796130889564638,0.18390321313854963,0.1494053241207477,0.18309244179936146,0.2106378953423359,0.34492768632971976,0.2469347529736833,0.1581420500768483,0.2606526876744766,-0.1327894213052574,0.2718247311726362,0.24937960277031082,0.17028623662456413
Thal_PuA_L,0.34897647975466123,0.06320944290457377,0.3031237799221132,0.03465038784048525,0.19355114637065035,0.11448105399856502,0.5363763521127654,0.00537597296782022,0.21207498813516973,1.0,-0.09649043705263587,0.237065156704406,0.12950256919791134,0.03250654398468482,0.626062965632334,0.3603720173759921,0.0704809564586051,0.5029300601303726,0.00921977705701081,0.38685493674809035,-0.05268431579289931,0.14178637895019033,0.21295802814052825,0.12148603975778267,0.6254772575135222,0.4503331817712055,-0.24022080745039986,0.5414124988600382,0.5552098987606896,-0.102291234384219,0.27044958990899115,0.5820605658504509,-0.034442346436457175,-0.046433539326119086,0.4665567962885155,0.36014256426075497,0.19496966497307955,0.3339555603595849,0.3032330952398355,0.570652490804975,0.6236390871257629,-0.07961588063809076,0.6965231512807227,0.2626993260779225,0.11232940946690015,0.5917132918063857,0.5726609555086598,0.682146328491603,0.1306195197338113,0.08870636473667644,0.1921724474548133,0.4514360786139684,0.5932122904838351,-0.04144809993113363,0.48217003150640736,0.4720276552710818,0.46050246947184104,-0.01795196657305899,0.13325466514533832,0.3328655556903744,0.1928252458820511,-0.23079186059465842,-0.008898371812721588,0.22582326878133432,0.3005901864699804,0.5920114981632313,0.29971679106474025,0.6579008410503098,0.7638144837555716,0.6354601139543741,0.16916194324237488,0.45484383900036596,0.5951562837415558,0.18761587216918105,0.3122216988750484,0.1436411303830002,0.3614323570125864,-0.2229099346643999,0.6279370867175873,0.27469917057011534,0.0952517077517631,0.3491475703341455,0.3813644048588032,0.3078592156401561,0.21733880060684577,0.2814745747132967,-0.06290160456957175,0.5009989122226687,0.567748112257181,0.6030190539338557,0.4142971799114638,0.4222299080118486,0.44659839246607597,-0.0014528758468081043,0.6955128640118752,0.6561248011513278,-0.012543954843404067,0.12024824801835486,0.6753699424365806,0.5898530249410636,0.0938174858826218,0.08286543430660066,-0.07557744812265416,0.34688418837918883,0.5103009220010016,0.5284930044556367,0.478988565118344,0.22196210072491632,0.37977394003192416,0.348979771111284,0.4461093586468852,-0.10798171656730346,0.003966561865870194,0.45655676830528996,0.3897505774504895
