,Occipital_Inf_L,OFCant_L,Thal_VPL_L,Cerebellum_7b_L,Temporal_Sup_R,Cerebellum_Crus1_L,Temporal_Pole_Sup_L,Rolandic_Oper_L,Temporal_Mid_L,ParaHippocampal_R,Cerebellum_Crus2_R,ACC_sub_R,Olfactory_R,Thal_PuA_L,Frontal_Sup_2_L,Frontal_Inf_Tri_L,Thal_MGN_L,Supp_Motor_Area_R,Frontal_Mid_2_R,Thal_VA_L,Temporal_Sup_L,Pallidum_R,Occipital_Inf_R,Cerebellum_4_5_R,Temporal_Pole_Mid_L,ParaHippocampal_L,Paracentral_Lobule_L,Temporal_Inf_R,Frontal_Sup_Medial_L,Putamen_L,Thal_VA_R,Occipital_Sup_L,Frontal_Inf_Orb_2_L,VTA_L,Thal_AV_L,ACC_pre_L,Occipital_Mid_R,Thal_VL_L,Putamen_R,Thal_MDl_R,Angular_R,Fusiform_L,Cingulate_Mid_L,Thal_LP_L,Thal_PuI_L,N_Acc_L,Paracentral_Lobule_R,SN_pr_R,Red_N_R,ACC_pre_R,Cerebellum_10_L,Hippocampus_R,Vermis_7,Parietal_Inf_R,Temporal_Mid_R,Parietal_Inf_L,Thal_PuM_R,ACC_sub_L,OFCmed_L,Thal_MDm_L,Frontal_Inf_Tri_R,OFCpost_R,Calcarine_L,Thal_IL_L,Caudate_R,Frontal_Inf_Oper_L,Vermis_6,Olfactory_L,Rolandic_Oper_R,Occipital_Sup_R,Hippocampus_L,Cuneus_L,Heschl_R,Cerebellum_8_R,Precuneus_L,Rectus_L,Thal_LGN_L,Thal_AV_R,Cerebellum_Crus1_R,Vermis_8,Frontal_Med_Orb_R,Cerebellum_6_R,SN_pr_L,OFCant_R,Cerebellum_3_L,Temporal_Pole_Mid_R,Red_N_L,Postcentral_L,Amygdala_L,Cingulate_Post_R,Vermis_10,ACC_sup_L,Supp_Motor_Area_L,Frontal_Sup_2_R,OFClat_R,SN_pc_L,Cerebellum_6_L,Thal_PuA_R,Occipital_Mid_L,Cerebellum_9_L,Temporal_Inf_L,Thal_VPL_R,Thal_LP_R,Frontal_Inf_Oper_R,Vermis_3,Pallidum_L,Cerebellum_9_R,Cerebellum_3_R,Frontal_Mid_2_L,Heschl_L,Precuneus_R,Fusiform_R,SupraMarginal_L,Temporal_Pole_Sup_R,Raphe_M,Precentral_R,Thal_PuM_L,Cerebellum_Crus2_L,Raphe_D,Insula_L,Precentral_L,VTA_R,ACC_sup_R,OFClat_L,Thal_PuL_R,Lingual_R,Cuneus_R,Thal_Re_L,Frontal_Sup_Medial_R,Thal_PuL_L
Occipital_Inf_L,1.0,0.010479504073520643,0.021442217263042882,-0.02650870715825695,-0.3687353027933861,-0.007579198114875197,0.5456500886886463,0.30065586305280534,-0.3253000236336823,0.5693828306744346,0.06379571644039093,0.3530773756989438,0.19267733066090628,0.12148603975778267,0.585153073518726,0.6362113943343544,0.17129926845584584,0.4910015527671473,0.7160977634146072,0.4826141970592814,-0.18540637075241978,-0.22478624168292788,-0.2531214231238501,0.5332235137297284,0.4558633302422888,0.6799629080300946,0.4237656965795409,-0.4518690706037535,0.5904086695151636,0.14972890557858048,0.4024912262183916,-0.3251788482804355,0.668678288393524,0.8541984119106178,0.4558898263657278,0.2823309866060427,-0.17356324066514695,0.4482664858931038,-0.11693258319943027,0.4464259542852588,-0.41930554119198915,0.7349580786047067,0.45855977080082216,0.11436288816491945,0.16005856220396467,0.46066151993693294,0.5754222521497646,0.3233983010150809,0.6442960148514414,0.4314042993896532,-0.013949502657415137,0.6828932795847035,-0.36492788433126033,0.31511386321305773,-0.6365115711378884,0.3113946713232215,0.20266311640709886,-0.0002124233916160645,-0.20506677754724045,0.30970757481787276,0.5228742819241862,0.0399374614403565,-0.5591369566918926,0.43459304230543805,0.2766312774962891,-0.14087436109930257,-0.6089860533228053,0.2535220589672832,-0.17188023388068147,-0.43175597622467954,0.4437394243579548,-0.37563828930718,-0.39529061942745375,0.5551170867274767,0.38277693794937845,-0.09950932421147188,0.21350141902328088,0.3978846545204496,-0.016171520956307764,-0.08669537738997303,-0.3056110605981591,-0.08521737946464719,0.6769643112585881,0.75381537427828,0.540765652816199,0.21364422663493463,0.7283154775493244,0.42000592635658096,0.16180009415608096,0.2626348419136269,-0.6551526321608292,0.45379006998968924,0.47711058187707645,0.6738402655056286,-0.14627012101446304,0.6311236699059866,-0.46862549284528165,0.13766520026191484,-0.36142990740300757,-0.5336729287936404,0.20223990368182476,0.38984734058007287,0.33216235956900264,-0.2966674066674721,0.5037466437131449,0.36519892414099264,-0.1477024440115807,0.677781485592911,0.7026087203590172,0.17748259350167606,0.45257038033946145,0.3971658740722265,-0.09349505937147295,0.11078076471824416,-0.4264649362225368,0.5179078770011981,0.1368882966920967,-0.2879066058438813,0.1861924570171154,0.1577558694626393,0.36880733476562183,0.811993596880473,0.4160377777149876,0.12860136388600094,-0.1761389332544759,-0.23137293692713046,-0.3452658897159113,0.05940088759870722,0.5744963617516322,0.19058249745373546
OFCant_L,0.010479504073520643,1.0,0.16896452669256143,0.18818794305996508,0.13023144408395843,0.2833493408950673,0.07854898691664092,0.0735666099810955,0.11321176535878746,0.07297266727017138,0.14733905390661717,0.13359176058080993,-0.22818050777284712,0.13325466514533832,0.04531968825333597,0.08574810671659427,0.010989919308733869,0.15807092056250974,0.07265576616768725,0.10230102095563116,0.1436945079559212,0.01531894460359126,0.025002312349303068,0.08661913838561956,0.17255149569011566,0.13364361292023075,0.16412345373640227,-0.0011440673168570323,0.09811335537357892,0.055887328073515166,0.0907215386679439,0.011138443639086492,-0.07293418036878424,-0.006244653534965392,0.029667831432756767,0.11005813109594617,0.10028456647662642,0.11915295847127254,0.05050891908165861,0.1799801252869835,0.09773990464587672,0.09369663834690749,0.1180201679631107,0.08867149073541662,0.1391753451424921,-0.12608831852068514,0.16979142961589455,-0.1277363750360123,0.02441359226297263,-0.12702859529451307,-0.06721068878272833,0.03377498271547887,0.20126085855916417,0.04612999953544691,0.03508603986943073,0.11390306064463464,0.17062031149866966,0.04034740312573856,0.34474147097225183,0.1658300068124046,0.02635586416411555,-0.011595688349915615,0.1549676208152358,0.07927184891618652,0.15849723542693195,0.06505420371980052,0.043508793417868785,-0.01530786915203159,0.20775418400029563,-0.007270696427382934,0.14990761479856557,0.0871293170278838,0.13000795929643824,0.1472172948007652,0.13569630415469727,0.21425665936265884,0.11775178571902203,0.1966366708285136,0.2047455145154711,0.07085056418045343,-0.03836630908462509,0.19753603091254943,0.013733641400098558,0.07071493053501146,0.1195755328608149,-0.08219047860636657,0.0825368872474999,0.1434342275001722,0.22912300820731588,0.17349588333248445,0.026192335250360247,0.1072544257611193,0.16410425841588216,0.07109108829860963,-0.05199391444565221,0.029800295582288704,0.19608519086531714,0.18635500156217116,-0.0042436545915375,-0.03577313494792186,0.13947455959253793,0.10570481086297083,0.11152067225357416,0.024264635520590865,0.09318435761343519,0.045829612253031,-0.08841024721635388,0.11399710648427651,0.040780899429676276,0.12950132733584854,0.13115086531258988,0.25956325458161666,0.09477741532029502,-0.16515959918897566,0.15100420932005798,0.15836566694689738,0.1232513619133244,0.17159570854834838,0.219567163442545,0.12477717895654261,0.16694214958465675,0.055385358756188226,-0.09945757718626178,0.03696142329675077,0.17511222110506625,0.12127178096950002,0.0755618798362902,-0.03346653443077674,0.08542677127882592,0.015646734081349947
Thal_VPL_L,0.021442217263042882,0.16896452669256143,1.0,0.17009156440983816,0.21908213733683984,0.09916561300343057,0.2254098531450009,0.543248378918358,0.6529277757333342,0.23472811794739304,0.16408369219970992,0.18883240926439646,-0.23876181315101,0.5820605658504509,0.5134142778955016,0.49937990663067416,0.37398511310995586,0.4199736849249299,0.34154053700905085,0.3162335053851018,0.7735350176070147,0.3422487447820585,0.08897771162225042,0.4472267502051288,0.23706655842103774,0.22833332221690825,0.62847476406483,0.06399339150986229,0.5574245557563202,0.6248093860385194,0.3426659762354568,0.2049397969842401,0.11025413117505485,0.17099365833175237,0.2207682698994016,0.12654080558063094,-0.03287532428588761,0.6491761692675541,0.29142139848759546,0.39258850530117373,0.2157591001803282,-0.05226936846259999,0.6842568073688461,0.7503532666606657,0.7202373027746418,-0.06557813803679012,0.5411523134246689,0.23297194482359218,-0.014192610457811937,0.004970136246947784,0.03333198167097806,-0.004625536354922511,0.35401718954678113,0.021937664530410003,0.13943673838894502,0.6900793079770138,0.7069795106087053,0.23396625540899244,0.026440308802912253,0.5713929950782665,0.050987792193203325,0.2946220371878238,0.5181404710491816,0.5026271516324067,0.5476868590298993,0.6311234559527624,0.3118134531122083,0.19293680668431293,0.3855287102012872,0.14140254799954785,0.6648408906277461,0.47715477976131526,0.474779147221917,0.23775854581451006,0.5930984393387065,0.2004690048258627,0.5286479484587873,0.5815880259042574,-0.03624579604721741,0.5304333860491567,0.112553992451419,0.1711602353926308,0.06164878263242964,-0.04109654083804191,0.503539144411045,0.29719809773952494,0.07116663375845063,0.7488617654495947,-0.002496997882915959,0.759089003020851,0.2771447647253734,0.5575759032135249,0.5763667731435124,0.4660831215039298,-0.4117077872477583,0.13295530041562012,0.5022950091392757,0.760488210860837,0.28687908603620466,0.2739215240351138,0.31669562927902334,0.41539344494533403,-0.07512442908306573,0.46395081956074297,0.43991389825967503,0.4679412693978648,0.16778421049336198,0.2209457305248397,0.29251713594347306,0.6125465324581253,0.5212900024770033,0.2492334250982675,0.7898789126203061,-0.0020306887290323914,0.10459100256960646,0.5362722715140161,0.8625398593923472,0.16685807776756525,0.10106408876934536,0.7627714771345706,0.6907649298389862,0.27162461295206025,-0.03339078790881453,0.17282186021324372,0.6406761616418353,0.5544603815348359,0.21485016429885895,0.10902902278737595,0.47956628058613915,0.3024417208642293
Cerebellum_7b_L,-0.02650870715825695,0.18818794305996508,0.17009156440983816,1.0,0.1022008745126174,0.5481693734625237,-0.10764901740536093,-0.34225721962703237,0.25551019827059535,-0.2705195151225211,0.5650762905012398,-0.00038609399328627827,0.05592833618245634,-0.09649043705263587,-0.05779741755351282,-0.025956396392030335,-0.003947687353405747,0.06624447578201063,-0.04194129686046033,-0.18819673002635565,0.07241566244257822,0.13029372609002182,0.1797462580063541,-0.011448250950486813,-0.017773108891011836,-0.30525006810332506,0.13486466843318487,0.2083673767895218,0.04480352290290848,-0.017706034435677163,-0.2502857748801114,0.6175655692476253,-0.19841096010289144,-0.20926070738731645,-0.30621346298912866,0.05496897976280496,0.31709718599848724,-0.1399599885281004,0.2898434637897038,-0.20613374781691313,0.5043573376319065,-0.14147376279732887,0.04295292524707351,0.29293290727526644,-0.1107969530993794,-0.28497145916420213,0.03045729827641608,-0.11218284136711373,-0.34730690416999044,-0.02725475562072949,0.030200117444866777,-0.27488340041932907,0.5728264931525684,0.4269723797283309,0.1759134710494726,0.3502325644811726,0.07313942970227402,0.20991648695547147,0.13513946628020324,0.017783399760478442,-0.0010920999125977838,0.2725250516908514,0.35968106178240883,-0.1540764219256632,-0.00919985481521603,0.30343357387978376,0.4845344727165042,0.17870042586612836,0.2550527133199402,0.31138211328848,-0.1621006568436471,0.44777635392370846,0.20168529919795788,-0.03428727361319097,0.30115232063246067,0.3833970786345664,-0.2519434463873128,-0.04166714187453907,0.48149910022864606,0.003590458947502731,0.27553174343090236,0.5949145448705012,-0.27226894011062275,-0.2718967768395682,-0.15547479943658504,0.14459056515992474,-0.32622895152135917,0.04735424751141669,-0.11244449496238121,0.2139213134342635,0.36943236853356465,0.0007666738687331092,0.01822833270466315,-0.051321676867119,0.09789901866529573,-0.20239782447427634,0.5219195623676381,0.0950347468359975,0.5439662947619437,0.2905103798652448,0.06329397073045435,-0.1018073306744015,-0.07784111360001109,0.4421474198264239,0.007204197340877526,-0.16564402684683202,0.12428948026374204,-0.24298397445288883,-0.1037027372958182,-0.25412850810524445,0.4565812151618559,0.09759092212226694,0.3185710652043487,0.0747672500920433,0.26091914506087144,0.16281303219757587,0.0611238869094693,0.7955279031245368,-0.03161317283160747,-0.03412188846059406,0.05856879503710986,-0.14400448155664825,-0.13511004638851531,0.19307625008161802,0.23815985741646903,0.6291004408359204,0.5991908503180671,-0.14983497362423118,0.07869804787262083,0.2098597233991508
Temporal_Sup_R,-0.3687353027933861,0.13023144408395843,0.21908213733683984,0.1022008745126174,1.0,-0.03147169791384165,-0.03793292469579829,-0.14881008727671224,0.1531816270181185,0.03275537074313099,-0.07765889292689714,0.1458299728448147,0.05027454144509415,0.27044958990899115,-0.11634512023449407,-0.1544893585944605,0.36564275808342056,-0.10251485788022077,-0.11469566859276016,0.1039551862198236,0.15781103080004488,0.5294306537154361,0.22092146902767165,-0.0502231311109012,-0.1683990303098583,-0.24587809982097691,0.10991293250809149,0.35666786354844465,-0.06980416678308367,0.2347767603081326,0.21888780172561473,0.3316946841257586,-0.13770699127516312,-0.31371377353606605,-0.09754632504511834,0.06831503805629413,0.14808001866070739,-0.0009775215331084032,0.6664776551610672,0.1439635635136435,0.4689320910193114,-0.3695883034068834,0.1310270039694802,0.1330123939516256,0.16080191539221705,-0.18960514610714876,-0.025521086000933113,-0.07301677514455708,-0.04707875700138651,0.18486343221496843,-0.15221549293717943,-0.24889313794553583,0.2588609266094244,0.23396853676970017,0.6339093356299268,-0.017536629433003232,0.30153717944373487,0.10875118504179122,0.13456006859143352,0.19736593182341905,0.16105857964747244,0.18302491549676062,0.4907343810530634,-0.14039146460942978,0.2233462607890873,0.3189618664690039,0.34722809154993534,-0.2568590987398893,0.7846360235698309,0.3003755515646284,0.0017565489140887122,0.37443246171421946,0.6334760948648364,-0.4490021450918049,0.021505495098536873,0.2557835705062381,0.18111897685657638,-0.003215361984937414,-0.16759457854509371,-0.10233077552721598,0.18957463223550053,0.2141948436681302,-0.14800790295618124,-0.3508048137165789,-0.18519373077352352,0.06357865863558831,-0.15500972305205382,-0.006246834387537416,-0.017150966791532832,0.1798839472879119,0.5095677556442112,0.01279345589501557,-0.07925039711315443,-0.05744772505674003,0.1120477710284314,-0.0113581893276975,0.44813276325642065,0.26350232866754497,0.27982734066382176,0.3521066328478806,0.03090875252139701,0.2674201858067127,-0.022880875570468952,0.5973911231023654,0.0944776717284392,0.07204504579887833,0.20804697154920887,-0.13382326671414513,-0.12231937575187879,-0.011651150595749891,0.05222043685917736,0.08715603292916196,0.06522933041719917,-0.04589548342909622,0.4149722245389464,0.05480280067162731,0.242836214652962,0.33825068293266464,0.24847348333842822,0.1419331047772828,0.09657811014146958,-0.3219359338891261,0.22216924480497038,0.22563239312069464,0.3543846412679505,0.3151753536856742,0.46429100371780924,0.24550555314983888,0.06331781270099462,-0.14285252157458783
Cerebellum_Crus1_L,-0.007579198114875197,0.2833493408950673,0.09916561300343057,0.5481693734625237,-0.03147169791384165,1.0,-0.059723306946782906,-0.06181560928047099,0.02608116493994346,0.07758041173262482,0.4947185093018011,-0.04971036215238122,-0.16104870808169486,0.19496966497307955,0.026953883208650005,0.13098480085816747,-0.07507195181810362,0.21258849538835095,0.1243388815872699,0.09404426272787642,0.07682525254049942,-0.004179065035155946,0.030399680493797467,0.11322481759988301,-0.05893673856494221,0.1266354069019142,0.22242998263552646,-0.0003229651740802027,0.1432380442454524,-0.216783199456513,-0.027859140470590203,0.08688938581644375,-0.059664262149485114,0.002038675445618618,0.10137028304614762,-0.15585932453252868,0.08910758671462984,-0.04032206256435363,0.07976059486351159,0.0024992531142186006,0.20511194683829728,0.20479729361114823,0.11233043246485275,0.08902899466815135,0.14849634916184487,-0.31889663088723424,0.20608960028293838,-0.1279587791457749,-0.06010600635168744,-0.13898042679489417,0.13722640707160336,0.053511936466579584,0.5367290546356386,0.290917566896064,-0.18803134983991335,0.17585962095626195,0.15164336213263344,0.1337170085653443,0.23980543742000404,0.16941258621174937,0.0503891736727373,-0.16440416122792678,0.17256931377229406,0.09550671128386913,-0.03473717522259893,-0.03295165428632215,0.13308974452797082,0.016325203536058947,0.18096026118649078,0.07104496841477677,0.0982245178527466,0.19827167699795573,-0.007879733214592158,0.3220875551559716,0.22445332615892838,0.16806513657098165,0.1322462690730624,0.07114412310658204,0.6041142230165291,0.1615577456540216,0.07644220417914059,0.6285038215751403,-0.05083621558186205,0.04190694417704793,0.1262837249518012,0.036872290428169766,-0.008318057030186884,0.1507221968785053,-0.08850312690703112,0.11493079711956439,-0.022988292488292858,0.05763794446571926,0.21007309292379753,0.018461382452525116,-0.10021280751406496,-0.06919824586305076,0.35946891366373185,0.16304483606343612,-0.001971477926041004,-0.141098951273251,0.2427063884284311,0.07267379328019795,-0.03378485155740287,0.06641641810624309,0.09025729866561702,-0.048673866505390885,-0.06753886705642816,0.13489386789871896,0.054026552454269614,0.023535115201089016,0.32381384487831505,0.47602985826351524,0.07653472107802377,-0.23216523122930052,0.07318152191236489,0.2998336996458985,0.139938562161125,0.49580255079332824,0.1968283629806533,0.02227260537629061,0.19288705050100408,0.03209574303390827,-0.19245914897550795,-0.11933902675134027,0.1776643084782615,0.30239466499231976,0.2447215506215697,-0.1564965342024206,0.11960109939141107,0.005814782994926568
Temporal_Pole_Sup_L,0.5456500886886463,0.07854898691664092,0.2254098531450009,-0.10764901740536093,-0.03793292469579829,-0.059723306946782906,1.0,0.5535278002517531,-0.019415982089671227,0.4645423983679163,0.07054940913343646,0.27317687411998187,0.24453785177300377,0.40937940054202887,0.5011290007927545,0.5130613665856826,0.29294985192692935,0.19773647687960816,0.47079599625936697,0.524932474073058,0.18794967506861798,0.2388231124817134,-0.05257485826138668,0.31897094303298207,0.27894795931163996,0.4812428455249717,0.302385791036956,-0.3372672645170939,0.42964121856435694,0.5036477356659457,0.6126048876692124,-0.23882194322527228,0.6836701320085885,0.5122918936822819,0.3748379691068753,0.4608061602992658,-0.15014453706202222,0.5704707940981532,0.25564310188309963,0.4573885666078639,-0.1674390519854699,0.4125910882712819,0.44426858177382106,0.2219970223543508,0.25683718022377205,0.3820475568074503,0.39148557868519357,0.21391201249850994,0.6605223716061727,0.4914087063332374,-0.10502890087140665,0.3956653053061327,-0.09267740209385754,0.2516667006612873,-0.28879228358653547,0.11214046052246263,0.2760037035089413,0.06509571359613964,0.05998873947668074,0.34828608908097086,0.378278450963944,0.13395447374258548,-0.1529446265867949,0.4142421694090132,0.3491948346243436,0.27054225339549626,-0.30927475216379646,0.08757574012147747,0.18015228342936893,-0.19106470775273632,0.5018477650173688,-0.23364402024767003,0.031257516345424424,0.38641233715550477,0.19335801882014794,-0.020718290604946073,0.5051683068216138,0.406634290133769,-0.01547197380187345,-0.1506207690524702,-0.08180195237947616,0.016048375029527207,0.629630372369002,0.47401257799997026,0.29663448820380545,0.18305886912277705,0.6323595087932972,0.38066876887921847,0.015508523645221487,0.15859274879505414,-0.2742392451057794,0.32580279803112333,0.23968452724010925,0.5422746541536101,-0.10671927334042053,0.6598556191587731,-0.07944709169553395,0.2789605086993726,-0.30405157048559706,-0.25288994986599467,0.14762163229012282,0.45302161768777083,0.21218293460449775,-0.07899787903798594,0.3461592235227267,0.6048980831050755,-0.03535599820897343,0.4915349141978433,0.5089860862020053,0.5080238765855384,0.254363838476704,0.4058804459136884,-0.02261569850719128,0.21675439295200857,-0.23464068070121616,0.3278506242175973,0.3021417623452144,-0.15582833096322568,0.30616067963936977,0.5199932894596588,0.351595545236555,0.46812959727812326,0.3310555041128013,0.018151286111052996,-0.1263874688027394,-0.0577182351323202,-0.1291598234121381,0.3465907752192207,0.5318794273280019,0.0177869709805588
Rolandic_Oper_L,0.30065586305280534,0.0735666099810955,0.543248378918358,-0.34225721962703237,-0.14881008727671224,-0.06181560928047099,0.5535278002517531,1.0,0.3475055287049107,0.539353850006681,-0.1628399052671542,0.17653341931946423,-0.1296703848211455,0.5414124988600382,0.7016389799507681,0.6284626094105514,0.26370733408546976,0.3676537747569836,0.48462059065311636,0.5730021375944947,0.6418217412740597,0.05173266697574043,-0.16149593564270454,0.47769662539990876,0.33097269296041043,0.6176322990101099,0.44750879210215183,-0.21025034251067676,0.5808216510764911,0.5962847688293134,0.5774978441636314,-0.43296834919156235,0.5862982212097514,0.4949191373877754,0.47255529144132696,0.24124847637077249,-0.2801910465393485,0.7383999822045608,-0.05244038639733187,0.47472336598387777,-0.33223664270944264,0.40312927573860163,0.5856912768468924,0.3113989266149519,0.6392413104573605,0.18220107245443481,0.5047181684762263,0.34994215776666054,0.502028887438448,0.19921502180631293,0.13882537459337552,0.425594167747155,-0.13854551226907572,-0.21013335685843543,-0.24566370590141878,0.30180429605264825,0.45350716246412853,0.01111417876829506,-0.0471853880680773,0.4966001342322278,0.14508174646680871,-0.06335384221531103,-0.023764751458633108,0.6610425431408685,0.4152405822385774,0.3564226083641568,-0.27762233545995346,0.09087110781849966,-0.029787505430694618,-0.3146348924074243,0.7916103571074152,-0.14780222538662724,0.017652629282889524,0.528124582371607,0.2868872003757245,-0.2502812957772907,0.7655514517466873,0.6356662380013391,-0.15005406101046975,0.33027046676057464,-0.2876583969899807,-0.23773902025246407,0.5600777913283711,0.4815335678385041,0.5155043006023673,0.19244114715430677,0.5731395757279271,0.684706268102585,0.05882537016460918,0.39594040275152714,-0.28875740096303065,0.5215369794450574,0.49141707572229487,0.5960707914380181,-0.40227353924563475,0.5186738844120158,-0.01842959791559109,0.4979468035811505,-0.3590465817692907,-0.17062796564027113,0.28186761968918433,0.4735685856923221,0.006710071124220424,-0.18055035397926184,0.3416053056968391,0.7340216212819016,0.0643642849156476,0.5373766053369605,0.5390157004611622,0.8651269996621068,0.2001794673628955,0.2576426992204748,0.3687206952263273,-0.0672345326511516,-0.2429359590269224,0.3931309454557738,0.6054263870600493,-0.3954021597352816,0.23886410493377505,0.7958183909864924,0.5818913254655484,0.5061111738117211,0.09959449174022812,-0.1781440495821083,0.09591843019268168,-0.054566595519783184,-0.3715901519403793,0.2151889574176112,0.5271109198572174,0.19692136927661755
Temporal_Mid_L,-0.3253000236336823,0.11321176535878746,0.6529277757333342,0.25551019827059535,0.1531816270181185,0.02608116493994346,-0.019415982089671227,0.3475055287049107,1.0,-0.24326790696804806,0.09430195797116007,-0.06724838429984721,-0.23661690781933772,0.16916194324237488,0.04662870651552315,-0.0675458604281185,0.048086604901654645,-0.12984172365840094,-0.25519568005285315,-0.1856298753951691,0.8678197399989351,0.300802164360852,0.08152656716459462,-0.08031674121328267,0.028341548781500813,-0.2616773996442192,0.12320230691219396,0.4071576570265477,0.01735165902439731,0.37568680059445897,-0.10649222874561762,0.4478935650707695,-0.2994497599523389,-0.24695413103580688,-0.2896065943071717,-0.07116156889182945,-0.08902514984777483,0.1717965646740908,0.11938854230469667,-0.2336697195302864,0.33533887982441857,-0.36238806534362905,0.1808694037495453,0.4816343436784262,0.3390796597425686,-0.2967077557053854,-0.013359111333946882,0.08255387987964997,-0.41665133228730394,-0.30866441418155904,0.18561297626785503,-0.45490103503555496,0.5059214404612167,-0.20758713373195953,0.4406181780765129,0.4750736688168005,0.17952490400519108,0.1501847932037624,0.07546030811171967,0.09505832875281436,-0.5013063343554945,0.33491587389591126,0.7292033498988734,0.08962155850521501,0.09423825560905506,0.5876317884407061,0.600520260486281,0.13256597263632963,0.15763813662028864,0.22993355067388202,0.2430097100029467,0.5107931062298143,0.510293015236641,-0.07926395200063924,0.2704161677035441,0.15909516325345158,0.19116417176921371,0.28272855646562184,-0.02230754369080057,0.4263011339634538,0.2256855507221225,0.06287179545391562,-0.268792539893099,-0.34270408739149555,-0.046531754946103586,0.1338744239576996,-0.362707924192311,0.28225420566848075,-0.09445430349344275,0.30153990915790757,0.5471876608154187,0.06992207025100879,0.011992034051745799,-0.05038868384771365,-0.3335807397785138,-0.21306025500623507,0.6346783805589273,0.3094590075835804,0.5330279219458902,0.5420868855695289,0.11508045542007383,-0.14350150096192943,-0.5096527005082245,0.2682289545813006,-0.20614398242114318,0.12956805148279354,0.29273947491527136,-0.3081814294713943,-0.26436416447184896,0.3540206325879618,0.21209133271257513,-0.2577740347664414,0.8217185255296886,0.07881069113893534,0.1209061627157671,-0.07292951532362996,0.4091930770259031,0.2492900369037375,-0.21406294242245943,0.4580653212836852,0.11940562610615549,-0.17782259450761637,-0.4601131210438108,-0.1639536287100159,0.2726804063422015,0.5833181526334601,0.34919272018303676,-0.028709771742433304,-0.050196737566267594,0.1489648565745353
ParaHippocampal_R,0.5693828306744346,0.07297266727017138,0.23472811794739304,-0.2705195151225211,0.03275537074313099,0.07758041173262482,0.4645423983679163,0.539353850006681,-0.24326790696804806,1.0,-0.2204254742807728,0.3139921492641348,0.07965766002989498,0.5103009220010016,0.7258119179744006,0.7506242661871583,0.33216440394175034,0.6643736261929226,0.8388867938966451,0.795303697731878,0.06734473549769385,-0.06685126592087552,-0.23651478813921756,0.7451007269659651,0.3421468571347981,0.8600992034598667,0.6595452773690635,-0.4176402493003737,0.7211926354622991,0.29321904123501014,0.66437304074541,-0.5773262033307566,0.6987257560294727,0.7201741080896854,0.6644389197668851,0.08435786911761901,-0.10646636183832298,0.5986590673872222,0.05686668390559465,0.7561847034127154,-0.44796398287755473,0.7841850068096802,0.6840765070977574,0.029586896406696633,0.5548420134691886,0.28494233025489435,0.7778381312682587,0.4235320519403798,0.8041641090638674,0.4417039583546037,0.09049577042230973,0.8190409032807553,-0.36932962452580337,0.1494053241207477,-0.5092436644123353,0.25902345825405276,0.574668004562025,-0.06783836282390607,-0.25094884741721796,0.5844068660331567,0.6756288606629145,-0.307851928949598,-0.40514238996643454,0.699583292554342,0.5135970847164935,-0.1281486967214032,-0.6800296036712946,0.023847816344755905,0.1837467830146016,-0.5632335930675356,0.7457852466977324,-0.33016202705568415,-0.1070577664738419,0.5475906169245062,0.4560438800142828,-0.33484896848435725,0.5989988143317181,0.4940026172823924,-0.1758146743292626,0.1342742834438827,-0.45445075091055637,-0.12213386442662975,0.7526471476113739,0.7349311220632883,0.660983512722494,0.11939118304230996,0.8453430493970457,0.6522993908825602,0.1485053416819464,0.47210402445460786,-0.649638478565694,0.68621196841335,0.6617258693668308,0.784667576414337,-0.19518128084720318,0.6835925085387513,-0.35913828017803706,0.4696634887809467,-0.6153494834076182,-0.6244352618915405,0.40616180717268696,0.7821691108240318,0.3323610733912805,-0.16879798776135863,0.645708683177232,0.5878198768302354,-0.08516170810986995,0.90586809778124,0.8420018401775577,0.4472710013327295,0.4228526880287895,0.626526205375645,-0.07347034886424388,-0.19229314367414838,-0.3482933455962969,0.7106743336399963,0.4964723869249096,-0.40417180915473544,0.38566124784486383,0.4411331263210643,0.6526345244435768,0.7020600688727288,0.49182980520896524,-0.07164982360977602,0.1326482689447488,-0.22021826869281597,-0.44120629541949413,0.22705233242989964,0.7454212207288243,0.2572010051701543
