,Thal_LGN_R,Red_N_L,Thal_VA_R,Temporal_Inf_L,Cingulate_Post_R,Temporal_Mid_L,Occipital_Mid_R,Cerebellum_4_5_R,Hippocampus_R,Raphe_D,Cuneus_R,Thal_LGN_L,Frontal_Inf_Orb_2_L,Frontal_Inf_Tri_L,Putamen_L,Thal_PuA_L,Occipital_Inf_L,OFCmed_R,Postcentral_L,Vermis_7,Fusiform_L,Frontal_Sup_Medial_R,Thal_MDl_R,Parietal_Inf_R,Cerebellum_8_L
Thal_LGN_R,1.0,0.9270415576520928,0.6636266020274245,0.21711107921472492,0.33951484229229906,-0.3851959035611749,-0.2264651375003583,0.6645031304864033,0.8994211454446692,0.46325723672188873,-0.6390276748121008,0.5798282080362299,0.7018731386637701,0.7380203792335335,0.21623696621157693,0.41250070371927133,0.6438332089449761,-0.0264174343205243,0.5519395702806688,-0.49932318949560744,0.8322290997272154,0.6404413003498455,0.7062629870821506,0.035790002016027986,0.5654355813917248
Red_N_L,0.9270415576520928,1.0,0.7092120949782627,0.28957357639235815,0.2784106358384122,-0.362707924192311,-0.263036905785191,0.6090519399747248,0.8696902176028916,0.4859095565061962,-0.5735217416745177,0.5888416652592252,0.8003510939066832,0.734984033098952,0.29648244220512365,0.3813644048588032,0.7283154775493244,0.029547956716167497,0.5104190290684985,-0.476479446532056,0.8375313564309304,0.6839785805497127,0.6926982506258581,0.12378266305887742,0.5929776030126747
Thal_VA_R,0.6636266020274245,0.7092120949782627,1.0,0.21334700370002396,0.3555047807155439,-0.10649222874561762,-0.16679255674350713,0.43612426503426827,0.4934321580047223,0.5617232458216549,-0.26838369114787225,0.6929808006653435,0.6175267067172423,0.6202266775891877,0.4901995198744006,0.6059310251987997,0.4024912262183916,0.054296104310177035,0.4964094208044723,-0.1820051960825236,0.4107784983542661,0.6273100431554572,0.6524951706268675,0.09754517338831387,0.36257501122943736
Temporal_Inf_L,0.21711107921472492,0.28957357639235815,0.21334700370002396,1.0,0.2905112947085779,0.11508045542007383,-0.049918013131466044,0.39872636332882905,0.21542301445270468,0.010665843153122852,-0.10433750226015955,0.2734086622108062,0.16450149955311902,0.3856495901512653,0.15075407832444132,0.4245134130738642,0.20223990368182476,0.020222391836437436,0.40734436148551234,0.07707903214779452,0.35767914478140145,0.3856228176524807,0.3388885490334899,-0.006550314765361782,0.3849861725978396
Cingulate_Post_R,0.33951484229229906,0.2784106358384122,0.3555047807155439,0.2905112947085779,1.0,0.30153990915790757,0.14050690537130184,0.77904500852396,0.3857273672062794,0.2634168876946342,0.0717754269085881,0.41665441458697,0.2846486294438597,0.6597272105516971,0.48421027343897893,0.5045667323327567,0.2626348419136269,0.1487919937083335,0.862449457198204,0.07822507431727996,0.2615149118222958,0.7160893076029508,0.5959520657502944,0.2189817480250301,0.3429720793256808
Temporal_Mid_L,-0.3851959035611749,-0.362707924192311,-0.10649222874561762,0.11508045542007383,0.30153990915790757,1.0,-0.08902514984777483,-0.08031674121328267,-0.45490103503555496,-0.21406294242245943,0.34919272018303676,0.19116417176921371,-0.2994497599523389,-0.0675458604281185,0.37568680059445897,0.16916194324237488,-0.3253000236336823,0.0772395892376601,0.28225420566848075,0.5059214404612167,-0.36238806534362905,-0.050196737566267594,-0.2336697195302864,-0.20758713373195953,-0.2081314213489221
Occipital_Mid_R,-0.2264651375003583,-0.263036905785191,-0.16679255674350713,-0.049918013131466044,0.14050690537130184,-0.08902514984777483,1.0,0.05688786588065176,-0.12421200396365095,0.004063631950058571,0.22077713257155657,-0.23607207089473445,-0.04573709307560689,-0.038862800886969764,0.021383645465895593,-0.046433539326119086,-0.17356324066514695,-0.0968519211153333,-0.016004739368464253,0.044521104154743314,-0.24890757712783232,0.038008715461502945,-0.010480010746924003,0.14789506738127842,-0.11580127775826668
Cerebellum_4_5_R,0.6645031304864033,0.6090519399747248,0.43612426503426827,0.39872636332882905,0.77904500852396,-0.08031674121328267,0.05688786588065176,1.0,0.7702434135047203,0.32435649030136665,-0.25391093726709835,0.4234173040726454,0.6176506413988189,0.8158384715107573,0.34862098010004894,0.5029300601303726,0.5332235137297284,0.04926446038734064,0.8653540585900293,-0.2760301759318723,0.6608598379959263,0.8572690429713223,0.7244754432992431,0.20736527351183284,0.5898726769729905
Hippocampus_R,0.8994211454446692,0.8696902176028916,0.4934321580047223,0.21542301445270468,0.3857273672062794,-0.45490103503555496,-0.12421200396365095,0.7702434135047203,1.0,0.4580143899382134,-0.6088809896936,0.40870007274977876,0.7150360498189532,0.7025763029075395,0.08149386293696365,0.3032330952398355,0.6828932795847035,-0.0038530950691797105,0.5664102026181939,-0.5751755778663361,0.889331835623958,0.6816789746732249,0.64728739352985,0.13217466687902593,0.6291550800469605
Raphe_D,0.46325723672188873,0.4859095565061962,0.5617232458216549,0.010665843153122852,0.2634168876946342,-0.21406294242245943,0.004063631950058571,0.32435649030136665,0.4580143899382134,1.0,-0.08714410495271782,0.4476797657071444,0.3656928289118116,0.3737699720862209,0.10792130708495222,0.44659839246607597,0.1861924570171154,-0.09918986451870059,0.30872768461731376,-0.05372406068876171,0.2998146432882255,0.426262703113072,0.4025875493877845,0.23869517864868348,0.2641530079096332
Cuneus_R,-0.6390276748121008,-0.5735217416745177,-0.26838369114787225,-0.10433750226015955,0.0717754269085881,0.34919272018303676,0.22077713257155657,-0.25391093726709835,-0.6088809896936,-0.08714410495271782,1.0,-0.25271022292036316,-0.33008426640945465,-0.2925086599004531,0.06930316547307933,0.0704809564586051,-0.3452658897159113,-0.019113148028439737,-0.1397806913362377,0.7517124045043344,-0.5794271449065127,-0.11523860110484857,-0.2618117679592258,0.5911990689751866,-0.42032831097546375
Thal_LGN_L,0.5798282080362299,0.5888416652592252,0.6929808006653435,0.2734086622108062,0.41665441458697,0.19116417176921371,-0.23607207089473445,0.4234173040726454,0.40870007274977876,0.4476797657071444,-0.25271022292036316,1.0,0.5002015520718718,0.5809762585562059,0.5340267794299689,0.6753699424365806,0.21350141902328088,0.023712733816614002,0.6201004139209974,0.02201880912381259,0.3273954177863107,0.5283895431362108,0.5737306631575395,-0.03293986003361945,0.22789416926635644
Frontal_Inf_Orb_2_L,0.7018731386637701,0.8003510939066832,0.6175267067172423,0.16450149955311902,0.2846486294438597,-0.2994497599523389,-0.04573709307560689,0.6176506413988189,0.7150360498189532,0.3656928289118116,-0.33008426640945465,0.5002015520718718,1.0,0.7321656925407061,0.4590226039194628,0.3339555603595849,0.668678288393524,0.06256162232158236,0.5167678569169544,-0.4030831604173073,0.6491053838892519,0.7649823763984493,0.6244990398021281,0.2683957118718551,0.5106698330289868
Frontal_Inf_Tri_L,0.7380203792335335,0.734984033098952,0.6202266775891877,0.3856495901512653,0.6597272105516971,-0.0675458604281185,-0.038862800886969764,0.8158384715107573,0.7025763029075395,0.3737699720862209,-0.2925086599004531,0.5809762585562059,0.7321656925407061,1.0,0.5087982580928216,0.5284930044556367,0.6362113943343544,0.12328382815748858,0.8327923415529783,-0.1946830588900526,0.6543532131833233,0.8362476868364348,0.748657860801967,0.18309244179936146,0.5682219071248518
Putamen_L,0.21623696621157693,0.29648244220512365,0.4901995198744006,0.15075407832444132,0.48421027343897893,0.37568680059445897,0.021383645465895593,0.34862098010004894,0.08149386293696365,0.10792130708495222,0.06930316547307933,0.5340267794299689,0.4590226039194628,0.5087982580928216,1.0,0.3690045925155996,0.14972890557858048,0.08355384314148931,0.5065668400194777,0.04345049957692925,-0.0019965627802184,0.5041087761944072,0.5166417749965705,0.04675238722874557,0.10985506449573357
Thal_PuA_L,0.41250070371927133,0.3813644048588032,0.6059310251987997,0.4245134130738642,0.5045667323327567,0.16916194324237488,-0.046433539326119086,0.5029300601303726,0.3032330952398355,0.44659839246607597,0.0704809564586051,0.6753699424365806,0.3339555603595849,0.5284930044556367,0.3690045925155996,1.0,0.12148603975778267,-0.034442346436457175,0.6254772575135222,0.19355114637065035,0.18761587216918105,0.5552098987606896,0.570652490804975,0.21207498813516973,0.21089159289918732
Occipital_Inf_L,0.6438332089449761,0.7283154775493244,0.4024912262183916,0.20223990368182476,0.2626348419136269,-0.3253000236336823,-0.17356324066514695,0.5332235137297284,0.6828932795847035,0.1861924570171154,-0.3452658897159113,0.21350141902328088,0.668678288393524,0.6362113943343544,0.14972890557858048,0.12148603975778267,1.0,0.24486463753815535,0.42000592635658096,-0.36492788433126033,0.7349580786047067,0.5744963617516322,0.4464259542852588,0.31511386321305773,0.5989386634071946
OFCmed_R,-0.0264174343205243,0.029547956716167497,0.054296104310177035,0.020222391836437436,0.1487919937083335,0.0772395892376601,-0.0968519211153333,0.04926446038734064,-0.0038530950691797105,-0.09918986451870059,-0.019113148028439737,0.023712733816614002,0.06256162232158236,0.12328382815748858,0.08355384314148931,-0.034442346436457175,0.24486463753815535,1.0,0.12439062870468356,0.04994614827847064,-0.031295999459070356,0.09414307785817805,0.025577049178029786,0.08373357012376224,0.14537011564257818
Postcentral_L,0.5519395702806688,0.5104190290684985,0.4964094208044723,0.40734436148551234,0.862449457198204,0.28225420566848075,-0.016004739368464253,0.8653540585900293,0.5664102026181939,0.30872768461731376,-0.1397806913362377,0.6201004139209974,0.5167678569169544,0.8327923415529783,0.5065668400194777,0.6254772575135222,0.42000592635658096,0.12439062870468356,1.0,-0.026252610314855877,0.48294722922203764,0.8133430893878829,0.6481233783632872,0.1109231583106376,0.464065872788202
Vermis_7,-0.49932318949560744,-0.476479446532056,-0.1820051960825236,0.07707903214779452,0.07822507431727996,0.5059214404612167,0.044521104154743314,-0.2760301759318723,-0.5751755778663361,-0.05372406068876171,0.7517124045043344,0.02201880912381259,-0.4030831604173073,-0.1946830588900526,0.04345049957692925,0.19355114637065035,-0.36492788433126033,0.04994614827847064,-0.026252610314855877,1.0,-0.45556303854222924,-0.13901109469880474,-0.23591137077291466,0.31738032663373406,-0.33830942393977165
Fusiform_L,0.8322290997272154,0.8375313564309304,0.4107784983542661,0.35767914478140145,0.2615149118222958,-0.36238806534362905,-0.24890757712783232,0.6608598379959263,0.889331835623958,0.2998146432882255,-0.5794271449065127,0.3273954177863107,0.6491053838892519,0.6543532131833233,-0.0019965627802184,0.18761587216918105,0.7349580786047067,-0.031295999459070356,0.48294722922203764,-0.45556303854222924,1.0,0.5962702931278752,0.5218204445433163,0.1150315074026377,0.626030972655656
Frontal_Sup_Medial_R,0.6404413003498455,0.6839785805497127,0.6273100431554572,0.3856228176524807,0.7160893076029508,-0.050196737566267594,0.038008715461502945,0.8572690429713223,0.6816789746732249,0.426262703113072,-0.11523860110484857,0.5283895431362108,0.7649823763984493,0.8362476868364348,0.5041087761944072,0.5552098987606896,0.5744963617516322,0.09414307785817805,0.8133430893878829,-0.13901109469880474,0.5962702931278752,1.0,0.7678706534924591,0.36306602163724383,0.5813371153572651
Thal_MDl_R,0.7062629870821506,0.6926982506258581,0.6524951706268675,0.3388885490334899,0.5959520657502944,-0.2336697195302864,-0.010480010746924003,0.7244754432992431,0.64728739352985,0.4025875493877845,-0.2618117679592258,0.5737306631575395,0.6244990398021281,0.748657860801967,0.5166417749965705,0.570652490804975,0.4464259542852588,0.025577049178029786,0.6481233783632872,-0.23591137077291466,0.5218204445433163,0.7678706534924591,1.0,0.23497949866729212,0.43723023861361404
Parietal_Inf_R,0.035790002016027986,0.12378266305887742,0.09754517338831387,-0.006550314765361782,0.2189817480250301,-0.20758713373195953,0.14789506738127842,0.20736527351183284,0.13217466687902593,0.23869517864868348,0.5911990689751866,-0.03293986003361945,0.2683957118718551,0.18309244179936146,0.04675238722874557,0.21207498813516973,0.31511386321305773,0.08373357012376224,0.1109231583106376,0.31738032663373406,0.1150315074026377,0.36306602163724383,0.23497949866729212,1.0,0.06657501764284708
