,Temporal_Mid_R,Thal_PuM_L,Calcarine_L,Thal_LGN_L,ACC_sup_R,Thal_VL_R,Supp_Motor_Area_R,Thal_IL_L,Frontal_Inf_Tri_R,Precuneus_L,Cerebellum_8_R,Putamen_R,Frontal_Inf_Tri_L,Frontal_Inf_Orb_2_R,ACC_sub_R,SupraMarginal_R,Parietal_Sup_R,Cerebellum_4_5_L,Fusiform_R,Cerebellum_6_R,Vermis_3,Rectus_R,Frontal_Sup_Medial_R,Cerebellum_10_R,Cerebellum_3_L,Raphe_D,OFCant_L,Thal_MDl_R,Paracentral_Lobule_L,Lingual_L,Vermis_7,Frontal_Mid_2_L,Cerebellum_9_R,Cingulate_Post_L,ACC_sub_L
Temporal_Mid_R,1.0,-0.025481366289728788,0.6180873986743888,-0.18634280363891223,-0.25860999566649173,0.019000543468673397,-0.4271750682566735,-0.3773611637979485,-0.4117603986345575,-0.2279898991726158,-0.6484832550659386,0.33998693812117203,-0.4990322953752936,-0.21898161423794207,-0.09779291674169267,-0.08547543859881142,-0.5421028926149342,-0.2098389088015214,-0.48296054906054897,0.05161254705078082,-0.3402686620017612,-0.4115380104785359,-0.39836638720098955,-0.1932908839919914,-0.46398763047073815,-0.13190042869106655,0.03508603986943073,-0.3915244903365464,-0.27500301410023015,0.5616954466200056,0.34523116985243196,-0.5596816139379075,0.3091559334051874,-0.3014287233942932,0.08570820415800534
Thal_PuM_L,-0.025481366289728788,1.0,0.3191681836232688,0.6683464047852612,0.20453014662228852,0.5871722706022388,0.5923844704325303,0.6937679386773895,0.3296947541557351,0.6151584056618246,0.37366291859057826,0.30349530995138263,0.6728593970691629,0.0029176406569659495,0.17615817908695414,0.1228476019164864,-0.034441603376988886,0.7993039675744029,0.4823126352060329,0.15108553909926004,0.6442511770957035,0.05337165827009953,0.6655740046078501,0.01990675938219636,0.6482285776224234,0.2382181819851581,0.1232513619133244,0.6074297420116654,0.7345721126548391,0.3880924676534006,0.2040227985934273,0.5218934377293476,0.09416357380755021,0.7470724985313871,0.17962303809657937
Calcarine_L,0.6180873986743888,0.3191681836232688,1.0,0.09571781714481614,-0.38780420412361666,0.05312827592420444,-0.3048905323839638,-0.15089677300334398,-0.45322898700722475,0.13695059413836802,-0.3365474322704844,0.4696605291006811,-0.2839256172657853,-0.4174100291486979,-0.0387733175083592,0.011829416316267426,-0.46514279931349684,0.20532832357669098,-0.05244323870902122,0.48021616376816323,-0.21036886224781498,-0.5116307577954409,-0.19937558354172735,-0.15096688431497748,-0.30250023810718735,-0.10877322319232148,0.1549676208152358,-0.2408216715186007,-0.006098465390790273,0.8916236925647089,0.8108871619578273,-0.491879592143696,0.3130587008848739,-0.004961768167014384,0.15470946165480884
Thal_LGN_L,-0.18634280363891223,0.6683464047852612,0.09571781714481614,1.0,0.18887206394650044,0.3690377739364455,0.3510751424363728,0.5771771744758173,0.2869686365530721,0.30882814530687897,0.44397729509345135,0.1867584081006296,0.5809762585562059,0.101206576406456,0.23465560664076326,-0.11580849228745793,-0.13533005508848675,0.561591281162987,0.4915936304891256,-0.03617870529845478,0.4356940592427612,0.1734304644322079,0.5283895431362108,0.21528883109334915,0.5425387175509008,0.4476797657071444,0.11775178571902203,0.5737306631575395,0.5247818180859647,0.05172135340814223,0.02201880912381259,0.480918681151232,-0.045549245985861214,0.4858637029170905,0.03962195487088251
ACC_sup_R,-0.25860999566649173,0.20453014662228852,-0.38780420412361666,0.18887206394650044,1.0,0.550741647766373,0.39546652567787416,0.19570767287371948,0.8294618336991036,0.09581737356961725,0.14606712153097712,0.4307853060266342,0.4431917925752374,0.7819888964096215,0.36547735527867403,0.5003250876745964,0.3099811203416448,0.056370707054518486,0.3501107250066832,-0.051088456190067376,0.5211479709425173,0.22481678890129922,0.6243950359742957,0.10528137595039576,0.2532271638068068,0.410702456677733,-0.09945757718626178,0.5863923255229012,0.3348192330123736,-0.1931966962427545,-0.3385914730192264,0.6182445917115311,0.015595174661959216,0.2571337545934381,0.05923288373433658
Thal_VL_R,0.019000543468673397,0.5871722706022388,0.05312827592420444,0.3690377739364455,0.550741647766373,1.0,0.42196445442153296,0.35003849063537884,0.6274165511219516,0.28401119236496375,0.16939608740115972,0.5264199862582218,0.5516377480953876,0.3651413783528856,0.19140584631649277,0.4333548813674199,0.1153753521460732,0.277303240882949,0.37867670282321586,0.08946180338224306,0.5139224179752356,0.010190747993764291,0.5910015142749699,-0.053003111955906936,0.3287768354519846,0.37445883930515006,0.05965110252927981,0.6282160643726429,0.4952391844433725,0.2118525475732486,0.012429837501252516,0.5164047412932384,-0.008366331958786047,0.39965866796797034,0.18746101515524094
Supp_Motor_Area_R,-0.4271750682566735,0.5923844704325303,-0.3048905323839638,0.3510751424363728,0.39546652567787416,0.42196445442153296,1.0,0.6067791847697113,0.6649239963028835,0.6275309287071725,0.6767501406934301,-0.07532821543940928,0.7751332893207837,0.17355245233744235,0.3105954506957655,0.33934414838505794,0.4839154865644023,0.640319490306978,0.5149653658643968,0.06272780699375549,0.8435057952898184,0.2513946530374673,0.7780565929640643,0.29800368475104655,0.8304022657269087,0.37926691782436106,0.15807092056250974,0.6766605938066126,0.8321900755014625,-0.16563607013396595,-0.21986078059249436,0.8219501058342468,0.04523532432548675,0.8090201340961473,0.1458014921248615
Thal_IL_L,-0.3773611637979485,0.6937679386773895,-0.15089677300334398,0.5771771744758173,0.19570767287371948,0.35003849063537884,0.6067791847697113,1.0,0.3369169500855235,0.5562716720692406,0.5658014130477299,-0.09684858488669701,0.8317673478947626,0.08065996481289009,0.21957587785383184,-0.06655577891399649,0.1842187221990967,0.7024922462881965,0.4937372406420794,-0.07889110083839501,0.5904662976813737,0.40911395564126485,0.6283864514504426,0.08995766051151367,0.6973043922913368,0.19647901626969874,0.07927184891618652,0.6073816867059975,0.6460767621113503,-0.04195135192017374,-0.1251058457431762,0.6739455553692001,-0.07002905516494999,0.6859595793797172,-0.0023516025621596755
Frontal_Inf_Tri_R,-0.4117603986345575,0.3296947541557351,-0.45322898700722475,0.2869686365530721,0.8294618336991036,0.6274165511219516,0.6649239963028835,0.3369169500855235,1.0,0.2757402457417514,0.4002066459688335,0.340529743657394,0.6367335077177985,0.7314095953144896,0.3529556785698104,0.5848676568964182,0.4820458831704071,0.2680223842390349,0.5899035627145931,0.08167078245207858,0.7327034704180748,0.26711375969446916,0.7722001236305244,0.21746270435844878,0.474873787893971,0.558014665427745,0.02635586416411555,0.71960190196141,0.5600648863370109,-0.21966043122902065,-0.3247751340460219,0.8101922437895909,0.011287906896046699,0.47655091768788327,0.12674573138700193
Precuneus_L,-0.2279898991726158,0.6151584056618246,0.13695059413836802,0.30882814530687897,0.09581737356961725,0.28401119236496375,0.6275309287071725,0.5562716720692406,0.2757402457417514,1.0,0.39076435869501003,0.06273089153005974,0.6115734848838893,0.03783610427994498,0.24078860315021008,0.3527027125724152,0.48748307046512596,0.7816559640054999,0.4658424214070079,0.23858233473540322,0.5468958745728456,0.2978626663063551,0.6004737592319095,0.04123564536774574,0.5925817208080291,0.07591013857061453,0.13569630415469727,0.4538441876497317,0.8455215312041862,0.25792378998874366,0.14758968768032607,0.5323869013030513,-0.08790674534915603,0.8585379032057917,0.04069281661384852
