,Insula_R,Vermis_10,Precuneus_L,Fusiform_R,ACC_pre_L,VTA_R,Cuneus_R,Cerebellum_4_5_L,Frontal_Sup_Medial_R,Supp_Motor_Area_L,Thal_LGN_L,Amygdala_R,Thal_VL_L,Precuneus_R,Cerebellum_3_L,Red_N_L,Angular_R,Cuneus_L,Raphe_D,Cerebellum_10_R,Parietal_Sup_R,Raphe_M,Frontal_Inf_Oper_L,Thal_MDl_L,OFClat_L,Cerebellum_3_R,Heschl_L,Cerebellum_8_R,Frontal_Inf_Orb_2_L,Putamen_L,Thal_VPL_R,Thal_Re_L,Occipital_Mid_L,Heschl_R,Caudate_R,SupraMarginal_L,Thal_VPL_L,Occipital_Sup_R,Lingual_R,Thal_MDl_R,Temporal_Pole_Sup_L,Postcentral_R,Thal_VA_L,Cerebellum_Crus2_L,Thal_MDm_R,Red_N_R,Precentral_R,N_Acc_R,Thal_VL_R,Thal_AV_L,OFCant_L,Occipital_Mid_R,Thal_VA_R,Temporal_Pole_Sup_R,ACC_pre_R,Precentral_L,Vermis_9,Temporal_Mid_R,Rectus_R,Temporal_Pole_Mid_L,Vermis_6,Olfactory_L,Frontal_Inf_Tri_R,ParaHippocampal_R,Vermis_1_2,Cingulate_Mid_L,Temporal_Mid_L,Temporal_Sup_L,ACC_sup_L,Frontal_Med_Orb_R,Cerebellum_7b_R,Insula_L,OFCpost_L,Parietal_Sup_L,Thal_IL_L,ACC_sup_R,Vermis_3,Hippocampus_R,Thal_PuA_L,OFCant_R,Hippocampus_L,Temporal_Inf_R,Thal_PuL_R,Cingulate_Post_R,Occipital_Sup_L,VTA_L,SN_pr_L,OFCmed_R,Thal_MDm_L,Thal_LGN_R,Calcarine_L,Occipital_Inf_R,Thal_MGN_R,Supp_Motor_Area_R,Thal_PuI_L,Temporal_Inf_L,SN_pr_R,Caudate_L,Thal_PuA_R,Frontal_Sup_2_R,ACC_sub_L,Vermis_7,Vermis_4_5,Rolandic_Oper_R,Cerebellum_8_L
Insula_R,1.0,0.5229977656505482,0.24191312540115295,0.3534788115219763,0.029733929454090997,0.4186900289614391,0.10806539519334156,0.44554595940985225,0.2474899967174268,0.12994734838199215,0.2981663413056465,0.5582097398130829,0.5848419356881144,0.2509048932503085,0.40921408933145137,0.6287740232085636,0.07344545463771136,-0.08694404553267632,0.5787036147139198,0.46770431316400535,-0.2195571232150552,0.511082001797719,0.608397501629737,0.3234553439523176,0.1378770326324763,0.09443617619614482,0.4588384805285172,-0.055419175661645,0.6025674931868292,0.7660283542894821,0.6721262967271695,0.06774720825691798,0.22392033722956947,0.5480383216690761,0.75460572860701,0.3447964863694846,0.4947445827220255,0.20211598694588503,0.21876565624754607,0.6123838214747053,0.3408243988656804,-0.03961273722344061,0.42298372753972396,0.10500362384130134,0.5690740859748262,0.5493497882086603,-0.020300634506023825,0.577802986718245,0.6321091637907138,0.35231459250849445,0.11099349895499208,0.24287937260980494,0.4420955674868674,0.5678339920103442,0.4059321602407537,0.040615568755842824,0.43208094286028514,0.4524287036950366,-0.008447211849798646,-0.0025779406535223087,-0.13832709492273607,0.4304870952572382,0.7542746743225086,0.5527069367385934,0.44260880780016704,0.3168298505439397,0.397481710465679,0.6031904736143624,0.6228473729732379,-0.08854640818129547,0.2926542343792544,0.6707654279136467,0.296821011232834,0.1609025889320151,0.5919840237232039,0.5426633617891148,0.21212653661811845,0.8242511903132567,0.3312178937087128,0.4532944362797343,0.5263683592279408,0.40547124214895314,0.6168557888509838,0.5061702349866166,0.08667926436211669,0.603483190042747,0.7236107064378153,0.018721252483028816,0.492556862543507,0.578089536089194,0.040724028202240574,0.09405183238384479,0.46722077194387673,0.28683523284820495,0.19431588762996857,0.3709766828905114,0.574105135795519,0.730231348485804,0.5869084973352235,0.3194227103247091,0.3936528274187741,0.3874561754510459,0.3222041766720543,0.7809564201220089,0.35218265094947465
Vermis_10,0.5229977656505482,1.0,0.6139500494931853,0.3612597971699877,0.20503517508549612,0.261449065778257,0.41516035073371066,0.6720573289524971,0.5268674361681931,0.48288692368781677,0.5683912702157041,0.09243480380029842,0.5066552145611302,0.6056232833792868,0.6193916318908554,0.41632026741510986,0.19390814240373144,0.35405246767430837,0.43320970681539156,0.20448105891206644,0.08767443323700734,0.5157612727780175,0.5514158819741929,0.3744453411583194,0.2966330950693101,0.41750581812121534,0.38151487623587826,0.07388856274821864,0.3366552076930333,0.5843401030478101,0.43725438717769183,0.20471377687828213,0.4396295345887837,0.18821257846805192,0.5672139014220315,0.539949171934253,0.22955000168143355,0.367126347357297,0.34277406763685486,0.4120470041004973,0.19575598303355088,0.40408734460358736,0.4755270454181876,-0.009438267191660405,0.6575683975952775,0.11753632612031632,0.3587688401620929,0.17207628137828146,0.5919729458222039,0.3003641550143155,-0.010053740218040234,0.11352957111681253,0.4246303913437361,0.3360710814095754,0.4188339872210597,0.41746225056024355,0.41399865914575806,0.38155458394611425,0.11716369702219107,-0.05619503274591725,0.11585721396291422,0.17877376949561377,0.6521657384035445,0.5256014127473934,0.6086192020235857,0.5843545248374185,0.6454230723233372,0.6478886334001875,0.5009294192174566,-0.19399524940208654,0.5488501500706995,0.6572108808739202,0.09150967812412115,0.42836999701273915,0.6348863778341002,0.41376615658846017,0.633169417135802,0.4595763398990707,0.0038297290958987573,0.4723515895983458,0.5644913833936298,0.2585884135628307,0.41598648446654996,0.6304621222819712,0.3663744523675729,0.5709204901115171,0.35307499484706434,-0.0280127345763633,0.520414565723586,0.1937984737697621,0.29684435790542246,-0.22009226684579566,0.2431198535810645,0.5200400405366175,0.06692927237122062,0.3754292772737477,0.18265980957960834,0.6173345475616431,0.2566003092519677,0.6741593791716263,0.3198696251171297,0.21632305960241885,0.49236112198821025,0.5889662263337745,0.30086341065578137
Precuneus_L,0.24191312540115295,0.6139500494931853,1.0,0.6929794700956257,0.0704704453880265,0.0763107825245945,0.8671576083119465,0.8691611801197952,0.30827110419326065,0.8778541031453079,0.4430994246717832,-0.020918624853772595,0.4117439626201876,0.9456995726190899,0.6022355653440642,0.2412703378840621,0.25387951036807216,0.7548669363658465,0.1452864996034248,0.4214197863838084,0.1767858460944714,0.32611867913927534,0.4373474605058664,0.38102540983097793,0.39142960247599246,0.8282865117686982,-0.051340082342549206,0.39564524660624534,0.36251914724352546,0.40512454861480995,0.0020964103068018118,0.2237469716786751,0.5428246592056029,-0.26819279467816365,0.31863477710762184,0.6674929731219997,0.19086282499403792,0.5906450084630527,0.6465351665307453,0.23324398759716689,0.4916527073874562,0.6611526866878454,0.38189360008109785,0.025024343157573927,0.6649310168392478,-0.20502307312502377,0.6238007773908084,-0.14608668934778835,0.5129918473659796,0.3115848757506215,0.13575706294332265,0.23215262741195747,0.40647140580270613,-0.02843526921230725,0.17898043793603952,0.8041236411425473,0.4147962225300283,0.591027692106038,0.26469414989683987,0.06229585500285293,0.5593769156538144,0.1137494406348848,0.46645725197523485,0.7522576958733959,0.6067873020311846,0.5914809832858433,0.750921505805565,0.6879325926490771,0.17938769997158968,-0.07779095514633716,0.6091481240671456,0.4547500869106308,0.2249803614605589,0.6050145124577667,0.6362490333230961,0.06816368044847983,0.7205855696234212,0.3699232603661086,0.08172635588284506,0.11846542871672948,0.6450500897485039,0.518419972014368,0.050676149545802136,0.6963008363929934,0.6269244787468887,0.4128330085376145,0.038491785527640425,0.21048504996225628,0.6685754360401209,-0.18128988959589884,0.7800550768505663,0.035544633266530734,0.10083122336034273,0.8300298456867137,0.35645489271162073,0.41557879040214996,-0.08002139437590874,0.2758407939887369,-0.12051525233894719,0.8702672477062993,0.08935368626719413,0.3418136587926291,0.7227708510198771,0.2968970863838438,0.4553062608477747
Fusiform_R,0.3534788115219763,0.3612597971699877,0.6929794700956257,1.0,0.11346440728277009,0.3633820696296871,0.7616601400533535,0.7765848828105737,0.33624697694247135,0.7009721618945292,0.05029998029328491,0.23356888341591317,0.5661418015673658,0.6772458427495517,0.7565729983200702,0.532648694111759,-0.15666965499246863,0.5336499829623123,0.335284738347807,0.6506214572106945,-0.4282732823119787,0.39857673383752334,0.5098500303009246,0.49379036256008785,0.38975630795019767,0.6885696658801786,-0.11270372185973791,0.45103859570499605,0.41722156928850745,0.5043858985436025,0.25131244165568817,0.1907543130498285,0.3696390323190669,0.05187402009913773,0.4996082405810779,0.5512642608159385,0.46766713084732214,0.43366755836520915,0.8689809104475968,0.4880131482162329,0.6264322209677097,0.21528612211896725,0.5150986049679885,-0.0554312508480964,0.7266740399885532,0.03170241603498377,0.2414240115175101,-0.1481264673331349,0.5980755568886615,0.5109927667149944,0.28182209916315654,0.3046789061703332,0.49769005227034596,0.24097422041986732,0.20613879865031864,0.5945448591596905,0.5899577959027357,0.8124955053474129,0.30318374497678585,0.06958709306469445,0.7443129130921424,0.26050098061218563,0.522983704147408,0.6762171889699172,0.7929887789748621,0.45669038682486796,0.7224820901117529,0.7112326214667041,0.2356657153010751,0.1515853729855015,0.6419871879210066,0.4323127036976715,0.2726299587339613,0.13458063931970668,0.7526391347747098,0.08494079132194662,0.6103794679119996,0.5645644056107767,0.39771063668405904,-0.026544061181016144,0.7001583103503706,0.9052979569580867,0.1374811003953721,0.7018736534339256,0.33910358825541004,0.4475301397969227,0.31294501368074634,0.19468901305686068,0.6831562423298913,0.1613066342893993,0.8432344756420475,0.415666342933871,0.06605300953391889,0.7505942573458821,0.5773330684560981,0.6194455568603776,0.1521280409214816,0.3833162339184258,0.2568160373781984,0.6752537439852203,0.14024748827050992,0.785117157621051,0.8347005200881088,0.38143542833148597,0.7407212930923203
ACC_pre_L,0.029733929454090997,0.20503517508549612,0.0704704453880265,0.11346440728277009,1.0,0.30647219817779253,-0.033458237015826786,0.17044380110820523,0.5650143792622503,0.18942545877388733,-0.13376735156813213,0.2449820410884685,0.3670248509915812,0.13533648957551184,0.23067448341194274,0.015325759670993947,-0.18055500237244237,0.031319932553440344,0.47339351559104736,0.07554370020467373,-0.08080982252581943,0.2793523970599386,0.28600281100649005,-0.003068191475186009,0.3377284877748199,0.14190044515372124,0.030003421608824375,-0.0814637789405574,0.011112967635689761,0.0611252624419259,0.2591442312298796,0.4186414930608009,-0.14807190720669877,0.06904933052287456,0.41097017472610686,0.04217843606469391,0.3091695652052826,-0.24031338196460642,0.07150617445557668,-0.026309373184418793,0.1340889583651043,0.28074239027215714,0.5805383694549415,0.11424952327523231,0.08830823781391926,-0.21987840788143861,0.3068599290869897,-0.37607949757139386,0.4125955209321021,0.2307260967222961,0.27808493140359314,-0.3539278532925152,0.5475978104041522,0.009406657567910412,0.6731440030641546,0.21351378955391168,-0.15011142982149114,-0.05838369191015708,0.5501086504037582,0.3188546371032274,0.2048002788706696,0.46932485518312317,0.2805756074487996,0.06487884096072268,0.20703242481199519,0.32223550764459963,0.14549476023395166,0.24302086284813115,0.4934907724824234,-0.03499791634163279,0.1455758423108074,0.4032043817283438,0.2196146358815661,-0.13264722775327975,0.14751071054708684,0.5453545178724422,-0.040301928854031985,0.03772781708676064,-0.026527833318945628,0.47624705666086475,0.24152462332961408,-0.03329930628197161,0.3288060015598176,0.24631826929179138,-0.054551107812368584,0.20665256448106678,0.2177649087482043,-0.15863064936990023,-0.1328816234633448,0.17340477454445877,0.10465975617547879,-0.35204565062050547,-0.15039510304974596,0.23092624993543462,-0.10110085186781044,0.23251901944819856,0.2418186748322757,0.40622664199745284,0.0171826212550592,0.3640236258144091,0.32317585069987775,0.005164106022096424,0.23934408322237535,0.1466599638615885,0.06609230705202565
VTA_R,0.4186900289614391,0.261449065778257,0.0763107825245945,0.3633820696296871,0.30647219817779253,1.0,0.2137491371419192,0.2507182280378967,0.2966263585111665,0.10793913593374183,-0.052277664163193564,0.2490242975717638,0.367345644890082,0.1423513166710033,0.3430544362305933,0.6981855720646217,0.10132985845179973,0.14436810793090538,0.2708232903407475,0.28551356400014405,-0.18834150183439644,0.17266939837382983,0.4389107025267608,0.14665780682848276,-0.0028728277627449368,0.1720401557749135,0.3282633446461409,0.18787844998037326,0.1417660653576308,0.2116684355226866,0.46698231374322646,-0.08485939358964203,0.33196794065035384,0.4560175586747224,0.4268410989528317,0.2740845149949921,0.4639004101230183,0.2534768918402109,0.44773290066791377,0.37772847514821534,0.22047204989540164,-0.009660118796021668,0.1706852087843078,0.2521150102815287,0.3235193625651528,0.4691061949237463,0.06353055558685007,0.04804725086946575,0.3455677916250491,0.27578696005747355,0.027006253826920547,0.3106695097441532,0.0984385343341169,0.5039840138157572,0.2852159684153893,0.13187422647643265,0.4501331656801152,0.44807135421478295,0.08795585330402257,0.30379907258011146,0.2226869350977408,0.14078139552064378,0.39981975308494877,0.08063676759526661,0.44094027734975866,0.3387980733895525,0.2841195983644554,0.3525669418688597,0.446485659497831,-0.11477752692840244,0.062225520062630074,0.302229929897684,0.1084373438435341,0.05835286476121162,0.3228720399955067,0.434276635093968,0.23902152838953614,0.33895601772627054,0.45978298593620986,0.17250638424805323,0.349090980488434,0.412493081969102,0.5128852706726234,0.3243808594397305,0.3014315071788592,0.17056219538090883,0.44217779087788067,-0.17028508621595606,0.20526129817762925,0.2895801359848697,0.22574584019480856,0.261632809077661,0.19097261611026844,0.23468771876121314,0.24952817341379077,0.16993650130596172,0.576322920241962,0.3657179588380624,0.42597126219930465,0.24006608452500844,0.2690257156566602,0.3566599767365263,0.28509295459070494,0.5146875041385187,0.40200926062716563
Cuneus_R,0.10806539519334156,0.41516035073371066,0.8671576083119465,0.7616601400533535,-0.033458237015826786,0.2137491371419192,1.0,0.7762505149457004,0.2267759401876647,0.8081115865841599,0.31516246764688766,-0.13790863410240262,0.34388752567864855,0.8484783052679169,0.6115792745850641,0.35303316815466745,0.32569912622206815,0.8738731785807033,-0.05628230469976639,0.4345080554771642,0.09452571985325776,0.12373249271402444,0.34343965773157,0.422411333513354,0.22116714880310265,0.8027255920823638,-0.02190278102955818,0.5475231843192357,0.1796553230725269,0.21922248144987116,-0.0012446690436121058,0.1023815377475282,0.6751609181064592,-0.20812809438483204,0.1684338318398004,0.7236378733178819,0.2264213322043599,0.77465120657689,0.8134702480918113,0.2762411607015245,0.5006465343497997,0.5081620140831493,0.20664212989413097,0.08818360655190809,0.6208740921237105,-0.13892395996538678,0.5027400151397736,-0.2782459856823653,0.37094955204012514,0.3804561045311911,0.1012960978889316,0.4946715861747361,0.18048407178162099,0.07666320596729674,-0.05518709689267028,0.7499968955412808,0.4728246935422111,0.7207672378947656,0.22011784235427218,0.09328924464736835,0.7409029347527668,-0.09363494008312837,0.31493167894952456,0.5767320771566392,0.641194722669442,0.5898299142140964,0.710547815391992,0.585015745356623,0.07955086201623736,0.05790305996497832,0.484418176291973,0.2757774610663703,0.1519978172565226,0.576782990074336,0.5263009831379374,-0.024928865265466175,0.7981230436700321,0.28614286513629766,0.24662631917906655,-0.16443157107218515,0.524188692335467,0.6345717417688129,0.06496688557787055,0.6348670325117916,0.7284773921181505,0.266301807344701,-0.0927467317804265,0.25712957431936995,0.609806680597944,-0.1884103620070248,0.8751513664866576,0.3182000136840193,-0.045770082399170235,0.8160182896176807,0.5126513193896443,0.35922541869746233,-0.12954458271657748,0.086646571644511,-0.005849013157095498,0.7451308608459527,-0.10378537949714904,0.4318953621664231,0.7498579680516381,0.2732835520359695,0.6208352251148956
Cerebellum_4_5_L,0.44554595940985225,0.6720573289524971,0.8691611801197952,0.7765848828105737,0.17044380110820523,0.2507182280378967,0.7762505149457004,1.0,0.48164470250852554,0.8589960145385053,0.3721218144242568,0.17228777183336846,0.6060000932570367,0.8778291095258646,0.769421778627553,0.414460185466386,0.1562145690538621,0.6180443125611694,0.3769463420470808,0.48946776491457117,-0.01036011833479746,0.4994167801238045,0.7011108692953202,0.4177801160401049,0.4826758107685113,0.8120161108834666,0.11569923778499942,0.28836168734575657,0.49525483641712953,0.5690950181346672,0.22620550804671208,0.34586953565165246,0.422725341145524,-0.06624723797720537,0.6015668319110925,0.702897723505496,0.43043606030720916,0.5011799357908635,0.7462046640883416,0.3358402913197753,0.5863573888289563,0.6013823002156411,0.5951744979068725,-0.06487552299346039,0.7705759462445549,-0.043957280370130074,0.5722166125241605,-0.11009736322143615,0.7231958609060235,0.4132056052718787,0.1822671662031921,0.21336139415417218,0.5576675390426684,0.11057860207249208,0.32495901580366354,0.7613160702516627,0.49150476923010283,0.6503180136417716,0.27422149880231506,0.06075134371095809,0.5640059204574177,0.2866399084213468,0.7081493778870334,0.8243473673826014,0.6978530242841744,0.7461098349498295,0.8134118920029402,0.850402069666883,0.4211081456262211,-0.09576333479983684,0.6333650970746925,0.6730340380585653,0.2889377343027284,0.4056121151193559,0.7991730275364044,0.2925116383327732,0.7358903699470852,0.572630108939285,0.22121908370619972,0.18131254073204547,0.786485917282579,0.5981991217764261,0.25675841815681616,0.8247046715749279,0.5066418574896635,0.4963083504820895,0.31149852185414334,0.22915434607831553,0.688225448716556,0.048153958727498496,0.7822942756210454,0.06183513804480831,0.24368341817378836,0.8871718003020065,0.46174802436612306,0.597934297726831,0.195188180237632,0.5293546520350809,0.10282662100773948,0.8909474828382785,0.287169975526096,0.5112897329283038,0.8748400280780112,0.5646543823919417,0.5381165365975619
Frontal_Sup_Medial_R,0.2474899967174268,0.5268674361681931,0.30827110419326065,0.33624697694247135,0.5650143792622503,0.2966263585111665,0.2267759401876647,0.48164470250852554,1.0,0.3345294027129666,0.1594043971046756,0.35266230757536043,0.6068727253834255,0.3584784371245723,0.5722599920755654,0.2539929892017021,0.13923079578977626,0.1689956697919717,0.4258990518836868,0.13560727626742772,-0.007255613631923149,0.49399640728133176,0.508353469332147,0.4204770607788847,0.5957061664894672,0.26509369509782926,0.11316748727444798,-0.20220623273186636,0.2903451773194498,0.3944627845146959,0.37818403038449805,0.3728800962004364,-0.007546854359358782,0.2114039235422367,0.6433574419520497,0.27819935395156375,0.5308252224091425,0.1688885152851566,0.27079879073122876,0.1968738986776673,0.32011506755458574,0.34016299643091774,0.6395636490075435,-0.19641293077493524,0.39697134362791764,-0.031187633132339375,0.29895354687847225,-0.21278458045743268,0.6761089815278778,0.5579840298231782,0.4411743268449807,0.017451310554977784,0.5985422312566675,0.3294209697475772,0.6809145181951941,0.30733979652690685,0.06930771655550626,0.3388140907190875,0.31807581176910055,0.0796271542142348,0.2208947131318722,0.4447904435470441,0.622583161019682,0.3105601909958163,0.4422841896289242,0.5450985107194785,0.3036149707228159,0.43969238136739386,0.6401167199862934,-0.03546011471079205,0.30882767369732267,0.6567514771265607,0.352910926385405,0.08281330721369858,0.4936618015097101,0.6860506221950439,0.30182702354968777,0.3791445410746058,0.2167435028146874,0.3525544889344036,0.3625919223348198,0.24327199581873274,0.4038989918750602,0.48291099322353354,0.0585811795368987,0.49255692912301097,0.3204690129935386,-0.08160530030133432,0.28297726285656316,0.2686304511968502,0.22666542963920977,-0.19087729116785437,-0.07372936201441907,0.43368238547254234,0.16327642136058662,0.36715733428555664,0.2769451098354674,0.5478598746838947,0.1665076413347385,0.5628094090120395,0.30845452835804876,0.15263324638188946,0.4537134133815722,0.477582159558693,0.2166852951630404
Supp_Motor_Area_L,0.12994734838199215,0.48288692368781677,0.8778541031453079,0.7009721618945292,0.18942545877388733,0.10793913593374183,0.8081115865841599,0.8589960145385053,0.3345294027129666,1.0,0.3635432046667296,-0.11129045460378237,0.39724447336857227,0.9313250073545746,0.585288975251895,0.17097047755648198,0.08567261488990463,0.6824181873158545,0.17649603724228563,0.3563479258143539,0.1337787483382188,0.2783539444451332,0.5347167037079049,0.18291395547858777,0.49696955259477804,0.9039307760914715,-0.00605617771327484,0.42715761623171283,0.3264162007724321,0.2980198829768283,-0.0370556447209682,0.35691740867826244,0.41554618070635474,-0.38605246634330626,0.3068555795329957,0.6374317773660744,0.1984014852609388,0.4771061624398395,0.7410811342553939,0.08082916352839585,0.48851020106812404,0.7577375892552349,0.45494709575082837,-0.020609141649292496,0.5500704272199886,-0.27052715310779407,0.7509698888435946,-0.2990162518765088,0.48299142196130324,0.2165823796814703,0.1671211095746455,0.032392286168278404,0.40035954878377966,-0.1915750845949248,0.2188834594390001,0.9453470124037288,0.390604231370198,0.460755914881501,0.3221647836996727,0.07862043576473568,0.6587692724526205,0.12512030745223285,0.43623174944140847,0.720073293610895,0.5402187773259868,0.6937202092870896,0.7473337738371038,0.719912418319109,0.23964854859634305,-0.06890742568454872,0.5844961978974499,0.4887620789478296,0.1732266812377441,0.4658768923141515,0.5859352735872153,0.07476356292633399,0.7094550510871899,0.2624752688704101,-0.03715466931632983,-0.011796735158928998,0.6507380649719512,0.4380005225645499,0.09170829287639702,0.608907680469294,0.5446033463045974,0.25094141687306176,0.07382938474587204,0.2755710380197779,0.4652282652420977,-0.2423819707302681,0.8461279615856013,0.03137587966372716,0.062261696859483934,0.91734809253111,0.29403824135960477,0.4486843689898521,-0.060576504971709216,0.28701471557255104,-0.21884091981423998,0.9124971652862466,0.13248339945157286,0.38277806793584934,0.7711984334966887,0.3086920271589174,0.4108027115217302
