,Thal_IL_L,Cerebellum_Crus1_L,Rectus_L,Frontal_Mid_2_R,Thal_MDm_R,Precentral_L,Precuneus_R,Vermis_9,SupraMarginal_R,Raphe_D,N_Acc_L,Frontal_Inf_Tri_L,SN_pc_L,Occipital_Mid_L,Precentral_R,ACC_sup_R,Vermis_3,OFCant_R,Thal_PuA_L,Thal_LGN_R,Cingulate_Post_L,OFCant_L,Frontal_Med_Orb_R,Thal_PuL_R,Parietal_Inf_L,Cerebellum_9_L,Thal_LGN_L,N_Acc_R,Heschl_L,Thal_MDl_L,Precuneus_L,ACC_sub_R,ACC_pre_R,Thal_VPL_R,Angular_L,Insula_L,Caudate_L,Olfactory_R,Frontal_Inf_Tri_R,Vermis_8,Rolandic_Oper_R,Cerebellum_3_R,Cuneus_R,SN_pr_L,Vermis_4_5,Cingulate_Mid_L,Temporal_Pole_Sup_R,Temporal_Sup_L,Occipital_Sup_L,Postcentral_R,Raphe_M,Hippocampus_R,Putamen_R,ParaHippocampal_L,Amygdala_L
Thal_IL_L,1.0,0.525018716346578,0.2021533694938909,0.7883782069317787,0.8539774417290829,0.4514183762284711,0.6179686014271497,0.6237387689004894,0.46850576398182175,0.5472535112514954,0.2837015991142558,0.6802294467658067,0.39768361537589536,0.26115988561126224,0.20457839805783526,0.2979521552310274,0.5008768962507898,0.22175276525978813,0.3602841712509246,0.22391253076189274,0.6725868340567076,0.31338457473567854,-0.04238601912496939,0.22008576720086126,0.4497990360717741,0.5140944625751466,0.259203307738639,0.12461853912008719,0.02752502296378313,0.5149897260959246,0.6362490333230961,0.05451482363171895,0.36434535863080664,0.4059315300496698,0.1545327954335151,0.6954217978486242,0.6649116716450915,0.38210349911404795,0.8169316599458163,0.2922415987247829,0.6243186439762975,0.5213241818562973,0.5263009831379374,0.5463582945245586,0.771370855970078,0.56683126329896,0.30370809364405366,0.7859954758176622,0.2161206578029538,0.25633288382697805,0.6940481514563711,0.6560151761231505,0.7646379476108577,0.5586848005482772,0.4392338497977183
Cerebellum_Crus1_L,0.525018716346578,1.0,0.1874055759527147,0.45426268493561,0.615328582340819,0.2682658661385558,0.3568805662711551,0.6677439836796816,0.057631545688997435,0.10594511424481155,-0.12511081549466355,0.18291655132925813,0.3894062313118749,0.5076301322210336,-0.08430086819330898,-0.12258158378037243,0.5645996873662747,-0.1817685927479343,0.4419965908216027,0.2230583998661169,0.37823389249990064,0.0759219585327873,0.18386840767699522,0.11268917021741329,0.3862045824433029,0.7972884415578232,-0.09559852872702052,-0.022438689250178227,-0.042125954703071934,0.44929578318478114,0.41191460654593665,-0.07190081505448159,-0.07150859883462916,0.2989361484738753,0.26579897464392727,0.13442375579131385,0.2094396844362599,0.014094679982082118,0.2516608145556923,0.28295378354618467,0.28195446788488854,0.4181297222689917,0.6134857991726841,0.19367488670551447,0.6069633395713433,0.18007279998360284,0.39552974465994695,0.46258932217928056,0.3211375204571718,-0.12517700056218314,0.1637250731674555,0.4109225930985055,0.18908200858358257,0.19184195600437765,0.021020214732645107
Rectus_L,0.2021533694938909,0.1874055759527147,1.0,0.2644943901703787,0.17846437395270215,0.15529837636207738,0.18310250096665423,0.17417464679608027,0.05856786758616319,0.19647197121608054,0.10413767909323504,0.06417250391669171,0.22933135225778994,0.221460106739735,0.10192848477291878,0.15381249327643198,0.1182036973413708,0.2506591748898232,0.18193530987384707,0.18677919182845676,0.19377434540251226,-0.08726933760088125,-0.16922812364084197,0.15562573026688453,0.15514051065620146,0.21438915793080188,0.041566349507799326,0.030373518263376077,-0.018907412331667327,0.12987266716933069,0.1716253672342972,0.14978552965821523,0.2898353482508844,0.21426266502201488,0.13375742042689973,0.15487697465586722,0.25063270038118646,0.20884001094116766,0.1680032898906055,0.12855361268389975,0.14299363447811023,0.15170643129891326,0.15824349907104854,0.25532689239183387,0.16615612110548922,0.11294257907097088,0.1860236356811945,0.2495088586856172,0.1673730333463523,0.06442604959412256,0.17723552525887462,0.17977355055612534,0.1846362212205062,0.018590584373890124,-0.045804780072177864
Frontal_Mid_2_R,0.7883782069317787,0.45426268493561,0.2644943901703787,1.0,0.7352462508169256,0.72505046953451,0.8300768296139145,0.4934320215757697,0.4916276693376447,0.5123724781167205,0.24767412384231885,0.5217955267553662,0.2816159814594719,0.37220706796595093,0.5061631779074429,0.3710089942352166,0.6355236280109666,0.3118370768423679,0.14389740408614626,0.15842455212453016,0.8312090631315364,0.2379449402754628,-0.09855118680062414,0.35250961617821613,0.6565818099381772,0.5232042224335853,0.30059408359838935,-0.13129174267466448,0.15576414435991828,0.38278842003595,0.7834190615521018,0.013296984010230247,0.4840300012884305,0.3527235205677236,0.30915988519371046,0.7404959422216792,0.6386949801976006,0.3975470400944035,0.7562912110760147,0.16675333311136148,0.5973356946068799,0.7173567943375724,0.6723972712291283,0.3968536752329205,0.8616696726690686,0.7387081334229231,0.15874038791025977,0.89922586750942,0.39963017743006873,0.5183985903745726,0.5299506614268925,0.5876455583062623,0.7996369071877049,0.5265237504725125,0.24626041763866552
Thal_MDm_R,0.8539774417290829,0.615328582340819,0.17846437395270215,0.7352462508169256,1.0,0.38302310894399283,0.5830732792572624,0.5551334463179178,0.5250293047698525,0.4710703914012566,0.12815133077313695,0.5256517743845495,0.5713093710163711,0.4336881251754178,0.16377741976910445,0.32782653259575917,0.5914980518621368,0.20743337379973403,0.47306558816648914,0.20681299749279156,0.6743965410068778,0.19906080847243815,0.05963327791503863,0.3073255365004388,0.5404683133437262,0.5758339676502299,0.27803413732321086,0.20215416460468727,0.11001692950447516,0.6854095398097763,0.6649310168392478,0.0957523804938972,0.24244887322990272,0.5007884531303445,0.322488175669194,0.5959849071840063,0.6376210279345802,0.2001035577398621,0.7053779196964806,0.47288675135545055,0.618694542739335,0.5144532397269127,0.6208740921237105,0.3973548461562353,0.7470902331352605,0.5476991295196392,0.40687971209012946,0.7466169297469194,0.3440717925790356,0.22067177879117014,0.6373735975131471,0.67057140365119,0.6336079579731153,0.609114975706078,0.3692094517487679
Precentral_L,0.4514183762284711,0.2682658661385558,0.15529837636207738,0.72505046953451,0.38302310894399283,1.0,0.8897142596532053,0.3029746272196319,0.3908337292087724,0.0847638200563536,-0.13426029671659573,0.25190018501590883,-0.001651878092962649,0.39761837083611223,0.8455324745259033,0.06887942187440625,0.6760744197646907,-0.006778358365218523,-0.12403252031835922,-0.3117977533762731,0.7043985494795156,0.08878866137276839,-0.12201081783416802,0.03630390905125796,0.5788865662594724,0.4160239209509051,0.3927792794632835,-0.34251153828064274,0.056148315398117724,0.006184486523826757,0.8041236411425473,-0.24995720123127144,0.2308748877888961,-0.12367485750713111,0.24875034580716968,0.40837020527392326,0.18958628518285206,-0.03921901977502259,0.3121432319226294,-0.11964909575418337,0.23474465835089994,0.9009899945315066,0.7499968955412808,0.019214317628273133,0.6311087993833534,0.6255359451770984,-0.24224929334465353,0.5810915573904754,0.5907747407693208,0.8102649521301634,0.18492871261455382,0.12767229410573738,0.43390858884060757,0.17733285807070975,-0.0918214118189186
Precuneus_R,0.6179686014271497,0.3568805662711551,0.18310250096665423,0.8300768296139145,0.5830732792572624,0.8897142596532053,1.0,0.42365191505315836,0.5560691840522185,0.15964005663149222,-0.06176560427943112,0.3429792799494913,0.12780354668412536,0.5065719487432355,0.7383719848837547,0.11844059249889491,0.7435971538627016,0.08474650487925066,-0.027671824536038718,-0.19763839346473216,0.8446229638680715,0.1703985106433306,-0.1178496950038262,0.12629736735927607,0.7302340981416036,0.4760115457639709,0.47542159117650734,-0.18014803158523712,0.06980598214569109,0.23804428014953802,0.9456995726190899,-0.125534470919747,0.2551347889018065,-0.010714908287947408,0.42415173858662825,0.5403438499681803,0.3203675620325872,0.09797226697737646,0.4908885257963899,0.06285381786757009,0.3623599741055661,0.8732506144149291,0.8484783052679169,0.11738116780377451,0.7179263518308905,0.671251278430155,-0.10730679648686131,0.7283976374834347,0.6369525040563597,0.7601472441475009,0.297315582592493,0.3379082981554545,0.5620396835906969,0.39137444339720423,0.1368239644618478
Vermis_9,0.6237387689004894,0.6677439836796816,0.17417464679608027,0.4934320215757697,0.5551334463179178,0.3029746272196319,0.42365191505315836,1.0,0.15203441542807747,0.10601917111824562,-0.11177732638202034,0.5508298286377941,0.21800979415506638,0.5609880302708489,-0.005710799180868582,-0.09081185528217918,0.5573841749539734,-0.05885491146274186,0.22059909151048465,0.07410894834776954,0.46410419736073893,-0.042528630229156233,-0.18567804742022456,0.16453204489698495,0.5205619110986276,0.6358478557393686,0.1423492448911277,0.19254121427544324,0.2351744976128437,0.2459263823830689,0.4147962225300283,-0.2327396472273391,-0.04166802971560276,0.24829475799087528,0.39470763142264875,0.295266987601034,0.27675280449553463,0.11871086761354085,0.43201155575105804,0.19490496308691035,0.48853693837279843,0.38795526340768244,0.4728246935422111,0.28569470116197776,0.521439271774454,0.3533814886325387,0.35483769757778094,0.5366419312430643,0.4062848785888867,0.007932248605473717,0.2562993791854847,0.35902847892000644,0.4154646971104868,0.1788360312681253,0.0579631786197013
SupraMarginal_R,0.46850576398182175,0.057631545688997435,0.05856786758616319,0.4916276693376447,0.5250293047698525,0.3908337292087724,0.5560691840522185,0.15203441542807747,1.0,0.0962346612049259,0.07877347379115351,0.4625599166023959,0.1461688552678704,0.2883095235238978,0.443414244022517,0.4384115769999496,0.4104555624497774,-0.0010159186569054966,0.3867777775147857,-0.10253115646732128,0.4624044927308688,0.2498337587983025,-0.0233828568826026,0.30313466705417136,0.48540609712965455,0.17743204181342181,0.32655236509742225,-0.011803576766974666,0.06838648417549115,0.5584209359109494,0.5716865760684602,-0.168151668460251,0.09682398646634709,0.09620835876429766,0.3539755619739607,0.4893595623325847,0.2851315454905675,-0.04189822727065573,0.5791854487585171,0.1611306371528078,0.499817476579575,0.43141245841047127,0.548476429680663,0.07551564599003154,0.4830194540409849,0.7071467788597235,0.1438061920104996,0.4814404212732505,0.46899948293138627,0.557899771379046,0.303983234016654,0.43228778214195657,0.41553477054213656,0.5977653227635205,0.3229577012139159
Raphe_D,0.5472535112514954,0.10594511424481155,0.19647197121608054,0.5123724781167205,0.4710703914012566,0.0847638200563536,0.15964005663149222,0.10601917111824562,0.0962346612049259,1.0,0.6660835863762373,0.44874926269345294,0.4733993266964775,-0.2341992355000075,0.05441380451202055,0.6007544491474076,-0.08921458843041802,0.5029088991063587,0.19422032291422653,0.6263068810597882,0.36699568798230364,0.2852277883266245,0.013438134505639535,0.46901959803834387,-0.045743278940875785,-0.0686113314700527,-0.02596730523924555,0.17930694170074468,0.12730709382461278,0.20346057437557744,0.1452864996034248,0.42341232554232844,0.6293273938485713,0.6933870780281276,-0.225928253113453,0.6997031074064107,0.8265987577289802,0.6572458078126834,0.6505028311399044,0.26396240723541947,0.5015357625069027,0.04710825712437248,-0.05628230469976639,0.7686641173994648,0.40190918399852993,0.32770655538863647,0.23335422172989928,0.5871613124263082,-0.3010444880968215,0.030613043806854513,0.7290275110837108,0.6249451345788454,0.710545572954885,0.4407981811060059,0.4744188466678721
