,Putamen_R,Temporal_Pole_Mid_L,ParaHippocampal_R,Precentral_L,Temporal_Inf_L,Thal_IL_L,Thal_VL_L,OFCant_R,Temporal_Mid_L,Thal_VA_R,Precuneus_R,Cingulate_Mid_R,Olfactory_L,Heschl_L,ACC_pre_R,Frontal_Mid_2_R,Cuneus_R,Olfactory_R,Cerebellum_Crus2_R,Thal_MDl_R,Temporal_Pole_Mid_R,Parietal_Sup_L,Frontal_Inf_Oper_R,OFClat_L,Thal_VL_R,Vermis_7,Raphe_D,Occipital_Inf_R,Paracentral_Lobule_L,Frontal_Inf_Tri_R,Vermis_8,Occipital_Sup_L,Vermis_10,Thal_VPL_L,Temporal_Pole_Sup_R,Frontal_Mid_2_L,ACC_sup_L,ParaHippocampal_L,Frontal_Inf_Oper_L,Cerebellum_10_R,Putamen_L,SN_pc_L,Occipital_Sup_R,Frontal_Med_Orb_R,Thal_VPL_R,Fusiform_R,Amygdala_R,OFCpost_R,Thal_MDl_L,Occipital_Inf_L,VTA_L,Thal_PuL_L,Thal_AV_R,Frontal_Inf_Orb_2_R,Vermis_6,Cerebellum_7b_L,Thal_LGN_R,Calcarine_L,Cerebellum_3_R,Temporal_Sup_L
Putamen_R,1.0,-0.029292146439533033,0.7910907650330505,0.43390858884060757,0.6059500419678595,0.7646379476108577,0.6935011047015815,0.4157831050832535,0.6141351815662074,0.6966916887809883,0.5620396835906969,0.5145342153788401,0.6098848760389431,0.26304020219908586,0.5639472198968621,0.7996369071877049,0.25461392947986083,0.5793824727813572,-0.13211905405283025,0.30398042344247667,-0.2182625868273946,0.1195539606945841,0.727215658719621,0.5624239259496293,0.8173256570467932,0.4210392671830734,0.710545572954885,-0.12553640356970291,0.3001161009892142,0.8250112040962165,0.15633236790308228,0.12386285200981058,0.623472029003205,0.50411536480761,0.1339821985049203,0.7298485268118415,0.6838371931043352,0.5393565466938396,0.8045219069735863,0.42424280893725336,0.7777144678465663,0.33037658781562623,0.10724269978729015,-0.14745539950021563,0.4585246651090078,0.5005015508093771,0.45070224934413455,0.5644630672634945,0.2713570981869746,-0.15967664444882612,0.5242736853776048,0.4409753011815238,0.33616850410865723,0.7211911403888074,0.18050549512980404,-0.1432015176009106,0.30906236592462294,0.3503707705769636,0.4193326528692766,0.8109590440744103
Temporal_Pole_Mid_L,-0.029292146439533033,1.0,-0.08172400691281874,0.13400759000805026,0.05780663029886281,-0.06674656401526273,0.03223688869035567,0.20372294251821932,0.14571884345067335,-0.03151712564077783,0.10815428702156792,0.0672312513170511,0.06853003229150668,0.007949221260136452,0.2643580278266414,0.09522101534345119,0.09328924464736835,0.10876790743857771,0.040094086704092514,-0.05762311771692654,0.09127850594928993,0.021970606972529394,-0.022976109688762573,0.05037780600308797,-0.020353658050167794,-0.03617781880654945,-0.05064313182040319,-0.05632933721495549,0.07470961106208188,-0.06860045578531526,-0.06800476094770655,0.27570103365923376,-0.05619503274591725,0.12054629124135334,-0.05910629628632864,-0.07231590762500469,0.06654160635268133,-0.26486610744718636,0.0815444450983921,0.0314042278992432,-0.2585276248321237,0.08401466136297012,7.017928637400163e-05,-0.1778987990687227,-0.03130395735722066,0.06958709306469445,0.07066611046132384,0.05865709042684596,-0.16463994535728702,0.11576075379633984,-0.1520130242439251,0.047169481197399894,0.051705433903341994,-0.11485964656128532,0.16923503990856037,0.08644146762814585,-0.06099731443235446,0.16916803571417885,0.21154792782371984,0.04059976592924834
ParaHippocampal_R,0.7910907650330505,-0.08172400691281874,1.0,0.5890929070315026,0.596452115223545,0.7634573730408282,0.5830696081237752,0.16071025273048894,0.6749854601442852,0.6230795519201772,0.7512155226728703,0.5163653452579781,0.4624330768760573,0.0055608495424675185,0.30612437194347353,0.7954043830702372,0.5767320771566392,0.36189082637592795,-0.3556770902741086,0.3544653900554809,-0.39086067957879905,0.2829947415134612,0.7270625445933893,0.5588818844504423,0.7058416767087324,0.5057437911218808,0.4733393090893016,0.026166022488964075,0.5310184571540564,0.7021171187406469,0.3136464606738856,0.26257306583033435,0.5256014127473934,0.41919085080667057,0.01802644603380355,0.741612541775947,0.4121562902290719,0.7146975859855222,0.6629327212107747,0.5515644370713705,0.7390779082447572,0.3408508407786765,0.3680891909057808,0.01878179618794763,0.21247514699266476,0.6762171889699172,0.29167466469949865,0.6172863690155345,0.4000415276456585,-0.001446579192572042,0.5092527390314809,0.20846628827547178,0.20201223461190662,0.7172861116888982,0.35855849960697206,-0.15806187426624063,0.07505485567316386,0.5648441405856441,0.626765225267086,0.7846179973475941
Precentral_L,0.43390858884060757,0.13400759000805026,0.5890929070315026,1.0,0.3364787700950647,0.4514183762284711,0.28146264680075633,-0.006778358365218523,0.6519320882433873,0.2870966260708932,0.8897142596532053,0.7416303240814681,0.04931304727783876,0.056148315398117724,0.2308748877888961,0.72505046953451,0.7499968955412808,-0.03921901977502259,-0.35682180589571283,-0.04583021585233424,-0.4504703097965875,0.48014769136666197,0.5473004836175125,0.4583637504076426,0.3563093747726342,0.25137561143331005,0.0847638200563536,-0.03166060332338653,0.8831936501495682,0.3121432319226294,-0.11964909575418337,0.5907747407693208,0.41746225056024355,0.10470367628008759,-0.24224929334465353,0.5937975641267792,0.1856624686469328,0.17733285807070975,0.47967727154542217,0.2032083964737527,0.14768524543180037,-0.001651878092962649,0.43314181432634685,-0.12201081783416802,-0.12367485750713111,0.5945448591596905,-0.18620863342219118,0.20233098210086933,0.006184486523826757,0.17941530522233784,0.12531946144633027,0.16110123383503713,0.10221695929963301,0.16533235524924603,0.5687309235647645,-0.0636619825547738,-0.3117977533762731,0.7923177241433396,0.9009899945315066,0.5810915573904754
Temporal_Inf_L,0.6059500419678595,0.05780663029886281,0.596452115223545,0.3364787700950647,1.0,0.6111379244015273,0.6073255573345467,0.15169669548290965,0.7697734770294191,0.6669655582427066,0.45499655836459985,0.2236997520381406,0.5796271953123583,-0.06657777133509299,0.4177017488577042,0.6118121434213382,0.35922541869746233,0.4316121831112868,-0.13839513932459002,0.4199641082301328,-0.23112250576355955,-0.2250051594127789,0.5584194990559734,0.48875075412242475,0.6269078061080566,0.6785284544627361,0.6574753016824815,-0.04322112634893945,0.1939633431151672,0.49892387702956953,0.13182173272996803,-0.023395727976227687,0.3754292772737477,0.5632824378289935,0.013568045697991958,0.6000500657356017,0.3878696029904194,0.4216296877787488,0.5994106345669505,0.5094951987400553,0.4910882143609316,0.39046759484569477,0.07161331277997235,0.05610946824068591,0.43054361578956063,0.6194455568603776,0.3235819981024322,0.42700609157906855,0.2821236476922937,0.11575147590885128,0.4441972716780236,0.17944216836310953,0.1612435412958551,0.4485991433800678,0.30003111872321003,-0.42395860259521767,0.46308720040775253,0.5177451941604123,0.3507949511995373,0.6957714651296121
Thal_IL_L,0.7646379476108577,-0.06674656401526273,0.7634573730408282,0.4514183762284711,0.6111379244015273,1.0,0.6779077071363915,0.22175276525978813,0.6836979060641843,0.6214105853439599,0.6179686014271497,0.29946056182811365,0.46537173947742816,0.02752502296378313,0.36434535863080664,0.7883782069317787,0.5263009831379374,0.38210349911404795,-0.16953779733042212,0.5499845752923103,-0.11524456796459513,0.12491395483364745,0.7474468398326207,0.5207373328105017,0.770977844612542,0.6515395746611111,0.5472535112514954,0.17717384904104663,0.34937477398977995,0.8169316599458163,0.2922415987247829,0.2161206578029538,0.6348863778341002,0.48765232565588834,0.30370809364405366,0.779862855263781,0.4469098208022573,0.5586848005482772,0.7047382941830567,0.4859755479367031,0.7828908086958006,0.39768361537589536,0.31076502333360856,-0.04238601912496939,0.4059315300496698,0.7526391347747098,0.36226104418458593,0.4563196359083723,0.5149897260959246,0.0948217748513177,0.5683418136036532,0.26723872852578684,0.12345522968029748,0.6557615810239139,0.44177924363589155,-0.05683408808985534,0.22391253076189274,0.5862848982788974,0.5213241818562973,0.7859954758176622
Thal_VL_L,0.6935011047015815,0.03223688869035567,0.5830696081237752,0.28146264680075633,0.6073255573345467,0.6779077071363915,1.0,0.296667527041731,0.5838119969180853,0.6443460593145292,0.41714102197028435,0.35278088225723436,0.43850112393724894,0.12356940403800615,0.5761529612683155,0.6701921619550932,0.34388752567864855,0.34310251801271047,0.027741277578651507,0.5733108455897875,0.10782205172691144,0.10621334701118106,0.6936435375393537,0.5177904608702408,0.9235926423530673,0.45501463051679397,0.6232885461643177,0.12669843264270064,0.1855527507053411,0.6947880584718791,0.3593937215340465,0.1482908779801615,0.5066552145611302,0.8606641237383561,0.39786062287331664,0.7086983176364134,0.8139836237747837,0.5157825058409056,0.7111773139447509,0.4048463856231695,0.7080671537678495,0.6142789234564303,0.27864878433385254,0.1070092058352575,0.7047351672507948,0.5661418015673658,0.40124066333012237,0.35530318181000115,0.6103994254229309,0.13173413280063834,0.6322692160150437,0.6340838972777998,0.6560826604898607,0.535593892866737,0.30330854206255914,-0.056247159789923076,0.46743794300364666,0.4094516032498259,0.34322120202168116,0.7013939211403447
OFCant_R,0.4157831050832535,0.20372294251821932,0.16071025273048894,-0.006778358365218523,0.15169669548290965,0.22175276525978813,0.296667527041731,1.0,0.18547996320257423,0.4934641906558388,0.08474650487925066,-0.07261085650088711,0.469296727168693,0.27552545386435745,0.7284206709532763,0.3118370768423679,-0.16443157107218515,0.6760422829141554,0.0782577811577809,0.24068140397553775,0.3521323270297234,0.06604381578358952,0.30072167852896997,0.09981520929160169,0.3626556541223892,-0.005472339088756635,0.5029088991063587,-0.39787601407788276,0.055923845914527655,0.4047876520464979,0.15381693122907267,0.013204534468665466,0.4723515895983458,0.11503429542359565,0.3108250582669106,0.11046340589760825,0.4317186373209668,0.1495721625772573,0.2333059002306428,0.048870398789298976,0.277831629623159,0.2654115190268409,-0.24841828685385867,-0.312919890207385,0.44976574449535367,-0.026544061181016144,0.4816850923285031,0.4889221909733963,-0.015351473495929063,-0.3752526486277001,0.35237627908604113,0.26629659126662275,0.1986813231318195,0.22667291333492032,-0.20847070193582187,0.10687618803606495,0.403122093022771,-0.14774635098484043,-0.06578187887366872,0.23991564044344424
Temporal_Mid_L,0.6141351815662074,0.14571884345067335,0.6749854601442852,0.6519320882433873,0.7697734770294191,0.6836979060641843,0.5838119969180853,0.18547996320257423,1.0,0.43911567095239445,0.7849314966118058,0.4911757993562711,0.2677095066722671,0.14050628662687276,0.3184034352937418,0.8005296458604552,0.710547815391992,0.24195029582383018,-0.17787481970095625,0.4104133601849162,-0.2682136141041061,0.28842935083187654,0.725444195320732,0.40535429509610327,0.5787837126552869,0.5916137396307264,0.3997697833295596,0.05239274360234049,0.536770174681999,0.5061521630910234,0.16590884975485562,0.4990254993757161,0.6454230723233372,0.38604797205419555,0.06584687516877111,0.6361623400624303,0.3586760624258838,0.3306460146675675,0.635886825401499,0.44749074958639956,0.4414527353055472,0.3788570283268603,0.4495332888938932,-0.10587255102951497,0.3408738028304242,0.7224820901117529,0.0386384576847536,0.4811194689456934,0.27289767222650196,0.28173363182441974,0.3934931297540573,0.24330842491162094,0.133890312763014,0.41497079104054424,0.5161314630207331,-0.05042963398656746,0.16657277453135036,0.7692971792283557,0.6861220324814337,0.8443268101627495
Thal_VA_R,0.6966916887809883,-0.03151712564077783,0.6230795519201772,0.2870966260708932,0.6669655582427066,0.6214105853439599,0.6443460593145292,0.4934641906558388,0.43911567095239445,1.0,0.38868298620753017,0.17629088899359643,0.781988826206536,-0.1379255099468874,0.6699919141096664,0.6564690131046474,0.18048407178162099,0.6750941852883836,-0.08786765555684932,0.3570788821152361,-0.026125136812626654,-0.13268643956853884,0.5127698547647156,0.554546981470366,0.7802327114235188,0.45861979797615343,0.7990951876290445,-0.22184060057042604,0.22117945961561142,0.6716143313529688,0.21795416278059493,-0.2121400630331571,0.4246303913437361,0.5291038352952891,0.15608994277598018,0.6923751874472104,0.5426011183709948,0.6341841803578196,0.47927638951519386,0.5175241599595082,0.6221620629522068,0.2996582336972989,-0.09738061726224428,0.08653546760985675,0.4697641314966521,0.49769005227034596,0.6021913804846383,0.5645234999883944,0.3721087150493933,-0.2806859598069306,0.6206262094042221,0.2782354417829844,0.3104656570731314,0.4408064281784869,0.23960848564020543,-0.3131736755677445,0.4797020635028333,0.3013903570311383,0.2468832887777973,0.6346112663687971
