,Rectus_R,Thal_MDl_R,Thal_AV_R,Cerebellum_9_L,Heschl_L,Cingulate_Mid_R,SN_pc_L,Temporal_Mid_R,Rectus_L,Cerebellum_Crus1_R,ACC_sup_L,Occipital_Inf_R,LC_L,SN_pc_R,Frontal_Med_Orb_R
Rectus_R,1.0,-0.33085307503284206,0.2647269515321048,-0.16010591930089849,0.1091974532781715,0.10923577595312466,0.5991417896594902,0.2184265489469804,0.5382895883595363,-0.26101919545047203,0.10009038203678461,-0.31077686315167685,0.5402212771692623,0.22229191567356965,0.4347980223503717
Thal_MDl_R,-0.33085307503284206,1.0,0.4515212963848708,0.30324312868421593,0.2709363671107132,0.2598456714006312,-0.22497971924838744,0.5271561925012299,0.06628011452274163,0.2778943852825879,0.5186703608559967,0.47728265650609975,-0.3639844642344808,-0.06934920205436723,-0.30116713978535764
Thal_AV_R,0.2647269515321048,0.4515212963848708,1.0,0.2942552684444441,0.15092169480086656,0.4191671117556606,0.4761134885679458,0.6095444539463387,0.20544771443964385,0.052047874456434835,0.5863223123815964,0.18905673690017066,0.20588168287850817,0.14164794520105667,0.05845911620729821
Cerebellum_9_L,-0.16010591930089849,0.30324312868421593,0.2942552684444441,1.0,-0.1389077423703883,0.08208481072794602,0.10645184390876734,0.44456837426058393,-0.16905593162974847,0.8376855164773078,0.33070934166517996,0.8347776879943413,-0.06630552711752871,-0.01972999043893866,-0.133957621135914
Heschl_L,0.1091974532781715,0.2709363671107132,0.15092169480086656,-0.1389077423703883,1.0,0.6150693469995542,-0.00892152108165702,0.21640842032592894,0.15871732447989398,-0.04538516136075057,0.47243486682837726,-0.1633417296736847,0.08171384440070706,0.5239176775051336,0.10407783959609423
Cingulate_Mid_R,0.10923577595312466,0.2598456714006312,0.4191671117556606,0.08208481072794602,0.6150693469995542,1.0,0.03006317987677561,0.33757503204768347,0.07317000773424023,0.047733597978576965,0.5586191302922535,-0.06873424965777733,0.053922107257901225,0.7230326760135025,0.05183108230647445
SN_pc_L,0.5991417896594902,-0.22497971924838744,0.4761134885679458,0.10645184390876734,-0.00892152108165702,0.03006317987677561,1.0,0.2929411518222164,0.319597633568423,-0.052395745112712264,0.15594321041079007,-0.10267280572557837,0.6509343459290589,0.10797898150734944,0.25114629262098925
Temporal_Mid_R,0.2184265489469804,0.5271561925012299,0.6095444539463387,0.44456837426058393,0.21640842032592894,0.33757503204768347,0.2929411518222164,1.0,0.1768222020013724,0.38588007502215826,0.5677171273653964,0.47232506677482805,0.13801600009091933,0.060487865805639765,-0.029336094404560375
Rectus_L,0.5382895883595363,0.06628011452274163,0.20544771443964385,-0.16905593162974847,0.15871732447989398,0.07317000773424023,0.319597633568423,0.1768222020013724,1.0,-0.19817543557837322,0.1749101080049169,-0.18539279010993787,0.20091196625129104,-0.006840606659894363,-0.007124169023496241
Cerebellum_Crus1_R,-0.26101919545047203,0.2778943852825879,0.052047874456434835,0.8376855164773078,-0.04538516136075057,0.047733597978576965,-0.052395745112712264,0.38588007502215826,-0.19817543557837322,1.0,0.30473249738857494,0.8494361881884629,-0.09934919853513977,0.035177954474209586,-0.3168107226659119
ACC_sup_L,0.10009038203678461,0.5186703608559967,0.5863223123815964,0.33070934166517996,0.47243486682837726,0.5586191302922535,0.15594321041079007,0.5677171273653964,0.1749101080049169,0.30473249738857494,1.0,0.21512347814230068,0.05460082331521581,0.3589009294358464,-0.31370978917579034
Occipital_Inf_R,-0.31077686315167685,0.47728265650609975,0.18905673690017066,0.8347776879943413,-0.1633417296736847,-0.06873424965777733,-0.10267280572557837,0.47232506677482805,-0.18539279010993787,0.8494361881884629,0.21512347814230068,1.0,-0.2662312654016498,-0.23887214700140613,-0.21179566933053726
LC_L,0.5402212771692623,-0.3639844642344808,0.20588168287850817,-0.06630552711752871,0.08171384440070706,0.053922107257901225,0.6509343459290589,0.13801600009091933,0.20091196625129104,-0.09934919853513977,0.05460082331521581,-0.2662312654016498,1.0,0.1742163951700131,0.18874623680666516
SN_pc_R,0.22229191567356965,-0.06934920205436723,0.14164794520105667,-0.01972999043893866,0.5239176775051336,0.7230326760135025,0.10797898150734944,0.060487865805639765,-0.006840606659894363,0.035177954474209586,0.3589009294358464,-0.23887214700140613,0.1742163951700131,1.0,0.11978628173589878
Frontal_Med_Orb_R,0.4347980223503717,-0.30116713978535764,0.05845911620729821,-0.133957621135914,0.10407783959609423,0.05183108230647445,0.25114629262098925,-0.029336094404560375,-0.007124169023496241,-0.3168107226659119,-0.31370978917579034,-0.21179566933053726,0.18874623680666516,0.11978628173589878,1.0
