,Vermis_10,Heschl_L,Cerebellum_7b_R,Frontal_Inf_Tri_L,Parietal_Inf_R,Putamen_R,Vermis_3,Cerebellum_3_R,Cerebellum_Crus1_R,LC_R,Frontal_Med_Orb_R,Frontal_Mid_2_R,Cerebellum_Crus1_L,Amygdala_L,Caudate_R,Thal_LGN_R,VTA_L,Vermis_1_2,Thal_PuM_R,Cerebellum_4_5_R,Cuneus_R,Cerebellum_Crus2_L,ACC_sub_R,Olfactory_R,Thal_PuL_L,Cerebellum_3_L,Thal_PuM_L,Vermis_9,VTA_R,Occipital_Mid_L,Precentral_R,Occipital_Inf_R,Thal_IL_R,Calcarine_L,Cerebellum_9_L,Parietal_Inf_L,OFCpost_L,Frontal_Inf_Tri_R,ACC_sub_L,Precuneus_L,N_Acc_L,Cingulate_Post_L,Vermis_8,Thal_PuL_R,Thal_IL_L,Raphe_D,Thal_MDl_L,Pallidum_R,OFCant_R,Parietal_Sup_R
Vermis_10,1.0,-0.051915205772824664,0.6621678480942208,0.5984985162704431,-0.23119230490193438,0.5494296202782837,0.5069931799631943,0.20671697210260362,0.5136718785495704,0.25930970504540507,-0.03895042933157053,0.3099344014295454,0.5100137022842529,0.36589135604596873,0.38825013509147327,0.4856822729343111,-0.14344134642558798,0.40813087898995926,0.42074648766007017,0.3921125183064208,-0.03626390027587248,0.2745567482853136,0.27606764845491477,0.7349574354879174,0.26121612460480753,0.3781335141256802,0.5446847780071112,0.7835336848920514,0.39923716624004135,-0.029120721599001788,0.0249206412286681,0.47324194027945615,0.36062262955310703,0.2601272420005537,0.7002687605492924,-0.2584050498417598,0.38991437446549915,0.5155058304406168,0.12154807657332246,-0.17440972180739645,0.6237175121740566,0.47443149087764525,0.5124450388094829,0.5035002470948524,0.2757534225967548,0.014604289252005756,0.13995778654193894,0.3556199377277354,-0.024989174530401947,-0.25540927986368644
Heschl_L,-0.051915205772824664,1.0,-0.17327722145616808,0.2729142153799188,0.19804383538144527,0.21726275365536535,0.4255445044440104,0.4997889490888907,-0.04538516136075057,0.3724266101283765,0.10407783959609423,0.4379177880768055,-0.07832785469457614,0.1804137523750756,0.20337330190002917,-0.14713170273782664,0.22189404845203714,0.02976511846821401,0.17019955456040975,0.5275895839390204,0.3343317906127384,-0.04863172291640031,-0.04780305072614804,-0.038546769071592754,0.2533139087104038,0.1970228163268203,0.14885164284932406,0.016746244771987974,0.3910284783834744,0.13725298564006436,0.5572591285115062,-0.1633417296736847,-0.25324186947670013,0.5097437977986544,-0.1389077423703883,0.23971983883677628,0.2041056113125133,0.23146057429026665,0.41716804766808563,0.44950641297803484,-0.007640086667500044,0.44452969948679627,-0.07024416338088728,0.3277792513433952,0.15116423233821816,0.46086708369547874,0.4473226972876897,0.14586716546706108,0.13572063905755932,0.2226815512864555
Cerebellum_7b_R,0.6621678480942208,-0.17327722145616808,1.0,0.4899967874500351,-0.3916350556685769,0.08654601097975563,0.22387097761195376,0.2688590246703182,0.8706340826812855,-0.32080331406041424,-0.26194540175092706,0.003948952598347941,0.826563513839304,0.029946396047322153,0.06900388394280313,0.47345506794944847,-0.10389527702755236,0.46935732800490776,-0.04213878960238325,0.23328935934920692,-0.2251943717887213,0.5367289533766502,0.01845699294196488,0.37181705100635154,-0.02049055384796682,0.43898042204558746,0.3351391200910388,0.7510409662086528,0.0903945567543872,-0.2178769193774604,-0.022544307760958487,0.8322066824356917,0.15161173262687427,0.28716489332210904,0.9190194506229197,-0.5032915985217361,0.056323482496026846,0.2627206869257079,-0.004202020677231703,-0.45178926529296753,0.26977205425103684,0.3551068534935225,0.6246451668047666,0.3433490128541783,0.03656485448896077,0.06161467647472521,0.02635809724909162,-0.10508731806429157,-0.3402235573738855,-0.4631553572696154
Frontal_Inf_Tri_L,0.5984985162704431,0.2729142153799188,0.4899967874500351,1.0,-0.23381674057203874,0.5966280822402302,0.5154230676093947,0.3502585594686763,0.4936389350970523,0.15860462735911093,-0.034665855325789786,0.5970634083525023,0.5568410208712232,0.40401053228010164,0.43664557613054034,0.2862377346998921,0.07656313947686566,0.20768421412347912,0.5099052067271802,0.48196258307235484,-0.0338046574323531,0.3980648292833933,0.1786285731668475,0.44979685907874495,0.3251984634303514,0.49104985106850246,0.3340656583331511,0.5055897975823116,0.34308319212293353,-0.16004787457990013,0.38588983975510505,0.3818963628681369,0.22048030314980782,0.4137507282753031,0.5925820580916424,-0.2785591431377181,0.3478704114300257,0.7619882997841058,0.2510440743875306,-0.13698323008399,0.5652641658782066,0.6364955180666491,0.31126490939718493,0.5859112722898338,0.33304647031021445,0.11752108126345774,0.25102982753103037,0.369246474740562,0.265071526986238,-0.24793344302470532
Parietal_Inf_R,-0.23119230490193438,0.19804383538144527,-0.3916350556685769,-0.23381674057203874,1.0,-0.16138178352001875,-0.3540286401523819,-0.13122576918000659,-0.5123533635402422,0.029925154386131223,0.25273990640629457,0.32754218493101583,-0.4451664620924371,-0.2451051871978112,0.2678869550420281,0.03906308335639436,0.3658177160018579,0.35523740311858604,0.012105416527961823,-0.3633218296199534,0.7047590167777303,-0.08248846732047262,0.1790485846963382,-0.01592445038237746,0.012429539632069919,-0.295013777728686,0.29748507791483525,-0.08438231606300897,-0.013146273521643966,0.7171063465571069,0.42127765442764176,-0.19389293390237167,-0.05258766433491335,0.047631272623342005,-0.30318196751649895,0.6874479293984864,0.1255488033451989,-0.13849792779113276,0.14146602053209564,0.7991026679206623,-0.19786601890310085,-0.14475337297694107,-0.35208907316179106,-0.38235213429737164,0.019274547574506806,0.21470942244734462,0.4206295083628489,-0.25261395463006736,-0.0905490315016487,0.5171944277890648
Putamen_R,0.5494296202782837,0.21726275365536535,0.08654601097975563,0.5966280822402302,-0.16138178352001875,1.0,0.48571480627010544,0.13702183608116142,0.07611959106779434,0.5474327236247282,0.28917016330621337,0.4749128333476369,0.10417333861472763,0.7099694613980285,0.6698841808544866,0.3623022331396731,-0.05505505781885684,0.021647040829245616,0.7838976029377639,0.46332033773598136,-0.03848663880208509,0.019118814802451103,0.4448340309656663,0.6098498959775505,0.5278080505644774,0.37449190747249617,0.4315723622812838,0.3162881352717505,0.3204805096583538,-0.038831174987551634,0.13948281695553874,0.01463532697410893,0.5377040187608071,0.16605957770854315,0.21797526343645954,-0.07340529632296736,0.5367776246043935,0.735808327912056,0.2390054926942718,0.01805245939609822,0.7908505881807047,0.4987346871274303,0.16413449086671664,0.571618146496128,0.7447087933237888,-0.0823298194672171,0.27360852858898654,0.8676343609279193,0.38611675606070484,-0.13085841580939436
Vermis_3,0.5069931799631943,0.4255445044440104,0.22387097761195376,0.5154230676093947,-0.3540286401523819,0.48571480627010544,1.0,0.5099946929543747,0.296102899945337,0.40897667844076974,-0.04619267061665817,0.391597318312337,0.36663638193193304,0.5015998626684476,0.16223316575746788,0.022231460935328583,-0.17179647379383492,-0.04399179280586462,0.4329206349853845,0.773271887753615,0.010594370752105096,0.033289033813327526,-0.049805421987045705,0.2815959497022621,0.37214946818844535,0.47498431418475157,0.1983658484561623,0.37270786940082107,0.631848273920627,-0.13181460752407104,0.2603011245737279,0.007962364286965251,0.07758577449966324,0.5840319124802354,0.2574787192843474,-0.2966789356171568,0.26556521387348986,0.3902123564658879,0.33062297663213275,-0.007982325673414385,0.46188851575915896,0.6491536305343031,0.3577888562848979,0.6237661062673489,0.18091758855188012,0.18990494293609506,0.05476251955143335,0.4669904560940499,0.3681864005959908,-0.17974536261389185
Cerebellum_3_R,0.20671697210260362,0.4997889490888907,0.2688590246703182,0.3502585594686763,-0.13122576918000659,0.13702183608116142,0.5099946929543747,1.0,0.36997833003564423,0.14943984726013781,0.09936992656266017,0.2648565713524645,0.3200351603062483,0.13729476657709627,0.07009183056372259,0.042886670874076015,0.212702215693949,0.3235498392170158,0.09545495392526143,0.7651701151331641,0.059823782842239305,0.15033105253087425,0.008957028736393579,0.07870977974279039,0.09562778248346841,0.6648366326571231,0.09613204438038402,0.4280801368706187,0.46406285663308444,0.004010481923703119,0.21898814550955426,0.2467881458723922,-0.14405733747774133,0.6100548438806463,0.3165277384303314,-0.024065230085221778,0.27061298507968395,0.21944809732976742,0.48338387301488067,0.07256808246148079,0.1748444777854569,0.535934957472315,0.1234135662544956,0.4042731724348626,0.07117692808040907,0.33389327763649834,0.1883230017256557,0.13442555364430767,-0.011047533950555,0.04223072479978406
Cerebellum_Crus1_R,0.5136718785495704,-0.04538516136075057,0.8706340826812855,0.4936389350970523,-0.5123533635402422,0.07611959106779434,0.296102899945337,0.36997833003564423,1.0,-0.2982858397730116,-0.3168107226659119,0.007055912923622702,0.9221775977730704,-0.025039690519574956,0.017727475177065806,0.4079401676186889,-0.013995853370456966,0.3371982552876036,-0.09499660062815037,0.3738383510174977,-0.3493480357828719,0.5818684754361967,-0.008723815699737757,0.24178883087573724,-0.02101441242915505,0.5110997221438855,0.21169092240425696,0.6340845336125293,0.16151416968774207,-0.350392803095659,0.01918513904304751,0.8494361881884629,0.030421869045609798,0.40420568043345256,0.8376855164773078,-0.6130399598579676,-0.03705857941665734,0.28088979068620595,0.07753693704198653,-0.5018519425263888,0.1789236786556708,0.43740449741480425,0.547112545780048,0.48363708581136466,-0.012003373343334978,0.13803527369805152,0.03510784655510052,-0.10585015967348463,-0.2857434452425379,-0.5676295703861458
LC_R,0.25930970504540507,0.3724266101283765,-0.32080331406041424,0.15860462735911093,0.029925154386131223,0.5474327236247282,0.40897667844076974,0.14943984726013781,-0.2982858397730116,1.0,0.1854856474612682,0.2432405548429555,-0.3462336901815769,0.4158896853142696,0.23809831262788123,-0.07523496403472209,-0.13102040823844952,-0.22335645061996673,0.43930063107767464,0.5097417510642894,0.002265780780448085,-0.24550008236027954,0.1212261996411476,0.23202596026381797,0.42202875449965527,0.00406749777418859,0.12990896902369203,-0.05435345574071326,0.35593581733992374,-0.0846900245990607,0.1371525702933247,-0.40019774110003803,0.0535970477701158,-0.06252586451667927,-0.2276561295646294,0.1980356418600557,0.46121602460933286,0.2112358693034304,0.1998829047898247,0.19665836475628176,0.34182042400750334,0.2555782328242106,-0.18577013978975412,0.3864716276058097,0.34290248694940345,0.10013501903206962,0.22614226375978283,0.6234839949801035,0.3613355049038816,0.13605551832753898
