,Thal_PuI_R,Frontal_Inf_Tri_R,Parietal_Inf_L,Cerebellum_Crus2_L,Supp_Motor_Area_R,Thal_MGN_L,Occipital_Mid_L,Cuneus_L,Rolandic_Oper_R,Thal_PuA_R,Amygdala_L,Frontal_Inf_Tri_L,Precentral_L,Olfactory_L,Paracentral_Lobule_L,Cerebellum_8_L,Fusiform_L,Precuneus_L,Pallidum_L,OFClat_L,Cerebellum_6_R,Temporal_Pole_Mid_L,SN_pr_L,Temporal_Pole_Sup_L,ParaHippocampal_L,Temporal_Pole_Sup_R,SN_pc_R,Caudate_R,Precentral_R,Thal_IL_R,OFCmed_R,Frontal_Inf_Orb_2_L,Vermis_6,Angular_L,Thal_PuI_L,Thal_AV_L,Thal_PuM_R,Cingulate_Post_R,Temporal_Pole_Mid_R,Thal_LP_L,Temporal_Sup_R,SupraMarginal_L,Lingual_R,OFClat_R,Heschl_L,Thal_MGN_R,Occipital_Mid_R,Precuneus_R,Olfactory_R,Supp_Motor_Area_L,Rectus_R,Amygdala_R,Paracentral_Lobule_R,ACC_sub_L,Frontal_Mid_2_L,Cerebellum_4_5_R,OFCant_R,Thal_VA_R,Postcentral_R,Rectus_L,Thal_LGN_L,SupraMarginal_R,Temporal_Sup_L,Vermis_4_5,VTA_R,Cerebellum_8_R,Parietal_Sup_L,Fusiform_R,Pallidum_R,Cerebellum_3_L
Thal_PuI_R,1.0,0.2698598494754475,0.16204486916686708,-0.19672801501345863,0.24358586702669716,-0.12662014193149243,-0.09802984491859827,0.11207317084476001,0.4007522228816207,0.403776515186407,0.4838056374791354,0.2001847589050737,0.3007014032004491,0.5215214089627886,0.17544311147373184,-0.32081812308175034,-0.02191274798940653,0.14477650831550606,0.30235145769362504,0.407966177462188,-0.22565865076887212,-0.42809562687864505,0.2798788830056717,0.17332535855641995,0.33427765544488147,0.32600653248449707,0.4209552817768685,0.23938052385603145,0.20572468639977848,0.1451298994261086,0.39085256530172746,0.3461318473821958,-0.31229640000926356,-0.169966043831119,-0.2749111401910265,0.14148480550404235,0.5322733197396068,0.2004347429461136,-0.32729257787970323,0.11931733292505048,0.2952770219038436,0.07910945922384091,-0.17534118181096048,0.57861980655044,0.35984609361170394,0.6427401945234829,-0.5583498583464105,0.17239673324912627,0.14522443756632994,0.23389772882209584,0.41967676839439283,0.5877894006751984,0.05364859952709703,0.17403483470148318,0.1879185957112408,0.375441964952949,0.6004572972353163,0.234793133053988,0.1566580573839939,0.34113698603009707,0.42730377054451096,0.08865503997263616,0.12295719136698677,0.29116316785208557,0.25328991284618124,-0.37434529374469167,-0.3391110873444532,0.061778587094059784,0.6547787215152948,0.07300410782559354
Frontal_Inf_Tri_R,0.2698598494754475,1.0,-0.17505799100191258,0.16139491533204336,0.19938590409089493,0.5363202699740177,-0.053361914997247926,0.10170054462948677,0.7675189760496802,0.48002615838947116,0.4345597666177485,0.7619882997841058,0.12932733745136218,0.5068920968444071,-0.07056272359773634,0.3558591603663302,0.5943824560414434,0.002032095233903093,0.6731401871218529,0.16992733487205522,0.4835454634376659,0.1539330748198835,0.4721558336641133,0.5550154057521893,0.5222974955734092,0.5747586829228873,0.2376374771991217,0.6908070290481472,0.2695447500365409,0.49230382744314655,0.3229779612355651,0.5623580680492416,0.3109987599247851,-0.11270616466325627,0.4057318200345732,0.42844089699051885,0.6268836739315242,0.4742290321451854,0.2071897977303533,0.33951059728946986,0.7240291540932804,0.030339707016805693,0.42658255005721474,0.42644285831890527,0.23146057429026665,0.3631267468732016,0.23871927871623005,0.16298635516342816,0.5609965256548729,0.1346790503693661,0.32245233906916604,0.4155183921871717,-0.13243332310609401,0.2025095858584195,0.5203372357860783,0.3835961339109235,0.24338190547643113,0.5627315014273996,0.23858371857236718,0.2074603436042416,0.48074460738362257,0.1624741131098036,0.5298445641911985,0.44875485699653506,0.2538131768122858,0.32107504671061643,0.2556345259556174,0.5827973251663893,0.5392495252950281,0.39143131741365095
Parietal_Inf_L,0.16204486916686708,-0.17505799100191258,1.0,-0.3703386104934384,0.1815175180182795,-0.12248254704229079,0.6875583777203362,0.7212829743513908,-0.058144149562317476,0.045667048238877496,-0.02625026344868271,-0.2785591431377181,0.5563902416490363,-0.06940779352230236,0.7303854190232649,-0.523708871771645,-0.43570033877901415,0.7556321773564708,-0.0719275894656803,0.05236105359207101,-0.5053703112255494,-0.35080497354888024,-0.22775030784932396,-0.28612500529110735,-0.41652921650353636,-0.0980119306373542,-0.07832169170909106,0.1839320370019578,0.15657276017960262,-0.02421061940816951,0.14058990310421474,-0.0197571671374681,-0.4585504911789925,0.5111865227780374,-0.06461115285136022,0.2220600729406357,0.04148215137219186,0.020792927166461122,-0.30932562786589657,0.28802465779605085,0.08116014480920604,0.775201338241533,-0.09430864647642577,-0.0008473904150520628,0.23971983883677628,0.1803038666666962,-0.5208978112226278,0.38140951581532406,-0.014268990005417917,0.3156281174851672,0.12474144249008592,-0.04333177284723543,0.37033029958060104,0.025603178080909957,-0.10774964967442566,-0.20430809945251474,-0.11213682413781392,0.25111249793888524,0.29388681866370997,0.05899974015430259,0.3695685082260157,0.3516044781695431,0.17633689288617482,0.04934100893815224,0.03029630353920577,-0.547955646323658,-0.12282225347930538,-0.1901726738952738,-0.07427109132227601,-0.27554669963394235
Cerebellum_Crus2_L,-0.19672801501345863,0.16139491533204336,-0.3703386104934384,1.0,-0.1442555403298365,0.327239177659284,-0.18813753435772312,-0.3056735764656315,0.043511877103002417,-0.16339640606481703,-0.25166539643699054,0.3980648292833933,-0.0283243100630561,-0.048850388415781605,-0.14094555844847356,0.41729862060579265,0.33649722825437295,-0.3031101566914109,0.1116686456536932,-0.29972008890706753,0.38821493525776923,0.5633352541211022,-0.1372143717970359,0.12116738869582913,0.1563523341166263,0.07505712858582397,-0.07956763039372068,0.10684143143043809,0.18073120460118766,-0.024061735734841497,-0.03743600571663899,-0.19205979247714214,0.5503374917767644,-0.09876837534324114,0.11143106091098053,-0.005688465401978191,-0.010072999493088828,-0.008285690173473186,0.3674200726704455,-0.0017233552607550037,0.10455248009889496,-0.15714771735729327,0.3394840132732132,-0.1593717889472061,-0.04863172291640031,-0.08891544373844153,0.5905558605555339,-0.07341795733005683,0.08082625870650954,-0.04124569142989379,-0.1830883377594638,0.005330475322389968,-0.17749059822754337,0.088472135441156,0.25090516334333485,0.10173487173610232,-0.11143037406158562,0.06973644443840292,0.04014250550804777,-0.07228713946462428,-0.04052515315281515,-0.02047005800450576,0.1892939238775249,0.23687523522356377,0.04370857150367485,0.5279844067387838,0.30942900674674767,0.1992964774810258,-0.15066640611598572,0.22212297280294022
Supp_Motor_Area_R,0.24358586702669716,0.19938590409089493,0.1815175180182795,-0.1442555403298365,1.0,-0.14962528322647747,0.24257990667612286,0.3274291764621712,0.3093969342362842,0.17679250675815958,0.3261005233658373,0.34605654943777414,0.5963485466481672,0.2771991356178297,0.5013700625654023,0.11251070643281359,0.2373613007138518,0.43237587791453547,0.2516775185995322,0.36730940619602126,0.20536672684077567,-0.18972276631397048,-0.043831958154407685,0.33505409377493917,0.23488442573545482,0.410073237728337,0.7833898280596263,0.0640909363259107,0.6091898141215432,-0.10292158008743746,0.21162600637296963,0.4525907263772058,-0.10690939296590089,0.4489510618602365,-0.1796571785390575,0.0743190073303049,0.2577277398312445,0.7707529548072526,-0.28973426464605484,0.1749958329207939,0.29191893586288337,0.4829665636272587,0.21730654616020964,0.35504992004148056,0.5764960234192155,0.3437574752637399,-0.09728707275400712,0.7658346308306755,0.11927630949281813,0.8441367994686193,0.1310013774032354,0.5062682251669128,0.41410222579508854,0.23041086771861063,0.5250358895424332,0.43275256207126117,0.2851545734366203,0.15728399409190633,0.48411726343540107,0.02828519342466519,0.07811459272109225,0.46362568744896604,0.4718489064830023,0.5033801277614288,0.6648807301896039,-0.017502563421347577,-0.20039683657159812,0.108769428480276,0.05038107730960635,0.2914434917013651
Thal_MGN_L,-0.12662014193149243,0.5363202699740177,-0.12248254704229079,0.327239177659284,-0.14962528322647747,1.0,0.23099299526688558,0.2112887887036927,0.4949238403419991,0.17918352879183488,0.026986819067407127,0.35595235211386367,-0.15732198886824214,0.13516671394301985,-0.01174251897899463,0.30518159395475486,0.4963272961446937,0.07568982831395601,0.5719624204335902,-0.31393561338252035,0.48720107922822437,0.3508817613083141,0.3514141981238018,0.3488213430446545,0.43644191282931794,0.47932191359282955,-0.21535499894822932,0.7587757436987239,0.07319307666041346,0.5331581815771812,0.09564538269483562,0.07483010067203309,0.44714544598357386,0.06633134459642089,0.7017386869131592,0.5852032306346886,0.3513704248240531,0.0913419761596344,0.36913398304041645,0.45781154275224095,0.6500806924563707,-0.016048488356302248,0.5076540061198008,-0.02643110260529922,-0.02791754444693558,-0.1236747945266693,0.3927979161762584,-0.026001635407190277,0.5577846697927746,-0.06663241520891318,0.05748379768498185,0.12145860572478416,-0.2127061222980423,0.07843873238264927,0.03754111223932829,0.16217345295468635,-0.226222807740485,0.6110720588851312,0.1455628926695045,0.10256154756797381,0.48250176249440296,0.13752384410480978,0.4029825323587348,0.25017142146514504,0.026827900908715074,0.3919428649770919,0.31099547671017586,0.652227844554753,0.21931776729351887,0.25752736137086557
Occipital_Mid_L,-0.09802984491859827,-0.053361914997247926,0.6875583777203362,-0.18813753435772312,0.24257990667612286,0.23099299526688558,1.0,0.8051489149662531,0.03545037885404477,0.12654521896608065,-0.02065691454554269,-0.16004787457990013,0.23443158882153653,-0.037405579759421895,0.6194391755282941,-0.21675235651538152,-0.05475950887496782,0.8077219009706036,0.1296459478614214,-0.10248115692678479,-0.13802220451933764,-0.08087688981444098,-0.11832792117543021,-0.037152774976762254,-0.17421765503041153,0.09029160158416578,-0.02020526037732301,0.31301053035049764,0.18036048992877488,0.12144237122655073,0.09200504813998868,0.07466188972955895,-0.07359642484239765,0.6979895602938142,0.31114794391040623,0.2924869375626631,0.09396133453507649,0.19022005902020234,-0.24123289785634913,0.5016497424834359,0.21616968247517324,0.662011183709344,0.25330425756784763,-0.041429960776742374,0.13725298564006436,-0.03002073409521664,-0.2272110524250226,0.5063550672082272,0.16117667233122476,0.2520881258646737,0.059585519924275514,-0.010011981978858876,0.355125620549413,0.150732605672935,-0.12270483298719907,-0.22027348097227317,-0.16288978895324624,0.2613518658099183,0.36109749447794215,-0.01808166452268781,0.2741162446681459,0.4380923072757264,0.3297307477005128,0.19559488592115262,0.11718671486157106,-0.25847249155482316,-0.012885652603070428,0.1323135513965876,-0.17652910628182236,-0.06650043013383147
Cuneus_L,0.11207317084476001,0.10170054462948677,0.7212829743513908,-0.3056735764656315,0.3274291764621712,0.2112887887036927,0.8051489149662531,1.0,0.24609876971586486,0.1113114555717949,-0.01644179395198341,-0.14876852425946122,0.284516810823187,-0.017119964510096716,0.738319152336123,-0.38098677909808704,-0.013028386276882437,0.9295896691792269,0.06989744160594126,0.11844454703442965,-0.20854999632068835,-0.28211480620103047,-0.07804050195989887,0.00798351292107128,-0.07125062586028362,0.1084657583333892,0.12092512578295157,0.4295813684190494,0.3496673387968891,0.08000628000479539,0.1632858021887428,0.1514050628163014,-0.2611763205616194,0.6167730606255469,0.12374404686276638,0.39579111912733544,0.16072347833772394,0.34885699794514513,-0.4074352678531207,0.49435178189927464,0.3970606157855121,0.707839971162395,0.15265635066778313,0.03717657424372755,0.4062923808303702,0.13209172149637585,-0.3782930292034141,0.6459436978906327,0.08558730616885517,0.4128644832483908,0.14723049344796532,0.14329707500246017,0.3292822509824365,0.20974398188546037,-0.16518422674455774,-0.08879601575855199,-0.034114332702801356,0.41794928155223104,0.5762442630785197,0.06151490313639027,0.4197865383104383,0.6555829881165306,0.3671491420669271,0.1693060808054935,0.1788717459843032,-0.4526337256896261,-0.17965160272142508,0.10864394114850949,-0.04108019198194144,-0.1569967860814779
Rolandic_Oper_R,0.4007522228816207,0.7675189760496802,-0.058144149562317476,0.043511877103002417,0.3093969342362842,0.4949238403419991,0.03545037885404477,0.24609876971586486,1.0,0.5551833786781087,0.45495733600345867,0.5531189415686317,0.24045336348504728,0.5324855155705159,0.0821647956200736,0.18995153462723527,0.5228408174496976,0.1091544974341087,0.6526993138799744,0.19588144726205473,0.43648180208258036,-0.007293325768601631,0.5350919261573973,0.5675045072400126,0.520712912134755,0.648850695704491,0.3602166072592867,0.7288468679074089,0.3778275502117396,0.5294418703758693,0.4507116369500139,0.4773536260888467,0.22893728209498054,-0.12668048991966432,0.3907002060147151,0.384558958961929,0.7248787956591581,0.4792158109593009,0.05581578142680291,0.39906646867285533,0.803234530938709,0.09832103777122357,0.4025379279129397,0.39262851242051816,0.4052816062854206,0.45552239966157454,-0.037421405522301915,0.22873286386570763,0.5069084933116437,0.2383035927416043,0.5037252427207828,0.5225686648413487,-0.12212352771713848,0.17561208231571657,0.43015690155774317,0.4116679281055176,0.23873872596593795,0.551704407386927,0.3378461800339532,0.172440403569257,0.4876722314833282,0.23600349353673283,0.5731382882474109,0.5161058573380417,0.24618921147569017,0.14270887740124533,0.04106405020916808,0.5568320646373957,0.5497441169213793,0.42839546283737007
Thal_PuA_R,0.403776515186407,0.48002615838947116,0.045667048238877496,-0.16339640606481703,0.17679250675815958,0.17918352879183488,0.12654521896608065,0.1113114555717949,0.5551833786781087,1.0,0.5660056848870209,0.3123286655707243,0.17825651001461565,0.5729177643426675,0.02032765548178975,0.07824507835316194,0.19593508080144706,0.05880212602496902,0.6258640057399587,0.27643677365489816,0.13192628957355515,-0.17201238582129644,0.6359639395361527,0.3708520339615425,0.300942447537802,0.34942082941905095,0.2103815572042164,0.4854196609272151,0.12525492729580856,0.6839783296574443,0.37034790030702536,0.4954508069840415,0.14702743105095664,-0.23809093530617764,0.47556887020698957,0.15206870828386312,0.8030443392466425,0.21576488824973925,-0.08564471905533962,0.5009591074347993,0.33381313612652597,-0.02358633475123267,0.24156483343505336,0.5563842163879392,-0.011784095078363286,0.5542696289036347,-0.24268239720258283,0.02862257097545056,0.4492279420160264,0.04447463981028072,0.5129994333395391,0.3065155984506467,-0.07827142897255715,-0.12345569063298283,0.28906010393056564,0.11252145680013673,0.3893446364571245,0.29712092368617965,0.0479863226193579,0.2035412451203111,0.33681453532958505,-0.1382656071398372,0.29198312586350333,0.2794666453681344,-0.012655599209430882,-0.007125751775233723,0.116551563167116,0.3021496015654952,0.5712624878121605,0.3511810818017431
