,Vermis_10,Vermis_9,Temporal_Mid_L,SN_pc_L,Insula_L,Thal_MGN_L,Raphe_D,SN_pc_R,Thal_VPL_L,N_Acc_L,Cerebellum_4_5_R,Parietal_Inf_L,Temporal_Inf_L,Cerebellum_Crus1_L,Cingulate_Post_R,Cerebellum_10_L,Rolandic_Oper_L,Precentral_R,Cerebellum_3_R,Cerebellum_10_R,Calcarine_L,Postcentral_R,SN_pr_R,Hippocampus_L,Vermis_3,Insula_R,Parietal_Sup_R,Precuneus_L,ACC_sup_L,Thal_LGN_L,Pallidum_L,Thal_VL_R,Temporal_Pole_Sup_R,Supp_Motor_Area_L,ACC_sub_R,Postcentral_L,Vermis_8,Fusiform_L,Olfactory_L,Thal_IL_L,Cingulate_Post_L,LC_R,Cerebellum_9_R,Paracentral_Lobule_R,ParaHippocampal_R,Cuneus_R,Putamen_L,Putamen_R,Cerebellum_6_L,Thal_PuL_R,LC_L,Rolandic_Oper_R,Paracentral_Lobule_L,Temporal_Pole_Mid_L,Precuneus_R,Caudate_L,Cingulate_Mid_L,OFClat_R,ACC_sub_L,Occipital_Mid_L,Olfactory_R,Temporal_Inf_R,ACC_sup_R,Thal_PuM_R,OFCmed_R,Thal_VPL_R,Thal_PuA_L,Precentral_L,Thal_PuM_L,Vermis_4_5,OFClat_L,OFCpost_L,Thal_MGN_R,Rectus_R,Amygdala_L
Vermis_10,1.0,0.7835336848920514,0.37725165375172565,0.3298314935564628,0.38520760788147096,0.49393977442596937,0.014604289252005756,0.11442574947099851,0.20895800155553235,0.6237175121740566,0.3921125183064208,-0.2584050498417598,0.40401701703661336,0.5100137022842529,0.22857842433597103,0.7898188910364902,0.442809203421147,0.0249206412286681,0.20671697210260362,0.7364038504782563,0.2601272420005537,-0.12269919879684359,0.32276794255230007,0.4142936532433965,0.5069931799631943,0.45771683321331746,-0.25540927986368644,-0.17440972180739645,0.3581325379331002,0.13138591969163158,0.6664923899229038,0.3094765316935548,0.5109621686228658,0.05317201675518246,0.27606764845491477,-0.12876010309799835,0.5124450388094829,0.5289436878375023,0.4786683164205359,0.2757534225967548,0.47443149087764525,0.25930970504540507,0.8024046853359841,-0.07776930223377077,0.5793546756890166,-0.03626390027587248,0.4330485260637086,0.5494296202782837,0.511587252772913,0.5035002470948524,0.1355849980265063,0.35480309987528263,-0.15457746358910032,0.39094447517634295,-0.004063144871540412,0.5517067838428436,0.22723799477285891,0.2676106151686734,0.12154807657332246,-0.029120721599001788,0.7349574354879174,0.6539203787980732,0.41298449431638656,0.42074648766007017,0.12635648756920528,0.43852169396128576,0.19561687270934194,0.05373073689021767,0.5446847780071112,0.43401911558051465,-0.1807144988909508,0.38991437446549915,0.02625558958437448,0.05502394911924445,0.36589135604596873
Vermis_9,0.7835336848920514,1.0,0.6190007603612814,0.16059812704120488,0.4001267352838763,0.48431595710084424,0.20533268805929356,0.1147369557775983,0.24410535898160132,0.49713602939742907,0.33109186185151773,-0.18895074248274038,0.48578995092958904,0.6535047539406017,0.39463435244987805,0.6553594034596322,0.3475500456120897,0.13469429355362683,0.4280801368706187,0.6281841216733289,0.4580917350728582,0.0316699176364232,0.2853596237951332,0.304791749946642,0.37270786940082107,0.407240160531164,-0.1559420828996499,-0.06328466019732802,0.37092484539409987,0.09693349496845573,0.5955209357703626,0.3890932124058035,0.471435134105047,0.0689263294521323,0.3432503063355127,-0.0584300288396945,0.43252480189136333,0.640639557906823,0.36461848173404626,0.209118567408353,0.5131748128284379,-0.05435345574071326,0.8398150635875695,0.005461841956166706,0.529834480799716,-0.034947556495509326,0.3857248344371188,0.3162881352717505,0.6565935135345146,0.361362256526044,0.02452910715625566,0.2838471433413656,-0.11428882980062113,0.7009224715166893,0.14940011025498418,0.47384768999481175,0.32429759943717706,0.01806592446211879,0.2804517878649175,0.13924028313627873,0.6260962550347318,0.6228211681104006,0.49391675062274293,0.25021348355446055,-0.004508701969216801,0.5197949646253579,0.3077129626634625,0.09045086639465427,0.5582431428293656,0.5685158326468719,-0.36885776121767805,0.2800172210102126,-0.10718092186465226,-0.11229235782801462,0.225397621202321
Temporal_Mid_L,0.37725165375172565,0.6190007603612814,1.0,0.0785757366077983,0.5311666960993152,0.46756133570608704,0.2944295304928378,0.2299833412048144,0.27398974941658993,0.2777599187769453,0.26520664520867676,-0.23244956395268238,0.7435580089135779,0.6085923327319491,0.5441720510989404,0.30175775262262367,0.5555704757687555,0.4409459107900879,0.3482562562582857,0.2954948015172722,0.6231222307516753,0.43095442475779017,0.319209514003695,0.2805531524109676,0.3506692611095331,0.5050736975211992,-0.16543941941129234,0.13563469279085158,0.4949267821935542,0.1582940403702623,0.41637770288842696,0.44955255830643215,0.4920039634458594,0.25208711064491257,0.1911712552896904,0.010998688694014477,0.4395685200928887,0.6964600709859733,0.23616831827280318,0.2072244995095712,0.5479847764471975,-0.16936958868783467,0.5082690068046556,0.13205508773149507,0.382713922754101,0.2250975983289941,0.44826498974819656,0.18768874317611178,0.6434228225008122,0.33627741058232213,-0.0412968940588852,0.43068430695700527,0.06628110109490981,0.48980518407473,0.3331446605055857,0.4176503252387561,0.5152015263565792,0.10435727139289769,0.271294560016652,0.2152586760834837,0.3592330762022968,0.49362293591923073,0.4889433612418991,0.29328870637302334,0.1470483413649132,0.5204649467724316,0.3306840350935173,0.09977481896190199,0.49999153113531014,0.5356398039911439,0.01582922561306851,0.3437702501063509,-0.05812231776020095,0.06784668581510783,0.11135718607921828
SN_pc_L,0.3298314935564628,0.16059812704120488,0.0785757366077983,1.0,0.42825862963646577,0.24657408479735418,-0.3988008541877139,0.10797898150734944,0.3424711657536198,0.6868535365235636,0.2665775681314982,-0.04823491816671148,0.10873551800751834,-0.031525309242253746,0.09888868491328755,0.5504179525244725,0.42405880981992006,-0.09348987132529193,-0.021017070619359,0.5893666843507747,-0.040966419078260256,-0.11380712379169529,0.5784947761734744,0.5425075578141388,0.30878716402574385,0.4885651360721811,-0.08659882654193357,-0.0633651502187129,0.15594321041079007,0.4189390085227868,0.6204806096157639,0.16408271089970555,0.4448417032179269,-0.11125540619912275,0.42962651605722807,-0.055339167932644685,0.30914260303954594,0.30660194197646,0.6873362754918709,0.6581600539497208,0.24721749241033614,0.4038457306092479,0.24154066824666756,-0.12810356724333627,0.6106480696853979,-0.07786189223813572,0.6400387172408369,0.6660463338306258,0.19788660204223915,0.24653206212223808,0.6509343459290589,0.5176912947890184,-0.18485767553831678,-0.18401542584208527,-0.1821257756990796,0.47148707057476197,0.09984047510306446,0.5081837289479244,-0.09624368708503517,-0.033062638330459033,0.5134816704269195,0.41625919582877813,0.18457604218212614,0.664813065241745,0.46504430325820434,0.251302923884748,0.19193960882933442,-0.019065079659642666,0.16270154149624663,0.2265498519631208,0.21458174638526867,0.47058199957068,0.4131662054327664,0.5991417896594902,0.6931468976758398
Insula_L,0.38520760788147096,0.4001267352838763,0.5311666960993152,0.42825862963646577,1.0,0.49272042856363835,0.1972637868754693,0.31223568105946664,0.6365363317240625,0.49388144866518513,0.5042697857275419,0.1021420196468431,0.31058880098957514,0.15234155774802918,0.5009688281608323,0.5410274094350427,0.733538502833916,0.45718709214689557,0.36051386038415717,0.5569526401353682,0.3618853893215409,0.42121015719711813,0.2946815553980957,0.699846154520365,0.4335757553963209,0.8571068828163753,-0.007700856683410517,0.23737884463089426,0.6388855557352568,0.6566313588008664,0.6573854548278428,0.5720426414636556,0.7633151152597039,0.41237747601366515,0.3880738769929922,0.34611721721296945,0.10490681891076169,0.5020569706292033,0.5015032296838029,0.6444822651437353,0.5881206602713218,0.39606374016845775,0.30756206574956113,0.13009126311786526,0.6528026596888216,0.19466977619025774,0.8521382522749485,0.6599040907153533,0.27890053281133464,0.5029474140142203,0.2630673764016561,0.7109641993100543,0.2241735089505306,0.0475275084571285,0.29558419381010115,0.5985758369006368,0.5587496879350504,0.3832188195327921,0.21624108711301773,0.153989843997472,0.5129439480632627,0.4493465885730541,0.5760102908045621,0.6669200938970941,0.5395888045396724,0.4858156855854776,0.49806287724102377,0.44283686264201605,0.49261405686383264,0.5722854059186708,0.14550716119741366,0.6977196491985165,0.35373548076866107,0.40963089489240573,0.5112307260338861
Thal_MGN_L,0.49393977442596937,0.48431595710084424,0.46756133570608704,0.24657408479735418,0.49272042856363835,1.0,0.12462526563515576,-0.21535499894822932,0.5267001751499343,0.31351983891068247,0.16217345295468635,-0.12248254704229079,0.3420460969873605,0.34423776736808137,0.0913419761596344,0.3587674963035618,0.3840163794852444,0.07319307666041346,0.0734619954025205,0.36085079393385516,0.2978751251155119,0.1455628926695045,0.1726512059634308,0.6649318267071989,0.08645588750347734,0.656037910782392,-0.23146974703265052,0.07568982831395601,0.33299769205574997,0.48250176249440296,0.5719624204335902,0.7763202907616312,0.47932191359282955,-0.06663241520891318,0.49404193856631085,-0.12674931819641766,0.32299696717419607,0.4963272961446937,0.13516671394301985,0.6065439871402064,0.3668124996839269,0.018184933381969394,0.47584756362326946,-0.2127061222980423,0.5634199094141381,0.17276628197952354,0.5255076787344636,0.46848056513034625,0.42533659301175053,0.403427394088207,-0.09302386316560278,0.4949238403419991,-0.01174251897899463,0.3508817613083141,-0.026001635407190277,0.46902742936292463,0.1221627323082513,-0.02643110260529922,0.07843873238264927,0.23099299526688558,0.5577846697927746,0.5458820515317415,0.22394086328656318,0.3513704248240531,0.09564538269483562,0.7655153036815135,0.5723233385373322,-0.15732198886824214,0.7261764560152735,0.25017142146514504,-0.31393561338252035,0.40712613088759375,-0.1236747945266693,0.05748379768498185,0.026986819067407127
Raphe_D,0.014604289252005756,0.20533268805929356,0.2944295304928378,-0.3988008541877139,0.1972637868754693,0.12462526563515576,1.0,0.17525562869711694,0.09175267151384094,-0.29912706684475676,0.23777177605810787,0.09334252340287257,0.13714733877856172,0.07517590167145488,0.3127675656365292,-0.07241212488760637,0.008992123587978618,0.29269032403489753,0.33389327763649834,-0.17462282067283694,0.3761153404068966,0.3754106764250382,-0.5184567506881788,0.1644123746446744,0.18990494293609506,0.08001777524450407,0.058465445704746474,0.28734539940749015,0.2685533418319319,0.12267051468402165,-0.07834226423667774,0.12868183624679622,0.12290065005626781,0.3346299207546242,-0.27200480889364453,0.18801103707166444,-0.08264436577131738,0.13236953462655493,-0.17501800293373898,-0.10110338283509017,0.12280307671986113,0.10013501903206962,-0.033337492445578404,0.2604842839343523,-0.07891887651375867,0.2460258469362197,0.03624325352784388,-0.0823298194672171,0.024240497945212436,0.16372837012954564,-0.32698490990548673,0.014291060947826601,0.2951578147448136,0.06323629722186866,0.38296579838121125,0.0398598779903569,0.27053124434625864,-0.2067229472606547,0.40649200017621884,0.15293610593914883,-0.087290491181842,0.044262172204925995,0.3639494062507726,-0.2008148360147385,-0.10565239209042483,-0.0619158886965672,0.08238857999959127,0.14012602326132284,0.3068182661374053,0.22133637956441063,-0.06425672948473882,0.10485596641145073,-0.20256191773200108,-0.28909930733036704,-0.18481269409271747
SN_pc_R,0.11442574947099851,0.1147369557775983,0.2299833412048144,0.10797898150734944,0.31223568105946664,-0.21535499894822932,0.17525562869711694,1.0,-0.019710287459741717,0.3047783873146406,0.5742430046194218,-0.07832169170909106,0.37949829976696,0.16830137779865614,0.746803393798851,0.06128693571062002,0.39080796379816873,0.35504348820610687,0.5192577691827801,0.02879081498603819,0.5622259716819628,0.2204202651168534,0.22939275436444992,0.08281529749449654,0.7764266129323005,0.24434589528806394,0.002464883097037385,0.18712129887974926,0.3589009294358464,0.09464760531504297,0.2415078201339376,-0.19790291712324704,0.43650129987291914,0.5987027975027747,-0.1514742886396927,0.11836022804851584,0.04617414997618966,0.3465447974549827,0.478167437779932,-0.031898850049109265,0.4838208417764472,0.2970115748781686,-0.008709641741744075,0.2096251544823802,0.25822604378093317,0.11882186972577528,0.3059865662028611,0.29705298207285763,0.25088301290460324,0.37425728153141347,0.1742163951700131,0.3602166072592867,0.2115470679318457,-0.1994725738129789,0.5924001267493954,0.31789327488562225,0.5938922725797569,0.48730684389364054,0.4147538157644884,-0.02020526037732301,-0.036093230443007024,0.09207463312742133,0.44420427964502374,0.3387769906225308,0.20498963550237476,-0.26091539484333665,-0.18750215930629513,0.3117338395066266,-0.05885032770744644,0.546171893188213,0.4718403782982724,0.08342525446227306,0.5077916711427432,0.22229191567356965,0.38009348949024274
Thal_VPL_L,0.20895800155553235,0.24410535898160132,0.27398974941658993,0.3424711657536198,0.6365363317240625,0.5267001751499343,0.09175267151384094,-0.019710287459741717,1.0,0.372183043706582,0.12204967845446267,0.3932749902875419,-0.06551389618284374,-0.12957447360993524,0.26101338394689355,0.3643993925167623,0.29287973792589955,0.31129862218569615,0.07481618082783076,0.32252131872096124,0.18518596459148962,0.4062888602032009,0.12741481578830408,0.7082319449496841,0.05503792202052593,0.7131068833681101,0.20241293991046239,0.4199598766142821,0.4616608949165847,0.8538173587013493,0.5327750672035089,0.8035292978040512,0.41133615966723536,0.12573421393077264,0.40828588953957673,0.44595937399854324,-0.02267995305921815,0.24248093033101514,0.25021361804510955,0.8105797898449918,0.2914457726602421,0.29260424818684067,0.06659999370856408,0.1422637133373053,0.3699828205819917,0.38778082940129616,0.6402886020225127,0.5690235780195684,0.013831507799146579,0.1758655803154646,0.045473281178097014,0.45293496257919913,0.23146092034402535,-0.008555139786253404,0.21187580044792373,0.5987051282987756,0.28869330067711624,0.23484495314730727,0.07984436472684935,0.43082431370928925,0.3818717179271601,0.15102088341529862,0.40191354652791705,0.5025414227088967,0.3812073271413254,0.704648128414969,0.8704383523033782,0.34119292618409186,0.7023390215801315,0.34433025342072676,-0.02540629873778267,0.4510165653217746,0.30155067801886404,0.1703304669169944,0.3844624764082481
N_Acc_L,0.6237175121740566,0.49713602939742907,0.2777599187769453,0.6868535365235636,0.49388144866518513,0.31351983891068247,-0.29912706684475676,0.3047783873146406,0.372183043706582,1.0,0.37120264017926374,-0.10420551239287923,0.2928243485876652,0.27405970809220914,0.30977537856051746,0.7017573735195954,0.5479522015643016,0.04954451506365343,0.1748444777854569,0.7163166854139201,0.13917571485556315,-0.08112166983076725,0.6633153593622206,0.532364167394104,0.46188851575915896,0.5463826692288297,-0.15344696695336477,-0.07718788625317675,0.2724844473045721,0.3866856333398793,0.8143461429968107,0.22710631909353116,0.5679947995986455,0.06855804253004948,0.5039806362880285,-0.03705066504766086,0.2696633715301751,0.4610235594896955,0.8755918687868012,0.542165739046095,0.4900662812181817,0.34182042400750334,0.5239948029017232,-0.12359454205563308,0.6732645814374921,-0.10208865441234975,0.654165927633999,0.7908505881807047,0.37568785171642904,0.3697789640179684,0.4543392734730333,0.5198286295472144,-0.13411464102008536,0.18910841228932945,0.017171768230311184,0.7044280133913224,0.3336238726633034,0.5684695711338641,0.2184061574993909,0.01992219990324129,0.6649211083907774,0.4693850106484361,0.40914650282077486,0.7028074245435961,0.3821662813555875,0.3612174915018073,0.2453895135154149,0.15192095431926295,0.3080532905545028,0.5219507164526155,0.08905472172878598,0.38704680038473194,0.48203859871879906,0.4450248133183395,0.7315692879553025
