,Thal_IL_R,Cerebellum_4_5_R,Temporal_Sup_R,Occipital_Inf_R,Vermis_3,Pallidum_R,SupraMarginal_R,Amygdala_L,Insula_L,Frontal_Mid_2_L,OFCmed_L,OFClat_L,Cerebellum_3_R,Temporal_Pole_Sup_L,Olfactory_R,Temporal_Inf_L,OFCmed_R,Thal_VPL_R,Hippocampus_R,Thal_PuL_L,Occipital_Sup_L,Cerebellum_8_R,Thal_VA_R,Cingulate_Mid_R,Paracentral_Lobule_L,SN_pc_L,Thal_LP_R,Cingulate_Mid_L,Heschl_L,Occipital_Mid_R,Angular_R,Cerebellum_6_L,Insula_R,Rolandic_Oper_L,Precuneus_L,Thal_PuI_L,Paracentral_Lobule_R,Cerebellum_9_L,Vermis_9,Thal_VA_L,Cuneus_L,Angular_L,Raphe_M,OFCant_R,Frontal_Inf_Orb_2_R,Calcarine_L,Cuneus_R,VTA_R,OFCant_L,Frontal_Inf_Oper_R,Thal_LGN_L,Postcentral_L,Frontal_Med_Orb_L,Frontal_Sup_Medial_R,Precuneus_R,Frontal_Inf_Tri_R,Supp_Motor_Area_R,Vermis_8,Postcentral_R,OFCpost_R,ACC_sup_L,Cerebellum_10_R,ParaHippocampal_L,Olfactory_L,Temporal_Inf_R,Rolandic_Oper_R,Thal_PuA_R,Vermis_10,Putamen_R,Cerebellum_7b_L,Cerebellum_9_R,Frontal_Inf_Tri_L,Frontal_Med_Orb_R,Calcarine_R,Temporal_Pole_Mid_R,Thal_MGN_L,Putamen_L,Cingulate_Post_L,Fusiform_L,ACC_pre_L,Parietal_Inf_L,Cerebellum_Crus1_L,Parietal_Inf_R,Thal_IL_L,OFClat_R,Vermis_6,Vermis_4_5,Hippocampus_L,Cerebellum_8_L,SN_pc_R,Thal_PuM_L,Thal_LP_L,Cerebellum_7b_R,Occipital_Inf_L,Cerebellum_4_5_L,Vermis_7,N_Acc_L,Cerebellum_3_L,N_Acc_R,Precentral_R,Amygdala_R,Precentral_L,Rectus_L,Occipital_Mid_L,Frontal_Sup_2_L,Cerebellum_6_R,Temporal_Mid_L,Cerebellum_Crus1_R,Parietal_Sup_L,Temporal_Sup_L
Thal_IL_R,1.0,0.2959071929203809,0.5043847862008067,0.16645989813581316,0.2805419991476384,0.5072183721254612,0.33549436667708255,0.18483423426341405,-0.24074363851337702,0.42042762364102293,0.1575307899530219,0.31978683688942333,0.45123555777040075,-0.007136178092359556,0.010790291609151464,-0.15234486617799503,0.14641850459073563,0.7293913573920838,0.5997468682951473,0.04662257569053994,-0.03655298819252476,0.28041461016791674,0.4943857570756543,0.2980960044784687,0.3258561414328998,0.3642897287128165,0.11524703682261013,0.2577254631458726,0.09303461814995792,0.15642372260496798,0.2159616795290987,-0.16214199672048124,0.5671281095202222,-0.171192205319327,0.2910766528902543,0.09845419959789291,0.2760666148731432,-0.05437109522769792,-0.24432419673460315,0.6868824862448673,0.2455922260157584,-0.11166107564687641,0.2712853246273578,-0.34101437073570606,0.48618804495412116,0.13530585371143558,0.21634286902444638,0.3259958895729889,-0.170547238801946,0.538329237284808,0.41778684531581706,0.1020220129958822,-0.08491236042818277,0.24835451741803216,0.26574380469220404,0.44514097212599324,0.258702486248223,-0.3856859802812991,0.3842497130227769,-0.12218904885424825,0.19701916495812846,-0.2839558432423668,-0.12467614897652113,0.0847508700948278,0.316921873023241,0.48703310031629393,0.1378686892500016,-0.06656407142951805,0.34595489135818736,-0.501378575772478,0.03599155249825709,-0.1565656563548691,0.3755638155425877,0.1937045816348747,-0.19712194051028628,0.48818233336517897,0.2123250974864476,0.332758429416886,-0.23290829014697323,-0.2397636854579635,0.17791718510587656,0.002184598918377671,0.09597917404475649,0.5939161196745635,-0.43214884955116206,-0.4600106127327738,0.19640484225448004,0.09135755474640646,0.16214461816625816,0.4779171869058165,0.13125008931559715,0.1399593356696926,0.36532857916080486,-0.3221824819883182,0.1579382263693262,-0.5163459590920884,0.12231314357320282,0.09464943453659408,-0.023860176276021813,0.4058992420817014,-0.1889061585137232,0.18419254823839382,-0.0531037498169201,-0.07729065162638594,0.4020760271475394,0.4042562673925532,-0.3851717770429645,0.1857237179722972,0.041320497813800136,-0.2961772900937999
Cerebellum_4_5_R,0.2959071929203809,1.0,0.6915921209124903,0.3577209125080875,0.611300334277399,0.12093583497887393,0.6294850748509657,0.10734748377787069,0.19948876545967004,0.645915976828864,0.4465492284011042,-0.10798251953186705,0.768843914967262,0.04669596555332828,-0.06618407512799293,0.2117304380243064,0.42894979344236706,0.6432332701534973,0.6349711021186283,0.5003451406804208,0.347870884345948,0.3104460662425994,0.0752582209124657,0.673546232089271,0.6299211536397012,0.3233436129868573,0.25416929454232506,0.6412248841723924,0.42766780621840683,0.23960227412973154,0.49949187575059356,0.14181818368401655,0.5464605548779257,0.15237921324423315,0.6765214984719634,0.6099827706438199,0.6069299767895109,0.38342564114837996,0.04604427320156575,0.4586585264027792,0.3101348680735597,0.2544476923655744,0.4802531997233533,0.1827939676887154,0.07936363562958312,0.5076681847675141,0.3520515169358493,0.35886085652229255,0.24214097603529347,0.6464033009632274,0.4235967773179143,0.6052418416047566,-0.21988895312868412,0.6315796844426885,0.6345670521794489,0.6570601830998016,0.6450460789939224,-0.03652188078349109,0.7167482583452103,0.2823229955336804,0.46287055714094794,-0.18155536219745458,0.47879312496373966,-0.046934877549289274,0.1509466813729407,0.49541310402708977,0.5659451536546154,0.20827154516762406,0.5045944414881051,-0.21457192489721144,0.4882052629436648,0.25934058569781077,0.3197227233752423,0.6977920516046895,-0.036627566923899915,0.35724800330326667,0.3598644761340754,0.6372410138052632,0.46227552750044815,0.08325049077615913,0.5685300162066211,0.10850761718676664,0.5372322486194523,0.32269363524064915,-0.06510634853253593,-0.29769344954468874,0.7864855535420656,0.5713204829752557,0.33266459430045797,0.2801105655276365,0.7280035802388863,0.37008308571955484,-0.15623259601742095,0.10028056206536698,0.7728398681193407,-0.13362481080747357,0.06993032176199514,0.7105576645333742,0.13641720361384801,0.7488254276697811,0.15105760608546057,0.5978132069900883,0.47784366455928345,0.297817078816956,0.611612493219551,0.6030275007962156,0.10140734376366733,0.5258639155838251,0.6638035099289804,0.1756971952913287
Temporal_Sup_R,0.5043847862008067,0.6915921209124903,1.0,0.39903288967286993,0.4430842922895501,0.410335896645872,0.7623475063009326,0.12348061823239453,-0.39400927937305674,0.5149537430962694,0.43692193820542835,-0.04858917739207216,0.7434480090509705,-0.0066733716011823305,-0.13438098660652154,0.08826959107752311,0.30537155801483634,0.7324643007907246,0.672663210998449,0.2863605448348935,0.11658015829460734,0.18499080898104295,-0.0020989427060887295,0.5341703981147066,0.4614475097838127,0.39631930509644864,0.03492175815334261,0.485445534333819,-0.02288864771150393,0.4218868375796519,0.5942631081129663,-0.2097569125318702,0.7969873470838571,-0.3757156470742857,0.5850938865354931,0.36404793725260826,0.5021149466998825,0.2703229834764787,-0.2854353809105906,0.5209987288063324,0.4025694972110705,-0.04163239000643788,0.32530198542666555,-0.04178744096435918,0.24101635926280207,0.33752622976067553,0.30370756842263436,0.46732098181951776,0.3250172847577044,0.7991595965035807,0.5709478508533995,0.21647944070777006,-0.3449275087962718,0.4571342092786597,0.5696160104255689,0.7604303531825753,0.5321977905602855,-0.3381403890896927,0.6734758970598462,0.1147112788966611,0.20132186820723133,-0.4113365012273176,0.022853972420639357,-0.05891501831749319,0.40240582367641436,0.6687423973799138,0.3238511937685925,0.07589981767749243,0.3513476232041929,-0.43481808531728655,0.26413003896702236,-0.2442448269395101,0.49917680214936266,0.5139785350989587,-0.1833646784431443,0.3652022463602957,-0.03896516434070707,0.5721037025015496,-0.017098093080123337,-0.0978708656882427,0.30762259408729825,0.08352134267571322,0.5270102730888263,0.07294449094443532,-0.44124152491972735,-0.5121015885580648,0.5942403096077958,0.25456571960619945,0.1937652025647328,0.4195074486293415,0.4662430211363114,0.3661801505511982,0.07119186060809266,-0.19125649381371265,0.4188002232162893,-0.42912328019774515,0.01594302021564655,0.3558908338624235,0.09027636680628429,0.6921890038903536,0.09844216119419813,0.3134232728587876,0.24891049008711422,0.0381824560281693,0.4391479553364644,0.6622032834669652,-0.4190015645290492,0.5979706712797176,0.43664558846847246,-0.3543897795415661
Occipital_Inf_R,0.16645989813581316,0.3577209125080875,0.39903288967286993,1.0,0.49512622188239297,0.10125845750968435,0.5038076184760116,-0.11603549295228294,-0.04984780117995273,0.4248419349059235,0.1810367002426366,0.006080607098762973,0.4338979839706435,0.2554053413705104,-0.09259684980620844,0.2847556248685896,0.31024626138077754,0.3373845071664355,0.3982841283170048,0.40216390946404673,0.3612879669434661,0.45624704703119573,0.04234190707279283,0.4818175801160789,0.4333588557086503,0.31160318455872454,0.011427078691380838,0.4322602220835134,0.0647041041174235,0.48288783290447485,0.5656469466837593,0.1746580123618597,0.18919506430459043,-0.11753903750560983,0.4635232422527393,0.38229066773751635,0.4664641124481754,0.33040390059733576,0.03831184517747689,0.09236423266471214,0.4671712316429457,0.328257549169247,0.3050733374303318,-0.012900825282697558,0.3325762183164275,0.3733692564421206,0.43440570202745443,0.1986847529521239,0.09508442979577135,0.28101606891258124,0.16480161118436812,0.3026728549723673,-0.19046925831805112,0.24991253841024616,0.45417058616603706,0.3028413734430257,0.4377491294016829,0.021452882994714626,0.43880256232181586,0.15646550146466773,0.16688144549996947,-0.09974268382658852,0.16788443532384306,-0.03618224960227806,0.4283450547351208,0.02338359152580354,0.19098532517440786,0.15285186027715308,0.027489002396616037,-0.12302280889346943,0.3363705055456022,0.13056757855139922,-0.02606443240011078,0.41844945044699794,-0.054286038768544445,-0.01493516700470516,-0.0297988791105127,0.46580851253526573,0.20123940025345102,0.10747603896062972,0.33828483566810325,0.2286596385229291,0.3580213012894835,-0.10926383394238129,-0.11771573986744446,-0.1176284284519966,0.5297222533953617,0.28744598800728083,0.40701298512522627,0.19658647499330062,0.43489877456420506,0.2183472038384172,-0.10834481610790969,0.14705762881111337,0.3474785988044335,-0.2941656581292539,0.1026311569243854,0.3648704916015068,0.20026981848126513,0.47772017536584527,0.08727115545352698,0.4062451193402897,0.17127589041624489,0.3889554425951048,0.3520105578589334,0.16918009522287508,0.08639201468226838,0.43729468266803995,0.39509049976812805,-0.026494682807086906
Vermis_3,0.2805419991476384,0.611300334277399,0.4430842922895501,0.49512622188239297,1.0,0.24764040859936587,0.603752770890477,-0.011813681174686544,0.2319053063773687,0.8244324962737478,0.3531406115498842,0.06595903835291654,0.799985297431473,0.33962981253529834,0.018573255491801315,0.2970330714812297,0.444070709251735,0.6525457111488345,0.6732881183839745,0.6287656864329326,0.5634640436380309,0.7340605131170884,0.10372360526738435,0.7783370438122976,0.8278047864500978,0.3455114694685588,0.3716948925942232,0.7138031101998977,0.4375472715777408,0.46280236227811894,0.6607232649250824,0.31455613508169805,0.18573952387466008,0.18540814449661697,0.7859458976724399,0.7248895348006007,0.752838676164303,0.42142831579994794,0.12071035621736433,0.415756855314608,0.6099748408613507,0.41358003694204937,0.5804469210854667,-0.07614271296454252,0.42727477925008245,0.6523462892176521,0.5721835924275217,0.18550543200355615,0.14607782560829685,0.4361393372744668,0.4428969525988657,0.7074621366113018,-0.16934979590506177,0.536297366191626,0.7526501568542093,0.44950244566636005,0.747207500305077,-0.030314542639034006,0.7360862177921967,0.24602132935097712,0.46707082522277815,-0.08679543317130999,0.4947263373106905,0.10015044048243057,0.3770707826448305,0.037750311735424535,0.403659354581173,0.35506643271189436,0.12018562498563627,-0.2129975507059138,0.5326219046614806,0.4597206439707865,0.11957290017126106,0.6772064598015469,0.14091146103651503,0.3184592475582871,0.33909339730426047,0.7837111129337729,0.5202766387598337,-0.07229614714804004,0.5595546295591923,0.3601286825715593,0.3632528582131662,0.20617016207285785,-0.06696572009599655,-0.09251078236207605,0.851353464625362,0.6549126906965583,0.6128628412837053,0.198344988318105,0.7653961218951034,0.3265770291702171,-0.27490318102808137,0.011345589971090286,0.6684013094874361,-0.3634167417144317,0.18784703432709624,0.7894314684481453,0.20181486709588783,0.7759338136389404,0.05391348797684967,0.7857230011598672,0.36421614080550824,0.5663386394645866,0.7623563347423541,0.21302674953317363,0.30559682700636026,0.45207350912648475,0.5979090059660639,0.22195710904914934
Pallidum_R,0.5072183721254612,0.12093583497887393,0.410335896645872,0.10125845750968435,0.24764040859936587,1.0,0.25437027661423556,0.012789680228347705,-0.23581609405428605,0.22510815110167315,0.1566703602949569,0.16704488908197163,0.3764885863908603,-0.051077360114727854,0.04833333730785453,0.12787101853033164,0.03525866240494283,0.4359784156042775,0.34133539630921544,-0.09344528533168743,-0.07409883985798008,0.14335205870681977,0.11153866156139383,0.1246355372249267,0.1627531983130173,0.4416103068095172,-0.08902685276511069,0.15736051483694657,-0.027974705240699966,0.14405655999600775,0.1934156112546302,0.0018316077507977246,0.40228572573489624,-0.17067763302717862,0.13184202163189065,0.08335854644735258,0.15054024321106124,-0.05043661550340777,-0.24046993019767815,0.4405795429787436,0.18542872651685557,-0.22998404595900632,0.24251897506116368,-0.2354849579568277,0.22534869024550752,0.14411211462757162,0.052937239862651954,-0.02656069823410892,0.17912443801142527,0.4290247039744769,0.512295723772753,0.0011134823861861144,-0.0731800922794374,0.17852139906185915,0.13503763769595384,0.2996545633637246,0.22901052606873737,-0.3323312423647961,0.23836690124097265,-0.17651282596274265,-0.08164556065330617,-0.28886456075263706,-0.1493842910249305,0.22295122345930635,0.27796885447379327,0.3327212774523797,0.19741665191191515,-0.005816117074885241,0.20647158348725642,-0.3633310592502129,-0.0738382347318538,-0.1530905799679954,0.34620142495673417,0.17341897144589075,0.0660179807605503,0.3974251244659892,0.021698750041928238,0.24831852582158911,-0.15211343809950517,0.02232767565685595,-0.04763470674155733,0.10324587815450155,0.07409230543958081,0.1795243676423547,-0.27156121629590146,-0.4496945185866425,0.16424164877479797,0.02616239462376205,0.0767867110892539,0.21250536024367997,0.15865519677473802,0.4355796144245182,0.1512468992321381,-0.32637700703229616,0.02727601401207016,-0.35883342897686893,0.10914196941517536,0.0729104176164928,-0.029296880658341712,0.23089540720885968,-0.18595011782820914,0.061534783860592426,-0.06327940486209732,-0.11199536302568529,0.2258667343626345,0.37515001689012173,-0.3265608964827703,0.37810011742958954,-0.018092535202502442,-0.21387673125409354
SupraMarginal_R,0.33549436667708255,0.6294850748509657,0.7623475063009326,0.5038076184760116,0.603752770890477,0.25437027661423556,1.0,0.022721714264499152,-0.09683132329483873,0.703125729725391,0.4606441702306816,-0.052445121882486456,0.7497642901996961,0.1610257371889381,-0.0477388672794233,0.22331489717386255,0.47902188007228463,0.6920685671220342,0.7021442598510227,0.5348722339611827,0.23924497894708766,0.41213295878019723,0.0004375654707206801,0.7596100197158066,0.6920387619087078,0.44045362080614314,0.1710877503058195,0.705271269428365,0.22962731027864242,0.46861374436365955,0.810783388861137,0.008550158189935328,0.503803068505168,-0.1281826880222183,0.7760030885690861,0.5604065011337146,0.8127667746924573,0.47632980013687304,0.04692607429588503,0.386792272948262,0.4126040037395474,0.21908686324177248,0.4692763936715038,0.09309913006221388,0.2736816641260468,0.3364169983684254,0.4314089176716279,0.41028318654684576,0.15569669910275805,0.6454253292261534,0.5593043478861747,0.5106868829114612,-0.18002945526495187,0.5892324261395987,0.7242276833258627,0.6828851665220124,0.7430763349405337,0.021448001843903625,0.85776835294886,0.26769086734838304,0.40078161022706466,-0.3132728445245947,0.3304268566416606,-0.07783932109410711,0.35881796011411526,0.41521020751982374,0.4287046324856136,0.2786616374993821,0.2522462908786221,-0.15986489532604994,0.4265246212525144,0.1203442330431066,0.25313445230957143,0.47613451490694364,-0.06731742220997618,0.3405035804915579,0.0947133480309946,0.7132657860789817,0.2631168962008017,-0.04604724159755725,0.553633068249799,0.24849158942891414,0.7474388329072649,0.07723257609915803,-0.2167256180411071,-0.19875154130041078,0.6465572736119787,0.5199976233907309,0.4418271406255315,0.4208650627288542,0.6516891846057108,0.3537536158550967,-0.055426031358105546,-0.14655665298306966,0.5529385859171793,-0.22804559090718413,0.11031524240599035,0.5729396545562838,0.1628746311416463,0.8243185444405456,0.23551608352751952,0.5755132576887673,0.4816380264166797,0.26615554685905507,0.5953083616015065,0.38168353261859356,-0.14958504778875473,0.6391804251383749,0.6088298498486424,-0.14569632629068696
Amygdala_L,0.18483423426341405,0.10734748377787069,0.12348061823239453,-0.11603549295228294,-0.011813681174686544,0.012789680228347705,0.022721714264499152,1.0,-0.10570345743898749,-0.0027590869423391694,0.0758214593263162,-0.0655473950031978,0.08820783294636039,0.019633885240687165,-0.04999772553487227,-0.1404936146186593,-0.0357413300613107,0.0806297335266538,0.053516205339502666,0.12764943493929973,0.05266905636055407,0.07758629300917223,0.10575759665091196,-0.02109465273851014,0.027285203300817584,-0.15655456940886942,0.08701893514870318,-0.0431569155589355,-0.1639905272641871,0.25135467442486564,0.05119686637950527,-0.1259512312208643,0.17572483043895498,-0.15930176180109706,-0.046428539901250586,-0.03905209701258562,0.0058809289609666315,-0.017058681512211446,-0.1339499075475891,0.13910638266497247,0.09986148806939844,0.0111919745732367,0.048950451738223225,-0.0627300144262951,-0.0545901703908727,0.010639630411008934,0.12632377203799416,0.2657191076075593,-0.07169719611673939,0.18588305834536697,-0.07914304606430264,-0.0963578898288903,-0.02597121931033656,0.09248517335596104,-0.08322132951950512,0.20049238372907324,0.04155819552815033,-0.019245387144463465,0.04143772758263848,0.0005701935527640745,0.038168468453099715,-0.12739929908076916,-0.18557041215509879,0.03176269434811675,0.01685695177467507,0.15747729052845102,-0.19362592043690763,-0.25405117557803375,0.09950235547595492,-0.13364128899682332,-0.1402566938885927,-0.12805500498710673,0.2146130794347931,0.011247005291236501,0.005274411975609559,0.03340486574592615,-0.052404422385021014,-0.03713342552925901,-0.1445047945739397,-0.15906099795868683,0.15960738009958716,0.11647268877581135,0.12845621580370425,0.06998123317184864,-0.18651447803342275,-0.15322022180232675,0.07583569020068633,-0.17191526525977258,0.05889812470947405,0.0524470192874087,0.0018337575073334572,-0.15262270754524068,0.1174838372496883,0.052265207464965845,-0.020991577003820455,-0.16407380812345732,0.000576499830460016,-0.07218051685049363,0.04048071880152046,0.06162462973275163,0.05171507965744136,-0.060827871266343154,-0.07339217232741384,-0.0606765592600456,0.035325010288049255,0.1609359947961435,-0.1906754662786704,0.04246550323246105,-0.015845827841347918,-0.20015549399513483
Insula_L,-0.24074363851337702,0.19948876545967004,-0.39400927937305674,-0.04984780117995273,0.2319053063773687,-0.23581609405428605,-0.09683132329483873,-0.10570345743898749,1.0,0.22098994705296535,0.014740764150941981,-0.02402786718287673,0.05913029487615146,0.11386943003960538,0.11306930923909625,0.10164122992784629,0.1731853176691969,-0.09358577592334498,0.04336788208256131,0.2534763064587826,0.17924913101263265,0.2071343999877829,0.2963251806066623,0.23265752996499228,0.2543379053953912,-0.04644726626962127,0.43493756147072044,0.24319720403293127,0.6853191991614536,-0.2965131612898767,-0.1053679624284454,0.5705603643013498,-0.3796105905321067,0.8479459355819515,0.1619955916964913,0.42617860743359337,0.259544724023249,0.23849141364056656,0.558590507539045,-0.06171180620406789,-0.23224345031788615,0.3071051849699549,0.23641943247672015,0.33563099989907036,-0.1836263523999105,0.15453926624459716,-0.14563127240733037,-0.288916235131155,-0.14985686632889,-0.22533358517676827,-0.11447007781133853,0.5998729628530657,0.27599414487000423,0.3273480951111828,0.08558363929416456,-0.1879715038879409,0.2287522840626844,0.428907919180708,0.138568281836941,0.24434597601768673,0.5072141471547782,0.3221409923011808,0.7367785376162583,-0.0470279599036989,-0.37455539241948865,-0.17522566591211827,0.2883762403320091,0.3379813183663835,0.2714677927067878,0.3459183580432641,0.33440021584876817,0.8779818996014298,-0.2605935384352734,0.17451460801236965,0.25151262606327296,0.20927922934937473,0.6742201104449401,0.10826473895340438,0.7290192292674095,0.10797201629085375,0.2145427268046456,-0.015861592724742364,-0.0038708428377837237,0.4542498708059747,0.6454738997126703,0.33006498278792185,0.18957164067389587,0.5420552413285786,0.28424435897100536,-0.0685955594294666,0.38372340559594087,0.11561126022048508,-0.42060018134550037,0.11126263187480101,0.36872690901988614,0.44158683707451635,0.08286355578047229,0.5072777251498043,0.023311198294615094,0.11033684384824188,-0.0018955741423079197,0.481498431899536,0.3872010526562729,0.304631033504142,0.3005070972352696,-0.2904398105405466,0.7607681215787386,-0.11592496936187029,0.21948222064499384,0.8132724787888809
Frontal_Mid_2_L,0.42042762364102293,0.645915976828864,0.5149537430962694,0.4248419349059235,0.8244324962737478,0.22510815110167315,0.703125729725391,-0.0027590869423391694,0.22098994705296535,1.0,0.4650828923150173,0.013934614449110932,0.8256056488188886,0.24712496132200573,0.010064583730486206,0.22621687131649348,0.548717659504798,0.7449636386649414,0.8238194563394402,0.6271283698728466,0.3788581359509264,0.6645227743794987,0.18658258177809534,0.8369907448070562,0.9031839923966107,0.4767847859430625,0.4181486937255005,0.8034152025489034,0.5423148376352476,0.2676211943088787,0.5986557664836966,0.1820985648857822,0.278102590930878,0.23774530627640109,0.8483966717121473,0.6923854246214147,0.8389750690869971,0.5299624410725566,0.2616262194291787,0.4192686371967548,0.39433606762247303,0.2462526117156902,0.5462896151077425,0.033328929562338426,0.391417371912945,0.5189643281256098,0.469335738855241,0.32478292631826705,0.05893646187398719,0.5892391367650742,0.6228785719855071,0.8059755895124048,-0.09741250719456582,0.7107856125372439,0.7809270455551128,0.5897096534463054,0.8551728464556698,0.04220343460878896,0.876069879460881,0.25837665467363224,0.6264748261614596,-0.16163004030885725,0.5427591967922457,-0.03587455732949555,0.3445018629090636,0.2377819073733636,0.49480914362029926,0.40578929745765785,0.21906510965725035,-0.15215341314436653,0.5630940931757907,0.4527903300608194,0.17878777456772146,0.5883741121739385,0.010884192198765874,0.48861870842848765,0.332720618503804,0.8508694769805478,0.5099604174093442,-0.07478455161428842,0.6045927646190168,0.32474064002464664,0.41312877018874444,0.38704777322720546,-0.06481813461946954,-0.03630218326798309,0.7309371582283292,0.7523356343358407,0.649618553256184,0.43920779211999617,0.8004004784483333,0.4063784126532782,-0.16296897059608892,-0.13511665777483858,0.6721618117901699,-0.24122598474095247,0.12476832486266302,0.7708271768507563,0.1878431637248846,0.9072001955888127,0.07643548802825913,0.8576642262781103,0.5642651943776591,0.37853325988448017,0.8550970058380686,0.1750230412385682,0.1420864387023746,0.5266796750478631,0.604589489447763,0.1408070878798374
