,Parietal_Sup_L,Thal_MDl_L,Postcentral_R,Vermis_7,Thal_VL_R,Thal_PuI_R,Thal_AV_L,Cerebellum_8_L,Angular_R,Temporal_Mid_R,Raphe_M,Thal_VPL_R,Thal_VA_R,Thal_AV_R,Heschl_R,VTA_R,Vermis_9,ACC_pre_R,Temporal_Sup_L,Rolandic_Oper_R,Thal_MGN_L,Amygdala_R,OFCant_R,Hippocampus_L,Thal_MDm_L,Red_N_L,Frontal_Sup_2_L,Frontal_Inf_Oper_L,Pallidum_R,Paracentral_Lobule_L,Raphe_D,Cerebellum_6_L,Vermis_3,Thal_PuA_L,Temporal_Inf_R,Thal_VPL_L,Frontal_Mid_2_R,Heschl_L,Frontal_Sup_Medial_L,Cerebellum_8_R,Cerebellum_Crus2_R,SN_pr_R,Vermis_8,Angular_L,Thal_PuL_L,ACC_pre_L,ACC_sub_L,SN_pr_L,Calcarine_R,Cerebellum_9_R
Parietal_Sup_L,1.0,0.20184605869601696,0.7020476870960274,-0.023419992558375378,0.2584031346288593,0.3898031442167247,0.031046251703106917,0.6142003401068679,0.7192994969028598,0.4236345257689034,0.553351365942109,0.4371069315849582,-0.031133159958310175,0.08261098946243485,0.21421599510421338,0.2536340908498479,0.36794102390779876,-0.05163084457928234,0.2892716162135429,0.11846114727371153,0.16893357038955648,0.23037975752943776,0.18582099303053276,0.6982780208049509,0.09263971740451468,0.3052353153595047,0.5577706823402074,0.07005680710491814,-0.018092535202502442,0.6821371305130495,0.31092203623183695,0.2357767807635508,0.5979090059660639,0.4679676946708754,0.2481592412297915,0.4878736493139165,0.6384553106331783,0.45970748993814115,0.5654475665555364,0.4581278757621788,-0.04872866129596152,0.27721263323120204,0.22867408668335706,0.492980558585745,0.49865785609260393,-0.002062513683376495,0.10154402424951642,0.3633327069026799,0.5265906202385053,0.5541916631610723
Thal_MDl_L,0.20184605869601696,1.0,0.4303116093580166,-0.36059937700580214,0.7866619695369982,0.4447091648214802,0.6419733984478547,0.17375068496643983,0.25757696656776186,0.3664865962895509,0.3893294253791392,0.6710459680400147,0.49308260713790264,0.4617939545526805,0.5485733016427424,0.16007904458269773,-0.13221499627568256,0.22238318866498638,-0.016703124885931685,0.46412415750090363,0.45438339857052995,-0.11700534560154348,-0.20597707804815976,0.28948166068491143,0.8345245330845098,0.4872993882448466,0.4563569970989506,-0.09593859854294566,0.4121095021939417,0.4068570774452879,0.31732123995079664,0.11710297693926175,0.3747562040898392,0.06157383396100246,0.23427438639642856,0.5163524320128755,0.32090653841795425,0.31012127719703736,0.40243132990004055,0.3103031042385868,0.3614506135757948,0.5680257177433938,-0.26378648633085866,0.039920138473946015,0.05441549447132888,-0.05333392999612381,0.3224694743972108,0.1185702246559228,0.4187071832798361,0.1636842189095256
Postcentral_R,0.7020476870960274,0.4303116093580166,1.0,-0.158104592456663,0.5727165169118159,0.6662268822343508,0.2805738828131265,0.6360685208577594,0.7043053196880661,0.5123823774391612,0.5610401996838713,0.7723003380711606,0.13734771913244603,0.1801923510088922,0.49733818027125704,0.3756739830434643,0.2662262991927257,0.07370971342902134,0.06333520169860245,0.457932450935814,0.47173726008096334,0.12704683639068468,0.11545746456829795,0.7622838119750748,0.44295778765061894,0.39180426108598515,0.7917852127530388,-0.05875296625163989,0.23836690124097265,0.87382271649993,0.4347886852040637,0.12296244328384624,0.7360862177921967,0.4186969143352487,0.34159505407594387,0.742926653392901,0.8601107851136305,0.46769878756997596,0.7299907247779673,0.5711046357557321,0.16662168354574103,0.5888746823831403,0.11585841468760516,0.23186360113903323,0.6056409204471368,-0.12283177888822457,0.2386284457293329,0.3858504548173597,0.5605787822525579,0.6383403996468243
Vermis_7,-0.023419992558375378,-0.36059937700580214,-0.158104592456663,1.0,-0.2676067473886424,-0.07511276209231815,-0.40424210879118777,-0.12943085836063514,-0.34106510429176795,-0.3510216457164799,-0.08982256321804832,-0.37086800781542306,-0.1122716914018077,-0.23676971564065624,-0.07963755624002507,-0.26144545113407214,0.422661213619533,-0.06137933580975666,0.30724194176888764,-0.011137693656829208,-0.05235356189644038,0.07287274215357996,0.5248423242883686,0.15185515454968837,-0.38571630106446647,0.036586041818085425,-0.27377791877138774,0.3914452005102101,-0.35883342897686893,-0.2208957420666929,-0.45152946884305345,0.03301256422462638,-0.3634167417144317,0.03622664553602074,-0.517828615432174,-0.07156447834254127,0.028967775909639424,0.18236448515248374,0.08690788037984166,-0.36657928880693785,-0.7402806628046883,-0.4777408657638713,0.680376028291145,-0.060466961770308955,-0.025527948647725666,0.21861515411851334,-0.008416628738190947,0.0844689572453951,-0.2643677873376003,0.033402511976981276
Thal_VL_R,0.2584031346288593,0.7866619695369982,0.5727165169118159,-0.2676067473886424,1.0,0.6108018858649195,0.5416533892053764,0.3211650055185986,0.2727296934903762,0.3185694562318066,0.47580989890856923,0.7081315347131397,0.4964053534497577,0.2734573835621456,0.5513993544469143,0.0739248833609892,-0.015376604584444831,0.17243092324513073,0.010400502620404522,0.5571999676204507,0.6023521015519145,-0.14528496433527222,-0.12417855632739366,0.4521498296886221,0.7708980362069736,0.4367008500515113,0.599044597981528,0.023115560722417685,0.6225422636814429,0.5138091082085569,0.349714907475976,0.1689694884838692,0.4567254423994742,0.13954183666175318,0.18408139779106442,0.6119577472518342,0.4675560675084062,0.3396627058032211,0.5601911006850897,0.3805341402077124,0.29294572922443995,0.6043397642623365,-0.16604636892274435,0.049779097549659035,0.14336223531429917,0.025551220416848982,0.2324889537477491,0.20697281924878444,0.3891716744021462,0.2896448351848199
Thal_PuI_R,0.3898031442167247,0.4447091648214802,0.6662268822343508,-0.07511276209231815,0.6108018858649195,1.0,0.31387310521454137,0.4021554164014387,0.3326543373762292,0.2353696919240497,0.4924085431105137,0.6997059139216097,0.20174862380954356,0.10120307735932527,0.4966600782577218,0.13660009378594531,0.18736069838972316,0.0011288055806029707,0.21729270816078142,0.41173470949241575,0.6000314696050668,-0.013877881291810742,0.11783428178660978,0.5726400078004038,0.5227013457869374,0.3701433144426486,0.6408005237808745,0.14867930125633833,0.3041117049062747,0.6300624413584704,0.3938779366161854,0.11940384972908567,0.6036557978867474,0.2181864377631194,0.07137155587339931,0.7695455109959641,0.61625294184417,0.512871140276299,0.6158304651017054,0.3809084750386004,0.16873682990324276,0.4275134247356422,-0.003703352227536501,0.1005217624945325,0.4593071872656418,-0.08919935258324511,0.11396060093279836,0.20812036542405524,0.4677625907517548,0.47649439293412144
Thal_AV_L,0.031046251703106917,0.6419733984478547,0.2805738828131265,-0.40424210879118777,0.5416533892053764,0.31387310521454137,1.0,0.08567441615913045,0.11122300516385909,0.17998107327164728,0.2769471787754217,0.4873636358333963,0.5195844363484863,0.34157375666710643,0.3795208317410504,0.2788625396353901,-0.16290655118530686,0.49373121371871215,-0.10400813665921278,0.34976003392669863,0.4234475903790914,-0.1419382645757748,-0.2965892765542642,0.10139838738056045,0.7376866811480748,0.21025543941125882,0.34772851259032395,-0.09240202686683774,0.25366407218831905,0.2871795969682636,0.24906445343414835,-0.05991849089999825,0.2542716408103195,-0.01251607013615574,-0.024408787149081092,0.37182556553260754,0.23188094878698182,0.15277562221468544,0.20075897907504975,0.23652662491041962,0.3918745868198233,0.6417986626610959,-0.28976450880420257,0.016221970987729307,0.115709333576894,-0.4383150488615996,0.2539260102991066,0.12202855035577236,0.18510972808590417,0.057522327236820825
Cerebellum_8_L,0.6142003401068679,0.17375068496643983,0.6360685208577594,-0.12943085836063514,0.3211650055185986,0.4021554164014387,0.08567441615913045,1.0,0.5737259192970057,0.1598530311038967,0.5218084737881304,0.37148707677432186,0.1612165871613501,0.05310435453081804,-0.0408565014258913,0.14158361742697656,0.5164573015178135,-0.22835643161307045,0.32403450303471865,-0.040500383414827715,0.25676233677989535,-0.04262886999446751,0.027638178312292032,0.6377280384512803,0.27120194450350305,0.47165235047020665,0.6554484687338734,0.22857103612017596,0.0767867110892539,0.7185159497647122,0.37003589538992293,0.3991732733752831,0.6128628412837053,0.32805039825479604,0.3911559043457466,0.533147586894423,0.677033451112286,0.4537490926217083,0.6650358905122142,0.8380520163243271,0.11096253337394606,0.4109332044001737,0.3427359663293946,0.4103992965399838,0.5333795635383074,-0.08398918305159746,0.005952163509217553,0.5067325767373034,0.38214789413027184,0.6002430478933466
Angular_R,0.7192994969028598,0.25757696656776186,0.7043053196880661,-0.34106510429176795,0.2727296934903762,0.3326543373762292,0.11122300516385909,0.5737259192970057,1.0,0.6092028601722153,0.4282864748546749,0.5451437199563148,-0.05203285983922512,0.1740880759328703,0.1976281332301455,0.3207614024877653,0.10143398833905402,-0.129228858520766,-0.029293284090726273,0.07441405610834605,0.11843875239445238,0.20693595185479233,0.006662201841425078,0.482853906277766,0.17602877156103458,0.22703902704246318,0.5278964632817968,-0.19729755578273636,0.1934156112546302,0.6294325825823575,0.460599406662944,0.13633446119758488,0.6607232649250824,0.29090887682695626,0.4898624019740749,0.40617447041503096,0.5405870777294957,0.21187668981239666,0.3936765677574143,0.5629563654521471,0.2081761690835648,0.4499218903803729,0.06138553890441001,0.42877819154432895,0.48882306602545195,-0.07411744059849532,0.15962068977534855,0.29934484548281654,0.5107704846751326,0.4510616806527917
Temporal_Mid_R,0.4236345257689034,0.3664865962895509,0.5123823774391612,-0.3510216457164799,0.3185694562318066,0.2353696919240497,0.17998107327164728,0.1598530311038967,0.6092028601722153,1.0,0.19800117074049708,0.545753185230149,-0.13729833234027086,0.22907315882408877,0.581192696550865,0.4932379522912125,-0.3108686827665965,0.14389452022601074,-0.3744643771019729,0.49282258844213606,0.15111498294825967,0.19465131426571555,-0.0050047008913807174,0.1050073219407219,0.17479039725965312,-0.0039011477703640917,0.2597635457063431,-0.5557339467176309,0.3212196712152791,0.3231632414857252,0.3705509130921588,-0.22339219789948783,0.3345759207245377,0.10611934091201985,0.38515737234220737,0.19094886459076071,0.23664200181295228,-0.12775339489507062,0.10461927797566692,0.11822642240478475,0.2730183056167554,0.46553772031871404,-0.2442869599155583,-0.0255513264372985,0.2555167706730162,-0.04457052332335798,0.29179539790566617,0.10910411432186756,0.5274205647467483,0.12721060303523002
