,Caudate_R,Raphe_M,Hippocampus_R,Temporal_Inf_L,Angular_L,Frontal_Mid_2_L,Thal_VPL_L,Temporal_Pole_Sup_R,Thal_PuI_R,Thal_VA_L,OFClat_R,Vermis_6,SN_pr_R,Parietal_Inf_R,Cingulate_Post_L,Supp_Motor_Area_R,Rectus_R,Vermis_3,Supp_Motor_Area_L,Cerebellum_4_5_L,OFClat_L,Heschl_L,N_Acc_L,ACC_sup_L,Insula_L,Frontal_Med_Orb_R,Amygdala_R,OFCmed_L,Cerebellum_Crus1_L,Olfactory_L,Occipital_Inf_L,Paracentral_Lobule_L,Fusiform_L,Thal_IL_R,Thal_AV_R,Cerebellum_7b_R,Olfactory_R,Cerebellum_9_L,Thal_LP_L,ACC_sub_L,Red_N_L,ACC_sup_R,Parietal_Inf_L,Cerebellum_3_R,Frontal_Sup_2_L,Thal_PuM_L,Thal_MGN_R,OFCpost_L,Frontal_Inf_Oper_L,Thal_AV_L,Cerebellum_Crus2_R,Thal_LP_R,Thal_PuI_L,Cerebellum_8_L,Parietal_Sup_L,Vermis_9,Thal_VA_R,Thal_MDm_L,Cerebellum_6_L,Insula_R,Thal_PuL_R,ACC_pre_R,Cerebellum_10_L,Thal_MGN_L,Precentral_L,Amygdala_L,Caudate_L,Temporal_Sup_R,Putamen_L,ACC_pre_L,Cerebellum_6_R,Postcentral_R,Thal_LGN_R,Vermis_7,ACC_sub_R,Thal_MDm_R,OFCant_R,Vermis_4_5,Frontal_Inf_Orb_2_L,Rolandic_Oper_R,Temporal_Sup_L,Occipital_Inf_R,N_Acc_R,Lingual_L,Thal_VL_L
Caudate_R,1.0,0.6119793752940402,0.5008733048892611,0.27218612221830824,0.41399867606505825,0.5203151430071452,0.5884250217628565,0.0476267608113589,0.5100038588835935,0.3948255564666262,0.24134566418807932,0.0029461734268224197,0.2354002694724918,0.2222437179250963,0.38858381970265454,0.5601621233151659,0.14649855582024734,0.5480057063461884,0.6182425576111071,0.3804660838208713,0.15410196415658226,0.4820083712991222,0.21722124965255799,0.5268126398119607,0.4768789926506267,-0.16005802345188494,-0.19292135647227465,0.10628881770263192,0.17433407388211306,0.05340964478390269,-0.13002273998264688,0.5866187989309256,0.5648303446559613,0.2954341420206992,0.2510495162460067,-0.26424110010272045,0.052300606120015296,0.3746839053275415,0.4059759064368893,0.0858565917817457,0.5156072474898772,0.38684094057930674,0.3921827248336098,0.42494321883118186,0.5841777791279669,0.5132143570193038,0.06030504334652475,-0.0906134722198938,0.39514572711598467,0.26965237860236607,-0.016816731551666048,0.4621301312214203,0.5343785189163571,0.4709473728315621,0.35224807582118106,0.23679614825182313,0.4732791169111114,0.4941251222174199,0.40735123739991785,0.11788405125353463,0.24777734591260558,0.054904391966460936,0.10740801762006019,0.3206355082843671,0.5726006732200468,-0.06973441209343505,0.6240033087649248,0.16295828955904648,0.4613504188574244,0.021834845797365183,0.10327495208350038,0.4963605105913387,0.22928846144834217,0.03738719170227586,-0.11805193736715527,0.3068270495476763,0.011595552995440265,0.44594830062209734,0.3242621681573757,0.16922055797904206,0.3335239271044654,0.2517691647654411,0.2234802930940298,0.25499691032371413,0.7110687560957751
Raphe_M,0.6119793752940402,1.0,0.5818767834198423,0.25735149630115733,0.34735119098850314,0.5462896151077425,0.5280498049320562,0.08121160401529569,0.4924085431105137,0.40763992943007415,0.04676144613286637,-0.12227352259352366,0.3263439730342324,0.5221449069736079,0.4158978911294464,0.6385051946764365,0.2400488868286947,0.5804469210854667,0.6464599549207968,0.47947374493620254,0.07203308898744797,0.36444489773885386,0.1870285976730925,0.48310903832990876,0.23641943247672015,0.16346809147346034,-0.062336084021904256,0.266760338683789,0.1671324348812299,0.008576390677624347,-0.04082060573946558,0.6575562260836137,0.4228757290374047,0.2712853246273578,0.14005362806121685,-0.1315681259190522,-0.002220575863723725,0.3298634810708451,0.3918014980831552,0.0006411104730951644,0.33762309774783444,0.4161401129289708,0.6167883170233155,0.5294743026363323,0.6167150819575972,0.5623333523088402,0.3020160535557113,0.053380168440773305,0.12972374893607125,0.2769471787754217,0.22061526621731561,0.3141834280597441,0.4950638957205037,0.5218084737881304,0.553351365942109,0.2021125311405105,0.16704172532551434,0.3920455927266421,0.2510354819368171,0.19510842178216897,0.3358820623080295,0.02752633760754704,0.2638912610777747,0.3891568607523048,0.5296475129841444,0.048950451738223225,0.4462497388608858,0.32530198542666555,0.2697254352018534,-0.08792441366785352,0.2415369904485609,0.5610401996838713,0.2196243390332225,-0.08982256321804832,-0.0990203555532544,0.2582917606082802,-0.16216445509577637,0.5058051149254278,0.18077292482337684,0.202508008644955,0.15570870712144047,0.3050733374303318,0.13543269066920294,0.2681083682044545,0.5408835557794761
Hippocampus_R,0.5008733048892611,0.5818767834198423,1.0,0.18926509745242265,0.1660168659349487,0.8238194563394402,0.721418224747243,0.18599009048245727,0.6260570081167041,0.5738050837317575,-0.14402818757781966,-0.2981601420246608,0.755406993659186,0.4710846252691544,0.7345657463535527,0.796919329092554,0.31149834348166533,0.6732881183839745,0.8215505624461277,0.601743470814209,0.09119644795736291,0.4187584334328419,0.16916667793442997,0.5466487299559715,0.04336788208256131,0.2651977991253556,-0.040275608591655666,0.44270500572346544,0.20824250494236485,-0.053639114302389296,-0.2554798558330372,0.8061664499018869,0.39015327807980066,0.5997468682951473,0.1901101824864185,-0.03171113677195586,-0.04511783437758941,0.4916402639485698,0.45384928013665704,0.20839601969816265,0.4945745106599215,0.43566525969106035,0.5939291658728357,0.8075488188239062,0.7963506719873915,0.6609884293236142,0.6313956797379381,0.21496102654638977,-0.10643122548491013,0.4436178326488739,0.3557896243663193,0.3791059070057239,0.6359279926867589,0.6303654212222988,0.5774033183693302,0.21130467037582165,0.22869261911465566,0.6430764402571065,0.1373834342921147,0.39679985215116165,0.45605722810032173,0.08495294669910501,0.574446932314534,0.5994636774999462,0.7215141594869822,0.053516205339502666,0.3685327142155769,0.672663210998449,0.2859409786007832,-0.21467961042157677,0.29277856592160734,0.8574499806458381,0.5220248476552871,-0.3780785822336231,-0.04785876291948454,0.5242188206929456,-0.09923325046152756,0.6529346113746862,0.0914563268017163,0.44928545633823275,0.03301466661521299,0.3982841283170048,0.1391243915129699,0.33761063058264273,0.6831264069524362
Temporal_Inf_L,0.27218612221830824,0.25735149630115733,0.18926509745242265,1.0,0.23258918196923303,0.22621687131649348,0.2222388191062042,0.022794054334312138,0.1585410724911563,0.008596950417793136,0.167194186837208,0.11630306976661105,-0.14841410999617802,0.17247389698107807,0.32706040395258135,0.42931451387340225,0.29197317145309964,0.2970330714812297,0.362387824922427,0.21637811416299782,-0.18812294776216273,0.1426394778217653,0.0018265605975086576,-0.09118461409379629,0.10164122992784629,-0.18668816524161316,0.11378624255511141,0.2338425960558342,0.23733298093752794,-0.1375467287556551,0.23361282987267648,0.2799936623096763,0.4857831486430586,-0.15234486617799503,-0.07879690351588375,-0.24379899628309312,-0.1890438531513879,0.46790686854563435,0.47780129219380135,0.03910603059232466,0.262286223962032,0.5493354988149522,0.1606129169508458,0.24736087900958761,0.23464557039702924,0.39543645376467496,0.08804984286919809,0.11106865810701202,0.10904016964715223,-0.4563700837673549,-0.15984163945346397,-0.019631991689404694,0.32741022901509675,0.398345739062629,0.36772887951790334,0.2619807351401455,-0.10087085970912382,-0.0722060357912929,0.20746003073870156,-0.04578416120456593,0.5003502174747052,-0.4159168648335467,0.1488879461570575,0.033258279793883266,0.2565534896233081,-0.1404936146186593,0.410902999469038,0.08826959107752311,-0.20755218776592446,0.4689909155314912,-0.16190037319125744,0.2625337133459613,0.2007831800627917,0.13424799904172313,-0.07125153760072263,-0.16812215725304686,0.2735404271793993,0.25426000042023905,0.1784866082721624,-0.06172138856262732,0.13414829278586707,0.2847556248685896,-0.020197434271002408,0.03549984307839978,0.08800151586017425
Angular_L,0.41399867606505825,0.34735119098850314,0.1660168659349487,0.23258918196923303,1.0,0.2462526117156902,0.17280047948787922,0.17884708285192896,0.1005217624945325,-0.08640112644297548,0.11490793466437611,0.2081286719375543,-0.08372689814292616,0.21214383700768874,0.2140472124392512,0.23267986868413887,-0.059152416066000246,0.41358003694204937,0.4014677320098069,0.32338702843492695,0.0495945780712652,0.16050776733649913,0.2839279830262121,0.23743038517603293,0.3071051849699549,-0.234968011131242,0.16516913190822838,-0.03630081512331021,0.25517145013238857,0.014688878205940356,0.3578697283325066,0.4247142730500047,0.43730565175342573,-0.11166107564687641,0.1718897931497554,-0.19505587551045944,0.08328793854252489,0.24695593822533235,0.10842029676090201,-0.1245112496336372,0.20339632283147807,0.02339313265037126,0.5099556644693901,0.15599435328201533,0.322686179459869,0.36301970270368733,-0.21479398385331042,-0.03495647998861302,0.34603187972835564,0.016221970987729307,-0.0024585029509960814,0.16166219233642828,0.33353077206633236,0.4103992965399838,0.492980558585745,0.17530145485919912,0.19700949161937267,-0.022405385033371084,0.3210468059666883,-0.16965634240550162,0.17448189329084907,-0.03090310201942644,0.10246850395899568,-0.14693002281058637,0.4145362188912048,0.0111919745732367,0.09677270257537411,-0.04163239000643788,0.06654812983724484,0.05945749699107094,-0.018934276466630477,0.23186360113903323,0.1927291811362567,-0.060466961770308955,-0.13662349018793937,-0.09177768293248427,0.03166894853684828,0.4098272284534741,0.1919600040711514,-0.2803765014435331,0.2512225579251311,0.328257549169247,0.2869065001840266,0.14800839143990932,0.21674609150169521
Frontal_Mid_2_L,0.5203151430071452,0.5462896151077425,0.8238194563394402,0.22621687131649348,0.2462526117156902,1.0,0.7956622276758679,0.2520281202708657,0.6593005771336501,0.4192686371967548,-0.06481813461946954,-0.03630218326798309,0.6142351047097441,0.41312877018874444,0.8508694769805478,0.8551728464556698,0.3123954927685109,0.8244324962737478,0.8692790768706259,0.6721618117901699,0.013934614449110932,0.5423148376352476,0.12476832486266302,0.6264748261614596,0.22098994705296535,0.17878777456772146,0.07643548802825913,0.4650828923150173,0.32474064002464664,-0.03587455732949555,-0.13511665777483858,0.9031839923966107,0.5099604174093442,0.42042762364102293,0.16899800123611583,-0.16296897059608892,0.010064583730486206,0.5299624410725566,0.4063784126532782,0.17934227977721712,0.44498295275026456,0.47489933898184317,0.6045927646190168,0.8256056488188886,0.8550970058380686,0.8004004784483333,0.4872511953082147,0.26159221908173635,0.06884188744757637,0.34320355947517955,0.3112702262131835,0.4181486937255005,0.6923854246214147,0.649618553256184,0.604589489447763,0.2616262194291787,0.18658258177809534,0.5465176937870898,0.1820985648857822,0.278102590930878,0.5936055151022602,0.03765125594464623,0.4781714515660209,0.48861870842848765,0.8576642262781103,-0.0027590869423391694,0.3500915378248278,0.5149537430962694,0.332720618503804,-0.07478455161428842,0.1750230412385682,0.876069879460881,0.46569248765449284,-0.24122598474095247,0.04449232297330093,0.41485941560264067,0.033328929562338426,0.7309371582283292,0.1072573192921292,0.2377819073733636,0.1408070878798374,0.4248419349059235,0.1878431637248846,0.34445532089417097,0.7175465483414663
Thal_VPL_L,0.5884250217628565,0.5280498049320562,0.721418224747243,0.2222388191062042,0.17280047948787922,0.7956622276758679,1.0,0.17363832166254412,0.7695455109959641,0.4844014161525023,0.09726258094750355,-0.11550768070029943,0.49425189193688623,0.3572450998773788,0.6991311315235564,0.7783929380975605,0.3728396268824743,0.6720582929878526,0.7560526135396458,0.6063264479147665,-0.03769855584009939,0.683997060771843,0.055548081132585136,0.6283602974409893,0.4204851567288483,0.13469165987904322,0.033890595880457536,0.43498282486386275,0.2726739625910984,0.021891387962978875,-0.09695161726790852,0.7716960721836511,0.5835675943098667,0.441971099700862,0.17419153939716125,-0.14174912992338906,0.06657817673708231,0.5449785669947755,0.3398900198304741,0.2133609184131875,0.5821904092042411,0.4468301954991699,0.4983668126372067,0.7353014535667302,0.7530778624770852,0.78456447439744,0.3774513007733077,0.1273148530738593,0.1852762041191513,0.37182556553260754,0.129228130377226,0.5888618437125648,0.7267057317464836,0.533147586894423,0.4878736493139165,0.36862620966699683,0.2554022357632968,0.6498396502925261,0.17473604755065175,0.2862214694628656,0.5385553077000246,0.02299243601031411,0.2289429608227004,0.6541658946917257,0.7271202782154756,-0.010155734402279227,0.327484911172412,0.38214633166166895,0.5710603220289747,-0.008542483323639568,0.14724493917683548,0.742926653392901,0.351522606831509,-0.07156447834254127,0.024326825502475207,0.44694046136052235,0.1626147422920236,0.5632173934798645,0.22644810757023967,0.30982328648616253,0.301954638418234,0.28885336939779754,0.08315873484364061,0.34206200170860507,0.7374376551742752
Temporal_Pole_Sup_R,0.0476267608113589,0.08121160401529569,0.18599009048245727,0.022794054334312138,0.17884708285192896,0.2520281202708657,0.17363832166254412,1.0,0.09625129577897286,0.050158356269713,0.007863372550073874,0.037119947101451875,0.229997994276024,-0.011292690977430714,0.1875039934780237,0.1925800468666388,-0.27624732236300026,0.38052613774081967,0.2662128656212886,0.23493053288979374,-0.056615843149247974,0.28866889263997947,0.06075184545941436,-0.011769757971832915,-0.01650154233296742,-0.10918522863645255,-0.0020928608610962574,-0.07957136608507683,0.5868514354002969,0.3080136195852286,0.019182065162879774,0.2984455825002683,0.13627813793197913,0.05245906921406227,0.14939144694932835,-0.14788134721393015,0.14367223152412695,0.12818859069130836,-0.10892779052809631,0.0018417222097541284,0.22034466275507458,-0.06243288424570079,0.12077558203569745,0.1608108276748544,0.1924785738308038,0.09963385269112271,-0.06779353476438336,0.12228749107239419,0.06428693115617262,0.024297762460235184,0.22082056142979037,0.2227436507392554,0.2987422353235839,0.4476229577023938,0.20207275398673927,0.2058911335756296,-0.0822636214020789,0.07867554569430221,0.23280216600207815,-0.3397849673531083,0.1598957904218149,-0.42952104419352083,0.34742410121796446,-0.0164799700839216,0.3056405417916516,-0.06022077726287198,-0.0781703461706288,-0.06952528463103104,0.14384491371392058,-0.15757893938414272,-0.13639736656574802,0.17027251609327104,0.3585823340629705,-0.3292626725832537,-0.20924019343443873,0.08876514945290548,-0.1550407109501486,0.2543147822407439,0.1526882854351893,-0.4122178004212384,0.2714503607556343,0.1633999459900148,0.24876432227109946,0.23909058150612864,0.20715474790658467
Thal_PuI_R,0.5100038588835935,0.4924085431105137,0.6260570081167041,0.1585410724911563,0.1005217624945325,0.6593005771336501,0.7695455109959641,0.09625129577897286,1.0,0.5157291678376686,0.016245632862670153,-0.21141303911277295,0.4275134247356422,0.3118509157544383,0.6142674317322033,0.6740896734776503,0.31455975729367497,0.6036557978867474,0.6330972943478105,0.51603142622931,-0.014978371551632473,0.512871140276299,0.05440034121867819,0.5014280352824851,0.36777703516193705,0.22155950412302172,-0.013877881291810742,0.3863372525089417,0.19996543844055978,0.16376280072557228,-0.1721825950018515,0.6300624413584704,0.47000758329053466,0.38576026799366037,0.10120307735932527,-0.10533472099642979,0.11201831291916295,0.41877932393698136,0.2942048053763639,0.11396060093279836,0.3701433144426486,0.4220902961344312,0.3698534329256014,0.6928458736028544,0.6408005237808745,0.6686297204315905,0.39760448160751366,0.1255593880505308,0.14867930125633833,0.31387310521454137,0.16873682990324276,0.520183711830225,0.6525567682006037,0.4021554164014387,0.3898031442167247,0.18736069838972316,0.20174862380954356,0.5227013457869374,0.11940384972908567,0.36772312516401257,0.3911366383306268,0.0011288055806029707,0.0960273490304413,0.6000314696050668,0.5925765645763379,0.05112210939642871,0.3159963296832521,0.4311386130035119,0.4958499889624285,-0.08919935258324511,0.25609393679680886,0.6662268822343508,0.20733564700485785,-0.07511276209231815,0.12913331052714572,0.38153163009047936,0.11783428178660978,0.5491302732564414,0.17714282826368824,0.41173470949241575,0.21729270816078142,0.21581128884321907,0.09870031684621632,0.3368791839734865,0.6758621602470752
Thal_VA_L,0.3948255564666262,0.40763992943007415,0.5738050837317575,0.008596950417793136,-0.08640112644297548,0.4192686371967548,0.4844014161525023,0.050158356269713,0.5157291678376686,1.0,-0.38385126824610616,-0.4997084030318665,0.49760304353520185,0.23534419943313403,0.3491849285919619,0.3861512377280943,0.04515316564995501,0.415756855314608,0.33025381873785165,0.375864326892596,0.22297306939837883,0.19359274165270224,0.09053979926001046,0.13915681472329952,-0.06171180620406789,0.415727328764506,-0.12132905552965507,0.230858026018676,0.030384130619847183,0.21694130342564008,-0.18173497837991792,0.38090235190690547,-0.022564029734449997,0.6868824862448673,0.24230992499885007,0.16583062690879544,0.037057287720274786,-0.050533245910280536,0.2078701024002245,0.17380337732360773,0.2522804348932984,0.3566828720832044,0.2299119633165983,0.5565321839003495,0.5054943049831636,0.24815919919374782,0.4240885535129715,-0.09344104258074765,-0.17435028033238947,0.5165494339333715,0.49241560086549785,0.21364829366357874,0.2974433232685343,0.1526651644726421,0.1293825627574031,-0.24833828388564225,0.31164158576983697,0.7188117825241526,0.005967918716812381,0.5557557866761392,0.09798206173087551,0.059380209283269814,0.27925588429261144,0.4445299128139471,0.23087065134754162,0.13910638266497247,0.41925960002727625,0.5209987288063324,0.427904628586681,-0.13052290141512354,0.4912613649619265,0.41574825437340684,0.38617446904842223,-0.45631512119978473,-0.011614670233014367,0.7339083645621215,-0.2668220130200938,0.391830212336457,-0.04144813082941198,0.41592676426667363,-0.07983589462824328,0.09236423266471214,-0.07981372380030782,0.26336793866018593,0.5269314280844205
