,Thal_VPL_R,ACC_sub_R,Rectus_L,Cingulate_Post_L,Thal_Re_R,Thal_VPL_L,Calcarine_L,Thal_PuI_R,Cingulate_Mid_R,Occipital_Mid_R,Vermis_1_2,Olfactory_R,Cuneus_L,ACC_pre_R,Thal_Re_L,Postcentral_R,OFClat_L,ParaHippocampal_L,Thal_AV_R,OFCmed_L,Thal_LGN_R,Temporal_Pole_Mid_R,Red_N_L,Thal_PuL_L,Frontal_Inf_Oper_R,Postcentral_L,Thal_MDl_L,Thal_LGN_L,Red_N_R,Thal_PuA_R,Thal_LP_L,Cingulate_Mid_L,Occipital_Inf_L,Cerebellum_6_R,Heschl_L,Cerebellum_Crus1_R,Frontal_Med_Orb_L,Cerebellum_10_R,Hippocampus_R,Thal_PuI_L,SupraMarginal_R,OFCmed_R,Thal_VL_R,N_Acc_R,Cerebellum_8_R,Fusiform_R,Frontal_Sup_Medial_R,Frontal_Mid_2_R,Paracentral_Lobule_L,Occipital_Sup_L,Cerebellum_7b_R,Vermis_6,Thal_MDm_R,Insula_R,Thal_PuM_L,LC_R,OFCpost_L,Putamen_L,Precuneus_R,ACC_sup_L,SN_pr_L,Vermis_8,VTA_R,Thal_IL_R,Fusiform_L,Pallidum_L,Lingual_L,Lingual_R,Thal_MGN_R,Thal_AV_L
Thal_VPL_R,1.0,-0.07077511174223577,-0.14643195853450466,0.6637821057313364,-0.01874713024597189,0.5944056276564255,0.40778142265258593,0.6522688628359263,0.3839655756516278,0.16443923066800967,0.16277745747650774,-0.01372009767222603,0.27421876508770193,0.026332970057055052,-0.01266922362587943,0.0689036681351211,-0.08746656631847058,0.1277090070126319,0.5969050575440112,-0.08903125966229197,0.425737205868416,-0.08859907081615319,0.34445232722539704,0.564006710685775,0.5464878557756363,0.13916400125668085,0.05336023637955532,0.6442098835865872,0.311183390987526,0.6861960510509595,0.07179529864441034,0.24167708441783148,0.276588814942086,0.28623654787547087,0.12439501521184193,0.39664494004925815,-0.013107455740880337,-0.20321164396886005,0.14284514690197983,0.691534739752853,0.30638710668659025,-0.10275782189128378,0.683257559855843,0.21046847213653883,0.28678297738190545,0.39176493674201623,0.12006213377380397,0.31974634627379916,-0.036702251011046204,0.08154010887730813,0.2415425314850571,0.4186987274337076,0.40192040582718686,0.4521045219299686,0.6719039712344518,-0.04005014908588373,0.2034406260413669,0.36010383903962484,0.45970501117894674,0.3910927507447856,0.09194676043900817,-0.0616460754088594,0.14227568697037515,0.35596594461860454,0.35684133824626985,0.208245178751313,0.671371229339272,0.5281733510350745,0.28874752827437755,0.36878959585405174
ACC_sub_R,-0.07077511174223577,1.0,0.19559990536434288,0.07338098887999776,0.11857706717497667,0.44154314586026894,-0.6654128706272799,0.06980805776108151,-0.028205999071213936,-0.6482525338977396,0.3206622828626303,0.7813400013319699,-0.7816517896310994,0.6772628306350506,0.6691035512663696,-0.4269199761941809,0.45264778411315426,0.6128563874827534,0.0038237531004040553,0.24697086647001032,-0.003488706672157025,-0.4209406061906374,0.06056332370318407,-0.04934151469508703,-0.06917390263929536,-0.33338278956515843,0.6327813898263868,-0.024393108967655088,0.10054110275503858,0.23501605293718417,0.6329467385640347,0.03799667295052071,-0.6725601946351077,-0.18744748150948753,0.4119858607679921,-0.2621054572005697,-0.10916744329120369,0.4995825373232009,0.8178364884127831,-0.33931203669187987,-0.3438670194057215,0.35038003534778256,0.13433274206694595,0.13448362173651318,-0.1127878476340986,0.12873111759703748,0.16623290739563926,0.6354727312351107,-0.007292646382134387,-0.635921540499497,-0.19786493373801223,-0.13329655557716197,0.4022779423212285,0.1645185838340486,0.4153251406164432,0.6544619630288623,0.14577624432999864,0.4703670484490195,-0.4503411625096033,0.2564970221744058,0.23257071501443385,0.5320152769142347,-0.05039074836118132,0.2651821947418664,0.2704492704772575,0.6896478044505512,-0.34507930833834627,-0.3907889373522939,-0.40758453201676326,-0.3130955906723596
Rectus_L,-0.14643195853450466,0.19559990536434288,1.0,0.031389908972706444,0.11903472431554556,0.021526168255990217,-0.4178654995758441,0.020158126071153592,-0.0492380682012457,-0.4190126426769182,0.2766238952737207,0.47457107890209815,-0.1650292452864482,0.38586711065921087,0.27554923263844316,-0.13825071453827856,0.6020184319029029,0.6193207607185659,-0.14999306018778547,0.8415407870685896,-0.3186477232776383,-0.45313764350901464,0.0697501047045303,-0.5159854868223532,-0.48300569719229197,0.32448231160604873,0.2118916673585799,0.1953940742469319,-0.11964803569397459,-0.04640352597147233,0.048731706102585835,0.1739153973083603,-0.28359452318628786,-0.5723431702069982,0.5050430021784953,-0.7081530891940868,0.821396310015269,0.45720853626250846,0.2926907317215956,-0.049185216281306815,-0.4486666337022727,0.7326672557138743,-0.2600777079375761,-0.2038270979466178,-0.6219855861794441,-0.26907534590600307,0.4073787343162488,0.11940002505874595,0.3249640404002353,-0.2417092487445852,-0.542677529786239,-0.2804527701339357,0.2852219072607979,-0.27190148673657627,0.0907759363915183,0.13824513875226666,0.36240394980972196,0.21512003018209894,-0.07800336443856351,0.037798842431723996,0.5955101434491183,0.006131110754698969,0.15600283196904688,-0.16799618725506973,0.5458995940412965,0.2007003012561394,-0.33499220248844025,-0.3630650080364543,-0.07140839313490639,-0.3705851267759041
Cingulate_Post_L,0.6637821057313364,0.07338098887999776,0.031389908972706444,1.0,0.13953808726589473,0.6263455947195431,0.2432586176003055,0.4756058364925715,0.7505908771981321,-0.025437181306584667,0.12689587880015482,0.1137476036027281,0.14441499041286793,0.2699620160290372,0.15394272272336576,0.1950776633488888,0.089346964642835,0.18290193893018297,0.5104241605357502,0.09699403474547512,0.21223414557766335,-0.19738333528608343,0.16574349040476533,0.387686745677464,0.5233213113693477,0.22914226793164794,0.3122038307905449,0.6226728552408433,0.1760302922207392,0.6436076204087244,0.21867271895249396,0.6906136284435663,0.02492958810184487,-0.13353266841438902,0.3489827518066833,0.08986180159591399,0.05263219490413732,-0.0746854066207258,0.25883518114011045,0.5052597377681052,0.3387690915578135,-0.008370097929292917,0.6476107029104374,0.15604702718427305,0.006301368035615026,0.143266730309578,0.4389738474350691,0.6237219750699143,0.024805683031016493,-0.0002259318228086949,0.01796933497628823,0.12982506253808002,0.5804102837283892,0.37414551023667203,0.7210015835120531,0.1573154634016431,0.2728555036253307,0.38897911259951506,0.33333649557939093,0.549037491808,0.13671524292213177,-0.07991267605769474,0.038814087162401416,0.3453296490863209,0.2567601996012951,0.31783759822901464,0.3741855575256147,0.2139393301779472,0.13414936565889848,0.07375953443442407
Thal_Re_R,-0.01874713024597189,0.11857706717497667,0.11903472431554556,0.13953808726589473,1.0,0.18222293148258623,-0.0959222735953054,0.006284720624573241,0.2071527816692597,-0.3550436174965485,-0.05983247047903325,0.2106197889888469,-0.17365055374675534,0.28636941238746283,0.5147942985169845,-0.006699454054411469,0.41532894040149526,0.3344289912923718,0.34167497880316094,0.19609254353746167,-0.17395038600649973,-0.34618314396545186,-0.2526507260801136,0.02171986530430599,-0.07965205668643825,-0.06854074533082709,0.44083925493033327,0.05134083234683881,-0.21282018659806867,0.0693923631796723,0.06755578779188835,0.17217495763468807,-0.353993728078166,-0.40028197220812733,0.20276831976158963,-0.31640639252705177,0.08522371833289656,0.13810780285740276,0.23419843406629443,0.017903845943947432,-0.27373746899603557,0.17188223463883479,0.21326823914799173,0.4461845276097528,-0.22097725954864883,-0.2598795752831462,0.25040493406031644,0.24512273308085075,0.0085984075474694,-0.29450483501322716,-0.1704986994690451,-0.21214264442225053,0.3971189339782176,-0.159000732541823,0.12948600953360567,0.3384821007819978,0.23508484009230898,0.4633766204237479,0.01568985035948304,0.12864575703683784,0.30903257604921236,0.05168462913252826,-0.12557563425631954,-0.002384818037726736,0.20961926496373043,0.37235458739583915,-0.15448512373511053,-0.31014241532832787,0.29778058972562454,-0.4130676710783016
Thal_VPL_L,0.5944056276564255,0.44154314586026894,0.021526168255990217,0.6263455947195431,0.18222293148258623,1.0,-0.14426332459950336,0.27358503042153837,0.39223222547462727,-0.39943461396488494,0.2517953665937643,0.42964052694368415,-0.3098275360579195,0.532703802094584,0.43329496483491053,-0.30090094989922617,0.31987365233542214,0.44338128573656527,0.43958477571843224,0.08950144628524845,0.2196062249584949,-0.4464231439193806,0.18849214751126747,0.5505998426801862,0.28861330650132977,-0.21334922027696787,0.4939023383808314,0.3494665077654338,0.2607902819465475,0.6024401706013958,0.3523471142804872,0.26173393873505585,-0.32919426995895307,-0.07847044858826739,0.5063826228504638,0.059828521375260596,0.017930411285326592,0.140476696001644,0.6256625028078155,0.2735590140120248,-0.07170753651192607,0.12160298104044799,0.6440607164633536,0.44597990395033704,0.004748515390115057,0.14337800226103983,0.30494783661518277,0.6165221460027207,-0.18019394865710336,-0.4436212399108232,0.036882452644430956,0.0715483427679541,0.5966991460966318,0.39878305275062403,0.7856967771930555,0.4874973955316824,0.22332285559076734,0.6592057836630223,-0.1310967569412807,0.5641879860698209,0.19952371265020843,0.22476662548433152,-0.06522520015892512,0.4435683738493383,0.285136423558803,0.6288095338455469,0.19047133464320318,-0.03775695975826037,-0.005975038466008874,-0.10436519100547341
Calcarine_L,0.40778142265258593,-0.6654128706272799,-0.4178654995758441,0.2432586176003055,-0.0959222735953054,-0.14426332459950336,1.0,0.0638974438532073,0.27561021797346774,0.8629688899687765,-0.24655480562227813,-0.698350855733167,0.8699571877101936,-0.7060189892656945,-0.5259048326316277,0.527286323880761,-0.6617420337605635,-0.6128859498343818,0.34814993267178046,-0.3188395817299669,0.23102313861610832,0.4862759348839782,-0.03314726191265886,0.3400156814973397,0.5710251018358972,0.34728183499799503,-0.26929751672119284,0.13159334626368338,0.09243212293441029,0.15660652668413388,-0.3881153866824352,0.14472565274426177,0.7938920898379883,0.25202383255326105,-0.33353624750190103,0.4135446781528634,-0.2060150262663582,-0.6852098850453453,-0.6375027922718934,0.6067372823834041,0.6913151072042508,-0.4276627811518856,0.3338492127204765,0.01360323724795264,0.3327680156859178,0.17287022870399435,-0.34278196866469396,-0.24587501195752062,-0.07826252231225304,0.8136363974549955,0.25413743870102773,0.3946252716902235,-0.09799102631152146,0.2052261760952149,-0.042401799686963386,-0.6186015911014878,0.04585953074049126,-0.26077612469249595,0.6401468917114125,-0.18566698552224664,-0.4576284924300423,-0.4734444665441187,-0.05860260028864441,-0.13287273424042242,-0.2072531449896241,-0.38690985701565717,0.7478653700494314,0.6451953637360184,0.3877056207781841,0.3645402434475426
Thal_PuI_R,0.6522688628359263,0.06980805776108151,0.020158126071153592,0.4756058364925715,0.006284720624573241,0.27358503042153837,0.0638974438532073,1.0,0.26571418269802616,-0.0837107399597791,0.044403577431049376,0.1123152900376193,0.0233172028511731,0.17641777373407086,0.15843709179314472,0.2169857476175923,0.1614095444750287,0.3150708689800688,0.3788987874241088,0.04958769220848432,0.13456445831184305,-0.26698502393652357,0.25532851548312874,0.14117189567451285,0.22096112450681143,0.23608726351887682,-0.0011157333601838162,0.7053964612563023,0.0032353253492682934,0.5052741127900471,0.22522088942870405,0.17167775578381309,-0.0031130678990403658,0.25668296429186754,0.045174828286411915,0.26697896271794774,0.05471929841463599,-0.02547211692494915,0.19049005044928555,0.4645838680986268,0.0798347779628419,0.03238581156421091,0.42266374883332436,-0.037853643610007225,0.22091287665006798,0.29134214253969376,0.34471733265399823,0.3195044755559821,0.30749259927368205,-0.10686190792513667,0.1891335319166804,0.2388461096217804,0.31538335264230943,0.1151992078023162,0.43911821615338675,0.15344370837963875,0.11118775639917784,0.26227592609635625,0.5109262804694078,0.3501622702634951,0.3584418991621944,0.15898327551749775,0.11892689112726933,0.4766496350314123,0.46287300159112527,0.1806460024463398,0.2559212727399425,0.2944444120028574,0.23998773173512916,0.33538285831258685
Cingulate_Mid_R,0.3839655756516278,-0.028205999071213936,-0.0492380682012457,0.7505908771981321,0.2071527816692597,0.39223222547462727,0.27561021797346774,0.26571418269802616,1.0,0.06862637227266938,-0.22335887690703796,-0.035836151673267334,0.284935156271864,0.19494318134408992,0.1155605429374828,0.49330543276738265,0.05824667164317581,0.04304433929508403,0.44410486055873516,0.030054884473838937,-0.1319297668331339,-0.1547989450786492,-0.06315726428744216,0.25400001942361977,0.4391556722300353,0.4301048996175048,0.28376465967445264,0.30357138005224044,-0.0674825592482125,0.41124872759508596,0.1606903794637701,0.8620551662357624,0.008282349496187742,-0.13719023894628418,0.22856209423202542,0.12274150474046212,0.03606503783350593,-0.22324605225800526,0.05087359362651374,0.38851079327569366,0.33466860814629823,-0.0060753220486200205,0.5718436884801255,0.2983051588886274,-0.06365359883219837,-0.04916896660624949,0.6039611116104854,0.5899158832780771,0.23862292018155307,0.12424924540213537,0.03162108851471986,-0.028734067530703372,0.5175891330474609,0.12841670216873113,0.4183056149210178,0.14571289815843663,0.10370752169852879,0.34048591317627097,0.4669875270652039,0.6707891452099538,-0.06388336305836047,-0.028111612157367596,-0.25359729206134074,0.2874676211185855,0.04549954786977874,0.2452443838749238,0.12270998702971295,0.016721239463416596,0.06251348497762028,0.12807590690905626
Occipital_Mid_R,0.16443923066800967,-0.6482525338977396,-0.4190126426769182,-0.025437181306584667,-0.3550436174965485,-0.39943461396488494,0.8629688899687765,-0.0837107399597791,0.06862637227266938,1.0,-0.2858237268990868,-0.7438967446550614,0.8228732875719171,-0.8222430939491393,-0.7094792279782154,0.5335755502102666,-0.7890907730792578,-0.747403776748261,0.06676425073121488,-0.4231602295220462,0.21243805213909217,0.6707706090484747,0.03710432070221331,0.142288484067222,0.4605299062118251,0.38709589432051394,-0.4348797156481904,-0.018397152041121866,0.1563113599642987,0.011808259908712516,-0.38095117454729394,0.008005036514680642,0.8747016543576273,0.3718880404315813,-0.3859452192160861,0.4638250535694057,-0.2157880397480866,-0.6099886537244177,-0.7362763381265736,0.4056049951195823,0.7280732226977111,-0.3963715885363339,0.1228481607590808,-0.16216739429950283,0.3962965500228682,0.22287059198696438,-0.4613320312122048,-0.39245040323469527,0.01471917973207765,0.9270132085969262,0.32838619688526244,0.34320978164387284,-0.32190286148979963,0.1254814490276481,-0.21703412580564913,-0.7261629813562527,-0.15307257060301668,-0.48934358595863187,0.5077672139607737,-0.352030374186891,-0.6049757386189802,-0.41302016797069196,-0.029741582498394318,-0.1548865787589208,-0.3443423307810259,-0.5220758431176971,0.5965108004598257,0.6009976428908281,0.12001733160764748,0.49975577750199157
Vermis_1_2,0.16277745747650774,0.3206622828626303,0.2766238952737207,0.12689587880015482,-0.05983247047903325,0.2517953665937643,-0.24655480562227813,0.044403577431049376,-0.22335887690703796,-0.2858237268990868,1.0,0.5725083523344221,-0.3006304791346333,0.34729011163976414,0.1051862562564878,-0.5179179126556921,0.05906275549420992,0.37464862647588804,0.11441752274886634,0.2963642892413951,0.3920539471735079,-0.11856082078834768,0.5662828817472814,0.2822200062510276,0.15266495638264993,-0.357297818583404,-0.008900500579498719,0.13106171510630105,0.507062221221356,0.06444425363831259,0.13681404839179645,0.007655352517881656,-0.12188687680838832,0.09125039464956256,0.11826582136516797,-0.2546151750634247,-0.040090559288994465,0.42773668382011026,0.5215569879403928,-0.18113186865889944,0.07011551950351357,0.015227519621742763,-0.0699299883868908,-0.26532149009901446,0.07550221450489243,0.5687283247821167,-0.13574910816651264,0.25653606000112966,-0.22506144334201278,-0.3968662805588013,-0.023585799536571295,0.503744883733316,-0.05763704609194117,0.6396210167353614,0.32718121404966344,-0.012285055335776155,0.21759358094240383,0.006558125279376182,-0.22721561817020675,0.05193871383659631,0.4582196707196523,0.03133988522575426,0.6447672020654178,-0.13088587361066814,0.44068622387236617,0.010591088610460275,0.305424028207765,0.3232900045543589,-0.00907545334097856,0.05606388873251148
Olfactory_R,-0.01372009767222603,0.7813400013319699,0.47457107890209815,0.1137476036027281,0.2106197889888469,0.42964052694368415,-0.698350855733167,0.1123152900376193,-0.035836151673267334,-0.7438967446550614,0.5725083523344221,1.0,-0.7044048037601399,0.8036304932812741,0.634650440895892,-0.4614562484311395,0.6442837625659483,0.8083340034972022,0.1476131732379845,0.5146944234894738,-0.02462536899208115,-0.5868087409800639,0.18678460764860047,-0.01845876675376127,-0.14384404555885252,-0.2509394015750016,0.5207165511903029,0.11639644260375334,0.12086535797898583,0.16994502097489658,0.4396746292592899,0.1275801852223484,-0.6705716444113105,-0.24821224737164707,0.46834892094633956,-0.45975266169171985,0.1624137196783338,0.6301652973253828,0.8585557412792265,-0.32093019497811254,-0.39564858464383335,0.4361436214055142,0.04789982164666047,0.08830589910666206,-0.2186764158298576,0.1667607138171903,0.340457376417823,0.597417689945099,0.08972623062104916,-0.7272881685969511,-0.2857588931933431,-0.02155165849653619,0.38115908755491684,0.2413177973030695,0.3984304667710413,0.5286933387933056,0.3578745418143316,0.53285387458217,-0.3491121067333259,0.31254599672979705,0.5626338139111737,0.38878680758528694,0.17241878130244231,0.08292224609934788,0.5666481527258042,0.5731865028681535,-0.2806318043623729,-0.33646414179024525,-0.22321496375856772,-0.28214351512208613
