,Thal_PuM_L,Pallidum_L,Cerebellum_Crus1_L,LC_L,Precentral_R,Angular_R,Occipital_Mid_L,Frontal_Med_Orb_R,Frontal_Inf_Tri_R,Putamen_L,SupraMarginal_R,OFCpost_R,LC_R,Thal_Re_L,OFCpost_L,Thal_PuA_L,Vermis_10,Fusiform_R,Rectus_L,ACC_pre_L,Cerebellum_7b_L,Temporal_Pole_Sup_L,SupraMarginal_L,Caudate_L,Cuneus_L,Raphe_D,Thal_MDm_L,Cerebellum_8_R,Thal_MDl_L,Temporal_Mid_L,Temporal_Sup_L,Temporal_Pole_Mid_R,SN_pc_R,ACC_sub_R,OFClat_L,Postcentral_L,Thal_MDl_R,Frontal_Sup_2_R,Parietal_Sup_R,Temporal_Pole_Sup_R,Thal_PuI_R,Frontal_Sup_Medial_L,Parietal_Sup_L,Thal_AV_L,Precuneus_R,Thal_VL_L,Precuneus_L,Thal_VPL_R,Vermis_6,Olfactory_L,Thal_Re_R,Paracentral_Lobule_R,Vermis_4_5,Hippocampus_L,Amygdala_R,Olfactory_R,ParaHippocampal_L,Temporal_Inf_L,Frontal_Mid_2_L,OFClat_R,Thal_VL_R,Thal_IL_R,Supp_Motor_Area_R,Cerebellum_8_L,Vermis_1_2,Cingulate_Mid_L,Fusiform_L,Thal_LP_L,Insula_L,Thal_MDm_R,Vermis_9,N_Acc_R,Amygdala_L,Thal_PuL_R,Frontal_Sup_Medial_R,ACC_sup_R,Cerebellum_9_R,Postcentral_R,Thal_LGN_L,Cerebellum_4_5_L,Cerebellum_6_L,Hippocampus_R,Frontal_Inf_Tri_L,Frontal_Mid_2_R,Insula_R,Cingulate_Post_L,Rectus_R,Temporal_Inf_R,Paracentral_Lobule_L,Cerebellum_3_R,Rolandic_Oper_R,Thal_MGN_R,Parietal_Inf_R,Thal_MGN_L,ACC_sub_L,Parietal_Inf_L,Temporal_Mid_R,ACC_sup_L,Red_N_R,SN_pr_R,N_Acc_L,Thal_IL_L,Frontal_Inf_Orb_2_R,OFCant_R,Occipital_Sup_R,Thal_LGN_R,Precentral_L,Occipital_Sup_L,Cerebellum_10_L,Thal_PuI_L
Thal_PuM_L,1.0,0.1309044618482275,0.9029682559396025,0.968711040378737,-0.6149929030814989,-0.9354831349960556,-0.44065729628574846,0.08809999409867919,-0.32478721517830883,-0.18178685516015639,-0.45758965443489835,-0.34672259388649324,-0.29425694886828335,0.6690642597346221,0.25923969547099035,0.9986729363793616,0.9894457058127042,0.4552975058502949,-0.06141850664909336,-0.39270929680956157,0.9566461917538552,0.9769401743055757,0.07203330862041317,-0.1981439217831844,-0.808077938651365,-0.34694652329782755,0.15948760244473614,0.8418217139683773,0.12593470662031334,0.6072158308647496,0.9301555686676604,-0.08880643083674002,-0.23019777254733548,0.05184531134192183,0.9669963545764262,0.4463801926638752,0.3761924428590323,-0.8171650956051926,-0.3545110356499515,-0.059357905388961234,0.3891407392108401,-0.7470702010840379,-0.08831043788698217,0.2853382643125456,0.6407880049735479,0.7707783571179057,0.18701697380617946,-0.018866483965090677,0.8913712554751484,0.009868423704801397,0.5301113054133831,0.06223344487622934,0.9889103848644453,0.9475493876372241,-0.12222841284533423,-0.2791717055007304,0.9111582273315717,0.9380677036008933,-0.08733620054892775,0.3033323774050997,0.35353672052468554,0.15202275705668897,0.35202226935248576,0.993612427512229,0.9440896423727234,0.9880171815415432,0.9776376854005248,0.981834291637861,0.8438217399033267,0.23438718020341073,0.9846357958952063,0.299336431208802,-0.3296292494695618,0.7193222028652189,-0.8558816446337966,0.03299700635113423,0.9940599716261267,-0.48746671423156024,0.9778534595907824,0.9892987739661048,0.987298467252829,0.31202409959484884,0.1011750229759557,-0.602587986885991,-0.27947100815636233,0.98472520272665,-0.07784063806568027,0.1336307679543391,0.06147377400933654,0.5300293960806762,0.045452330138462976,-0.23853684495488564,-0.5697024455949166,0.9857902497393681,0.4623040914832708,-0.19267391515379942,-0.07924879584202925,-0.5281085960492269,-0.11737575202559292,0.25803195708911164,0.2345512508145858,0.6449263994232178,0.006049102615320729,-0.055872284017605196,-0.8750191719977862,0.46835600733521576,0.5354937594592873,-0.5871311157969591,0.9976143078273402,0.9896799147990452
Pallidum_L,0.1309044618482275,1.0,0.07586066218823985,0.1628536261091849,0.5560081321465516,0.19757308885286679,-0.6051279871727036,0.7263504551129797,0.7480845419011499,0.5696011007652259,0.6323299781468891,0.8676916491315055,0.8267193065749185,0.7869551664999586,0.9696624832925897,0.14560119086569778,0.15525388646630772,0.935644867920494,0.9401452947210075,-0.20075378032234822,0.27967653195165804,0.2792319055887717,-0.8880064646732045,0.21980804117773786,-0.08178503604853234,0.8504083840445998,0.8633249534489167,0.6141691478051317,0.7936581274577066,-0.36555579980826985,-0.09278140375962346,0.9482625278141867,0.8886207529842036,0.007804677633758813,0.042656169800285915,-0.8214054449142472,0.8587924722828086,-0.43331464221594435,-0.8545824431858869,0.9409327616037668,0.9059903383992253,-0.5613648750480909,-0.9645467545126944,0.8228399582598267,0.39324545626207885,0.6132274852543697,-0.22089962789699813,0.8925218012376721,0.4097851161669015,0.7357130144057195,0.7894589273354552,-0.5411589726705831,0.20958521575578645,0.21503109574169926,0.9599398114686792,0.883320576387498,0.5038451742429612,-0.00031256217947718594,-0.8009125362035951,0.9030510213264126,0.7885710906250285,0.8998599798082793,-0.4811221855135302,0.17705641296190375,0.10154926846598995,0.20658215138293654,0.13532813751774098,0.08706687240201284,0.09926015551506123,0.8775476595118994,0.11904687390759344,0.962835215026139,0.857953765691724,0.7424809557336768,-0.45204243608890404,-0.39115550321445475,0.21066616078693085,0.47023446254625606,0.031947462656161656,0.15954751543795467,0.16142363716185734,0.9622087081377867,-0.5018614829133475,0.33914100454040474,0.886073106106343,0.24910609571501294,0.9744879503746371,0.9763193721582186,-0.8694398686101578,0.8957548197289159,0.9542174355256318,0.8386437380191191,0.44452791321240076,0.07919297421508845,0.2901573298970027,-0.819810059553635,0.9275937571726008,-0.054353317510065995,0.9373662916441179,0.9519694611918478,0.426193131498239,0.7802294629332834,0.9585923152632617,0.9651285147908504,0.025284814428651783,0.8436074738930922,-0.7136737931231147,-0.43457614382432364,0.14025287813962142,0.051434567973956166
Cerebellum_Crus1_L,0.9029682559396025,0.07586066218823985,1.0,0.955238651327136,-0.6907899084775724,-0.8046808617739861,-0.10274077325704492,0.29715404304094806,-0.4732298542489995,0.12309669226645872,-0.5735140742404895,-0.3905111269935818,-0.2805337981344483,0.49501574639055873,0.2625855116368162,0.8840183088909889,0.9498459364403735,0.354089122278148,-0.02972922669701673,0.015387770575122611,0.8775310959583495,0.9242723366194523,0.261338933226083,0.19550175589365876,-0.49558148223186244,-0.4279540898508959,-0.006237291315933117,0.7157665770814408,-0.026282377025264647,0.825461654219744,0.9649967015801971,-0.20291596401513862,-0.3150166420058131,0.4590977340438892,0.9708860408083156,0.46989143103443376,0.13506183828335067,-0.7940545469741752,-0.11761623755977005,-0.16265071273224274,0.2218684924777265,-0.4608011289149999,0.03861238533568518,0.10518334281087531,0.8525269996482757,0.5824541349599287,0.5596529936884792,-0.18139569805416944,0.9305388764523417,0.2261416238437896,0.371539753639827,-0.2525339211330557,0.9357133963002976,0.9681372639907512,-0.18510059983993726,-0.20071925540044305,0.8624976769084955,0.9670936193229179,0.19397832103497967,0.1910323796619931,0.13278262558101417,-0.006039373947583524,0.04465209986489206,0.9124983977327873,0.9469131585262797,0.9073344905405581,0.9635117254084672,0.8153648201625443,0.9643623725326171,0.046939114078273815,0.9319020085183285,0.26662235242388377,-0.2297741405070035,0.5348375894402682,-0.6328506194930552,0.40342486844425995,0.9051228779678946,-0.6589774285101953,0.9631345161379941,0.9432465746570592,0.9554331197482471,0.171871807973082,0.45134598716711644,-0.7829771679970324,-0.3669081874230037,0.9295952627114309,-0.14635728964290692,0.012986578685043548,0.26687623641556746,0.400133182869952,-0.08588404200008866,-0.3474061292435328,-0.7690767070562711,0.9363862110727895,0.7492700160292194,0.07115652292244515,-0.2052238304263476,-0.15638097207680082,-0.20889754015247816,0.12953317001753906,0.4868380313390569,0.49525724796969745,-0.09268243106432725,-0.16280819176185274,-0.6105507517223178,0.32890200733271585,0.6260184101227274,-0.23435172221685505,0.9153323360487794,0.9301239934685088
LC_L,0.968711040378737,0.1628536261091849,0.955238651327136,1.0,-0.6546477772673113,-0.8714660254193773,-0.2886653691436095,0.2637277397254557,-0.38897859652949557,0.01930620899902959,-0.5185994983125366,-0.3351519253915557,-0.2773221436183942,0.6272731531077416,0.31145360796539323,0.9595106085954173,0.9895081202124715,0.4541632954135641,0.029022897705622733,-0.18482309907968092,0.9114166513582717,0.9828477362028033,0.13030448959552918,0.024901557988774605,-0.6500480533293751,-0.3547683357125851,0.09463662287316679,0.8048980941613005,0.05339408186497932,0.7180390334052196,0.9596444137511311,-0.10360163196404627,-0.24258022612271143,0.2598350233057421,0.9865130103339596,0.4131822667997147,0.29815750452839423,-0.8752742222361932,-0.2704342048715988,-0.07761802789191433,0.34025931749975913,-0.6485661714498238,-0.0663042583331849,0.20830620051872162,0.7798046451068419,0.6951525841626333,0.3864143743622327,-0.07292801083730617,0.9310199857225919,0.18431026106869555,0.46080372143125703,-0.14069570172512189,0.9887025043616591,0.9905846692751388,-0.10677184766908955,-0.17981886809385528,0.9269587190067187,0.9735485896203948,0.01968335369745956,0.26981407642368,0.2592795006872684,0.09840774452292107,0.15402790728690047,0.961706634759396,0.9796191514295831,0.9576233680833939,0.9930634544960151,0.9092702273412316,0.9374464383939927,0.16599403602110677,0.9845169978991507,0.35443847170989773,-0.23238132375276258,0.67421188832137,-0.8014000726301119,0.22078979685405764,0.9636627227234911,-0.5888261779447865,0.982532795439665,0.9900204464676821,0.989755459192882,0.29488258259702527,0.2679092206225693,-0.7131804756630212,-0.28623486543660026,0.9858863226505349,-0.05740327272040991,0.11853855044896484,0.13016245938860083,0.5161656546729287,0.01842652334656605,-0.274996714659192,-0.67295058728746,0.9603500776160172,0.6427235789928526,-0.0896011341514058,-0.10624764939849578,-0.3220497849681632,-0.1310444895533975,0.2261853730554987,0.4330800033521693,0.59926197099338,-0.006285532705634226,-0.06067878991498322,-0.7398828150211852,0.41523048698080184,0.5367563710089922,-0.41979543345284115,0.9703007104764505,0.9790383355283302
Precentral_R,-0.6149929030814989,0.5560081321465516,-0.6907899084775724,-0.6546477772673113,1.0,0.7691611758303235,-0.3527499926478743,0.12851173583655204,0.9404163515415945,0.2266190130064029,0.9808763798176333,0.8844705102137903,0.8733407079020735,0.126340633002148,0.4465921312376577,-0.5902671013036958,-0.6250465934633629,0.33467729376563227,0.5235503278279827,-0.16956824349309443,-0.4313832695605189,-0.5675109546545531,-0.7855123126782181,-0.03447216512790352,0.30871026118406547,0.8995965539184073,0.6757664427017575,-0.1253932949492844,0.6995983305231231,-0.9035783330813102,-0.8216985612443177,0.7716275276647885,0.8701344776772509,-0.3134934088063337,-0.7345175327378269,-0.8468519308576267,0.45832407776336975,0.49946166911600015,-0.488000225361448,0.7796855145598127,0.4386452762569263,0.05891755819387465,-0.6734722101999177,0.578909869597794,-0.3662469994673111,0.026145333650575465,-0.5927232077528,0.7831683287765445,-0.4078207936117048,0.20017476223160627,0.31467415167379303,-0.10374893630622364,-0.6028615430635651,-0.6384921787679472,0.7628119455440905,0.6833838093332902,-0.3538178536306489,-0.792478156840959,-0.665395954899687,0.5396103426533561,0.5165302092790581,0.6738297323214634,-0.26261917424683395,-0.5664417884127992,-0.7391558910148556,-0.5223938891953065,-0.6780611474735414,-0.569452731953628,-0.734900515368412,0.6137812329051106,-0.686081739219397,0.32256738643203964,0.7115684575919284,0.053480362814045376,0.3187251559910416,-0.6141805086201916,-0.5423978921442383,0.9561496842384538,-0.7119286026440781,-0.6476342312710991,-0.633483027425352,0.48709207574966557,-0.695049665575692,0.9364209730501242,0.8731681459611333,-0.5758172381361898,0.7130647181732075,0.6324810439605041,-0.7585449237927793,0.27572943559114954,0.7140898672318255,0.8980040898872313,0.9418455879300371,-0.6224828961878804,-0.4434671141693886,-0.6182756098510074,0.795651306381354,0.00826993619205396,0.7955960301832644,0.5496354597413438,-0.27051679007460155,0.1895406637835712,0.7336166693287283,0.7329426234986907,0.469651192741947,0.391100480825832,-0.8574589570371309,-0.14215388971102816,-0.5962108828642352,-0.702265448368864
Angular_R,-0.9354831349960556,0.19757308885286679,-0.8046808617739861,-0.8714660254193773,0.7691611758303235,1.0,0.3050839553975291,0.21075850939024457,0.5344923461624629,0.45008997059293643,0.6364954810149853,0.6173314950736005,0.5807092222483458,-0.41832324814308414,0.08969230709517452,-0.9340979491144312,-0.8989383221854351,-0.14273998633075458,0.3763523822697561,0.41943687908683974,-0.835175026635075,-0.854789758238587,-0.31817877432018943,0.3739510121132539,0.82987433051572,0.5993860239810558,0.11060555958376468,-0.6268176079313793,0.1292007551954177,-0.6445422709632909,-0.9096265153722881,0.3758648699751584,0.5058786235137565,0.07499738942404266,-0.9068310102072217,-0.6913752033122359,-0.13156096733043207,0.6588986246933966,0.11116005180357065,0.3543005359912625,-0.10631856161094684,0.6112423918616924,-0.21043659168433282,-0.025380102828791277,-0.40702090479972236,-0.568540565954781,-0.14519698333959147,0.2851111911264831,-0.6926544660840148,0.2914504697263365,-0.273609483816813,-0.32610593241616465,-0.8872605669357316,-0.826094337156524,0.4272363572995128,0.5872888986699256,-0.7109508525236986,-0.891709733967906,-0.10869839493412461,0.0005016862016300192,-0.11555624478585651,0.1292941728433657,-0.575906045418475,-0.9078459291706571,-0.8728792044864161,-0.8877147585140854,-0.8922205352127927,-0.9527549192491741,-0.7413398292698956,0.03412276887912836,-0.9180361986428685,0.021866618812704058,0.6332146098979639,-0.4862269303055263,0.7404055728952433,-0.06387942975564763,-0.8984167963134558,0.5953580836220081,-0.922878102695908,-0.9040638740437016,-0.8949427200224137,-0.007691370979449414,-0.16980213352677745,0.6528580453828627,0.5465911847181467,-0.8706381988404752,0.38426140635290224,0.17302333803625117,-0.2908861112974625,-0.23509133998660792,0.24912127302072232,0.494104784239997,0.6455835760478487,-0.9212742732832174,-0.2665238608682007,-0.02387792740645627,0.36157294841289905,0.5828349161518342,0.40735192617727034,0.04405185947534004,-0.025930751695299792,-0.3816076102749625,0.2992262665174556,0.35005549769402433,0.916413380488877,-0.18755765914351416,-0.7149247137792484,0.5076038217983723,-0.9230797652019389,-0.9427272281522623
Occipital_Mid_L,-0.44065729628574846,-0.6051279871727036,-0.10274077325704492,-0.2886653691436095,-0.3527499926478743,0.3050839553975291,1.0,0.04483592066842912,-0.6250804991937451,0.2968801633078256,-0.5102671111350877,-0.457016576942063,-0.4300906651991532,-0.8332899627488407,-0.5567461977992699,-0.4772965558003053,-0.36196107799393373,-0.7468214509525347,-0.3317169037032875,0.8930760667203433,-0.5436994331520086,-0.41546976946330055,0.7620477373474479,0.6113331842534612,0.7554921950661577,-0.5103865561772502,-0.8339179724121238,-0.7331767600545969,-0.8069126081883161,0.44327102184984474,-0.08132581589920924,-0.6579513024619168,-0.5837068093534612,0.6449122082500395,-0.21217308467640023,0.328853770883985,-0.9234335748442553,0.3137552974380716,0.9284729279040734,-0.6734405407428342,-0.8453561466338801,0.8788116272586622,0.7376563545902376,-0.8745525445107282,-0.005673341286492582,-0.8519222120089137,0.7148447633483214,-0.7708911947044097,-0.37409963820221975,0.059486590886482026,-0.8598933428029021,-0.2997916825919022,-0.3952641482476171,-0.2528684479993008,-0.5651559993780841,-0.22068451562126185,-0.5218631803532624,-0.1209686723867439,0.8983445357514632,-0.7887094382314768,-0.9253288305874331,-0.8189710489729158,-0.4035771078372416,-0.46098403387111814,-0.19296777891703,-0.48599370367628947,-0.2877796836555966,-0.5370858792829722,0.013272466207906565,-0.8705648756875018,-0.3272009493339374,-0.5430291157350042,-0.18442036988942373,-0.8305529576775861,0.6961292837455213,0.8519057248694057,-0.48661740099284806,-0.5240066590610999,-0.2579503453093297,-0.3545315616656588,-0.3492771723182191,-0.7865268068828173,0.839196292827446,-0.42752372742528905,-0.5492166793645415,-0.41513096702476887,-0.5711468421601859,-0.737576740839838,0.7730820147092169,-0.7902306842541764,-0.7380427217060969,-0.6230465265142878,-0.48286905043972767,-0.3768868852702269,0.2693500539796826,0.9262778823533216,-0.6936907620091972,0.8241119303454263,-0.633707855955305,-0.7907341182996654,0.28270845413880535,-0.8352100397362083,-0.6847850110672973,-0.6475056254029826,0.6323973273627047,-0.8447442283588527,0.3402126839728194,0.9703769992377546,-0.43718655696234354,-0.3213720089405093
Frontal_Med_Orb_R,0.08809999409867919,0.7263504551129797,0.29715404304094806,0.2637277397254557,0.12851173583655204,0.21075850939024457,0.04483592066842912,1.0,0.21332230734140556,0.9340700833504814,0.12493453380617121,0.528263352508848,0.4978963836824502,0.4223631285997479,0.765954882076462,0.07162233306459345,0.18688221215223919,0.6162327330417275,0.8606792855347416,0.46024511673503354,0.1473758030437129,0.2958494216724931,-0.36312513895443194,0.7836751352457046,0.33770701856658586,0.45609172689807415,0.32120133972180837,0.35348812549398734,0.2361093796350763,0.17299555878755007,0.12667806189805414,0.5318774089358662,0.4687607401097042,0.6218792479944848,0.18363440472392287,-0.5723705400994359,0.3274197786173101,-0.5589099882648387,-0.3061659093642528,0.5081642527857801,0.4603015270410031,-0.1427292138696863,-0.5323585750575162,0.27105792119901023,0.6929581346817262,0.20667227476398398,0.46323396417143925,0.3662652187331596,0.4524812993352803,0.9954873923327968,0.3327675592624719,-0.9432419617671032,0.2280082148056628,0.35667754940062185,0.6221912074880366,0.8061865586258433,0.44792374476378616,0.2133732097659944,-0.18416207258948264,0.4622979971854899,0.20892456329687328,0.3837291027816185,-0.8745880464960248,0.11832374981617479,0.27962329089593707,0.12527301436678617,0.23390761189767428,-0.0639659534107021,0.4329569645161816,0.3361089043019131,0.18285776698881778,0.8100076877630658,0.7864171570437171,0.3891713452366186,-0.2270881133664058,0.33430288835230487,0.1376110627833482,-0.10343447009858746,0.12651801524538295,0.20551671373183955,0.20757259545631618,0.5645723920613891,0.20107349323084747,-0.20814823618644118,0.48832105452817326,0.2574032170795526,0.6564492495495892,0.5652121239787659,-0.33658438161175375,0.550211065767599,0.5026173111752409,0.35954476122814893,-0.10537364778738717,0.06863823310185628,0.781465140241254,-0.20892408277698268,0.46826592893861607,0.5428686076081386,0.5256521354213405,0.5224456702066445,0.9111144715584641,0.39055525836240923,0.5420217465753928,0.577855284868375,0.3319676281277362,0.3935160592589206,-0.40699082144270204,0.17974642178070394,0.09769085725329597,0.1018540356035354
Frontal_Inf_Tri_R,-0.32478721517830883,0.7480845419011499,-0.4732298542489995,-0.38897859652949557,0.9404163515415945,0.5344923461624629,-0.6250804991937451,0.21332230734140556,1.0,0.19862837173248288,0.9800583021385474,0.934346269604585,0.9167039444462658,0.4484330038897442,0.6513465628764248,-0.29465239040037694,-0.3475648069080351,0.6084176086787778,0.6404789535720155,-0.3859176784934138,-0.1276875469203964,-0.26979903592930166,-0.94016627630112,-0.13693817721611504,0.02538336918695494,0.9557831045879498,0.8748969873713722,0.20629337281462692,0.8764778096297132,-0.8525897496789152,-0.6103307694995578,0.9144029440938437,0.9589437561090114,-0.3872907822610999,-0.48654413380665307,-0.8638909317016567,0.7296349262685162,0.22378123241414016,-0.7539959214644836,0.9251861305008159,0.7069289198451437,-0.2736429384434941,-0.8652041267283307,0.8074132265844371,-0.2001001255683846,0.34824063214379775,-0.6638421297877473,0.942886957015442,-0.13481380346953994,0.2659258843650459,0.6033884822933909,-0.10181343886571957,-0.3132025957646583,-0.3745988392357027,0.8864649373640541,0.7242364875774003,-0.04133907860887588,-0.5623527133121483,-0.8667051909170201,0.7716755001108258,0.7649592928127494,0.8753418295777768,-0.1823010105682055,-0.2718148177514019,-0.486131330816293,-0.22813710952146765,-0.4096824046915588,-0.27489153909749275,-0.5353596098167409,0.8396545885206282,-0.40851083938935123,0.5491454309617274,0.7338681295182345,0.38310326895100066,-0.010769625429046654,-0.7436432025800288,-0.24296591401797002,0.9358924495223174,-0.46047288613268467,-0.36593302992812105,-0.3556036686153096,0.7358651057707963,-0.8195973173413476,0.8727265858370606,0.9516497523868289,-0.2807044006713656,0.8521284554211473,0.8357893390687107,-0.9204153741084481,0.568047940917725,0.8940178730112036,0.9821759141962293,0.9063235380074349,-0.35331573004084976,-0.344638540070359,-0.8443019525751149,0.9379928706893084,-0.21225875381145695,0.9258458920367996,0.7847878693432861,-0.20167848668797772,0.49605400274495454,0.896758583961734,0.8850036770404436,0.19671957045108554,0.6631647252417618,-0.8517489504499282,-0.42940313738725494,-0.3091424218681985,-0.4354824246180131
Putamen_L,-0.18178685516015639,0.5696011007652259,0.12309669226645872,0.01930620899902959,0.2266190130064029,0.45008997059293643,0.2968801633078256,0.9340700833504814,0.19862837173248288,1.0,0.17340885224939903,0.513670089113974,0.5268000365908666,0.14048438862810556,0.6206076909856417,-0.2046827369037151,-0.062097549424686385,0.38922290671268345,0.7540965596117807,0.68870930078976,-0.10279920091651355,0.01823369004822211,-0.2354962190562026,0.9230288259873719,0.6191087624949194,0.4315681279661857,0.18488480666946516,0.07262147149533986,0.13822626242978284,0.12998670572748292,-0.06926435063219771,0.42158913632927447,0.42229737861158717,0.7532756514059786,-0.041516279374091386,-0.5689435050804786,0.08489496958050537,-0.26493877231657953,-0.0758876117424329,0.4111248643519757,0.23694111674013918,0.1961499521871152,-0.3845968824774043,0.1127303673613666,0.5866691121064694,-0.060813176272906465,0.5524491385233291,0.25280487531183143,0.23306916307466957,0.9530257320803995,0.11539912033910503,-0.9856855964220902,-0.03825007348461708,0.11877924504433363,0.5348864772534366,0.7926342409814463,0.17265722975892744,-0.005672460685580668,0.005271258301238907,0.3049777790711343,0.01826068070851768,0.2390947701499392,-0.9749705344873091,-0.1414946804378122,0.03429428918296946,-0.12899830915749988,-0.01293696440479514,-0.3456907404345306,0.2524162671587253,0.16515421873401032,-0.08107975165042244,0.6026637609654295,0.7996163180403331,0.09183892627199096,0.12427555552744012,0.46494325744654413,-0.12978283035462485,-0.04366287190560229,-0.09887112547963373,-0.05617332810077065,-0.0427700600336904,0.35450675304989393,0.33202442768066265,-0.1228933537892088,0.4419328890244403,-0.01313743717725258,0.5451931931802609,0.4031239889458696,-0.197392632037988,0.30348259505011443,0.367155125544001,0.3241584967642974,-0.06362344129405378,-0.16385653174642384,0.7185981553170773,-0.012698110821214923,0.36646201262014627,0.7585237438668991,0.43739463971157116,0.33695511330231975,0.8368772304341269,0.1427255573187005,0.42951867928084503,0.45431360269401494,0.6042890214351351,0.19113830072691637,-0.397840793402196,0.45200644280208774,-0.16085496650778924,-0.15154000659103503
