,ACC_sup_L,Cerebellum_4_5_R,LC_R,Lingual_L,Cuneus_L,SN_pc_R,Frontal_Inf_Orb_2_R,Frontal_Med_Orb_L,Cerebellum_Crus1_R,Cerebellum_Crus1_L,Lingual_R,Vermis_9,Cerebellum_7b_L,Raphe_M,ParaHippocampal_L,VTA_L,N_Acc_R,Thal_VPL_L,Thal_AV_L,Rectus_L,Thal_PuM_R,SupraMarginal_L,Temporal_Pole_Sup_R,Vermis_7,Frontal_Inf_Oper_R,Temporal_Mid_L,Thal_PuM_L,Thal_VPL_R,ACC_sub_R,Frontal_Inf_Tri_L,Frontal_Mid_2_L,Thal_PuI_L,Cerebellum_10_L,Temporal_Sup_L,SN_pc_L,Cingulate_Mid_R,Fusiform_L,Cerebellum_8_R,Frontal_Mid_2_R,Hippocampus_L,Thal_LGN_R,Angular_R,Thal_PuA_R,Precentral_L,Fusiform_R,Red_N_R,ParaHippocampal_R,Cerebellum_6_L,Amygdala_R,Cerebellum_7b_R,OFCmed_L,Vermis_1_2,OFCant_R,Frontal_Sup_2_L,Rolandic_Oper_L,Parietal_Sup_L,Thal_VL_R,Thal_PuI_R,Putamen_L,Rolandic_Oper_R,Pallidum_R,OFCpost_R,OFClat_R,Parietal_Inf_L,ACC_pre_R,Thal_LP_R,Frontal_Inf_Oper_L,Frontal_Inf_Orb_2_L,Cingulate_Post_R,Thal_Re_L,Temporal_Mid_R,Cerebellum_10_R,Temporal_Inf_L,Olfactory_R,Calcarine_R,Insula_R,OFCant_L,Caudate_L,Cerebellum_9_L,Temporal_Sup_R,Precentral_R,Heschl_R,Temporal_Inf_R,OFCmed_R,Cerebellum_4_5_L,Parietal_Inf_R,Cerebellum_6_R,Thal_MGN_L,Thal_MGN_R,Olfactory_L,Thal_VA_R,Cerebellum_3_L,Cerebellum_9_R,LC_L,OFCpost_L,Thal_MDm_R,Thal_LGN_L,Calcarine_L,Frontal_Sup_Medial_R,Thal_IL_R,Supp_Motor_Area_R,Thal_VL_L,Cerebellum_8_L,Thal_VA_L,Vermis_10,Thal_Re_R,Occipital_Mid_R,Temporal_Pole_Mid_R,OFClat_L,Thal_MDm_L,Temporal_Pole_Mid_L,Parietal_Sup_R,Heschl_L,Thal_PuL_L,Occipital_Mid_L
ACC_sup_L,1.0,-0.46865408805450376,0.06771263259359678,-0.2569185609024457,0.9202536646315143,-0.07459732035518167,-0.1688140043570637,0.8402486915086884,-0.36754720794336604,-0.15638097207680082,-0.4772877148246598,-0.3977592508872272,-0.5511369526802943,0.1210428399049826,-0.36339385235409205,0.0626358904641945,-0.018369473516497363,-0.590402130461761,-0.5166370554768719,0.2528253389889435,-0.5486191687555941,0.3003856257970152,-0.16171078845097728,0.6005257152866036,-0.25653144695426744,0.22610002237554758,-0.5281085960492269,-0.31510421665764843,0.7674824431589787,0.6519096766932324,0.536347331777508,-0.43730990926941243,-0.5183905033389562,-0.24437584321317038,-0.12043782981455914,-0.6902931472231363,-0.34019356701103404,-0.537699569698694,-0.22932139045086147,-0.24099513496133465,-0.4837752408257327,0.5828349161518342,-0.2967421201884078,-0.13086374322932443,-0.29805940389115176,-0.11158680000900133,-0.25166396467753144,-0.39768959419552136,-0.011384266748343693,-0.4699288364311629,0.4628662610532689,-0.24426051357945439,-0.11203445562875841,0.6473181826373584,-0.5026402489171958,0.2357507769079874,-0.6052613744161854,-0.42915189484351074,0.7585237438668991,-0.2385913559445715,-0.42796310334076315,0.07419423053933452,-0.3610977761853554,0.5681472989843971,0.6905598832689621,-0.5751677679288811,0.2861930699719841,0.37558092213801303,-0.4854187881560157,-0.5216148043599399,-0.19265513974823897,-0.12327850236606933,-0.22868785336223502,0.3639018546907273,-0.12833553359553607,-0.02918086288231582,0.7976747360438825,0.8967634438637371,-0.5097450757878494,-0.3387792332956055,0.00826993619205396,-0.22677094962509692,-0.23042880251621475,0.029670935353543485,-0.404206525371467,-0.2249557529779461,-0.4133614648535957,-0.4887017137813893,-0.15581227512472484,0.5731662121929044,-0.64424594169373,-0.3126571620914568,-0.5296672488527325,-0.3220497849681632,-0.03052847748567752,-0.46787172402817184,-0.3757602653851325,-0.19632746643911636,0.596550370262687,-0.38403174370153936,-0.8416723107614393,-0.674823579935904,-0.5225089673197323,-0.5493595290995902,-0.4171677001610185,-0.5455236182716946,0.6814196089501565,-0.13359036133469837,-0.3121816167865304,-0.42872700577064093,-0.4740714583013937,0.5614054199432781,-0.3891792922510556,-0.656256768196245,0.8241119303454263
Cerebellum_4_5_R,-0.46865408805450376,1.0,0.050737643475143285,0.957405045321577,-0.730032771100094,0.12530826482582194,0.36069177730628915,0.014173093621262374,0.8395971959029475,0.8312586520384725,0.9931067548789747,0.9137765301133866,0.9479046480841277,0.03013187746513508,0.9926766331595684,0.4574393425557178,0.6259272048442762,0.8824117970042736,0.5516961604323681,0.3011891912143614,0.8707019592834536,-0.261606829789469,0.2959746557257927,0.2208283755252388,0.11536656575419872,0.4101892348113692,0.9280595913754562,0.3102125538517651,0.06922403555099427,-0.08172421445167488,-0.36439536587351035,0.890841475670152,0.9303854465640607,0.7890956871502411,0.6614237393197367,0.5401072987780837,0.9146225491976342,0.9697549539027516,-0.4146212510394837,0.9197573111245589,0.723818415689196,-0.7464771619320182,0.2910377721305239,0.20845679449485896,0.7494076979388952,0.2442588739937324,0.5688284068290828,0.9318245442310894,0.24973740881142512,0.871894106353834,-0.0222383697523117,0.8742335267564062,0.3083918099904633,-0.7146829652972219,0.883818221723938,-0.43372991809768874,0.5966926290761315,0.6767615384900528,0.06873952675904285,0.39231685031857944,0.8129859984014879,0.017336896736375146,0.6017186257517145,-0.4654542933207102,-0.11090730027499782,0.6854058305811617,0.38247684048302877,0.4446087438548754,0.9693350798362311,0.880081501061709,0.27199722563542145,0.2477679801955645,0.8310907848159735,0.08899840239219192,0.3507855353186245,0.08158541035844666,0.14723476871942034,-0.07308092634734238,0.9364172575299792,0.4934077416562129,-0.3393138632468742,0.3989882373543145,0.4792749954636727,0.17083236791225503,0.9325562958786805,-0.34695055443433404,0.9946815826865215,0.898250207804123,0.09796413956471964,0.2967500751456423,0.6844155209801976,0.8915358897648193,0.9536046479024969,0.9169839284798387,0.593275482622383,0.5270065896046079,0.8755526809651111,0.7635202903889873,-0.915529211226865,0.4637731440764286,0.11421324967951198,0.9017760135215375,0.9414918298256304,0.6808185486770747,0.9307901009641646,0.7593183405849658,-0.7079579438202547,0.27255142011081546,0.8714554003836074,0.4559779715362544,0.9719804586972264,-0.6228146726440831,0.8863239773015124,0.8614138911165827,-0.6001157203590873
LC_R,0.06771263259359678,0.050737643475143285,1.0,-0.027569748445145034,0.22085277876675802,0.9617557341788063,0.9179015840069868,0.3454107927290302,0.5808834115828783,-0.2805337981344483,0.13680837118521283,-0.3427367563705659,-0.07277205350694506,0.9729139395905471,0.06770935895498886,0.8086268126940337,0.6601316445315668,-0.33104406617184867,0.7693367539873047,0.7711104737501178,0.44761584006840716,-0.8600588414936327,0.932910261663673,0.526414943571506,0.9181805329696079,-0.6301240583291318,-0.29425694886828335,0.8963085032054005,-0.007113011617479988,-0.5444705369106162,-0.7091900538060657,-0.3810713653730713,-0.2633055977482737,-0.49144578717645826,0.6969040297069082,0.6178347754846265,-0.3051051458770025,0.24727046314516454,0.6838848712042933,-0.23160985067494683,0.6829527889509353,0.5807092222483458,0.8730899724269612,-0.7920189207594486,0.6713328379573384,0.9375782836865422,0.8106150522905808,-0.2627221888249241,0.9266386031327164,0.503085075546671,0.849758184443512,-0.37546805998822363,0.8913772719072787,-0.4434966376403652,-0.3963776126575409,-0.8698402232472778,0.692847510623312,0.6960454221476801,0.5268000365908666,0.8885295726437017,0.5765971550242823,0.9583329543873608,0.8050733769628831,-0.7165889580278336,-0.5246787414509234,0.607642623367746,-0.5803843653768394,-0.44296782307826477,-0.17120741402637993,0.4490273655005126,0.9226612374223109,0.9202763524794564,-0.43873842074522795,0.8705908868438113,0.9306787469726321,0.9450317164945756,0.11677189988342303,0.23041112110437934,-0.266111123787929,0.8442233872694069,0.8733407079020735,0.8535777609087769,0.8521154018379065,0.8840927709343344,-0.2869599702183863,0.7153003539337234,0.03775125212221642,-0.28551082553299345,0.9565321644257919,0.5502531961910365,0.5345620986675376,-0.3509088626016344,-0.1965339543746272,-0.2773221436183942,0.794665584469651,0.7951274140296412,-0.36729863998262197,0.6610109387200866,0.05321469812418431,0.852500312491008,-0.48252044186155335,0.3287489387268519,-0.22403447020034786,0.6825497106912326,-0.26112621018509474,0.6035162603210678,0.5672363554503291,0.9090916304540286,-0.37785329760123465,0.8422910975429057,-0.17526694818819588,-0.6718699564949674,-0.384516195542385,-0.3819072823364367,-0.4300906651991532
Lingual_L,-0.2569185609024457,0.957405045321577,-0.027569748445145034,1.0,-0.5724077927011488,-0.01195525797447788,0.22164162211336458,0.17859910611046492,0.7546993804968868,0.9410918358709396,0.9502997043889414,0.9311332554245396,0.9262075495812185,-0.058916735957224374,0.9794955451577355,0.3860113281335647,0.5495170697588276,0.8728006631434774,0.38726642943684747,0.24794543965190521,0.7284912266958271,-0.06517094265019459,0.1510025632617145,0.39587962071648003,-0.0654904068727965,0.6170435390702514,0.9186815077757505,0.13462820885081947,0.32869548967454887,0.18795735238054787,-0.12738324372537896,0.9131313429592137,0.9293222581992782,0.8774404004663507,0.57128746261838,0.37110641853246845,0.956121511310376,0.8884142294261552,-0.5972191967637355,0.9764032034005686,0.5930590771098071,-0.7365082467289521,0.10286970164782255,0.35497619092100796,0.6393996214760514,0.10204346612125167,0.43340363176074853,0.9604619136667586,0.12731724364005584,0.7567011122403858,-0.03398456051841219,0.9270554490862978,0.16098904326663255,-0.5039141778792964,0.8898658520657945,-0.28158730830268464,0.4156492696544324,0.521107992901528,0.20895556961171124,0.23534764317301163,0.6821077134900076,-0.10056992603970892,0.47415667680031776,-0.24351287881161338,0.15806861430464517,0.4917237186413144,0.6030093154360742,0.6643513714847918,0.9581069526556963,0.7465517180219549,0.11409029290629386,0.09640455111958143,0.908296348855189,0.05640257153588266,0.2352228003151646,-0.06097896465392813,0.3692943643887569,0.14892640353565811,0.9328969991731849,0.3327843494613306,-0.4709059670415486,0.2351489869182368,0.3336401756444495,0.03760066911756458,0.9526207113031914,-0.5454988168848673,0.9802971101108493,0.9203237031838274,-0.05217056773790111,0.38008491678662537,0.5653029199161373,0.9429411243110413,0.9410888085839827,0.959289539133162,0.5367468565395601,0.3524000260586242,0.9253562618259953,0.7217737353746428,-0.7968899534423085,0.3015446377119579,-0.021817107972172935,0.7797510402723844,0.934056603258903,0.5227511988255392,0.9564198753106703,0.6181001219406588,-0.6706383578461512,0.11919193399463864,0.9304700655910452,0.29161796459848166,0.9407731972639708,-0.4257111137838666,0.9220116707689748,0.8219316870431107,-0.36312578262897993
Cuneus_L,0.9202536646315143,-0.730032771100094,0.22085277876675802,-0.5724077927011488,1.0,0.07792357769694538,-0.09406678332441276,0.6639998206593638,-0.49101974233633194,-0.49558148223186244,-0.7157542643040149,-0.7195267491917569,-0.7903751545361426,0.2606112991248442,-0.6475731159847703,0.011708630367697398,-0.14413063042319968,-0.8397275602149288,-0.44621886875315386,0.2024505906542362,-0.6618744313315733,0.16266658048486152,-0.05998458427932501,0.4509443376931462,-0.05845047265964657,-0.11786395146402506,-0.808077938651365,-0.1824103781280857,0.5280798355639714,0.4030706494833229,0.402297860781557,-0.7440629324879277,-0.7950364735478651,-0.5839925494157778,-0.2236513274241643,-0.5935312633385291,-0.6693170466869335,-0.7303699480915461,0.13058269223313934,-0.5860680539852061,-0.5084782145600291,0.82987433051572,-0.1681733799432062,-0.320992603935465,-0.3901517394078928,-0.0027822602470269886,-0.2579537833640817,-0.708895266455596,0.06439462926270427,-0.5941174209974182,0.5016069032666126,-0.5998327228963948,-0.03909866678779013,0.6741723262502797,-0.7913702143301932,0.18097013057880315,-0.5430433530497691,-0.4523292963979369,0.6191087624949194,-0.1630975248348552,-0.5280694783223798,0.22621300028523622,-0.3481155599007064,0.4634212633492913,0.4457568262383659,-0.5776324967257969,-0.05360093338853217,0.010870409760425774,-0.7707886997577031,-0.6467605972475347,-0.07439784985061013,-0.016161693463154606,-0.5811237872710796,0.38942364930852785,-0.05630593769768564,0.12304007934008539,0.5387307017249617,0.7213812107549064,-0.7925464525098022,-0.2832022282467389,0.30871026118406547,-0.16544539267915004,-0.19913301855076945,0.11605771797594383,-0.719682059610542,0.11137514204122713,-0.6890560096355934,-0.7635975659625374,0.030011298107494984,0.39554728898234504,-0.632045963390301,-0.6490363912659546,-0.8003743458364573,-0.6500480533293751,-0.10984065221312095,-0.397919228214576,-0.6895357125447106,-0.31926330110360474,0.8119187166049752,-0.3006201810067951,-0.7424556966257336,-0.784009968977854,-0.7960213826250211,-0.5390593514477304,-0.7215024475145415,-0.5841910774239089,0.8823609035494533,-0.03654074383890509,-0.645210374673841,-0.3303896283766303,-0.7672572203769252,0.52982830803344,-0.7082455999650836,-0.8904028177035412,0.7554921950661577
SN_pc_R,-0.07459732035518167,0.12530826482582194,0.9617557341788063,-0.01195525797447788,0.07792357769694538,1.0,0.9683589421916703,0.25112012876080725,0.6310412686083074,-0.3150166420058131,0.19787622746371467,-0.2857955696015027,-0.040144055436358406,0.9763659000729963,0.12214469759976886,0.854039621326774,0.7366628124439479,-0.27877898177060856,0.8257066066901602,0.8192345695870138,0.5627830391281541,-0.9577926164407802,0.9829972196625448,0.37097469807065814,0.9746158548839378,-0.7110116623445005,-0.23019777254733548,0.9650884501197002,-0.19700279853133518,-0.6986699871017333,-0.8526751487877102,-0.32783108462525057,-0.21317522471895697,-0.485492713342435,0.771157211256215,0.6582245505846301,-0.2702243484107625,0.3180315770551733,0.7178366598415286,-0.20745425464330092,0.7351472504191433,0.5058786235137565,0.9632482773495982,-0.8700877243014976,0.7446574045891674,0.9868950856594166,0.8837842634890206,-0.2266273021004583,0.9759102112311725,0.5874052101100123,0.8318484140477105,-0.33317880393796717,0.9667304687222958,-0.617165222026422,-0.3372156983252226,-0.9411089962776704,0.7763830498915926,0.788681377366207,0.42229737861158717,0.9576627808553478,0.6704740232537206,0.9849715457348016,0.8428992582336552,-0.8415292349314673,-0.6702112598980914,0.7351088939399534,-0.6815502906236316,-0.5363525163018452,-0.1094732584748526,0.5508036455736952,0.9856289180907722,0.985631027326383,-0.4181535098217798,0.8704812672919072,0.957345320796367,0.9937175566789774,-0.016768846956029145,0.07071862076933538,-0.2104306729051685,0.9171555778990036,0.8701344776772509,0.9446432773079402,0.9263329243425028,0.9589672306322732,-0.23725266299606146,0.7811000523289756,0.08877882099872196,-0.26106949386499334,0.9909945671547604,0.5113838604809332,0.5495234508525547,-0.3200140147994404,-0.14261139401507472,-0.24258022612271143,0.8151570199458706,0.8728094438182965,-0.3452728825999891,0.674411245516087,-0.11605130168127882,0.9157453717864545,-0.3825622816038303,0.41003478476310723,-0.1771214736266623,0.754619061045603,-0.22426122467450052,0.6580563874718541,0.48220169118563144,0.9793509362587033,-0.357127613439313,0.8989856685400858,-0.08388722418389014,-0.7915231744571485,-0.34368749661531983,-0.29878985827814286,-0.5837068093534612
Frontal_Inf_Orb_2_R,-0.1688140043570637,0.36069177730628915,0.9179015840069868,0.22164162211336458,-0.09406678332441276,0.9683589421916703,1.0,0.2559209994078682,0.7965106342455293,-0.09268243106432725,0.42498407985445236,-0.04405367716399994,0.19272901085250194,0.9244320785519572,0.35742598427764727,0.9177645316025117,0.85101109032175,-0.05396698966724022,0.9054386334051194,0.851445090276357,0.7379966402496485,-0.9633413052970933,0.9970071562340702,0.406417413142207,0.9424704818387986,-0.5629807354734452,0.006049102615320729,0.9790445559876724,-0.1502296191555496,-0.6653515800603387,-0.8839933039708748,-0.09445513607510675,0.022173185485173465,-0.2643164130634059,0.8883361770870225,0.7435653998118735,-0.031467694685551675,0.5353836227895857,0.5680280667110276,0.03128050584154206,0.8639116280261482,0.2992262665174556,0.9749666126828452,-0.7708519082161865,0.8836906088983634,0.9884640753832691,0.9700963478436136,0.012079388047805515,0.9815638918471732,0.7630428582367299,0.7850421332189121,-0.09529562410071626,0.9856222598470623,-0.7476743770916991,-0.10524161861092303,-0.9914046793425092,0.8667847133071199,0.9066246022629645,0.42951867928084503,0.9962282074907756,0.8291411550956468,0.932876373754006,0.9387980123037342,-0.8987797211268921,-0.6469362813091821,0.854857923587175,-0.5398117939710296,-0.3858133902056469,0.1307944660777794,0.7341773581878251,0.9912013712150144,0.9874411484134413,-0.18904111059071826,0.8476351524434927,0.9841135017977894,0.9552093231989366,0.03753551702778653,0.06612667922292365,0.027149043094523904,0.9807640350650615,0.7336166693287283,0.9848871450955622,0.987782318669332,0.9453447798933994,0.0031941529575743835,0.6431006280318696,0.32457122262518023,-0.03196195809747708,0.9515680687337096,0.567282208615936,0.6773734804406278,-0.08300842732307313,0.09500121444215855,-0.006285532705634226,0.9147954350475788,0.9437909694167516,-0.11376528315185096,0.8165916043922875,-0.32595273250269513,0.9688120179578387,-0.3501946530225776,0.5981030267440943,0.061856349239227094,0.870635810480359,0.012961664501839212,0.807103196310868,0.2891186049496636,0.9883342735460906,-0.12231962770772525,0.9494766181347901,0.15733826750074034,-0.891438572451452,-0.1081226482694608,-0.07774951731466241,-0.6847850110672973
Frontal_Med_Orb_L,0.8402486915086884,0.014173093621262374,0.3454107927290302,0.17859910611046492,0.6639998206593638,0.25112012876080725,0.2559209994078682,1.0,0.17677783149715875,0.1371606659449887,0.01530174861349345,-0.06099774813740738,-0.1588954519295722,0.40802999823508684,0.12259241431268418,0.5367770380750821,0.5060676764503274,-0.2969079522786167,-0.08246109782946649,0.6665708359199717,-0.012251351311623665,-0.07072844917645846,0.23632991504483108,0.8394161561512655,0.03944038499063294,0.2454140540741935,-0.18648367400743435,0.06907266205161179,0.7963183999118638,0.4687642841551901,0.16036083270365536,-0.1320766560649964,-0.17447431329085059,-0.01745322291906015,0.414915192842766,-0.3343540944674369,0.0015765694139406093,-0.02725852026445361,-0.2650693529285984,0.12935164707770366,0.01659390432802891,0.40596424541389914,0.08716023235389939,-0.3029065447440918,0.24826822049179528,0.2706257889230632,0.24856540889723797,-0.0436979944478289,0.381827513139629,0.07611271307563182,0.7282771540648021,0.07698763853322853,0.303128675866133,0.16703372279324968,-0.20881858456083785,-0.21758058374536515,-0.16684817112157105,0.07996272231203906,0.975614364542131,0.1955555966005908,0.11968140128804275,0.3609491923288261,0.1189776272574397,0.1557920410552194,0.5049278964457233,-0.08274315152567252,0.30166050882782913,0.47436963980712993,-0.08720262075731798,0.016955329976270705,0.19375853360416284,0.26185334487069156,0.04429018135670633,0.6859657501182729,0.28741794220903955,0.2840359694434021,0.9338188222058285,0.9534358198288587,-0.15856899852950118,0.12128932854855472,0.07014990110760157,0.2157256530466622,0.24104277254771692,0.39327507155942487,-0.04932388370696659,-0.19972402620534835,0.057256891673293724,-0.1764298433425066,0.14114586488585462,0.9210692570686153,-0.24738748414131112,0.007017778003423304,-0.15519492737951443,0.030084425270069503,0.47652774722857355,-0.02025214523169738,-0.0831341386871928,0.3317064910938557,0.1454323209783375,0.05076337374696519,-0.9747535773862276,-0.19147000762904348,-0.16313713780602068,-0.06998552318520067,-0.06641691387179598,-0.05131593829719627,0.5285730906756053,0.26265378721536686,-0.015047871260724977,-0.010225532238429206,-0.054778759075313474,0.08612437590517545,-0.08578000598405017,-0.37724142897947655,0.4406759370959288
Cerebellum_Crus1_R,-0.36754720794336604,0.8395971959029475,0.5808834115828783,0.7546993804968868,-0.49101974233633194,0.6310412686083074,0.7965106342455293,0.17677783149715875,1.0,0.5101905198436657,0.8810270928126321,0.5527655947863198,0.7316790736084808,0.5534915390974611,0.83901078508194,0.8154457157046022,0.8692072540214448,0.5370392741016042,0.8732461726079986,0.662978620605135,0.959363883798999,-0.6938304669455714,0.7535446051226604,0.44296897413140807,0.6036336327882602,-0.029788575669475723,0.5938116440502814,0.7491018879325467,0.01717065984972687,-0.3903388820576433,-0.7026319640531751,0.5140486919254892,0.6107232236998542,0.36456575138360314,0.9203675556133246,0.7810122676605094,0.5715526039902928,0.9252331681905076,0.049720401646753176,0.6116568305613708,0.9638286480464807,-0.29460800015847805,0.7229644436565077,-0.2752113018417053,0.9768048717848127,0.7158367823010867,0.9074174095403266,0.6097649554479726,0.7106187317606972,0.9878092089003465,0.4368743403098013,0.49917176629617493,0.74337558034894,-0.8421353031128099,0.5019089119532345,-0.8324531437579692,0.8718983373459045,0.9373086905918024,0.3189855778239794,0.8091753627547238,0.9798554744392574,0.5393722210121861,0.9279729581792462,-0.7849393528623868,-0.4036719251612741,0.9010256985357762,-0.028428263770394594,0.09537335122997101,0.6925380109115267,0.9636609505506121,0.7309026730193153,0.7092245464670002,0.42889363279513165,0.5402098261872499,0.7929062367244292,0.5869771424050341,0.15420038016655088,0.035777185309947536,0.6149131584948334,0.8671549975925193,0.2049610133622787,0.7985135535984105,0.8596250531850457,0.6272203941219164,0.598264010494515,0.12533607924052384,0.8257472726187045,0.5713274622767481,0.6070581838418982,0.5242936928913611,0.8468231830571222,0.526678082906791,0.6670688492639395,0.5851793580956189,0.9094346208563155,0.8696343369444212,0.5048089472534285,0.975125192247402,-0.7288679943040288,0.8479304240157113,-0.14954803378912154,0.9169197861237919,0.6419586338896547,0.9308412091703281,0.6093598584629765,0.94872468827532,-0.27418092344424627,0.7243387357548271,0.4945998496622667,0.8363839748459644,0.6967557813549208,-0.8853087877286826,0.5066135423527317,0.49687263351787764,-0.7428009465416487
Cerebellum_Crus1_L,-0.15638097207680082,0.8312586520384725,-0.2805337981344483,0.9410918358709396,-0.49558148223186244,-0.3150166420058131,-0.09268243106432725,0.1371606659449887,0.5101905198436657,1.0,0.812288466194069,0.9319020085183285,0.8775310959583495,-0.3379052902645944,0.8624976769084955,0.09921224006377144,0.26662235242388377,0.881267602101136,0.10518334281087531,-0.02972922669701673,0.4699477395456003,0.261338933226083,-0.16265071273224274,0.3495396428355132,-0.3666919754017589,0.825461654219744,0.9029682559396025,-0.18139569805416944,0.4590977340438892,0.45134598716711644,0.19397832103497967,0.9301239934685088,0.9153323360487794,0.9649967015801971,0.28135186647708493,0.14836643677039413,0.9635117254084672,0.7157665770814408,-0.7829771679970324,0.9681372639907512,0.32890200733271585,-0.8046808617739861,-0.22343672643795193,0.6260184101227274,0.354089122278148,-0.20889754015247816,0.11930305692049836,0.9554331197482471,-0.18510059983993726,0.5066650849715701,-0.2661441590872983,0.9469131585262797,-0.16280819176185274,-0.21299093766279145,0.908693166016534,0.03861238533568518,0.13278262558101417,0.2218684924777265,0.12309669226645872,-0.08588404200008866,0.40605643838772326,-0.3905111269935818,0.1910323796619931,0.07115652292244515,0.40840090523229317,0.19143285717360375,0.8134431048959049,0.8240824516452422,0.905572533317277,0.49501574639055873,-0.2052238304263476,-0.22463214461291564,0.9670936193229179,-0.20071925540044305,-0.06388626154885348,-0.3669081874230037,0.4151136709812921,0.19550175589365876,0.9151329826994726,0.016360154797957452,-0.6907899084775724,-0.09394140041558484,0.012986578685043548,-0.2793711454197932,0.9432465746570592,-0.7690767070562711,0.8759269794991005,0.9363862110727895,-0.3474061292435328,0.2261416238437896,0.37604255766568057,0.96650532378579,0.9051228779678946,0.955238651327136,0.2625855116368162,0.046939114078273815,0.9631345161379941,0.48413057353768596,-0.6328506194930552,-0.006039373947583524,0.04465209986489206,0.5824541349599287,0.9124983977327873,0.2454330793214354,0.9498459364403735,0.371539753639827,-0.731790985256092,-0.20291596401513862,0.9708860408083156,-0.006237291315933117,0.8669847668550985,-0.11761623755977005,0.9491701508320158,0.8227170449094476,-0.10274077325704492
