,Pallidum_R,Cerebellum_10_R,Thal_Re_R,Cerebellum_7b_R,Vermis_9,Fusiform_R,Cingulate_Mid_R,VTA_L,Fusiform_L,Cerebellum_8_R,Thal_MDm_L,Thal_PuM_R,Cerebellum_8_L,Temporal_Pole_Mid_R,Thal_PuM_L
Pallidum_R,1.0,0.7612983714670877,0.9529717674253153,0.9901718241113426,0.5124299235677917,0.9868552694891077,0.7827387611421728,0.8307424090746115,0.5123563864253503,0.9059981660380881,0.8579410744998087,0.9829612012825235,0.5933769652589763,0.778485176096128,0.554162213527671
Cerebellum_10_R,0.7612983714670877,1.0,0.7238008602178997,0.6810510192815259,-0.15919976987849502,0.8229075405955839,0.670980401078524,0.903550719715261,-0.15276293888506262,0.4259767555572863,0.9139998532773428,0.6639841919026911,-0.06496510071265033,0.9987154660448868,-0.11356645818018565
Thal_Re_R,0.9529717674253153,0.7238008602178997,1.0,0.9546541481974452,0.45897689155849875,0.9266366431658641,0.9046134995431455,0.7248537423476675,0.45886957471591266,0.8892555904433692,0.8914101709773596,0.9411808059324096,0.5874710558046445,0.7384733053170317,0.5301113054133831
Cerebellum_7b_R,0.9901718241113426,0.6810510192815259,0.9546541481974452,1.0,0.6012030358515064,0.9667332685141399,0.7866219412770195,0.7725101854019111,0.6042113364531931,0.9511535502202161,0.8195884558855218,0.9897436442103743,0.685169102194076,0.6989041127558961,0.6461061773308766
Vermis_9,0.5124299235677917,-0.15919976987849502,0.45897689155849875,0.6012030358515064,1.0,0.42324961987583565,0.2360417307084637,0.10500460899124495,0.9933068249573815,0.8042477769103005,0.0654729535137989,0.6086682888407173,0.9765452507143161,-0.13224118784444938,0.9846357958952063
Fusiform_R,0.9868552694891077,0.8229075405955839,0.9266366431658641,0.9667332685141399,0.42324961987583565,1.0,0.7481380544155224,0.9009692582316998,0.4347506648947148,0.8498826747118715,0.8760978564290435,0.9457281174465454,0.49963399336595743,0.8368083819640457,0.4552975058502949
Cingulate_Mid_R,0.7827387611421728,0.670980401078524,0.9046134995431455,0.7866219412770195,0.2360417307084637,0.7481380544155224,1.0,0.5158560527892895,0.23362104008036014,0.7102512410390145,0.9078136521109347,0.7875788793100736,0.4183515506952162,0.6720247953643428,0.36224466239081493
VTA_L,0.8307424090746115,0.903550719715261,0.7248537423476675,0.7725101854019111,0.10500460899124495,0.9009692582316998,0.5158560527892895,1.0,0.13095383888981316,0.571024161368732,0.7946727318442653,0.7288593971701419,0.14757798297887664,0.9133420914701195,0.09894308536733384
Fusiform_L,0.5123563864253503,-0.15276293888506262,0.45886957471591266,0.6042113364531931,0.9933068249573815,0.4347506648947148,0.23362104008036014,0.13095383888981316,1.0,0.8038866848424054,0.07394369513594586,0.5995951202254842,0.9735488681410956,-0.12725135619530242,0.9776376854005248
Cerebellum_8_R,0.9059981660380881,0.4259767555572863,0.8892555904433692,0.9511535502202161,0.8042477769103005,0.8498826747118715,0.7102512410390145,0.571024161368732,0.8038866848424054,1.0,0.6391149548792492,0.944099746909777,0.8739587951139093,0.44824179855662294,0.8418217139683773
Thal_MDm_L,0.8579410744998087,0.9139998532773428,0.8914101709773596,0.8195884558855218,0.0654729535137989,0.8760978564290435,0.9078136521109347,0.7946727318442653,0.07394369513594586,0.6391149548792492,1.0,0.8080717434322952,0.2144557623090371,0.9136184226078371,0.15948760244473614
Thal_PuM_R,0.9829612012825235,0.6639841919026911,0.9411808059324096,0.9897436442103743,0.6086682888407173,0.9457281174465454,0.7875788793100736,0.7288593971701419,0.5995951202254842,0.944099746909777,0.8080717434322952,1.0,0.688493652742455,0.6825817825087019,0.6606053979980996
Cerebellum_8_L,0.5933769652589763,-0.06496510071265033,0.5874710558046445,0.685169102194076,0.9765452507143161,0.49963399336595743,0.4183515506952162,0.14757798297887664,0.9735488681410956,0.8739587951139093,0.2144557623090371,0.688493652742455,1.0,-0.04007726362124494,0.993612427512229
Temporal_Pole_Mid_R,0.778485176096128,0.9987154660448868,0.7384733053170317,0.6989041127558961,-0.13224118784444938,0.8368083819640457,0.6720247953643428,0.9133420914701195,-0.12725135619530242,0.44824179855662294,0.9136184226078371,0.6825817825087019,-0.04007726362124494,1.0,-0.08880643083674002
Thal_PuM_L,0.554162213527671,-0.11356645818018565,0.5301113054133831,0.6461061773308766,0.9846357958952063,0.4552975058502949,0.36224466239081493,0.09894308536733384,0.9776376854005248,0.8418217139683773,0.15948760244473614,0.6606053979980996,0.993612427512229,-0.08880643083674002,1.0
