,SN_pc_L,Thal_MDm_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_LGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R
SN_pc_L,1.0,0.848500587075216,0.733709320656014,0.9000043806805832,0.2581253444859062,0.9088566021937038,-0.2236513274241643,0.23804905506149185,0.9383556825751987,0.8472027403280111,0.5411143348513952,0.8010289838908732,0.24586140473114776,-0.536552084764498,0.33289543236940805,0.8720970945592548,0.12660468613849887,0.5068240749142647,0.8716865988928171,-0.5610219145710027,0.7133143409930751,0.8883361770870225,0.30287978500045043,-0.6814667036631261,0.514960697718139,0.9633436163832901,0.8496771641908124,-0.9135848297915691,-0.12727710363272754,0.4613207985210071
Thal_MDm_R,0.848500587075216,1.0,0.7859124008174326,0.9873562830376224,0.05915729428438804,0.940885543470734,-0.397919228214576,0.2656055783516942,0.9561703911186997,0.9040404760036054,0.39621137835634773,0.9896703542157453,0.08925565535199977,-0.13433149607653092,0.1463457870842195,0.8688823987289817,-0.08846189097328765,-0.006727485715232473,0.8500086874407426,-0.5892573078731258,0.8008317096379738,0.9437909694167516,-0.03930630113669052,-0.661234810632144,0.2283128495337385,0.954420732271672,0.9055284726799178,-0.9567838622191847,-0.527873045075606,0.7421094808444764
OFCpost_R,0.733709320656014,0.7859124008174326,1.0,0.8525831641153188,-0.4452496444018562,0.9074208684253253,0.22621300028523622,0.7918552191331942,0.8806409940623776,0.9674107956769681,-0.12682999031734485,0.7252475875201858,-0.4458019046680625,-0.4240789536427906,-0.3790914536382305,0.9708639175277921,-0.5632405961031965,0.14099257930993436,0.44913904080022365,-0.9207295498777956,0.9921008598204947,0.932876373754006,-0.38152058235106867,-0.9731218833635298,0.41006672860795035,0.7788071392825838,0.9663119712004147,-0.8971215705654407,-0.4120980777826355,0.8982448083361408
Temporal_Sup_R,0.9000043806805832,0.9873562830376224,0.8525831641153188,1.0,0.013660997476075234,0.9786324931646131,-0.2832022282467389,0.36189141779790146,0.989704138724904,0.9509193589557483,0.35441614335585137,0.9613362593660627,0.03156317669130587,-0.26233240032450605,0.10073426819806242,0.9314939130182438,-0.1343030366054593,0.1113232791097853,0.832628880264021,-0.6717565734395365,0.8593690239710858,0.9807640350650615,-0.03707078719365912,-0.7530057472679867,0.31620868861079654,0.9763288089257539,0.9526393272374607,-0.9887003108879681,-0.4653079596931449,0.7545144532143305
OFClat_L,0.2581253444859062,0.05915729428438804,-0.4452496444018562,0.013660997476075234,1.0,-0.09412924629532071,-0.645210374673841,-0.8183775835171928,0.00029999329129487,-0.24451413139286088,0.9356600710312327,0.11108768831090425,0.9953003492389746,-0.08874788315099408,0.9872060686411386,-0.22555631371624907,0.9881118992177175,0.39150628932012527,0.5400258674080701,0.6352359339507349,-0.4651804607668519,-0.12231962770772525,0.9434904301262376,0.5186050245239543,0.14600805462640856,0.17837363880871923,-0.24536456111933705,0.05065101076929958,0.42352333719985025,-0.6058162908303684
Heschl_R,0.9088566021937038,0.940885543470734,0.9074208684253253,0.9786324931646131,-0.09412924629532071,1.0,-0.16544539267915004,0.46807747253872733,0.991991117970457,0.9774733488929781,0.24162793808812144,0.8882641643629985,-0.087837460127491,-0.32297787696469765,0.0031963813155274296,0.9706180630025023,-0.23790100504745673,0.18028447059895295,0.7665226679390261,-0.7890018016829193,0.9136368369979145,0.9848871450955622,-0.10491680472559303,-0.8489686327884532,0.315473100501488,0.960803561353455,0.9834164863183149,-0.9903521090899728,-0.46676700344197775,0.766283986272328
Cuneus_L,-0.2236513274241643,-0.397919228214576,0.22621300028523622,-0.2832022282467389,-0.645210374673841,-0.16544539267915004,1.0,0.7358801960398698,-0.19913301855076945,-0.0027822602470269886,-0.7033792899819722,-0.44621886875315386,-0.6895357125447106,-0.5462513236152975,-0.7195267491917569,0.06439462926270427,-0.5839925494157778,0.30432578345785943,-0.6467605972475347,-0.320992603935465,0.17138878169155533,-0.09406678332441276,-0.3714132618860406,-0.3466171762980486,0.4509443376931462,-0.3390438981137844,-0.016161693463154606,0.18097013057880315,0.3997026638090377,0.1394523988555606
Occipital_Inf_R,0.23804905506149185,0.2656055783516942,0.7918552191331942,0.36189141779790146,-0.8183775835171928,0.46807747253872733,0.7358801960398698,1.0,0.4131970599157384,0.6196952929339323,-0.6401900584996326,0.20088177955717587,-0.8342388267954066,-0.43827433324214954,-0.8114363178989379,0.6399773249531527,-0.856515136626673,0.07404805865768957,-0.17775590396152022,-0.8332257887579129,0.7706928439068684,0.5263548362681981,-0.6554654615411698,-0.8436659683164511,0.38639527609410745,0.24233136875831235,0.6104301192723949,-0.4465099364605738,-0.19288333866085164,0.7558251591230983
Temporal_Inf_R,0.9383556825751987,0.9561703911186997,0.8806409940623776,0.989704138724904,0.00029999329129487,0.991991117970457,-0.19913301855076945,0.4131970599157384,1.0,0.9660827469050584,0.3355886305132433,0.9147569425045443,0.0069086213219544945,-0.3670223153769993,0.08759378817022931,0.9615023979346446,-0.1446732854806098,0.2275019223921281,0.8156267367329999,-0.7201100142666477,0.8796349077210148,0.987782318669332,-0.008763886078850596,-0.8054095376274791,0.3838488252638054,0.9819332084511093,0.9684941283287336,-0.9952847052303643,-0.39563693689750856,0.7277661123515459
Red_N_R,0.8472027403280111,0.9040404760036054,0.9674107956769681,0.9509193589557483,-0.24451413139286088,0.9774733488929781,-0.0027822602470269886,0.6196952929339323,0.9660827469050584,1.0,0.09902974761967875,0.8551648311206133,-0.2386283061861752,-0.3728653039742891,-0.1636820807773759,0.9886462065956843,-0.3806828778990705,0.14543514978835625,0.6473151785444222,-0.8463484853000214,0.9689191705870899,0.9884640753832691,-0.22949701210997675,-0.9112612210205533,0.3856036212484447,0.9003947800693801,0.9954364729551405,-0.9744553895207643,-0.45202014083079783,0.8535929863556424
