,Cuneus_L,Thal_PuA_R,VTA_L,Heschl_R,Angular_L,Occipital_Mid_L,ACC_pre_R,Pallidum_R,Paracentral_Lobule_L,Raphe_M,Temporal_Mid_R,SupraMarginal_L,Frontal_Sup_Medial_L,Frontal_Sup_2_L,Lingual_R,Vermis_6,Hippocampus_L,Temporal_Pole_Mid_L,Cerebellum_3_L,Parietal_Sup_L,Cerebellum_6_L,Thal_VPL_L,Temporal_Pole_Sup_L,Occipital_Sup_R,Cerebellum_10_L,Thal_MGN_L,SN_pc_R,Cerebellum_9_L,Thal_PuI_L,Lingual_L,Thal_AV_R,Amygdala_R,Thal_MDm_L,Frontal_Med_Orb_L,Thal_VA_R,OFCpost_L,Vermis_1_2,Red_N_L,ACC_sup_R,OFCant_R,Cerebellum_6_R,Cerebellum_8_R,Thal_VL_R,Thal_MDm_R,SN_pc_L,VTA_R,SN_pr_R,Thal_PuL_L,Thal_MDl_R,Olfactory_L,Putamen_R,Temporal_Sup_L,Thal_MGN_R,Cerebellum_Crus1_R,N_Acc_R,Cerebellum_Crus2_L,Olfactory_R,Thal_IL_L,Rectus_R,Thal_Re_L,Cingulate_Mid_R,Temporal_Mid_L,Frontal_Mid_2_L,Cerebellum_4_5_R,Occipital_Sup_L,ACC_pre_L,Calcarine_R,Thal_PuM_L,Cerebellum_3_R,Thal_PuM_R,Cerebellum_Crus1_L,Putamen_L,OFCmed_L,Frontal_Inf_Tri_L,Thal_AV_L,N_Acc_L,SupraMarginal_R,Frontal_Inf_Orb_2_R,Temporal_Pole_Sup_R,OFCant_L,Cingulate_Post_L,Frontal_Med_Orb_R,Parietal_Inf_R,Frontal_Inf_Oper_L,Amygdala_L,Supp_Motor_Area_R,Thal_PuA_L,Thal_LGN_R,Frontal_Inf_Oper_R,SN_pr_L,ACC_sub_R,ACC_sub_L,Thal_MDl_L,Fusiform_L,Frontal_Inf_Tri_R,Parietal_Inf_L,Thal_VPL_R,Thal_LGN_L,OFCmed_R,Frontal_Mid_2_R,OFClat_L,Supp_Motor_Area_L,Thal_PuI_R,Postcentral_L,Rectus_L,Caudate_L,Frontal_Sup_2_R,Cerebellum_4_5_L,Temporal_Inf_R,Vermis_9,Heschl_L,Red_N_R,Vermis_4_5,Cerebellum_Crus2_R,Temporal_Pole_Mid_R
Cuneus_L,1.0,-0.15826400178394595,0.36248502515740466,0.5465278506905688,0.6593424960527634,0.651889645531834,0.3680237139339877,0.2807522082146469,0.7511865575889896,0.4032518271009547,0.6404234505756462,0.4924422136758698,0.6458433000774426,0.5366467978150291,0.5967376625581895,0.307349263895176,0.37830256672557455,-0.309057327461181,0.37966255617684214,0.7522810186670852,0.1255964672898717,0.21856396442923848,-0.13969354615932675,0.9146270280652546,0.09348460966170302,-0.08121178088543471,0.30059623537746544,-0.07335447741964693,-0.10143902678446358,0.6144948315721027,0.13006275619363258,0.17675406658340104,0.6530331706056477,-0.05542953372181721,0.2592135042020993,0.25184553049851915,0.14624262254781092,0.630022330284273,0.3394368519801781,0.1914025532874752,0.10079050983450101,0.08103954150065532,0.4217891639065121,0.5972288817268322,0.1742241758678722,0.4127042813462878,0.3420850852751854,0.5712100816590454,0.3171229046513986,0.529807530812079,0.36116444120722985,0.36736771926505657,0.38398899979794987,-0.2614861391403127,0.3487420457503458,-0.15558367891830507,0.42498420761068834,0.30471668760030257,0.24274280745324342,0.3171089488389726,0.6816033520362204,0.2618452364446878,0.5323357222591342,0.39581321815062764,0.8959081038536318,-0.059592449437420265,0.6715314533708479,0.7272850161516845,0.3324061506049133,0.2539059508684584,-0.2252999329671402,0.3349079736503368,-0.11553398595128336,0.3699405577144262,-0.30651476729971644,0.3068579723745664,0.8074781396515912,0.15748646120675244,-0.18373648065556808,-0.06106137141750161,0.4520985256026943,0.035024051811386625,0.8039360842127272,0.38010640227216397,0.47942515153711884,0.6560551815619399,0.3133672080296445,0.08146587996460138,0.4685197595219303,0.3756177759911805,0.2512629006230881,0.20255727429444262,0.3202110370351207,0.450484257901236,0.35240805048336227,0.6403954053659855,0.24694043473781457,0.43108409410090187,0.07959287017818419,0.591459108326691,0.2521529097166972,0.7049043473557038,0.018062380251017203,0.6357886722228656,0.12271848597277801,0.22754905043068524,0.6935879626767827,0.42897831274124787,0.013857288131595459,0.09313378723399554,0.6158124840640735,0.6000756129427423,0.4463309041513405,0.12738819403027685,-0.2540372513840752
Thal_PuA_R,-0.15826400178394595,1.0,0.03507007674207584,0.006211931154544496,-0.5526938205019173,-0.5892721079440567,0.17710936681342312,0.5344348988012987,0.02120878363978628,0.3867530867491981,-0.07225868242402325,-0.4448918877285681,-0.06501584644004697,-0.026341757631851703,-0.20206905695126856,0.14449087718616652,0.3371439283418302,-0.24537689031263465,0.10399315296746964,-0.1559973630757086,-0.14812905894104236,-0.06210854731907852,0.005414656369794509,-0.2823103162419944,0.4190683289935828,0.4677416182090885,-0.06268009757913795,-0.10358210498626653,0.12169642774077753,-0.2747193418780124,0.04418801398329312,0.2268499972860208,-0.3635174697763488,0.3647483631942954,0.4853154136274263,0.23184161593898647,-0.33456551748572244,0.09437454737083809,0.009163574521938283,0.44252887219042086,-0.1889383054118159,-0.17809113330987494,-0.31263601714416817,-0.24548606881604862,-0.009783155705135453,-0.043373843090752005,0.32474536119197184,-0.43975327267296005,-0.45602925335481453,-0.22288651027727743,0.5417321488379753,0.04724330990425126,0.2295700870419075,-0.2355552341048304,0.4686471353351222,-0.3770022979127392,-0.3165975416543954,-0.06787899580620298,0.3328602403671166,-0.043953188301599846,0.23393634431669383,-0.3306136379291203,0.07307480217433805,0.3593952620483607,-0.36630910320614923,0.5419404677414553,-0.25702433715758455,-0.20162634595234774,0.011752735687694405,0.47468972369280815,-0.34634587477681616,0.40528915544845384,0.43871270528350864,0.3301288186411783,0.30855053043043845,-0.060155821827717705,0.09814021518915966,0.3816773839550305,-0.33612240620873507,0.3828170762917297,-0.23208521163510995,0.3477553013128187,-0.03114448140084275,0.040022980501472745,0.0383207209033882,0.11604286666349278,0.09236372832772752,0.31898217305076837,0.4541757580067245,0.21121117778566129,0.22214937058266715,0.4551230246952247,-0.008783439000333565,0.10049775552466263,0.4627530999465441,-0.22455482556271483,-0.5632654346403353,0.08378264994286481,0.2581820704182337,0.2698084984006429,0.3350668924894351,0.09871791955243645,0.34954915199046,-0.3188030082852725,0.3569834460584288,0.09333069797227132,0.1371055900021331,0.43688697534831805,0.21525822548591803,0.38164241652919445,-0.061811986486386604,0.13635937531347064,0.1992249531042108,-0.3197964408716413,-0.444963856911822
VTA_L,0.36248502515740466,0.03507007674207584,1.0,0.3458475833656747,0.247283382814165,0.10849551575393061,-0.04016186385221107,-0.08703351310452995,0.27537169603281797,0.032637605992935234,0.33619597700182935,0.054459178599569724,0.18241210468365696,0.13540357657240218,0.40633080668069965,0.1593776583368065,0.08336867200440067,0.1634874602776841,0.48333761892986116,0.2715480037074206,0.20316320836810584,0.2107910273587215,0.04492966359319052,0.39816672160692995,-0.19193668648318377,0.026696498294026795,0.4097236874637189,0.03070141217706068,-0.17038255469417904,0.5015753993242196,0.001239502141784889,0.04278785482812036,0.3992661905461502,-0.16333462206093993,0.02624494180366175,0.025124829678228204,0.42890859298226136,0.3639348226312753,0.19616302446267564,-0.22630685560635475,0.18075945703473284,-0.020583947195170926,0.25928306992370903,0.34851186151983643,0.09371505794661868,0.2009573188204477,0.18684673983120711,0.2836848203378569,0.29050484222296635,0.30729185586746965,0.04763975838416488,0.061500927225738154,0.2579956633552595,-0.056338725044070594,0.031149639976628167,0.1411831291014219,0.3322490040972197,0.16048772896672717,-0.17565606143770063,0.17917247790441815,0.1661626149624273,0.04226255178502908,0.1526061541818968,0.19863609943418772,0.41283563726831474,-0.1891315903703584,0.40815687753187657,0.45338435391797516,0.2677594466242522,-0.036573062173351364,0.05998468208795493,-0.09101487398039369,-0.27990135522339005,0.11319954769042832,-0.20812582672990818,-0.12443602236258357,0.2890279221692405,-0.008481373752491899,0.03763787523941115,-0.15590093844574512,0.14055021546969593,-0.1828504023329575,0.39417817646389325,0.16563794961623501,0.09141609130857954,0.27437539317571424,0.37420626451121763,-0.17771605890939265,0.25110559918153724,0.18536548288646196,0.04862180876628114,-0.04671144369733916,0.2885366954122353,0.09312567358372219,0.23697932688771542,0.23009455563992748,0.27011670272125915,0.2114136366093169,-0.2730373263165837,0.1923549153141985,-0.10269530720788568,0.24573572953202738,-0.04013263017886407,0.1666767681073649,-0.18976563927903944,-0.060741042521371656,0.22767288163441604,0.06953907304630542,0.021462075581074637,-0.10051425918745768,0.2846352811301894,0.2318020777728456,0.2027857070327684,0.1507057883508815,0.09813201267592807
Heschl_R,0.5465278506905688,0.006211931154544496,0.3458475833656747,1.0,0.3567625562560997,0.35694267899806614,0.45819261049902704,0.14867516517503093,0.3392386987666005,0.3598227583892345,0.6512531808815032,0.20233180048043828,0.5596348155816632,0.4329116971558399,0.3897101537916364,0.2749727143970153,0.527796143963027,-0.06517324173234543,0.3473816022742182,0.32072504172675287,0.40722268955728913,0.4555464813988468,0.017949985156263764,0.5335863055455101,0.14540086538202535,0.06247263014778977,0.15269297632534884,0.19088706215861964,0.23591628064940282,0.5332474501765997,0.43604635174143025,0.27656898524104634,0.5100724987724301,0.08296810895966655,0.4140468550672789,0.41198422761523795,0.1784999225593298,0.3710334170364959,0.46955385559125257,0.10690860469834032,0.2629126036290517,0.29580422033699466,0.5852948285078247,0.4820864104621866,0.38363345895803297,0.39449021964898295,0.19987274268103747,0.36224127948554247,0.3010022033015951,0.4209106677249623,0.27692393852705144,0.3980793807059975,0.4501632313163347,0.06895032309326395,0.3983299269629588,0.08438763420318757,0.4497397715279539,0.38697696497959383,0.202800820848738,0.20185287685782424,0.5291634231582705,0.3660050131531112,0.39589035966873815,0.3088645958985253,0.4723597352642513,0.16611473523897238,0.5609101313213534,0.46693465458757005,0.37257732709011304,0.22535342129276328,0.07763516664026254,0.38705351369158353,-0.009855200031646989,0.37758247542954715,0.09125202027917007,0.225253669181461,0.41436664188431366,0.3101196242141029,0.23417613218513336,0.09658571049554812,0.4306925391788685,0.11871860889216873,0.39544883307228307,0.20238873097116158,0.3267483001616974,0.36724518523004546,0.4454197685201018,0.3781165091221612,0.37203269433484565,0.199610188460098,0.5011243788556246,0.2981189366449435,0.5018296569241429,0.5269827715055885,0.4783459819115506,0.2940212396379531,0.3111059595932542,0.4419903704289292,0.06013092334733423,0.4357506605664302,0.27674750755530797,0.38172427819155574,0.011710400998298277,0.36625345161716805,0.14751089344828308,0.35436619779020156,0.3898806678738126,0.3620247033972428,0.3179941831096725,0.0023990861556918374,0.4239341934849098,0.2615301070054566,0.3837874000471769,0.1392122164748131,0.09220804864567339
Angular_L,0.6593424960527634,-0.5526938205019173,0.247283382814165,0.3567625562560997,1.0,0.7909554794472826,0.30024553046002656,-0.11191638660793968,0.5740681713364184,0.0949020036192643,0.3723578109239895,0.8130377875161697,0.6232773435544566,0.6628157951069413,0.5208481586756423,0.2845790903519736,0.1928950436778001,-0.1693183538761566,0.23607900494399117,0.698283721561065,0.18237684053624412,0.45504185540416797,-0.33617177402382475,0.7312217980187885,-0.02305451777175181,-0.48274024499177903,0.3277072445237395,-0.06823947651197997,-0.33364511267568453,0.5617035225768763,0.06791832023632201,0.04332420454370244,0.5316507458310492,-0.2777793538741305,-0.07410822138785378,0.0544430855144481,0.24525792530566562,0.5122125195645116,0.5184535082374284,-0.12745733893344866,0.1661305031325977,0.00557247266916203,0.5554615249012347,0.508524628849739,0.19435601345427778,0.39651557992746306,0.17193879513571744,0.8444081210148426,0.5079828336510739,0.5890050049112693,0.00840583078414282,0.33068078373380627,0.1784735516884439,-0.13835130891753328,-0.0374193162728794,0.02232596081446678,0.5394565139139761,0.09913661545966684,0.001591450068762425,0.1738574731709156,0.35982990868329456,0.37508860755644285,0.5741405343414643,0.2321494981287773,0.8291714362683601,-0.17512002827560452,0.6154744431242228,0.4801742859922179,0.423455254868759,0.07301560867748974,0.008988799877999838,0.09226076992711958,-0.33107117596484353,0.2145831762585813,-0.1948935685342272,0.2719451902547573,0.45999769122455303,-0.10060282272599615,0.13406085074935425,-0.1446335544370616,0.6563528083492595,-0.20357396715156714,0.5224580009295017,0.44021272834939634,0.44929491283613693,0.516874535962046,0.14860175761096153,-0.05915405452029831,0.052677280490208866,0.2500673272919072,0.1524750293590817,-0.022863726577047584,0.10439398584094724,0.27682481564529465,0.06468485913099078,0.8072896360573073,0.5638710695401494,0.32935665529062336,-0.1419238541886916,0.4167915161728762,0.07259016358848165,0.5485810650895668,0.029831527878125222,0.8340780785065439,-0.04710040986167603,0.19108425454230082,0.5336040936277677,0.20133607893569383,-0.2060266028871786,-0.21914973656228365,0.6054870462349781,0.43545880974543416,0.4193069599811515,0.1650370957463701,0.12062577760607984
Occipital_Mid_L,0.651889645531834,-0.5892721079440567,0.10849551575393061,0.35694267899806614,0.7909554794472826,1.0,0.1922870179143247,-0.2322316335840066,0.38204280576605437,0.05616338707861391,0.4471355527152173,0.666733259739422,0.4750625682283123,0.4176780923709819,0.4795017960942078,0.18801913840582243,0.13718050697275339,-0.03712998676689708,0.1663862570944298,0.48360158765572536,0.3119324485179665,0.29797488258130506,-0.038647395156112985,0.6445804295311628,-0.06536978624258309,-0.4298287592025159,0.23454880422101881,0.15336952605478332,-0.09344467967597046,0.574979072609158,0.2106989105003797,-0.0634653737702283,0.6197065883180795,-0.2585370275102651,-0.08851337579644353,0.06079439061837066,0.28330054055924564,0.2508501951439365,0.2624460213401938,-0.18135987640252152,0.3031490440239798,0.30294836450644935,0.5766283655239727,0.5666078979429827,0.13697601193338574,0.4384325781524966,0.014581493551260304,0.6755742830066302,0.6318389932145656,0.4603483951042849,-0.14331616878917947,0.28441411383749987,0.04246840885813938,0.12483937391640164,-0.12147618130170376,0.23511111278866165,0.4601307409341869,0.3586392351644098,-0.13408934408118242,0.18598614740817285,0.25887669770756516,0.48480728456639993,0.3099699246083845,0.06861898258473738,0.7706216518905072,-0.30647049124903525,0.5938114235952447,0.49531431922597674,0.31995903429869244,-0.1234321537979148,0.20798902564282076,0.03180702422500666,-0.31206428290403737,0.0882967524375625,-0.21781660709296455,0.2940426594540096,0.4028937557729101,-0.18886100816681717,0.2303036492192426,-0.2139828514991845,0.45254566953544095,-0.18455865571215355,0.38989482857499425,0.24507091430355246,0.3170005328171338,0.3150235988328962,0.16145535582522522,0.01245393947671243,-0.09146398275327054,0.01844960449375686,0.10140895937446222,-0.08392170635674204,0.33975462830527414,0.36341057047953756,-0.07395624853072522,0.5298884371609682,0.60941223501452,0.1540703009918407,-0.167168541367065,0.1839723314373605,-0.013867082711124933,0.3424013148545623,-0.14751952324495787,0.6387138216124386,-0.20128537101958785,0.21576542307040172,0.2984502602604575,0.006461634232090039,0.01685270377394901,-0.1423149777064892,0.3686236134005521,0.19716320325976183,0.1978487338343286,0.3389110621474222,0.2394881825588374
ACC_pre_R,0.3680237139339877,0.17710936681342312,-0.04016186385221107,0.45819261049902704,0.30024553046002656,0.1922870179143247,1.0,0.5534008473834648,0.4034653448173123,0.5730336139354602,0.2106926920794202,0.3712844289283471,0.7558440981475868,0.6922904411385941,0.14513751901729036,0.42632841915608277,0.7991466700511578,-0.4765472465616763,0.17153756184443886,0.4077616622109523,0.1102940059123648,0.573436879310538,-0.21760178854986204,0.31380097572881843,0.5509624902091368,0.09566873767277904,0.23762615044899335,-0.11226136227884047,0.02357030427781578,0.15549324720692329,0.32556468422254886,0.42385629081424553,0.021837816670349192,0.43174676428961584,0.5969354584093673,0.46764212797398386,-0.252238922215122,0.39492937466090056,0.6623956150553314,0.4753668803096663,-0.06952687284720077,-0.13953505745850314,0.38597828119525135,0.07236532606266478,0.40736326510064386,0.2826111188144605,0.54843044661013,0.3910204658512078,-0.0848901910132421,0.5308691044280307,0.6704316050795053,0.4903244682823688,0.5330123915552327,-0.3213746845228011,0.5352129802863477,-0.39458745931091505,0.21912343822124325,0.09353924267575459,0.5364722593991397,0.1395599458629376,0.6527172794962358,0.1612666342852253,0.6028282664087495,0.5176366139774613,0.25493735958989605,0.658876163314226,0.19403409883200115,0.11711286743899854,0.32480621022205036,0.6305056839022666,-0.2979913846876006,0.7206995865168114,0.42840787610230346,0.5875397424382283,0.420228969772389,0.5435525487419205,0.3873390582982407,0.39090864427947697,-0.07812345679277055,0.4828445767310271,0.5216902294639584,0.5247216188539517,0.3116800118466388,0.4477841369054228,0.6254947956385046,0.42498383783511495,0.31411994461686,0.5640513360597431,0.5152121124075645,0.5526692937032389,0.6055130184587645,0.7569369191454118,0.1276754901474177,0.5881374440331356,0.47007539743051924,0.4130913792870355,0.012123430380167714,0.5515087706832492,0.4624469831467108,0.6264236068556589,0.45387304320107796,0.485473830183905,0.45518278182972227,0.4693736087278446,0.48006716105255925,0.6727826883794371,0.6454764634572887,0.7543549190899689,-0.011401010079756595,0.034675949094373736,0.45198037235669397,0.36180617030619117,0.596515073621511,-0.2357061528327533,-0.2985073566687183
Pallidum_R,0.2807522082146469,0.5344348988012987,-0.08703351310452995,0.14867516517503093,-0.11191638660793968,-0.2322316335840066,0.5534008473834648,1.0,0.5935013415544156,0.7636102471349965,-0.016564528442283597,0.0023839311936533834,0.3435425017048773,0.4257542255404357,0.029864807954385834,0.31521536472826595,0.5881848456602154,-0.7417090537802002,0.20349584462635661,0.42148386118190545,-0.367075641606053,-0.015032325852615594,-0.40573419030460867,0.17786384156492224,0.5098717604323828,0.18407667984355047,0.07691200808685149,-0.47179248399514556,-0.14804505309077604,-0.1355457720756222,-0.004264290652162202,0.38955832154150993,-0.27573443663014885,0.43328555528679613,0.6033510904020712,0.471369118626582,-0.5039556552681558,0.5714743161959399,0.2242428354233346,0.7713261593071767,-0.4891042793527175,-0.40690714597182953,-0.23556281166126827,-0.22710935570214438,-0.005134388476394453,0.05289607911544162,0.6592407386664081,0.015726636191776805,-0.5341716546040131,0.09682490788637621,0.9131482139183054,0.32437082492301694,0.4279474208040893,-0.6871186838596184,0.7983762288792735,-0.7796778755397005,-0.1987976663019561,-0.26431207634142145,0.6888405822017238,0.1059837980751623,0.7327056730250854,-0.2972416316960995,0.4855127112901949,0.6122898157751154,0.06969463800746643,0.7168220269369422,-0.05144782777583993,0.008121390957062796,0.13916288069526836,0.7456003805070258,-0.7354241520714201,0.7082033477222023,0.5661383522335842,0.6503170776070948,0.13038427723138224,0.27597829947876773,0.5104363892439558,0.6379335942482425,-0.6328594081840234,0.5055433455208466,0.17755526387505377,0.565475328544708,0.4636240223841205,0.2736385975790455,0.5385482750056768,0.5718810693417418,-0.0865336574378258,0.39616714894768207,0.6897532581607085,0.6378971165760691,0.3564028742831785,0.7058357434184654,-0.2598716444821712,0.33133653146063813,0.6617777845988161,0.33595494794399117,-0.6311410466056461,0.25361409201960167,0.6143268576263876,0.6827819023275947,0.6577477794478773,0.6340916772328526,0.4935990728554278,0.22873073485339576,0.6613465480227204,0.201067803980131,0.6516230938961451,0.8274647460971161,-0.14857247906273588,0.26043559299177044,0.4795977072768815,0.5412402242314269,0.5131972255669865,-0.5112758962097539,-0.7895618795061503
Paracentral_Lobule_L,0.7511865575889896,0.02120878363978628,0.27537169603281797,0.3392386987666005,0.5740681713364184,0.38204280576605437,0.4034653448173123,0.5935013415544156,1.0,0.6286282995797986,0.30847577105277013,0.4466013120164627,0.5550126873624132,0.6701399992516069,0.48416449296228886,0.34358478677485144,0.4190383388174961,-0.6414950242572276,0.4215058046986784,0.9069972803803694,-0.28199854196077395,0.10836130795146799,-0.5924490855460273,0.764427030488792,0.20020095405847926,-0.20606256400223136,0.3898855336924151,-0.5262395543920622,-0.46971856897781217,0.33381371515727293,-0.15761225049745745,0.20340070558440165,0.27440559133325787,0.008392531084424993,0.3125649323082307,0.3159782958369367,-0.12661325033011928,0.8695472891152007,0.40358727766652785,0.43516296428800516,-0.3062468193940322,-0.3459955824439851,0.06024012960394939,0.1677076467016396,-0.09552340977003747,0.32131831026308455,0.5759181697278741,0.6023968330781332,-0.0795196658788429,0.3822203484640537,0.6512579752090143,0.32502346083180605,0.37620446831283794,-0.6867566411886047,0.5242703077902453,-0.605738969385502,0.25783522971117834,-0.12556942864403892,0.42073648229035354,0.23928911816199272,0.7866749049685495,-0.1578518646148743,0.6639297929303749,0.5900764217452183,0.7292353818262596,0.2727515612905444,0.4430262200189321,0.5365506186508046,0.3468396939861102,0.5274982537125289,-0.6475054465880917,0.47240035109536394,0.061714436373471515,0.5554205078391165,-0.349876230313157,0.15028344798082824,0.8491550908389545,0.4057824479197391,-0.5036748132670661,0.1626163389772128,0.4344203566159155,0.14143913209428877,0.892127587416387,0.39559092470426593,0.6346164522538602,0.8617532580824727,0.012346667202479568,0.025507729489175093,0.5932717433043599,0.6193832859413252,0.3060059754655378,0.3800068856360095,-0.13976605688322308,0.2541574602662219,0.5972584789601182,0.864580741951338,-0.16359893451866722,0.3519534083630948,0.2523626242824949,0.8108810843926207,0.4939596510146994,0.9219311756221992,0.29032555833569246,0.7104984956426884,0.39421142845885415,0.003754634382893226,0.8725792323894959,0.6773517634449565,-0.28669996940478265,0.02377875844472185,0.8523942919803909,0.7911719399448256,0.6189449097475827,-0.2291866584621281,-0.5664328010579873
Raphe_M,0.4032518271009547,0.3867530867491981,0.032637605992935234,0.3598227583892345,0.0949020036192643,0.05616338707861391,0.5730336139354602,0.7636102471349965,0.6286282995797986,1.0,0.17924237990694222,0.1367057248405118,0.40983539357634285,0.5155566621312282,0.22378405316758782,0.3958287960455028,0.6962243684042204,-0.6124553473121027,0.29453351543237954,0.4862932911172842,-0.12689072321844774,0.1239827985696217,-0.32556856012000107,0.34356873342025684,0.5342378448648363,0.04577592697656267,0.16934076334426165,-0.30909262235599905,-0.009423581057414521,0.13617812477104566,0.13959815522354477,0.3251581839149192,-0.049564287694743886,0.3048599379296449,0.5213016371620698,0.5148998285908567,-0.3473727502250824,0.5753273326391309,0.3686426909708872,0.626094580523936,-0.30495260431752186,-0.19083195933106883,0.0335950408089367,-0.04098414901220652,0.0820421851822165,0.28802882054206724,0.6039166809717121,0.2416780797923821,-0.2954811864532024,0.2185095685461725,0.793756044958585,0.4564961124878141,0.4246948386427077,-0.5328649512831481,0.7092892082249442,-0.5925213820914262,0.05107526594996753,-0.05307898126253525,0.5385904981086511,0.11206618284846581,0.7510158230768826,-0.08689683562358536,0.5143540520756942,0.6086274554180341,0.23560332655173102,0.6401680360787535,0.17362814357272627,0.20020061713793375,0.2776147145846825,0.6196660969494786,-0.547179299169213,0.7378806923518235,0.4140145630936977,0.6957944338230898,0.06597668267741075,0.2999532764420782,0.6439985988321415,0.6206854785934312,-0.46328059416701656,0.445082701001554,0.28781300581136265,0.41986516674701235,0.5566254653700463,0.2962639931550259,0.5318228522870238,0.6350412159189688,-0.00862831006775276,0.4523408334604668,0.664468327787962,0.5646712848548681,0.4098663182406652,0.6228196915660668,-0.03375041985629272,0.508828329140053,0.7167994833539526,0.42549748092057077,-0.3565918894413712,0.30267737619220114,0.43155957277060875,0.7319566357482188,0.6376073522486456,0.6679212135026219,0.4218804796629867,0.37687109168657307,0.5161583373913455,0.2917773673256205,0.6833020392179447,0.7919585241553218,-0.090963279853694,0.16466594410213403,0.5310857428188801,0.5283546799784943,0.5411247444849998,-0.31217368092705616,-0.578154134220603
