,Thal_Re_L,Frontal_Inf_Orb_2_L,Parietal_Inf_L,Fusiform_R,Thal_PuM_R,OFCant_R,Cerebellum_8_R,Cerebellum_7b_R,Occipital_Inf_R,Vermis_1_2,Paracentral_Lobule_L,Cerebellum_Crus2_R,Cerebellum_8_L,Cerebellum_10_R,OFCmed_R,Cerebellum_4_5_L,Thal_AV_L,Thal_LGN_L,Thal_VA_L,Cerebellum_3_R,Temporal_Pole_Mid_L,Cingulate_Mid_R,Temporal_Pole_Sup_R,Cerebellum_6_R,Frontal_Inf_Orb_2_R,Insula_L,Calcarine_L,Thal_PuL_L,Thal_IL_L,ACC_sup_R,Rectus_L,Thal_PuI_L,Putamen_L,Putamen_R,Vermis_10,Thal_MDl_L,Frontal_Inf_Oper_L,Occipital_Mid_L,Lingual_L,Thal_LGN_R,Heschl_L,Thal_VA_R,ACC_pre_L,Cerebellum_9_L,ACC_sub_L,Thal_MDm_L,Frontal_Sup_2_L,OFCpost_R,Vermis_8,Cingulate_Mid_L,Cerebellum_6_L,Vermis_6,Amygdala_R,Postcentral_L,Red_N_R,OFClat_L,VTA_R,Vermis_4_5,Parietal_Sup_R,Temporal_Pole_Mid_R,Raphe_D,Postcentral_R,Cingulate_Post_L,Hippocampus_R,Pallidum_L,Occipital_Sup_L,Occipital_Mid_R,Cingulate_Post_R,Vermis_7,Frontal_Sup_2_R,Thal_PuA_R,Angular_R,Frontal_Inf_Tri_R,Lingual_R,SN_pc_R,Vermis_3,VTA_L,Cerebellum_9_R,Hippocampus_L,Cerebellum_3_L,Raphe_M,SN_pc_L,Cerebellum_Crus1_L,Amygdala_L,ParaHippocampal_L,Angular_L,Temporal_Inf_L,Temporal_Mid_L,SupraMarginal_L,OFCmed_L,Frontal_Sup_Medial_R,Thal_PuM_L,Temporal_Pole_Sup_L,Cerebellum_Crus1_R,SN_pr_R,Rolandic_Oper_L,Thal_MDm_R,OFCpost_L,N_Acc_L,Occipital_Inf_L,Supp_Motor_Area_R,Calcarine_R,Insula_R,Temporal_Inf_R,Thal_VPL_R,Caudate_R,Cuneus_L,ACC_sub_R,Precuneus_R,Thal_IL_R,Thal_LP_R,Thal_PuL_R,Thal_VPL_L,Thal_MDl_R,Olfactory_R,Parietal_Sup_L,Thal_PuI_R,Frontal_Med_Orb_L,Thal_LP_L,OFCant_L
Thal_Re_L,1.0,-0.39647461660633565,0.1579051310469434,0.18283971362187662,0.07997271060864405,0.10590108308930057,0.053534929812769236,0.30301515001258295,-0.02440743998875524,-0.15002907708541088,0.23928911816199272,0.2704207668210034,-0.031199072721931127,-0.0761607661293897,0.13725777353018173,0.11801242185805472,0.08361295006141896,0.4030474940002079,-0.1278383780990366,-0.18878586604667727,-0.004949163230647618,0.24183831306725478,0.03818117351186923,0.10918287372876785,-0.3259554307190164,-0.08238850538802159,0.2166450158775232,0.10932770721926102,0.5884961773049227,0.10849608278186451,0.06372203506462329,0.09682099177989643,0.09347638180210116,0.13968779195812506,0.22528844877491425,0.31278634870430166,-0.01638272447990118,0.18598614740817285,0.23793080853960105,0.07415609057795822,0.12543037891670814,0.5042250929438641,-0.013548415221789931,0.020653179575160913,0.07865678187246486,0.35953394531086375,0.07742463710113683,0.23283932733698326,-0.05314010957776593,0.11293674486025054,0.09514215988502948,0.11904625702545384,-0.08385898056775644,0.1473961005178936,0.27709156200388024,-0.05694382129183059,0.26448747177353477,0.11492205816360983,0.19848643346906805,-0.028635702871781143,-0.18555541568698306,0.27490092016359935,0.10362351362030284,0.2828155203273991,0.12061249779682919,0.2932079931524798,0.303653173394422,0.23346502061145782,0.017124407065375147,0.146692716680508,-0.043953188301599846,0.3314090317550245,0.1076533660781259,0.34606499168739413,0.3331727093819914,-0.033230824079638975,0.17917247790441815,0.08157827255371707,0.2220759874974435,0.20035036682266724,0.11206618284846581,-0.15605040686928182,-0.06562858224421529,0.17397478462192673,0.19666583646078534,0.1738574731709156,0.016266574840498704,0.07534801951808444,0.0708271837699202,-0.11258020338449815,0.17794802812161675,0.3369502263450994,0.06289276293726272,-0.04867633394922023,-0.035383984100356265,0.15033441955629123,0.4275173345821709,-0.15342785359733344,-0.019429434871391146,-0.03946399623143275,0.15803809806802815,0.24541926511629844,-0.05226979349968129,0.1225327569160572,0.11157983973250023,0.2307663168638118,0.3171089488389726,0.20063772547149036,0.17887139822822076,0.3997279619692449,0.0404251012897459,-0.15510325179333606,0.14046067927501188,0.17708499345484147,0.08100334653754444,0.20971514471726826,-0.08301329929225783,-0.14244619218872046,0.29992463906948685,-0.02833399328406835
Frontal_Inf_Orb_2_L,-0.39647461660633565,1.0,0.24833278274059356,0.3066543026184273,0.4003070029852524,0.5554037487893766,-0.14096731975607593,-0.3612874059956748,-0.35036322276389187,0.04998890890422629,0.34617078094167214,-0.35280762359012063,-0.15625331073372997,0.19511637385349043,0.4018417627789509,0.48486933664838383,0.06304227303669885,-0.004228081816403505,0.3273654702867049,0.3481168802242869,-0.41732203178171884,0.4650179799924559,-0.27005492848092283,-0.21575515233760367,0.8782193736379518,0.5819223100346868,0.07267346195026794,0.15354802152522243,-0.4222366237893628,0.24327926650549833,0.5719389464010617,-0.11300851995453676,0.473622514174401,0.43849039237809206,0.12503461507134347,-0.2692825884148515,0.3276445057298684,-0.021956972708736294,0.04697896767339136,0.2659405798893986,0.41323314089752616,0.02861084961426415,0.41435020103543585,-0.1875321631682677,0.3544729975661406,-0.19751093498778097,0.36931519551680314,0.423530240054051,-0.05962159630505384,0.4955472234515283,-0.05550675650540685,0.27075279746595715,0.3499458858458991,0.2564309910653307,0.25407182462255323,0.751628405207646,-0.04672904838500416,0.39121105552318797,0.19065994889328194,-0.3255973002751171,0.03313755450231197,0.3259510142401979,0.24516013999702266,0.3581177538829311,0.4141981729509777,0.060920982190847996,-0.04429349555700277,0.24161235449208668,-0.24414957008104787,0.4220964670923874,0.1287011581039453,0.11009900904412,0.4410755530912666,0.14352784850941327,-0.006282554771542618,0.4447736029294653,-0.09087617154224487,-0.22666302677339667,0.42192886266209956,0.21860615308099568,0.49504234904409916,0.08925310506639672,-0.25903356353580986,0.34306919520858686,0.49327045077709025,0.025618176316442753,0.12508236525599606,0.051441130509939745,0.13046218385854205,0.4337884519542421,0.3351928151908793,-0.04068822502756841,-0.27964673674845564,-0.30930900415688595,0.3338838080023602,0.5333142537462816,-0.2792308702585008,0.7368530290173244,0.26420806586307694,-0.286704223128403,0.3863160343978019,0.1325002473714515,0.6131650779831295,-0.13460269979845418,-0.18321647146943776,0.3987757276034071,0.12847048809864894,0.1891738371121572,0.34079425297276983,0.15987949619816494,0.33602543917958105,0.32827313507590006,0.08427773166813253,-0.20761772778112908,0.04910803759851357,0.23350157941482813,0.29093115444295065,0.17058183141570724,0.03143496886855865,0.4130194184198172
Parietal_Inf_L,0.1579051310469434,0.24833278274059356,1.0,0.2082381900793775,0.40958653898639474,0.23914429910676402,-0.33082552929018144,-0.2411020152169673,-0.5009257741614769,-0.040508401523933715,0.864580741951338,-0.20258574852551617,-0.4986410600094212,0.22759901562584528,0.11419053928316694,0.555318314670565,-0.2246626563775464,0.32044488052194575,-0.12775470688569884,0.44279181704616755,-0.5331852531486655,0.6374537449024201,-0.2615914866057437,-0.18415605103013558,0.22288592801479162,0.3024203182228554,0.576987065651781,0.7982351806866909,-0.17870495150099505,0.5235713679878248,0.269218882558099,-0.5481180144753298,0.33936822096959113,0.417445232104398,0.4065933631016492,-0.17314733051290832,0.5240823508481464,0.5298884371609682,0.38466937671867374,0.018773395370959622,0.8461649903427915,0.14920559600631675,0.17645039519158626,-0.4510083610672991,0.24620082003631175,0.26286902713932325,0.7897248088264417,0.2889564662086471,-0.4830720836139747,0.6634968138941066,-0.15038059308222615,0.38484031395694124,0.16952902613163084,0.8829123833560246,0.7099633858971669,0.379901904952008,0.39061640155003724,0.6268535094864156,0.6439794941054826,-0.3131590641854862,0.06638863295291367,0.667801282134174,0.6073381846460684,0.49268053882159424,0.5074970887722572,0.741585108111621,0.5658152020022498,0.5973428896373457,-0.41666371112217626,0.8087203826691983,-0.22455482556271483,0.7025602999285394,0.397820956288095,0.475349258135355,0.3500540634599413,0.2930372754482345,0.23009455563992748,-0.25487977642363796,0.3421773004978313,0.31552557732882713,0.42549748092057077,0.03477856887806193,-0.4472666420960037,0.6393840944314261,0.4374816783612464,0.8072896360573073,-0.269396888184784,0.005777695918636646,0.7433004728550763,-0.07879569112410745,0.6725708684216821,0.4098720354687869,-0.6510026404776704,-0.5676492873342247,0.4993178063265412,0.6486265216991897,0.24541396325823917,0.2410452104753912,0.22325794002758387,-0.10897091108137136,0.7925562649932217,0.47381935584447854,0.41661805616353215,-0.36444444656140734,0.11303978934196393,0.40790142120609674,0.6403954053659855,0.25562685545061115,0.8558015628305783,0.6493137858931932,0.14007261285475373,-0.19214488311257052,0.32420054490902767,0.13595773120655025,0.3239554171280603,0.8913194115629917,0.31231667410049124,-0.07776264422677177,0.6053905343975521,0.10927533802686142
Fusiform_R,0.18283971362187662,0.3066543026184273,0.2082381900793775,1.0,0.5817424338764362,0.5220653491079393,0.046912117246426556,-0.10014560466238515,-0.23101887844372204,-0.041348795705224935,0.3659672701432254,-0.006931291131977486,-0.0016207939485925185,0.5091497210048452,0.31639245085385265,0.7578875402358487,0.43566399570112163,0.5018080167329895,0.39487742453738367,0.47055301218262974,-0.29462166159582137,0.6289000397170563,-0.08406822084562166,0.2205775387064775,0.47715742968622765,0.5856398708866521,0.3301270920404387,0.062349359374838126,0.20628724454338498,0.4639066964232875,0.43799670910231847,0.0979062949821216,0.7588287819502785,0.6687575773526814,0.5963118749459948,0.26460282210315444,0.49145193206466636,-0.06965943993986387,0.254615264464291,0.44288167120600724,0.3367140403537586,0.5596967602484307,0.5241458329286316,0.13555341777540914,0.5776917276615463,0.0680541019980592,0.5068877642456018,0.5168813978641925,0.41302704199056234,0.6204620082741426,0.27571136377603855,0.6726102551143784,0.38306851006975556,0.2474881229511688,0.4331322059008637,0.5362707409287285,0.14627675517099983,0.688164415047814,0.130780008537217,-0.332711668072845,0.1992014905200711,0.4202085129072086,0.31318031768195476,0.6626821303004413,0.5766560543720686,0.10001956092900773,0.05478192244137181,0.42840425067482996,0.09370460443915216,0.5512311219086485,0.5200301492057853,0.21560967058218,0.6409106104546775,0.39120155394216893,0.23667478594454927,0.6181329006095925,0.10411473200213142,-0.04937493098436024,0.7515254281053062,0.4189709146210461,0.5460276203640901,0.26257617042799364,-0.2330209713730639,0.459764706743789,0.7119800943524478,0.018325606696981266,0.18603653605610676,0.11574156793508857,0.1313162704574743,0.3696026491476765,0.5500413103223274,0.1488539689824344,-0.008279130152064202,-0.12979579737166774,0.4182401760201415,0.5827926866067497,0.12759079553855723,0.41688720355410736,0.29853311009193684,-0.38131157832416157,0.45538777182082746,0.35527666107619105,0.5982258578208051,0.42401781364365554,-0.11368119025044109,0.7750828120410374,0.32895135882682486,0.4220368468836986,0.396032173942731,0.3471086723919122,0.2566799503920849,0.36534418664967167,0.4678906911801197,-0.07539032114975272,0.08769156295914272,0.2129313887090366,0.364123369827961,0.18616520505409162,0.12124612485670908,0.39749870045756325
Thal_PuM_R,0.07997271060864405,0.4003070029852524,0.40958653898639474,0.5817424338764362,1.0,0.6327246057349756,-0.3045248337175785,-0.3554519877381128,-0.5702335527334728,-0.32666006282152066,0.5274982537125289,-0.3711108796447812,-0.41230900678741944,0.4535765690546492,0.5229119116951674,0.7987519881896398,0.2099278794781258,0.37803102935783084,0.5634978231069813,0.27997419552793856,-0.6031771080644571,0.6580461425533359,-0.34933774091099107,-0.2853364271509498,0.5703715128927362,0.3530208675816364,0.12268926668245739,0.1419797111714655,-0.1990757515967241,0.3966109155580907,0.6431459301119712,-0.1330848927091496,0.6715984934235791,0.7953731277109602,0.4366587268264956,-0.18407797947894639,0.2917237129364944,-0.1234321537979148,-0.012528350649131595,0.38597167422527523,0.4893736856690006,0.6107648369520279,0.7560425188740644,-0.3034151883446284,0.6641954580172564,-0.21074721228979365,0.5983903985518547,0.5064666192623258,-0.10361971768028681,0.6178530579436747,-0.2162417137738324,0.40648447643658986,0.4985626225416962,0.3047820121254747,0.6041373813667448,0.5878800145564618,0.1120838836917503,0.6623458014800697,0.33008239724506055,-0.534523519095201,0.13296151159987002,0.48987239339995353,0.4092605477759603,0.7829048617457427,0.6424690298585995,0.13368993839936694,0.0004934424438034429,0.658522201743615,-0.3863597258818706,0.655826343941237,0.47468972369280815,0.3077800065339693,0.5960436148616433,0.1362093529199301,0.12572968145840047,0.7541506906502549,-0.036573062173351364,-0.37451732794903325,0.6646489239130223,0.20043775139057332,0.6196660969494786,0.1339043796589644,-0.557945526430124,0.6480262259854224,0.7439506754120563,0.07301560867748974,-0.07554534389875556,-0.17022740558268384,0.07891312315195433,0.5372263611633655,0.7201154287809496,0.012049879021045241,-0.3674364549610453,-0.5513358903813319,0.6050194916683874,0.6447630429896293,-0.10835396725622327,0.4515510998112516,0.3225930483362006,-0.5181087546566875,0.5101834910467709,0.06255454010064758,0.39692551155216105,-0.13417169857547448,-0.41632264585186685,0.7537861814491528,0.2539059508684584,0.49660585060813645,0.533791610319236,0.440849768059674,0.44654064832313844,0.4500261521478756,0.21507068017115105,-0.4240306093454838,0.03041493379298005,0.38864426642112504,0.6853524409528539,0.43537709951919396,0.08653082999634104,0.6056255250899326
OFCant_R,0.10590108308930057,0.5554037487893766,0.23914429910676402,0.5220653491079393,0.6327246057349756,1.0,-0.31461930644221237,-0.3965151234491024,-0.609704712435612,-0.4558677571554806,0.43516296428800516,-0.4334107459426476,-0.3702437068397961,0.15002081910893503,0.7710459613887922,0.6867578923536605,0.28724330349397037,0.19558894557137926,0.5511755378280078,-0.03716944948175237,-0.6249843433166207,0.6158506164075296,-0.5332331736068253,-0.4376521528869507,0.594097223428339,0.2074463784272186,-0.0743368250711093,-0.024388906383775995,-0.20233337849895788,0.18883741425971032,0.8231234977723632,-0.052920382546180304,0.6114766468347896,0.7555443228379708,0.36424910490202766,-0.2166546101495733,0.2956004689236489,-0.18135987640252152,-0.15504610085698672,0.4806774503824065,0.3549756810831827,0.5621420956577438,0.5911811033264864,-0.3902808282709905,0.6231168608445776,-0.2734460548511062,0.31742235421001547,0.6433315583614565,-0.118754391415135,0.5288106303264181,-0.2702964593925281,0.26831078459687085,0.23956289622067026,0.239314539178174,0.45184039569729106,0.8202292134540068,0.21015880347132956,0.4515409620134794,0.27856103652786735,-0.7375116943797388,-0.16682051726218367,0.4659542429009803,0.07240497562014307,0.6386979252012377,0.5451381827922259,0.020562943569322062,-0.15226067633307366,0.32113745087450146,-0.42587459701339203,0.5336038734388397,0.44252887219042086,0.20415638611308187,0.4234462864957056,0.056972990252693485,-0.111963712300752,0.5743032996387247,-0.22630685560635475,-0.49023668936504083,0.5670280822959137,0.1295056264982898,0.626094580523936,-0.1283387544586401,-0.610889417477648,0.42799420188239135,0.7866077598579467,-0.12745733893344866,0.033851066649356755,-0.1417300378908242,0.03678012478867451,0.5756684984410335,0.4684565455826906,-0.034218361335438506,-0.2770960110202258,-0.5518737292855811,0.3801606477369082,0.6051201437352439,-0.18660818279520436,0.5498882155665136,0.34563313543977037,-0.6121313185552464,0.408868174307886,-0.03544420744702201,0.4346613945882002,-0.074022107289368,-0.4791941966209538,0.6286392976417206,0.1914025532874752,0.28004439785420693,0.34798383752381734,0.28060300380598024,0.49298471462065907,0.5374320052303416,0.05965931877350405,-0.4058240980791752,-0.3313408394524392,0.33067166597428943,0.4203650498645466,0.3846845085430936,0.006799775427579149,0.5460801362309575
Cerebellum_8_R,0.053534929812769236,-0.14096731975607593,-0.33082552929018144,0.046912117246426556,-0.3045248337175785,-0.31461930644221237,1.0,0.807924046187043,0.7419188196328584,0.5048073791348282,-0.3459955824439851,0.7824579352836084,0.8321591848077202,-0.05255994075278452,-0.29915056347357416,-0.3053467675561029,0.15383109338276374,0.03707926201581394,-0.11726212698141822,0.27696314478738865,0.5520876539342681,-0.14688542923864142,0.6713964234134268,0.8265028679927222,-0.11014741600125681,0.17108850906077383,0.34604275983048083,-0.14952175183822441,0.5706982088496143,-0.05621269811652347,-0.3788436692420291,0.5974843079110543,-0.04774633760037099,-0.3943543305540709,0.08028577916985981,0.5422223888036919,-0.06556676622691338,0.30294836450644935,0.42303129694308955,0.19763371985018593,-0.32047829817895773,-0.04173225933363064,-0.20587869444509038,0.8837255973839718,-0.2860878916019346,0.34820822450141403,-0.13588145101566168,-0.07462953310241081,0.6689805857780677,-0.14891080978544796,0.7378056266970655,0.1548519313833349,-0.019986878639209695,-0.1493964723283593,-0.1768804288151117,-0.14466219122130397,0.004428958259849092,-0.12167877309431224,-0.4227788184213876,0.6256540942770896,0.07428046186067787,-0.36244856619485766,0.06584088106825213,-0.1466069932439699,-0.2566452381678606,0.00904935168853712,0.09427092360652073,-0.08200329874717104,0.8340433469937477,-0.38074882870495735,-0.17809113330987494,-0.3042590756537527,-0.13386324888608692,0.29321944870770583,-0.15102966567448206,-0.15483410230455957,-0.020583947195170926,0.8873037689829025,0.018380561475381044,0.027632280446243933,-0.19083195933106883,0.39319274940547405,0.7589000508582924,-0.14841930742174872,-0.24763340642624324,0.00557247266916203,0.5278161998848196,0.6035330875346225,-0.018513694424947283,-0.2615497157459567,-0.1791927405653139,0.06941135628128713,0.543766545481126,0.8504808083104693,-0.42405621349386635,-0.19415876292730666,0.46763230678808704,-0.047278331382096875,0.10163767976248879,0.5666346531531684,-0.23352527700375544,0.4429986482608739,-0.06599861106788749,0.72428014128859,0.45185780974609047,-0.10120784358127051,0.08103954150065532,0.01443176056572408,-0.24415308272405398,0.07752295099291029,-0.09245057627281267,-0.06192205583909007,0.11341580928930996,0.4767436083427521,0.297528055808193,-0.437369289475907,-0.2815063091597454,-0.3068087088383912,-0.1569093234347744,-0.25025695573164963
Cerebellum_7b_R,0.30301515001258295,-0.3612874059956748,-0.2411020152169673,-0.10014560466238515,-0.3554519877381128,-0.3965151234491024,0.807924046187043,1.0,0.7094535417843971,0.45745797650660697,-0.25594491064531194,0.8561112346419022,0.6496768645949345,-0.22226362804088637,-0.2805832651684867,-0.3976479697238818,-0.04970000133811454,0.10995038306442732,-0.31479496438388704,0.0835312898300731,0.575115199639158,-0.18987159400737932,0.6089517637279499,0.6929798560376943,-0.3413012651851517,0.0026969579372890444,0.34104103255545143,-0.05112905654521091,0.6440392140868639,-0.15161141349550927,-0.4760689042232655,0.4891385572537491,-0.21763624362807457,-0.43847781782934614,0.01594797082167609,0.5179765390026934,-0.2100000051174417,0.39507770172968143,0.47011963656229827,0.02460943661876594,-0.2775879147651046,-0.04381291798325457,-0.33899954710118496,0.7042713537680524,-0.28475106561552715,0.44675595099834714,-0.22456482188917162,-0.13794806324032408,0.3832856302257967,-0.26077322080431065,0.5896273993435353,0.010771128040633805,-0.22833346451435838,-0.12702936753662547,-0.17749923185618513,-0.3348470432927691,0.035638157385679,-0.21019888671818898,-0.23041537192539566,0.6084444941300664,-0.07580427962386062,-0.29044606509886256,0.022070773519894473,-0.13152508520663647,-0.3260116351636402,0.1623284965771573,0.26565128884704226,-0.03603116378132308,0.6700202087189179,-0.38370804368857825,-0.3326074766527431,-0.1165698438527922,-0.22383439874978112,0.32695921262892486,0.08706190688901469,-0.2612585684759214,0.09461271689093145,0.7831554178790153,-0.10068292779307694,0.09303826741610921,-0.25451062221144904,0.16445508214202637,0.6547223836385379,-0.21724491983394856,-0.34530969097175884,0.11485880233582571,0.3157943153194134,0.46013536079500744,-0.04497564906556715,-0.381396929751212,-0.202146871593835,0.23503516665581234,0.5286513518975746,0.7188574082979576,-0.5014726345601641,-0.2213358239502609,0.45355742600855514,-0.2888231724851642,-0.014503073206025141,0.5869859876988243,-0.2678758573943558,0.3790239433335186,-0.21888735540426668,0.5301556289695166,0.45998043537096234,-0.1804498212536708,0.14037751876454782,0.06365605027437012,-0.21640569961563522,0.13735578602340062,-0.2228845282980823,-0.2981545108092775,0.05176393689018322,0.4804846113620161,0.3531430322674183,-0.28315165367917877,-0.3289391389146895,-0.3031472746437999,0.008184657985620068,-0.336328505455599
Occipital_Inf_R,-0.02440743998875524,-0.35036322276389187,-0.5009257741614769,-0.23101887844372204,-0.5702335527334728,-0.609704712435612,0.7419188196328584,0.7094535417843971,1.0,0.6257486095312146,-0.6199688367029543,0.7169464755468128,0.7192182401842196,-0.21670018671119504,-0.4792306404214485,-0.6574930311924855,0.06577552355139316,-0.07657221412827513,-0.35672493668204014,-0.011667878603516334,0.8749790035803503,-0.5387554836035311,0.7283272207786576,0.759868753693404,-0.3761294653401996,0.017354758474472785,0.15654479523961057,-0.21065476151534104,0.49314102001779464,-0.24688394916272113,-0.5985350324571651,0.511214589449026,-0.448092428769924,-0.6889480624899675,-0.162102324796946,0.5307765593734299,-0.28267938908251206,0.1453485994692562,0.3242992321184262,-0.20828042489958223,-0.49190374909784995,-0.3214048925083314,-0.4845408315114233,0.7745225576230949,-0.5637913116189228,0.33382209074130337,-0.45465587545552855,-0.3364997519431275,0.5359778842198517,-0.5018116479250422,0.6432740450405852,-0.08399210083286976,-0.17080473119042666,-0.3820301061816208,-0.5309934177727011,-0.5338648253768747,-0.16934006082903177,-0.426010141624291,-0.5004951403481671,0.8227549040826359,-0.04801241420980342,-0.5633796937200994,-0.16618824007727143,-0.45454478381640656,-0.5599939801885061,-0.15083705017797266,0.041269043883642074,-0.35438057226315084,0.8367969293836929,-0.6622519834222513,-0.29800391724483555,-0.3923544446233552,-0.4334120571025897,0.16545041047057008,-0.04267095680837542,-0.46699105773414645,0.04807498541423378,0.7718760989359493,-0.3308888748922844,0.044931758625033145,-0.5413272034756856,0.216161632763118,0.830600804587503,-0.5042805713696998,-0.6121344257139036,-0.09734854975627193,0.2625132594331908,0.3505349751928266,-0.18963970552530512,-0.36788263490960116,-0.5283248640400758,0.08116547470943253,0.7195017087186565,0.8945751349582725,-0.6006773214552372,-0.5509008931050935,0.23617204501183525,-0.2767243091212257,-0.1723597019840672,0.7217406923392914,-0.5664266860235405,0.21736726254048308,-0.31208993120391404,0.5072858581572111,0.4983665009491475,-0.45649837776842594,-0.23127628714636161,-0.2322538812428635,-0.5582113069249878,-0.28035572769604206,-0.3479978447628744,-0.24090371414833903,-0.0005115819691101038,0.48578641856293925,0.19625280304179984,-0.5981752989547253,-0.4519441596909996,-0.34592487981176423,-0.1603607156797476,-0.3787275111035451
Vermis_1_2,-0.15002907708541088,0.04998890890422629,-0.040508401523933715,-0.041348795705224935,-0.32666006282152066,-0.4558677571554806,0.5048073791348282,0.45745797650660697,0.6257486095312146,1.0,-0.12661325033011928,0.5991093628246142,0.435521575894122,0.004648976562229719,-0.4050185721514859,-0.3269160758383283,-0.15904186982352034,0.11519524805520087,-0.476246775732671,0.4144726846131065,0.6618637478693596,-0.2010221287410996,0.5525927157418287,0.6523750335211502,-0.020387927156327715,0.3581756934414862,0.488379030061581,0.16764662542423872,0.21541183458703136,0.0447380865949615,-0.3585661529811594,0.08561651037635755,-0.29594815933040924,-0.4301929858574803,0.10914365868716262,0.37614059104513997,0.06767983750052589,0.28330054055924564,0.6124006109560132,-0.31855575442792733,-0.012781484961991349,-0.3891091653880283,-0.4420727974925022,0.5498475942668072,-0.386153474419883,0.4901904303669313,-0.0318401382041514,-0.13691202593827195,0.30104199327223663,-0.11685474435590609,0.5544150935324954,0.13800593969339145,0.003597777295567477,-0.00336709143416771,-0.13517060925395238,-0.2466370153407561,-0.16806013713618798,0.020738812418959904,-0.09192827778668042,0.6237512851813087,0.024367606323629977,-0.16310027561035187,0.1497855396769374,-0.19035255958642194,-0.28861718004396825,0.2560257865831309,0.3934981407394598,0.04441961729210708,0.6395063049227387,-0.1804522099355622,-0.33456551748572244,0.05089514777972029,-0.18633765769707183,0.5225935025712086,0.2337325913266815,-0.12606043440258746,0.42890859298226136,0.6329793207255424,-0.14180763816318087,0.47215308648921206,-0.3473727502250824,0.22565940885549196,0.5941368166029407,-0.15139292896996714,-0.3875059406000864,0.24525792530566562,0.044322612737059446,0.33451231569169004,0.061505155972800374,-0.35128699796431023,-0.18066526178199194,0.36382849257305633,0.43704999424327556,0.5502815376691217,-0.3150752380028763,-0.20308671942558726,0.28310228511796787,0.025270642294374125,-0.10848809335581544,0.5737741997864148,-0.15037850354998375,0.5361836331276797,0.13864176173414003,0.2967021937204824,0.5695010079482539,-0.26286573577824357,0.14624262254781092,-0.10727049587179659,-0.048484098168716495,0.04542662586329643,-0.39771343857206515,-0.3560252044964731,0.1767190273430075,0.534720740497478,0.45052284351652183,-0.11751042136300752,-0.21636370398866372,-0.36464302795107106,0.256821073311334,-0.2937969081786076
