,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7
SN_pc_R,1.0,0.16670682070025364,0.1537042821773993,0.4027897476733849,-0.11700070035782828,0.15269297632534884,0.30059623537746544,-0.04267095680837542,-0.062135083491094194,0.17608866163142992,-0.1727917987076109,-0.18021501111779237,-0.16524996688498408,0.3337752739334733,-0.14126232113903645,-0.00831916276650514,-0.019334291361038102,0.33105443678270613,0.3331727093819914,0.17877643077034602,0.09389948874615678,0.015500960799519646,0.31956400236409804,0.2614369925916801,-0.08577178387125425
Thal_MDl_L,0.16670682070025364,1.0,0.15733459867685468,0.40812423210203785,-0.18743079628727635,0.5018296569241429,0.3202110370351207,0.5307765593734299,0.583402684590506,-0.18152880140407054,0.42051824116726105,0.2044065650524658,0.08914199414153787,-0.12054568825852713,0.16026989410564876,0.07165856555942124,0.09864304571826434,-0.0741775843440408,0.31278634870430166,-0.38183288398841336,0.22483545162489066,-0.17345879524816674,0.3034480116073998,-0.05581043862032117,0.53377677053424
OFCpost_R,0.1537042821773993,0.15733459867685468,1.0,0.35880055448218606,0.5222464423571525,0.38654097519761954,0.36098857516513316,-0.3364997519431275,0.0783372649209133,0.38951707664108653,-0.057454106865142074,0.36743126614234195,0.4349711683267272,0.22253403573240388,0.06554673429503152,0.5277383413668676,0.26117529105092957,0.1814667019583129,0.23283932733698326,0.10661645170310745,0.13467007229658262,0.43548456687029735,0.34219150316409097,0.2899368616180336,-0.23202589278023222
Temporal_Sup_R,0.4027897476733849,0.40812423210203785,0.35880055448218606,1.0,0.3510638997550242,0.6932014007350229,0.7054757744914666,-0.15810314357656005,0.18521739512387922,0.3161442612312667,0.00758611943498922,-0.10641492832706616,0.13792703025952366,0.5203211063416044,0.18373974965021114,0.26322391245798044,0.38550336499484156,0.4382757647333915,0.2796921127305684,0.2713987792525372,0.11829256435636466,0.39034098225783365,0.6500953620961591,0.47176300145523686,0.04128892431215035
OFClat_L,-0.11700070035782828,-0.18743079628727635,0.5222464423571525,0.3510638997550242,1.0,0.27674750755530797,0.2521529097166972,-0.5338648253768747,-0.0051236923684901455,0.3912458275558582,-0.009080394951552665,0.2502885264012571,0.5122607201922615,0.40408814884485794,0.332350355703243,0.26050356329537133,0.5861509341757449,0.3760242433813484,-0.05694382129183059,0.45212129545362395,-0.02116785237209944,0.7451128782293708,0.4902352868291005,0.4207532471304654,-0.2819527592078138
Heschl_R,0.15269297632534884,0.5018296569241429,0.38654097519761954,0.6932014007350229,0.27674750755530797,1.0,0.5465278506905688,0.010876538511945907,0.3179941831096725,0.19987274268103747,0.07361326101357449,0.09125202027917007,0.3781165091221612,0.24023383086461209,0.0023990861556918374,0.27656898524104634,0.3980793807059975,0.24780554157114096,0.20185287685782424,0.11766559396573825,0.2912351458560058,0.3101196242141029,0.5170378005953106,0.36625345161716805,0.09980898694740303
Cuneus_L,0.30059623537746544,0.3202110370351207,0.36098857516513316,0.7054757744914666,0.2521529097166972,0.5465278506905688,1.0,-0.23127628714636161,0.013857288131595459,0.3420850852751854,-0.20094009342529565,-0.30651476729971644,0.08146587996460138,0.692813483298252,0.09313378723399554,0.17675406658340104,0.36736771926505657,0.18146337691397427,0.3171089488389726,0.17297430005427322,0.17215795380347593,0.15748646120675244,0.3258476063005935,0.6357886722228656,-0.06405967610226435
Occipital_Inf_R,-0.04267095680837542,0.5307765593734299,-0.3364997519431275,-0.15810314357656005,-0.5338648253768747,0.010876538511945907,-0.23127628714636161,1.0,0.5072858581572111,-0.6006773214552372,0.5359778842198517,0.06577552355139316,-0.20828042489958223,-0.45987483824970427,0.06435999035904895,-0.17080473119042666,-0.18022174824787762,-0.25924423212179015,-0.02440743998875524,-0.3998376918001356,-0.04801241420980342,-0.3761294653401996,0.017354758474472785,-0.3820301061816208,0.8367969293836929
Temporal_Inf_R,-0.062135083491094194,0.583402684590506,0.0783372649209133,0.18521739512387922,-0.0051236923684901455,0.3179941831096725,0.013857288131595459,0.5072858581572111,1.0,-0.28915946042215057,0.717200952027693,0.3076768513538633,0.3124388909986293,-0.2924625709924559,0.5983690315580604,0.014807862959001893,0.10827091286172343,-0.0517210206817592,0.1225327569160572,-0.26111001824919433,0.11233145589511048,0.02889862137426322,0.20375210558893805,-0.2735315268479979,0.6556365938329949
SN_pr_R,0.17608866163142992,-0.18152880140407054,0.38951707664108653,0.3161442612312667,0.3912458275558582,0.19987274268103747,0.3420850852751854,-0.6006773214552372,-0.28915946042215057,1.0,-0.22909016683118877,0.08005166877056938,0.2866170005024634,0.46659723480943205,0.011802229595756783,0.5689856459123327,0.38415595027087923,0.24603530076820132,-0.035383984100356265,0.4238744272163,0.5799056129105864,0.42383932279553044,0.23210211148620932,0.4026359907194387,-0.4419423665278521
