,Thal_PuL_L,Raphe_M,ParaHippocampal_L,Cerebellum_4_5_R,Lingual_R,Calcarine_R,Cerebellum_10_R,Thal_VA_L,Parietal_Inf_R,Thal_PuM_L,Occipital_Inf_R,Cerebellum_4_5_L,Cerebellum_6_L,OFCant_R,Thal_Re_L,OFClat_R,Thal_PuI_R,Thal_PuI_L,Precentral_L,Raphe_D,SupraMarginal_L,Supp_Motor_Area_L,Precuneus_L,Precentral_R,Thal_MDl_L,Vermis_10,Thal_AV_L,Vermis_4_5,Cerebellum_Crus1_R,Vermis_3,Frontal_Inf_Oper_L,Calcarine_L,Insula_R,Thal_PuM_R,Thal_AV_R,OFCpost_L,Thal_VPL_R,Vermis_9,Red_N_L,Hippocampus_R
Thal_PuL_L,1.0,-0.18175411208484288,-0.2792472765334073,0.6600347822738387,0.7089853090569218,0.703726342821496,0.7816226632600004,-0.34060923513607483,0.43605481912012783,0.3408549615967374,-0.17736587124937103,0.6402797332911759,0.7351794657041174,-0.4441913708169459,-0.07881076437698811,-0.28574116549514195,-0.1587033288790002,-0.15450424460041207,0.3047432981597178,-0.19144203448126385,0.48264392827656954,0.12439128009378662,0.24037272017146927,0.19357055147928762,0.44952453865134673,0.7614825774350674,-0.3026615787495474,0.7147990292180754,0.5148669933431954,-0.01013092169127293,0.2607607887421058,0.650974955510117,0.636868909615829,0.04008296757615687,0.12188441833370563,-0.33151089457676625,0.1358531168533507,-0.712956088320772,0.07935549000735506,-0.25235133677632593
Raphe_M,-0.18175411208484288,1.0,0.5075026093985849,-0.17949160534518216,-0.13330870810874682,-0.2225276906291257,-0.3680305565633356,0.5293430069712524,0.07763123797739942,0.09134611138251855,-0.05266378374638162,-0.16466584420028485,-0.3023604231164887,0.33009554873219454,-0.1828786318296047,0.3053544714465576,0.23379454077671455,0.3102562897388752,0.25554789779474907,0.25360364707496863,-0.03131669250932605,0.23317131106551595,0.08802945235184344,0.20953764218322163,0.10039845089664771,-0.4003338781322947,0.41234541141921144,-0.26285929593710267,-0.1339461244378634,0.28185247974132166,0.17317675127353183,-0.3096400765539504,-0.21607830233121664,0.3747769629990134,0.44226789604285016,0.20736687847606936,0.4676446320858585,0.32059341895986143,-0.17726180501587485,0.46960209948499615
ParaHippocampal_L,-0.2792472765334073,0.5075026093985849,1.0,-0.13348179287309175,-0.03516872734127599,-0.2042184093581443,-0.35037793789658794,0.6670675744587289,0.2577320308006809,0.4561179864519484,-0.05831079782809468,-0.00030447074709180025,-0.3513093838871632,0.514778278895595,0.06101142816231441,0.44728933536966775,0.5636482345469058,0.6780903047415553,0.47427433498259364,0.6495524140038192,0.17639241720187782,0.4314666614125216,0.30459950183960943,0.6006859991452589,0.37700186400306324,-0.5123277439671606,0.5980349615758214,-0.2640326485699224,-0.5127886762893583,0.7191843578988926,0.4471566873820695,-0.31602718316289097,-0.07526049754932805,0.6111709913436952,0.44581082042326897,0.3442957282548698,0.6412726088010454,0.44850517952908864,-0.29886637653916626,0.8873090204540214
Cerebellum_4_5_R,0.6600347822738387,-0.17949160534518216,-0.13348179287309175,1.0,0.9163772423766985,0.7605720304226052,0.7629161400335919,-0.4418336583190163,0.6927768034375587,0.29093943636722563,0.02762533041916445,0.9541342008500417,0.9255841623227163,-0.5044055523491505,-0.11831104035483081,-0.2996493501651312,0.09906303772769,-0.00859122908996603,0.20489991109685754,-0.33522737768263144,0.514967605783695,0.10921382167627203,0.5525319762665599,0.20406467059466363,0.36947865119285683,0.7956481067880601,-0.5733851432595556,0.962933439914015,0.5956022724478938,0.12076392919521017,0.1825653187703429,0.8709297277721281,0.7298800132026039,0.1443416693965878,-0.08993270217274872,-0.27430104010142786,0.24588088913227157,-0.6455631644655399,0.2538162408588038,-0.030868200188519962
Lingual_R,0.7089853090569218,-0.13330870810874682,-0.03516872734127599,0.9163772423766985,1.0,0.8359574826926656,0.8456816877733389,-0.3606771163485716,0.6771254102663131,0.3586678055433408,-0.07937480575433947,0.9109956766187459,0.9084891212597632,-0.506222611917126,-0.049637970933744426,-0.28703302688549287,0.11005017111614342,0.08739327371263163,0.31142263086258076,-0.1293851509506649,0.5448764889910485,0.13057554998419668,0.5484343787435176,0.25235855072817887,0.4565866276322827,0.8120641221552068,-0.4341384251488634,0.9153363283957282,0.5586908390181531,0.11292156566733078,0.2757404049023115,0.8271482649337495,0.7043999653940136,0.1459922537315911,0.08969771784317804,-0.355017841307725,0.29701056885570015,-0.7249723473818949,0.006740759803729444,-0.007695135342830462
Calcarine_R,0.703726342821496,-0.2225276906291257,-0.2042184093581443,0.7605720304226052,0.8359574826926656,1.0,0.7385977593246486,-0.3897062840848928,0.696391057560343,0.36866879488243937,-0.09270682924001106,0.7772406247765101,0.810581321987498,-0.43410074029731116,0.034649508229359936,-0.279776743316186,0.035773842703108884,0.10659131098898778,0.39324054233245137,-0.12876200837579535,0.6593076853602847,0.31177205526063084,0.6297786503410571,0.26301720722334293,0.3673047023298366,0.7383135665749886,-0.40204549210385276,0.7931763923600508,0.519243418403839,0.09554881398468458,0.3949830043676747,0.8881840666518978,0.653580966970721,0.140247974043715,-0.0070022658268903415,-0.34516772905920823,0.2168162802182716,-0.648104820435626,0.11725419044445445,-0.0857237271969239
Cerebellum_10_R,0.7816226632600004,-0.3680305565633356,-0.35037793789658794,0.7629161400335919,0.8456816877733389,0.7385977593246486,1.0,-0.48894772188261704,0.3773434116547144,0.15235874460626392,-0.15396576953485272,0.7417999234945732,0.881075556720253,-0.5367787054776065,-0.04554405396656434,-0.30704587931977445,-0.12900290563333217,-0.2296002879574296,0.09725879956624935,-0.2204875909465174,0.36033378148931344,-0.14192674375696027,0.18402772142114301,-0.014372007320822625,0.38284636259870264,0.9538892783034552,-0.48525304157333005,0.850343326729053,0.6699344680520797,-0.20287997567678012,0.08145186382295615,0.7597917345509289,0.7092975578973074,-0.1872396039428202,0.015409203905660876,-0.4258056510753919,-0.025167086790589523,-0.9183391736465768,-0.04368607486949563,-0.3843773131749533
Thal_VA_L,-0.34060923513607483,0.5293430069712524,0.6670675744587289,-0.4418336583190163,-0.3606771163485716,-0.3897062840848928,-0.48894772188261704,1.0,-0.08198224339688866,0.3349007402116236,-0.08400831157149954,-0.3325557056863064,-0.5511537994357233,0.5929601023473813,-0.05669180192800107,0.4727644846480112,0.34318287349484733,0.537415060364932,0.4075047027214349,0.5619279069536361,0.03464894476224456,0.37670751494298543,-0.028322137460773396,0.39126816838313605,0.2551677009835116,-0.6000356512027584,0.7749272665840596,-0.5185899381352469,-0.45804200606775985,0.44260569363611085,0.3861588510715286,-0.5347396629083163,-0.2757162529293848,0.5234331506058588,0.48165086443057936,0.2388176430412973,0.5469329387157666,0.5252979945769682,-0.22486423515369983,0.6231801709537105
Parietal_Inf_R,0.43605481912012783,0.07763123797739942,0.2577320308006809,0.6927768034375587,0.6771254102663131,0.696391057560343,0.3773434116547144,-0.08198224339688866,1.0,0.52064730356188,0.13388521084119473,0.7682910224467883,0.5422811219973518,-0.21150413816839975,0.04082410061954733,-0.09473375418168088,0.36448952584872674,0.4478520390035561,0.455612503747292,0.028957045660338913,0.6979861797961737,0.558534947198187,0.8786393658863448,0.5028643517269628,0.4598027506836857,0.3575765899392658,-0.24754594201434652,0.6419855310441062,0.24793254986407684,0.5005790872883621,0.4889238910560586,0.6930425543891476,0.5677643385712963,0.5585673226551905,-0.009460000558006668,-0.17489277275269216,0.541325028923396,-0.28459854513813104,0.22923095198894347,0.4234751879794947
Thal_PuM_L,0.3408549615967374,0.09134611138251855,0.4561179864519484,0.29093943636722563,0.3586678055433408,0.36866879488243937,0.15235874460626392,0.3349007402116236,0.52064730356188,1.0,-0.07784097153483814,0.43843841444308546,0.17236142613581507,0.1493428288811794,0.07011512101971336,0.20942373216583893,0.4379100326281812,0.6147741457067633,0.8032220365838569,0.3942668866118718,0.6415596398638608,0.7647408986133521,0.47825689016113243,0.8063692541562247,0.7391822082249399,0.044096830728333855,0.35167703259563227,0.24736585590890492,-0.058971673801551446,0.6474653634645358,0.7057036689009516,0.2709790131762502,0.49177424677702014,0.7745015698573163,0.25578630523134716,0.10272338946651685,0.7300518722030546,-0.0043624078787186825,0.10451782433615729,0.5930382441808056
