,VTA_L,Thal_VL_L,Temporal_Sup_R,Temporal_Inf_R,Thal_PuI_R,Thal_MGN_R,Parietal_Sup_R,SN_pr_R,Fusiform_R,Cingulate_Post_R,Putamen_R,Cerebellum_6_L,OFClat_R,Lingual_L,Temporal_Mid_L,OFCant_L,Frontal_Inf_Oper_R,Paracentral_Lobule_R,Pallidum_L,Insula_L,Vermis_9,Caudate_R,Thal_PuI_L,Vermis_8,Rolandic_Oper_L,Calcarine_R,Thal_IL_L,Fusiform_L,Angular_L,Cerebellum_9_R,Thal_PuA_L,Lingual_R,N_Acc_L,Thal_Re_L,SN_pr_L,Vermis_4_5,Thal_PuA_R,Angular_R,Red_N_R,Occipital_Sup_L,Frontal_Sup_2_L,OFCpost_R,Cerebellum_Crus2_L,Temporal_Mid_R,ACC_pre_R,OFCant_R,Temporal_Sup_L,N_Acc_R,Thal_MDm_R,ACC_sub_R,SN_pc_R,OFCmed_L,Cerebellum_Crus1_L,Precentral_R,ACC_sup_R,Cerebellum_3_R,Heschl_L,Thal_MDl_L,Temporal_Pole_Mid_R,VTA_R,Hippocampus_R,Thal_PuL_L,Hippocampus_L,Rectus_L,Supp_Motor_Area_R,Temporal_Inf_L,Vermis_3,Occipital_Inf_L,Postcentral_L,Frontal_Sup_Medial_L,Cingulate_Post_L,Frontal_Inf_Orb_2_R,Thal_LP_L,Thal_PuL_R,Vermis_6,Cerebellum_3_L,Thal_LGN_L,Putamen_L,Pallidum_R,Vermis_10,Cerebellum_8_R,Thal_PuM_R,Cerebellum_10_L,Temporal_Pole_Sup_R,Temporal_Pole_Mid_L,SupraMarginal_R,Frontal_Sup_2_R,Frontal_Inf_Orb_2_L,Heschl_R,Raphe_M
VTA_L,1.0,-0.08529530054637802,0.7371994609637147,0.6850216218297968,-0.18217096013601367,0.026643829781496174,-0.03319041897843347,0.05979492121865747,0.6506016488648028,0.3869010775161116,-0.12060266579408907,0.8255355154356201,-0.27183738495396875,0.7121357014256531,0.5631333059014152,-0.5618772266737212,-0.16621927473253487,0.12301270524789655,-0.4443262182956322,0.3368957050650859,-0.8006766005274104,-0.5648343319478228,-0.30226766813359646,-0.630397534757659,0.2247211562592574,0.7033939488977733,-0.22238556926701267,0.35510566592401577,0.6004164039277325,0.6624215884625649,0.029552112925564273,0.7402693952971698,0.3648200652931607,-0.12910205678972597,-0.6268476061836226,0.8057237726066323,0.13104343927203577,0.7032283917807725,0.5249718421118965,0.5098397920187718,-0.5469612228510775,0.3309554518608282,-0.04488541989647797,0.7080716624051955,-0.5420049678643809,-0.5131165172460346,0.09940734505853273,-0.005863837524154071,0.2290593493555692,0.19307215848178547,0.4342793155416566,0.10634878265728907,0.7139496037286653,-0.029233040500049264,-0.2548751826608792,-0.7348665317153271,0.2980885740355086,0.22536066739861288,0.5138437628963473,0.4124815605305661,-0.40438237350312106,0.7279054908370408,0.0074544619262833,-0.6236825847199784,-0.13006562302751334,-0.23250771834124515,-0.24247004713771209,-0.6280931074540589,0.1531833553949535,-0.4235360548903807,0.11476634431897291,-0.36134322262051416,0.4147799906004307,0.6215085143893734,-0.13198062995489526,-0.6916984886617183,0.06090672489546683,-0.4179364954083961,-0.27709422191754685,0.8692962458460781,0.812335975680023,-0.18409500473114687,0.7906324798211051,0.6818903513405178,-0.3413514960275363,0.5473829017823477,-0.6433212107738171,-0.6119980811886916,-0.6652155757646603,-0.2776991993405615
Thal_VL_L,-0.08529530054637802,1.0,0.23297239326225322,0.009335915257879034,0.5417728162366676,0.3580715887153684,0.5706105002478308,0.5254476201965155,0.29807239954455006,0.4898409647178468,0.6349995753025484,0.0773183233119942,0.1927262900332745,0.2940664818019082,0.4112082681635517,0.2777286776870518,0.5917536970432083,0.6988208505168444,0.56509699052373,0.7109502666220375,0.20786395202043217,0.6055462049706823,0.637748975727055,0.19772639592242208,0.5712356897250054,0.21336152634557912,0.44766861452624923,0.5961546298316545,0.28080663225624797,0.22225561252725157,0.5626379076075412,0.24604992110295412,0.4036497982558506,-0.0007589557405446407,0.5698479620817105,0.18259535534069546,0.6661179821250884,0.18531964980953275,0.042293244612665475,0.2051737940331141,0.6129882886927535,0.26963537309594166,-0.0600789584735823,0.2588111687788589,0.5200905619289404,0.2011128820629175,0.6572039974637792,0.45858898427518735,0.6271853867411881,0.29563361920826753,0.26163607322630805,-0.07964125561350478,-0.16147562283316028,0.7512872992481753,0.7521710280657311,0.4458464999385754,0.6721889358074573,0.6317213722259121,-0.08615425123512366,0.3329622468388292,0.737146684181361,0.07396832040010545,0.8050187031802768,0.15017066984569855,0.7107034114091536,0.5737054987936636,0.7877215837897745,0.20077884171658328,0.6863094999989957,0.6789640986136615,0.4899163807046533,0.5296499229680066,0.6407178377234881,0.33296918017159266,0.36396383186357667,0.39486242216267986,0.47977479683120317,0.6790541846332507,0.5397856338491152,-0.12880282195789214,-0.058169974947882404,0.792757507168171,-0.014142702959380629,0.12114886313279788,-0.04336651448569215,0.4535823660424273,0.4759423286891949,0.5299895827221643,0.42747051915626916,0.10815966860698364
Temporal_Sup_R,0.7371994609637147,0.23297239326225322,1.0,0.7583477919368317,0.05624427220283919,0.2812729942755559,0.31732837013353066,0.3997196372673488,0.853791493901664,0.4802716487768136,0.20497219893805188,0.8328049232290056,-0.09394550096329028,0.9358432487252241,0.7811814195338249,-0.419847188430802,0.13597779850166952,0.43540668028923213,-0.2061323815681407,0.4591577689969058,-0.7607849626375149,-0.2698466341569666,0.11052826227050627,-0.46912573556654796,0.3262533059153774,0.8173861796189302,0.15196086044622012,0.6216518424430696,0.6661992407498516,0.6959689129261064,0.1858409170125578,0.9171596650843775,0.41242220330746476,-0.027766249576535958,-0.34087880559482614,0.8438433640920484,0.3903744728038635,0.7929756082352978,0.4149804186651572,0.4490131772542393,-0.3386652735478968,0.3356872239193155,-0.22222375745472414,0.9140406013688235,-0.31235612349448383,-0.36131848910609615,0.4583314506941242,0.2597274948589423,0.49658298762409897,0.3807726647007192,0.5926293653458505,0.026628500050037095,0.5414925238765825,0.2827244956608826,0.13078511752732794,-0.482794552006964,0.5645395605721937,0.5380966576817197,0.4426936800809417,0.5534536034513793,-0.018831078852804745,0.7417718056048723,0.3866990796307613,-0.4418538490953569,0.2268472864994454,-0.005250282535353408,0.09134174856752324,-0.5301141552340887,0.4738956952967365,-0.22529950257127482,0.309391222076462,-0.11112575846835689,0.5887276219070794,0.7839628799746012,-0.06616835629420181,-0.42124023545530226,0.4442439226773377,-0.09932772082349234,-0.05414630718202444,0.79611401440826,0.6567266561661971,0.15592848589097041,0.828436685750607,0.771439726305505,-0.37257138109864446,0.8186808806073851,-0.43150189975853454,-0.4272720138040488,-0.5084828877091018,-0.07920216302106182
Temporal_Inf_R,0.6850216218297968,0.009335915257879034,0.7583477919368317,1.0,-0.0380199858208744,0.17799236014246914,0.1163122466215312,0.18574099148934958,0.853242946563497,0.26729922278579543,0.017029068532389526,0.7189882168966852,-0.17283270517288826,0.6999805733464997,0.5766016609231401,-0.4569736513707732,-0.13278812065579595,0.1901990577612098,-0.30514591088881876,0.2923158240158283,-0.7458042306001662,-0.42748387584658337,-0.14328508052813374,-0.5063271064260331,0.21483951225014133,0.5913119083241062,0.04156447069845241,0.4878442045538653,0.49069480282181765,0.5606295911895095,0.03532781214449112,0.7795527687033558,0.30079109981046814,-0.04134206746461557,-0.4619816779797369,0.7689969753582143,0.18531335150048156,0.6263055016505352,0.40368821942884653,0.3572226160651015,-0.4025289919136994,0.3898489495595388,-0.024221221731674132,0.7758913023665855,-0.41894492232729696,-0.41097488394831316,0.20475235699057492,0.12653050965234489,0.4018866334886665,0.17382745596479604,0.38397108936228586,0.3608368113160464,0.608952108422061,0.05238751431154574,-0.06002264528272741,-0.5281204684024156,0.3080219781010238,0.36943375101241843,0.48769422837528753,0.36095895511145226,-0.17005970659070185,0.5454167521731933,0.1727635563514816,-0.4007691763381718,-0.04513429220033253,-0.09811344786111799,-0.11769473277984387,-0.5283715848138014,0.20709728507393782,-0.35299522028486374,0.08297589880887773,-0.2511311355932904,0.31402213132231266,0.5698834126423689,-0.07783851674656563,-0.4722655572296688,0.27359881430309435,-0.2946141287331701,-0.17571540811703135,0.7307496708619603,0.6387264084350617,-0.0948383747895217,0.7542948926185357,0.6517673104320133,-0.0028474491814398733,0.5626621365939541,-0.5047501828399218,-0.5647738348101979,-0.5507674952266879,-0.1269716378521907
Thal_PuI_R,-0.18217096013601367,0.5417728162366676,0.05624427220283919,-0.0380199858208744,1.0,0.36019791719815974,0.4976933174804065,0.36323546782489385,0.1749812195795181,0.20675670674918095,0.3622225281148195,-0.07282433551756688,0.15697378417437674,0.07659628117038325,0.09173475769272289,0.2381044066927935,0.2801209041462146,0.403110679110189,0.4651394894782377,0.2644814056511346,0.2029638768862631,0.5118053264122138,0.6119900816758888,0.24446537379429703,0.21996512227616866,0.035773842703108884,0.449955177386244,0.3882376945240576,0.07028106349836324,0.028841971281703124,0.33298174134275776,0.11005017111614342,0.24203087185799307,0.023500152678784594,0.4496892268672709,0.029571509432535528,0.462534250769554,0.02683168887089116,-0.18042735722177813,0.04405183764097964,0.4800440430044344,0.04509979187364419,0.0010307054336656926,0.08804928096033529,0.3983428249321383,0.22852060917880676,0.27300481490571493,0.2732861945926289,0.3670117575693207,0.11503903171032036,0.18143737199672177,-0.12775500965680314,-0.2180547996710869,0.46614983248908887,0.6011567631746996,0.47854857279417695,0.3249144812901477,0.2996727314517849,-0.16528439899694664,0.08180654372234457,0.6537942002464034,-0.1587033288790002,0.6088567202143098,0.2283760676242098,0.4312400032845602,0.4214782704133965,0.634718756107946,0.25695623330846507,0.38285759993711516,0.4491424064776388,0.25959620990609333,0.40169427401717467,0.32082872131496465,0.14286408859493158,0.14633121233860738,0.38519381798954355,0.49376745922822085,0.41537098465842553,0.3429297700332485,-0.20329939580684914,-0.2149903505960206,0.5356486020812088,-0.10364756065418299,0.00523612771819438,0.05879809450672167,0.20000187235141106,0.3860227404819373,0.3629786448789628,0.39317924547825533,0.23379454077671455
Thal_MGN_R,0.026643829781496174,0.3580715887153684,0.2812729942755559,0.17799236014246914,0.36019791719815974,1.0,0.18100740308251187,0.3908309517539083,0.23103594930943505,-0.055472271628855006,0.5220865131703091,-0.018243231097832314,0.3149944780860979,0.24917988995934282,0.13825708820281568,0.2680786139632171,0.33275820916668786,0.42914881536869026,0.3904587590379685,0.17069922051288708,0.028306560048113126,0.3902401461616894,0.34515502729717584,0.28541492576455985,0.15127711338489724,0.09830385005548763,0.6695852831657858,0.26175458495029885,-0.18965535954102364,0.15103184874311404,0.39201208168145063,0.20163867576120365,0.017132916657277956,0.03355219713661141,0.2540115138825853,-0.01513130510152525,0.5235848861845657,-0.10427690158732691,-0.2643189698600872,-0.3223888221420612,0.3247210940027554,0.0654973011439949,0.07406440903973661,0.14287486264614438,0.39527288240217345,0.2722911367402578,0.45471637039820134,0.28028860476380646,0.550085653480395,0.2113954897729084,0.3883174914514832,-0.07782698423224153,-0.2998518963631641,0.5077002594711258,0.46792965603878717,0.3255270842543275,0.2369883122817434,0.5034495128969864,-0.1546699575971844,0.2570913161337706,0.47481066861473814,0.16166857986957256,0.5169347119633405,0.3753972569997278,0.47952908402479794,0.28087545282336146,0.40430797991315526,0.2038952733308746,0.5590275088598606,0.2957703969167546,0.20920498768122342,0.37512312706065104,0.2506558811745929,0.04795346551119558,-0.02804994411856809,0.43934406497079875,0.41977505011581145,0.434247055671016,0.3422247217402327,-0.07337440260429913,-0.12843689970069228,0.365950573492543,0.18193676503940817,0.09815348981131625,0.09303596156595366,0.2493057064234571,0.26071087204104865,0.28535662289882757,0.04755301711340459,0.3106576615857783
Parietal_Sup_R,-0.03319041897843347,0.5706105002478308,0.31732837013353066,0.1163122466215312,0.4976933174804065,0.18100740308251187,1.0,0.3260434382886136,0.42349999455959636,0.5221332673072034,0.2347172787507894,0.20060614961044973,-0.05846671754120076,0.3576339499452816,0.4717600434330814,0.1107797686783245,0.33551183204762297,0.5673858855005554,0.28167861257168364,0.3799066706723955,0.11253344632638188,0.37692385597129957,0.6417167759568185,0.035058161864346335,0.18263751679868426,0.38498732588366014,0.35764025406984,0.6533079704299005,0.5012328941600345,0.078770849020054,0.41984166373833226,0.4036672965926414,0.27140587232890184,0.037026680466011284,0.2745734191471113,0.29341199999787804,0.4658476473052481,0.4791124196449177,0.009430033108318666,0.46334316966695804,0.3698150452836761,-0.05063348545960362,-0.11865986384365469,0.39911029615585036,0.20468667187227021,-0.057971117941270175,0.43555057575900324,0.3748085244929618,0.34485631709234865,0.2468950759330653,0.10381812038908028,-0.06694861227622978,-0.04544665228851527,0.4950841385669189,0.6564270169212422,0.3380686489672724,0.5118057834109235,0.24307937466867996,-0.032879408630440074,0.37758408602268023,0.659146997471179,0.043477871964633985,0.671623419345193,0.12186537180310873,0.5419138218956988,0.5355541887055013,0.6543971948494417,0.1075608023028209,0.40125498331167087,0.35299887257386797,0.32839434061351147,0.22871626756514252,0.4958331750452655,0.5080859784412104,0.45429279380005005,0.2803504900021932,0.6702438466782648,0.3694537377867272,0.18163454221407432,-0.055881753154581014,-0.0812640086307055,0.6004581799857412,-0.046096816342103296,0.08062047191125056,0.022641616610759797,0.4782642211315309,0.30578332434191047,0.23781960058058363,0.24886149531521531,0.20470381358348327
SN_pr_R,0.05979492121865747,0.5254476201965155,0.3997196372673488,0.18574099148934958,0.36323546782489385,0.3908309517539083,0.3260434382886136,1.0,0.26560622970308134,0.3414306947404785,0.6390942898774407,0.04969307933298095,0.28859622040123006,0.3477552694125963,0.21685306087370654,0.11705289663523474,0.5656709989291724,0.6334742513488415,0.3895629881635998,0.33469017168352466,-0.129406374874293,0.49219358925308904,0.5741194251539589,0.141825347997744,0.31352651021551187,0.28349330371003817,0.567857282866808,0.2974070830462804,0.17214449831777853,0.18764714179625652,0.27563226089855075,0.27156239791788556,0.2940373379675412,-0.03433036486268555,0.433619793355685,0.14209091783173503,0.49745599507303156,0.10516315162589222,-0.07863880588241062,-0.07525445480176433,0.3403011671216493,0.1712079858888857,0.06261998407395816,0.29381025334817046,0.4154380733443593,0.15109707780571258,0.5025802186377116,0.38487488592504043,0.6062107121879441,0.2931510519881703,0.6733161498737636,-0.07816222722296808,-0.06726003192884775,0.5217926932376861,0.5258763768333489,0.29440461530017853,0.5409101160207374,0.6934808399326117,-0.05237275674539004,0.22642352663428983,0.5115947918930979,0.17661311391515958,0.5616820644640621,0.1547794190112695,0.6281237009706488,0.21157812689461877,0.5075991374699946,0.022996712951004222,0.6256827588255321,0.4377592597344859,0.4765741087517171,0.4735400897824146,0.5046267406051751,0.3941669364717233,-0.11652816010187335,0.2988979902989214,0.4037522388549182,0.43762171053252935,0.46022275731863654,0.02999981340009988,0.03844516142109907,0.5441546878289856,0.21869166825915254,0.2604042020033674,-0.1473524529623964,0.6118151014172063,0.26338992478459616,0.24051204413285412,0.26020137632559404,0.30994414940512693
Fusiform_R,0.6506016488648028,0.29807239954455006,0.853791493901664,0.853242946563497,0.1749812195795181,0.23103594930943505,0.42349999455959636,0.26560622970308134,1.0,0.4444744287351512,0.11489033584798186,0.8058107559208179,-0.142917794449866,0.8278212485954813,0.781232485792007,-0.34794393540253865,-0.01641237057855843,0.36034657573225987,-0.1709218357019109,0.5055605461029393,-0.6295034500498783,-0.25011500533744746,0.09053268571889383,-0.4824144620081528,0.3922243004838474,0.67298309695115,0.15495218983795817,0.7808855720817008,0.6383472586010918,0.6011664341079704,0.2707137654031993,0.9066467684600747,0.44926542702378097,-0.07080565008344931,-0.3280847100703076,0.8738102095001211,0.4303686782610184,0.7654835978098524,0.452046669676677,0.5334971903558364,-0.22629761435369916,0.32505918037262643,-0.16838073104178491,0.8924112103960943,-0.31092034511672106,-0.3671811557160624,0.4050389252677262,0.24726638513686347,0.4886283337112629,0.33120617449763917,0.3887658025679683,0.1568662504536626,0.5506162938186846,0.27132423739499795,0.20667922490420793,-0.3706490751810122,0.5328290607574578,0.4660964027908478,0.46596515138828687,0.4829424249657057,0.12118409083246998,0.5623984846267122,0.4855652140803469,-0.3730936777557933,0.147513632750702,0.19851077149766605,0.18823756037026718,-0.4886402089708388,0.3779721887630198,-0.1750090472547396,0.18623257274503585,-0.11366306271836707,0.5381452325775492,0.7070934311428796,0.10904802693024086,-0.353658419124376,0.5565665870215785,-0.09276360714201874,-0.09605513446001997,0.6925484489081688,0.5853134058566422,0.17573353134984251,0.7174491603550094,0.6498228545953189,-0.10870064799182126,0.6805164659886199,-0.3617775061538245,-0.38702584636309834,-0.41403505405741897,-0.05079244614374992
Cingulate_Post_R,0.3869010775161116,0.4898409647178468,0.4802716487768136,0.26729922278579543,0.20675670674918095,-0.055472271628855006,0.5221332673072034,0.3414306947404785,0.4444744287351512,1.0,0.2946930137407353,0.49538245295442707,-0.09627545299005277,0.522965965425621,0.4950646932591876,-0.1937120211703071,0.3768840621335943,0.6318762268908086,0.005106323716036531,0.6421226701206497,-0.21569122723628997,0.0709370817729686,0.3192268028793928,-0.2954605472484113,0.44718738786860823,0.6836479377283554,0.044338067004575946,0.4976625742473054,0.6820800208773646,0.3741035951069338,0.4433129812146814,0.5077392916186625,0.3407926297932715,-0.022332318560408067,0.04994728995631284,0.570950352258508,0.307719700039119,0.6354225659009751,0.4553412225505213,0.6562654507389559,0.17654406994978308,0.2903304664202049,-0.042164452910531384,0.5167304861453483,0.007968519496143226,-0.1708740540548831,0.3292295182045655,0.30367003866766756,0.4244868546393668,0.3652079792136494,0.3479320734992433,0.015677213789699926,0.38020339492804067,0.4647334863639266,0.2763682443828446,-0.09737816559802774,0.6849572267481285,0.3404471617447884,0.3324270395700404,0.37373747269204965,0.2465362111262767,0.4240263949378287,0.45512297445649075,-0.3456728349177594,0.49967758446350924,0.1833268066928097,0.3725291424096317,-0.16519578260354933,0.5086600233678565,0.3024595103074619,0.7242133176855093,0.10969343216361568,0.7355540185269962,0.6942024488666115,0.23832826301899723,-0.1561650687148242,0.2698433745792635,0.1822112485396475,0.05008270340838773,0.3353571210423934,0.41349277862164396,0.5366730703398429,0.2251018683466053,0.3812379176230518,-0.2054448321496755,0.6711045955876839,0.06002302378096777,0.019576246960957618,0.06525730201565459,-0.03260446862938993
