,ACC_sub_R,OFClat_L,Red_N_L,Thal_PuL_R,Supp_Motor_Area_R,Thal_PuA_L,ACC_sup_L,Vermis_4_5,Cerebellum_4_5_L,Lingual_R,Thal_PuM_L,Thal_VL_R,Vermis_7,Thal_LP_L,Paracentral_Lobule_R,Thal_Re_L,Cerebellum_6_R,Temporal_Pole_Sup_L,Temporal_Sup_R,Postcentral_R,ACC_pre_L,Paracentral_Lobule_L,Thal_MGN_R,Cerebellum_Crus2_L,OFCmed_R,Calcarine_R,Frontal_Inf_Orb_2_R,Cerebellum_6_L,Vermis_6,Frontal_Mid_2_L,Thal_IL_R,SN_pc_L,Vermis_1_2,Cingulate_Post_R,Frontal_Inf_Oper_R
ACC_sub_R,1.0,0.09997657891224439,-0.0962660813411439,-0.0012225780160690827,-0.10349511047740827,-0.06009337433439377,0.0015845981794129613,-0.07963356751797117,-0.06601472961722983,-0.062146975574588606,-0.03308243409207146,0.017085659739503576,-0.07624458726441832,0.054734234866537695,0.01848734827034515,-0.11732764541218674,0.013603645917157042,0.021093019250134123,0.036512580466407665,-0.08624293596107536,0.20474665816015647,-0.06738998520201989,0.07969605529421984,-0.06343420982393959,-0.06326973503940138,-0.106897648464637,0.1605013822032116,-0.04370863948722819,-0.0699177474539925,0.04784708207165063,0.1143670940271747,0.1157064296998881,0.12850771979348383,-0.15846402027709652,-0.027710643138603528
OFClat_L,0.09997657891224439,1.0,0.5435259766351421,0.4629357670163822,0.25828683378214307,-0.5432299014929602,0.5288181271667526,0.5684642873593794,0.18082745392684277,-0.7853991339481151,-0.6929473891050194,0.7026838528590817,-0.6579952758544195,0.5877445846448677,0.28155660700059226,-0.0784078340841568,-0.7788443824201311,0.11681341424630115,-0.17864772698867276,0.3109950154611774,0.7204908202847908,-0.08397736480623759,-0.6432785428292174,-0.5883889391387905,0.1279652541627567,-0.7048535374299032,0.6631293959556687,-0.7672085341184334,-0.5871759999629336,0.5384289440787938,0.12858266745296618,0.7138813643665449,0.3135905789804012,-0.2491812458722915,0.2495391067556484
Red_N_L,-0.0962660813411439,0.5435259766351421,1.0,0.4066874316741255,0.31072888047929537,-0.31834265214826324,0.5686403216678417,0.6281810376484568,0.3163130701900484,-0.5359020696763509,-0.5542798552989685,0.6733505362589391,-0.47955153457634003,0.5545585465263321,0.2413473594931524,0.1039016209482923,-0.5549839627144827,-0.1415663637296863,-0.23322677358061902,0.25656631470790264,0.5234927482834205,0.0011358153119796596,-0.43611786633499205,-0.46279707268549986,-0.1158525133241737,-0.5268871042486,0.3603452622784586,-0.5448589246018739,-0.49214107361703263,0.2808014639315491,0.33904190712373317,0.3222892627057151,0.24154976870768283,-0.03214139074271279,0.31425438864398747
Thal_PuL_R,-0.0012225780160690827,0.4629357670163822,0.4066874316741255,1.0,0.1600803418778393,-0.35575851452398355,0.5406098378792044,0.5009960640906823,0.5276970094900176,-0.39785488547052106,-0.4802219299642657,0.613327240040913,-0.3192340062647799,0.6490452105616045,-0.24804209612388595,-0.1657907780928817,-0.15132141161089524,-0.18501465099781994,0.3107698488090888,-0.274477010597895,0.548692580198367,-0.4318441532697251,-0.26553915503156256,-0.16885673790165634,0.01722954942291772,-0.5006428537217541,0.6690176120399797,-0.3466565667023851,-0.3675698044451394,0.278638092946653,0.17235756687025863,0.6122690793568493,0.5845674556516975,0.011117278600856928,0.6184344646481756
Supp_Motor_Area_R,-0.10349511047740827,0.25828683378214307,0.31072888047929537,0.1600803418778393,1.0,0.3006363524153883,0.30264928027825105,0.4885668791305901,0.4177018655328504,-0.015452569161279305,0.1477739724107478,0.3507327212987103,-0.06854369960099434,0.26681986561326376,0.3136105103917206,0.17586826441671077,-0.14552353572541527,0.15336462084449837,0.14246873962496961,0.36163441337739666,0.28968866037024077,0.35069893900226823,0.04785863399347101,-0.15643529373729423,-0.029803479869252608,0.129958343610196,0.09340362220260595,-0.008009300139731942,-0.013936264003223585,0.6628988897800452,0.40946330302683015,0.20770794155871042,0.2843185015679876,0.5903358184358559,0.29875438156376105
Thal_PuA_L,-0.06009337433439377,-0.5432299014929602,-0.31834265214826324,-0.35575851452398355,0.3006363524153883,1.0,-0.47214735996341867,-0.2892140089413593,0.07939370280776634,0.66997757625253,0.8809010085997234,-0.4892399298244823,0.6813545313645826,-0.4122297507155583,-0.2456372912948781,0.183643904259591,0.5818476891012111,0.43834490562947215,0.26991509017992965,-0.08783893392596658,-0.21285129145019369,0.14954293305278654,0.7321734639673683,0.5344873348689382,-0.1663009325328167,0.706863163542241,-0.5503426711946444,0.7121129883961818,0.6079213479569685,0.2210358622521005,0.2430186109867418,-0.4057753125173339,-0.04791083926505822,0.6014392084057275,-0.16556614844980963
ACC_sup_L,0.0015845981794129613,0.5288181271667526,0.5686403216678417,0.5406098378792044,0.30264928027825105,-0.47214735996341867,1.0,0.6951944943882875,0.49981676978907363,-0.3978192640986799,-0.5784626772819894,0.8322500608849871,-0.45126715558869973,0.8074929465031842,0.16320121702286064,-0.043045844206746696,-0.3616811003265406,-0.1773363530046361,-0.0278972934747241,0.06393498785385386,0.4443486106624014,-0.19410284260702415,-0.4179141385430487,-0.2455877140526789,0.1504240550847495,-0.5157572340989502,0.6041596598189074,-0.3691438968433986,-0.45019629033780134,0.08562994521866142,0.2167508198075516,0.563944496531558,0.48563124623567233,0.039581830429617396,0.6091379643713828
Vermis_4_5,-0.07963356751797117,0.5684642873593794,0.6281810376484568,0.5009960640906823,0.4885668791305901,-0.2892140089413593,0.6951944943882875,1.0,0.7717361173510661,-0.39615344904572886,-0.4239262567306501,0.7846504301932218,-0.4621699768352273,0.731789081585282,0.17670114302211662,-0.14299230573418964,-0.40289521045683574,-0.1766929467521313,0.17119802443101229,0.17883454152924202,0.4233205089483064,-0.05875546166958265,-0.34755499348582125,-0.42762831231744397,-0.009838576338940102,-0.39112156838098194,0.5661247800802788,-0.40051973497775367,-0.33754304172254024,0.38573542296023894,0.39961284952292525,0.606006660907023,0.5637849686534206,0.25350008439098043,0.5539230669605409
Cerebellum_4_5_L,-0.06601472961722983,0.18082745392684277,0.3163130701900484,0.5276970094900176,0.4177018655328504,0.07939370280776634,0.49981676978907363,0.7717361173510661,1.0,0.02540495249417131,-0.04908405968857357,0.5548688291638966,0.0009963900209642366,0.5494283162276297,-0.2560835253202313,-0.20634063108573822,0.16044006988168125,-0.03632463676654813,0.5596657742285628,-0.24486667799260736,0.25987527693187196,-0.3257735028519607,0.1125946322451135,0.06772337908782103,-0.08664423606568793,-0.09437095610755976,0.4513693978149984,0.08012214187251633,0.049733490358132376,0.2934002372012096,0.462729094178027,0.5149375435338296,0.7571377426334075,0.4205562290511546,0.655632585951213
Lingual_R,-0.062146975574588606,-0.7853991339481151,-0.5359020696763509,-0.39785488547052106,-0.015452569161279305,0.66997757625253,-0.3978192640986799,-0.39615344904572886,0.02540495249417131,1.0,0.7792346129289364,-0.5773702252014268,0.7271458661960847,-0.44595488293282387,-0.20624824700225464,0.14185455588182486,0.8397370323227592,0.23404227893079957,0.3330375414535854,-0.22788475150697113,-0.5686384856057722,0.1483447994476472,0.7662205669432506,0.7416978081680514,-0.10176360755146037,0.9098126692572311,-0.5500855547593324,0.9671230696035215,0.7563518498237292,-0.20407064601373956,0.017578558195914702,-0.5204966729707484,-0.1803114751383182,0.5167602783443206,-0.02226404501632481
