,Cerebellum_6_R,Occipital_Sup_R,Thal_MDm_R,Olfactory_R,Vermis_3,Postcentral_L,ACC_sub_R,Vermis_6,Red_N_L,Thal_PuM_L,SN_pc_R,Frontal_Sup_Medial_L,Frontal_Sup_2_L,Thal_LP_R,Thal_PuL_L,Vermis_7,Putamen_L,OFClat_R,Lingual_L,Cuneus_R,SN_pr_R,N_Acc_R,Caudate_R,ACC_sup_R,ParaHippocampal_R,Cerebellum_8_L,SN_pr_L,Occipital_Sup_L,Vermis_4_5,Cingulate_Mid_L,Precentral_L,Cerebellum_4_5_R,Parietal_Sup_L,Precuneus_L,ParaHippocampal_L,Frontal_Mid_2_R,OFCant_R,Angular_L,Thal_PuI_L,Cerebellum_6_L,Precentral_R,Temporal_Inf_L,Rolandic_Oper_R,Temporal_Sup_R,Occipital_Inf_L,Temporal_Pole_Sup_L,Cerebellum_10_R,Supp_Motor_Area_L,Occipital_Inf_R,Paracentral_Lobule_R,OFCpost_R,Temporal_Mid_L,Thal_AV_R,OFCant_L,Rectus_L,Hippocampus_L,Cerebellum_Crus2_R,Olfactory_L,ACC_sub_L,Cerebellum_10_L
Cerebellum_6_R,1.0,0.30292863901097145,-0.3958315998601363,-0.21300651109178262,0.6079523362777137,0.1628702085823883,0.013603645917157042,0.6797884031323768,-0.5549839627144827,0.662143763913419,0.4121614985500425,-0.09794397212847346,-0.2879755841115205,-0.042627514509495534,-0.19797749689735364,0.7736734518758975,-0.18932073949010095,0.14311171349136131,0.7454847265784034,0.3854004599017699,-0.43805139946577015,-0.08035785342214456,-0.19749434311225791,0.18873456076954795,-0.14021689095068351,0.7150715136134528,-0.2515793887902495,0.34794755120489895,-0.40289521045683574,0.006550704919415217,0.13167155807834682,0.3304787726113021,-0.13491862418844944,-0.08628190779370128,-0.36338049154190966,-0.36278854257604776,-0.3666642617857657,0.14952935126538888,0.13366139129019894,0.865885399996636,-0.6195497181691441,-0.16986721702432073,0.006422907830629156,0.5917100078772988,0.571132280937979,0.017427571980553638,0.8753119284544222,-0.08090190954943516,0.8762025070904015,-0.5794665206811088,-0.18605426651178128,0.13430094679368473,-0.16179989405648676,-0.607938727350267,0.18601595382631203,-0.002951502205657638,0.8428878200852314,0.07183496780306338,-0.2703741718411436,0.3093075428859644
Occipital_Sup_R,0.30292863901097145,1.0,-0.460951138020613,-0.5601684627257553,0.7026991929736639,0.7206771600007151,-0.1028565525059109,0.45088841932967005,-0.4671454465830295,0.7963542404659802,0.5659740018325083,0.15163893573728462,0.26988452898978776,-0.2791220036838831,-0.548016862329307,0.3548119599377626,-0.1678949228886689,-0.0923051258430266,0.5650723932521703,0.9739435261447354,-0.28322095898925803,-0.38649415058753994,-0.3850254091120108,0.02100552880867946,-0.3140567395510265,0.5075997961934624,-0.1266504262688841,0.9470471119811563,-0.4101959855007492,-0.19512807174375565,0.630212881267355,-0.17879458855560149,0.7929532290729999,0.7810757391836868,-0.24550408392111725,-0.6571710412532913,-0.13999293003786484,0.9013046687171775,-0.1224369132597553,0.5305650937260705,0.2072968695914072,0.144790736620233,-0.22209162579166672,0.014965181578800557,0.7497520513360777,0.25251587166805206,0.47602866889183837,0.21380065342993382,0.46351868343357333,0.2822679553659989,-0.4428694556154744,0.6042021016704702,-0.5572421105231403,-0.4159563216186098,0.05427915851344998,0.05963778631068111,0.33899511484142414,-0.2798703568587284,-0.33799411006078545,-0.24204960164540343
Thal_MDm_R,-0.3958315998601363,-0.460951138020613,1.0,0.6821225626268372,-0.5758436124018252,-0.10157573044208566,0.03652715177802241,-0.46428828191425786,0.584968070574543,-0.49016663250561865,-0.3215233583533585,0.18263067032110758,0.29751501672863157,0.5809123782588959,0.5462643274187378,-0.45790988847812064,0.6113862636682195,-0.01857245081032034,-0.3838914827080439,-0.4442749217005411,0.6908755966305924,0.6430681740653623,0.5761340602951468,0.1386189525740514,0.8237548812521768,-0.5015855372621071,0.46230634160195266,-0.4477510106569666,0.8065367800446526,0.4935520165702578,0.08215957473125864,0.443142349530941,-0.2621159567492113,-0.1434042330267732,0.7551226277362746,0.6959300013575236,0.2692981590153237,-0.4872073815903213,0.5804359381740695,-0.457047997060568,0.19959129068160283,0.10939238540270108,0.6748436380001592,0.1789266699765687,-0.6506220575970821,-0.19543156818006452,-0.6145517982409899,0.5004677706376762,-0.5845931459775175,0.21433494360705993,0.6370062437608868,-0.18312729836195565,0.5176970466322275,0.6369819381733004,-0.09725126931127986,0.49483835109773067,-0.5817282010354966,0.39949948476642244,0.5595282803735852,0.5138742234982022
Olfactory_R,-0.21300651109178262,-0.5601684627257553,0.6821225626268372,1.0,-0.6295688050651765,-0.3147999819370866,0.16188565872394092,-0.403227776755776,0.2188196028057497,-0.524645765960451,-0.5363515389512445,0.07505988592030455,0.01984122273867409,0.4464564541875642,0.47577125100307305,-0.3798826517829924,0.4940240086173587,0.20276572504771312,-0.29545475377563746,-0.5401155666374965,0.4655865648613003,0.8693544909557287,0.7109511640108858,0.11158507502228616,0.532236621586507,-0.410107041039556,0.1515928484724784,-0.5055496917650686,0.5068415346694519,0.1554254298934704,-0.2702049959131307,0.32850102035439455,-0.4193796235833019,-0.3533709476179156,0.47336310777278173,0.4586765269646544,0.27464227444399086,-0.605926290361065,0.36163178872185814,-0.3630793996743526,-0.18270620053708395,-0.07571665950584965,0.515026655135621,0.29140355045858335,-0.6115450744396687,-0.030335816907633362,-0.43331187326100656,0.04419437012120431,-0.3837777920303799,-0.0771087539519983,0.736580423234301,-0.3299582272758241,0.46640349419475335,0.6561704244291039,-0.044717901932562754,0.05319834981343167,-0.42589817035112776,0.747751825853052,0.6447594950067291,0.44439864111500227
Vermis_3,0.6079523362777137,0.7026991929736639,-0.5758436124018252,-0.6295688050651765,1.0,0.3632301188348278,-0.1399447198595063,0.7947023804685884,-0.4895265578179753,0.8218816054479099,0.716333333900617,-0.006441797549191954,-0.020170896663526228,-0.28708898184158893,-0.5024029941121926,0.7484096033899348,-0.20990414745879954,-0.01111610771991323,0.7815013827539391,0.7382979031064024,-0.41308791669183553,-0.46404886538610446,-0.448759730080338,0.040455427818034004,-0.42962070019689585,0.7731452801135889,-0.11846414001651417,0.6652520493099563,-0.42376160093287996,-0.08622034061636558,0.3513316718295632,0.057682126625042844,0.311526352188318,0.3472869894197272,-0.3650176811888622,-0.4933803174775168,-0.3660948312569595,0.6253788268912582,-0.05148737222911524,0.8074456626527838,0.017948463179827033,0.24927006637361085,-0.21884578896030935,0.10349370429345126,0.8959562583361411,0.3533988608107364,0.7344302939512103,0.052280949720848596,0.7137223349629791,-0.12541670583755515,-0.6281609833918734,0.6329095734965584,-0.5690449583946254,-0.6022912469239398,0.2091989253043975,0.15863730850002009,0.7173377643433556,-0.19544257250409502,-0.3980326688605704,-0.17050136754730705
Postcentral_L,0.1628702085823883,0.7206771600007151,-0.10157573044208566,-0.3147999819370866,0.3632301188348278,1.0,-0.023681408796846746,0.04922197723012315,-0.22920566283219598,0.4899263633601166,0.356395243473964,0.09889599828515623,0.2973538214823815,-0.11455380484429206,-0.4212963848540298,-0.08553069164315807,0.04889442807556276,0.0400579416602993,0.3239006991816436,0.7418017989985908,-0.19993791020720064,-0.22452800849884152,-0.2252021703128675,-0.06959935070574017,-0.0033075845677466315,0.028899574188523038,-0.045601615959947744,0.7878983795460399,-0.09821498486640377,0.004842756871100023,0.8765612950388719,-0.13057884515918286,0.8328025926149634,0.8470759740037839,-0.12695290706860438,-0.4278979728826887,-0.034396816476382486,0.7983137870091576,-0.008329051168961963,0.30123574570081296,0.15243426028586213,-0.25773090835070717,-0.01409239486854675,0.03570439351662286,0.3276180147633516,-0.10587540173837459,0.2942542215104048,0.4094717572692965,0.35643212696294524,0.5815308157584731,-0.13806966181303953,0.26938694009690956,-0.20488021918854132,-0.28145169632744854,-0.0334422714483056,0.12334574650410497,0.14691401420046343,-0.09613257530926765,-0.23389096389458128,0.029653719162132587
ACC_sub_R,0.013603645917157042,-0.1028565525059109,0.03652715177802241,0.16188565872394092,-0.1399447198595063,-0.023681408796846746,1.0,-0.0699177474539925,-0.0962660813411439,-0.03308243409207146,-0.2278917641256486,0.10384493528086257,-0.0004263114289943557,0.01577737785479259,0.019362571571290847,-0.07624458726441832,-0.06777597961189658,0.028707769974189588,-0.07856617725368326,-0.09550741922345603,-0.14851332398639638,0.18390090691842081,0.09371112608118508,0.07529176317939407,0.012140273952214902,-0.10219743549851731,-0.27684581949585474,-0.06982180876330178,-0.07963356751797117,-0.058558961987430304,-0.05380394662196675,-0.12132474240522387,-0.029763119602171543,-0.0520726745091307,-0.03375064219006241,-0.029921030134964433,0.0621249525723912,-0.09442786197450535,0.020221168083621857,-0.04370863948722819,-0.14239664768525626,-0.13287496669719956,-0.05522081147929598,0.036512580466407665,-0.09286227189453693,0.021093019250134123,0.030630894517827235,-0.05508486503042517,0.01238584824201578,0.01848734827034515,0.17715788100564467,-0.15373299681213812,0.030850357249575775,0.12958203014958816,-0.141374484777129,-0.15958348705088637,-0.019313315840728547,0.14385275555169183,0.3874520255540174,0.07425250473389504
Vermis_6,0.6797884031323768,0.45088841932967005,-0.46428828191425786,-0.403227776755776,0.7947023804685884,0.04922197723012315,-0.0699177474539925,1.0,-0.49214107361703263,0.6199807021951018,0.4396336452918868,-0.00893148814406481,-0.16914978988569215,-0.16678559455456418,-0.16390960801179474,0.8897438072830669,-0.13746817986717888,-0.06003340773348688,0.7102740556288829,0.5328790931867755,-0.30153751705966925,-0.30854252262901083,-0.25412824881477786,0.11581847423392613,-0.43235460211132054,0.8250273390033048,-0.20210408186380138,0.3855859446242735,-0.33754304172254024,0.010194636700869572,0.10752811973879052,0.2879041478560749,-0.08758858849060196,0.09297536758303275,-0.2567099184151847,-0.24801724728368046,-0.3967116040959305,0.3005870439047477,-0.07883874520216215,0.7892265074863161,-0.10738609271630614,0.41619895157901027,-0.012399813654867543,0.23936013851518628,0.7763069995800678,0.33019212474525256,0.7542331495949881,-0.021004133574163815,0.6513894884319067,-0.36445413049580044,-0.5490482866450579,0.6206619737802269,-0.3271955008517693,-0.4397415041579035,0.23895174809950903,0.044673765849293834,0.7440350359601555,-0.004815750947270368,-0.2201089401232599,-0.034999610020742054
Red_N_L,-0.5549839627144827,-0.4671454465830295,0.584968070574543,0.2188196028057497,-0.4895265578179753,-0.22920566283219598,-0.0962660813411439,-0.49214107361703263,1.0,-0.5542798552989685,-0.23665683553518502,0.12834231922890363,0.2731533338988223,0.2274708766209008,0.3090572091679961,-0.47955153457634003,0.3827065042664697,-0.14772638122459347,-0.4496235462738856,-0.4626917339706207,0.43480784434131436,0.08692457813764964,0.2780160953304067,0.04325254396204827,0.48952948810550667,-0.5396534845703755,0.4721954652865577,-0.4217663086676682,0.6281810376484568,0.2942613516879415,-0.047662614990983204,0.21517518420000536,-0.192265363250233,-0.137716337920529,0.5113614094433392,0.5430750200356723,0.21264342675284462,-0.37265510751318726,0.20139100380453087,-0.5448589246018739,0.32606857358153246,0.15862036791483947,0.22149069434474228,-0.23322677358061902,-0.5567504407544772,-0.1415663637296863,-0.5913891743044465,0.3460120355386547,-0.6120044933725128,0.2413473594931524,0.24906317407226364,-0.17215915878990187,0.4443981648680653,0.41473417078593544,0.017733213999026335,0.4335908886127517,-0.5513869863465366,-0.10436686574147361,0.10526595567344493,0.1246383297062193
Thal_PuM_L,0.662143763913419,0.7963542404659802,-0.49016663250561865,-0.524645765960451,0.8218816054479099,0.4899263633601166,-0.03308243409207146,0.6199807021951018,-0.5542798552989685,1.0,0.6696869996041521,0.13455744044203188,0.16694700078182526,-0.19842243558027725,-0.41340217777141813,0.6317187983774472,-0.163989422135129,0.039720005642696087,0.7770294755768304,0.7957867002442188,-0.3560758062595648,-0.3017149937588117,-0.3459897870944003,0.24010384557912917,-0.2710915291357294,0.7263016160666265,-0.14623518138395547,0.7757375260717689,-0.4239262567306501,-0.08585600284641687,0.4745959194032374,0.09527558218975049,0.428682341664454,0.40965929468210205,-0.3299556504493511,-0.5921331739865148,-0.30691016872493526,0.6464865629002309,0.11692915804994394,0.7912861830051072,-0.11267893604475662,0.11279032622335289,-0.12229620268896842,0.31690887758222613,0.8061534350628485,0.29693823374828393,0.6958915419031924,0.13596738729277258,0.674763496493512,-0.14655698907507073,-0.4260254866461045,0.5432478166558468,-0.534769410890187,-0.6107616907020147,0.14903122813181016,0.19601624006144774,0.5914112612652406,-0.24430291100179982,-0.3359972254231735,0.03628986984874596
