,Paracentral_Lobule_L,Amygdala_L,Frontal_Mid_2_L,OFCant_R,Caudate_L,ACC_sub_L,Thal_PuA_R,Angular_R,Precuneus_R,SN_pr_L,Occipital_Sup_L,Caudate_R,Supp_Motor_Area_R,Frontal_Sup_2_R,Cerebellum_7b_R,Temporal_Pole_Mid_L,Thal_VA_R,Occipital_Mid_R,Parietal_Inf_L,Temporal_Inf_R,Thal_VPL_R,ACC_pre_L,Cerebellum_Crus2_R,SupraMarginal_R,Vermis_4_5,Cerebellum_3_R,Thal_PuL_R,Parietal_Sup_L,Precentral_R,OFClat_L,OFCpost_R,Thal_AV_L,Occipital_Inf_L,Cerebellum_4_5_R,Thal_MGN_R,Postcentral_L,Cerebellum_Crus1_L,Lingual_R,Thal_PuA_L,Frontal_Sup_Medial_R,ParaHippocampal_R,Cerebellum_6_L,Putamen_L,Vermis_3,ACC_sub_R,Temporal_Pole_Sup_L,Thal_MGN_L,VTA_R,Thal_LP_L,Frontal_Med_Orb_L,Hippocampus_L,Postcentral_R,Thal_VA_L,Cerebellum_8_R,Hippocampus_R,Cerebellum_3_L,Cingulate_Post_R,OFCmed_R,Fusiform_L,Vermis_8,ACC_sup_L,Cerebellum_6_R,Thal_VL_L,Cerebellum_10_R,VTA_L,Temporal_Pole_Sup_R,N_Acc_R,Vermis_10,Thal_PuM_L,Cerebellum_7b_L
Paracentral_Lobule_L,1.0,-0.0877945779352865,0.07549999398336626,0.0478814078890661,-0.14282793712362638,-0.22254016959930348,0.0059368069240285,0.7691457735514661,0.8941753043380618,0.11985029252624621,0.6935923752519134,-0.23415310043016796,0.35069893900226823,0.2757019482826893,0.06621930478614557,0.020470289972600753,-0.41876867255145483,0.588498361444826,0.8454653026409575,-0.023640084212815344,0.31026679268828455,-0.19389622059219802,-0.11119051262459272,0.6612805272545182,-0.05875546166958265,0.2777457233464191,-0.4318441532697251,0.9014529337763364,0.5473694131134605,-0.08397736480623759,-0.24131934599242372,0.16349425062742315,0.2685379701535896,-0.3428106009963016,-0.0133408154564965,0.841407784347772,-0.126323126157888,0.1483447994476472,0.14954293305278654,0.22512375653229946,-0.0772747927865172,0.028316616967714727,0.12917767976386466,0.22893480597248497,-0.06738998520201989,-0.0282185460085701,-0.03931398642150526,-0.29781591944366287,-0.2045806681065114,0.08408451156803733,0.06431872943558595,0.729741766098026,0.0060415901677808425,-0.02253281480862375,-0.32203114112605113,0.2935612043236098,0.28206249916961207,-0.10388212672911865,-0.203766465836283,-0.32194833504804,-0.19410284260702415,-0.2358547349214689,-0.33633737947057346,0.01774847071021601,0.16220451302371883,-0.2911415226927607,-0.347068507869455,0.021979982697847872,0.2712452022121152,0.06268615273193992
Amygdala_L,-0.0877945779352865,1.0,0.45582743365486794,0.3354938455874571,0.5323329121218326,0.5288834458230327,0.613112720920521,-0.318369579478184,0.007733100976364808,0.41376854376041916,-0.48028266250906465,0.4302793926914779,0.37823052267768165,0.5145452529543713,-0.614864437477274,-0.39770272635541337,0.6405089567624603,-0.6013084928936692,-0.33963615748790293,-0.6590497256682827,0.23960397231122327,0.6459808838801837,-0.7150490219845108,-0.07924164176005019,0.6685874463065337,-0.500471938482786,0.43243010650318836,-0.24212610057956607,0.4215219167139077,0.8359913843054543,0.48326063602821406,0.2616956850912718,-0.5958487594115862,0.22366628126458876,-0.49208847705624936,-0.34658833945286305,-0.4611192177288708,-0.6950462795378304,-0.37821356907595594,0.1869157557667277,0.5669683889670836,-0.6427150666845515,0.4611586658236056,-0.613924730811192,0.042457264018784906,0.03996823990242856,0.4663215339898807,0.7043815744842821,0.6465473479865235,0.3895777644622753,0.3526879698978823,0.33493877136497713,0.3919488868733484,-0.791731147236998,0.5698860020117728,-0.6751697525739238,-0.10564645784963987,0.05037737439287106,0.04562588667606536,-0.5161466739988537,0.6121736578995192,-0.6757816101606761,0.8276278669807823,-0.7576613215259087,0.2189785187053052,-0.4141412817896007,0.4615464210619969,-0.544866243962547,-0.595656367431685,-0.596758056446159
Frontal_Mid_2_L,0.07549999398336626,0.45582743365486794,1.0,0.1628813561451361,0.5831225966909234,0.18408377492961336,0.298831485496881,0.15528555632926802,0.38028009583627764,0.23513031144374313,0.05905038499500269,0.19417182683998097,0.6628988897800452,0.7377553686295604,-0.21494752136087272,0.04587523027814164,0.2707654520540685,-0.014172509849012213,-0.04962408707359917,-0.2748324779590707,0.09721860518808163,0.5668626346362104,-0.3329582958531818,0.2437583572841933,0.38573542296023894,-0.134225954242132,0.278638092946653,0.045267756707588785,0.25712745812172844,0.5384289440787938,0.28400185050868837,0.06077115155941918,-0.09846628890392517,0.28663847223368516,-0.03638977608902572,0.011545165231780374,-0.11057319142770888,-0.20407064601373956,0.2210358622521005,0.7081113249779869,0.32208262901490425,-0.18383515187151175,0.1027431289596648,-0.04763894336378929,0.04784708207165063,0.38484049884153376,0.1343411594178962,0.3410385709397862,0.23158837928998868,0.21649694088893184,0.446036801332454,0.2582152333040012,0.5012759313368794,-0.33495412324002277,0.3432358427361771,-0.1786571062238119,0.360050708660858,-0.004811790230056931,0.27852058157976695,-0.2023652076074769,0.08562994521866142,-0.26939374071241756,0.5078500808539707,-0.2657934064016939,0.2029043456988243,0.0029171850526002723,0.2978720876713696,-0.10788410113695615,0.029374713114301666,-0.2380551488981095
OFCant_R,0.0478814078890661,0.3354938455874571,0.1628813561451361,1.0,0.19443184462498023,0.18972252651488988,0.20325814151504346,-0.10403740789361218,0.07539745797154929,0.01076608832936504,-0.11740724045696883,0.20836082341119622,0.1714800533508271,0.18678441970337206,-0.28181691250722074,-0.03417741959656112,0.263044844052014,-0.21976401332247386,-0.016665415078412914,-0.32885096621978605,0.07424900821788469,0.3902804674168798,-0.3568206710694102,-0.09677210583463833,0.22722847636242532,-0.26035981770143357,0.16229748224720325,0.031070354227148534,0.09530596219034472,0.41171741054866534,0.3786904134353401,0.12280528039094415,-0.29019226909039625,-0.07824548796791894,-0.29037513949976707,-0.034396816476382486,-0.3081159457343166,-0.35169349933355454,-0.2473699425325948,0.25318577354186894,0.21444154810083219,-0.34049018658602553,0.08091590559536561,-0.3660948312569595,0.0621249525723912,0.06446941618672447,0.17831962535146362,0.30567991800305494,0.18687371575353243,0.12489688722031814,0.008296285318234339,0.14944947778818748,0.16403225501850432,-0.3917089522644896,0.22299729050886888,-0.34256276474825414,-0.10120046182447956,0.13689463208919062,-0.15250536974606926,-0.35024647808369613,0.23053441019115067,-0.3666642617857657,0.28779496737865445,-0.36922838307416916,0.021869588191290115,-0.26425166342631407,0.2533836122671275,-0.33469606150553005,-0.30691016872493526,-0.26800058346426925
Caudate_L,-0.14282793712362638,0.5323329121218326,0.5831225966909234,0.19443184462498023,1.0,0.379719097556908,0.5423927661765923,-0.20329001926645324,0.050513051846560846,0.4045886538153924,-0.18852717220025078,0.6796956229901434,0.5650226982480367,0.5163194256290765,-0.39345425443442306,-0.03306505212172094,0.4158861193514334,-0.29706127874798355,-0.2323189993702371,-0.2407128226637985,0.47885515356656555,0.5069279182186236,-0.3987295270148269,-0.09236323339808855,0.5928268268549367,-0.11537059685142227,0.3327160659900616,-0.1937570145420857,0.10543604744079076,0.48262954732683055,0.35276137756533704,0.15174186686029384,-0.2614456186907397,0.5365013717056047,-0.10417771436143831,-0.14879311214247415,-0.15073933165881212,-0.21594912373983965,0.13333585159785954,0.4657305878071902,0.49028019773461956,-0.18039430878338164,0.5503804812356462,-0.21195174271756845,0.03056139862157682,0.3500943557210317,0.3780391562222186,0.43641574473134237,0.4036784521248456,0.22629438279127168,0.5618209380741226,0.022650743152719227,0.49967776521934526,-0.3895547497766915,0.5668348085083321,-0.2386272994016247,0.29788227013924995,-0.15093811765599557,0.34141044675758025,-0.16372741034495167,0.4130273259933261,-0.1998673156584198,0.6380042348367543,-0.34688573406247963,0.32317550109500476,-0.032944939016189466,0.49576059008773093,-0.1154852698808724,-0.10294610575094214,-0.2792697644397758
ACC_sub_L,-0.22254016959930348,0.5288834458230327,0.18408377492961336,0.18972252651488988,0.379719097556908,1.0,0.2921117275481965,-0.33707638180322924,-0.18564356265232565,0.012392127249958728,-0.37399427176015837,0.5160037102062281,0.10386069765386598,0.1808573345533875,-0.4744495737280902,-0.3182512913581928,0.5172239917575808,-0.41310024238507986,-0.3063609656336237,-0.32726672054269657,0.290932153218279,0.36428014638459083,-0.37738992047188535,-0.16658422175976878,0.39656340171542515,-0.29484444134372334,0.23495545300522144,-0.2322639612650101,0.0809392215121335,0.5571841079675365,0.4699163195896297,-0.022599879115373575,-0.4384848691688881,0.1549345575224345,-0.19355360284392345,-0.23389096389458128,-0.29371889450358696,-0.3971341857621017,-0.344676193904949,0.03109359907439924,0.3783689328910734,-0.3463045075214289,0.34922303316777864,-0.3980326688605704,0.3874520255540174,0.0050968736643684145,0.42980376817580646,0.55932352165434,0.36109146918747004,0.13410140011563917,0.0769970254581896,0.010973021891762516,0.30566640181743227,-0.45467620678409826,0.43432007645634085,-0.5326993104591758,-0.1766641340019235,0.12002004393866983,-0.043321209735347636,-0.20428667513499868,0.36199550627688326,-0.2703741718411436,0.4964726769581265,-0.42941171783073095,0.08896670774160213,-0.034628460620869064,0.6681213322532905,-0.28179046191857493,-0.3359972254231735,-0.48422534564967085
Thal_PuA_R,0.0059368069240285,0.613112720920521,0.298831485496881,0.20325814151504346,0.5423927661765923,0.2921117275481965,1.0,-0.3614168565654869,-0.00945068344430175,0.5158708559769368,-0.3389683287229231,0.48704721467869233,0.4293672871472656,0.40481113726760665,-0.33381996528083746,-0.4340804502744318,0.6257521169442561,-0.5038154742993001,-0.029891637748921195,-0.22325988877364228,0.44828658044184755,0.5395500237801069,-0.4871354684323682,-0.17759864848349025,0.7003502629603524,-0.12741131707525485,0.46216167656227125,-0.1825937842795136,0.1729205009842157,0.5098633072616464,0.5397362256735958,0.18705432135904165,-0.5490715981506353,0.38867011863538475,-0.27866571193637507,-0.03809671189366434,-0.46169364424309894,-0.35664705711590045,-0.2494176773808035,0.12045354280120324,0.7327145674623545,-0.36127424419452536,0.594486166102458,-0.4780755132595091,-0.07598465606794695,-0.18265778240120378,0.6351525476638933,0.5578300435111011,0.5635412382080224,-0.006668434506694433,0.5210838615040239,0.11390832392721269,0.257749676225099,-0.4959045006622847,0.693715908521787,-0.3860459047572193,0.11553879041876072,-0.2331577698670787,-0.04123498646145369,-0.45715914236203303,0.6834713363757481,-0.31602235276494345,0.6742834355980089,-0.4862240986329011,0.35952488871164345,-0.0998161531239146,0.5271652819117851,-0.36386062791530677,-0.38087508632446976,-0.4504626005724763
Angular_R,0.7691457735514661,-0.318369579478184,0.15528555632926802,-0.10403740789361218,-0.20329001926645324,-0.33707638180322924,-0.3614168565654869,1.0,0.8374277621444358,-0.06573662691110274,0.8671597637863365,-0.407719693392939,0.21543680384491753,0.21985653874921204,0.18973547281908137,0.3993283113416899,-0.7139525709490631,0.8869593719167431,0.6036544569180262,0.11899064075886359,0.11144886388996036,-0.38455414994768305,0.16874161578930708,0.8688445484865918,-0.3389526617410104,0.3801929797956116,-0.5954549204346467,0.8667094382295015,0.4863940525339763,-0.3081201867790109,-0.49530895185951906,0.0181033218946579,0.6452202794325026,-0.33624357569730995,0.24060561289794624,0.6720854199013525,0.27690531724458384,0.3817121571739275,0.4880586309901093,0.292930386509507,-0.386812845485023,0.32095321461414755,-0.15493988963539107,0.6061169778769826,-0.12203245082219973,0.27860705354875603,-0.3944309611102627,-0.50849474515189,-0.5283435391660819,0.23434788433921222,0.030126435577407875,0.622527001856984,0.07254624972306604,0.24615139573616623,-0.5751092984601993,0.5396462083691731,0.42559616876328893,0.029015306119511232,0.11752963576657509,0.05354379222149295,-0.56585619386463,0.008097798297548206,-0.5813722943882047,0.28183341759643127,0.08696833385602427,-0.1836065162859552,-0.499063888529715,0.32485319807796537,0.6340011465436698,0.35153184042824526
Precuneus_R,0.8941753043380618,0.007733100976364808,0.38028009583627764,0.07539745797154929,0.050513051846560846,-0.18564356265232565,-0.00945068344430175,0.8374277621444358,1.0,0.12347782890077706,0.7026650319431148,-0.187697340639524,0.5291600683472495,0.4700786842454954,-0.07253538759967335,0.11357406106040545,-0.3662511419008885,0.6055958205229535,0.7213849089131726,-0.12422557137592129,0.2602486770958583,-0.0552818170192953,-0.20223465206573077,0.7646682881032186,0.03360721867789066,0.19317851478424153,-0.34238367895719196,0.8743450034795917,0.5821658003119384,0.047367856065245025,-0.21198524509034988,0.19186227403905626,0.2725073821923378,-0.22059528137555084,-0.00815353754779387,0.7642863015073917,-0.10338622008477842,0.07729103847637521,0.27754416168739665,0.4883423890009005,-0.035854731763705114,-0.01152043532522517,0.06055683427102675,0.27103658475634995,-0.10001250124036037,0.13678902936628884,-0.1349028727256771,-0.16709289773734637,-0.19157764868524013,0.24786481237711733,0.22456381340305392,0.7478552326400876,0.2205584409668893,-0.12779393058175606,-0.22282970360754237,0.24733410020792984,0.4145751940869929,-0.04119242122857072,-0.022899668837233236,-0.3188569968867703,-0.22986194504730972,-0.29769090638562695,-0.1962378862740411,-0.07789266769058406,0.1504561942977144,-0.2824491235979071,-0.3047113729805556,-0.015784751836810468,0.34434752794232876,-0.004259234115726831
SN_pr_L,0.11985029252624621,0.41376854376041916,0.23513031144374313,0.01076608832936504,0.4045886538153924,0.012392127249958728,0.5158708559769368,-0.06573662691110274,0.12347782890077706,1.0,-0.1326459312544229,0.23759384803786682,0.33321691792989083,0.264608756168085,-0.17257238448607926,-0.2561537311657888,0.13934337516217327,-0.18661770608525818,-0.01454909911334048,-0.20330408904810313,0.3158368049569916,0.22249809169516133,-0.3317035541756193,0.028027533278140504,0.3827721586254029,-0.036071354948717806,0.08247399846253244,-0.016311607150442775,0.22534742034420266,0.25538937907381026,0.15046380168650877,0.07762842918356387,-0.19763474653243818,0.2767996654808103,-0.13873267564369793,-0.045601615959947744,-0.20045021912734462,-0.2074088172929959,0.029223468179278008,0.09812743120778389,0.4813909402008722,-0.24496747012184777,0.4224603938789722,-0.11846414001651417,-0.27684581949585474,-0.04511636541963386,0.18685278771167985,0.26355598121012175,0.23114918583795815,0.16174409380339694,0.509365962018901,0.15997494012936841,0.22455071815449462,-0.3235858332104846,0.2759406160483054,-0.18266521649591963,0.06662353876961709,-0.25528052639423005,0.14420464725124912,-0.2473207512378116,0.22371643221507406,-0.2515793887902495,0.32815620365764386,-0.3387568609368368,0.4246801167944595,-0.22073407709109086,0.21098380464725464,-0.11007928212447862,-0.14623518138395547,-0.3051649928155428
