,Vermis_9,Parietal_Inf_R,Thal_PuA_L,Frontal_Sup_Medial_L,Thal_PuM_R,Angular_L,Frontal_Med_Orb_R,Cerebellum_6_R,VTA_L,Cerebellum_9_L,Vermis_7,Temporal_Mid_R,Calcarine_L,ACC_pre_L,ACC_sup_R,Heschl_L,Temporal_Inf_L,Rectus_R,Cerebellum_Crus2_L,OFClat_R,Cerebellum_3_R,Thal_MGN_R,Supp_Motor_Area_R,Temporal_Pole_Mid_L,Frontal_Med_Orb_L,Thal_PuI_L,Calcarine_R,Thal_IL_R,Frontal_Inf_Orb_2_L,Occipital_Sup_R,Cerebellum_6_L,Red_N_R,Thal_Re_L,Temporal_Pole_Sup_R,Frontal_Mid_2_R,Thal_VL_R,Precuneus_R,Rolandic_Oper_R,Amygdala_R,Postcentral_R,Thal_PuM_L,Occipital_Mid_R,Thal_VPL_R,Cerebellum_3_L,Thal_MDm_R,Thal_MDl_R,SN_pc_L,ACC_pre_R,Occipital_Sup_L,Red_N_L,Vermis_4_5,Parietal_Inf_L,Vermis_1_2,Insula_R,Lingual_R,Temporal_Pole_Mid_R,Fusiform_R,VTA_R,Temporal_Sup_L,Temporal_Mid_L,Cerebellum_7b_R,OFCmed_L,Frontal_Mid_2_L,Thal_PuA_R,Cerebellum_4_5_R,Cerebellum_4_5_L,Thal_VPL_L,Cerebellum_10_R,Postcentral_L,Thal_VL_L,OFCant_R,Cerebellum_9_R,Olfactory_L,Frontal_Sup_2_R,SupraMarginal_L,Vermis_8,Hippocampus_L,Thal_PuL_R,Cerebellum_Crus1_L,Cerebellum_8_L,Putamen_R,Heschl_R,Thal_LP_R,Vermis_10,OFCant_L,Thal_PuI_R,Cerebellum_8_R,Vermis_3,Olfactory_R,Temporal_Sup_R,Thal_AV_L,Raphe_D,Thal_LGN_L,Thal_PuL_L,SN_pr_L,Cerebellum_Crus1_R,ACC_sup_L,Occipital_Mid_L,Thal_VA_L,Cuneus_L,Precentral_L,OFClat_L,Caudate_R,Cerebellum_Crus2_R,Frontal_Inf_Oper_R,Putamen_L,N_Acc_R,Caudate_L,Parietal_Sup_L,ACC_sub_R,Fusiform_L,Vermis_6,SN_pc_R,Occipital_Inf_R,ACC_sub_L,Paracentral_Lobule_R,Precentral_R,Pallidum_R,Frontal_Sup_2_L,Amygdala_L,Thal_MDm_L,Parietal_Sup_R,Pallidum_L,OFCpost_L,Cingulate_Mid_R,Thal_AV_R,OFCpost_R,Thal_LGN_R,Cuneus_R,Angular_R
Vermis_9,1.0,0.3253348286619424,0.036796657899285684,0.36307786079483606,0.42543096284234333,0.5427191224059681,0.09915475243599588,0.7486965633816884,-0.1020514546332648,0.5664858907988992,0.42938207368752074,0.6660859925114401,0.7984616133196836,0.2119960334101779,0.2662543462208109,0.43423802962946895,0.4407756516771167,-0.13388398711655114,0.4338847139439738,-0.04926239157610868,0.2756261517010037,-0.12892678247868505,0.3142696014495387,0.24907085771214404,-0.03336785249928406,0.36563260756823823,0.8304320255056699,-0.06604500379305434,0.05967198947538621,0.648473385111668,0.7478198234130133,-0.06825284784805882,-0.2000006235394607,0.2689580962903767,0.5072783966239911,0.32888743093603956,0.6278353412646921,0.35757489239543894,0.10977513570047508,0.3718216120646669,0.029867525358822533,0.649948249479072,0.365856755570579,0.3108483747796635,0.24185818357519992,-0.06622837325271656,-0.11513279568242148,0.07839401838775312,0.5515990284204905,0.05395660902162754,0.583840928412415,0.42895371187708586,0.07264666630976856,0.3674384630177453,0.7986816865299134,0.13341577448637423,0.5790956118977784,-0.18580990034807757,0.6448058414441725,0.5610536864080128,0.2370031123268706,-0.018825559273553977,0.3840326944240967,0.1005245544799919,0.533459320800758,0.4911459262687051,0.04549169432709887,-0.07154515799771186,0.32661126640338395,0.41098458311179,-0.12748565528195796,0.3070563284267732,-0.029536564635300726,0.478859037715736,0.4750274919107777,0.4725338617937334,-0.01025481395094679,0.38431121102140003,0.514867820167091,0.6206100764387111,0.14502715284052584,0.17524169960236224,0.21006401837462818,0.26574766050189746,-0.31679663181253664,0.4026009000368703,0.6023687992906734,0.29547098999497784,0.06173370185681282,0.4890594518171723,0.03801986113205381,0.4093056688264886,0.4576027055208806,0.0329913496887069,0.25148171195983793,0.8025943640815224,0.32005661484520725,0.6973111198398035,0.03936938237838286,0.5751033778625866,0.2789243632483401,0.06016415327082358,0.1698423290346612,0.27002869153197495,0.47643362628160063,0.23452356371439628,0.27384199714127466,0.24196513115245802,0.4832307926141688,-0.2125621174491772,0.5684513443968872,0.6734278468596775,-0.07320815338159158,0.7351803910445792,-0.08939749725934906,0.38244022686735213,0.31422005311268647,-0.03886417517548337,0.3673175879855197,0.5308304954055325,0.1450677120435557,0.38329011147605524,0.21508296849775133,0.16832195671661138,0.40654567787996,0.39475365115445693,-0.1838137066774321,0.13724930292249468,0.5319020534708349,0.60492269820588
Parietal_Inf_R,0.3253348286619424,1.0,0.3266421953003348,0.43861747318275396,0.4300563597341134,0.29621051905041235,-0.10467077911255418,0.09564192813928052,-0.15204128666700356,0.09023070542453575,0.0019071310282630788,-0.08733213831142125,0.4358383647102815,0.5314582100925275,0.5389553669728873,0.3275276797377098,0.5034266639496436,-0.11929108370262383,0.3202795094494928,-0.011967281373894963,0.30992240323281517,0.08627241895589925,0.6550049648810362,0.16921641909687232,0.019013917489615655,0.11669794572032191,0.35861829658322303,0.34101139254944685,0.5072692750278484,0.682955610832061,0.2434373774702649,0.07153671631548135,0.03710295447461312,-0.17071726515895763,0.355813380182631,0.5415597081238605,0.6639790148676256,0.02517175818838576,-0.11846553847728794,0.9033803704152581,0.4354617657388704,0.5428774963578319,0.3465150639499125,0.1974361991896645,0.35388686585560447,0.22350059296700844,-0.07799489606316379,0.1820817997654977,0.5347564044275485,0.08454625342910334,0.6016230951812125,0.4068679683861778,0.4095361510926395,0.4148596954421798,0.310094002568142,-0.3629025977627624,0.44985834602748165,-0.0389294469745221,0.5228356523609349,0.5034331786127468,0.4466684681827417,-0.0019320609669500873,0.40364820346388935,0.4854501258787443,0.4977821490394538,0.5324159931066771,0.3312144903944495,-0.4762838847143987,0.17180714212743925,0.2791685564764796,-0.3446519051462848,-0.39971242527272616,0.03250138830208789,0.7154802665380808,0.36317810692153696,-0.1600888038554409,0.5219304942623934,-0.2328028024257637,-0.11798647682479159,0.14020768592525937,0.5948273690706756,0.7479546021117369,0.16329208567049508,0.30794543805699526,0.06599854228668482,0.3885327604487344,-0.14867396612959496,0.19109616037844313,0.044978358449802774,0.08960692493463332,0.12305249904806964,0.2829349047065068,0.29178514549825,0.20614721303965877,0.1357502877933197,0.0904382868183873,0.6675717537046179,0.4009554009735204,-0.08923460882456287,0.7155241938424315,0.25983516293576836,0.05953943695191267,0.22414353964336045,-0.029762879236258324,0.3707556470533082,0.17701823342781936,0.18707090437370166,0.5511808108268258,0.3832715970698019,-0.011503382765042236,0.5304882480947309,0.1847696861762114,0.10579798905841913,-0.13616750368446356,0.08118495702898966,0.5544223282778676,0.7782535352479379,0.4071120520606134,0.7886903579635091,0.3300644474806259,0.34148558114449457,0.8957505121722393,0.4038055552776826,0.34665395589764153,0.7020537658114703,0.2702367163424601,-0.07004421784196233,0.16916909841030497,0.80915632836003,0.8264633946027403
Thal_PuA_L,0.036796657899285684,0.3266421953003348,1.0,0.23842067892672963,-0.07077840232160247,-0.06726193794142844,-0.011718038100538496,0.0412928093451057,-0.11695824766568103,0.3142871142048003,0.13087962129725383,0.02325295261114313,0.3698241092373966,0.36360894491939033,0.3252645142700521,0.28717140554426046,0.37108507285246606,0.11921953213108648,-0.10571901186124762,0.3362189768148485,0.30918292355914145,-0.09626416154902352,0.4658214795088881,0.06307908365560648,-0.10256236333935108,0.14686911160008398,0.17017806423283183,0.2945961204737531,0.6656114194312762,0.07247102111639923,0.0909843283585155,0.13286227694985653,0.36124373544650007,0.1450129226856945,0.28290241551916867,0.5789527976751124,0.28888595448075327,0.3577730319034628,0.012595225351128355,0.3388733791848379,0.5247099742966905,-0.05949845697112154,0.30328635250067026,0.43244664735458593,0.011281893359741137,0.10647795708530311,0.4957567421625756,0.219663349083005,-0.07069221202505632,0.12804953001892455,0.4600736174213533,0.030276932121056845,0.27375146042013765,0.4417720497938732,0.20389838930662846,-0.11527712743495455,0.2959751457723579,0.3080356774844732,0.47249418051272046,0.4182023185769494,0.25340885838915994,0.06694270678690702,0.3891338433507083,0.3344420292943018,0.33604597955545845,0.5062497584401835,0.22584778448511472,-0.030793499970342968,0.06242941095613597,0.3176213127868574,-0.06811233584359475,0.04276717392157771,0.5197617703808896,0.42473828171079125,0.1451979799895663,0.09775095738592901,0.5088500126328409,0.032915503741861314,0.04254705664547588,-0.04858100575976413,0.5424313748950657,0.39125830236210923,0.2369404267554762,0.5093020945729049,0.4012602199143405,0.5414197559186091,0.1155465800850827,0.39694425969974556,0.3682918977601673,0.13789772431027614,0.30409843162683237,-0.09100885018572227,0.20943883434108546,0.4255470609940206,0.2073955068158841,0.025796109810592206,0.4479738194283507,-0.011773589399547186,0.1418859650263467,0.1512629045840447,0.16567326019469525,0.15762444068131615,0.1741041914922861,0.2452680621678145,0.3987952504323767,0.2713847297972611,0.06114503719643537,0.5660788331221388,-0.0716877847593697,0.216775477751491,0.44544750742772227,-0.011942823567621401,0.4369090744976122,-0.11069199260284741,0.5019930718390935,0.4085466744739703,0.3963652882616214,0.35343230829751326,0.5415199525013387,0.13846207025174298,0.4172193644196163,0.16904080312978167,0.27215028171522876,0.46813467101537887,0.36168915833690246,-0.37132696693704675,0.25236272203715704,0.5255790862423574,0.3094276967511102,0.12777379151937546
Frontal_Sup_Medial_L,0.36307786079483606,0.43861747318275396,0.23842067892672963,1.0,0.35179236742112924,0.3967065134844586,0.22675279069286225,0.3101067239006251,-0.0037641655123191826,0.30883819203172075,0.23912193511617535,0.29855529880148574,0.5119045118333214,0.7741937251185829,0.6024194342447807,0.47752985030936485,0.24459319821107084,0.07959381128507673,0.27922428063328164,0.2952685489068052,0.44437735829930936,-0.017424084174760695,0.3741993643478409,0.14608420526527272,0.1135121116835325,0.3044062962514292,0.4703571074117144,0.33590538632451866,0.38136944299545705,0.4423541398713105,0.3306034347637356,0.10514450692649717,0.01245902138713073,0.5246391932322357,0.684229497430801,0.5665311919247049,0.5294541649391099,0.4416803074861712,0.21023633028927885,0.5181008576639903,0.3039800483001254,0.3595289333980502,0.4899624942911411,0.27829253078489974,0.3853699589715623,0.1484471031991293,0.059104254232164366,0.5307592899060599,0.4130194781733936,0.18318082737130859,0.5846393835956617,0.39818372659430207,0.4407580196961809,0.5521533413843704,0.4768514121324331,0.1948380678942277,0.48471678782191907,0.12793903494153056,0.5801318609433231,0.41562594252083923,0.17700817362431376,0.22048714159059304,0.406113556866297,0.16409340585109852,0.5805877222592163,0.5558913394818261,0.3441583897136782,0.16044075081141262,0.2452736833178477,0.5493438578675607,0.2198082533364988,0.13993372586580832,0.31401629499448774,0.765422981997459,0.44404275107485375,0.040102895618486664,0.36738432615144356,0.2617178324506051,0.024571260792318823,0.31858681913216447,0.48407402488432466,0.2971380855852554,0.24956390368555406,0.45080476213183596,0.3019298550913728,0.35854226603364536,0.30910748397103627,0.5434453494328374,0.36456379596840205,0.6434965134383536,0.23267020791973356,0.30864111253011234,0.37218402959123364,0.14848736515888752,0.3119930882357553,0.1991768915687044,0.6889806749445814,0.34954863069346265,0.2853510113871389,0.40389184026632524,0.23875359833311077,0.08025260434822037,0.4684426373086419,0.1834237671918436,0.5028299903680976,0.2382917527534096,0.3784620034349332,0.4786187232398157,0.31625365241531256,0.09759706891146089,0.4462293220177883,0.21491324085287675,0.2487110502004741,0.08665737295889418,0.20580034184496004,0.31818397217252714,0.46147221224117224,0.18022381372115212,0.6455817810092749,0.43530800241719625,0.43201488337936733,0.40398609744037284,0.37065195777761817,0.5148218140631432,0.48648094018386284,0.22743682086137038,0.1294789871672502,0.1834804819937056,0.462191740723995,0.45271514111833455
Thal_PuM_R,0.42543096284234333,0.4300563597341134,-0.07077840232160247,0.35179236742112924,1.0,0.302672225513908,0.20895873869029113,0.5141558648012736,0.2744447236334273,0.04217464826416225,0.3357082159139901,0.2107118784941046,0.3983322738019945,0.35220754201975446,0.4834403227973877,0.32856524047922797,0.33294117290274206,-0.4145721686481384,0.3415473684808153,0.14728324456056566,0.25739383346586586,0.2599938638991045,0.2304787371079041,0.20474801545285531,0.09599819303001915,0.008714808031115906,0.4601825269449464,0.1065563788671886,-0.005804133894449942,0.37081385978665826,0.3072609070633238,0.01160027099738217,-0.2332839923747379,0.05664509420894627,0.4303465257808232,0.3155095910220994,0.4651471159299926,-0.02812633771765232,0.3005274489835925,0.5207890416185685,0.15211993418451636,0.29524444676723144,0.4239128308924176,0.22323785362539375,0.6513798909684496,0.6160074246282959,-0.3921151130271928,0.3793040823971978,0.24311093497715833,0.17306106708654695,0.5592139506179803,0.42525497060198747,0.172314212390897,0.44052886098843547,0.2827980389462169,-0.24198902949269993,0.3535658807043101,0.23848663797965985,0.43014206160358986,0.3113317876519511,0.19548232356249987,-0.13289737217558287,0.3784546550220734,-0.038012257105263514,0.44666604971457713,0.36051409354795055,0.579166849440714,-0.2630750561424464,0.3236828101499694,0.5318368662876389,0.014951523233215035,-0.14376429175173636,-0.02799159798774151,0.45377850378486506,0.3489264229988373,0.13067483185479348,0.2971242972775754,-0.02890245932432925,0.07822505539877307,0.31700579639370785,0.31716767363563036,0.494288672950295,0.2622076743623909,0.09132482901646016,0.007817718411251132,0.017163678386798917,0.1368921457527106,0.2950087251705301,0.05457984561201255,0.23189451987631565,0.18944515292724784,0.04273116294270558,-0.054961481133846773,0.18840100562048087,0.2551145554010398,0.2229447622384978,0.312468606712868,0.3257626658133329,0.12201901589030394,0.37429124064713654,0.3574633869809227,-0.09449184117954482,0.4629928006460151,-0.17309546849611376,0.2898258935086015,0.2837633179333561,0.42847454998149476,0.3241000576746507,0.2624926841758777,-0.5523291499970225,0.3737833741702694,0.10990979873927992,0.21588308847520613,0.18987128571939596,-0.2138126028747226,0.40411932838287234,0.5191803949864389,-0.22108538120801385,0.44350652377019445,0.1915266820525895,0.1773687960019008,0.3746704566807124,0.36241858709173314,0.18771890546101247,0.5410982734092895,0.4196670040097471,-0.33173807006593636,-0.3727731249813756,0.40811790436664286,0.4073865132973657
Angular_L,0.5427191224059681,0.29621051905041235,-0.06726193794142844,0.3967065134844586,0.302672225513908,1.0,0.17101963782837198,0.45291773733848223,-0.21633549287191745,0.3411003377068803,0.15518326676768826,0.5624251467099202,0.5030776689120797,0.12102230851328843,0.15627343040872435,0.11615593470969637,0.1626113662643722,-0.02526039823770719,0.324410141441946,-0.24607912637983761,0.2257368115951152,-0.17288283641760985,0.45167015933102966,-0.07259327195130238,-0.1597838265236644,0.13236207377350004,0.6514774403125796,-0.050100850052446654,0.09295802887963278,0.7025552974388596,0.4719608426387087,-0.1114711996259635,-0.2098150945724521,0.3068592792413235,0.4872054180603553,0.2399035936360115,0.7177494856664399,0.375068037399389,0.059352881290213585,0.36660255306892525,-0.1287716183284462,0.6795035084984845,0.32034930424166186,0.09713123079906666,0.19990112852113126,-0.25660262680282625,-0.16449986947010015,-0.11287583464054331,0.7469536241170207,0.009844918010637086,0.4692322958018669,0.8436554800868855,0.19574267604442977,0.2732214430457876,0.6403341934302127,0.33614182906309203,0.5193715383729979,-0.20135450014368073,0.4207990569290115,0.35363656874716654,0.20468714117780257,-0.12267632929676703,0.43437694267504146,0.24668413142095197,0.478117566454725,0.4063149402983217,-0.11904379721186774,0.16031276733466795,0.6515267617750103,0.2888513265817581,0.030491525070737654,0.16785427741846404,-0.18466260409646718,0.5244881043910228,0.7986690162313491,0.11794929143460534,-0.16604273332021235,0.2761804523156966,0.15031371933732696,0.310132580697566,0.12878625098289614,0.009467034084239266,-0.10538948507641156,0.2763083256510077,-0.46533530158854575,0.32923277028123604,0.4510485101215441,0.20860135723467954,-0.02908332999004591,0.4849291012504147,0.09141628090793313,0.4955273052661805,0.3468642048227917,-0.3308750644217988,0.2247424317349537,0.5876094851503945,0.3279646127323846,0.8636208501821173,0.0853495327952273,0.6181105090026843,0.5229013399105296,0.21418786902494716,0.08304249143808971,0.35500780078998306,0.4395766420431501,0.1771997946218698,0.17318048625812707,0.15523921233539859,0.9031603750425282,-0.10342446638390679,0.3773556516873447,0.5397054776847341,-0.148656401845443,0.47748763826213414,-0.12762746070125883,0.540018572221507,0.2527581435069784,0.06889099048149966,0.4019582809988213,0.2088336626648573,0.23047512373662218,0.5359468375644779,0.28877459269064126,-0.10386024405814528,0.4227141948268017,0.41009552816021994,-0.1693435322392672,0.16143917323281007,0.5975630349719957,0.609253952851217
Frontal_Med_Orb_R,0.09915475243599588,-0.10467077911255418,-0.011718038100538496,0.22675279069286225,0.20895873869029113,0.17101963782837198,1.0,0.3874810695866782,0.26967902376471503,0.19839332328155826,0.3348393763037251,0.2832718900961812,0.23006735810739012,0.13848114264720593,0.15969209282458385,0.3345663125319421,-0.1544662615858977,-0.22370457260170348,0.0744404054743527,0.1365588215827883,0.03256358811354844,-0.3196049203330517,-0.03798905234256112,-0.1143074274010406,-0.19331914558401672,-0.055849237073824436,0.23445132632041138,-0.11971351973841399,0.016833207957256263,0.13464474257938217,0.25769811581193125,0.04881019801270751,-0.3168388415876561,0.22955059662768262,0.15394356828021483,0.11434032803261308,0.21149831737773117,0.4237353316440441,0.26464262327948407,0.06753620616569372,-0.153384914946148,0.08813217382356689,0.46648323663176694,0.18372789942796372,0.4087622556438598,0.348565294417523,-0.057378879624264086,0.1333707450496929,0.036410781470484904,0.4931613947544152,0.22399449075808933,0.15042812225942745,0.08214774703465513,0.49851941823933593,0.18726439198800984,0.1756546875803507,0.04451598461306478,0.38010702960415055,0.21562069961256417,0.09918974361780783,-0.1701271348192609,-0.07679542126140926,0.15822797033313865,-0.3152129839163221,0.23917769932131594,0.11166616255632668,0.06525106819468349,0.21503941449998618,0.281380691501121,0.5274618671544212,0.053638518287678766,0.3524881778660716,0.34268694148235407,0.11897315921554763,0.33593308537237304,0.28147031966429353,0.01786979186888545,0.0483848875882591,0.26282921185629815,0.2043022035232755,0.056525684317671195,-0.05286469447153678,-0.09145640429506882,0.14549057715066133,0.04538499008676783,0.045150604067856,0.39271702327275365,0.39771581734357997,0.5853065024870638,0.27830198077691265,0.03903096546466847,0.09587529221438783,0.008923524615057323,-0.20847734772260926,0.6951257529341983,0.22078268805516618,0.11560204237178867,0.12478389062400547,0.4520915373566934,-0.2049203089535895,0.17917549375882166,0.3782015417224598,0.36406966682347264,0.14104180028821664,0.5595447208953318,0.07318796556169199,0.6963209215777537,0.12713360209197702,0.16254468388359414,-0.27086223074474586,0.1855236954345114,0.006078772083143952,0.34575393587143916,0.24482608262924244,0.2288156353985165,0.09650755216927273,-0.013168387580871176,-0.4423304909349655,0.02802299070674646,-0.005193037762173282,0.15915730591907412,-0.04454307185748896,-0.07839870524262345,0.13993562668735987,0.12337357687755102,0.282653322797099,-0.3671270989631827,-0.33870094046597554,-0.07687487044420944,0.017978453506920303
Cerebellum_6_R,0.7486965633816884,0.09564192813928052,0.0412928093451057,0.3101067239006251,0.5141558648012736,0.45291773733848223,0.3874810695866782,1.0,0.13558865835371958,0.606437058750035,0.6957114970895177,0.7067092037846482,0.729561714886915,0.12737360316327137,0.2769853530224767,0.4937475755993269,0.38807202289812087,-0.28331940793352683,0.2151806450528701,0.10003528929420348,0.16792342112864986,-0.10865809623244191,0.15074570127389933,0.12237726310007879,-0.08240980048014543,0.3242291534113154,0.7036541620540273,-0.1197416842973617,-0.06960383124556395,0.47539417993676597,0.7498370174986995,-0.03947440738631471,-0.2369712218913447,0.2845349662122784,0.4133205788101774,0.28757419087549974,0.4906628428007079,0.3297447505271177,0.24015598584634137,0.1943431192552505,0.037817688934400455,0.4504335836496366,0.43455281710261184,0.3154212553138816,0.34540648057672263,0.1283582053064929,-0.054104650051213524,0.07847474038855037,0.33961262114034946,0.08882294595032612,0.5398154073748683,0.3604992424756264,0.05599726285730736,0.4241422445175482,0.669905060781878,0.10778795362914922,0.4711981891206858,0.012818758400901959,0.6290947907315207,0.55883463250914,0.1013297594603701,-0.16207674243902864,0.30477946041924353,-0.1502539374393553,0.42739955042541183,0.36129356012714087,0.19249731578155693,0.18366479990207354,0.30390336399171824,0.4659620843786034,-0.06957420500966023,0.5650342080638094,0.04574597419815473,0.35588795912000987,0.5227774588648735,0.6774367705903995,0.044554389848399836,0.48588511075940866,0.6589897005163485,0.5902473987823991,0.07609063903896197,0.05576461335346859,0.30893669592529394,0.2714032014854883,-0.2598037275934534,0.23903079398695398,0.784355941703526,0.45758383371684125,0.19020728199886486,0.4646234984331523,0.11384923520700163,0.23089691952278585,0.309006989784155,0.08740897951939543,0.38740390302693145,0.67382033681469,0.21710775350800188,0.5687782439775143,0.16975852896605764,0.3138191234822245,0.24724774555146223,0.28264911174985935,0.310368379922759,0.2956963796612751,0.5196866315145896,0.17078016629891207,0.38999983228156476,0.20639450336396165,0.36352576104390477,-0.4558175052468154,0.5329550418287236,0.5460599344394327,0.08671580802811753,0.7367542293264796,-0.041996476027893435,0.2929832069102084,0.1372606574732438,-0.2973188692481109,0.2607160330308812,0.425478081238838,0.08740596230208655,0.17103870665512236,0.12169410211068722,0.0931771636594679,0.39702777830519526,0.47659056163479313,-0.2938752652305583,-0.08200007137120964,0.2384516183408811,0.3428306453680341
VTA_L,-0.1020514546332648,-0.15204128666700356,-0.11695824766568103,-0.0037641655123191826,0.2744447236334273,-0.21633549287191745,0.26967902376471503,0.13558865835371958,1.0,-0.2496668231458992,0.3114316591105066,-0.0492459120941838,0.02753558839502423,0.13059768343996153,0.11875703738967984,0.054386634857440275,-0.13085095922095064,-0.41004010717325434,-0.011636961729339972,0.36911971687677564,0.14153504246523058,0.40660934374015534,-0.3166931685984749,0.0719271990928135,0.22445160751424842,-0.16134899779281958,0.02412205388709125,0.10462774315994254,-0.3477132202423485,-0.2441591530170264,-0.2411568728280741,0.33104303905965227,0.12455194293903639,-0.04681298038055855,0.12490056875525235,-0.11106060706835814,-0.17176809280246494,-0.15612804920472215,0.4551167272035252,-0.02764717474771384,-0.0614048371698607,-0.28296774250802853,0.05280384904795337,0.062441610576018304,0.2363286792543967,0.5976056666244569,-0.007349313568801473,0.372701774498863,-0.3353624526020829,0.13746464606332728,0.028424719209297844,-0.0193539024274895,-0.09454056130722872,0.02125318785201674,-0.1416928812906868,-0.3685712530918076,-0.18689471567545382,0.5135002919513925,-0.15029024633739801,-0.2377839124664852,-0.1912426039719174,-0.17997343295061075,0.06505414715849499,-0.5366858939714512,0.027741806131732064,-0.046814028415928036,0.4552777729844534,-0.10260446407804662,0.08150732507600271,0.11921167596823977,0.2344007996698672,-0.049593242185678926,0.058737170123455584,-0.10621432654664531,0.0027477496108593742,0.10362524701446467,0.01647761417737074,-0.19636614838925193,0.07235752576433803,0.19571151024493522,-0.004710613690772705,0.10864659982114605,0.09695284519938671,-0.01942533478314711,0.23252231876475637,-0.4825330439877328,-0.05147748562988335,0.29182102300566537,0.03866589841436079,-0.09780729888130542,0.23537678080979388,-0.4133665246629577,-0.4899932483496268,0.224904169319494,0.06253619461769841,-0.26385278228543385,-0.06905778552006325,-0.21766026450778214,0.22176607982053162,-0.18143955738331372,0.1292774294444069,-0.0595151471486148,0.2731032651116732,-0.17828593432531878,-0.03710638716284222,0.15047276384101604,0.2245429821899142,-0.1758075603741056,-0.23005276827773094,-0.5036442869485823,-0.29868500491538447,-0.4337657690480472,0.40822083414032445,-0.04867119790620296,-0.2632594661038664,-0.16192069139992557,0.051478379612916375,-0.4153502340262262,-0.1154237455078629,-0.27804117781667714,-0.012338538145255746,-0.28534674315445674,0.14872951814165608,-0.03418957719400686,0.0808290276555092,-0.029773675150858128,-0.1663931522454999,-0.5002639911179338,-0.22146965570378657,-0.255982560786973
Cerebellum_9_L,0.5664858907988992,0.09023070542453575,0.3142871142048003,0.30883819203172075,0.04217464826416225,0.3411003377068803,0.19839332328155826,0.606437058750035,-0.2496668231458992,1.0,0.26550671292626044,0.660027808035069,0.6762293464837351,0.1726043253628657,0.20753768032089578,0.4703729965977802,0.25581419263324146,0.22276137631499796,0.12647594997467834,-0.07912585835597276,0.2842284068239911,-0.3503210313610161,0.39083248120784947,0.10989385665519624,-0.13416482500450216,0.5982996425160148,0.5646141946693571,0.08056318792567552,0.3723893256151426,0.3614551346417995,0.6272761119796596,-0.01971304702095906,-0.08998561975571909,0.43862047489461564,0.4028406193681631,0.479158203295657,0.42596201685778806,0.570010815810986,0.12731828186354704,0.1452748947884783,0.30239384894532867,0.33750906444648354,0.4025040206269247,0.5413667179535503,0.08236637833070108,-0.25460275080702627,0.30174347344174784,-0.036890528375987636,0.22924818019032348,0.15196150666078723,0.4365978231695559,0.22390909366744433,0.21503002216256484,0.42881243303364336,0.7064470057203021,0.39521882745796577,0.5940059496834793,-0.11121183256234814,0.6106858485286447,0.47031808423639776,0.2854779563797623,0.25813496736137,0.3608409211408855,0.16792430295594377,0.4969585498403458,0.5409384199734077,-0.00685871952632344,0.521057041578349,0.25478228320160123,0.4245408351408138,-0.18228223917196687,0.7147353474557702,0.2808892372780736,0.3821064452879419,0.3420876576941654,0.4876459354921263,0.2133041789494,0.6137765540436801,0.5243535011405672,0.28004611245593725,0.21307740790143576,0.023372288379907104,0.22672689382042502,0.5883478895618004,-0.10759815588717574,0.5291640122107447,0.8094373621022533,0.5541227886610648,0.3694677146465217,0.5660372713965784,0.18324676816823804,0.4653591998553723,0.6725433780401073,0.14008966713591556,0.3230906742827717,0.6397969614745862,0.35538058131866934,0.3830321670318385,0.3181881398733792,0.20463018440023295,0.23292600693545254,0.3629302623476692,0.19843626068185272,0.5450903667952284,0.5377584222911845,0.2660487795976527,0.26213220843019497,0.4264359004510778,0.2982520589655043,0.14437485726675278,0.615806184226684,0.6335559226459687,0.048998767735443115,0.569699970114892,0.24590587048044113,0.3297343809129502,0.10967324132958524,0.13338733929875507,0.341407713841184,0.38537348666608423,0.23769167643041128,0.12512466094457175,0.1009211186199343,0.30871910223523163,0.29156309823995386,0.2367696193352687,0.030880705555978258,0.3954664450295023,0.2254954114378067,0.30683509762839584
