,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R
SN_pc_R,1.0,0.4005942850495725,0.020716523560501632,0.10608054040878642,0.23657066227465084,0.34107083907882807,-0.15314156495043507,-0.0999751123834457,0.11690175062068665,0.0059279554943991175,0.35976921536704476,-0.14016498799592503,0.22589049929660587,-0.07320815338159158,0.3965877592257941
Thal_MDl_L,0.4005942850495725,1.0,-0.07567346625110559,0.07028964378903613,0.13295304969545663,0.5966318339753743,0.10161497813643508,-0.22036433226389118,0.07077571040392058,-0.05263480024191736,0.1853563217148574,0.04585135736668689,0.2637801838531795,0.0230867869699593,0.13909712952265058
OFCpost_R,0.020716523560501632,-0.07567346625110559,1.0,0.1848913635318088,-0.18354934999536435,-0.1527334618817529,0.010196996638732865,-0.30018592245203796,-0.018506113879077562,-0.280240153231383,0.03150466392292981,0.44980772930401214,-0.05338488807477102,-0.1838137066774321,-0.134327951661575
Temporal_Sup_R,0.10608054040878642,0.07028964378903613,0.1848913635318088,1.0,0.12705548261275199,0.041910236753228663,0.24324775217808023,0.41385286426439494,0.7094715099534387,0.0708124988798923,0.2666623084322255,0.3261845008565119,0.3929774697651557,0.4890594518171723,0.2883145374232585
OFClat_L,0.23657066227465084,0.13295304969545663,-0.18354934999536435,0.12705548261275199,1.0,0.01791838559910114,0.0914132943088007,0.3476448230143031,0.26144882996360497,0.24144683002601483,0.014131487360669692,0.09460099039570667,0.12427597108786187,0.06016415327082358,-0.05229327615833523
Heschl_R,0.34107083907882807,0.5966318339753743,-0.1527334618817529,0.041910236753228663,0.01791838559910114,1.0,0.3806262922767041,-0.20211143835424,0.16045116774071963,-0.27453813363380936,0.2509221563422254,-0.001338201499394626,0.5246446908995018,0.17524169960236224,0.1734746725361704
Cuneus_L,-0.15314156495043507,0.10161497813643508,0.010196996638732865,0.24324775217808023,0.0914132943088007,0.3806262922767041,1.0,0.32467723959833944,0.3525488805300886,0.07583785888848013,0.05305890930617295,0.31047812475478176,0.4826458981017922,0.5751033778625866,-0.09510845017230375
Occipital_Inf_R,-0.0999751123834457,-0.22036433226389118,-0.30018592245203796,0.41385286426439494,0.3476448230143031,-0.20211143835424,0.32467723959833944,1.0,0.5341878096939342,0.6154394023959614,-0.04443623179103645,0.06679409649286186,0.1559410870275874,0.7351803910445792,0.07452700153140858
Temporal_Inf_R,0.11690175062068665,0.07077571040392058,-0.018506113879077562,0.7094715099534387,0.26144882996360497,0.16045116774071963,0.3525488805300886,0.5341878096939342,1.0,0.2116902946361718,0.28178207245045667,0.2254738677577361,0.591872251150671,0.5413975254248413,0.28972663756750855
Vermis_8,0.0059279554943991175,-0.05263480024191736,-0.280240153231383,0.0708124988798923,0.24144683002601483,-0.27453813363380936,0.07583785888848013,0.6154394023959614,0.2116902946361718,1.0,-0.013561664547658798,-0.060926610579852304,-0.11891054404386922,0.4725338617937334,0.041168060362518945
Thal_AV_L,0.35976921536704476,0.1853563217148574,0.03150466392292981,0.2666623084322255,0.014131487360669692,0.2509221563422254,0.05305890930617295,-0.04443623179103645,0.28178207245045667,-0.013561664547658798,1.0,0.06479137106139325,0.4092652318058794,0.03801986113205381,0.3870565044084639
Thal_LGN_R,-0.14016498799592503,0.04585135736668689,0.44980772930401214,0.3261845008565119,0.09460099039570667,-0.001338201499394626,0.31047812475478176,0.06679409649286186,0.2254738677577361,-0.060926610579852304,0.06479137106139325,1.0,0.3112662476003754,0.13724930292249468,-0.22533762569494586
Paracentral_Lobule_R,0.22589049929660587,0.2637801838531795,-0.05338488807477102,0.3929774697651557,0.12427597108786187,0.5246446908995018,0.4826458981017922,0.1559410870275874,0.591872251150671,-0.11891054404386922,0.4092652318058794,0.3112662476003754,1.0,0.38244022686735213,0.10502776575917605
Vermis_9,-0.07320815338159158,0.0230867869699593,-0.1838137066774321,0.4890594518171723,0.06016415327082358,0.17524169960236224,0.5751033778625866,0.7351803910445792,0.5413975254248413,0.4725338617937334,0.03801986113205381,0.13724930292249468,0.38244022686735213,1.0,0.10977513570047508
Amygdala_R,0.3965877592257941,0.13909712952265058,-0.134327951661575,0.2883145374232585,-0.05229327615833523,0.1734746725361704,-0.09510845017230375,0.07452700153140858,0.28972663756750855,0.041168060362518945,0.3870565044084639,-0.22533762569494586,0.10502776575917605,0.10977513570047508,1.0
