,Postcentral_R,SN_pr_L,Thal_LGN_R,Pallidum_R,Supp_Motor_Area_R,Cerebellum_4_5_R,Heschl_R,Parietal_Sup_R,SupraMarginal_R,Temporal_Pole_Mid_R,Rectus_L,Hippocampus_L,Heschl_L,Cingulate_Mid_R,Cerebellum_3_L
Postcentral_R,1.0,0.25375681103568803,0.11596624629149765,0.3461978448760255,0.743284240143975,0.7322898027511195,0.8260351606793864,0.7942272302350193,0.903384342300097,-0.2503216381768586,0.08631259450516247,0.5307938476631842,0.38408112070453165,0.8078007941172369,0.39324373335220825
SN_pr_L,0.25375681103568803,1.0,-0.1628185991802852,-0.37433714736466267,0.08855748300239699,0.3736177607480962,0.1765168969308809,0.16408733233710854,0.10847771271348677,0.12018891068070506,-0.10063325991819556,0.159388042178579,0.5624536609962194,0.171180771904523,0.3744499301250802
Thal_LGN_R,0.11596624629149765,-0.1628185991802852,1.0,0.7144428082268897,0.48910436688018616,0.24010476612185785,-0.001338201499394626,0.21595161704837254,0.11347652233069003,0.31677945943914537,0.26039152355274164,0.1684261676119526,-0.013988630450337753,0.06242088944860433,0.1684108284549467
Pallidum_R,0.3461978448760255,-0.37433714736466267,0.7144428082268897,1.0,0.5839274798594721,0.24982313306825701,0.2333553157737118,0.35798059189976267,0.38458116252387187,0.0746440905817342,0.2433422715637844,0.32505495253594746,-0.18347522172043798,0.2834401184548366,0.05230024823311346
Supp_Motor_Area_R,0.743284240143975,0.08855748300239699,0.48910436688018616,0.5839274798594721,1.0,0.7158380333223991,0.5172663515952186,0.6111159089822802,0.6152566602278352,0.1013456218024204,0.1348975840325336,0.44138445761793743,0.09579982714724887,0.7182516829875536,0.36958542018007223
Cerebellum_4_5_R,0.7322898027511195,0.3736177607480962,0.24010476612185785,0.24982313306825701,0.7158380333223991,1.0,0.5924148908734748,0.40190127719656493,0.6954025765440989,0.17434017634480836,0.15687917244252603,0.4482287564217001,0.4405242269207834,0.7197795591383457,0.7007458229086061
Heschl_R,0.8260351606793864,0.1765168969308809,-0.001338201499394626,0.2333553157737118,0.5172663515952186,0.5924148908734748,1.0,0.541213134202473,0.8161357461525034,-0.4530108235661643,0.17197931939408911,0.5880402272829713,0.4526529194999435,0.6487198423176157,0.5043957670631576
Parietal_Sup_R,0.7942272302350193,0.16408733233710854,0.21595161704837254,0.35798059189976267,0.6111159089822802,0.40190127719656493,0.541213134202473,1.0,0.6406641318064316,-0.19408573654786232,0.06227562631252819,0.25553194711311417,0.2672045350149015,0.5620928545281026,0.07471629635102729
SupraMarginal_R,0.903384342300097,0.10847771271348677,0.11347652233069003,0.38458116252387187,0.6152566602278352,0.6954025765440989,0.8161357461525034,0.6406641318064316,1.0,-0.2779110617647194,0.20953090308171496,0.5551841882116957,0.3592912375623696,0.7491384443996539,0.45099333487230064
Temporal_Pole_Mid_R,-0.2503216381768586,0.12018891068070506,0.31677945943914537,0.0746440905817342,0.1013456218024204,0.17434017634480836,-0.4530108235661643,-0.19408573654786232,-0.2779110617647194,1.0,0.31240576282406646,-0.22410308141354784,-0.07077162938928112,-0.1693221761343594,0.13975578222156065
Rectus_L,0.08631259450516247,-0.10063325991819556,0.26039152355274164,0.2433422715637844,0.1348975840325336,0.15687917244252603,0.17197931939408911,0.06227562631252819,0.20953090308171496,0.31240576282406646,1.0,0.30366010865582355,0.20966603964955866,-0.010277349384267371,0.4013221546155677
Hippocampus_L,0.5307938476631842,0.159388042178579,0.1684261676119526,0.32505495253594746,0.44138445761793743,0.4482287564217001,0.5880402272829713,0.25553194711311417,0.5551841882116957,-0.22410308141354784,0.30366010865582355,1.0,0.38515403380956054,0.4862804775943245,0.3830469704806382
Heschl_L,0.38408112070453165,0.5624536609962194,-0.013988630450337753,-0.18347522172043798,0.09579982714724887,0.4405242269207834,0.4526529194999435,0.2672045350149015,0.3592912375623696,-0.07077162938928112,0.20966603964955866,0.38515403380956054,1.0,0.282162424528814,0.5617586714352601
Cingulate_Mid_R,0.8078007941172369,0.171180771904523,0.06242088944860433,0.2834401184548366,0.7182516829875536,0.7197795591383457,0.6487198423176157,0.5620928545281026,0.7491384443996539,-0.1693221761343594,-0.010277349384267371,0.4862804775943245,0.282162424528814,1.0,0.3905460097134066
Cerebellum_3_L,0.39324373335220825,0.3744499301250802,0.1684108284549467,0.05230024823311346,0.36958542018007223,0.7007458229086061,0.5043957670631576,0.07471629635102729,0.45099333487230064,0.13975578222156065,0.4013221546155677,0.3830469704806382,0.5617586714352601,0.3905460097134066,1.0
