,Thal_MDl_L,Putamen_L,Thal_LP_R,Heschl_L,Paracentral_Lobule_R,Cerebellum_6_L,Thal_IL_L,SupraMarginal_L,Cerebellum_4_5_L,Postcentral_L,Cerebellum_9_L,Frontal_Sup_Medial_L,VTA_L,ACC_sub_R,Olfactory_L,Caudate_L,Frontal_Inf_Tri_L,Cerebellum_7b_L,Angular_R,Thal_AV_L,Precuneus_R,Thal_MDl_R,Paracentral_Lobule_L,Heschl_R,Hippocampus_R,Temporal_Inf_R,Cerebellum_8_L,Rectus_L,Amygdala_R,Thal_PuL_L
Thal_MDl_L,1.0,0.24079659068689668,0.13629717600529767,0.47319038564526406,0.2637801838531795,0.10818961544154473,0.13123983930249655,0.09684755580590233,0.4091259848788918,0.027071149362064017,0.11770335524987173,0.32561444155046154,0.04113453776243124,-0.08063701350839521,0.5258558432460613,0.5373230336699351,0.6404495231967029,0.0009101100042861087,0.3098616746728277,0.1853563217148574,0.34443888926664273,0.3525527345721992,0.4742103078660225,0.5966318339753743,0.34075540728578013,0.07077571040392058,-0.005115191869210508,0.1320421133081522,0.13909712952265058,0.32494608526356317
Putamen_L,0.24079659068689668,1.0,-0.1639862131009603,0.28108588317512634,0.584731178749582,-0.13413527251046586,0.1490417051600859,0.1623032933311891,0.7601193532943586,0.6985647303437627,0.2660487795976527,0.2382917527534096,0.15047276384101604,0.00200007891515217,0.24261081865269674,0.6399583588528392,0.5984259456056853,0.06842559237082084,0.18740906878800023,0.539863349288138,0.3927110416317349,0.23583081693287358,0.4752089871311055,0.5064463979080576,0.37936399263021336,0.4666422791443572,-0.1068832907636325,0.28785280443522504,0.5069125096497772,0.4324870231796714
Thal_LP_R,0.13629717600529767,-0.1639862131009603,1.0,0.03290072505675369,0.032778216503496174,0.3022569749275038,0.3315049780624713,-0.045976471715621026,0.09831961678103789,-0.3188669564352974,0.22672689382042502,0.24956390368555406,0.09695284519938671,-0.0023621375235337934,0.1412111747325433,0.21684051007940303,0.08337155949220414,0.0014414984816625187,0.04487483776138576,0.07141316635847551,0.025793125178679488,0.16827793225673338,0.13284731933404648,0.034524444584041865,-0.04215666438306145,0.1184184882544297,0.18096488000040714,0.1597396746721135,-0.03672045936497865,0.38968978375132424
Heschl_L,0.47319038564526406,0.28108588317512634,0.03290072505675369,1.0,0.159036485824031,0.3821144476749695,-0.1622696462655827,0.21508037493046164,0.4523347010204975,0.08519203203262549,0.4703729965977802,0.47752985030936485,0.054386634857440275,-0.24691296197608317,0.38370978309722054,0.40849366371851725,0.5766410509552256,-0.14405654251207184,0.42650006903433235,0.0799500390704395,0.4366180719274162,0.25461688782390357,0.15382747931322083,0.4526529194999435,0.4829524297979741,0.2767835976834359,0.37639033509126996,0.20966603964955866,0.20484889462187286,0.22890015043116207
Paracentral_Lobule_R,0.2637801838531795,0.584731178749582,0.032778216503496174,0.159036485824031,1.0,0.27151790691310296,0.4180078248428015,0.527729605029656,0.7645848129401458,0.7162263482569957,0.3297343809129502,0.31818397217252714,-0.16192069139992557,0.0806414953202073,0.09978006266140407,0.6989687259978259,0.5507581830345694,0.1450195276563625,0.5391786791205906,0.4092652318058794,0.7881473709085158,0.1320650113157034,0.7334932894780509,0.5246446908995018,0.41690653932259214,0.591872251150671,0.03729793008893331,0.07761358656500175,0.10502776575917605,0.07855572465200612
Cerebellum_6_L,0.10818961544154473,-0.13413527251046586,0.3022569749275038,0.3821144476749695,0.27151790691310296,1.0,0.19734968244271092,0.4747858458511827,0.2678588901224093,0.08462472978584962,0.6272761119796596,0.3306034347637356,-0.2411568728280741,-0.14295394421506186,0.02780902084514621,0.17859034313655073,0.12486241865302548,0.050687093962582856,0.4525598430519592,-0.07470129551080175,0.5225359865727086,-0.13575805109407463,0.15643206707520213,-0.019129898567296844,0.4187966770525277,0.4545123002831856,0.6734124459648423,-0.07661144737040897,-0.09642340811782926,-0.1882877705068502
Thal_IL_L,0.13123983930249655,0.1490417051600859,0.3315049780624713,-0.1622696462655827,0.4180078248428015,0.19734968244271092,1.0,0.14811355690907557,0.4196613896701737,0.11456565744685043,0.21044474489292603,0.26800549506749094,-0.4389799958185124,0.4898455553495762,-0.08738983673584093,0.4053662942192033,0.16121284301744615,0.21486194217595114,0.3360023778016952,0.1256685388752549,0.31860866038925345,-0.34761709896361376,0.3509584588531237,0.2042506125305781,0.06758765469545663,0.22661309879646138,-0.10744531576738665,0.24807683695576713,-0.21632433015609576,0.1557780987881902
SupraMarginal_L,0.09684755580590233,0.1623032933311891,-0.045976471715621026,0.21508037493046164,0.527729605029656,0.4747858458511827,0.14811355690907557,1.0,0.47563249171723915,0.6413149672056195,0.3420876576941654,0.44404275107485375,0.0027477496108593742,-0.25299719503590995,-0.10060099696311191,0.22519088302150225,0.39012705917400164,0.2964880398937734,0.48406434437989315,0.24155695788757367,0.706412077136146,0.004229040236506215,0.46685015425391146,0.17304792503231886,0.4087529730249248,0.4306525803738073,0.4110458697569199,-0.3310274414753922,0.20287008084861913,-0.25056579078022256
Cerebellum_4_5_L,0.4091259848788918,0.7601193532943586,0.09831961678103789,0.4523347010204975,0.7645848129401458,0.2678588901224093,0.4196613896701737,0.47563249171723915,1.0,0.65508391062092,0.5409384199734077,0.5558913394818261,-0.046814028415928036,0.11047603273286327,0.32272639083934435,0.8123820766490909,0.790345751263511,0.17537015208379186,0.520913258919644,0.45490946710275776,0.7224179661357517,0.1433493825987467,0.6735114316728815,0.6213700851754365,0.5909424281401023,0.6183742633282617,0.14376073132103312,0.26429559068625,0.3376858373520933,0.3767700374984581
Postcentral_L,0.027071149362064017,0.6985647303437627,-0.3188669564352974,0.08519203203262549,0.7162263482569957,0.08462472978584962,0.11456565744685043,0.6413149672056195,0.65508391062092,1.0,0.25478228320160123,0.2452736833178477,0.08150732507600271,-0.09379514877921848,-0.03204040751485324,0.4091867977232282,0.4212936090154357,0.24135093830286292,0.2892961239965595,0.42050339573145556,0.6094969341990402,0.10386052264403997,0.5132514272161224,0.27766215270734157,0.46957885565748864,0.5555962924552165,0.0804859763358223,-0.07394430534770809,0.4225681185355388,-0.07544779633551717
