,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_L,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_pre_R,Thal_Re_L,Precentral_L,Red_N_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuA_R,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Cerebellum_3_L,OFCant_R,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L
SN_pc_R,1.0,0.4005942850495725,0.020716523560501632,0.10608054040878642,0.23657066227465084,0.34107083907882807,-0.15314156495043507,-0.0999751123834457,0.11690175062068665,0.3461884942295666,0.0059279554943991175,0.35976921536704476,-0.14016498799592503,0.22589049929660587,-0.07320815338159158,0.3965877592257941,0.17107251878495794,0.5573611472756207,0.04018923272771388,0.2984876883288312,0.2677589129941298,0.10226389138228399,0.21334180405120415,0.22673837987432097,0.24627297460606207,0.24834126392943534,-0.02522083267801979,-0.15180389600938943,0.04537322294832102,0.2572728433460667,-0.3905555029077572,-0.17816671257798863,-0.1519576452648975,-0.1262453205680583,0.25731381288213284,0.4127441223295691,0.06954070469584454,-0.13916371245572914,-0.17600728800838256,-0.1462406679927354
Thal_MDl_L,0.4005942850495725,1.0,-0.07567346625110559,0.07028964378903613,0.13295304969545663,0.5966318339753743,0.10161497813643508,-0.22036433226389118,0.07077571040392058,0.4722122191370444,-0.05263480024191736,0.1853563217148574,0.04585135736668689,0.2637801838531795,0.0230867869699593,0.13909712952265058,0.4266821755727511,0.4207342248806688,0.15773004778048977,0.08652386724201398,0.3593330975449625,0.1780561368237446,0.6773507789291828,0.027071149362064017,0.04951040648047053,0.34075540728578013,-0.20301416573690478,-0.08811027281844938,0.3035790968543591,0.5059941707190351,-0.11644730166792748,0.2080217875982011,0.2029875542780925,0.30842295739896936,0.3466790874657435,0.4547741139621496,-0.1997183091678875,-0.05980098391563147,-0.033747597364169546,0.2364395879045632
OFCpost_R,0.020716523560501632,-0.07567346625110559,1.0,0.1848913635318088,-0.18354934999536435,-0.1527334618817529,0.010196996638732865,-0.30018592245203796,-0.018506113879077562,-0.492953236540572,-0.280240153231383,0.03150466392292981,0.44980772930401214,-0.05338488807477102,-0.1838137066774321,-0.134327951661575,-0.13172586503436234,0.15681247162473566,0.3229297230369134,-0.07437496622671366,0.05437679744719777,0.6038212874879118,-0.016802238153515146,-0.1579695332845807,-0.0919040172576659,-0.020830101021346577,0.29553564763370843,-0.16262702412972596,-0.021194921244714043,-0.053195161550093656,-0.03021224995694092,0.2809205980766691,-0.27110972573713726,0.4983115351988699,0.08341584802148251,-0.09795168909567072,0.34003173432473055,-0.2532940631134357,-0.39061352607705396,-0.06290986138143821
Temporal_Sup_R,0.10608054040878642,0.07028964378903613,0.1848913635318088,1.0,0.12705548261275199,0.041910236753228663,0.24324775217808023,0.41385286426439494,0.7094715099534387,0.29515540246828714,0.0708124988798923,0.2666623084322255,0.3261845008565119,0.3929774697651557,0.4890594518171723,0.2883145374232585,0.4697087549397099,0.3228332167710167,-0.12706469723135969,0.42307427066805037,-0.06518497387596565,0.440506882811125,0.3238710068550583,0.4831736487959169,0.15049489560119292,0.7418407930472405,0.48908881783866764,0.430731675220716,0.5243876043922379,0.2541072640852996,0.5388020078726053,0.1711375864209583,0.32777298794531723,0.28510941510047244,0.3308540668950553,0.39242324727970485,0.27710633457178846,0.5388514522136776,0.1636838400083214,0.16585520614525906
OFClat_L,0.23657066227465084,0.13295304969545663,-0.18354934999536435,0.12705548261275199,1.0,0.01791838559910114,0.0914132943088007,0.3476448230143031,0.26144882996360497,0.3315982831173922,0.24144683002601483,0.014131487360669692,0.09460099039570667,0.12427597108786187,0.06016415327082358,-0.05229327615833523,0.22517723482864974,-0.18322954672081013,-0.2408358862332192,0.09588477809624547,-0.056409046861178334,-0.12970512005116258,0.18464933428753483,0.16988738690395502,0.2965912631250771,0.32554970503151515,0.23715380883267284,0.29687663966239747,0.15220974361540252,-0.017701126579304855,0.08444741190353468,-0.06354718251855995,0.28884328038297613,-0.07563498626840898,0.04051528709823492,0.27028158741434716,-0.32327054187147225,0.23519071313577256,0.26195997023008627,0.04265528045990883
Heschl_R,0.34107083907882807,0.5966318339753743,-0.1527334618817529,0.041910236753228663,0.01791838559910114,1.0,0.3806262922767041,-0.20211143835424,0.16045116774071963,0.1765168969308809,-0.27453813363380936,0.2509221563422254,-0.001338201499394626,0.5246446908995018,0.17524169960236224,0.1734746725361704,0.44588715455537997,0.45713507955125116,0.11536233655840233,0.41449451121922753,0.23839352974213252,0.17845936607364227,0.48834731408804155,0.27766215270734157,-0.036942947960636636,0.07246100642764941,-0.4871670249666353,0.10492606934703272,0.4849876109435044,0.8161357461525034,-0.060944467448450494,0.24188624650494042,0.30914282183084163,0.22158577299141097,0.6412979971363642,0.5043957670631576,-0.38753408135058515,-0.030703271191305483,0.048653800588880795,0.03754608107292794
Cuneus_L,-0.15314156495043507,0.10161497813643508,0.010196996638732865,0.24324775217808023,0.0914132943088007,0.3806262922767041,1.0,0.32467723959833944,0.3525488805300886,-0.05112781648231573,0.07583785888848013,0.05305890930617295,0.31047812475478176,0.4826458981017922,0.5751033778625866,-0.09510845017230375,0.5011854975114947,0.0018979441411978073,0.020017011817365038,0.3077434988109092,-0.036253701461431226,0.07221239059717728,0.28148261043772665,0.30488593248665674,0.2239926261099633,0.10149985906545482,-0.2616630260613796,0.6517164519164124,0.7246069201114327,0.5749419394891649,0.3895974410281475,0.372976820790079,0.8251530650351173,0.2939082014807105,0.4937328014206564,0.10442143979873851,-0.1366489092553249,0.3771516698792864,0.35014066985664616,0.3817249309711524
Occipital_Inf_R,-0.0999751123834457,-0.22036433226389118,-0.30018592245203796,0.41385286426439494,0.3476448230143031,-0.20211143835424,0.32467723959833944,1.0,0.5341878096939342,0.2892713782621667,0.6154394023959614,-0.04443623179103645,0.06679409649286186,0.1559410870275874,0.7351803910445792,0.07452700153140858,0.4015729256067411,-0.1398454058765816,-0.34327836719291627,0.16379843502463173,-0.2238031363682248,-0.3500073504858248,-0.014823727379482277,0.29326267437629133,0.5220289386207072,0.3392243439636168,0.20899610638079683,0.42961365212731556,0.14796842674084554,-0.09507446475289148,0.5431391804184954,-0.18126180890209032,0.4487309755271424,-0.31184052852903255,-0.03441631215396413,0.27437980863743255,-0.12458897525428296,0.8340471884623488,0.3812791500888366,0.3442341829080197
Temporal_Inf_R,0.11690175062068665,0.07077571040392058,-0.018506113879077562,0.7094715099534387,0.26144882996360497,0.16045116774071963,0.3525488805300886,0.5341878096939342,1.0,0.251370410110118,0.2116902946361718,0.28178207245045667,0.2254738677577361,0.591872251150671,0.5413975254248413,0.28972663756750855,0.46019669427563586,0.13700239924880386,-0.25781749800256865,0.5360024525385475,-0.13346040819706184,0.23286291961221706,0.21197987667129306,0.5555962924552165,0.2875278868020487,0.6322391038251878,0.31498822437128887,0.5184355763153999,0.5540280682311977,0.2605967679330898,0.5995918885868116,0.1880039351762973,0.4395725549667916,0.1088392332168078,0.45958763680004344,0.4853313049586237,-0.007830016090931558,0.6553681221876989,0.2815438432571704,0.05219889593539606
SN_pr_L,0.3461884942295666,0.4722122191370444,-0.492953236540572,0.29515540246828714,0.3315982831173922,0.1765168969308809,-0.05112781648231573,0.2892713782621667,0.251370410110118,1.0,0.2784601212256951,0.04762171287628118,-0.1628185991802852,0.2301963196283809,0.25148171195983793,0.11724912013876998,0.4998629586194646,0.21767844161155034,-0.2854180109183285,0.14611597783148314,-0.06005537307542397,-0.0945893834072906,0.431236443580943,0.264455864872265,0.2782819720904393,0.6622943193135228,0.025634063180001776,0.1710018079459773,0.224336218885712,0.10847771271348677,0.06903102007786117,-0.17658599840099706,0.31146997487097106,-0.1698955900644832,0.06547763373265032,0.3744499301250802,-0.08981291054529465,0.3537249714045842,0.18495345843809952,0.2589180376531227
