,Temporal_Inf_R,VTA_R,Cuneus_L,Cerebellum_Crus2_R,Cingulate_Post_R,Frontal_Inf_Orb_2_L,SN_pc_R,Parietal_Sup_L,Occipital_Inf_R,Cerebellum_9_R,Frontal_Inf_Tri_R,Thal_PuI_R,Frontal_Inf_Orb_2_R,Caudate_L,Cerebellum_4_5_L,Vermis_8,Thal_PuA_L,Cerebellum_10_L,Temporal_Mid_L,Thal_PuL_R,Cerebellum_8_L,Thal_MDl_L,Temporal_Mid_R,Frontal_Med_Orb_R,SN_pc_L,Occipital_Sup_R,Thal_AV_L,Insula_R,Vermis_1_2,Precuneus_R,Cerebellum_3_L,N_Acc_L,ACC_sub_L,LC_R,Thal_MGN_R,Paracentral_Lobule_L,Thal_MGN_L,Thal_VA_R,Parietal_Sup_R,Thal_MDl_R,Pallidum_R,Precuneus_L,Cerebellum_10_R,Lingual_R,Parietal_Inf_L,Frontal_Inf_Oper_R,Rolandic_Oper_R,Cerebellum_8_R,Putamen_L,Occipital_Sup_L,Thal_PuM_L,Frontal_Sup_2_L,Cingulate_Mid_R,Insula_L,Calcarine_L,ACC_pre_L,Vermis_7,Cerebellum_Crus1_R,Thal_VL_L,Thal_PuI_L,Postcentral_L,Raphe_D,Postcentral_R,Supp_Motor_Area_R,OFCmed_R,Occipital_Mid_R,Thal_LP_R,Thal_LGN_R,Thal_PuL_L,Heschl_R,Cerebellum_9_L,Temporal_Pole_Sup_R,Frontal_Med_Orb_L,Olfactory_L,ParaHippocampal_R,Cerebellum_6_L,Rolandic_Oper_L,Cerebellum_7b_R,Temporal_Sup_R,OFCant_R,Occipital_Inf_L,Angular_L,Vermis_9,Paracentral_Lobule_R,Frontal_Mid_2_L,Frontal_Sup_Medial_L,Putamen_R,Thal_VA_L,Frontal_Sup_2_R,Heschl_L,Temporal_Sup_L,Occipital_Mid_L,Precentral_R,Fusiform_L,VTA_L,Vermis_10,Red_N_R,ParaHippocampal_L,Cerebellum_7b_L,Thal_PuM_R,ACC_sup_R,Cerebellum_3_R,Vermis_3,OFCpost_R,Frontal_Inf_Tri_L,ACC_pre_R,Thal_VPL_R,SN_pr_R,SN_pr_L,Cerebellum_4_5_R,Cingulate_Mid_L,N_Acc_R,ACC_sub_R,Red_N_L,Thal_PuA_R
Temporal_Inf_R,1.0,0.21933527612008388,0.25594841918186995,0.7352566747486945,0.38666779837935494,-0.08033807353520239,0.4106916448191171,0.49740477847019376,0.7317462613678114,0.8009969979159902,0.22981532284781372,0.3178123061655681,0.38303464280922495,0.3418833814709377,0.407108784168449,0.15899125775068848,0.3956411578885632,0.17875328528548498,0.010957216077954583,-0.014910413394903514,0.36498576692581036,0.4005488867899264,0.7706992062907453,0.2716078934605787,0.2962281294977022,-0.14125518718827265,0.2811262058315253,0.09394660563886352,0.4971597691121531,0.14078402514773186,0.3306957962053183,-0.037215230344709374,0.30798823150467536,0.6268166363328702,0.6205949350025419,0.1268017280713979,0.32049826129848114,0.4693002201689653,-0.5061721832189828,0.37906787309451184,0.27687647063010706,0.07214007834516845,0.35272800721574055,0.4859374080556109,0.6655964672699775,0.11097713648378549,0.4528316531013797,0.5495231986867362,0.1272691016943213,0.04959167335715032,0.3732936339155919,0.5550630209833667,0.313730841630303,0.5455243618894342,0.400063750441267,0.3522210386262295,0.21420457205655077,0.9239543938823677,0.44201511068358895,0.4564506105037254,0.7453963722846354,0.42726651224612594,-0.44385285358112825,0.15947141759886682,0.3793402506451483,-0.2517629425813944,0.15545053704222248,0.40658374905836747,0.17146069962820842,-0.08501178534155479,0.27936198853985245,0.5534927556245021,0.12382620007533231,0.04935165742797547,0.5941935723606951,0.331852798879104,0.15119632117218917,0.7544735279866271,0.23551528987002926,0.4162624945391578,0.0844216529021311,0.4568374141262594,0.5632307720449209,-0.23656376714457616,0.5982983960652951,0.5447251510968574,0.13176864225756707,0.31034761320610016,0.1296643212193693,0.47230386305995364,0.37421808617930125,0.20299737526439637,-0.4466342208634375,0.08642041879894875,0.20400049155451275,0.285429332760181,0.28291461944891055,0.3500461717897461,0.623853699933926,-0.051578652234490346,0.30769586900569046,0.27754182357719726,0.5827162338097199,0.2914317672610496,0.44716090590015684,0.29389326579458386,0.3305608574325663,0.17369549271372836,0.09164372652262152,0.47008065545735994,0.45367594301257386,0.30025084741541946,0.40047993561650513,0.427978628080623,0.1142487492647992
VTA_R,0.21933527612008388,1.0,0.4942970591874665,0.07632266525771852,0.5861482052948885,0.522631653317488,0.4260121062520163,-0.03472617051720947,-0.015006359164547924,0.26840268782356846,0.556711711625397,0.49375057080342616,0.5530461755882049,0.5369597661288699,0.602746141175521,-0.007712812828513662,0.2854485142295887,0.4794802210852102,0.4056554021264294,0.18728483606039617,0.2089434534269412,0.4016578461645304,0.41373575758098846,0.4480659377702188,0.5183591586970433,0.13974105951102123,0.4012141662587493,0.5011971573531108,0.5211803111818293,0.4586670832528252,0.4259260486943623,0.18157338255189698,0.5033080949703141,0.26579270045400083,0.4190768577707193,0.3499753343008938,0.4892727869527584,0.64328865573936,-0.057890547568431636,0.4725679983300261,0.5099031972961098,0.28745443664054293,0.5427370402467319,0.45684159946802055,0.08033156546361726,0.49763566337356174,0.5783827647243578,0.15962273016095588,0.4993474062695057,0.07631024634594981,0.05874674620701021,0.6236385640125517,0.5611054351220188,0.6057686395788026,0.40288430614077986,0.6363252262135456,-0.025244358141134227,0.013593661446416756,0.5264744128873052,0.41946813455462034,0.19614002824041069,0.10930102043237337,0.20583632164944832,0.5174787371281051,0.221363729260288,-0.011954785379904386,0.21308071703902273,0.4726477272794907,-0.3274103681418826,0.24058596605140004,0.3996094523075484,0.5515337209999267,0.5114217370286794,0.4378327131853637,0.5939146582131093,0.5016340756616972,0.5712318415299384,0.2805206391531238,0.45047323685293506,-0.019853952866277898,-0.049067539714436045,0.039323065865264684,0.12324214714187642,0.1760360634585974,0.5271889821037853,0.6653467362018686,0.4688518071128611,0.5796146018057743,0.6141259266928414,0.3789490540519511,0.5352576877691679,-0.04080967941833762,0.2530249300208714,0.35560749946417974,0.39571027238361867,0.6617522309042186,0.3734025544674142,0.5247647315290102,0.09346329597602222,0.13166539574494387,0.5775802214174812,0.5617859252026414,0.5934356157247171,0.47092729066884537,0.6022057186796427,0.6235319220503501,0.516671349683259,0.6412297310767342,0.30071168524221226,0.6273304318448335,0.5980716974492607,0.2268214729788365,0.5313215248486285,0.31783786385371826,0.20169373235526475
Cuneus_L,0.25594841918186995,0.4942970591874665,1.0,0.45936300387934853,0.6295115890982662,0.5739514479279612,0.3266694680732024,-0.17289602497742765,0.11106950084966942,0.4735023476799659,0.49433177817472906,0.40797903805305663,0.5349112506649573,0.41499966028403146,0.5933876306680879,0.4565320274502719,0.2256238657661243,0.4607616954946264,0.650155591353369,0.24357798367516093,0.5066723570353472,0.24944124622845648,0.4976403101278234,0.3049474860344008,0.5221354692842212,0.48381521563680463,0.2610590623378816,0.5601266497534324,0.46731592901697844,0.7351096536038223,0.546714961868728,0.6359757674209162,0.44291052051416,0.3441478792100763,0.3097612815413587,0.4435046907971807,0.3220770029514842,0.5552014703605502,0.015828256209808596,0.3363811904745717,0.563579615456883,0.7236748678084892,0.21992914576206143,0.6327107896579287,0.021558414528646673,0.5069385607922651,0.5637001275391831,0.6569083216463074,0.5791243788485804,0.49592218575782193,0.1554031797060881,0.5343413167604147,0.6258844463759229,0.5016261655191923,0.7527562322725155,0.5064260390681246,0.2015315411443376,0.14873326729089362,0.3488120046709187,0.27397539430692586,0.03148438606563978,0.22562281237308085,0.39029317991242857,0.694496744821575,0.08788327238650843,0.3154743362558156,0.40795895153000483,0.3263087109365247,-0.11664637870346105,0.4590644516434513,0.5688309772223422,0.5862767507170564,0.43782479450493933,0.346840749076872,0.5321797241261006,0.6142788964540409,0.5805733577323947,0.32939740238197995,0.672546631261834,-0.05320776384380829,0.3638383589596881,0.13847938315179217,0.4404804154890993,0.3073478336564417,0.4075463273796518,0.5127074719837982,0.645499981404877,0.4351909077324522,0.5616647759346574,0.521618706871167,0.7246439669868646,0.2688844322263469,0.3785099218363393,0.5258682445353989,0.27356519573267435,0.6146795070355839,0.48714510676979594,0.42938148469731213,0.31271294598533,0.22169634906035598,0.6240994771037672,0.5890166534225011,0.5769622880316367,0.4382394955301688,0.5044103286519035,0.37080348700663357,0.3683709346326308,0.4502775398623479,0.22685202547562924,0.5669588598143066,0.5686117464802415,0.36789344940684265,0.5107506570536426,0.3739787167706939,0.3424649974950309
Cerebellum_Crus2_R,0.7352566747486945,0.07632266525771852,0.45936300387934853,1.0,0.34250442983256896,0.02737152719406438,0.34619375505549144,0.25811876393044697,0.6436392836271533,0.7479625163696006,0.13706907583585687,0.12926891810724844,0.2340051360931838,0.14992120978430395,0.31987578758236473,0.5401783108176152,0.1375232119861848,0.23852708987797996,0.21193159820524493,-0.10441819548067581,0.6600634154727806,0.1306043611854514,0.6230325284198278,-0.028869395669953387,0.38490772536052714,-0.009954575844143465,0.025786163894629056,0.12420798880581815,0.3129475556889794,0.22364975614036328,0.27107395169495113,0.2280799466771717,0.13467783673059452,0.4287712112049713,0.31054384861096607,0.12056741767736265,0.0883448414915947,0.3005276510953989,-0.4161150823115175,0.15249095243379565,0.20068501265985736,0.2635542255499207,0.1667389896438206,0.4793644487644437,0.3413791796451837,0.11214148477767363,0.33004063925638133,0.840721145802013,0.13348728088837067,0.19904595029016908,0.29129545509436033,0.4589965362341432,0.27190683276610295,0.33179462577709856,0.4833715597712032,0.14167642560663188,0.37625195810761547,0.8245215216903641,0.17316519607154257,0.1675215495818924,0.3773650475356517,0.48121227662529814,-0.18253905038970758,0.31025076083643655,0.05885036881988183,-0.09156407490552854,0.2463552729707264,0.13522533505917067,0.08726151919584248,0.04664114514221386,0.39220218031605336,0.3974097436363764,-0.05416502084131371,-0.08488019710262966,0.3919089242016221,0.27887006098163897,0.14922987609296426,0.7489066539303403,0.31791063799089436,0.1370195114558131,0.3461316948661196,0.23905240793934562,0.6146228801550089,-0.11094307646966216,0.4725588245624682,0.4033116670503822,0.19431811134080249,0.10481502433075367,0.12033001415217005,0.35985664428805814,0.4625769747657059,0.20644315030231966,-0.19873564045914202,0.2135852539730232,0.2447720434158969,0.1604291976385883,0.2924654994169979,0.21787067054525536,0.743602964947994,-0.049174807884710126,0.22336524993651546,0.20951698119394563,0.4145991266890467,0.13002070742786542,0.3287753631275437,0.04325634510197314,0.11252613371446571,0.3274404187868449,0.13171510955383314,0.309003928094077,0.26951106015593473,0.2856768832384505,0.21696956038787668,0.3967762850683487,0.05562798852442487
Cingulate_Post_R,0.38666779837935494,0.5861482052948885,0.6295115890982662,0.34250442983256896,1.0,0.7173850059270265,0.6997820075949375,-0.2622807566724263,0.1206102327284494,0.6495785888346491,0.8673317850652765,0.7810023468274659,0.7560364104518025,0.8447905730573153,0.8807061052258913,0.4235946771530483,0.6372054190624032,0.7443443207465432,0.7183257371250691,0.4930180757278248,0.5780792169606832,0.7185615116935976,0.7376244582627973,0.42193498100195054,0.6717978032408471,0.3854642714899816,0.5931310965146246,0.8811531135596042,0.8752720738762971,0.7574336964965674,0.7648772682264633,0.45073007304342444,0.8445304711181089,0.7039813634052456,0.7036329974579358,0.604614884145578,0.7713020527761708,0.8625482797325119,0.060908157422235425,0.8161853979940934,0.7969203814469358,0.6557628198487726,0.5678626357535319,0.871575871869328,-0.08265984640408053,0.8455429893887321,0.9425375193980491,0.5132192371544763,0.8101174226387629,0.30712214730475496,0.3120297559331699,0.7623091772425176,0.948715294879134,0.887159498170412,0.813260582083641,0.9099235187159206,0.23186447838586668,0.17649933704481485,0.8077643288467576,0.641242189638497,0.08252504509387863,0.1887082424118129,0.49748984264121554,0.8206851022644573,0.20909128788223585,0.29747877903461206,0.4880363917671837,0.8243357114717792,-0.1616468061401453,0.6292303546120014,0.8308423945818559,0.8627187041025732,0.5221419263393079,0.49589552393399083,0.874230696587858,0.8664119385509479,0.8956107078448612,0.32590890544095624,0.9017284203317939,-0.08189940913704859,0.26093145751345004,0.07514318630609489,0.558008601016088,0.25471488788848246,0.5576375776464315,0.8243544452284928,0.8203907090813408,0.8720058847774834,0.8886722976096856,0.698913540743199,0.8485520310107563,0.11605734204604373,0.5347333360303819,0.7883034199371894,0.5838376684884131,0.8583785451360794,0.7848757505936217,0.8826196025091947,0.39494126534911883,0.3264972575671437,0.8983851645099185,0.8408437012152966,0.8284456157373905,0.6993373780344356,0.7673113823540649,0.8444527351514285,0.7990458023836773,0.5139898934673982,0.46300912767167984,0.8656741846338114,0.8474385274292705,0.258051238201283,0.8658225793800339,0.7588769653587768,0.525915158337479
Frontal_Inf_Orb_2_L,-0.08033807353520239,0.522631653317488,0.5739514479279612,0.02737152719406438,0.7173850059270265,1.0,0.590492300838612,-0.4417588760492772,-0.25422271991047957,0.28912727383108333,0.7869038812769297,0.5348902952638116,0.7731993522255932,0.6301747377693833,0.7020919143135848,0.4474856822526002,0.2512686837921693,0.6685967526234221,0.7645778394946217,0.3288830845589986,0.46810664750371445,0.389105755202375,0.3253327670970615,0.4502323727047451,0.6506448371224824,0.40251288894888343,0.34921625437637277,0.8064005054188439,0.5555217876557617,0.6597081653259457,0.5853215412374942,0.5561782758191892,0.6866245312978804,0.3537477888223644,0.37865231310932823,0.4410387536624417,0.5255371662979055,0.5940768185577515,0.25766947258907574,0.5363612540545749,0.7032168507630953,0.5322597680979362,0.41881045413099327,0.5913024150104796,-0.39373269745900935,0.7445548512934671,0.6788590431264628,0.3002872823599997,0.8352659633655587,0.15865730290620272,-0.018031247654926925,0.520150356353161,0.7806036069139857,0.6016399314681222,0.5600212393822732,0.7181990405832849,0.10406065003858242,-0.2513255741955015,0.48751408042184863,0.2889057165299332,-0.2672852941221027,-0.047175956844586024,0.6298683484886127,0.7608081961037698,-0.05315537520275545,0.27745249610556466,0.41036082830734066,0.5435156417271781,-0.42480775757755185,0.5926349003340406,0.7114369723406249,0.5956997605138736,0.5868592194118143,0.41836740372175407,0.5664123524961173,0.7264583117644072,0.8284287880836831,0.09251873616056401,0.7793134372946435,-0.17439234672475348,0.18834073023913428,-0.2013559732959308,0.3214708692417888,0.40307823315462327,0.35471174005416317,0.5450244322814958,0.8172438291081137,0.6710368127573586,0.7973439478728731,0.45713613407293674,0.7729442779534804,-0.08099105199219907,0.6678398170812159,0.7523597399378561,0.49442105541308023,0.7248207757210617,0.6575207485516731,0.6493164253833326,0.1786245896605305,0.24858745642440055,0.7072513209660788,0.6504998371593036,0.4874327291478105,0.6774744692632623,0.7063320025888757,0.6595514388132995,0.5200252764363331,0.5063619076690262,0.41673208167850045,0.6196677064691801,0.6096065662459237,0.19074974448598028,0.6359655079385371,0.5369813316066924,0.37665325483572687
SN_pc_R,0.4106916448191171,0.4260121062520163,0.3266694680732024,0.34619375505549144,0.6997820075949375,0.590492300838612,1.0,-0.14329120767017547,0.24253769750626591,0.5489303802502853,0.6851825684448981,0.5836166956105676,0.6543966809516045,0.6965533558161396,0.6918354340043907,0.39019594419238773,0.4024371527101618,0.6606911194576499,0.49043940741683506,0.2765073382341098,0.43049022014877053,0.5478776715928481,0.6003573924591887,0.3927245149370718,0.8576754209612927,0.23160306075253168,0.29736453998561163,0.6223299961579999,0.6581284269002873,0.5086086221433453,0.5677845180855701,0.09320700754876197,0.6935665228598703,0.5302882779464385,0.512678544048953,0.3562484479973403,0.5532605476599418,0.5986737168345831,-0.03653564715087218,0.6457312697362004,0.5997021307977534,0.36661008074201573,0.5985688976326895,0.6925422629672298,-0.028130388567789728,0.6235578703815209,0.7029940165106272,0.3849152915452648,0.6515264293950481,0.08104198297038537,0.21666272551344595,0.5460107691820112,0.6737770091437604,0.6801774925320893,0.5256861990575804,0.7090671670388148,0.2716941833992878,0.24936168389174937,0.605876066715418,0.3763368283177403,0.11849724058913869,0.14026244778922,0.24372147419867,0.5298651276862621,0.16665572150209487,0.09587655927798479,0.3730562558375075,0.6285150102977883,-0.24322901092444482,0.402501856635829,0.6715359487965168,0.5742484202663167,0.4344689717274135,0.05356924701902401,0.7445144604437001,0.6671887588796489,0.6762989157137183,0.4680225356763216,0.6400020756612319,0.04391574320982767,0.19492246049520687,0.072044617197278,0.4845460412598029,0.19500258286324273,0.42711874075524897,0.6034608937061171,0.6455923853457216,0.6646330740671872,0.6118914862471226,0.38728690313790903,0.6521833538811016,0.07681918626503498,0.2556939176582025,0.6281944106483826,0.6291574567661874,0.5865427158472227,0.7585498269282913,0.6918113824492275,0.3937713597688158,0.22353653947380933,0.6102544888872476,0.5747603563530574,0.5936441739631206,0.5393188135722919,0.6350221535251748,0.6249982126777314,0.5756632017192588,0.5656575507313061,0.46069577228113423,0.6704839735100365,0.5875193823157757,0.06720841182522815,0.6345189250794573,0.8458869923710929,0.3736524469554468
Parietal_Sup_L,0.49740477847019376,-0.03472617051720947,-0.17289602497742765,0.25811876393044697,-0.2622807566724263,-0.4417588760492772,-0.14329120767017547,1.0,0.40188066306105813,0.14700480065411622,-0.3420032493139021,-0.23842499327658823,-0.0968411132912312,-0.18669447205397835,-0.12961054849709228,-0.27739870280124207,-0.07600312805416608,-0.38022393905404783,-0.4092660908300404,-0.34860152827939883,-0.12612437530078607,-0.10257306495160584,0.09485920036806574,0.11230964081110216,-0.26033450698729216,-0.38924711173565035,0.05704101445726409,-0.4690834838297837,-0.13379077988651644,-0.28159349247041043,-0.15715678520221296,-0.21545891269848208,-0.23525649265731552,0.04440694947453275,0.04718254489968188,-0.1687279390486508,-0.162336580472692,-0.05503267054523663,-0.35134297961408395,-0.15483379504421194,-0.22776469771784963,-0.38409511906231925,-0.035082377722075356,-0.15216994036667375,0.7228852322065038,-0.4595537163580812,-0.20278106063206391,0.059026727043304424,-0.37096796046920694,-0.14798542226066752,-0.056156407430424216,0.0961693937538002,-0.3200255217753918,-0.06032305549284985,-0.1645588588160208,-0.21827389960416108,-0.17944422969666193,0.5497006165739795,-0.09324837888179914,0.057754129455905134,0.6806542496886352,0.29489625436117134,-0.7361600406797353,-0.3173288691622552,0.2516627398048744,-0.5152849614376467,-0.21853968302542867,-0.11536288265815978,0.16499615322510014,-0.5668244655639105,-0.357682906158562,-0.07189717299541462,-0.11901734712269528,-0.12250106548579155,-0.06652834316621624,-0.2448973467907529,-0.3668993179133573,0.343773150617371,-0.411573497297045,0.506760584086763,-0.2091845446301097,0.3436821760084548,-0.014953168894387983,-0.3361876339632598,0.285705915918635,0.07846525000680929,-0.37807131061176263,-0.20899963336413052,-0.3869671985132844,0.02681258446564088,-0.1569004270608943,0.011499423108738005,-0.7259392492855689,-0.4620852180894055,-0.080867515458689,-0.21594561212607302,-0.23594250114510196,-0.24015068855944177,0.1763907087690197,-0.3073186917385984,-0.3121939304661137,-0.18647570945992353,-0.02480914579412379,-0.04364205725748906,0.007280521060345261,-0.18278234396009396,-0.17332761173535513,-0.16350959134423138,-0.059556676779502334,-0.042164889004862684,-0.038332410917645596,0.11653489832113689,-0.16475000601978923,-0.18678767702072624,-0.29605490337774226
Occipital_Inf_R,0.7317462613678114,-0.015006359164547924,0.11106950084966942,0.6436392836271533,0.1206102327284494,-0.25422271991047957,0.24253769750626591,0.40188066306105813,1.0,0.6346628671870712,-0.031192341718701312,0.2743152427499049,-0.010721275009887482,0.20201934537532576,0.13788576408603287,0.08284047719690597,0.3171377397877828,-0.03272192478348811,0.00031669760538308384,0.1199880812737155,0.1591457831646104,0.3361866670756183,0.6300640467492413,-0.10945599460281005,0.23549119739453783,0.13348495014375455,0.10829974600304709,-0.02178084369551294,0.2506841872436723,0.016558387993312045,0.2320398075871573,-0.16515421529321375,0.11770282051418496,0.3145150197870902,0.3110792229965368,0.09133196768267074,0.15741986725432086,0.1198425783677465,-0.31477372204690257,0.23038899150179656,-0.0903853107380083,0.07583388188700999,0.03736623840765147,0.34523437027728215,0.5063080914079254,0.029770881525254176,0.15773631226213253,0.43505136558356516,-0.12804576245322072,0.2394246225529947,0.5974585306876573,0.13486151414583705,0.05077315696191818,0.26405283617833597,0.30451415325684994,0.10242364154101688,0.3440667375486336,0.792346108852051,0.2687754667462381,0.30276512309356923,0.47160986888966555,0.12149589546288068,-0.3004880796407811,-0.07094563159511534,0.007354935903400539,0.059858486880233985,-0.10262816377683104,0.1738173793653047,0.39749048252404606,-0.09003460953716144,0.2117564438428511,0.09668709246212874,-0.15503670634194627,-0.17054100793192387,0.3182156433233837,0.1789273848947732,-0.08430476241876832,0.5399725756548025,0.07347205665672424,0.28235475155207934,0.445067243622657,0.5661374132981394,0.6177462044183172,-0.07438114015636106,0.1795652776553358,0.18489846302762905,-0.09387818674317508,0.03742209714886198,-0.12769769365736378,0.034226099859508335,0.11043530506286818,0.5072796917001251,-0.35593527098160604,0.08128025432966966,0.02248496194519403,-0.016534104580383787,0.08001020529593514,0.1728076938672122,0.4476449565587616,0.24226543476561904,0.1018858773245365,0.005182684326875276,0.3920051568985281,-0.13599635346891986,0.05782176052640176,-0.0645844091865086,0.20918857869364693,0.06752944410906415,-0.1358207486959283,0.19266361443654328,0.17703031206971717,0.09670880717765996,0.15795264010448035,0.35107869747118964,0.2372560633466801
Cerebellum_9_R,0.8009969979159902,0.26840268782356846,0.4735023476799659,0.7479625163696006,0.6495785888346491,0.28912727383108333,0.5489303802502853,0.14700480065411622,0.6346628671870712,1.0,0.5316676081955989,0.5737463759919154,0.5190222557374712,0.5805013192300517,0.6292166993691283,0.3966104979697062,0.5522125001527689,0.4504256315025049,0.4037197846859594,0.2706268868676403,0.6598309080653005,0.5961752651217913,0.8628218005051124,0.19558934126447652,0.5061961873699973,0.17474552292244974,0.3747956106657677,0.4796772165609658,0.7316276447235767,0.4248949231321389,0.593322279111673,0.23436013844069328,0.5697720642747859,0.7030769365996613,0.6274966055136488,0.3693724222983354,0.4993829811091077,0.66172459883444,-0.30114534875126187,0.6049115394497043,0.4970461303331759,0.38049743663488506,0.3833151534445509,0.7267919790820153,0.31153122330600974,0.49047030175152234,0.6912252113707313,0.7548047932444147,0.4397645593072991,0.2242081344745117,0.49293431211317085,0.6527039024830993,0.6276855608484524,0.7161685684919661,0.6376713542457747,0.5804952501075825,0.39612055751477177,0.7293435395799006,0.6214068669993018,0.5334361100530042,0.42450591825433426,0.35250871813062373,0.04207079641347242,0.5193966062279726,0.2363297213336155,0.0981452209370124,0.2660389796289101,0.5845011436921457,0.15422310239024725,0.3142947060827774,0.7038850504423594,0.6858314234675132,0.1860475810977421,0.14532747336147395,0.7312450557423971,0.6671938611652926,0.4926049942624317,0.635815935632907,0.6069336052356835,0.11369314543324187,0.35929789312886595,0.3292417229773059,0.7998296079583236,0.027420789148939646,0.5924959012643697,0.6431905443116125,0.4635768141130423,0.5371458766623582,0.4672324837277149,0.5668779272445935,0.6389502374710697,0.2754497011735035,0.04563393891780836,0.5132861643949982,0.3867654376035335,0.5520872601289268,0.5650151642530096,0.6105707185344921,0.6792552680076844,0.21055915903588798,0.5981636740755559,0.5241152195307706,0.7479941888881919,0.37519489467608386,0.6344081733798305,0.4972918201642021,0.5630395363811684,0.36068507805837974,0.299400220563392,0.6495023198349857,0.6357341531487324,0.27043712194746733,0.612219459548208,0.6570476278313728,0.4250935558725367
