,Temporal_Pole_Mid_L,Vermis_4_5,Thal_PuM_L,Frontal_Sup_2_L,Thal_LP_R,Rolandic_Oper_R,Cerebellum_10_L,Insula_R,Cerebellum_4_5_L,Precuneus_R,Temporal_Inf_R,OFClat_L,Cerebellum_Crus2_R,Frontal_Sup_Medial_R,Frontal_Inf_Oper_L
Temporal_Pole_Mid_L,1.0,0.6503744940966133,-0.09678975259955691,0.5684964282233649,0.43717232769555964,0.5347944356935649,0.41159156148880044,0.5324926442016754,0.576263309282816,0.5775154517299742,0.1493049995433354,0.43736875850204876,0.10952811614603472,0.46870336071782,0.5388601426265762
Vermis_4_5,0.6503744940966133,1.0,0.2733124004816502,0.8007982611078941,0.4343740015106836,0.8941716169066752,0.6620555847905736,0.8220499160006244,0.8998494430349373,0.7396097072132471,0.41906801876610505,0.08688395035415862,0.2609472494854601,0.8759088439926107,0.8459022726592275
Thal_PuM_L,-0.09678975259955691,0.2733124004816502,1.0,0.03826208538708342,-0.15369571102133348,0.3532400754452931,0.06671941623638412,0.3504282226435956,0.21575192635468143,0.31744427762983024,0.3732936339155919,-0.10448000841533638,0.29129545509436033,0.27916702382793984,0.4818656386997874
Frontal_Sup_2_L,0.5684964282233649,0.8007982611078941,0.03826208538708342,1.0,0.3808963361430574,0.7698431029221807,0.545588982074369,0.6081051890682967,0.7859896550706267,0.5490591529829382,0.5550630209833667,-0.09172827035099335,0.4589965362341432,0.8408229114438779,0.7313016944201743
Thal_LP_R,0.43717232769555964,0.4343740015106836,-0.15369571102133348,0.3808963361430574,1.0,0.4030239355925142,0.4295067587119337,0.390743591282106,0.5230526073000703,0.46367721079842134,0.15545053704222248,0.13026029553832383,0.2463552729707264,0.3420422477237734,0.34250003933490986
Rolandic_Oper_R,0.5347944356935649,0.8941716169066752,0.3532400754452931,0.7698431029221807,0.4030239355925142,1.0,0.7058174133300849,0.8580834802240118,0.8674703776642725,0.6882743486017378,0.4528316531013797,-0.04758861840669763,0.33004063925638133,0.9053593135398098,0.8419101221007718
Cerebellum_10_L,0.41159156148880044,0.6620555847905736,0.06671941623638412,0.545588982074369,0.4295067587119337,0.7058174133300849,1.0,0.6826575997655471,0.6945069804987318,0.5008801025233011,0.17875328528548498,-0.06590198894782606,0.23852708987797996,0.6494737044829372,0.5578760660200154
Insula_R,0.5324926442016754,0.8220499160006244,0.3504282226435956,0.6081051890682967,0.390743591282106,0.8580834802240118,0.6826575997655471,1.0,0.8290336768963671,0.7799653755800582,0.09394660563886352,0.04852355992875969,0.12420798880581815,0.8168680967831525,0.8081978563702695
Cerebellum_4_5_L,0.576263309282816,0.8998494430349373,0.21575192635468143,0.7859896550706267,0.5230526073000703,0.8674703776642725,0.6945069804987318,0.8290336768963671,1.0,0.7445478743850534,0.407108784168449,0.06749595274346948,0.31987578758236473,0.8214662716756806,0.8471132043302494
Precuneus_R,0.5775154517299742,0.7396097072132471,0.31744427762983024,0.5490591529829382,0.46367721079842134,0.6882743486017378,0.5008801025233011,0.7799653755800582,0.7445478743850534,1.0,0.14078402514773186,0.24662347569695323,0.22364975614036328,0.6497591815953649,0.7826739028650275
Temporal_Inf_R,0.1493049995433354,0.41906801876610505,0.3732936339155919,0.5550630209833667,0.15545053704222248,0.4528316531013797,0.17875328528548498,0.09394660563886352,0.407108784168449,0.14078402514773186,1.0,-0.18407595467060553,0.7352566747486945,0.40129681615928714,0.4836083091071251
OFClat_L,0.43736875850204876,0.08688395035415862,-0.10448000841533638,-0.09172827035099335,0.13026029553832383,-0.04758861840669763,-0.06590198894782606,0.04852355992875969,0.06749595274346948,0.24662347569695323,-0.18407595467060553,1.0,-0.22926744168579638,-0.11948970834863691,0.09361545607596819
Cerebellum_Crus2_R,0.10952811614603472,0.2609472494854601,0.29129545509436033,0.4589965362341432,0.2463552729707264,0.33004063925638133,0.23852708987797996,0.12420798880581815,0.31987578758236473,0.22364975614036328,0.7352566747486945,-0.22926744168579638,1.0,0.292247020953733,0.4449492146811138
Frontal_Sup_Medial_R,0.46870336071782,0.8759088439926107,0.27916702382793984,0.8408229114438779,0.3420422477237734,0.9053593135398098,0.6494737044829372,0.8168680967831525,0.8214662716756806,0.6497591815953649,0.40129681615928714,-0.11948970834863691,0.292247020953733,1.0,0.7888978524948067
Frontal_Inf_Oper_L,0.5388601426265762,0.8459022726592275,0.4818656386997874,0.7313016944201743,0.34250003933490986,0.8419101221007718,0.5578760660200154,0.8081978563702695,0.8471132043302494,0.7826739028650275,0.4836083091071251,0.09361545607596819,0.4449492146811138,0.7888978524948067,1.0
