,Thal_PuM_L,Cerebellum_3_L,ParaHippocampal_L,Frontal_Mid_2_R,Cerebellum_3_R,Cerebellum_4_5_L,Temporal_Pole_Sup_L,Thal_PuI_R,Amygdala_L,Vermis_7,Thal_PuL_R,SN_pc_R,Thal_MDl_R,VTA_L,SN_pc_L,Parietal_Sup_R,Thal_IL_R,Cerebellum_10_L,Calcarine_R,Parietal_Inf_L,OFCmed_L,Cerebellum_7b_R,Cingulate_Mid_L,Thal_LGN_L,Frontal_Med_Orb_L
Thal_PuM_L,1.0,0.5112789438163556,0.4845992600176935,-0.07321433365482516,0.17540711471664722,0.21575192635468143,-0.08003604049757086,0.6649902731893281,0.4614795694042354,0.48242609936043285,0.6740907661934195,0.21666272551344595,0.5195124679586257,0.17552693583790396,0.25035811521290996,0.002529831904264837,0.44946693421643247,0.06671941623638412,0.38163574024351893,0.2120371465505773,-0.36063824254214616,0.13564010480457447,0.32776861292066906,0.4346235702538018,0.043537699982775124
Cerebellum_3_L,0.5112789438163556,1.0,0.8353185117580904,0.5109426605229562,0.7464895455464661,0.8023802757478495,0.5910523216526775,0.8519461911515381,0.68679771959911,0.28964351851409326,0.6953017731955278,0.5677845180855701,0.8421774576433402,0.5610026654079308,0.563677562213707,0.119505433307787,0.8302743627019474,0.4198105142177548,0.8171508353240232,0.13449236249242563,-0.20414664902154397,0.2562415748913553,0.8278476375171254,0.7680497398110463,0.5744027082311665
ParaHippocampal_L,0.4845992600176935,0.8353185117580904,1.0,0.6143923819885911,0.7646894691239919,0.7999776339916117,0.6735422215206077,0.9182386873279853,0.6516166806906918,0.3480863555812399,0.6633260022484148,0.6918113824492275,0.9522784354001221,0.6424439754645841,0.6353106539060551,0.05761918807444759,0.9472309316984138,0.5975318962789494,0.729207385759121,-0.028635618527118645,-0.14617228653402067,0.231777552025585,0.83547309706586,0.8930517149211863,0.5921921427622528
Frontal_Mid_2_R,-0.07321433365482516,0.5109426605229562,0.6143923819885911,1.0,0.7253473505758441,0.7139798672095303,0.7929883946897289,0.497480873302161,0.4063131899130918,0.08359105982212324,0.32756034789546956,0.49682808393355365,0.5257157310617019,0.43059671841112496,0.49985840511034396,0.16137485181430575,0.5594802315960326,0.6756700988237888,0.5505510704879876,-0.4204891059819448,0.033094787781333374,0.06934556666355278,0.6308947096752378,0.527520002829741,0.3008645875101688
Cerebellum_3_R,0.17540711471664722,0.7464895455464661,0.7646894691239919,0.7253473505758441,1.0,0.9050390453064422,0.7501972755314158,0.6799287414801656,0.5838409229860337,0.08201569375258892,0.4361627995503744,0.5747603563530574,0.7341872126604582,0.5500627319493313,0.5276368693491206,0.1033667375749909,0.7658862123573323,0.635897370722102,0.7936285208814926,0.04342968598538461,0.005699421645398501,0.28168494840521674,0.8515966469437535,0.6856184115480571,0.5267470762479575
Cerebellum_4_5_L,0.21575192635468143,0.8023802757478495,0.7999776339916117,0.7139798672095303,0.9050390453064422,1.0,0.7359372265131199,0.7107815322025378,0.6590442872218761,0.1225510140793339,0.3927009764278558,0.6918354340043907,0.7702942357573135,0.5833144631513723,0.6582237611589199,0.03335993986622856,0.8023688084415869,0.6945069804987318,0.8170953633490337,0.06634486086457271,-0.0031071866911273503,0.43061288462370617,0.870017471126008,0.74456149920422,0.5524553485539503
Temporal_Pole_Sup_L,-0.08003604049757086,0.5910523216526775,0.6735422215206077,0.7929883946897289,0.7501972755314158,0.7359372265131199,1.0,0.509874431471797,0.3269822256661734,0.0022415452681612312,0.32923329636570187,0.4843888999665882,0.5587044020612076,0.5832845094489852,0.5101435313801519,0.3024834981352768,0.6173902918947858,0.6434980152143062,0.6045672697212875,-0.3452788834358224,-0.03145056818145053,0.015595452664140799,0.6526365403381357,0.5332416534351102,0.6656567529541131
Thal_PuI_R,0.6649902731893281,0.8519461911515381,0.9182386873279853,0.497480873302161,0.6799287414801656,0.7107815322025378,0.509874431471797,1.0,0.6882419564619905,0.3612158208640193,0.8265708467905285,0.5836166956105676,0.9454842346217396,0.47934928604716354,0.5603111744373039,0.11273566633118609,0.9275350966046529,0.4851233869828285,0.7112363910471055,0.05630549421142677,-0.16220361974364123,0.12086723846824167,0.8082002262407463,0.8709024859924643,0.48552661335589115
Amygdala_L,0.4614795694042354,0.68679771959911,0.6516166806906918,0.4063131899130918,0.5838409229860337,0.6590442872218761,0.3269822256661734,0.6882419564619905,1.0,0.34700716141683113,0.4421989359910363,0.4768177632024349,0.671433608543124,0.2968106718999036,0.5422607532446789,-0.17029199159517244,0.6876833039940241,0.42481729437877225,0.6594787999553997,0.32620063635444524,-0.09897639930423281,0.45541603703030614,0.7386350993605497,0.6208105240509102,0.2750386540089238
Vermis_7,0.48242609936043285,0.28964351851409326,0.3480863555812399,0.08359105982212324,0.08201569375258892,0.1225510140793339,0.0022415452681612312,0.3612158208640193,0.34700716141683113,1.0,0.2766773123285441,0.2716941833992878,0.2878409805699479,0.03116537460635623,0.3855083161051301,-0.0966508085111562,0.23914262668708333,0.153970640488209,0.3155162706024818,-0.13054653860176965,-0.15226547881199132,0.27225677580651036,0.12384058752178567,0.27920049368598177,-0.0651219824611186
Thal_PuL_R,0.6740907661934195,0.6953017731955278,0.6633260022484148,0.32756034789546956,0.4361627995503744,0.3927009764278558,0.32923329636570187,0.8265708467905285,0.4421989359910363,0.2766773123285441,1.0,0.2765073382341098,0.7309802997471229,0.3696289931809035,0.2632175092273748,0.31083149043305236,0.6768615301668208,0.19903643291146048,0.49979213272194606,-0.061471578068863296,-0.2917192692272288,-0.24747559554195595,0.5322406085694801,0.6160208373579097,0.26854059100121774
