,ACC_pre_R,Cerebellum_7b_R,Calcarine_R,Thal_LGN_R,Amygdala_R,Postcentral_R,Parietal_Inf_L,Thal_VL_R,Thal_VA_R,OFCpost_R,Frontal_Inf_Tri_R,Temporal_Pole_Sup_R,Vermis_8,OFClat_L,Thal_PuM_L,OFCpost_L,LC_L,Olfactory_R,Precuneus_R,ParaHippocampal_R,Cerebellum_10_R,N_Acc_R,SupraMarginal_L,Raphe_D,SN_pc_L,Hippocampus_R,LC_R,Cerebellum_Crus1_R,Thal_PuA_L,Cerebellum_4_5_L,Cerebellum_9_L,ACC_sup_L,Cerebellum_Crus2_L,Rectus_R,OFCant_R,Vermis_4_5,Frontal_Inf_Oper_R,Precuneus_L,Cerebellum_Crus2_R,Rolandic_Oper_R,Temporal_Pole_Mid_R,Angular_R,Thal_MDl_L,Putamen_R,Olfactory_L,OFCmed_L,Caudate_R,Pallidum_R,ACC_sup_R,Frontal_Sup_2_R,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Caudate_L,Cingulate_Post_R,Occipital_Sup_L,Thal_VPL_R,Thal_PuL_L,Fusiform_L,Temporal_Inf_R,ACC_pre_L,Cerebellum_10_L,Thal_AV_L,OFClat_R,Cerebellum_8_L,Thal_AV_R,Parietal_Sup_R,Insula_L,Cingulate_Post_L,N_Acc_L,Putamen_L,Vermis_6,ACC_sub_R,Parietal_Inf_R,Thal_LP_R,Frontal_Med_Orb_L,Vermis_1_2,OFCant_L,Cerebellum_4_5_R,Frontal_Mid_2_L,Supp_Motor_Area_L
ACC_pre_R,1.0,0.17766769041173783,0.597351503080051,0.8762920170718108,0.5823029365957483,0.36687356924069503,-0.03116319343026457,0.8695455839093182,0.8744835173293056,0.6939624189204335,0.8800628405888792,0.823681754823387,0.19558056976716723,0.02372609789206826,0.1198461460612979,0.1807181837855233,0.5110411692330753,0.47009204057081455,0.5850886387951301,0.8051210297399085,0.5720969735026149,0.09108655720261513,0.09464321606175378,0.15218579470564472,0.4958462722239367,0.9218706779383687,0.6762883827647145,0.031018099466954815,0.6405488317958752,0.8150421926496523,0.6623370843744798,0.8146816058996682,-0.039837228361296134,0.25562423867247147,-0.07206080754403486,0.8814894135242591,0.7658892522081483,0.37654184760438003,0.04325634510197314,0.8770041165741594,0.28866053399879066,0.1536037408887059,0.7383241004528235,0.7086172086169913,0.5225412166157967,0.18570721822983333,0.8264220660117612,0.7459284522002306,0.8205205938611098,0.8728196500869861,0.737110222745278,0.700114551104995,0.8302088112381524,0.8444527351514285,0.016668783270106034,0.8135688591877767,-0.21681657712359884,0.6554195741646439,0.29389326579458386,0.9177002687834203,0.6488332801622331,0.6395003184702616,-0.10345578354050147,0.37915049499790643,0.7159325725668275,0.03548497719267934,0.862144666703407,0.8068498165390312,0.22528285907610135,0.7397084361836027,0.4680267242233076,0.8347765841775006,0.12779065783125254,0.39221248197691355,0.5445556839412764,0.8516923968750008,-0.04255258002358575,0.8274737462670111,0.6226253977921876,0.7367997012782679
Cerebellum_7b_R,0.17766769041173783,1.0,0.38659044450285757,0.23124216273727868,0.29299462592653597,-0.3501714771716913,0.4452557847275565,0.20859045302067303,0.28513520705377643,0.3281015150517244,0.1745055360999062,0.4371182130157959,0.39789039329272,-0.1832982892575377,0.13564010480457447,0.41395894923066096,0.23882921228587892,0.2713091231723422,0.1332712091597189,0.4702827253671515,0.40675510648868557,0.2771106380708953,0.6513424089002574,0.3342078014983687,0.5017515708515784,0.14698395413606238,0.3801012004205231,0.7417377805116564,0.08778115978692216,0.43061288462370617,0.2605485680154319,0.29900130155740573,0.34744415130566353,-0.06732404074467548,0.3472003433877377,0.3349861851647059,0.04954522916738581,0.07769505297403642,0.7489066539303403,0.34079582685253523,0.555208624580796,-0.5376050522926521,0.14805251702626598,0.2252678198594121,-0.02856833156655022,0.04209738636344773,0.15995763375050043,0.2791222131896688,0.2130283330902384,0.15222344349112893,0.06934556666355278,0.4233468500488547,0.20644719416494026,0.32590890544095624,-0.07360539451916262,0.11392146289500901,-0.12568426436717725,0.10009770427018855,0.7544735279866271,0.21316662884361848,0.30281195096202684,0.06758404908942385,0.4185851625869339,0.4345076250753619,0.16051012275954743,-0.43817881434802813,0.3809251659602141,0.3986769109211099,0.08050597186169457,0.20446046406355872,0.07098715456631255,0.23096578142151114,-0.44895194949770706,0.25677630294123177,0.11656707976839611,0.3526307934726861,0.07948054689324724,0.42315746311953856,0.5897863699704621,0.2869086510079706
Calcarine_R,0.597351503080051,0.38659044450285757,1.0,0.6624804031366232,0.8092349281372393,0.3737716766315388,0.1759757535685009,0.6994471404532518,0.6752962283847453,0.5991409957684072,0.6770397342827474,0.6892464991128912,0.4619030486954222,0.1431096576985971,0.38163574024351893,0.15774690896792598,0.6210972539354309,0.47099230608177434,0.882429806860563,0.7898941738852474,0.3017242584888075,0.2004146309976337,0.37118984948881306,0.07754899564623649,0.6774554819138182,0.702639129546669,0.5881098621524553,0.23743939598816083,0.5143503903552265,0.8170953633490337,0.7114638752777117,0.8023361045743376,0.3015068658665861,0.11185199770517683,0.09446335563957407,0.8074520049591168,0.6821993026570418,0.8051093685425631,0.43712913644157075,0.7396366499017777,0.23016171997496196,0.2679720861185306,0.606544747511812,0.8024042330598941,0.3940229756902251,-0.16843297473427252,0.6589503204627618,0.6257568184818219,0.7696324849628404,0.6954174413890232,0.5505510704879876,0.8465598158852226,0.7596023143391973,0.7904595522783708,0.5386504112756678,0.6753669855814236,0.020132665013990983,0.7235727705278582,0.3912578435307377,0.7570057479223442,0.5069126252369455,0.5155962969623649,-0.1019453767312056,0.4073015348777234,0.6615042964907478,0.06332022700776141,0.7385828018947367,0.8705853444762645,0.4959431582604989,0.6875761412367147,0.5976481474087715,0.7609966099421562,0.2213418678331691,0.4753206123973806,0.5145458047659951,0.6953964874942045,0.26637020514412635,0.8277857560174077,0.48182467717368077,0.6980815305205894
Thal_LGN_R,0.8762920170718108,0.23124216273727868,0.6624804031366232,1.0,0.6982392299119587,0.2801443339001357,0.10612141646392126,0.9660341457078845,0.8084002988839365,0.6581298509977938,0.786833965863372,0.7602217943971202,0.22194807678275463,0.06011633863734747,0.3993699543585638,0.21164335410993232,0.6204044564388268,0.3746932634214283,0.5967254758806557,0.8768964151406256,0.4668674194001658,0.04509360541410256,0.1905657046867411,0.02848593647678267,0.5091595840050709,0.8970194986294665,0.7713245764902216,0.19492082021542737,0.8431671315970353,0.7759015045448068,0.7034997083316433,0.7528423713371178,0.11841210745331415,0.16849154994138926,0.1338280142395156,0.8673844643063408,0.7669149900288551,0.42958951940954176,0.13522533505917067,0.8658169095976577,0.3025892805943873,0.22008935067716603,0.9175666128468805,0.6738176301906397,0.4968599208735195,0.052231058800860396,0.9366249577861889,0.6375299859505591,0.8239012408460326,0.747681974193917,0.5435280963862592,0.7864121179470955,0.9296649422480991,0.8243357114717792,0.18733224477927274,0.9334631378274859,0.05476458565673209,0.7310362495547721,0.40658374905836747,0.9148055958471834,0.5236649622335491,0.8173203450917608,0.0028845644942003634,0.3107423113757247,0.865778696829748,0.03516185485484312,0.8631240289245342,0.853598596665647,0.1847532190762596,0.6279448572047635,0.5682027259081261,0.9312145744315602,0.1486128776872345,0.2841816272120036,0.54773020790018,0.9277046571462063,0.14496614234651675,0.8132034495952468,0.5107712592131028,0.6057543597444318
Amygdala_R,0.5823029365957483,0.29299462592653597,0.8092349281372393,0.6982392299119587,1.0,0.3373845788420587,0.1293474685748044,0.7575740603350355,0.6970323223856095,0.53855452771839,0.6693743061292305,0.6725642019823356,0.33984575247491866,0.10348208750581127,0.5432260921098886,0.11593022960179916,0.7054017195466077,0.46762447321443595,0.7307487681797926,0.830100328989599,0.30716417917909683,0.20123271483880922,0.2829635871534813,0.030858361698248057,0.650404484458896,0.729411005887472,0.6431151557091923,0.2535082087861134,0.6037258018028648,0.7239393092163332,0.7576295533124515,0.7401090622552213,0.3690815207694601,0.013976332478043613,0.12463064167028313,0.757769586314555,0.736535265572206,0.6433552112603398,0.380785331780041,0.774753525266005,0.20880589800683494,0.2783610906719997,0.6797280202062221,0.7360680886735662,0.40231864292607583,-0.30415451739916005,0.7590309026656087,0.5788856210278127,0.8052010462301382,0.6466461992160213,0.4656474669390294,0.8441852396805228,0.8047635154259706,0.7717680740858098,0.5086435583144783,0.7629210093967816,0.10599095555901747,0.7262115526944318,0.4086490337715648,0.7726147414799813,0.49159654698130684,0.5457066074520069,-0.038888444711869474,0.3935372532103107,0.7399143724601264,0.08194353569262468,0.7524668212217438,0.8296404218663909,0.4580883633899997,0.6132602300703834,0.5543547755478008,0.818232670212769,0.23111328643841,0.2503817485339964,0.5262784570069725,0.7136323934418883,0.2677932587435647,0.7231917297338983,0.40435768731329147,0.6568019106434904
Postcentral_R,0.36687356924069503,-0.3501714771716913,0.3737716766315388,0.2801443339001357,0.3373845788420587,1.0,-0.6773017254480018,0.3534983284917189,0.3119372300857141,0.13912288041745366,0.5929005640270594,0.23589655567490558,0.29851726742325446,0.0653164832360849,0.1978986336997191,-0.4954230119785724,0.464418656564289,0.3116380089404378,0.5736897809815987,0.21357244038727818,0.08705986097671285,-0.0029665050390404414,-0.5882166776616369,-0.1681567737973107,0.3374968619650034,0.48129137935774,0.0566064275014555,-0.540187334343233,0.2660902308682129,0.36054534697355956,0.5686204359078948,0.4423888528516914,0.23897352241932573,-0.03858920648918938,-0.561340183118482,0.33794831088573296,0.734031067670475,0.6368058754781022,-0.18253905038970758,0.43666353298360167,-0.6027187476613969,0.8252180175797973,0.31279631274495684,0.5610798903871961,0.23713313518388912,-0.2289947920029514,0.36934827095237005,0.41426568717473,0.5435516219195424,0.656594488709684,0.7066834537188053,0.3201901978628971,0.3957429230511875,0.49748984264121554,0.38092263615005884,0.39696344597739047,-0.11249645063523311,0.6413662810370936,-0.44385285358112825,0.42682859310343985,0.48657911068152504,0.14837262059901288,-0.7414860517145574,0.2691070799205535,0.34597894555768427,0.46476775809305254,0.3099995197801275,0.3008336716108807,0.4114017666351386,0.572869260309375,0.3522017290269727,0.3514350820307157,0.8068884709101705,0.23463761611895773,0.14723170244380102,0.32007660266714527,-0.18424530177644505,0.2846950925907011,-0.16313563496633637,0.5742809517424879
Parietal_Inf_L,-0.03116319343026457,0.4452557847275565,0.1759757535685009,0.10612141646392126,0.1293474685748044,-0.6773017254480018,1.0,0.11067791254837547,0.08062396781767313,0.12743058251902087,-0.21720292556680726,0.1411879078328585,-0.260756241808721,0.0003567085036030426,0.2120371465505773,0.6792908906206149,-0.17243623011094691,-0.144186740965718,0.033771394490265005,0.20446088584706015,0.00505730653165964,0.1043096625078697,0.9104560856840757,0.14468864148535956,-0.07786415665283974,-0.03286647180864174,0.2632737803574451,0.6384253235143886,0.18068285653138103,0.06634486086457271,-0.2545516604106344,-0.07825974401536052,-0.2102745108850884,0.0010235930703100344,0.6624592623284645,0.09357069838344614,-0.2952663009697498,-0.06641539170712221,0.3413791796451837,-0.028804804453241552,0.7497522521347298,-0.46886827439340734,0.157365240002891,-0.16877646951170933,0.013541013946634067,0.08556757815220638,0.08600509987882834,-0.09104462152808196,-0.09706862307860162,-0.2488052406082983,-0.4204891059819448,0.19625841291819301,0.05948677132245794,-0.08265984640408053,0.10493484619566046,0.0825626908641395,0.3753127444219268,-0.3332699111562818,0.6655964672699775,0.015627533138383772,-0.33184720889703945,0.2383121435599209,0.740239523055707,-0.21242265522449513,0.1538396396187025,-0.36206729522404707,0.17536056632494937,0.1917086752554984,-0.19115510477226735,-0.25549202594196313,0.021533085048069004,0.07261894924004084,-0.5318262294163912,-0.061955829066553746,0.0812480866633667,0.10974324045994968,0.2984823766895654,0.19311168122272324,0.4349023595685618,-0.11043312829203591
Thal_VL_R,0.8695455839093182,0.20859045302067303,0.6994471404532518,0.9660341457078845,0.7575740603350355,0.3534983284917189,0.11067791254837547,1.0,0.8375618309148664,0.6090836104612446,0.8095984885107582,0.7496241236178524,0.2099415895704901,0.03154631764004304,0.5130231228796099,0.173119544690015,0.6862342090094331,0.33989770873133046,0.6502685305066062,0.8998679566439365,0.43889956923880985,0.018836714484489477,0.19156033816743556,0.023214982137452832,0.5535526034451647,0.9299082377193751,0.7691188572718862,0.18347317301725782,0.872114503798685,0.7883658087523232,0.7444354763881158,0.7525083190463234,0.1598637568647929,0.08075259708262691,0.08999925733695423,0.8839767462895894,0.8307350987913985,0.5071373078991313,0.14955664268105473,0.87848961100004,0.2483989908497612,0.30587286309529915,0.9562964546275925,0.687331294537615,0.46715697432536246,-0.02724997438004217,0.9714919175226527,0.6198572299496025,0.8541085823546147,0.7716701330519875,0.5570290135162179,0.8281183239866664,0.9569063338431387,0.8374223289606235,0.2793551824759047,0.9832965316695521,0.13217968551271705,0.7664711818166435,0.4013911763523811,0.9408839299985715,0.5306486149659578,0.7828474380746872,-0.00972904141110737,0.3147180877987799,0.9387020269701961,0.03557788044376174,0.8964042786831741,0.8791401345497715,0.18780980015126458,0.6264227947719624,0.597187208346869,0.948717746066562,0.2276944300178285,0.2465108609554379,0.5341600811126936,0.9313571745171566,0.11788670575505257,0.8272217501545479,0.4896405678643842,0.660936860855765
Thal_VA_R,0.8744835173293056,0.28513520705377643,0.6752962283847453,0.8084002988839365,0.6970323223856095,0.3119372300857141,0.08062396781767313,0.8375618309148664,1.0,0.668244655127168,0.8197251656297341,0.8406848752861942,0.22003906968848297,0.06820149744451082,0.2425745926975177,0.29300039860219546,0.5117494681552097,0.4825565328944418,0.6588461482976978,0.8439991082787217,0.531888604955117,0.2509749549795011,0.2309585677465245,0.41735913426818055,0.4798113150517436,0.8605645466000202,0.7416222442961028,0.2449629874975646,0.6712632405416716,0.8317796719444376,0.7115746417494611,0.8294212604759789,0.14793192344431094,0.1859454664403933,0.02145219516582505,0.8795272696645051,0.7365917091941874,0.4779865053989405,0.3005276510953989,0.8866176140469187,0.3849594942524227,0.1352683291082199,0.7146689316686669,0.6973095198603272,0.506182440951205,-0.02881211397251195,0.7952618134559377,0.7507788716019542,0.8168217962460272,0.8111821458018169,0.6509840072963327,0.7785355339549104,0.8058064233709925,0.8625482797325119,0.18152869020061504,0.7990359126800931,-0.0795937051866542,0.6552779586576638,0.4693002201689653,0.8821487494360131,0.6275394888959074,0.6440914419255657,0.005982099783432268,0.5267366488551454,0.707966745445868,-0.04018471048423495,0.884120394455486,0.8420590791707934,0.3574564056248439,0.7149715930726461,0.47106663835659685,0.8571961430581206,0.05042556755577776,0.39929572971242744,0.5571499504272069,0.859577584923933,0.019760916171986647,0.8604743423667365,0.6364484818698997,0.7618464461175917
OFCpost_R,0.6939624189204335,0.3281015150517244,0.5991409957684072,0.6581298509977938,0.53855452771839,0.13912288041745366,0.12743058251902087,0.6090836104612446,0.668244655127168,1.0,0.6287341957896929,0.7528413786050876,0.2712665796383795,0.2913335571320117,-0.05850032102613834,0.43253184726315974,0.3929079806884351,0.521499764801105,0.569145933568693,0.6760227100358431,0.4877322653461993,0.2650572687820467,0.300069947381748,0.09456273804528394,0.4877741776664619,0.7116748881934223,0.5531909602813109,0.0793664584340357,0.38694788659435,0.7801537316876588,0.473683646326747,0.7635249810331354,-0.12733394988377905,0.4604867629994653,0.32521186283733,0.7197553363070294,0.48056816026426696,0.3587992822203009,0.13002070742786542,0.676949095748208,0.3916758030366093,-0.03894772598812139,0.4556960659133428,0.6895236749466173,0.49672036174828793,0.08168712119010516,0.5405611077969282,0.7010550721344823,0.6001942468365996,0.645694735702718,0.5465671996910726,0.6609045145124082,0.6337784067910366,0.6993373780344356,0.026399403584220448,0.544430507879915,-0.2712592571045776,0.48318487783528175,0.2914317672610496,0.7193734485119997,0.5014363451153645,0.5500713427207884,0.04077839020206875,0.30027164044786075,0.47768325598063865,-0.011067765958974364,0.7036641141292784,0.6923885311901306,0.41327184967586256,0.6737617850145624,0.4417878353928783,0.6836419960818503,-0.027849658160552113,0.5196037834429649,0.693027135395459,0.6370434292974547,0.3396924088912441,0.7662409643448593,0.6121056752617431,0.5786742579232848
