,Cerebellum_9_L,Frontal_Sup_2_L,Thal_VL_L,Angular_L,Temporal_Pole_Mid_L,OFCant_R,Cerebellum_9_R,Thal_PuI_L,ParaHippocampal_R,Thal_AV_L,Cerebellum_7b_R,SN_pr_L,Calcarine_L,ACC_pre_R,OFCant_L,Cerebellum_Crus1_R,Occipital_Mid_L,Parietal_Sup_L,Pallidum_R,Amygdala_R,Insula_R,Thal_MGN_R,Occipital_Inf_L,ACC_sub_R,Cerebellum_Crus1_L,Thal_PuL_L,Frontal_Sup_Medial_R,Cerebellum_3_R,Temporal_Mid_R,Postcentral_L,VTA_R,Caudate_R,Thal_PuL_R,Precuneus_R,Cuneus_R,Precentral_L,Parietal_Sup_R,Insula_L,Parietal_Inf_L,Thal_VPL_L,Caudate_L,Temporal_Pole_Sup_R,Rolandic_Oper_L,Thal_VL_R,Cerebellum_6_R,Cingulate_Mid_R,Cerebellum_8_L,Frontal_Sup_Medial_L,Vermis_9,Frontal_Inf_Orb_2_R,Precentral_R,Thal_AV_R,Raphe_D,Frontal_Inf_Oper_R,Fusiform_L,Thal_MDm_L,Precuneus_L,Thal_PuI_R,Olfactory_R,OFClat_L,Thal_LP_R,Vermis_3,Temporal_Pole_Sup_L,Frontal_Inf_Tri_R,Rolandic_Oper_R,Frontal_Mid_2_L,Lingual_R,Thal_MGN_L,Supp_Motor_Area_R,Thal_IL_R,LC_L,Rectus_L,Putamen_R,ACC_sup_L,OFCpost_R,Olfactory_L,Thal_VA_L,Thal_PuM_L,Paracentral_Lobule_R,Frontal_Inf_Orb_2_L,Raphe_M,ACC_pre_L,Hippocampus_L,Temporal_Inf_L,Frontal_Med_Orb_L,Thal_PuM_R,Cerebellum_8_R,Supp_Motor_Area_L,Pallidum_L,Occipital_Sup_R,Hippocampus_R,Vermis_4_5,Postcentral_R,LC_R,Calcarine_R,Heschl_L,Temporal_Sup_L,Cerebellum_7b_L,Thal_MDl_L,Cerebellum_Crus2_L,Red_N_L,N_Acc_R,Thal_IL_L,Thal_VPL_R,Cerebellum_Crus2_R,Angular_R,SN_pr_R,Cerebellum_4_5_R,Cingulate_Post_R,Frontal_Med_Orb_R
Cerebellum_9_L,1.0,0.35800280656728317,0.347068937463638,-0.13614600891228834,0.14679531493448167,0.21776233044368015,0.8525703468442992,0.14524792242933174,0.3517860649129099,0.017687410081696435,0.49450004700577727,0.38782411637033953,0.22586783650333986,0.033073824626233476,-0.012134923963766819,0.42572719927102604,0.09655286607088763,-0.228970801143642,0.32454993764123724,0.2984045740528642,0.47401166189756666,0.13287921387167895,0.2830104283989943,0.03223197447685707,0.46803566653640993,0.2512794132671592,0.5132253846729496,0.5621501398475569,0.36838882769405207,-0.010093030566760277,0.2047836213962005,0.2930817831559345,0.13302698487558898,0.07625772916498871,-0.08391697995705005,0.2023659923003635,-0.19060534866040194,0.3850996823835811,-0.1588950676457348,0.09275832385088693,0.3235147612871857,0.19933892383312046,0.5138945396476264,0.3160064082624204,0.7907801165263489,0.4127679358953214,0.6922186188443036,0.37562456575106024,0.756850507236293,0.263044812357551,0.17299402754052368,0.2812616633510408,-0.0223253051615054,0.2827407604641676,0.6338341129400894,0.31108261200059906,-0.024494207697822942,-0.13242479570417512,0.1993995486975069,-0.0835129057650945,0.048431172765581745,0.35054728837942656,0.1505000635980974,0.12780712852412968,0.47366712511928455,0.5445219807380768,0.6834344010567701,0.32946202836984745,0.43252109913681247,0.4248362823280749,0.0756001967842261,-0.039721029450325164,0.15764697738732636,0.3978164304329264,-0.10157491890940996,0.38493726870294454,0.28219450817034974,0.3166201931635259,0.23669587592416785,0.408469482505465,0.4711898363201636,-0.12038128583998114,0.38328384019142375,0.38697998391871197,-0.010833901190531774,0.3355380767681025,0.7549364479990353,0.4212375075269842,0.32444871008955334,-0.22850180615123422,0.4571640317253631,0.6090387838807803,-0.02754554720918598,0.5539743314867701,0.3617154870942577,0.47474909926539055,0.3194950829841724,0.5006579612494103,0.2519401266167029,0.28509029568664424,0.3758697367466478,0.180305779915341,0.4280039320206159,0.07406925033343814,0.4990757628814181,-0.19445275064327483,0.43213404444734693,0.6083479446616752,0.5349513914666079,-0.1250683507798021
Frontal_Sup_2_L,0.35800280656728317,1.0,0.44992955762324927,0.4794987056836735,-0.04268248536498885,0.19369594850967695,0.5011204554888864,0.1441681828347023,0.26260571945747513,0.06104643786101268,0.12105508581800899,0.047218194002864394,0.5441159718181438,0.547707750242195,-0.013160759965903537,0.15936926673955784,0.2717357527449204,0.4188744221258144,0.3080071376202936,0.21936493837345433,0.2543362417892741,0.4486352029501362,0.09700153664294427,0.26027002523856885,0.013300995450242038,0.39998053433282404,0.6411522631512225,0.3065144239340909,0.27862647230151333,0.5817581911198804,0.14671103703312455,0.5048792628832728,0.2496707302768016,0.5646844741090362,0.4104454499550654,0.6035739487640768,0.24374058597071552,0.37852243242165035,0.4325548364441357,0.43131944478393813,0.4797003447086769,0.34085900149356596,0.5819710133969674,0.5372048828525298,0.25180321214946755,0.7078613336267187,-0.05591075785808857,0.91908513878794,0.0854047885493086,0.3539313609421637,0.0316069051462106,0.3741778870100077,0.4134591804746669,0.19239413107103753,0.38003728453101077,0.42662021949568846,0.5177683229215134,0.20330303829077767,0.36439127135737137,0.10761210846092417,0.14050837338825273,0.4531403067349192,0.19244418159831664,0.10912249617980582,0.4489573954673653,0.6324325386530001,0.546439755402344,0.337544980987409,0.485197254540719,0.5552359094581655,0.18322293772910822,-0.005871566107939096,0.39802238441713295,0.5188551959117995,0.16417346422023216,0.21727843380433942,0.26562139440060234,0.296641084920217,0.5412659812304459,0.3265570924435112,0.09577359376854137,0.4091693435659267,0.41435319574042,0.3609142908089504,0.31241469605343847,0.05239463251580523,0.10890825527690634,0.6124118155346784,0.25587272930160454,0.26700544990390956,0.3152077130014794,0.5936819976072436,0.017339423557022154,0.3562108525998344,0.505283515813071,-0.025127571252229936,0.5328949392374862,-0.07755746284927507,0.42218829945608427,0.04877309575941131,0.2794526384412014,0.09687554854525798,0.4858631291770709,0.4187639486033525,0.1315471006251801,0.1792999531547317,0.1733889741575695,0.5567373105121141,0.6303930919907453,0.3208477533774024
Thal_VL_L,0.347068937463638,0.44992955762324927,1.0,-0.08391560386481808,0.27359810258906037,0.4490081251337248,0.42060747289321077,-0.3446163415741733,0.5599323362780942,0.1211711090343957,-0.003382269968339482,0.47096341572129025,0.26271458355352945,0.48381011440285043,0.17725816394319593,0.03174130239714451,0.01568089278987175,-0.14475297831629924,0.22265123094712763,-0.06941904317555961,0.3530374694281375,0.23420371156813416,0.11899968798999092,0.529654921461709,0.23465446487982836,0.20039610576577443,0.23342470977525315,0.46395218695446,-0.11424468813809176,0.05079989502328937,-0.4581514453184767,0.5064362407436345,0.15047156222225314,0.037464590726669036,-0.11551595776842905,0.10880248864486168,-0.23788508636616085,0.3635642697820084,-0.12639022111266232,0.3852188442762696,0.7936145814646304,0.018355663244883504,0.5471816047232423,0.5425867457166939,0.21089440311727917,0.3309106255951037,0.3091965133582912,0.44993118181017305,0.4370254646655972,0.3468256186315713,-0.1407213587906014,0.6243196494392218,0.0022257667731436503,-0.0841866193685569,0.4202835892974688,0.23144064457499455,-0.09091525193646978,-0.18677177019643218,0.3936433791185268,0.5544812370375855,0.14487837557618655,0.40734584131036866,0.5373065519702165,0.025553048754086136,0.6847028369716888,0.4261212528109238,0.2774231291445132,0.33822986884867073,-0.07933740625390989,0.5758653165561737,-0.03926440838889209,0.32777152230867923,0.5307072603843264,0.5409684376022962,0.29987606784345944,0.010831003171632356,0.7529025125286222,0.1779973195350086,-0.016207188916196234,0.5166979102069992,0.21449885648392195,0.3965120037462399,0.48837867826352843,0.5341723845205381,0.36079722042513546,0.3312365277359604,0.1984840915953988,0.08140399227952476,0.6188119072507287,-0.24074192478525416,0.5810505053221878,0.43332561271091813,-0.2313029167742847,0.27348858260884956,0.22275338562595917,0.5016218936354154,0.5007959019637824,0.2580749620927338,0.2716308633575078,0.10864583219804864,-0.10966682095397932,-0.04362518363744693,0.5287397075114643,0.21101522911396692,-0.00438519740058725,-0.2841557672685436,0.3356018136287406,0.6266245445737582,0.6897933903709842,0.32134958437133465
Angular_L,-0.13614600891228834,0.4794987056836735,-0.08391560386481808,1.0,-0.2639912872602677,-0.14879047628222478,0.08750359808112329,0.43711007707602373,-0.30593713488482727,-0.019845960755366616,-0.0941979017921157,-0.5542252266369875,0.6506748824539754,0.11359320141141172,-0.22324145114751084,0.09924578008281913,0.6606634998505981,0.8891854118738257,-0.2042416165143864,0.1526480820238362,0.12242737744198293,0.5491098379938132,0.31228164215202964,-0.24043396511779155,0.04199417095274653,0.1262702535243426,0.08334607421386066,-0.21175845897997722,0.07670100564330161,0.8206303933471142,0.44933132608817683,0.0007200445616376583,-0.07282681995417865,0.7185178682968144,0.7433589905185776,0.7042690135120916,0.6973626370625398,0.32446274932492597,0.8399919059131652,0.673470883561841,0.10014915583027517,-0.07399644663303974,0.29410034919731687,0.3930731511948296,-0.04286444437601111,0.36987983598458773,-0.31564811122092545,0.37832605728667323,-0.4124547414680818,-0.2226981989692101,0.11118047608132237,0.28184420257990567,0.5389506982683241,0.07143408237330122,0.2853011127074253,0.23876278254809286,0.7844463722284873,0.7445280398135883,-0.23518415825930028,-0.0858326746926715,-0.2981013331286823,-0.08086203920293701,-0.11670990150711326,-0.22183490151138233,-0.17547683643340442,0.3176582876313616,0.34138277309688536,0.11783641517803695,0.4543239781176491,0.20048727028898788,-0.04834640723451889,-0.09436131486273208,-0.19520397865705824,0.05677824330852513,0.012247291320612341,0.27757446181270773,-0.35740940184449044,0.2874078339483054,0.6300418583837325,0.07718975075579138,-0.11215499344998414,-0.03423100671927519,0.29538170125692487,0.2452780110179226,0.13230020725062078,-0.6623123917530161,-0.2504170198164296,0.5364424767486881,-0.21416124205506618,0.704842861775355,-0.18667288647042105,0.17458517543483157,0.24684415459586453,-0.06612703630017477,0.5489415576621224,-0.5502258088789254,0.5951761097949052,-0.2064887401304387,0.2879473921826969,0.185516851904928,0.008698669901855239,-0.29168690425271127,0.18009906429324576,0.6347190898887132,-0.060707742249200586,0.6028125125665786,-0.40301507562104194,-0.016845846310690832,-0.033373753558835866,0.18256816482045696
Temporal_Pole_Mid_L,0.14679531493448167,-0.04268248536498885,0.27359810258906037,-0.2639912872602677,1.0,0.6790757856147828,0.07288033656241853,-0.2490659645832286,0.5133597694047461,0.05608189308939987,-0.49236312769806667,0.2658577439411077,-0.10092278580054895,0.07800648614978076,0.4362191230863328,-0.42404022093754334,-0.07412402756088748,-0.2652946588497814,0.20072098916934816,0.17545098347472,0.15879403835120448,0.00272004605070398,0.05578855614480316,0.43699957100902936,0.042532795668038276,-0.037017414088938515,0.008514867038256322,0.2154020738157182,-0.17200196556375666,-0.3406568160727539,-0.30178537905720315,-0.00904077313274397,0.23957709792854184,-0.11973787693506456,-0.12797817716443924,-0.34403262824963016,-0.04661793036144156,-0.015162114866213263,-0.2989339117627307,-0.20350737473639685,0.22208670710141284,-0.07595164766396491,0.1687671765467627,-0.017762275843634115,-0.13129677149002397,0.06233504819987051,0.24120088318517824,-0.09538455142239086,0.46331724975590577,0.1847175475373212,0.24520600484898278,0.06938894529062196,-0.1360267731064049,-0.039274363624622305,0.4078777408937321,0.040622591506812356,-0.0924054993885064,-0.3403687860437902,0.38092883293966384,0.5857817461119131,0.24785704254190014,0.2551060279052419,0.7328004894097718,0.09182814312570958,0.3487988288207942,-0.11295595763023346,-0.03183370117906488,0.07938503425511154,0.012299148892945979,0.1381500045941633,-0.18083877250914138,0.40508818945905734,0.25515164090685444,-0.06265209613881194,0.4647938170560927,0.12365172658690565,0.38218070370098484,-0.07568323220656763,-0.07873717306863343,0.34341162785838486,0.11034711829690619,0.054587264071826444,0.0996089812230382,0.5993560703592182,0.1343070429346928,0.34604373410410316,-0.11273877073717335,-0.1488784649862007,0.651003078241673,-0.10580879238393726,0.41161919544504305,0.15207388349178041,0.22756955527346523,0.25573999486444426,-0.1355024953812817,0.4387133761764654,0.048075814654876606,0.17111087357927238,0.03703637538911303,-0.12141259573468481,-0.2074385834741961,-0.13154706889610573,0.0013230000330424073,-0.1512429471180716,-0.4792108116807383,0.010019957435171659,0.1641482458532544,0.37550215644343105,0.2149728779575684,0.028033596366565276
OFCant_R,0.21776233044368015,0.19369594850967695,0.4490081251337248,-0.14879047628222478,0.6790757856147828,1.0,0.17256651334555329,-0.4225197905075981,0.4360855513218924,0.15822569177841678,-0.312394975235985,0.321197644035518,-0.22648307115530544,0.22985946095778165,0.042843799003459915,-0.3537069753407275,0.058302877690720095,-0.13523546407546752,0.10650145628302603,0.07014406310223646,0.09377901474790577,0.0011580307204273662,0.154276444156301,0.5684295146450529,0.0634162374556929,-0.025091704842030733,0.09727490186943515,0.22319003203657367,-0.4436290073430712,-0.11428777629481594,-0.3348730731849029,-0.22958026906852025,0.294520420181877,-0.14611725485021324,-0.3067905295905763,-0.050626053253390695,-0.2201422606351465,0.021559281986339846,-0.18176657604423357,-0.1608825488661524,0.6210164739344068,-0.18017023250413078,0.289221625903907,-0.04525059703105984,-0.11831579462209141,-0.06765099867054872,0.2364851348372995,0.2359567180425601,0.41568036092268745,0.11356235254014856,-0.19063861129060797,0.1634528497781897,-0.16243594591248225,-0.4862013486950531,0.33564860104751465,-0.07313877247579488,-0.23587311186029777,-0.38213832145021054,0.26017850310099827,0.5566621569793903,0.22742043400925616,0.24938244441493806,0.7461003971990813,-0.28589035414428765,0.4646656163655392,0.16786735101563027,-0.08744980579113996,-0.04129847555875585,-0.12109258574841389,0.25581765082469243,-0.27892349216434204,0.4735205135534777,0.40902263607881095,-0.08289926449721431,0.5550010416340981,0.23495961803480828,0.6924277079375742,-0.2056911466846183,-0.04078815085941139,0.5675112619954482,0.14777633354385403,0.25567418027554106,0.048755124626872134,0.5438253398061222,0.5146361044239879,0.40603216492908556,-0.02362062996886479,-0.15118241221951917,0.8209164866109211,-0.3590386604047597,0.33087421937610567,0.2062741417800069,-0.27420647767146716,0.2989844343856473,-0.29443718023219784,0.5218516117707777,0.2372190264445752,0.19487572158991062,-0.03166268233183593,-0.07400773873169969,-0.3827459954191263,-0.4374771432817032,-0.03952168116758179,-0.25585095603470676,-0.3310790585992088,-0.33571522308285034,0.1533975409841036,0.3851698353313639,0.2274154165383651,0.2985754834952411
Cerebellum_9_R,0.8525703468442992,0.5011204554888864,0.42060747289321077,0.08750359808112329,0.07288033656241853,0.17256651334555329,1.0,0.14496308477753772,0.24649706603042928,-0.10498040443955924,0.4441408008466185,0.20857246943552304,0.3791784307361767,0.11115801399639114,-0.02826302325336163,0.5108227723508304,0.18765070343643858,-0.04404442942340254,0.3438434109665,0.4015938015278122,0.4576351419845264,0.36242383869545847,0.2958705565421454,0.06433597855408173,0.49627368400971417,0.3131067755919516,0.5976361220523586,0.5114587931693951,0.3478591396573635,0.18196711742279398,0.31044201080517014,0.3203541582482826,0.16053796318561053,0.23979462904292573,0.08859008483889935,0.31717767806125874,-0.0547843092426092,0.4349118353138327,0.0007318496024385184,0.27946083326443516,0.4212810821887602,0.23175165971476744,0.6269622657828787,0.3941104386000839,0.776286468701318,0.5189580444273265,0.5652088241913257,0.4926760415043947,0.5989231079608732,0.23391662038652983,0.19745719412366858,0.3561109520147564,0.15085856239474757,0.27554029328372986,0.6675372552469122,0.3209172957264726,0.12246811140857662,0.07411014653372909,0.25227832690471214,-0.011319162943353337,0.08333290559263282,0.3630397547667839,0.21390929379563675,0.12848720703921904,0.5293329732849639,0.5679319359099595,0.7749672563810672,0.28674705428040165,0.5047235748849102,0.47091659898223964,0.03599689136692772,-0.04110349379423368,0.22582995859654567,0.40779318316209573,-0.07513809801074177,0.35017859924380546,0.2864298886226497,0.3638145525872256,0.41977852195491144,0.3953837698054772,0.36693878793172807,0.026865835356570795,0.47550902648435606,0.4763492713333818,0.08039001896412036,0.21198829360369328,0.6883158972146786,0.514208091444658,0.37389992023734003,-0.042014802274937264,0.44103929069798936,0.677255537854583,0.02510017546129769,0.596178381669232,0.4724124132430873,0.3289045181338996,0.4412113164622214,0.46945318494334215,0.27840271821994145,0.4102251296751924,0.32494697867714556,0.07948659145334745,0.47375518776822423,0.24435773147247616,0.4737459945834794,-0.05659397010773801,0.32404552373267936,0.6515288399016579,0.5575382771632461,-0.008186506947622152
Thal_PuI_L,0.14524792242933174,0.1441681828347023,-0.3446163415741733,0.43711007707602373,-0.2490659645832286,-0.4225197905075981,0.14496308477753772,1.0,-0.3332181887150922,0.16415263011259515,0.22335874252549728,-0.534294690593905,0.5419266361893519,-0.16819238517308222,-0.29728070419080704,0.2323927348956149,0.2468083867923683,0.39996826579453904,-0.08043234857445324,0.46283759104668853,0.26548946654315114,0.5105253479243185,0.08027968387608893,-0.5540340655637972,0.07002791690992785,0.1285692174424396,0.18965856943270876,-0.05770032398563229,0.4861872368997468,0.4197206814715843,0.7348413656280062,0.22868865236276395,0.046201620878824956,0.47191462187212924,0.5892963261123142,0.4184341338704324,0.40312711577769395,0.25642158027907097,0.4987225851975761,0.3968634117055562,-0.29963433955697966,0.12241405795976405,0.17137496840991492,0.3809423339084524,0.29581681515169256,0.34365105247028016,-0.0925806901470268,0.14113580862878164,-0.14909070681922976,-0.21416936569793119,0.3851061904214725,0.14784218361036575,0.263472887935654,0.47716977016654416,0.3352636233544281,0.6323562370748225,0.5709644565609057,0.6495192384202509,-0.17837163786388047,-0.5986398332403308,0.03492075718873863,-0.0714095587470057,-0.38446629394720333,0.07976259055463178,-0.23208634912115628,0.13422901912229315,0.4733904701458219,0.43566762978216744,0.5223173417045568,0.2893533281547712,0.11259518035778483,-0.4792834249694159,-0.38732608346547553,0.1138276687555203,-0.3985599591845715,0.5241919882250824,-0.6333718700079419,0.6308868662343087,0.33827159019201164,-0.12855356083525793,0.06860832384085565,-0.3919995580318222,0.2661834823289032,-0.05044895759469287,-0.47044858358950775,-0.3221312144036104,0.04880391267746258,0.46514212856538345,-0.3945333596479263,0.5642495907071461,0.01667849764145495,0.31507291879022026,0.4308779071574432,0.06951483644061507,0.5021855987176161,-0.3978629706744312,0.17381822828930585,-0.04478788904790292,0.5776593877337289,0.1839771132289383,0.47383396274708556,0.1582818780336317,0.3952893097547292,0.6162159987748884,0.218443166288166,0.5632447709893718,-0.3399723535467102,0.11887310274858091,0.01117731839375127,-0.4310439039132356
ParaHippocampal_R,0.3517860649129099,0.26260571945747513,0.5599323362780942,-0.30593713488482727,0.5133597694047461,0.4360855513218924,0.24649706603042928,-0.3332181887150922,1.0,0.13067485850498445,-0.15181490053311505,0.6667671429387231,0.02486359454113018,0.5530380862432952,0.5486237145724782,-0.11444114763019486,-0.3268442501628201,-0.23407183250843272,0.6518326705259734,-0.058583702710782545,0.2535908599465761,-0.09902507239877112,-0.2253686519457311,0.7030778509084185,-0.10348241572691626,0.13985134746491318,0.18568275445549187,0.649476035215516,0.22173904018953292,-0.2003964067265904,-0.43855880156143834,0.4354442948547466,0.1843284455557485,0.013103416141212064,-0.10521109853904535,-0.17129626786708804,-0.2234861258361704,0.23376430381884522,-0.23423573492664682,-0.07121613029065474,0.36463003119036447,0.4690890768338099,0.23102245305669616,0.1530048268701484,0.12081406561598919,0.23790693652126085,0.1405170775161871,0.28038360904477583,0.432954793115019,0.7248153287923115,-0.16554578093539246,0.1741690568982499,-0.04877214530751112,0.07214340621219847,0.18617193368955193,0.09919372898787661,-0.03581833199234415,-0.5005374057134133,0.7141509414807106,0.6036211401106436,0.23844653397425725,0.43956619018728665,0.5567136580819056,0.36847959410269404,0.5863039474247265,0.06291984042088065,0.16632424017074518,0.24974332095718751,-0.12386658076591853,0.3199741416995259,0.1915951348028281,0.5108277971045956,0.729397513128538,0.1769290184868827,0.6733044536049088,-0.17452627739531096,0.5856281669395718,0.0328558429290657,0.02263624888267159,0.39246167138283644,0.2995797484719238,0.5023906988197392,0.33429351376197414,0.34388132301492846,0.31941613962663273,0.5125123060874708,0.11350224016899932,-0.18274519005526552,0.49128357175441995,-0.17444084133009652,0.5963714657301217,0.28325285930903166,-0.10406618168795508,0.13644848453917469,0.06700588746959481,0.3485999220402389,0.14417151719246205,-0.04854824277141925,0.08086167484999228,-0.26215186100160504,0.035305566480489804,0.3055259218283196,0.2496174122132275,-0.15119374776774527,-0.14731247147267035,-0.17161216180760888,0.7049343151580129,0.5255984007692397,0.524936576500115,0.3233205877821997
Thal_AV_L,0.017687410081696435,0.06104643786101268,0.1211711090343957,-0.019845960755366616,0.05608189308939987,0.15822569177841678,-0.10498040443955924,0.16415263011259515,0.13067485850498445,1.0,-0.05769476522627388,0.014045873911379687,-0.043137277174204125,0.0195930820475526,-0.08809446882412837,-0.09432510571812237,-0.157422290159802,0.11526858786981316,-0.044966622637424666,0.03983295063093264,0.06708578875748361,0.040214096188816675,-0.15447072391115996,0.011767346905590198,-0.10975986795690858,-0.22169661602663113,0.12860264562127585,0.244921176420482,-0.027380025559535368,0.04254322456984221,-0.002642983458886102,0.08292751401439258,0.1894089033506556,0.09959748827194644,0.07222902977773005,0.11141605216490764,-0.131217406882295,-0.05927003110817901,0.1727086084716241,-0.07138128615456256,0.05821465729482058,0.08063105143787151,-0.023645032663725325,0.16848336044598897,-0.050758803024747015,-0.08408386705692858,-0.02603920131128843,0.10443764864900106,-0.002560122971465369,0.022620390192811285,-0.08332829610557692,0.27278583879080376,0.053603475612187194,-0.1099385939077377,0.010792799636475343,0.37568165726933045,0.0029261565206072184,0.0472872971536647,0.13975647694922017,-0.012017511710211662,0.2501823453596592,0.14679324751325137,0.05071264510963199,-0.04216377913054113,0.011998833203949365,0.06205886799763592,-0.0070049316381104966,0.2643885845118866,-0.011249432557615105,0.41902034845842,0.010616636688097232,-0.050272519625313095,0.002829695365068658,-0.00220109171524684,0.05811713752350147,0.2961719479398015,0.12661844245628587,-0.031262215456698814,0.06643011719645547,0.00765214293212463,0.12016688213669648,0.04547970491096473,0.011969563764973616,-0.014653122932428672,-0.01272917774989166,0.07888655399662485,-0.047463075220128,-0.16199550693835071,0.19045419657918222,-0.0025529944224362937,0.11080982182063352,0.21131698323275924,-0.09512416647077654,-0.048621281475546445,-0.08442604107505033,0.010285309263601994,0.007031098988066657,-0.06673628675332437,0.37136893891603334,-0.11782180613856959,0.10800940913937165,0.055455992526953206,0.13960457173142884,0.03014163947095907,-0.0810845659749929,-0.0008493090449647283,-0.08632129206988838,0.1183815302832276,0.07827995672732388,-0.21639181580873565
