,VTA_R,Temporal_Sup_L,Amygdala_R,N_Acc_L,Occipital_Inf_R,Thal_IL_R,Rolandic_Oper_R,Temporal_Inf_R,Thal_VPL_L,Vermis_6,Thal_VA_R,Calcarine_R,Fusiform_L,Red_N_R,Cuneus_R,Vermis_10,ACC_sub_R,Cerebellum_8_R,Olfactory_R,Raphe_D,Occipital_Inf_L,Heschl_R,Supp_Motor_Area_L,Frontal_Sup_Medial_L,Amygdala_L,Occipital_Sup_R,Postcentral_L,Frontal_Med_Orb_R,Caudate_R,Parietal_Sup_L,Caudate_L,Putamen_L,OFCmed_R,ACC_pre_L,Olfactory_L,Supp_Motor_Area_R,Cerebellum_3_R,Frontal_Mid_2_L,Occipital_Mid_L,Cerebellum_9_L,Putamen_R,OFCmed_L,SN_pr_R,OFClat_L,Temporal_Mid_R,Pallidum_L,Cingulate_Post_R,Vermis_8,Cerebellum_6_R,Thal_LP_L,ACC_sup_L,N_Acc_R,Thal_AV_L,Hippocampus_R,Cingulate_Mid_L,Hippocampus_L,SupraMarginal_R,Cerebellum_Crus1_L,Cerebellum_Crus2_L,Temporal_Inf_L,OFClat_R,Temporal_Pole_Sup_L,Thal_PuI_L,Cerebellum_8_L,ACC_pre_R,Thal_MDm_L,Precentral_R,Thal_LP_R,ACC_sup_R,Thal_PuL_L,Parietal_Inf_R,Thal_PuL_R,ACC_sub_L,Frontal_Sup_Medial_R,Vermis_1_2,Cerebellum_4_5_L,Temporal_Sup_R,Heschl_L,Cingulate_Mid_R,Thal_PuM_R,Rectus_R,Frontal_Mid_2_R,Cerebellum_4_5_R,Cerebellum_9_R,SN_pc_R,Thal_PuM_L,Vermis_3,Calcarine_L,Occipital_Mid_R,Frontal_Inf_Oper_L,Vermis_4_5,Paracentral_Lobule_L,Insula_R,Thal_LGN_R,Cerebellum_10_L,ParaHippocampal_R,Thal_VL_L,Insula_L,Temporal_Pole_Mid_R,Rolandic_Oper_L,Red_N_L,Cerebellum_Crus2_R,Raphe_M,Precuneus_L,Cerebellum_10_R,Thal_VPL_R,Temporal_Mid_L,Thal_IL_L,Lingual_R,Precuneus_R,Lingual_L,ParaHippocampal_L,Frontal_Sup_2_R,SupraMarginal_L,Frontal_Inf_Orb_2_R,Pallidum_R,Thal_PuI_R,Angular_L,OFCpost_L,Cerebellum_7b_R,Temporal_Pole_Sup_R,LC_L,Parietal_Inf_L,Frontal_Inf_Oper_R,Thal_LGN_L,Cerebellum_6_L,OFCpost_R,Fusiform_R,Postcentral_R,Thal_MDl_R
VTA_R,1.0,0.17897713748755134,0.5978561873907644,0.003856482249306566,0.5715695461014261,0.19463905345962162,-0.14230862821543064,0.1063139506157812,0.2653376775647458,0.2512610350432459,-0.2634003649357917,0.4568394344768172,0.29294399980064806,-0.013919796264381086,0.5531560249106591,-0.10936799661768627,-0.48852698226033825,0.19279183678173206,-0.25929982378207506,0.3149553179080737,0.0918210350230612,-0.30370123688715955,0.4783523661581825,0.16747030097731466,0.05675156547188326,0.5346042627069818,0.4480550184752862,-0.4319813253953561,-0.07534883627532594,0.3735315961224856,-0.2072565726984586,-0.04265675096319193,-0.4055298126519083,-0.36222492057105454,0.4665367344380888,0.6285384697048999,-0.11326356060537558,0.15687120200699517,0.2231767433894236,0.2047836213962005,-0.3670585190482626,-0.3483737465593845,-0.2937452211867268,-0.6096459751045941,0.36659800608051174,-0.30379318248568415,-0.13309594646630435,0.34801488304744654,0.38421988702905435,0.37693437564717336,-0.07425971665616236,-0.07356102184492878,-0.002642983458886102,-0.1345957423740474,-0.03492705998965638,0.05345884837686791,0.3872932118805827,0.1986376331548842,0.3500192700910902,-0.011123497429890094,-0.2970958464276897,-0.3113086714679012,0.7348413656280062,0.013591123670661294,-0.2670756376969811,0.3684737230013581,0.34035099323465495,-0.03255266568563826,-0.11811281799990331,0.04481904134217305,0.40706496097280165,-0.06885485191456771,-0.5259319077594704,0.2802115761761294,-0.6127464956619921,0.19257525717158988,0.07397863937095252,-0.37148970773219286,0.27363120839746063,-0.39589285520569933,-0.5054269186782256,0.09730143710013331,0.01515422937761828,0.31044201080517014,-0.4233910195202916,0.34287333229319805,-0.12560411925746337,0.41890119187678615,0.5270585338817252,0.04779204974860428,0.2830009410889549,0.5500693593373535,0.2336210781430021,-0.08281002505545294,0.16425477896144405,-0.43855880156143834,-0.4581514453184767,0.11061036900985312,0.031804788762848424,0.1288500952308743,0.42152269914289225,0.31825671037268616,0.15642565853408963,0.5046874308893364,0.263982085739344,0.4347227131388944,0.2516443265317211,0.12708025179546684,0.5118533692764806,0.5214707389414848,0.47644334774277575,-0.2435664450229802,0.2407716398090956,0.40283715905890466,-0.3428047853990329,-0.007322268229793871,0.6656618668751086,0.44933132608817683,-0.41241525216395486,0.3091547438974175,0.09691223384557714,-0.03464783205312404,0.4752547225013287,0.33038869572356777,0.16602859619176397,0.30138160228802946,-0.40899396426116036,0.2774508174464825,0.33572988923885216,0.34374245986974966
Temporal_Sup_L,0.17897713748755134,1.0,0.19254940830169592,0.5520974730107385,0.025770972223208424,0.5780636243816023,0.3958523149071413,-0.1517926042846376,0.7980165137864715,0.2990324842720705,-0.13551310754867785,0.6488030476002756,0.6489476638884046,0.19393337411141606,0.47808699952560857,0.44225200728004915,0.03856442841034432,0.0695982284462566,-0.08015516561479394,0.37113375789310926,0.37396457886767637,0.07394552263424722,0.49501856725367777,0.5000442071685677,0.21571545132975628,0.3118275508713206,0.6592065151307656,0.14873116694649802,0.20063540185827247,0.48184351359108707,0.6592882788248267,-0.29847759440690125,0.2244603141442434,-0.05725226756378592,0.4151274811628365,0.38576429599819895,0.1996936567706704,0.6170956731193666,0.5393829109179701,0.3194950829841724,0.14853239801903367,-0.15899700055962718,0.03252370230355461,0.18851708670533415,0.007096584452914015,0.26362494130327613,0.4326281022455541,0.1244749325160351,0.2582241096554058,0.28931487306927245,0.36969572890715574,-0.378866051093953,0.007031098988066657,0.29342727085428827,0.5671310178082564,0.5186432254149679,0.16911260798477523,0.3063212021047861,0.22875269305702653,0.6380251422830354,-0.34735584884812715,0.25712483443296213,0.17381822828930585,0.1639376723789236,0.2892898564809653,0.3462917326401659,-0.010840773590658883,-0.2355761102201798,0.4263504936785073,0.14033267892435128,0.14009565040563993,0.06017607446976609,-0.23766681579335439,0.14543709013429382,-0.11711056658362103,0.5536883056630524,-0.03702748084338603,0.12092488223427306,0.5326045392998018,-0.25092567467166954,0.11411561774584277,0.10649221603676272,0.43048110005962287,0.4412113164622214,0.19495983477650328,0.49231038053359405,0.23838006394721195,0.7142872957459561,0.1518086394038896,0.778166813539008,0.5235374178573587,0.4361422756742653,0.6222379340260916,0.45623017977133024,0.33939971761156645,0.14417151719246205,0.5007959019637824,0.6468809414483169,-0.14589066041040225,0.709269729598878,-0.12217982862043533,-0.006394593699339935,0.11944717113018302,0.4995272883444182,0.25441377862415593,0.6455761511489851,0.8556515290383871,0.4760749187707272,0.5843510610952185,0.5989040018851214,0.7237174909025157,0.06981198431899156,0.11921997880824023,0.7021420456514958,-0.043893518336631875,0.0005280561699345077,0.4829696935515863,0.5951761097949052,-0.20174695191785252,-0.02316681469988663,-0.1530788307689604,-0.11923889064814208,0.5502256662530113,0.05831358783344468,0.364243892153994,0.5557213982764344,0.14567192164084208,0.410246156592043,0.002546457642203505,0.7168539659839003
Amygdala_R,0.5978561873907644,0.19254940830169592,1.0,0.2200365569777022,0.2567065408824169,0.4308400934743818,0.3128342752382654,0.05953965939463177,0.24402766575128218,0.22955838573507809,0.11454443490075956,0.3722568855002855,0.4502210022441233,-0.04144948953836521,0.3933252600114633,-0.019640333238177696,-0.0912809264535525,0.10840087790566842,0.16807089173649495,0.1815720673891631,-0.104715219228477,0.07151196430419716,0.39722578552726917,0.20274162855498182,0.05845357852356589,0.38190333072622434,0.2472106506431672,-0.42837739066786196,0.14253526955942863,0.11831883316568272,0.036127983391902846,0.20056844002738966,-0.11549769892647456,-0.15746557610160636,0.5311371816725721,0.5169763293945078,0.19178476941451003,0.18782932363851856,-0.07910844344803485,0.2984045740528642,-0.030903811765975574,-0.10705316287497202,-0.20661164321969058,-0.22546542439021777,0.3167207259403043,0.17123553094079266,0.15408457416135932,0.30861792442469066,0.3472219649526937,0.112518231935925,0.06778108913529057,0.04529817742845198,0.03983295063093264,0.47952105148641555,0.1429958992567306,0.35411613955860294,0.43681443517696694,0.10326173808926972,0.1904415729909147,0.2474021523696667,0.10539832660117036,0.07735340598657804,0.46283759104668853,0.0660201050591551,-0.12870231048908606,0.537644344217022,0.4189541386344533,0.3069622501255828,0.19661863750621494,0.13068392908451074,0.35509835411447893,0.2067661867653404,-0.12686050182721878,0.2842013706083247,-0.22747376750629952,0.3425798626087977,0.25396055968825954,-0.0735086280519047,0.35798838672791883,-0.06582101577614166,-0.26075838014855374,0.26901647873260537,0.4388566436488437,0.4015938015278122,-0.41171656389105704,0.3261529469489975,0.06301643554230645,0.333919300159474,0.33708877053529746,0.19006265754738536,0.40271499786636483,0.38381994237356376,0.5204035951935734,0.031526083857563815,0.13106928886419075,-0.058583702710782545,-0.06941904317555961,0.21004208113899855,0.19321734883884126,0.312716265029733,0.32549601154249697,0.08241205955308421,0.25694606438084683,0.3543821249843444,0.46195449632623503,0.45147233374421225,0.27443423814892365,0.3324302694796623,0.46637482197234537,0.4242667773345843,0.42505514203658507,0.3378541118602924,0.3222665465491648,0.19092759923773772,-0.02685577315411732,0.22774150573495822,0.41328620547145284,0.1526480820238362,-0.03707895630298542,0.07074980568443914,0.2530062670026413,-0.027135325279267236,0.2215959106360273,0.3982955358819941,0.21622287575822755,0.23989095483263087,-0.06356091540685578,0.5249962181946489,0.3746157424917003,0.5539296888866699
N_Acc_L,0.003856482249306566,0.5520974730107385,0.2200365569777022,1.0,-0.25009284969501205,0.44737383761617355,0.41710719262309337,-0.3648386371367839,0.2825420520102163,0.05641267435408655,0.17220907929518506,0.18302412295174245,0.5728941065569231,0.5668036036935369,0.015019408995770306,0.19057956474742047,0.1996918984972304,0.14685431228931184,-0.03636813754223211,0.12734345939538924,0.28119246055370645,0.34539818340945655,0.25499924589322415,0.3390625175790645,-0.2763653565494317,-0.11350233873772476,0.21063041944576455,-0.006177329167637272,-0.010516264375219637,-0.0018243735439007992,0.7155417301321041,-0.2877862700746199,0.11647833052751727,-0.07442766591860472,0.3785744906837941,0.22893445382369584,0.0593352340840384,0.5002310471669855,0.24963293661456792,0.3614063410966804,0.2404209972314455,-0.13592188137806843,0.08678073475904627,0.2836573906148838,-0.38418580914946376,0.6283897479698639,0.2745706967338694,0.20890028745523395,0.14772784830088262,-0.25948305225145557,0.1638097960974201,-0.4726496107774621,0.018654479440660548,0.21099684214199085,0.4063986523707065,0.09778876179445947,-0.09869141743128389,0.34978243587425367,0.19515526885474085,0.7058326010374212,-0.2629138089960694,0.4830814804988035,-0.16888089251635666,0.38814568920895587,0.1117210912670916,0.10480914331380344,-0.013445137295285469,0.015769914585736015,0.37471804640404904,-0.015201228116961375,-0.17641125690057208,0.11900886540758422,0.010288827179343903,0.16452775066628667,0.2713346995758533,0.38808274779352986,-0.3260950823618088,0.45774931777264566,0.22142982493119978,0.08414056055054281,0.06124908456602061,0.17336623360467268,0.37806015808967136,0.42635240079888503,0.3024580770721461,0.13522055732748875,0.3560449049788394,0.2292493637432699,-0.25742195400896845,0.6748197986443625,0.3922092359926705,0.004059557987961579,0.3274891776000256,-0.007543444052632832,0.4655699213557792,0.14758104023798307,0.4901894919178339,0.1233297428144298,-0.222494071363573,0.4379853884486463,-0.1329050048563217,-0.09507584522304294,0.15559695412048313,0.02249137193933431,0.30014191672823176,0.1405553551557979,0.6806921119088446,0.1729938920419345,0.3081067976686784,0.15712969938075583,0.38445770150671477,0.2807561744022735,0.13393038826433462,0.20289263499815,-0.17672829611307855,0.05157086605257273,0.06957326034103602,0.08263550157745805,-0.05903059089257783,-0.11535588532521777,-0.37395556087213705,-0.23605628740773332,0.07741551609889966,-0.23704685618691884,0.003574090258605166,0.31204818721848715,0.024253059241563794,0.20973942420788838,-0.16726336921489118,0.4900918899907546
Occipital_Inf_R,0.5715695461014261,0.025770972223208424,0.2567065408824169,-0.25009284969501205,1.0,0.07933580251025238,-0.15529928425034,0.4402480708268361,0.23299736608083355,0.546912229450612,-0.3649639382845607,0.49355987363466125,0.2465834005961076,-0.14624140790159196,0.2502054870411367,0.2606227281848965,-0.584774204495621,0.5847840532197939,-0.2879613648532856,-0.0619793110845038,0.3062318913607741,-0.4490848687058005,0.33560103567882194,-0.05966210924183543,0.4510890932592365,0.26892015766204597,0.06950116391634058,-0.3069464448167835,0.13535200092757865,0.02933079778632721,-0.37427176015948244,0.21300652721971053,-0.3879275461924933,-0.3620782450965467,0.13931022917224248,0.3626107700036314,0.010556708395881024,0.1251797774905919,0.21280478889048435,0.33089808234491624,-0.45263734741005146,-0.24254976322270905,-0.1207930082509136,-0.5419423024998967,0.5496917766938332,-0.48298040865172565,0.006973797429789192,0.567687879151462,0.6968074167796806,0.39034904351935057,0.14725682793739153,0.28010430202811326,-0.06218249643507368,-0.10556872867315735,-0.01730266928232388,0.18483366748687582,0.3023631583550044,0.524083079704478,0.5873660296254849,-0.16150289816034208,-0.3626050383708424,-0.40761746566720075,0.5390687651504595,0.37790444302522785,-0.3842298639188144,0.3043295475179877,0.4368831470156106,-0.22333716105143792,-0.14214908975098878,0.1887084323292205,0.1613735577351052,-0.28374460989640715,-0.5538626878815412,0.2417213823910104,-0.5534077557395005,0.15020711109076165,0.28826727915416334,-0.18376363865196682,0.20049796169652162,-0.33089569608048275,-0.4584492720982033,0.2957664692507279,-0.07675494002667234,0.29809615513798615,-0.16144880256110744,0.3201791605460491,-0.3016721092923019,0.3828182196383358,0.4389105633189209,-0.0768705392301289,0.08397821021836793,0.23373275864212595,0.2530729321498491,0.16054514070217318,0.3399815095508336,-0.2872514725283717,-0.2989181211436546,0.24479759925571867,-0.06402900788053177,0.08478383676791217,0.33780507597425646,0.7421650865064109,0.1711832387279827,0.1737798647370017,0.29382363229943453,0.35274194228410005,-0.016782293562348713,0.2858043856511397,0.5181480209946236,0.0928182418712799,0.5320170376720574,-0.2384784541320478,0.3009644732528755,0.06839740713529266,-0.15347218159938175,-0.1078562004405706,0.45174458125405215,0.168521997066758,-0.3497324800805723,0.7091798864711649,0.163881112460103,-0.020623326668800568,0.0678122571387093,0.5129212404761906,-0.002483500980168551,0.5809571115538747,-0.4326946996198112,0.1841507111367466,0.33506381631716137,0.12354315007785278
Thal_IL_R,0.19463905345962162,0.5780636243816023,0.4308400934743818,0.44737383761617355,0.07933580251025238,1.0,0.5400705117939756,0.10557965304170834,0.5253743648705294,0.24647695340148615,0.4636627057437994,0.5246635506032221,0.6105653678696198,0.34263769550178685,0.34982583936463174,0.41065593572940123,0.20286765964362227,0.21458539456416187,0.24725359391387017,0.1515155853710747,0.06196311661094455,0.3771485748045305,0.3267506944693123,0.5753193831904526,0.09655869713726811,0.21076061903114804,0.3546454200880921,-0.09625353543020927,0.5266137371843581,0.11959073139781312,0.5914802614281871,0.0132638078718724,0.05239083906871187,0.17943584320065384,0.4796588571157862,0.2949207834595383,0.42369167039293654,0.45072103796812746,0.05646862222848449,0.4248362823280749,0.2892046508417923,-0.14500732494383772,0.09069199811586393,0.12749126994217994,0.14772847766264158,0.4118851156063453,0.5737740475999256,0.23301592831679738,0.4054000135540631,-0.039471293847836306,0.4039437774097584,-0.047015653824638105,0.41902034845842,0.5555681660219246,0.48259977840989743,0.5102683088724304,0.18024794421820386,0.28665000135508373,0.27938897855835065,0.48529258699841255,-0.1238209045001404,0.35796764372061096,0.2893533281547712,0.23951893640174216,0.32337110993284024,0.787514696397921,0.10949987572199102,0.21745963670230642,0.4642774152273796,0.17974881086906305,0.07731067752678832,0.13547142910064575,-0.06528754682215616,0.38065330110973356,0.060691881946434656,0.5992031877326442,0.100868594612375,0.2228782570230569,0.4780282446156544,0.057272043040475576,0.028391733262992967,0.2633755111291427,0.7010327360445808,0.47091659898223964,0.15816805543067863,0.40626636747691375,0.3308408249597319,0.5711066531982145,0.07146757059341201,0.5133623902934205,0.6467826237001386,0.28125220760064185,0.5630580024969829,0.587252343820312,0.2437968053597916,0.3199741416995259,0.5758653165561737,0.3736435988414446,0.053232065084800884,0.5308924614533262,0.13752315782992725,0.13857200664863845,0.37000413901926216,0.30653920823958763,0.40970380105483106,0.5895688212528845,0.5985969155894978,0.7629209178988191,0.5741810407774467,0.41526750966009346,0.6278992369702247,0.273843751111241,0.32788705387454903,0.30911010829569857,0.11701803890856975,0.20627538584063013,0.31718311457075693,0.20048727028898788,-0.07293562208507387,0.1500147032030071,0.12296812738354647,-0.13569163796879646,0.2671202745736198,0.1644374361638889,0.5809143836598251,0.45562513357820944,0.07470428042060388,0.5193347085672565,0.04436081562030612,0.8298053675461796
Rolandic_Oper_R,-0.14230862821543064,0.3958523149071413,0.3128342752382654,0.41710719262309337,-0.15529928425034,0.5400705117939756,1.0,0.2062843997358403,0.18412248987164195,0.2710264825521003,0.5108278171488809,0.28003400654423033,0.3890070731992346,0.30093534105239084,-0.02365468528198254,0.3308485238859214,0.5762480805618129,0.27838692516637453,0.5521303692773734,0.06726467157501177,-0.131789817191238,0.6752833395892127,0.17130346828412418,0.47138435179412863,0.05948265099169677,-0.10270318589933224,0.03672219140906328,0.14109179390730592,0.4253548769896255,-0.19872784614871364,0.5849241119484319,0.13918022512765293,0.31800101575706985,0.4091523633636255,0.11391839413312935,0.17041659621374677,0.6028219952386764,0.33381909154770467,-0.23213723645198203,0.47366712511928455,0.5835762110505753,0.1820183303793477,0.4074053770114509,0.4011877436517694,0.22550976406200476,0.5567664893118365,0.7318666644745063,0.2084112630726944,0.3780992077104591,-0.27764329050116177,0.4619809431551949,0.07332591864219531,0.011998833203949365,0.7586484687532802,0.6177375042546979,0.44083545076473646,0.0833817980060659,0.13566858434821802,0.08097137775841695,0.3907596231008085,0.2648680714477866,0.5230001944865481,-0.23208634912115628,0.2812722747988618,0.4706142059779525,0.29603521098656965,0.07857376764430705,0.37197687998383183,0.6699897103586925,0.2712177822661483,-0.13813832017631875,0.19774593753900774,0.38308820873549815,0.4330673042800432,0.36322088361314725,0.5118563054290154,0.418741061365385,0.41908226188175274,0.5172542878882425,0.41264639559174837,0.3831319170030471,0.3481308212873107,0.7120163896337305,0.5293329732849639,0.3191495880614505,0.15311649989983095,0.3806860483235646,0.18145951173758093,-0.2061484307137687,0.6169434719624729,0.44789478865362164,0.06565372113604175,0.5650861480744354,0.3447574337543323,0.30789222107075886,0.5863039474247265,0.6847028369716888,0.4121646914395026,0.32023106192871703,0.6109513674349034,0.0469702770164019,0.044810208707776036,0.33515233414979745,0.012100287931747639,0.6103994270195896,0.1557237766087963,0.27759965748295007,0.455779706602536,0.4201414600329544,0.17384797051218046,0.33593515775066257,0.5029418785010431,0.32925227178755406,-0.005401883786415198,0.5223695783273978,0.45734703484360517,-0.22079765128724013,-0.17547683643340442,0.2856474531532203,0.04336278224271812,0.35450254644086254,-0.03367910023955129,-0.1440272174505935,0.20335201501459965,0.20776488748374242,0.3174899823684538,0.40740718039049634,0.5910432488912437,0.018908339616587055,0.43293837181874617
Temporal_Inf_R,0.1063139506157812,-0.1517926042846376,0.05953965939463177,-0.3648386371367839,0.4402480708268361,0.10557965304170834,0.2062843997358403,1.0,-0.09099918728515213,0.16696428370032107,0.29728816035669914,0.18501763171891014,-0.02249830249204588,0.11118697824670185,-0.08035099746110765,0.11153515833615187,-0.04965542384086366,0.47053266144774764,0.36952483621999455,-0.03993447532123423,-0.18113231874848365,0.20559829656886844,0.1722873740837952,0.2665066542497643,0.4131840168013,-0.1483681987299491,-0.05977564664663175,-0.031347320018591314,0.49067669794583263,-0.1693946389151396,-0.22810442223494706,0.5352383043495456,-0.17963523536905418,0.12369407221048913,-5.9559411929328894e-05,0.1551782275020631,0.5004270413059037,0.18574454798944526,-0.24624927129725752,0.4730174425338464,0.1726849338712665,0.04597056131993906,0.44763804933350315,-0.33656052599352015,0.7783782203981784,-0.19659502767179318,0.4559615803689552,0.11989292689279511,0.5150091915070155,0.032489175448594025,0.3878784355082548,0.7246425762540339,0.06362795144858507,0.289140060568448,0.20043105195554234,0.2898591305645138,-0.14477703291014668,-0.10464627837359132,-0.10631741238197794,-0.3175862102636777,0.4171140475391689,-0.3280755005303663,0.2627630249860374,0.07545358097861438,0.19071666848484434,0.3079885905811056,-0.017941631966730924,0.21698882554397111,0.19107461512726356,0.28874608357894727,-0.22003602525834878,0.12433007877076338,0.06131956836806858,0.4990469388306793,0.10680204757140145,0.4079336858556924,0.6320503048671778,-0.017955804929338397,0.3073591457755092,0.430183987389973,-0.04554053559375728,0.16495686922039435,0.36395479417672666,0.36061072268134875,0.15108374789914075,0.2933570137505743,0.27739143328141136,0.09611631333064118,0.00531920652733719,-0.07914457890066041,0.41130804294172907,0.02955882943641103,0.13769333020802715,0.15600052762372818,0.10825865793744557,0.3102641225420914,0.029867613351213577,0.32696395676155,0.47408492335896313,0.21050780261205632,0.6036021688935826,0.5445113651525284,0.1702308842464526,-0.002603458851890831,0.36194775727798584,0.007252405585930049,-0.39989077074474416,0.3801104401992603,0.38113962562541576,0.0009278693345208739,0.16116630151516137,0.15132415442678826,0.24706354926311275,-0.1514820925843406,0.5799799213173681,0.41226187492897776,-0.23331239526823805,-0.22981581417678898,-0.0008672464322313033,0.5402617320650113,0.7138713960721875,0.49089208978627374,-0.11726622606966493,0.48193094317075663,0.0050530663864925204,0.1965806885061211,-0.04989507446907804,0.5109427815083513,-0.05786871442113502,-0.02946922869368706
Thal_VPL_L,0.2653376775647458,0.7980165137864715,0.24402766575128218,0.2825420520102163,0.23299736608083355,0.5253743648705294,0.18412248987164195,-0.09099918728515213,1.0,0.18758778824983952,-0.319764522332761,0.784499054147072,0.5110329859404623,-0.07192297657368403,0.6449518582181283,0.4189892095291799,-0.17881644858577864,-0.059084449931396575,-0.14851121221111685,0.45179208150918426,0.22781781409258411,-0.23069065389167231,0.5498859008802871,0.37094240161722053,0.3648453308825237,0.5599485492418278,0.7073548693025432,0.012662477546389488,0.4050001227825903,0.5321010611911614,0.38378118682265394,-0.20103895060731594,-0.08388754730140986,-0.10470215866365166,0.3357218306219009,0.37481522029290887,0.027613626906573853,0.46973971827526245,0.44079583192804184,0.09275832385088693,-0.002174018294480472,-0.2725387686323696,-0.21424100127795714,-0.004049940926788218,0.16283406282477955,-0.09514327415528956,0.2998800107333902,0.0800558912547689,0.22141913912231,0.6234707448974912,0.427276949385179,-0.1881228050753835,-0.07138128615456256,0.24789866412866773,0.457345777702611,0.6035981951592604,0.3649150108195134,0.23054612789839188,0.26871577592824847,0.39141973771807714,-0.3872051150566179,-0.03650223694076065,0.3968634117055562,-0.05396363751286113,0.2113603657346868,0.49607388761300086,0.13449334262098644,-0.25685036029802094,0.29052072276724533,0.14587545462069734,0.37912729529835715,-0.1359593903323186,-0.41841707811001716,0.047380160723782344,-0.46365790492700276,0.3856384313786113,0.022946033240337154,-0.26216305946426866,0.5407014097054984,-0.5035745768777344,-0.16160444750601455,0.0836849406678344,0.32414344878560586,0.27946083326443516,-0.028901558560868134,0.5684197828832134,0.07311730953847907,0.8424659178071536,0.46315878887121686,0.4144397680629548,0.36131757081922844,0.551486012663836,0.5414190018628078,0.5888783176031102,0.09464076491319871,-0.07121613029065474,0.3852188442762696,0.573665659697328,-0.1665974054251819,0.49207780069136847,0.029945990400210974,0.041074962319370405,0.02566118817832471,0.638503660328722,0.09349299701959443,0.8976167608605006,0.6373007661042726,0.6265307614673735,0.5536879778867285,0.6346881531657373,0.6767250469195122,-0.11821525216425628,0.12153457015018593,0.7762286847986587,-0.1108894925772895,-0.08246420247569307,0.7055754133190644,0.673470883561841,-0.2984686748796582,0.008612679739489995,-0.09464852078745314,-0.00023017158198223794,0.6287025844285234,0.27343548872189055,0.3769616086513844,0.4900134397185737,-0.06653099873055637,0.33380033578065693,0.19885884810271662,0.7358264675121898
Vermis_6,0.2512610350432459,0.2990324842720705,0.22955838573507809,0.05641267435408655,0.546912229450612,0.24647695340148615,0.2710264825521003,0.16696428370032107,0.18758778824983952,1.0,-0.14498126235949402,0.3501092866102859,0.4869221420019585,-0.02779826990788359,0.04129311518356236,0.409845657535034,-0.07074607420530597,0.6484668767410309,-0.06168801663249397,-0.31783781092732755,0.4247685840132552,-0.04250349024433601,0.20227567023239845,-0.009748168870517637,0.5173687155902552,0.0198003968862434,-0.06103688876949102,-0.10997999661595044,0.01961122877793266,-0.07689146769852094,0.09305372304208842,0.1425829286605182,0.26521636258851816,-0.2019422425525823,0.2126228193069367,0.28189299926184713,0.42856680598755487,0.2099427233322702,0.22506790175183233,0.5122279591084506,-0.19411156410739422,-0.02464913897245753,0.08578352119905538,-0.015426667229237254,0.26742031530702737,0.06388343359963063,0.17995810012831362,0.7514518456149819,0.6814911768466162,0.05895568648513223,0.15620291211907938,-0.03587383983224974,0.005802550277926307,0.24580661813375596,0.14868731899114485,0.3949988577267033,0.19648846039520285,0.660032156197241,0.5959127157957242,0.26553522851052563,-0.3335243736050295,0.13393236435362865,0.10074740334949052,0.6366005505917224,-0.23218163163497063,0.14224372486528075,0.331134891993022,-0.22427286597140778,0.11343333836449039,0.14272893514848103,-0.015131517208404409,-0.1040915392963601,-0.2335261924178209,0.2269865519834721,-0.1633708873804353,0.3418680082972619,0.2500147403419876,0.22484585865134893,0.18778574811585358,-0.14775640567820345,0.09016449641314687,0.3722362294198289,0.1647173404334946,0.4926852762254761,0.09823267683307269,0.11630622134756753,-0.3485491532327959,0.21856238523398938,0.08315157826162817,0.3540303397558773,0.18767069547262727,0.1084975468965752,0.5542687608057708,0.2474247827588698,0.6179815660004141,0.17417296583006228,0.1302615035355323,0.4646274742802556,-0.0150388924301039,0.33075148530744247,-0.10447507323165632,0.4814578002074297,0.5156555079168724,-0.006937994154551516,0.5428916181599217,0.180020718603076,0.28800208392621995,0.20815377600024484,0.43473940711807335,0.042041464961404984,0.5470770882403871,0.19864204361607338,0.3090591192538489,-0.02788670688747403,0.026788638087808275,0.012192784705890353,0.1875679424881114,0.07281138073032511,-0.09600182865217109,0.4367727656073512,0.06259170330080342,-0.34582545098738254,-0.10253532625160952,0.2598894531267369,0.13024362051402646,0.6959825336450366,0.1399838723531729,0.25306073487108344,0.20318835180598002,0.18983266687120792
