,SupraMarginal_R,Temporal_Pole_Mid_L,Insula_L,VTA_L,Thal_VL_R,Amygdala_R,Thal_MDm_R,Supp_Motor_Area_L,N_Acc_L,OFClat_L,Vermis_3,SN_pc_R,LC_L,Cerebellum_6_L,Putamen_L,LC_R,Amygdala_L,Red_N_R,Caudate_R,Vermis_7,Thal_AV_R,Thal_LP_L,Temporal_Inf_L,Vermis_8,Thal_PuL_R,N_Acc_R,Temporal_Sup_R,Frontal_Mid_2_L,Thal_LP_R,Paracentral_Lobule_R,Cerebellum_7b_L,Thal_IL_R,Fusiform_L,Raphe_D,Thal_LGN_R,Cerebellum_10_L,Parietal_Inf_R,Pallidum_R,Thal_PuA_L,Thal_LGN_L,Precuneus_R,Thal_MDl_R,SN_pr_R,OFCpost_R,Calcarine_L,Lingual_L,OFCant_L,Occipital_Sup_R,Thal_PuI_L,Rolandic_Oper_L
SupraMarginal_R,1.0,0.17112798536838564,0.22891945208463968,0.029859185511509873,0.41811279495258896,0.43681443517696694,0.5436263469973803,0.320549127819592,-0.09869141743128389,0.09526835732194792,-0.10127890369844533,-0.37899993513059616,-0.03958072279160835,0.244691102898885,0.27919505721912014,-0.15904456106232442,0.2707098991927708,-0.44668715728397757,0.3086183220519094,0.24818958736361685,0.20422325507571526,0.5649194644830106,0.22505243326423682,0.1442157425657291,-0.22059490125818712,0.1537199148932714,0.4410771493170107,-0.1980980242500731,-0.006956927986839224,0.39616842165285,-0.024190402057333985,0.18024794421820386,0.3238940618660757,0.35663796899881545,0.39756369860507007,-0.10400743042329814,0.886045161953345,0.000921996838947883,0.6007913795011778,0.360977950583481,0.5006996659793822,0.2970199706930262,-0.2656900249702396,0.011120882189839212,0.5267154676985323,0.3955111447002013,0.2627556740245616,0.8164071837236097,0.45071048108300044,0.1568760533149419
Temporal_Pole_Mid_L,0.17112798536838564,1.0,-0.015162114866213263,-0.2793908328368055,-0.017762275843634115,0.17545098347472,-0.22920664051209694,-0.1488784649862007,0.412046300572731,0.5857817461119131,0.2551060279052419,0.14232289470312998,-0.18083877250914138,-0.020388782723225297,0.2670139217795957,0.25573999486444426,-0.1441935337937333,0.17192711005051484,-0.00904077313274397,-0.12672285029644068,0.06938894529062196,-0.36114055667106515,0.5993560703592182,0.05714369641968316,0.23957709792854184,-0.13154706889610573,0.11892352570052499,-0.11295595763023346,0.24785704254190014,-0.07873717306863343,0.17111087357927238,0.1381500045941633,0.4078777408937321,-0.1360267731064049,-0.04821469607225159,0.15249321348831535,0.06782672256667091,0.20072098916934816,-0.3489852454072002,0.06270944465256104,-0.11973787693506456,0.07776424514141747,0.1641482458532544,0.4647938170560927,-0.10092278580054895,0.029181559323113435,0.4362191230863328,-0.10580879238393726,-0.2490659645832286,0.1687671765467627
Insula_L,0.22891945208463968,-0.015162114866213263,1.0,-0.120584458547875,0.6050903070122194,0.21004208113899855,0.5483906810237432,0.39125767223572827,0.1233297428144298,0.0628925959244075,0.11229227825581851,-0.0041082016305694444,0.03565546751644547,0.5649946219208836,0.3256167849558521,0.14349752318938483,0.5912738134709628,-0.15653337181921,0.38394582239466085,0.31056390030458136,0.4395699972856408,0.32188096450613546,0.32398834533290205,0.18315029216324513,0.21834223975232805,0.10524290200107098,0.5059600453155164,0.395286256312537,-0.03277935888947679,0.2837258811604977,0.08599221379521459,0.3736435988414446,0.5178541837847283,0.11534217308143846,0.4686156565842644,0.22148197248221327,0.12666733749031042,0.13531588838933123,0.41172786179866216,0.3146950188530753,0.2896415995278803,0.4757951889765717,0.14841208190928493,0.24546382294948704,0.49722387504257515,0.5946918524284932,0.1387048600278416,0.15173017540545145,0.25642158027907097,0.7987979285137371
VTA_L,0.029859185511509873,-0.2793908328368055,-0.120584458547875,1.0,0.16023709252760968,0.3493768630755138,0.31970369246416547,0.39570893739943613,0.1702585968504068,-0.5415519783024669,0.12062517162733964,0.04909495043198226,0.0848930165929528,0.29631785429189356,-0.07480403137059846,0.42068141516966806,-0.06382268429889212,0.4964564778618689,0.15502852526211844,0.2686398232611949,0.11973276039262495,0.10390717753114022,0.012709994100858964,0.3873575155796331,-0.01786733343089885,0.03770365686322678,-0.09772683442260231,0.33539465670798296,0.07347372792249915,0.25439390575909754,0.2480144517715224,0.289749576895666,0.25320627016864017,0.2052138989069536,-0.10063508952549938,0.3745485961415789,0.03395523475739542,0.10728738575781076,0.19452627856910315,-0.024129770915887826,0.2863654614784087,0.3214991905193737,-0.09428520559138495,-0.616104262292624,0.2887826022960056,0.35511189829480183,-0.43527377096336034,0.1912292732461815,0.49714791341390746,0.047600817892157164
Thal_VL_R,0.41811279495258896,-0.017762275843634115,0.6050903070122194,0.16023709252760968,1.0,0.3347652786098849,0.8184692921901019,0.5720735549243443,0.3212051296612627,0.051118604368947954,0.2100684701460259,0.06132803536357155,-0.02383744651275251,0.5325536361361297,0.06352257393333705,0.18623296073470455,0.3780079675586749,0.041174391660708784,0.6909981382253648,0.366371550862846,0.8572053724268849,0.42182426054876904,0.4238075044643871,0.17796837313679573,-0.028898446323031842,0.04398949427310793,0.27489395221129964,0.5369170147329312,0.0010624661336697805,0.3547180608023417,0.16528418220454885,0.7955138259548169,0.6067535097606922,0.28146391491939715,0.7474542100257703,0.16268906250227677,0.30860368875759236,0.04568315639258214,0.5363430881303922,0.5018071689490848,0.5361968332014355,0.8315090540179643,-0.0530534194756516,-0.049924750136570405,0.7937974110732339,0.6931694845595515,-0.08452845730857354,0.4239660817832612,0.3809423339084524,0.6056481285476416
Amygdala_R,0.43681443517696694,0.17545098347472,0.21004208113899855,0.3493768630755138,0.3347652786098849,1.0,0.4114995773650913,0.39722578552726917,0.2200365569777022,-0.22546542439021777,0.06301643554230645,-0.41171656389105704,-0.027135325279267236,0.23989095483263087,0.20056844002738966,0.2873471992510862,0.05845357852356589,-0.04144948953836521,0.14253526955942863,0.2339465515220482,0.2382934986017836,0.112518231935925,0.2474021523696667,0.30861792442469066,0.2067661867653404,0.04529817742845198,0.25396055968825954,0.18782932363851856,0.3069622501255828,0.4551882075853317,0.11345306342802529,0.4308400934743818,0.4502210022441233,0.1815720673891631,0.031526083857563815,0.13106928886419075,0.35509835411447893,0.22774150573495822,0.2594668553965866,0.21622287575822755,0.4242667773345843,0.5539296888866699,-0.20661164321969058,-0.06356091540685578,0.333919300159474,0.42505514203658507,-0.12536091825931006,0.38190333072622434,0.46283759104668853,0.312716265029733
Thal_MDm_R,0.5436263469973803,-0.22920664051209694,0.5483906810237432,0.31970369246416547,0.8184692921901019,0.4114995773650913,1.0,0.6222655767291025,0.11968714070660606,-0.26266674966825704,0.0034036425103971973,-0.15599369338432115,0.027037288541231125,0.5382531795891885,0.04956839248079174,0.07363981395411624,0.4145432111926212,-0.13353279360628267,0.4849605357830159,0.36243591776008716,0.6343926955368395,0.6900351093451657,0.278817730480773,0.23984683802550225,-0.16774893190280643,0.028330115042739128,0.24136475847939576,0.3607740227048636,-0.19346174215042827,0.4236845774544422,0.09036727728058197,0.5362724933952348,0.5319022343968407,0.35649589396255515,0.5162766553774298,0.1355219644093902,0.4917329089335186,-0.038498239738473945,0.8394637451533777,0.32275225578742445,0.6055068187897152,0.7534559219196473,-0.21239216144655543,-0.28217266753332243,0.8509802764896252,0.7153440745903197,-0.20250948856004417,0.6454387658766362,0.6532375179655792,0.4249327170414876
Supp_Motor_Area_L,0.320549127819592,-0.1488784649862007,0.39125767223572827,0.39570893739943613,0.5720735549243443,0.39722578552726917,0.6222655767291025,1.0,0.25499924589322415,-0.36275086765840725,0.17365662458505715,-0.0952448214953511,0.14971529550358056,0.43110864178342523,-0.006690694918473903,0.36077674665292175,0.2732186921080414,0.09116290459317479,0.357196919141465,0.24361898906349597,0.38475102016791773,0.5326890665398707,0.2729538870380878,0.2663295175499185,0.031236143495638097,-0.004052575109817036,0.166968177997981,0.7197688541415418,-0.14729316996031377,0.6161044981189793,0.08924414224537612,0.3267506944693123,0.5071530003914111,0.3815628515541107,0.18594711163253708,0.2931075614315121,0.3137986022940085,-0.0006958088531528756,0.5525970651818777,0.10130646318415593,0.5986879358716182,0.5755241514253276,-0.15112378199349383,-0.3224381749753001,0.6261073233947699,0.5879094389031505,-0.25376040461618277,0.3855378387734304,0.46514212856538345,0.469223368329638
N_Acc_L,-0.09869141743128389,0.412046300572731,0.1233297428144298,0.1702585968504068,0.3212051296612627,0.2200365569777022,0.11968714070660606,0.25499924589322415,1.0,0.2836573906148838,0.3560449049788394,0.3024580770721461,-0.23605628740773332,0.31204818721848715,-0.2877862700746199,0.5304630361213547,-0.2763653565494317,0.5668036036935369,-0.010516264375219637,0.09253064989725239,0.5046001885454322,-0.25948305225145557,0.7058326010374212,0.20890028745523395,0.11900886540758422,-0.4726496107774621,-0.3260950823618088,0.5002310471669855,0.015769914585736015,0.20988313239289172,0.368716808558589,0.44737383761617355,0.5728941065569231,0.12734345939538924,-0.007543444052632832,0.4655699213557792,-0.17641125690057208,0.05157086605257273,-0.19028344048123813,0.003574090258605166,0.15712969938075583,0.4900918899907546,0.08678073475904627,0.024253059241563794,0.2292493637432699,0.38445770150671477,-0.20846762825780724,-0.11350233873772476,-0.16888089251635666,0.4379853884486463
OFClat_L,0.09526835732194792,0.5857817461119131,0.0628925959244075,-0.5415519783024669,0.051118604368947954,-0.22546542439021777,-0.26266674966825704,-0.36275086765840725,0.2836573906148838,1.0,0.2491674157605135,0.38996327433185324,-0.13973500201898092,-0.0026561320113842263,0.02616495631722227,-0.059914582619089406,-0.06396168793947006,0.06924046958255883,0.10781083972652425,0.008627810848048133,0.179115290809857,-0.3076357755283803,0.49496835272078,-0.143652025519257,0.044214206644861094,-0.10355443357785085,0.0003264883691923311,-0.22956414740763695,0.05366209762272178,-0.10006163634047098,0.01946444657907236,0.12749126994217994,0.13274624625888515,0.012036297640822294,0.24775931333604087,0.007810302998041244,0.05231643879100853,0.23139667098978864,-0.3857190872604638,0.10116168758237722,-0.08824698213513672,-0.02536093328899794,0.3476317592783877,0.6907847027603526,-0.04255717454090994,-0.0420678827144486,0.5873065761323999,-0.05398673360733746,-0.5986398332403308,0.14476551377923744
