,Cerebellum_7b_L,SN_pc_L,Cerebellum_Crus1_R,Occipital_Mid_R,Supp_Motor_Area_L,Paracentral_Lobule_R,Thal_PuL_L,Temporal_Pole_Mid_R,Occipital_Sup_R,Thal_IL_R,Vermis_6,Thal_VL_R,Cerebellum_10_L,Frontal_Inf_Orb_2_L,ACC_sub_L,Parietal_Inf_L,ParaHippocampal_R,Cuneus_L,Frontal_Sup_2_L,Parietal_Sup_L,OFCmed_R,LC_L,Paracentral_Lobule_L,ACC_pre_L,Hippocampus_R,SN_pc_R,Thal_AV_R,SN_pr_R,Red_N_L,Supp_Motor_Area_R,Vermis_8,Temporal_Sup_L,Thal_PuA_R,Temporal_Sup_R,Thal_PuI_R,Frontal_Inf_Oper_R,Thal_VA_R,ACC_sup_L,Cerebellum_9_R,Olfactory_R,Lingual_R,OFCpost_R,N_Acc_L,Thal_MDl_L,Precuneus_L,Cingulate_Mid_R,ACC_sub_R,OFCant_L,Cingulate_Post_R,Thal_LP_L,Occipital_Sup_L,Occipital_Mid_L,Olfactory_L,Thal_MDm_R,Cerebellum_3_R
Cerebellum_7b_L,1.0,0.3102480850241142,0.5732351728588524,-0.2537265096903244,0.08924414224537612,-0.2385702223400361,0.11745437621118639,-0.37905981782754505,-0.2918493428393305,0.2591820725307844,0.5931321489349137,0.16528418220454885,0.7117695308001734,0.24454349790435548,-0.26877449176612306,-0.44865616813907144,-0.04854824277141925,-0.10333228839089303,-0.07755746284927507,-0.4311840869651816,0.021462947723507042,-0.5191996638416461,-0.3337475544076004,-0.2789788281806135,0.04888411235259656,0.22728577508848222,0.2478598688568522,-0.004212944540415795,-0.1670201081099608,0.0812355976277813,0.8033724986709905,0.15243047890007258,-0.0008512292093821213,-0.13606953631603289,0.058251454937150844,-0.026900622924336544,0.01976284348020449,0.12064411847895323,0.46945318494334215,-0.2514315731272587,0.31119243913564226,-0.24368748046722952,0.368716808558589,-0.010806473373416175,-0.38490080594057186,-0.04510358362964913,-0.1422126111662493,-0.22272598759777104,0.13722692455176602,-0.3064179642143322,-0.19486476894910224,0.26353619737635636,0.1621811701190819,0.09036727728058197,0.05286689354161809
SN_pc_L,0.3102480850241142,1.0,0.11917800636741734,-0.43137026004784257,-0.15614515723795513,-0.20148736747978027,0.07246957862246965,-0.06861871422978436,-0.4411487007623701,0.14461349893960113,0.16965428036369434,0.07258610317275262,0.5037846105193395,0.10824322048902575,0.20648540359176656,-0.362238864375869,0.5411130421100545,-0.32817350340768325,0.11517519950606842,-0.34979174568462,0.12472121131729622,0.14194075520158664,-0.42455608593961974,0.21606964511273163,0.0848895352909771,0.9024704171722734,0.1867673877743153,0.7059368481108996,-0.06523982570885642,-0.2016165610032992,0.1730053192093571,0.18763305643514952,-0.1484859763289425,-0.032838027407882366,-0.4142473892754283,-0.15428070044662837,0.15998244514224008,0.18165348493464775,0.24425371038783367,0.175279560547886,0.16478175542280074,0.11259568081720693,0.2429414131768147,-0.22244511834643232,-0.3300968110481908,0.02054957803885254,0.3206019442115652,0.22178770569643247,0.34376006467073694,-0.29883326474821736,-0.27129810022248846,-0.0003375019273901228,-0.32355337750604063,-0.17101635953257527,0.3597270891195405
Cerebellum_Crus1_R,0.5732351728588524,0.11917800636741734,1.0,0.1752017768052413,0.21254861550090656,0.09876596931152061,0.27438920450597665,0.04605709984287494,0.10158490205129113,0.20462001057210974,0.6277751484254924,0.233487890858854,0.464377508661384,0.06178181221718767,-0.2855233769192191,-0.11737062518128287,-0.11444114763019486,0.04457957638480518,0.15936926673955784,-0.09284923006916225,-0.15429645216014226,-0.16569246458408143,0.09023858917506479,0.022440327286664213,0.01316375818524777,0.03291679999870594,0.10627565590049691,0.04067321278232795,0.22257679622946333,0.17249404229933707,0.6684896455441407,0.0973776190391742,0.2247192482752316,0.22016932873704703,0.2933133144183441,0.31419634314930384,-0.1519636549308149,0.20805836290444515,0.5108227723508304,-0.10514597111046844,0.5463464027557104,-0.22459836235241393,-0.11892213282293222,0.14124204149899097,-0.020748760805468912,0.1763588925401692,-0.2532205179992421,-0.13264042464671003,0.17476960418412818,0.11904059019094357,-0.08489587399058532,0.14973857496849147,-0.028176453733159322,0.3228946970216119,0.1496696085440595
Occipital_Mid_R,-0.2537265096903244,-0.43137026004784257,0.1752017768052413,1.0,0.37764298097560384,0.48951729336983324,0.07233721342206073,0.12677084048279927,0.9177747423617035,0.07146757059341201,0.08315157826162817,0.3611691457947148,-0.20838531211031153,-0.2650849424725197,-0.30251054316613224,0.5368155328943258,-0.2188630995011116,0.7258299505840559,0.1028157349444049,0.4963029347769022,-0.3026415765297425,0.10205725284654278,0.6840363186433307,-0.15798553823067768,-0.03395285533780243,-0.40371930500966413,0.10824816381395523,-0.2839629917819859,0.24489262844252616,0.45772247584126763,0.004206016972287476,0.1518086394038896,0.682238181335266,0.34744247344633916,0.6614580381383797,0.613709124097965,-0.4449554566686033,0.02391022166224682,-0.09003839231581715,-0.03531717604960414,0.3491780643261509,-0.11265021742297127,-0.25742195400896845,0.3954879635403334,0.7884423137613804,0.44061883057012907,-0.34909995791534193,0.12529660271828452,-0.08794152869752475,0.7939585280065893,0.6003974865509262,0.16451047278661282,0.0621821395329394,0.6523878958661798,-0.17439828326719328
Supp_Motor_Area_L,0.08924414224537612,-0.15614515723795513,0.21254861550090656,0.37764298097560384,1.0,0.6161044981189793,0.29043835335210644,-0.06383739597865297,0.3855378387734304,0.3267506944693123,0.20227567023239845,0.5720735549243443,0.2931075614315121,0.20174063957799393,-0.4622049737558352,0.4922086121570606,-0.18274519005526552,0.500643051512319,0.6124118155346784,0.41904129947680274,-0.2992293500584732,0.14971529550358056,0.6551743180975557,-0.3423920229455892,0.18994067812256618,-0.0952448214953511,0.38475102016791773,-0.15112378199349383,0.3522270616383621,0.8773850693712567,0.2663295175499185,0.49501856725367777,0.5120486617603492,0.166968177997981,0.47459724633578926,0.4925510223035248,-0.22507519979615867,0.5505618458392988,0.514208091444658,-0.07532922688306294,0.6035661154719453,-0.3224381749753001,0.25499924589322415,0.40124679443309247,0.6189662632814921,0.7554154794694775,-0.33097210206572,-0.25376040461618277,0.37769555290089407,0.5326890665398707,0.5671985907879644,0.4122078865342041,0.5010520034408291,0.6222655767291025,0.10408673083613956
Paracentral_Lobule_R,-0.2385702223400361,-0.20148736747978027,0.09876596931152061,0.48951729336983324,0.6161044981189793,1.0,0.07587791535019048,0.2648649098699588,0.6181796421814106,0.29526254477106795,0.2133372433983171,0.3547180608023417,0.1634589876195187,0.08452058670533512,-0.14427134510718506,0.7085561210509064,0.02263624888267159,0.6142779048613435,0.5412659812304459,0.6289398665785251,-0.06561724863280273,0.19622491886430143,0.8112319448226851,-0.02772528782501985,0.1494131157304196,-0.07980761124814889,0.30734133672336794,-0.007459030277770286,0.3293311799680691,0.7412061100725063,0.07191432240330706,0.5222484148935638,0.4988199590853309,0.14191964498107584,0.4863631187438025,0.2840066625798708,-0.19821966949600175,0.12717011452798627,0.41977852195491144,0.14150046123177396,0.5536800719103662,0.07218544776464195,0.20988313239289172,0.25941055000275404,0.7714423197653826,0.6132229715531854,-0.04393612065692837,-0.07284213288028742,0.18115747070310653,0.45798657544697247,0.6466623828422877,0.18665688083077173,0.3487561991414242,0.4236845774544422,0.16904115998764208
Thal_PuL_L,0.11745437621118639,0.07246957862246965,0.27438920450597665,0.07233721342206073,0.29043835335210644,0.07587791535019048,1.0,0.20599991075975913,0.059947678251805164,0.17974881086906305,0.14272893514848103,0.27797209045612786,0.12077151395173182,0.2541575573886044,0.1036633060987951,-0.062039500891342546,0.13985134746491318,0.0245605131077621,0.39998053433282404,0.02293075631768746,0.05590654600465079,0.01105254861830019,0.14020274804544972,0.2169916484227014,0.2906956305629777,0.020649844219852772,0.024487653785259616,0.13120879650698952,0.23145466928960298,0.24157638795409764,0.15909544896740813,0.14033267892435128,-0.0338364230321187,0.33035557543558264,-0.023549323644026142,0.31402273727747654,0.1444332560967087,0.43034793901166835,0.3131067755919516,0.23688205681140043,0.2932925152321742,0.04470213410154925,-0.015201228116961375,0.26140030640603923,0.13290632049044937,0.3722094883387282,0.12215034763463996,0.20036844729782397,0.4210414148374653,0.14471344131712777,-0.022916906604817214,0.14285890851407615,-0.013103059098970993,0.20329603489389772,0.18561284512555473
Temporal_Pole_Mid_R,-0.37905981782754505,-0.06861871422978436,0.04605709984287494,0.12677084048279927,-0.06383739597865297,0.2648649098699588,0.20599991075975913,1.0,0.15702630123924624,0.053232065084800884,-0.0150388924301039,-0.11225067214244962,-0.09390765942829059,0.12563996143791034,0.5965325269181134,0.04146054468275431,0.5395645254225276,0.03639022218283305,0.32889872433218925,0.09939333744479457,0.2724313898202338,0.3166737755657112,0.22048012304703388,0.5836743363462341,0.2884688968569515,0.007168940968161692,-0.2588559195787475,0.4052147396687073,0.2879699596612712,0.03052113060106848,-0.14638189313554606,-0.14589066041040225,-0.33222798257454,0.4889205492400332,-0.28057608002481377,0.20692595492997112,0.4535582656927135,-0.012625315846570877,0.18460042642811436,0.6488057360647373,0.18205956735843393,0.5620814952653149,-0.222494071363573,0.15796089487684223,0.23123039282387714,0.24013414653382525,0.46684418860683213,0.48965284894488803,0.26455367700825666,-0.07320860158724062,-0.14143330665158876,-0.32875559418961386,-0.13703642544965006,-0.1375475876121989,0.36341142204178206
Occipital_Sup_R,-0.2918493428393305,-0.4411487007623701,0.10158490205129113,0.9177747423617035,0.3855378387734304,0.6181796421814106,0.059947678251805164,0.15702630123924624,1.0,0.21076061903114804,0.0198003968862434,0.4239660817832612,-0.22814287688563503,-0.19602323161701582,-0.23219792897767627,0.6931773725063309,-0.17444084133009652,0.8253577115130953,0.26700544990390956,0.6396136058045436,-0.2045046764567107,0.059408206576443454,0.80500735115377,-0.009316111870040186,-0.008968655875609924,-0.37003691773615827,0.23828403224843936,-0.3180238479567373,0.20945449123263044,0.47394330209227514,-0.0674371878611729,0.3118275508713206,0.7138496743984115,0.20612843210642728,0.7359359199418037,0.45904117983280945,-0.37224082269120845,-0.00572534213518138,-0.042014802274937264,0.03549588056199659,0.374965328593813,-0.0057116007067851285,-0.11350233873772476,0.41725431102647026,0.8860255179779459,0.4732212419300477,-0.20437318963076673,0.038968220070321975,-0.059368609717266985,0.7418490782219145,0.7085813463170264,0.18894539828283272,0.09193235596697744,0.6454387658766362,-0.18265877640004252
Thal_IL_R,0.2591820725307844,0.14461349893960113,0.20462001057210974,0.07146757059341201,0.3267506944693123,0.29526254477106795,0.17974881086906305,0.053232065084800884,0.21076061903114804,1.0,0.24647695340148615,0.7955138259548169,0.2437968053597916,0.40812839078307056,-0.06528754682215616,0.2671202745736198,0.3199741416995259,0.40420490368784756,0.5552359094581655,0.11959073139781312,0.05239083906871187,-0.13569163796879646,0.28125220760064185,0.17943584320065384,0.5555681660219246,0.15816805543067863,0.7836106227136963,0.09069199811586393,0.13752315782992725,0.2949207834595383,0.23301592831679738,0.5780636243816023,0.2689790727470867,0.100868594612375,0.31718311457075693,0.1644374361638889,0.4636627057437994,0.4039437774097584,0.47091659898223964,0.24725359391387017,0.5741810407774467,0.07470428042060388,0.44737383761617355,0.7354626642680512,0.30653920823958763,0.4780282446156544,0.20286765964362227,-0.1709868317308433,0.5737740475999256,-0.039471293847836306,0.26245701102400065,0.05646862222848449,0.4796588571157862,0.5362724933952348,0.42369167039293654
