,Vermis_1_2,Calcarine_L,Thal_PuI_R,Thal_MDm_L,Rectus_L,Vermis_7,Frontal_Sup_2_L,Caudate_R,Occipital_Mid_R,Thal_VL_R,Hippocampus_R,Rolandic_Oper_R,Pallidum_L,Temporal_Inf_R,VTA_L,OFClat_R,Cerebellum_3_R,Frontal_Sup_Medial_R,Cerebellum_7b_L,Thal_VA_L,Heschl_R,Thal_PuM_R,Postcentral_L,Precentral_R,Thal_PuA_R,SN_pc_L,Frontal_Mid_2_R,ACC_sub_R,Occipital_Inf_L,OFClat_L,N_Acc_R,Thal_IL_L,Cerebellum_10_R,Cerebellum_6_R,Putamen_R,Cerebellum_Crus1_L,Occipital_Sup_R,Thal_MDl_R,Temporal_Inf_L,LC_L,Pallidum_R,Thal_PuL_R,Fusiform_L,Frontal_Inf_Tri_R,Cerebellum_Crus1_R,Frontal_Inf_Oper_L,Vermis_9,Raphe_M,Insula_L,Thal_LGN_R,Olfactory_R,Thal_MDm_R,Caudate_L,Vermis_6,VTA_R,Cerebellum_9_L,Precentral_L,Lingual_L,OFCpost_R,Cingulate_Mid_R,Occipital_Sup_L,ACC_pre_L,SupraMarginal_L,Occipital_Mid_L,ACC_pre_R,Calcarine_R,Frontal_Sup_2_R,ACC_sup_R,Cerebellum_8_R,Frontal_Inf_Tri_L,Cingulate_Post_R,Cerebellum_Crus2_L,Occipital_Inf_R,Frontal_Med_Orb_R,Thal_VL_L,Vermis_10,ACC_sub_L,Temporal_Pole_Mid_R,Thal_MGN_L,Frontal_Mid_2_L,Thal_PuM_L,SN_pr_L,Rolandic_Oper_L,Temporal_Pole_Sup_R,Vermis_4_5
Vermis_1_2,1.0,-0.44176140498372524,-0.7440342496603185,-0.16591124411555228,0.3139770624718223,-0.30034820563377806,-0.01908660034538326,0.034814399837279644,-0.7074460573273234,-0.1979435773563308,0.31949980344737144,0.36322088361314725,0.5909408765134695,0.10680204757140145,-0.2701820781243684,0.5076731368699408,0.4433964654416999,0.10620263425825212,0.013634760433730735,0.670467266900325,0.6876829598697193,0.7704392766709414,-0.43259785979070925,-0.2957552427020853,-0.6572697793273797,0.4914761349892237,0.05603493247144532,0.5197880534242262,-0.1297038567277843,0.3995274937450333,0.05399787018426982,-0.0779067333438127,0.07903837014702712,-0.1666198593664196,0.4258048668557104,-0.19480306584013765,-0.6981226471394277,-0.15826080567064252,0.1978824485259345,0.11625046314711553,0.2804621930198883,0.4011436663394736,-0.025621407145106165,0.07123633815289637,-0.44559882412432966,0.17654175101157685,0.5608432779554927,0.10274857852883379,-0.0831585404151963,-0.12319981876761117,0.41497648569210727,-0.5558589035387855,0.3273133442631479,-0.1633708873804353,-0.6127464956619921,0.21710694244331485,-0.3176006126038208,-0.3107767274073412,0.3096547229003889,-0.12274141475925444,-0.48797651456319086,0.20392208903126233,-0.4822325559880556,-0.3088316809430553,0.19889664590208797,-0.47182946403001974,-0.02896424286326914,0.23703337512842393,0.038500995321377046,0.24127610264887547,0.3436354981775064,-0.43183610710350434,-0.5534077557395005,0.13414933240524526,0.4287871405635587,0.0044387017441026135,0.5390382876053776,0.10666145704482342,-0.02814093545260185,0.06071388842431342,-0.17216907733485903,0.7182344461513472,0.10617961678627738,0.02987938565791776,0.1995561651828064
Calcarine_L,-0.44176140498372524,1.0,0.6983015744012243,0.6013721663797778,-0.21477901777593064,0.3705150689715663,0.5441159718181438,0.5319543088844987,0.6199444246202379,0.7937974110732339,0.2359653991289824,0.18145951173758093,-0.10720120903102277,0.09611631333064118,0.2887826022960056,-0.2915565908105628,0.0918014381380019,0.24750189406561823,0.05984683945309701,-0.2200174415137614,-0.26214553823344366,-0.4321047494849537,0.6514946630067155,0.3267054418980713,0.7759986138214958,-0.018624077323389405,0.2777934517621331,-0.18704517615022356,0.2287780493429974,-0.04255717454090994,0.018119909486438813,0.6420710258800891,0.1508627072118237,0.3686284283614797,0.005256411588321437,0.2753817043438834,0.6841800471916677,0.7037214006444903,0.4623093656628151,0.08850898224360727,0.07811169716584287,-0.09654742065844092,0.6012640477502624,0.05626772035852017,0.27542897561712015,0.3471790766965968,-0.023558055054046838,0.013085502007936971,0.49722387504257515,0.5786725475159152,0.008394870639219171,0.8509802764896252,0.24763936780035692,0.21856238523398938,0.41890119187678615,0.22586783650333986,0.5786149958742554,0.8050480237347435,-0.10446712281227909,0.7230980517172921,0.7139104125241185,-0.08650862065500146,0.6891852657363099,0.4267369044310196,0.202331215169835,0.9277244734377319,0.34322349460751256,0.2235696524248314,0.04895260355644262,0.35693038376596964,0.43071853673675076,0.29185128885646133,0.3828182196383358,-0.04445435772905803,0.26271458355352945,0.4197400767267487,-0.3519244239490349,0.007043876682913096,0.449287125580668,0.42661516587379444,0.6407246783463794,-0.25892879316976364,0.511492689858467,0.09264928817627995,0.4916961569532338
Thal_PuI_R,-0.7440342496603185,0.6983015744012243,1.0,0.40374293424060825,-0.3840267225641155,0.31114172088108116,0.20330303829077767,0.04013857898233557,0.6614580381383797,0.4937418471088832,-0.16816942739781307,-0.22079765128724013,-0.35011110859319056,-0.23331239526823805,0.3615851975625713,-0.5560936751278057,-0.28457737374252595,-0.008168063590709995,0.058251454937150844,-0.5088889836762297,-0.548380678399281,-0.750568644992109,0.66194144710585,0.3098141245748892,0.8788826946240346,-0.4142473892754283,0.0038939428487293213,-0.5255274418549013,0.2299404507536107,-0.334106006850541,-0.2720370963150074,0.2483800990174794,-0.03792617571320055,0.16137772190462252,-0.4235504006540494,0.2665227558980141,0.7359359199418037,0.5314418833136119,0.17046887157057994,-0.15646355764824316,-0.30358532715054676,-0.1554540320536449,0.3091438478965266,-0.28467413742454856,0.2933133144183441,0.12468764455342217,-0.3739347077053753,-0.03901849896633907,0.20968961521169285,0.3175033872699552,-0.3976057248432762,0.7515607921165499,-0.0018494296601641782,0.1875679424881114,0.6656618668751086,-0.13242479570417512,0.5663472721537632,0.5693261187482852,-0.3351479858934395,0.29206693069214945,0.7636476049713585,-0.3359994988765236,0.7066081563451126,0.45940224043381356,-0.1864223685575368,0.6376016996056821,0.11958040237199558,-0.09082043368292213,-0.0863473468217296,0.102865397069913,-0.1582442964146235,0.40612872214290086,0.45174458125405215,-0.28418060795313727,-0.18677177019643218,0.15596435104750156,-0.6425211506057268,-0.28057608002481377,0.10735317266826543,0.2169759179925125,0.4171157097434391,-0.7054635461909561,0.15913873745135176,-0.19511183277546695,0.14838997914352442
Thal_MDm_L,-0.16591124411555228,0.6013721663797778,0.40374293424060825,1.0,-0.19988574309856075,0.245620741492931,0.42662021949568846,0.6200057433675832,0.4101419037109893,0.7683570093678344,0.5115992518488398,0.29603521098656965,0.08146342716547364,0.3079885905811056,0.3253465871969498,0.11403622041596626,0.29995611305651965,0.41991507482888013,0.07249371308598114,-0.12700003511689126,0.09068187516748365,-0.02109855319961487,0.32417949752228903,0.3969351560514652,0.3210877586082434,-0.1968173990038454,0.38169976504983255,-0.07346114557415534,-0.0031687712091417117,-0.15954849070675675,0.2404105418984223,0.852744973521074,0.2902386034464612,0.37656291250032997,0.01654024873754897,0.11722586919233725,0.4240735266071358,0.7622678133750621,0.23824744174695653,0.024058854228761386,0.14538516713608876,0.14221263792804326,0.5220302355488955,0.3045468912093895,0.21632759886357547,0.148298472095213,0.12561515111380694,0.22998153905504343,0.4566662037184859,0.529135777248046,0.21054819148189446,0.7064211780093822,0.096563000441416,0.14224372486528075,0.3684737230013581,0.31108261200059906,0.343980007604533,0.5673608071097159,-0.08893642148878352,0.5438409506004088,0.3231176941106569,0.014740015345678823,0.23913932735085405,0.04460867009199759,0.15361429547912614,0.5710334227160226,0.4802666876834488,0.38234663927767204,0.11705314239702701,0.2694582378267015,0.4910811139081603,0.1756727646967284,0.3043295475179877,-0.2716362333039226,0.23144064457499455,0.189666951643768,-0.13620113624064306,0.166480735454746,0.7847059662723976,0.2746343357251712,0.567381840296213,-0.2110063952370023,0.4931334276240997,0.30328061223500813,0.5609145060541523
Rectus_L,0.3139770624718223,-0.21477901777593064,-0.3840267225641155,-0.19988574309856075,1.0,0.09780006268947186,-0.005871566107939096,-0.0777707999601289,-0.2650045635040891,-0.07012262837033756,0.3265796399869998,0.2960040645239972,0.3863462020454808,-0.06492281339504005,-0.6991073898910838,0.2299201955229312,0.32556021442501537,-0.039928800000492495,0.06555327014779624,0.4274780036167122,0.2310744838083274,0.23461319934242242,-0.32848896498827274,-0.08478557481642647,-0.3158837765366552,0.21473474832703912,0.06998034568358988,0.5704203294668891,0.23262863523414243,0.680959606867689,-0.047033035798479096,-0.01797067489452382,0.02386209412123177,-0.1012047283718838,0.24222450510553223,0.054365327243319356,-0.2381475330136471,-0.17698872141145114,0.22767502434831513,-0.2463961445175262,0.06393731271479602,0.14065253618187176,0.06831114563753542,0.22016738884970688,-0.04876468168812913,0.24004290679621715,0.089155677584312,0.025500079218772714,0.355896969492696,0.1413418182666498,0.3148478910827451,-0.31795577394767116,0.18445343635341702,0.3347221092881505,-0.5406705557957284,-0.039721029450325164,-0.3359857436665919,-0.0639958464008559,0.8154238865211311,-0.11550261338527461,-0.2899593082057215,0.42542239805722276,-0.28480982067220273,0.09925496164819161,0.29177007778361297,-0.2329374259767506,0.000567003265568402,0.3336443771040694,-0.0228075497150501,0.12773228531517683,0.20565397096279556,-0.0021982606779832837,-0.282272240635053,0.5778395382952893,0.32777152230867923,0.1928874821094956,0.5465273661620561,0.24424920674990105,0.10793439935399736,-0.2015560101469195,-0.24613554388098474,0.3601268278395199,0.2219164154482638,0.12143712027987225,-0.09186619449768704
Vermis_7,-0.30034820563377806,0.3705150689715663,0.31114172088108116,0.245620741492931,0.09780006268947186,1.0,0.24437747283909803,0.23002513557938659,0.1203572251138285,0.366371550862846,0.17049934792651775,0.2726989430604026,0.05584911962771114,0.15612060518665305,0.2686398232611949,-0.4678967249121476,0.2412677585789806,0.32936025186040435,0.636928131788341,0.08443070887794939,-0.09507959995581795,-0.1615331549821971,-0.004603155952250653,0.385942134513066,0.24533579843112388,0.1465986480436806,0.45396217071520945,-0.06648626670113168,0.43925310636269765,0.008627810848048133,0.056818053114573434,0.398608125425909,0.4725564462670379,0.7272214049572531,-0.08740973783271955,0.756788399064454,0.1289213636399433,0.3002629570203731,0.2989435142984925,-0.30290074320566507,0.029868900486162846,-0.18784362336599514,0.472033006964984,0.10624075802913156,0.7797852005064727,0.34242644657887017,0.21589416116731447,0.2993288834799099,0.31056390030458136,0.34692732368391743,0.010349131299869486,0.36243591776008716,0.16204761149136437,0.6664448346819691,0.25543115137739564,0.4224064839872227,0.051469002845422045,0.6196910063276231,-0.10280148027457482,0.24559210743980614,-0.007206090278984979,0.08056581765290335,0.009456988463826059,0.26096977144934036,-0.11346055480038764,0.4322640869595865,0.3909343188496383,0.18488549678618077,0.6586697090673611,0.31459139227996274,0.2626056184738552,0.7833891525293852,0.589692976558752,0.07974587343487034,0.24332450462154637,0.5792918955233701,-0.22283355237945268,-0.041927018792724965,0.2722773546300533,0.21485158028848025,0.19074913563836432,-0.017513870616838345,0.329887308286585,0.09194053257011375,0.20902917125368853
Frontal_Sup_2_L,-0.01908660034538326,0.5441159718181438,0.20330303829077767,0.42662021949568846,-0.005871566107939096,0.24437747283909803,1.0,0.5048792628832728,0.1028157349444049,0.5372048828525298,0.3152077130014794,0.4489573954673653,0.25587272930160454,0.24092748948495032,0.24548991166559153,0.0526032653388783,0.3065144239340909,0.6411522631512225,-0.07755746284927507,0.26562139440060234,0.2563177034663705,0.05239463251580523,0.5817581911198804,0.0316069051462106,0.19252133837793126,0.11517519950606842,0.287415494226217,0.26027002523856885,0.09700153664294427,0.10761210846092417,0.09687554854525798,0.4858631291770709,0.3069497228423197,0.25180321214946755,0.39802238441713295,0.013300995450242038,0.26700544990390956,0.5535711387803304,0.3609142908089504,0.18322293772910822,0.3080071376202936,0.2496707302768016,0.38003728453101077,0.10912249617980582,0.15936926673955784,0.5329077870753071,0.0854047885493086,0.09577359376854137,0.37852243242165035,0.33513937812818456,0.36439127135737137,0.33355457510362796,0.4797003447086769,0.020199197394472207,0.14671103703312455,0.35800280656728317,0.6035739487640768,0.5076401847985739,0.16417346422023216,0.7078613336267187,0.37980260028048385,0.4091693435659267,0.49851425486056705,0.2717357527449204,0.547707750242195,0.505283515813071,0.4510621239862062,0.5437991672697837,0.10890825527690634,0.5864569514811285,0.6303930919907453,0.04877309575941131,-0.017020863922285488,0.3208477533774024,0.44992955762324927,0.3074501286830893,0.11366713125695647,0.32889872433218925,0.337544980987409,0.6324325386530001,0.296641084920217,0.047218194002864394,0.5819710133969674,0.34085900149356596,0.5936819976072436
Caudate_R,0.034814399837279644,0.5319543088844987,0.04013857898233557,0.6200057433675832,-0.0777707999601289,0.23002513557938659,0.5048792628832728,1.0,0.27941322422905274,0.6909981382253648,0.5755096584173909,0.4253548769896255,0.027985517095131633,0.49067669794583263,0.15502852526211844,0.2526016501534982,0.43095295671672423,0.3931960656849015,-0.07503260966815871,0.08409967948344978,0.12006781628726501,0.14157199911036034,0.13110366618483119,0.27985673483668877,0.18611081745171912,0.22069079923933152,0.4576362494762399,0.17904483669671115,-0.1842173463139892,0.10781083972652425,0.6066521397726268,0.7351887549815478,0.21922915780917948,0.32147122558667296,0.34732697246305777,-0.029183519167169887,0.26087000263040455,0.40931304033194643,0.13523975035974747,0.3678865060423113,0.41824190513181636,0.02163370384564684,0.26411382170836545,0.5895478417076235,0.16871328054272058,0.06238558602032799,0.19034504421058354,0.09675375892567516,0.38394582239466085,0.6519385531026091,0.5321953869260687,0.4849605357830159,0.1304154740495734,0.01961122877793266,-0.07534883627532594,0.2930817831559345,0.12995062500415047,0.32500229348211684,-0.01866688533509278,0.6716825988756435,0.030861023607684418,0.289570312300955,0.10825152587483523,-0.16604487403520743,0.4465635203159623,0.5558841962178362,0.45067598256921554,0.3804655537714398,0.11221026373773416,0.1765286029598454,0.6912731710130303,-0.03536987356914236,0.13535200092757865,0.016178601985841475,0.5064362407436345,0.35354167174369,0.08915787383345643,0.25359618668555683,0.6084124722198412,0.2745756927197166,0.4531835924108886,0.21029795305464358,0.35648606142161127,0.4563868708756667,0.4173346218016868
Occipital_Mid_R,-0.7074460573273234,0.6199444246202379,0.6614580381383797,0.4101419037109893,-0.2650045635040891,0.1203572251138285,0.1028157349444049,0.27941322422905274,1.0,0.3611691457947148,-0.03395285533780243,-0.2061484307137687,-0.5069497372948554,0.00531920652733719,0.15192808893623713,-0.12503525875345212,-0.17439828326719328,-0.020523107373128773,-0.2537265096903244,-0.7022107032507373,-0.6477251031911561,-0.6462513709825002,0.4071491573145734,0.5256707344950209,0.682238181335266,-0.43137026004784257,0.16194613265947355,-0.34909995791534193,-0.07441192320075192,-0.1841569703581883,0.20071713574958805,0.24062877053660484,-0.15944912182630006,0.052723667668483847,-0.2558186219771202,-0.050522816222126024,0.9177747423617035,0.2499948574873011,-0.02564794151859571,0.10205725284654278,0.018743128918946857,-0.2604151108743673,0.12411148510341312,0.28046839309581784,0.1752017768052413,-0.2822866011885577,-0.4245068142308891,-0.14201677265834256,0.1756587491559029,0.31030402634718807,-0.03531717604960414,0.6523878958661798,-0.43149849188884454,0.08315157826162817,0.5270585338817252,-0.18774951259058628,0.2352232212122828,0.36245804475059745,-0.11265021742297127,0.44061883057012907,0.6003974865509262,-0.15798553823067768,0.4687346737921085,0.16451047278661282,-0.03762610864408107,0.653413773429852,0.255334343058826,-0.1858676793944479,-0.25381779287253653,-0.33233115028821264,-0.08794152869752475,0.09764264231444295,0.4389105633189209,-0.22385193543245266,-0.3793198198109153,0.03154310548837412,-0.30251054316613224,0.12677084048279927,0.2547320808315749,-0.13619967594643748,0.3264771643979045,-0.5437958741815415,-0.010742733090607587,0.19834849589988168,-0.03196758016824183
Thal_VL_R,-0.1979435773563308,0.7937974110732339,0.4937418471088832,0.7683570093678344,-0.07012262837033756,0.366371550862846,0.5372048828525298,0.6909981382253648,0.3611691457947148,1.0,0.5375825785545433,0.4388455734923228,0.10936116456652624,0.1140744734614796,0.16023709252760968,-0.1597866358170312,0.28976995433302,0.28305099666509453,0.16528418220454885,0.023406319614193673,0.01946064489985211,-0.22460086484887243,0.4895827570873333,0.33038983064389116,0.5950946208250913,0.07258610317275262,0.41113600517785226,-0.04275851326413337,0.16320540135906256,0.051118604368947954,0.04398949427310793,0.8381415538326867,0.25298785010554975,0.3926301171351392,0.0840193733710246,0.279139175922511,0.4239660817832612,0.8315090540179643,0.4238075044643871,-0.02383744651275251,0.04568315639258214,-0.028898446323031842,0.6067535097606922,0.11358323711636431,0.233487890858854,0.42766788349993234,0.16361488004458719,0.15003867288907685,0.6050903070122194,0.7474542100257703,0.10862340491680404,0.8184692921901019,0.40808542909749823,0.2593355744554954,0.15756508177429884,0.3160064082624204,0.5040465901281388,0.6931694845595515,-0.049924750136570405,0.6958941716979694,0.45772632149649717,-0.028268919145149306,0.493536021178554,0.24311610083261465,0.2496722101207252,0.7637055883131169,0.4231963294779843,0.46041505037001673,0.11637881303658992,0.5184380026509294,0.608242055078027,0.27532600352681535,0.22891617219592705,-0.10427320626340955,0.5425867457166939,0.46116132638691665,-0.27925767796647144,-0.11225067214244962,0.6349813794555237,0.5369170147329312,0.5767919961371832,-0.11768265633398146,0.6056481285476416,0.045236535024375114,0.54062487350759
