,Occipital_Mid_R,Thal_MGN_R,Thal_IL_R,Caudate_L,SN_pc_R,Parietal_Inf_L,Frontal_Inf_Orb_2_R,Occipital_Sup_L,Red_N_R,OFCpost_R,Thal_MDm_R,Frontal_Inf_Oper_L,Frontal_Sup_Medial_R,Temporal_Sup_L,Insula_R,Angular_L,OFCant_L,Olfactory_R,Occipital_Inf_L,Thal_PuA_R,OFCmed_R,Thal_MDm_L,Frontal_Sup_2_R,SupraMarginal_R,ACC_sup_L,Thal_PuL_L,OFCant_R,Thal_VL_L,Pallidum_R,Supp_Motor_Area_L,Vermis_7,Vermis_8,Thal_AV_R,VTA_L,Frontal_Med_Orb_R,Calcarine_L,Frontal_Inf_Oper_R,Frontal_Mid_2_L,Hippocampus_R,Cuneus_L,N_Acc_R,VTA_R,Pallidum_L,OFCpost_L,Postcentral_R,Thal_VA_L,Cerebellum_Crus1_L,Cerebellum_9_R,Cingulate_Post_R,Temporal_Inf_L,Temporal_Pole_Sup_L,Cingulate_Mid_R,Temporal_Mid_R,Paracentral_Lobule_R,Amygdala_L,Temporal_Pole_Sup_R,Cerebellum_4_5_R,Calcarine_R,Thal_VPL_L,Cingulate_Post_L,Frontal_Inf_Tri_R,Thal_IL_L,Olfactory_L,Thal_LGN_R,Heschl_R,Cerebellum_Crus2_R,SN_pr_R,Vermis_6,SN_pr_L,Thal_MDl_L,Parietal_Inf_R,Cerebellum_7b_L,Thal_PuI_L,Thal_PuI_R,Lingual_L,Putamen_R,Lingual_R,OFClat_R,Putamen_L,Vermis_4_5,Vermis_9,Frontal_Sup_2_L,OFCmed_L,Rolandic_Oper_L,Red_N_L,Occipital_Inf_R,Thal_MDl_R,Occipital_Mid_L,Thal_MGN_L,Thal_LP_L,Cerebellum_4_5_L,Occipital_Sup_R,Angular_R,Postcentral_L,Vermis_1_2,Raphe_D,Cerebellum_6_L,Cerebellum_7b_R,Cerebellum_3_L,Rectus_R,ParaHippocampal_R,Rolandic_Oper_R,Precuneus_R,ParaHippocampal_L,Cerebellum_8_L,Fusiform_L,Frontal_Sup_Medial_L,Fusiform_R,SupraMarginal_L,Cerebellum_8_R,OFClat_L,Rectus_L,Thal_LP_R,Cerebellum_Crus2_L,Paracentral_Lobule_L,Cingulate_Mid_L,Thal_PuA_L,Frontal_Inf_Orb_2_L,Thal_VPL_R,ACC_pre_L,Thal_LGN_L,Thal_PuM_L,Cuneus_R,Temporal_Pole_Mid_L,Temporal_Mid_L
Occipital_Mid_R,1.0,0.1440268812112086,-0.018776020329343408,-0.29882211580996976,0.08317507251659638,0.30802618342147453,-0.2999333172794654,0.7337367345539647,-0.24171835690598026,-0.05423101205091022,-0.4061344457456854,0.21066544482235194,0.017554617965833356,0.14589208076937957,-0.085350664989828,0.6942537500911075,-0.1199337569838409,-0.28631912583980246,0.30000880626782994,-0.23462796609259792,0.2617329074418007,-0.41345292363645936,-0.14440494590371936,0.4335567910073679,-0.31831786223399827,-0.03147570071506892,-0.15340904700140162,-0.22908079916852517,-0.3977211477717454,0.12235404178048709,0.5842290059788608,0.08486709684298166,-0.14300586850137378,-0.4836494688443525,0.18818197386185703,0.6832709896031792,0.22799734478218775,0.041267088815070366,-0.11235313570191702,0.7177134139390035,-0.11640303324916244,-0.49842893209083283,-0.6365409151817512,0.31935324569470525,0.3011827633376853,0.09747314040072085,0.4272363774911258,-0.38175565440773246,0.21581288068988191,-0.2825398638553676,0.2117325297651408,0.03387410594987443,0.7676367741115114,0.289938083585856,-0.3372205679867094,0.35336379531083084,0.2716045319380117,0.6622085028859809,-0.19883824706399217,0.206493764969107,0.15641200661059237,-0.07789218706736932,0.0767031358465216,-0.28424524421463987,-0.2887123356879814,0.36056224364871886,-0.20184521035497552,-0.26573574735225663,-0.25585716634588324,-0.32852256147023606,0.332145571976526,0.2760374092020439,0.11682475727485886,-0.10790777288720763,0.44926745250620964,-0.0630960982721142,0.392460700357946,0.08888300664271341,-0.2362200963802253,0.6066025593088489,0.11506766271166795,-0.12117883102122214,0.034210211791892105,-0.42268153745066733,-0.39527973010300244,0.11565025049557348,-0.2900850669430545,0.7205646202206798,0.5378581864583265,-0.06658046634233732,0.3877054334328181,0.9172051562299132,0.7599985569668893,0.09207019954959102,0.37134670142296716,0.04146120140406144,-0.1813732745102192,0.12578079239913562,0.28479275202187754,0.15992444984203338,-0.4377771912920018,0.20402530859741785,0.239974364803007,-0.47788443907280814,0.25017957070600316,-0.08461980149728328,-0.04477892860292023,0.41832564806949263,0.16253624548107581,-0.1898559803916873,-0.033784272478617025,0.1466176508284644,-0.24098220358972466,0.3489116394434857,0.3176536304272572,-0.03128646465688873,-0.013497638723453362,-0.5890498007309165,-0.1537512877768273,-0.21665596226935677,-0.24439056424182018,-0.227441044220931,0.8033386896419056,0.3248156869271957,0.36233336392838056
Thal_MGN_R,0.1440268812112086,1.0,0.506078327844305,0.13749119310396826,-0.07022136214607066,0.4142920754556025,0.029241425785188353,0.06440395195492382,0.27398299827700573,-0.002250033053556665,0.3199261722930123,0.38379915159297595,0.29294916733208276,0.22106947412713943,0.27071745701450617,0.23276467866492198,-0.022704589477528164,0.01276820674760028,0.05644074698067311,0.20131565296530896,-0.08745006806755927,0.2846584643638981,0.29774898183533804,0.3758233736637808,0.23264695874123825,0.24249509269175273,-0.11796502269227313,0.3145859809207834,0.08987322850531586,0.45891368555781226,0.1092363222278942,-0.051292098348046156,0.16458311983329127,-0.1408204713870152,0.06354967433201067,0.3395919094882791,0.37856449175685375,0.43132367327227955,0.32786378217875506,0.21531972436781893,0.04182662281520905,0.01986223625719223,0.07560168881296041,0.09867227985046437,0.5017130368800999,0.3591336704066944,0.07908959089116091,0.041269372518289375,0.41777826244608574,0.1682274329616584,0.05015436052881778,0.38596949467578295,0.32046672663346465,0.47088027622719436,-0.020712647411757008,0.2000986393673708,0.3450323749875126,0.362052481791855,0.27495464342936426,0.30556420699424086,0.3812561681717103,0.3764497966370877,-0.08619341748916048,0.4466522111025971,0.35006502143924634,0.2743232044501529,0.3181955161044347,0.011217936642784858,0.18744886461988225,0.1650591955828275,0.3314877804464539,0.038704753825871296,0.39740341976296967,0.39770919008658134,0.28217100948855395,0.285735533987414,0.3074803430530606,0.047356419939486326,-0.1537158596378873,0.3085637971771366,-0.0024662762397846968,0.2672290323326247,-0.0758397433385933,0.18381524956150247,0.16277515450375044,0.14023928630999283,0.08421507276296018,0.06328826537585219,0.24461248623780135,0.3820351982698361,0.41590394843243617,0.13430365009502043,0.2896203153631644,0.48687881792000187,0.35772493265580985,0.07665755888507078,0.001929851366763916,-0.0012113189040639143,0.5067235177502981,-0.03371644215360262,0.20531408051304173,0.42780424907133174,0.3789338699605367,0.13956489364902994,0.12449994380539958,-0.022297930311758384,0.18112225017586397,0.36370280573438596,0.34663005356544474,0.05497343665130646,-0.08991828868992639,0.1698099717080143,0.307785542682979,0.07893661460777797,0.4361962985792888,0.3399394715613619,0.1242732037657646,-0.12602635874123932,0.08312743102555638,0.06849075508891127,0.2811065293503336,0.3672443933343995,0.13852165769473687,0.22051958268387065,0.15004737044557637
Thal_IL_R,-0.018776020329343408,0.506078327844305,1.0,0.4521499098302915,0.2050180140136201,0.6375266735435625,0.30491975591445697,-0.11931669999183164,0.5737628657950095,0.057809217348776414,0.5408476770125029,0.5288892098784537,0.5087075219198532,0.3952746939333829,0.5018308422993624,0.24309096564836905,0.04748802120336913,0.18547049961497297,-0.09292951928681674,0.5672707871322826,-0.0958561624860235,0.626140237793062,0.5831452352358596,0.45498543868046165,0.45678817747655864,0.45242550829968164,-0.04760943253132805,0.6872115941161366,0.26634880331984034,0.6693961978091822,0.16736832541425023,0.10860336297581939,0.5163249627875819,0.1810482051638419,0.15646802280662703,0.2398551976236486,0.5757137122901477,0.7015661202086941,0.6383160838118976,0.06229752800816173,0.20111043847165697,0.2602403573570761,0.2717741679229265,0.0911110122444805,0.6670120532407222,0.6600278281823022,0.060522549745540555,0.27073070101675956,0.5192105255602477,0.08501868862352815,0.1570952475796597,0.7003951299568248,0.2128196610433794,0.5610896769916939,0.052198631391063344,0.21780135955504645,0.5721477286375454,0.2966731654160307,0.6366403164621011,0.44026191870104153,0.501927882772446,0.5925297801939595,0.17247206757888364,0.5186108668334455,0.5738775508425907,0.16267518254250513,0.5895247200985837,0.19871179754476445,0.38361730799725036,0.5151363471356428,0.5464274465655357,0.0062652608569239,0.6291608402052733,0.6087326644400374,0.43167604924818775,0.3937396962571,0.45849830926687585,0.2471910818904236,0.1382293237493266,0.4535699895123929,0.2767449278919711,0.4728992700974213,0.06310958420170888,0.44735518693047516,0.5121223871951264,0.05679524881506181,0.47944269168442033,-0.06748961811230594,0.2894438182620854,0.48106396084154995,0.5386570994949701,-0.0341745860929446,0.36355218273014334,0.7469420494695922,0.4523489819354509,0.06280025596171201,0.19574428297262655,-0.09551259709964911,0.6285837647148323,0.03224073611944117,0.49613174804152466,0.5822318813489971,0.5556535527574481,0.4547550212458994,0.2946883251406763,0.25477709633817175,0.3876159076757392,0.5760291527987136,0.569940109646857,0.34195062361469203,-0.03173766855739197,0.23324645525511326,0.3552164545698239,0.03367594165839743,0.5022907113174582,0.6589344514789969,0.5188590511815256,0.1165372773432723,0.5106039538091012,0.07934668904551656,0.5497684711149171,0.6641351819940835,-0.0324635773242656,0.05507630648486172,0.1235906612594249
Caudate_L,-0.29882211580996976,0.13749119310396826,0.4521499098302915,1.0,0.36362345419823683,0.4350317919697375,0.6685335513644498,-0.372764137786704,0.7438326159284238,0.19005744755125195,0.6090755682672252,0.4509790118278497,0.48839764613842485,0.37496643523897744,0.7024204822102456,-0.06000272526980733,0.1374591521738664,0.5755551952316367,-0.2997770501443873,0.6922262641805769,-0.1375525890074284,0.7187280223678802,0.6351868524180495,0.3152033143696185,0.5671935774794499,0.43384878489078194,0.12442867704965475,0.7485450908290571,0.5366198076534154,0.4774413470377061,-0.08312113209720752,0.24054166092830523,0.6423508076572246,0.6120601625934816,0.03338551059422359,-0.19421298861854666,0.5667183870337109,0.6736788385473265,0.7186712051981892,-0.24975438834409194,0.2633430587456352,0.612385205294825,0.6418456395930268,0.02793572693887893,0.40425154870109076,0.5808533853794312,-0.01835474173067184,0.5051184680921816,0.32129777966774836,-0.010558289727035838,0.08319952546874743,0.7414263102356949,-0.07148289387625997,0.35380247229555606,0.10468500894875007,0.15734491560267663,0.5647989614057475,0.006730781371243237,0.6597504879662932,0.35699503168876,0.561254233048795,0.2867874711205018,0.12921388264795833,0.40821486292104225,0.6159188303989035,-0.09650558351799662,0.6246844166340714,0.3752394006185754,0.4216997575970943,0.7922908544433586,0.47095479422484327,0.035299782437209895,0.4333119710431446,0.5135590747127943,0.35999600445936103,0.6580809299469405,0.41083625653944406,0.3585680374866877,0.4698278848838838,0.328595757975111,0.434783337243329,0.5216805340997857,0.3054627782428354,0.5552475557683165,0.7403862595345233,0.008485388359314333,0.7616856518136973,-0.28481556461171836,0.10139624910084363,0.33993266079175993,0.3987010198679494,-0.280700520267938,0.11002742881852676,0.5902901913202212,0.3723218245892103,0.28962179170683394,0.3534829414070295,-0.167072939027636,0.38643465017904816,-0.10769186566805283,0.6643439231006861,0.5390158347910506,0.4748950172731412,0.5643429788610922,0.18599322456293982,0.5101383932679576,0.4723188408300383,0.3935173761692886,0.5510798109957885,0.4885297251809266,0.014863352777870514,0.13983915940904712,0.38361342032011514,-0.04788340982159851,0.2277043246050319,0.7684037405988338,0.5507644317865622,0.3805316833617398,0.6735657748626849,0.29691142746899357,0.5961584267922746,0.675408030112802,-0.2775293635438339,-0.24236811319529056,0.1009734141923997
SN_pc_R,0.08317507251659638,-0.07022136214607066,0.2050180140136201,0.36362345419823683,1.0,0.29859665980534095,0.157883765150527,-0.1024878236847916,0.4491647378930298,-0.02776085507477762,-0.031920484382835304,0.2160810882561023,0.10968822169539096,0.3268610797054015,0.09047485721631536,0.11345179681888624,0.20828021653368492,0.053662977259634835,-0.20643767797140639,0.4450225327926654,-0.040328241449229134,0.330132389300649,0.3188174232172412,0.165390838613209,0.06158443794099246,0.2597776257055079,0.14738779680451317,0.2953749153093336,0.01981797046252136,0.36087981035163164,0.05910804985086295,0.35185004317932267,0.42532300283766594,0.4121376842784551,-0.12081971781558166,-0.09356241663099163,0.1893555273287644,0.23928458042830927,0.3068965015715962,-0.0582072268532853,0.09715558980512885,0.16089001568209216,0.1139885117830154,0.03246932152803167,0.06453827509823301,0.3789004917800456,0.2549527283171083,0.45610636619413863,0.12393320495214097,-0.0886601527855005,0.04759703367855246,0.463716282848404,-0.041628682223136246,0.0678269063882693,-0.1085767534440863,-0.09880449797679965,0.34242346731532625,0.03797839128442718,0.4948619198643731,0.19745372866022223,0.044044908148848386,0.14978634597474147,0.21095404419376199,0.2657034979565084,0.022991470789697856,-0.09506985850512996,0.43161951627053685,0.15727870035754984,0.4024923942313202,0.3666496884079672,0.42681140542517443,0.2693913526587628,0.4379077866487508,0.39373619501587825,0.32313855698160004,-0.07497085621214114,0.3162899568751542,0.15927832330376815,0.3826414548411514,0.28821847349018676,0.43639002572979385,0.22305469450831222,0.14976377042830227,0.40487415630113976,0.5278925353425113,-0.14739908173041286,0.5677537822737093,0.06795442117421717,0.40605922468047634,-0.0008645024409576687,0.2617331360185267,0.06820531526974034,0.23526186758055334,0.22721467894052327,0.2658355875926791,0.10574280448300391,0.3411952897513614,-0.07763226485040672,0.2270753746808579,-0.11219216519543364,0.3516011836679937,0.10692309855570846,0.26868202514078005,0.24886651362812898,0.3780954043642443,0.5791938453681346,0.15989801230370893,0.23406998226800527,0.4079089835585588,0.41257143797441165,-0.09432869889832644,0.07490634120295962,-0.0647261935919377,0.0048745787692784925,0.009703387304419013,0.47193424372747356,0.6251148440936051,0.2103738353840568,0.5633553580000535,-0.391851389343696,0.51095417630327,0.4401490292967661,-0.05572416828876552,-0.27778928044984197,0.2527451622448866
Parietal_Inf_L,0.30802618342147453,0.4142920754556025,0.6375266735435625,0.4350317919697375,0.29859665980534095,1.0,0.17394091348877336,0.2039796548444076,0.4943031583941517,-0.03189541993514818,0.39759195023820537,0.7547941227837948,0.5048247665202453,0.48326629782648123,0.40972276573236394,0.6609755533260674,0.07335207491500555,0.1465523943699937,0.053558669950151704,0.49290795858406894,0.04626740462603384,0.48977838501477566,0.5319245867986969,0.7810173630065871,0.2656276513297036,0.44174412351083536,0.07342881543918846,0.6167718210956744,0.1389706638974488,0.681720799772161,0.31353772971344235,0.2345038302639155,0.5008791838270931,0.041768232743247875,0.2341454177239572,0.4366887521178919,0.7527789151948806,0.739552793300583,0.46206009107267193,0.3688398224159312,0.30800638232526995,0.16517238805515716,0.0337124252377309,0.2860376073710174,0.7774744224259095,0.6629496384445241,0.3332630069778602,0.1527974801256109,0.580291526096316,-0.00600655307171075,0.27923458864424666,0.7761784185965849,0.4905404377192261,0.7064260601852571,-0.038198990435908964,0.29850417011071223,0.6591138640350608,0.4714710171081661,0.5102837447097048,0.6274974657396026,0.5403324499267552,0.47927705740046694,0.30553938802467023,0.25071366974211784,0.3631111091061963,0.2254657322437196,0.49194709253521135,0.09445605240554579,0.26617864552384446,0.2891587119291091,0.8247299890719558,0.2054304456178038,0.5660966980577589,0.39161324615406595,0.6339553600713641,0.34346451978326736,0.5937729898354868,0.2608094374753578,0.13357495432615676,0.6793725371675059,0.32872545847689943,0.40036966989055506,0.16546112035357793,0.2082673486455533,0.4039031667372567,0.09989766262812554,0.43005707320101233,0.2524715877362828,0.4059086409044637,0.44257687744467694,0.6070575292917624,0.2811071166869371,0.6733106853975609,0.8450843004913537,0.5307885477030448,0.06402183305049952,0.35004475747649333,-0.03413971347103355,0.6108729509276317,0.0074218104746220604,0.28539713431722924,0.6337035454200189,0.7429046421626454,0.29417334563226344,0.37976224597049213,0.2267094087625948,0.3855780935380504,0.6795841535576611,0.8870356893035899,0.31768042950509234,-0.118348896111692,0.25959223280843013,0.1729302170543431,0.21570622550837235,0.6195668503522033,0.7416390710786727,0.545256774857504,-0.08686679216765479,0.41866668841781474,-0.026125403458467998,0.4224375013221736,0.5418713711860603,0.29231186941028975,0.14048775771505778,0.4007548212715529
Frontal_Inf_Orb_2_R,-0.2999333172794654,0.029241425785188353,0.30491975591445697,0.6685335513644498,0.157883765150527,0.17394091348877336,1.0,-0.45137224726978953,0.4785224291807071,0.0646275282876956,0.44090679649845815,0.2673506862499147,0.3527508951404711,0.20729730160053372,0.657514201704693,-0.2188525603168822,-0.030091508024002758,0.4800966840467931,-0.2517664015187876,0.4355160423880458,0.02139073942435567,0.44199784969589434,0.41707948470389394,0.1843949379118456,0.3782511154737748,0.18984746417686396,0.0024500967324009052,0.4474646358904186,0.58566150834676,0.2847157475734407,-0.11450189821682581,0.22521003939677925,0.44496011867661267,0.3928199553031094,-0.011798989085105247,-0.1378200442556592,0.4493924364492486,0.47047289006610277,0.5821177964513998,-0.33093983972219626,0.2658227424885806,0.3966407793335854,0.46691237734923885,0.2472933660838819,0.3073189444293647,0.3559621650716255,0.005170625485443836,0.2535190160141823,0.2159031531525888,0.07134258636145971,0.06352460972855578,0.5063494746902907,-0.04862725788935433,0.28841644718715215,-0.028306084588051613,0.3661580098721497,0.4272168115357309,0.013449169089325598,0.4096643278426193,0.18861132743895365,0.5332085659693983,0.06885664779911499,0.18841490050190193,0.22338244579622343,0.6041086229337832,-0.1499972602099058,0.4400772768162469,0.2909316075325488,0.24834550496367988,0.5043075005725954,0.23659188332084205,0.1302391611980915,0.3159773382059076,0.380518804400428,0.23990582533372212,0.5812090941660005,0.25579837569910135,0.5720215336949807,0.4149028341935446,0.2248941219545061,0.39907061118439774,0.2983679389392746,0.2753146546497899,0.4551894164760403,0.46509879105204827,-0.06019330975552999,0.46218409351336864,-0.3323707758449239,-0.0270159327240126,0.20604014333329262,0.21128571933262646,-0.3281308677150008,0.038519950698095926,0.40507139947321547,0.2537344235277067,0.1192942746137758,0.19463324955977793,-0.18649034910799572,0.23278371024184494,-0.03078820043253866,0.5244886885491006,0.5276925196341377,0.3168641507541942,0.3493133994409968,0.09170139152001215,0.2733382842332231,0.32606755910579643,0.25299149058818865,0.2350812145804723,0.35076761021742753,0.06153186912779574,0.05051168022630423,0.23334818542488794,0.027829248643904216,0.2071999973185602,0.520793102400509,0.36794034081335625,0.33836250257235956,0.40857919065765663,0.30586050555405936,0.3008811157120292,0.3829898598057448,-0.3350231333260641,-0.07519865355434512,-0.07691333570983787
Occipital_Sup_L,0.7337367345539647,0.06440395195492382,-0.11931669999183164,-0.372764137786704,-0.1024878236847916,0.2039796548444076,-0.45137224726978953,1.0,-0.4964822118114451,0.1750344285690164,-0.4884188516294047,0.2628970624606098,0.10947743094328277,0.13537460272501378,-0.12978178890939238,0.7262666750694997,0.029491310050596013,-0.40798739924721844,0.4383567442515441,-0.42031109849811243,0.20359560343978034,-0.5067822680552615,-0.11016013754095368,0.18770835385342466,-0.13189173493987918,-0.07594550878609202,-0.05731134010177822,-0.399776805042116,-0.5011921952316115,-0.01082180800847348,0.5009337025131242,-0.08997886750445014,-0.31554812718419645,-0.5684507433160945,-0.012567264617384562,0.5813000168415935,-0.024587943479223277,-0.08643845049265632,-0.34613194115885326,0.9002504559881614,-0.23884740626459186,-0.5096178621281175,-0.5429540435982599,0.2136601548670082,0.12441180927887086,-0.1485936533717375,0.31843567159016833,-0.4584228730028942,0.21402865558760953,-0.04710639628635957,0.2722762393562838,-0.0958033149393577,0.5433214333441996,0.20892109075106835,-0.09612274883115163,0.143487506551185,-0.01972796887213482,0.4211149615617964,-0.29935211963540687,0.24150859495408225,0.036757732432488456,-0.08550124830816683,0.01076667849412756,-0.39962906504533485,-0.4188738582275264,0.2989156729272604,-0.3612487994798588,-0.18366200942849406,-0.21390814469932307,-0.43431464968926214,0.02586519584639124,0.14968825502347996,-0.13833114269623467,-0.27950559440441886,0.12623505225778187,-0.053672732408405505,0.014229778911724883,-0.14196881469948172,-0.127316516469354,0.27231226314525436,-0.20800909861681052,0.03082403868086115,-0.19446961339258376,-0.37449042413411443,-0.5283482104126516,0.28433548047133833,-0.4976557256728521,0.8228981072225863,0.43952791921154055,-0.08671606462731722,0.19249545632105247,0.7704409328876516,0.3767180224508014,-0.032697979616297654,0.19622650429510258,-0.04991045013202997,-0.19507313013731098,0.3695945662696535,0.15766621804538777,0.022569629706496504,-0.5441386843347974,-0.04494886438113232,0.13273775323816395,-0.4816438339570797,-0.025827594437053188,-0.12426688423403937,0.09838521363559774,0.16032127988300227,0.11612806825679571,-0.3523374460871536,0.2360066487942585,-0.09709018615329888,-0.16875769930433474,0.26366999910721045,0.30533458427686416,-0.20531905382151078,-0.19629334450433433,-0.27895608528263516,-0.3283784395961063,-0.10246437121850535,-0.32132921302230394,-0.3138551007853006,0.8900483415857239,0.35014812826058894,0.4208085696671988
Red_N_R,-0.24171835690598026,0.27398299827700573,0.5737628657950095,0.7438326159284238,0.4491647378930298,0.4943031583941517,0.4785224291807071,-0.4964822118114451,1.0,-0.1054716882949458,0.6711526546935601,0.2841115613010685,0.24508144287704187,0.2668349858253312,0.4893910414754713,-0.03759274165002413,0.04993647711783252,0.4992539598219817,-0.3975035008982716,0.7522449268129235,-0.21985160797346406,0.8054171055846447,0.5216689037826797,0.34918459038907845,0.3589795154725591,0.4901723861908153,0.0279070670169444,0.831071865187229,0.5541443153501949,0.49426012849332407,-0.16943685566291294,0.13339284656650124,0.7043091424988989,0.6813050096190367,0.14556868645860335,-0.13310553076666504,0.554229623352855,0.5749393780976099,0.7792722992684704,-0.3611984028456573,0.2681787094076974,0.6275902757638825,0.6021051613130805,-0.1797013468541056,0.429091776543765,0.6755340825013273,-0.060842661407880576,0.5396118371220741,0.35247610649258887,0.01627982787425039,-0.15066739777413948,0.6858834218756873,-0.07380310117065537,0.2943229376214655,0.07547960271466607,-0.02098524002613476,0.6358659807013658,0.0902959164073378,0.7506231026223009,0.35918342389385666,0.38579851502720097,0.39312867836367366,0.06932545033960484,0.5995006520975791,0.668504635795441,0.011955473465949433,0.7271394148271565,0.24105152174130415,0.3557023449953835,0.7119484313042949,0.5647652256203909,-0.026437853330524345,0.5942715073549606,0.6386475647636697,0.431662167228299,0.34007430695500745,0.533200548636608,0.2661481337971289,0.15085264179555757,0.36022545768858166,0.4198056061378926,0.31380184695936075,0.20627373906672453,0.450486277043448,0.895980890136293,-0.17939885195917457,0.8275630369004433,-0.31367110759201167,0.03937145843406495,0.290297387115424,0.4021079966328105,-0.2585424473911078,0.2441803739278927,0.5973913137331376,0.339199689216739,0.3260126096960054,0.42853831738749587,-0.2267321614644396,0.3897521714676527,0.01920338854854757,0.7493615498068764,0.508899125976169,0.5112648889272963,0.689792304240281,0.23420116302305583,0.5447716663428989,0.18182155995310162,0.4221855793701929,0.5737426264558797,0.5017947892036423,-0.34097186991786566,0.36448690642729503,0.3020589056624745,-0.09884429887315033,0.1349842621163098,0.7344891831194298,0.6591084064494566,0.1300649307302611,0.7490667478991104,0.0002686956315267389,0.715193849541769,0.7621790041578765,-0.36986764769873853,-0.3053896876166668,-0.00964714465343915
OFCpost_R,-0.05423101205091022,-0.002250033053556665,0.057809217348776414,0.19005744755125195,-0.02776085507477762,-0.03189541993514818,0.0646275282876956,0.1750344285690164,-0.1054716882949458,1.0,-0.156583066856194,0.25126399897170804,0.3585778481363997,0.24788523874184407,0.3762229250956605,0.05196395566767824,0.024916868246637233,-0.20671239514807502,0.11261587872215577,-0.032833552816908064,-0.03034586911884035,-0.07185643184038137,0.2670102869912924,-0.18555966508731636,0.3896312867775187,0.13370446838821434,-0.06036432683889391,-0.012686087646595387,-0.20202972770449568,-0.05203186818630247,0.046827378197532396,0.0843766190980509,-0.1922262644972371,-0.034559916255850455,-0.2395236728824293,-0.11974043743833968,-0.14917871031400973,0.11623690653361994,0.04242103957558264,0.14412166987545058,-0.3324639033319338,-0.010831599126030097,0.0901353967603216,0.06672670247344788,-0.09146046821931232,-0.07326287886258954,0.16114833533078599,0.1497901224621072,-0.06955600847099125,0.14600115875207353,0.1370830201234248,0.1453868233355229,-0.06012265176472541,-0.01546304653070517,0.18591750250201924,-0.021955084018125803,-0.023300174860783618,-0.16219733417184953,0.11468393198195798,-0.04033716303350198,0.222624866780756,0.04854522674955164,-0.0421979269853509,-0.10004165850148812,-0.04940551433007745,-0.035088354883637686,-0.04294644326166395,0.11423981711092485,0.15805422546264059,0.09421587514213416,-0.11604774974942743,0.016536931830773562,-0.0767954786267346,0.028092253221285057,-0.1809741189926585,0.38225805729123474,-0.15676793081298954,-0.0657009248515531,0.26394683781073325,-0.05167670960900523,0.0747717701115303,0.459628447520146,-0.0561172224489215,0.25070589795589204,-0.05089895108888149,0.23582361229841747,-0.08608113538937752,0.10548070542567248,0.1387166872332647,-0.02621966293200829,0.12822262045797786,-0.12476545837499202,-0.2017601618485497,-0.03944586080110462,0.204176752263145,0.08508215802805602,-0.16901140371464596,0.14604937748869082,0.23153004046446474,-0.22879952181961868,-0.01603996078356774,0.04125668802397148,-0.046982820034561036,-0.08195779392480693,-0.024861561822786135,0.17012977112294672,0.4437294039493772,-0.029186104676755295,0.05797273485789812,0.1264109836114838,0.7653260078185767,-0.24970838926021038,0.06435827424335365,-0.057005043253533706,0.036608939615397705,0.0646799525034651,0.0023351128848414266,0.4394265420196649,0.03891319717931583,0.2741586436027705,0.05871747431867187,0.08051919640324934,0.05688543991505051,0.023455015085691686,0.09872649503024186
