,SN_pr_R,Thal_LGN_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_L,Vermis_8,Thal_AV_R,Thal_MGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_pre_R,Thal_MDm_R,Precentral_L,Red_N_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuA_R,Occipital_Sup_R,Vermis_4_5,Temporal_Mid_L,Thal_LP_R,Frontal_Med_Orb_L,Caudate_L,Frontal_Inf_Oper_R,Cerebellum_3_L,OFCant_R,Cerebellum_Crus1_R,Thal_LP_L,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,ACC_pre_L,Temporal_Inf_L,Vermis_1_2,Rolandic_Oper_R,Occipital_Sup_L,Thal_PuI_L,Thal_VL_R,Parietal_Inf_R,Thal_VPL_R
SN_pr_R,1.0,0.6518356109392355,-0.04294644326166395,0.41414116399984763,-0.1661570367271714,0.5812219714435183,-0.25814528472697257,-0.1055041817322898,-0.15460050629079444,0.5819387887759614,0.1062231885873837,0.5604196660088151,0.3181955161044347,0.27372507518184735,0.3331092920215743,0.14693546807044272,0.36386656665371175,0.03840853831497323,0.5872034849585039,0.397501958614827,0.7271394148271565,0.4400772768162469,0.20027342012316987,0.5768194207609738,-0.061162956119602326,0.7339743895705765,0.45523793397403345,0.2962444410808306,0.3497533827022845,0.31553561326716906,0.24371532712069874,0.6435758924083591,-0.2538614121763522,0.38231174847184307,0.14583393057485333,0.287316852081878,0.13109992735351356,0.6246844166340714,0.45366235600243754,0.4667291805960431,0.005954958068680813,-0.32970042239135744,0.3526875358860018,0.08961927837690771,0.4662239810093865,0.43101569133984496,-0.02661168654313893,0.11028939742151618,0.36606646435535145,0.48427125656314646,-0.3612487994798588,0.6064631741613997,0.7248896621256055,0.5073477459056989,0.6505028523022732
Thal_LGN_L,0.6518356109392355,1.0,0.05871747431867187,0.20919449526822043,-0.13447021441477372,0.4170584766277081,-0.19871227540308511,-0.12978259625577854,-0.016195756039879952,0.4471851180501202,0.11538871968870039,0.5904559647962804,0.2811065293503336,0.1509465447020321,0.27373427802887607,0.05079868022621468,0.40786692885410397,-0.06225412006449158,0.48094507071816334,0.2869542853318527,0.715193849541769,0.3008811157120292,0.3011598634268114,0.4854654467581628,-0.20804322245127377,0.6380109677157201,0.4873993136132516,0.3232956345364518,0.3517869409253631,0.18702268557818327,0.26778241594622054,0.6959893856792357,-0.22361820887325376,0.2562802205282237,0.19680136559396016,0.20777880234208845,-0.05334487847343046,0.5961584267922746,0.33195317534092644,0.4097719494785995,0.12247531127428951,-0.4052651727696769,0.2790374072876671,0.13900843078421019,0.455005481922351,0.5023025403679359,-0.07535966374405294,0.16577829737498875,0.2595506491518812,0.2626900730723338,-0.32132921302230394,0.596588317424945,0.6648582714995027,0.4326790937224177,0.6793412556174314
OFCpost_R,-0.04294644326166395,0.05871747431867187,1.0,-0.12520427149585134,0.7653260078185767,-0.04940551433007745,0.14412166987545058,0.23582361229841747,0.28604071442889306,0.15805422546264059,0.0843766190980509,-0.1922262644972371,-0.002250033053556665,-0.01546304653070517,0.0747717701115303,-0.07262392465831351,0.24788523874184407,0.2872615996565339,-0.156583066856194,-0.07799858355907412,-0.1054716882949458,0.0646275282876956,0.6009989922389923,-0.03944586080110462,0.046827378197532396,0.04242103957558264,0.006257516427825967,-0.04596753508803911,-0.03724273289217681,-0.18555966508731636,0.11423981711092485,-0.032833552816908064,-0.12476545837499202,-0.05167670960900523,0.09872649503024186,0.06435827424335365,0.044390563278169794,0.19005744755125195,-0.14917871031400973,0.23153004046446474,-0.06036432683889391,0.02839811123400376,-0.02621966293200829,0.18591750250201924,0.268363140088088,0.459628447520146,0.2741586436027705,0.14600115875207353,0.204176752263145,0.04125668802397148,0.1750344285690164,-0.0767954786267346,-0.024565078038719816,-0.11604774974942743,0.03891319717931583
Temporal_Sup_R,0.41414116399984763,0.20919449526822043,-0.12520427149585134,1.0,-0.297288194957085,0.4928393085611819,0.15926347786625739,0.030697899465249742,-0.22083254412198272,0.08825603973494765,0.29696094717559157,0.4431981806672273,0.3570386694939007,0.6160669294556715,0.5808089471489106,-0.15245350603778354,0.39954533734751413,0.18013753065496435,0.2844330284044751,0.6281651916318636,0.48681834461187046,0.40884110103851534,-0.013297484390007924,0.6551067327791088,0.40868924558865344,0.5925734442894135,0.15615122804507167,0.4370538971143499,0.5079910367733612,0.7670595485962012,-0.027607171892380253,0.4642686735022245,0.3491834037853024,0.8595340700462193,0.3744594552683548,0.11062857004329615,0.6308595009026343,0.4230031625151844,0.776481201214203,0.6771569114974173,-0.0668817355393263,-0.08099240760562751,0.2570761526997065,-0.4025049839767174,0.38658792549382565,0.0070938949895509905,0.006245444775793795,-0.32776947446804766,0.6944230659317695,0.8753912992931933,0.021028877539080084,0.6267575765806351,0.5078567612955934,0.670583934754824,0.44480451374615476
OFClat_L,-0.1661570367271714,-0.13447021441477372,0.7653260078185767,-0.297288194957085,1.0,-0.19638933433236863,0.22559685262142515,0.2277802921163268,0.33718275070674864,0.09070934920811594,0.1654832485317281,-0.32280002567533744,-0.08991828868992639,0.01306113820422467,-0.07991723358363417,-0.16302678032900153,0.2187288707035673,0.4425137831734416,-0.3209438606535842,-0.12679985910574768,-0.34097186991786566,0.06153186912779574,0.7212485406639669,-0.10286647770016132,0.11872483678203165,-0.17063537954042737,-0.1272176807538923,-0.10648555235716987,-0.08728159140115511,-0.2588532865747702,0.025432083884473555,-0.22439023482112572,-0.09320597508378135,-0.18025961026647494,0.044626162088208396,-0.03889152954499487,-0.05868627062690102,0.014863352777870514,-0.21769950726490084,0.10964766087314747,0.016703673335535844,0.2506038425437219,-0.056969868464153195,0.08912086595942734,0.20954060075100936,0.5141746159452304,0.3921173877501164,0.18130459734354262,0.10016671837896257,-0.1116034228567634,0.2360066487942585,-0.18500003340698631,-0.20949799648949646,-0.23564880849707046,-0.16992618774308244
Heschl_R,0.5812219714435183,0.4170584766277081,-0.04940551433007745,0.4928393085611819,-0.19638933433236863,1.0,-0.28529483601336414,-0.03625746369553956,-0.20141607961144398,0.35498272522145385,-0.11014554139597811,0.4316614925844402,0.35006502143924634,0.45657672008097483,0.20200949756434938,0.27367904179537245,0.1983489225807014,0.20496963398922818,0.7196940727398805,0.5387126285279594,0.668504635795441,0.6041086229337832,0.1177570397945155,0.6024067278174212,-0.10093162512961787,0.7409320098560056,0.22406548297384288,0.1241695634670721,0.343693830744533,0.3253496356845049,0.22250882554736917,0.5384079989638013,-0.28081590822525443,0.26598083104542103,-0.07735398894656362,0.4319980565592946,0.2676745752256822,0.6159188303989035,0.5503999564713631,0.4364000709064585,-0.13472652330219664,-0.42321028674856104,0.32696988074827066,-0.006452718619196445,0.5545376048428746,0.23648644922105183,0.17538354125898203,0.10904164193782975,0.3597845248482242,0.6964372096323358,-0.4188738582275264,0.5021674338482339,0.7035866630691276,0.2835546369515075,0.5007328816090136
Cuneus_L,-0.25814528472697257,-0.19871227540308511,0.14412166987545058,0.15926347786625739,0.22559685262142515,-0.28529483601336414,1.0,0.30708314213232574,0.278418477661199,-0.1205253754022484,-0.029960687722647813,-0.20255216226923883,0.21531972436781893,0.45045864522353823,-0.14214294800651797,0.01805043135801893,0.2010288396974072,-0.06169879086208461,-0.37564255216546405,0.3646798096850979,-0.3611984028456573,-0.33093983972219626,0.14777097176025622,0.2105401390492249,0.519052037570858,-0.2209964197619005,-0.1600257298969774,0.5476145264017108,0.5777268792567612,0.37002315486050014,-0.148682174321704,-0.2790567719169005,0.7992636590480665,0.403335718855224,0.3964457209395343,-0.06459391512250008,0.07943202483696682,-0.24975438834409194,0.19790383002179687,0.2949243277462048,-0.06975160579264435,0.5325657979503364,0.08459499083653166,-0.06344294216068382,0.2033061505113004,0.13762019848274876,-0.08934315467164326,-0.037537828532110726,0.2640786937512703,0.09600661054555695,0.9002504559881614,0.018429195524348362,-0.3074043072208976,0.2075977603684858,-0.26963496094129835
Occipital_Inf_R,-0.1055041817322898,-0.12978259625577854,0.23582361229841747,0.030697899465249742,0.2277802921163268,-0.03625746369553956,0.30708314213232574,1.0,0.2079757106006812,-0.08241087647456294,-0.08395096018783255,-0.12367837584948715,0.14023928630999283,0.2048929980552039,-0.061185881159542176,0.008597438370553176,0.08890488298351128,0.15280852152377122,-0.1174310226311566,0.13651059896932555,-0.17939885195917457,-0.06019330975552999,0.23417532133320457,0.09572204239752992,0.3734695174982884,-0.030102739216342288,-0.16712565120593217,0.04580325258802686,0.14402394735770463,0.11945747028138708,0.07801165981965587,-0.032326086487790236,0.16126876173513618,0.15494553821113988,0.14135208630233623,0.09511326042078884,0.14552243462459233,0.008485388359314333,0.05692474665538647,0.2280963790280108,-0.015241339629573449,0.2480241018962219,0.09210370137474044,0.13971142593269395,0.14390586618725812,0.21965494755785367,0.22375521905425305,0.04965822684719388,0.1755950582102439,0.09391252865569015,0.28433548047133833,-0.05725339836221484,-0.07675497539250965,0.022314922117836703,-0.0873668504536199
Temporal_Inf_R,-0.15460050629079444,-0.016195756039879952,0.28604071442889306,-0.22083254412198272,0.33718275070674864,-0.20141607961144398,0.278418477661199,0.2079757106006812,1.0,-0.11585443375573698,-0.18401101715154186,-0.2954728072838897,0.17316579797449733,0.061601986774303945,-0.1559205809144041,-0.13910418716738226,-0.03628269807337277,-0.06128107178579892,-0.3315116054087352,-0.07836869348872441,-0.18443812167237641,-0.19456365101594716,0.1830943404558001,-0.10199409264503555,0.1547060550226116,-0.12455009156016528,-0.17166558207215257,-0.024869730467777077,0.11833135061615133,-0.0896417360281535,0.019047766147039916,-0.29920675655706486,0.15953584728196676,-0.05758837741736288,0.009601779391109178,-0.2775705212877779,-0.07721133318384099,-0.2175830187299154,-0.13104048179280395,0.05683212918131772,-0.027911302728930033,0.3755064942771313,-0.3992554500732419,0.12375934937083152,0.12242832817566315,0.2063956042678859,0.03654602014322626,0.6000002251759371,0.12679784051625673,-0.1648352405292091,0.2742755784821669,-0.11875678688643065,-0.3037131681993926,-0.0947255797185647,-0.17475615820581022
SN_pr_L,0.5819387887759614,0.4471851180501202,0.15805422546264059,0.08825603973494765,0.09070934920811594,0.35498272522145385,-0.1205253754022484,-0.08241087647456294,-0.11585443375573698,1.0,0.01961230116356756,0.3045769461402055,0.18744886461988225,0.13360834955775466,0.18581711557550173,0.21484739574398592,0.3724439009702027,-0.01804165548626941,0.3422415150555862,0.17988772402051054,0.3557023449953835,0.24834550496367988,0.3347389339066643,0.3476968999349574,-0.039743522956278664,0.4366589452542154,0.32989890863601296,0.16442465326010441,0.2460935940499535,0.021744947544225283,0.1606251382717964,0.4082722899492619,-0.2728083402230292,0.01613343518601263,0.010290974230943403,0.4406392878830437,-0.0456321194290744,0.4216997575970943,0.1219354216618607,0.327780160602436,0.029794476694225837,-0.1624675555177735,0.49392401596439917,0.11528161424619908,0.3150813984574745,0.39919932742845926,-0.06368415286447669,0.17437421349489718,0.1613411027330443,0.22287308009786666,-0.21390814469932307,0.3799369062537074,0.464158073300563,0.24253525709926368,0.30472604390646546
