,Lingual_R,OFCant_R,Red_N_R,Temporal_Mid_R,SN_pc_L,Amygdala_L,Frontal_Sup_2_R,Thal_PuM_L,Occipital_Sup_R,Cingulate_Mid_L,Thal_VPL_L,Frontal_Mid_2_L,Caudate_R,Cerebellum_7b_R,Thal_LP_R,Red_N_L,Rolandic_Oper_L,ACC_sub_L,Precentral_R,Calcarine_L,Cingulate_Post_R,Temporal_Sup_R,ACC_sup_L,Rectus_R,Cerebellum_6_L,Fusiform_R,Olfactory_R,Thal_LP_L,Frontal_Med_Orb_R,Vermis_6,Precuneus_L,Cuneus_L,Occipital_Sup_L,OFCmed_R,Raphe_D,Frontal_Mid_2_R,Cerebellum_3_L,Thal_VA_R,Cerebellum_10_R,Cerebellum_4_5_R,OFClat_L,Cerebellum_7b_L,LC_L,ACC_sup_R,Temporal_Pole_Mid_R,Occipital_Inf_L,Vermis_4_5,Caudate_L,Frontal_Inf_Tri_L,Temporal_Sup_L,Frontal_Inf_Tri_R,Thal_MDm_L,Frontal_Sup_Medial_R,Raphe_M,Cerebellum_3_R,Thal_MDl_R,Pallidum_R,Postcentral_L,Frontal_Inf_Orb_2_L,Thal_MGN_L,Temporal_Inf_L,Cerebellum_Crus1_L,Paracentral_Lobule_L,Vermis_8,Putamen_L,Parietal_Sup_L,Thal_PuA_R,Pallidum_L,OFCpost_L,Cuneus_R,Parietal_Inf_L,Vermis_1_2,Hippocampus_R,Olfactory_L,ACC_pre_L,Calcarine_R,SupraMarginal_L,ParaHippocampal_L,Thal_IL_L,Cerebellum_6_R,Frontal_Inf_Orb_2_R,Thal_PuM_R,Cerebellum_8_L,Thal_VL_L,ACC_pre_R,SN_pc_R,Occipital_Mid_R,Occipital_Inf_R,Postcentral_R,SN_pr_L,Vermis_9,Cerebellum_9_R,Insula_L,Thal_LGN_L,Supp_Motor_Area_R,Vermis_7,Frontal_Sup_Medial_L,Angular_R,Temporal_Mid_L,Cingulate_Post_L,Temporal_Pole_Sup_L,N_Acc_L,Thal_PuI_R,OFCmed_L,Occipital_Mid_L
Lingual_R,1.0,-0.3339076985136143,-0.3600464162457643,0.26767689844012404,-0.22967062307741387,0.09984089554692185,0.11613154427873118,-0.061501344791840815,0.4398579852513587,0.18517248783262302,0.3318599022459434,0.1446761722702604,0.19272608269611585,0.4016881797672055,0.23267604559020075,-0.27182957244298606,0.45079710740138124,-0.19175426353970695,0.011700546294359094,0.796886218877664,0.12969156866089832,-0.06727138232171355,-0.09029694749557082,-0.07228032559804551,0.611467491208126,0.5915645640482619,-0.0909438496394809,-0.08992952311241714,0.05176898887511999,0.6012925169361163,0.3539903728948428,0.5866649546705187,0.5053118146406578,-0.06939838717806354,-0.3768403087320931,-0.2122597572556893,0.2243238971309656,-0.1211422226992961,-0.26797429466018824,0.43675496740197783,-0.1391361848730529,0.28249190011025027,-0.13513525620168396,0.06465097839507167,0.256927146656459,0.5307383119334588,0.755649606079257,0.32259967524450917,0.06323823413444676,0.1342091215949335,-0.2655324639203706,0.1523940448899601,0.1674480689364336,0.43118251895281834,0.24689219832954315,0.03960601947475988,0.3267933794262372,0.17828481741448154,0.003660802121185608,0.06543138479263402,0.16356401844158053,0.5505259093809531,0.21783733495966565,0.4846644235317521,0.25813268665475264,0.16553334513327628,0.3198624002495858,0.20676308474641406,0.15002374897613632,0.6328272571458424,0.15549907634882898,0.09618767591881683,-0.1501194581339667,-0.2707127112166005,0.06122728078412012,0.8607567967024238,0.276953171957203,-0.16207707143808325,0.18531667792551837,0.6405139597520161,-0.1032408319702505,-0.2533761169296626,0.4472971767794489,0.16012557521141832,-0.08483041126614126,-0.19906032666323778,0.41657449157590504,0.39700843304433536,-0.044566724656649015,-0.19193703684607163,0.5861469082166192,0.44230811164258066,0.43435387353847876,-0.13430699804936655,0.27533734518752534,0.6389884907985386,0.25454619769759085,0.14308053179489585,0.325086689458764,0.2959534808868564,0.3911759705744453,-0.09200293493708121,-0.04090557583177691,0.14238635990296883,0.5692792430557168
OFCant_R,-0.3339076985136143,1.0,0.5965530322271334,-0.16274784432569364,0.6291663556702549,0.16878853383268833,0.1450950043145698,0.21595395983845056,-0.4360450169907802,0.20192511327643703,0.02283686495524086,0.4746998606420717,0.25105446128011105,-0.272543064030639,0.12678125252386663,0.6715123484877298,0.09265022446145621,0.5128073358249506,-0.1993201050715218,-0.3708501346854973,0.356055344077931,0.4249899330340017,0.36727912079907593,0.1838877002751226,-0.13016655048165665,0.07094585282992762,0.5951377242267065,0.38993621362925535,0.04313035681403019,0.06613966054597516,0.23885078324937048,-0.10674462163112722,-0.324514614565982,0.6444337263621527,0.7098879856563114,0.29960906823014516,0.2464876718726663,0.6158257098174544,0.42941564165994756,0.3663346234033338,0.4671199695937822,-0.41533622183939034,0.43200957820727565,0.2987040142416133,-0.36657735540122266,-0.7515031710733111,-0.09379116096077028,0.057838476041263895,0.32675742641728894,0.06120111841787103,0.4288417467504317,0.11793138546728606,0.4276342868830375,-0.632400306921499,0.3273409120841391,0.54816666072776,-0.23864805297049585,0.0687963188999539,0.5071035953637817,0.25960308999956255,-0.24447109243559428,-0.7177922686330837,0.38469713111849035,-0.3526523916937742,0.23578492461085435,0.08730220757554603,0.059663466959613984,0.28886181720671295,0.4160035283286489,-0.4008136215688944,0.19434072890651116,0.3327553831158759,0.6536746357784713,0.6159993626850899,0.4384458253240506,-0.4779191612573612,-0.07248025516299013,0.5409579608562737,0.2615807678687208,-0.3422887086569342,0.6099148949003131,0.610773007847071,-0.5053523509010932,0.3596454908166232,0.6973140459266716,0.23541464617642255,-0.4954013894077084,-0.4969092203194261,-0.19735675194869223,0.5991638291268435,-0.31903140829650634,-0.508591537068172,-0.25870983641281275,0.6649675770310493,0.18939497781619286,-0.36601500334528797,0.3647718588525277,-0.24368516002447582,-0.36376595572816,0.3310476813594093,-0.43109869150581553,0.21753403928457596,0.47614277744356087,-0.019296204975227632,-0.5424357490268563
Red_N_R,-0.3600464162457643,0.5965530322271334,1.0,-0.6696355279767048,0.5066039301667291,0.39795253863412683,0.4334346544717868,0.6564048744150663,-0.5164540169688309,0.291721278854185,0.14938234750693813,0.46457976196626694,0.22986654356247388,-0.6557068476443672,0.0787680595202483,0.8244143036163765,-0.02773897304346999,0.2439550411671417,0.25079450987302987,-0.46050174931640425,0.4679256659845075,-0.040517904994034445,0.6219932110845697,0.2606946321001884,0.18461245931903292,-0.18907073053043272,0.16378977913393275,0.6954964671460144,-0.08995032512013457,-0.03667808929794739,0.004779511011796238,-0.31393476114735663,-0.47263637019200605,0.10859496845504435,0.7076854691629118,0.6430251152056449,0.38009620970803426,0.5229815939700843,0.5864673647409829,0.2371808763060246,0.6847982369778065,-0.21528613271590805,0.6335582628636893,0.3537774827643364,-0.41383549429100913,-0.5579602921015537,-0.18260535232362018,0.24817730273587332,0.5667719720731825,0.3689249193858902,0.30120135401790993,0.17853866029898993,0.08954245953943411,-0.6075965297484943,-0.059618946329823154,0.5586463368992735,0.1260063920369968,-0.22321789466437164,0.4728266375014153,0.32516608643165484,0.24839884168875348,-0.43626866850439233,0.15612235349166403,-0.4204814028842347,-0.10899381283342098,-0.23323770828855267,-0.07098439090898477,0.3137819050292068,0.02700586691375481,-0.5351831376069095,-0.17412592306265687,0.3331743326943251,0.2232132244769734,0.6551490159553911,0.09677253140145524,-0.4835646063443847,-0.28027579182519313,0.7740650768250633,0.3961651592970812,-0.6149073390469822,0.08667735162993359,0.6788592099545356,-0.5385574137343816,0.3852718922589825,0.43843599954992535,0.5947627276568516,-0.6908229348099835,-0.7158499593936807,0.20085655467022226,0.7047818672809878,-0.3379189757349715,-0.3838119449906906,-0.07192805468215842,0.4358351377912575,0.24540009325294423,-0.5547089636789065,0.12178708879288715,-0.16062024523440505,0.016516319136517018,0.369078034196849,-0.16894949479653013,0.06629991239669644,0.5539382494593361,0.1617122824691191,-0.571744077257488
Temporal_Mid_R,0.26767689844012404,-0.16274784432569364,-0.6696355279767048,1.0,0.05638752710051943,-0.6039921040638137,-0.49255787350585883,-0.5922185354557059,0.3077754465663333,-0.0943978349422656,-0.01982722701622045,-0.23363266312647596,0.046975383915959346,0.7750422608354054,0.10578342815028946,-0.5937581412056139,0.29458421172300087,0.029392764948752634,-0.5330519615888999,0.36324425336493876,-0.15913549610193684,0.6053174107779321,-0.4186015729567853,-0.19631073642713934,-0.38340909571632076,0.5410847384653011,0.23813455058195826,-0.6049735061656294,-0.08526926614042,0.06432392419457007,0.14911696853048328,0.3601752712104352,0.36111822557887385,0.18346070456358857,-0.3623378352410609,-0.5923751144391212,-0.3272274240948539,-0.06078743666747378,-0.5221129195383568,0.01564444340390244,-0.8042025230280376,0.028976559947360578,-0.5346004602040855,-0.06550304805781237,0.27788822246764316,0.14325951396239686,0.2996518692786806,-0.3252402942956031,-0.5917425983499089,-0.6098977647010154,-0.10328062285275992,0.0033494004803133848,0.2479996977202033,0.4643416125881731,0.479372294845153,-0.21482165365198322,-0.3117476689034399,0.4766466036716191,-0.43524134178238905,-0.16757964437822154,-0.6812525378233131,0.03284192295686065,0.06658357137595018,0.42652285177558863,0.5120750115858,0.35857783324858483,0.3865156085655704,0.00042186664936666414,0.15308391600481888,0.4569801382693688,0.4704691129343356,-0.17672524231931172,0.36349413703813255,-0.4664404248928719,0.13326364386259035,0.41673762860011493,0.37947304884356087,-0.6869420531238852,-0.21151486847091128,0.7226989766055107,0.49505855063288684,-0.3063793200990595,0.47016323623392664,-0.05005663159130841,-0.0864483264261668,-0.27250321157471397,0.5470156049179368,0.7888912814149496,-0.5084044832321442,-0.38781864989679704,0.3415700642659435,0.1852406654688073,-0.10421170398075592,-0.01230810542731685,-0.1486364361753604,0.5372850765707528,0.07789684703606431,-0.01782986135560119,-0.46683296712572403,-0.11245591990314123,-0.26116488155251644,0.15357747544213898,-0.4413164815517274,-0.2401052224981868,0.27287455321217935
SN_pc_L,-0.22967062307741387,0.6291663556702549,0.5066039301667291,0.05638752710051943,1.0,-0.08786569097614991,-0.022685025022188277,0.12474543667068008,-0.36706416424845834,0.26666057404813726,0.14482904017765275,0.31086364144243367,0.3415504017243068,-0.10129762721249597,0.20731411622547782,0.48038608939555266,0.1801460122968162,0.4081257081339464,-0.2545114319332306,-0.27236272520178073,0.42999802974810397,0.5385697233629452,0.37700864024855696,0.10215770684292315,-0.13533915849853406,0.24618509296553198,0.5348466012529238,0.23241057330294476,-0.14784797601906785,0.008566784038353993,0.188275849184326,-0.02971201377698478,-0.29746370613693,0.43709766316040344,0.5211686805408473,0.19546856520348987,0.049582421578116556,0.5787956443999644,0.17493678274161037,0.326843856768175,0.13967365555649908,-0.3614229826899194,0.19528610104692756,0.39402477861305174,-0.3174625497527493,-0.6868017252791114,0.047721607794164976,-0.06241926024154228,0.17483187568404546,-0.07020144593657324,0.30545032844337067,0.07748495354026017,0.4230842472297232,-0.29890798498673454,0.4033315308632195,0.5132174425211513,-0.2745807763955914,0.13931007578729934,0.2825270484769799,0.2302355420793455,-0.40648919577843917,-0.5976419022317846,0.29734236383613677,-0.0663158112004418,0.3373162241113174,0.10647271519724422,0.21556034833932902,0.2931711377650071,0.3775295169587352,-0.27070530728713044,0.2551329202864506,0.2685409719609874,0.6200723076890851,0.5078716674586401,0.41062074155317946,-0.3217341324146506,-0.01792988194430399,0.3426316663103734,0.2698261022965627,-0.0688221177349429,0.6400668815702021,0.4887513231961028,-0.329537916924353,0.40801043307614365,0.5650603382831167,0.2399829850839354,-0.3721007725809487,-0.17612465671145067,-0.2986582697446083,0.4750961359338162,-0.06190784391719663,-0.4632463338612805,-0.19788442950686103,0.553267604045341,0.0810336985303497,-0.11928629252694865,0.2956760350971842,-0.2540548980871525,-0.49421861313866444,0.3323602426646737,-0.52040237325417,0.43280508892743813,0.2449773847872374,0.06306408971508946,-0.5248594355086093
Amygdala_L,0.09984089554692185,0.16878853383268833,0.39795253863412683,-0.6039921040638137,-0.08786569097614991,1.0,0.5246242877387133,0.579366589412305,0.05125376589599918,0.29212365930227346,0.022341446478801204,0.4235990537531833,0.15015346301366023,-0.4983288386507945,-0.09160935390648677,0.3528647391314483,-0.1421472641571115,0.06742870795440155,0.3280453833324063,0.10636386032538653,0.026717131491331092,-0.3943395715654054,0.1220331951571065,0.19803014170153319,0.51633280990737,-0.17290636409168322,-0.04447919680768283,0.46606924066890104,0.10264732441581714,0.1524307505282012,0.23212965853698175,0.02799898474910579,0.06616097455545666,0.08973038363982117,0.18442448886420557,0.2556687457880123,0.5799223680391982,-0.010294000114620517,0.25612830208947684,0.11600926792254437,0.7819761823511102,-0.09543127223934111,0.40950342486125363,-0.028771163884740117,-0.267672949210494,0.06904454496561904,0.05088025583772963,0.6188451638714859,0.6988954037841187,0.697641897394443,-0.0034746646425707142,-0.1542595378370477,0.2171664976228783,-0.12317119790115294,-0.1417547121160719,0.2824167640298911,0.3764287919752541,-0.27101573870395235,0.5056960929921523,0.2250993140387013,0.701146725717425,0.14479095010459972,0.1627156522959868,-0.30318226999288994,-0.2852986875265144,-0.08058738110820508,-0.19224745035728674,0.10791498555904554,0.30390666441406056,0.018364793437874383,-0.20335710731981357,0.4026272788160099,-0.2532158859157357,0.5517500856659983,0.33766914573892476,0.026685733233316765,-0.07605921739722447,0.6626556020107456,0.31713975943400213,-0.36011520859187274,-0.33467845238727434,0.16879963250934174,-0.26076277082214816,0.055008155879156244,0.3922150269617106,0.25781639673942647,-0.20110891417062524,-0.4663207491854691,0.3194868384157992,0.24162788840893462,-0.09447358551038919,0.021650719607732443,0.5321200239171126,-0.1813173708721463,0.3089285706006955,-0.2548268972580032,0.416753257158452,0.11151976830912688,0.6669601370849404,0.2908498598633087,0.6408715993965299,-0.08837287740606989,0.33176849535965336,0.2630958639376612,0.11761598897783064
Frontal_Sup_2_R,0.11613154427873118,0.1450950043145698,0.4334346544717868,-0.49255787350585883,-0.022685025022188277,0.5246242877387133,1.0,0.526864082597923,-0.04657385983036208,0.30317685363750185,0.2649847154777973,0.6439639209860547,0.186332972632842,-0.4545594340910983,0.15698521134800628,0.37855551093646517,0.06661478682642694,0.024460791193477677,0.5546926717828119,0.0658995011639232,0.3177245385577082,-0.28227830079383415,0.35965897587123,0.1686811041611374,0.4422215861508575,-0.12952468217494587,-0.12866079364036323,0.47358043580750786,0.07884002888634078,0.04201071445376934,0.1538758865533272,-0.010733864192519937,-0.05261830948832146,-0.08741830565807951,0.16106881000683373,0.6514654197371822,0.46471193421848556,0.16949676235996503,0.35553456628094615,0.19572627842049847,0.5732564705519527,0.06573982582380176,0.4048567976254905,0.25780873434173346,-0.0976846263499054,0.013726622290580522,0.11063642760570472,0.4769086244226759,0.5851848733033499,0.443233541157925,0.01873036318611827,0.15409080796417332,0.21039740375844115,-0.1708995742948033,-0.14191532490276965,0.35855103966997764,0.4735472731403435,-0.20808324211620388,0.3782696849042607,0.24593766761756622,0.5060511409984457,0.10645550542010115,0.2584685708761871,-0.22048790764436857,-0.11812201580764371,-0.1773464006576425,0.1350357510267702,0.3209817016210052,0.10660025898039376,-0.10891109720036957,-0.23671241184097905,0.36736873239112033,-0.2266727342379688,0.2811434053945859,0.1208446979572844,0.0649600538998698,-0.16727615414970182,0.5591169603770665,0.30830313226052153,-0.3273726640676083,-0.2538576817312663,0.24386245642706256,-0.18047305032554228,0.3296070658804522,0.25786339476099024,0.2330963271420958,-0.24220163627381835,-0.3490617570417224,0.42018621251456867,0.3039828094199761,-0.12978605973228563,0.058410980275068074,0.3342372716300297,0.06831416819548945,0.6121781138985097,-0.20602155090894073,0.2732643256303136,0.21612919882598025,0.44590041242534867,0.39024349679702885,0.34590768704067587,-0.14700005165445781,0.39500915341408743,0.32341379600017794,-0.018116016196598448
Thal_PuM_L,-0.061501344791840815,0.21595395983845056,0.6564048744150663,-0.5922185354557059,0.12474543667068008,0.579366589412305,0.526864082597923,1.0,-0.4261267230740482,0.21677761902455514,0.31169653403814634,0.3835516904224438,0.19398336507511768,-0.5077642885974223,0.09284629279406759,0.5511645346069686,-0.03158929378194049,0.06050672702978266,0.24325954827033708,-0.18611095908770794,0.4080256921262197,-0.22857060676825877,0.5268779372789087,0.22692628573150012,0.3827753330721951,-0.11742402929324121,0.0804693398650831,0.8249406292255358,-0.04904183119939748,0.013998625373463426,-0.22965487613615318,-0.4006377506465029,-0.4032645247701301,-0.1727827179306943,0.44277104888738533,0.5561517134166752,0.4949533935438154,0.30011911282056997,0.4091747473094509,0.042526894682244236,0.5701550012922454,0.061443928394984276,0.5853184191952598,0.2673901405781759,-0.11443258647160134,-0.11291526510798476,-0.14841495369486848,0.46440375344305806,0.5939331079997837,0.5106563717134506,0.14875909185589395,0.13323673594671376,-0.012495137563116362,-0.2659433384912121,-0.22659389159485985,0.4497759145872342,0.2408447348379824,-0.43412551490217505,0.43040154460640484,0.2205943285678041,0.5594362038103318,0.11115107329300232,-0.09314996284137673,-0.1160548428071806,-0.21708375201226157,-0.5181728811135984,-0.06443994620508411,0.24972428552958395,-0.013621625985741488,-0.39254751614872097,-0.48319417146829885,0.43286678855249594,-0.04477142976624434,0.5287119061827317,0.0004007948495100018,-0.13910019251379746,-0.37228224531160675,0.6352905197557117,0.5597529777297745,-0.3299523951728773,-0.18849958611976747,0.6742565003588,-0.13650353811761162,0.36822394366471284,0.2679112909464066,0.3912445929697279,-0.5856220778039909,-0.39314311664793006,0.14971244617436041,0.46692555053660206,0.01112140002541193,0.10048533848381414,0.3132544957167965,0.04306961447500357,0.27169077039719747,-0.31870924264603895,0.03259369861589571,-0.2233836316457397,0.37966121909483025,0.2963803842985472,0.25660609298298587,-0.03822134741269439,0.4616117133616474,0.12333828415718477,-0.3328983563291875
Occipital_Sup_R,0.4398579852513587,-0.4360450169907802,-0.5164540169688309,0.3077754465663333,-0.36706416424845834,0.05125376589599918,-0.04657385983036208,-0.4261267230740482,1.0,0.18146423680641785,-0.04700625325913452,-0.08547994272930848,0.0806019963340657,0.1697308351319228,-0.01979610098934731,-0.5132497786908651,0.14844184524819837,-0.35709339607405777,0.3027540812818914,0.5664826410248888,-0.385968587548297,-0.10666151369598585,-0.5104075546361168,-0.06931342219123839,0.10599233999114112,0.05585942942450934,-0.2329464916520465,-0.6259775676112385,0.11140699736216055,0.05545748791196478,0.5255590451156588,0.6422463750332232,0.8699592091988796,0.019543582900868127,-0.5848911641501094,-0.4234789563285349,-0.10427755445489861,-0.4017810093894847,-0.38485662070174603,-0.008189086404517905,-0.12977969190525307,0.2838423844097563,-0.49106308904803264,-0.20879733115143514,0.07521794304194035,0.5663207672324709,0.39520461903478105,0.22167670692982291,-0.08150276424808062,0.08324398488071179,-0.22073532186957634,-0.1140629330497322,0.07790890284130539,0.6149068040067563,0.10769390288789209,-0.24589845033524185,0.3490923722254994,0.39974427021916054,-0.14076588561781825,-0.059900847458155326,0.08098295366581504,0.32097150026789484,0.21654564345190103,-0.02608253415374875,0.08812715136146927,0.6717493168922527,0.22485816265934047,-0.10436930117616129,0.09071145113859481,0.8302220099869371,0.40884663783068215,-0.3226844033167343,-0.3061164726662466,-0.3281643324737407,0.15850074822547333,0.6201707238175799,0.5132349803533502,-0.34510812745245495,-0.14098103912960414,0.18499210218267048,-0.18059805583087996,-0.6969227333330748,0.24038402828816935,-0.24711772130795356,-0.15965042018188924,-0.1143142852767363,0.888456347032938,0.2317683999280126,0.4125392828591724,-0.4870812174258245,0.10774117919995407,0.3153876341179411,0.4755663692905538,-0.4423693947544497,0.0699727811176888,0.24233491553245273,0.25053155100258434,0.767238714092017,0.37397630439623036,-0.1580290344615137,0.48496568682447466,-0.013209985703906432,-0.30533990028998237,0.1386232975655284,0.8607921483568055
Cingulate_Mid_L,0.18517248783262302,0.20192511327643703,0.291721278854185,-0.0943978349422656,0.26666057404813726,0.29212365930227346,0.30317685363750185,0.21677761902455514,0.18146423680641785,1.0,0.08747038560893358,0.4725103019285514,0.2482359565149443,-0.2508287076397744,-0.025484138230876967,0.30170419308885443,0.5273537745011805,-0.10840704470302867,0.22742268696208115,0.17756147696074356,0.2733308950393188,0.21337786563840558,0.2774760911122805,-0.019047831199866905,0.3050826125276053,0.29352706828657116,-0.01565741981125594,0.0908925081988197,-0.3317196884151904,0.15953387481266246,0.5213177915263584,0.12249486776919198,0.21420346238378424,0.07819985598949081,0.32685974978963483,0.11014844671693415,0.34811060860396864,0.1403525578821641,0.021033420786501583,0.32189059350452365,0.30991195718918035,-0.20544007155368135,0.1929235446896615,0.2636792453600901,-0.4038240649042743,-0.11617274339338186,0.23278629581490623,0.3099010234575612,0.5307151656328116,0.4807109318885897,0.08687594042118192,-0.20663644928101807,0.3711403340185018,0.10455464431028576,0.28330885009986856,0.46434714711275077,0.2953750079703937,0.3993233656255164,0.27682769203671576,0.20128786386592154,0.20455456517094442,-0.06613893975260408,0.5503871845745072,-0.2512929430329012,0.35354071337291865,0.3752735338007871,0.21865252048496356,0.17916261838157357,0.256493388306052,0.21226297130580699,0.43226617019432395,0.28606338715978674,0.09215615989723484,0.20235195308784534,0.26485661066183847,0.2017578323931647,0.4422927198662379,0.24452305439914993,0.402087441222293,-0.024690903579079646,0.11033659859647435,0.10271663139033801,-0.24663771854683192,0.10103120818958514,0.3353832701255378,0.21620688814581274,-0.06017166850957433,-0.13091095528472932,0.24575331704219977,0.1820432425873649,-0.040300471857022284,-0.09890291390015397,0.4261702637595911,0.08912925019172116,0.5030339982343371,-0.1735928270566109,0.44812377988852886,0.16019662710057922,0.2556059985966841,0.3774289114863177,0.19183544658333881,-0.13469557314927103,0.19019032220492432,0.27764975173197043,0.06541676298989933
