,Cerebellum_Crus1_L,OFClat_R,Rectus_L,Thal_VPL_L,Temporal_Sup_L,Thal_PuI_L,Cerebellum_Crus2_L,OFClat_L,Rolandic_Oper_R,ACC_pre_L
Cerebellum_Crus1_L,1.0,-0.1310941291690576,-0.23834063799830116,0.15846091425435632,0.1888555332243716,-0.4051180001826256,0.7336331588661633,-0.18445982614893366,-0.2349428297194072,-0.3708937751285509
OFClat_R,-0.1310941291690576,1.0,-0.04091432471064863,-0.20362578564079403,-0.32168669266772393,-0.21242003128765494,0.2619065343927939,-0.34069980016162843,0.051783612636920724,-0.2892954613249243
Rectus_L,-0.23834063799830116,-0.04091432471064863,1.0,0.09516808756920596,0.01995534686302475,0.21140677976489552,-0.2503792310503012,0.20420581526295936,0.1829731544064231,0.4117923734987617
Thal_VPL_L,0.15846091425435632,-0.20362578564079403,0.09516808756920596,1.0,0.08064878467136224,0.37521333689860525,0.02847116216168851,0.04259368626755308,-0.009517827626692626,0.059437788745170056
Temporal_Sup_L,0.1888555332243716,-0.32168669266772393,0.01995534686302475,0.08064878467136224,1.0,0.1645723289599823,-0.2693269016035445,0.7093094461204114,0.4798916527824755,0.06685494490548174
Thal_PuI_L,-0.4051180001826256,-0.21242003128765494,0.21140677976489552,0.37521333689860525,0.1645723289599823,1.0,-0.5261108106370441,0.42606490395744995,0.35546634621678885,0.36087927352856464
Cerebellum_Crus2_L,0.7336331588661633,0.2619065343927939,-0.2503792310503012,0.02847116216168851,-0.2693269016035445,-0.5261108106370441,1.0,-0.6554417583181782,-0.35325214117529624,-0.4568628536400453
OFClat_L,-0.18445982614893366,-0.34069980016162843,0.20420581526295936,0.04259368626755308,0.7093094461204114,0.42606490395744995,-0.6554417583181782,1.0,0.3995778235654864,0.25884650816321164
Rolandic_Oper_R,-0.2349428297194072,0.051783612636920724,0.1829731544064231,-0.009517827626692626,0.4798916527824755,0.35546634621678885,-0.35325214117529624,0.3995778235654864,1.0,0.131285213646487
ACC_pre_L,-0.3708937751285509,-0.2892954613249243,0.4117923734987617,0.059437788745170056,0.06685494490548174,0.36087927352856464,-0.4568628536400453,0.25884650816321164,0.131285213646487,1.0
