,Thal_LP_R,Thal_MGN_L,SN_pr_L,SupraMarginal_L,Cingulate_Post_L,Thal_PuI_L,Parietal_Inf_L,Postcentral_L,Rectus_L,Temporal_Pole_Mid_R,Parietal_Inf_R,Cerebellum_Crus1_L,Angular_L,Fusiform_L,Vermis_3,Raphe_D,OFClat_L,Cerebellum_9_R,Fusiform_R,Angular_R,Thal_VA_L,ACC_sup_R,Cerebellum_7b_L,Cerebellum_Crus1_R,Cerebellum_7b_R,Temporal_Pole_Sup_L,Parietal_Sup_R,Supp_Motor_Area_R,ACC_pre_R,OFCant_L,OFCmed_R,Red_N_R,Temporal_Pole_Sup_R,Insula_R,OFClat_R,Rectus_R,Thal_PuL_L,Heschl_R,Paracentral_Lobule_L,Precentral_L,Cerebellum_4_5_R,Frontal_Inf_Tri_R,Thal_LGN_R,Cerebellum_6_R,Cingulate_Mid_L,Temporal_Sup_L,Temporal_Inf_R,Pallidum_L,Cerebellum_8_R,Amygdala_L,Thal_IL_L,Insula_L,Frontal_Med_Orb_R,Vermis_1_2,Cuneus_L,Frontal_Inf_Oper_L,ACC_sup_L,Frontal_Inf_Oper_R,Hippocampus_R,Frontal_Med_Orb_L,Caudate_L,Thal_LP_L,Thal_PuA_L,Vermis_7,Thal_PuL_R,Thal_VL_L,Precentral_R,Cerebellum_Crus2_L,SN_pr_R,Frontal_Sup_Medial_L,Heschl_L,Temporal_Sup_R,Cerebellum_3_L,SN_pc_L,Occipital_Mid_R
Thal_LP_R,1.0,0.12262746302288637,0.26865328388782056,-0.26281702815483554,0.34345026143115714,0.43126513090069696,-0.11909419958767152,-0.11113208266463429,0.14840134429227878,0.2650505422456592,-0.13629185721349135,-0.05199073019257312,0.06036577590987131,-0.10369850680960409,0.4489969028126398,-0.08788098449032722,-0.012743681685825452,0.11540745116422205,0.15331222906887182,0.02955706341103487,0.516586012976871,0.3693588317908557,0.048365576019157884,0.03886675336615864,0.0309351207834504,-0.15627975040857375,-0.122203168494009,0.14793460091324606,0.23591356640217745,0.20744614565045633,0.26081365115849586,0.0787680595202483,0.23284583545755738,0.20652213083986024,-0.08245928944819955,0.052979540744187106,0.15214044132636445,0.32483867875983274,0.0444270470307249,0.09286454981513424,0.38005526740823975,-0.06783865299643789,0.12712605041622177,0.20296832615753854,-0.025484138230876967,-0.18574004689852877,0.09777243773705875,0.517689311388105,0.11769026395107945,-0.09160935390648677,0.18939918741887615,-0.02088281282618484,0.12323284693305712,0.22377032694001714,0.27795567621777506,-0.0380856969702074,0.21930457106137086,0.016261794264590804,0.3038792374574553,-0.10670536209562323,0.342911310820232,0.2543828396151576,0.4975883838754974,0.3627246687188333,0.48934177763749903,0.7168612066565117,-0.03466816508422283,-0.09372852801824132,0.07940880690342177,0.2240017278552691,0.13741366717795053,0.17542088395791902,0.23704194885791766,0.20731411622547782,-0.011460930322827469
Thal_MGN_L,0.12262746302288637,1.0,0.4116319523524193,-0.003201591505371814,0.27491789585172155,0.440082760555427,0.16053203982658867,0.10996089479174008,-0.037859685100506545,-0.1265833265141006,0.07421378216222464,-0.2504936887894708,0.05019465460950457,0.0022724614460937474,0.18343128289842606,0.16174655453881395,0.2690844772137487,-0.21823846101330238,0.1221429489806573,-0.013751579924728412,0.2515963836367083,0.19798836392755265,-0.13175942684700367,-0.15855335803058623,-0.18000738216049306,-0.08056790143854117,0.12758137872231193,0.24864395230533692,0.3194857045489263,0.40914820185034934,0.196367076860197,0.32516608643165484,0.026780347695366052,0.01302429077672377,-0.021795461057042623,0.4653849959018105,0.31671931579802853,0.04203714991467286,0.23496326198915243,0.18862363134505994,0.32080607692633745,0.16672356991980247,0.45215362257773756,-0.13107367604704165,0.20128786386592154,0.08927604199717346,-0.01575817021558014,0.41735972329527543,-0.17812722185333466,0.2250993140387013,0.11193177492488869,0.054259227537954396,0.1445543015163694,0.3080355458299263,0.13574035835382545,0.09289006886454677,0.15255911342699552,0.1733725237958727,0.18235549734654466,0.07043450529286144,0.21778520161210374,0.21968426729023285,0.06606807674714593,-0.11765931371910575,0.10588138074394901,0.2682928402113527,0.047265580473070286,-0.3183601370576198,0.30991144791439373,0.26027810135491325,0.04285213230908616,0.05471153872755662,0.1964533048362888,0.2302355420793455,-0.18234319655696507
SN_pr_L,0.26865328388782056,0.4116319523524193,1.0,-0.3100541978387661,0.4555448532636641,0.5850868781879413,-0.09150205112394325,-0.1639630554228199,0.14345446256374025,-0.1604848788843176,-0.03461931898436745,-0.4645066133332061,-0.28070300389272,0.023085070440955795,0.18825240984564737,0.5865694235482178,0.4860257124407116,-0.34282857079077556,-0.002782946171850784,-0.21755027734439153,0.6229417348650175,0.3592544610781913,-0.20954016385885246,-0.49785816277271694,-0.42435057587441777,-0.3114989098355973,-0.05155317647274337,0.22735132337254338,0.46955339815087266,0.5739083556372999,0.2725240582245126,0.7047818672809878,-0.14408344063732606,-0.02577918984973818,-0.010939491495911825,0.40689122685696655,0.6145025553117989,0.1074846476314365,0.20652992979882556,-0.011176550278627097,0.4216483488160744,0.3021522941540722,0.6361959305036191,-0.3531220493485842,0.1820432425873649,0.15598585396251785,-0.25926066324933783,0.46417013222171344,-0.4618566064205706,0.24162788840893462,0.34525244254662196,-0.09030571422705574,0.10907177479450059,0.40749621630593047,-0.1502332148299167,0.3006578191536093,0.4799704494209019,0.23220143496019646,0.4387137687015734,-0.045546777780463156,0.24017833120014664,0.5954548437253399,0.29678596254368583,-0.3135234893171686,0.5189512011742359,0.5379275245888212,0.050744330002695154,-0.5075740095747452,0.0918607146558141,0.19789318968074182,0.3260627769933658,0.18255386830998585,0.3308183193364735,0.4750961359338162,-0.5833669754545939
SupraMarginal_L,-0.26281702815483554,-0.003201591505371814,-0.3100541978387661,1.0,-0.05706903919999811,-0.1610651186768673,0.8019267925437418,0.7589035017089252,0.04062750830075605,-0.20671608799335708,0.17568949926062494,0.021983898038585824,0.6541146460604116,0.01893027211689262,0.0690030024706869,-0.0731499690697091,-0.17238801546939764,-0.056838608438385924,0.3810287217623685,0.2877610300123261,-0.22241019574714976,-0.03466352869794443,-0.09596392456763647,0.2416539853041033,0.27928978075127814,0.12405543541406659,0.4497327054645114,0.17979000421022903,-0.0042541339688675905,-0.09580263875765607,0.08998710720958787,-0.28027579182519313,0.2654049621934785,0.3880999412734788,0.0686993337790043,-0.13102376262674903,-0.36404580578247525,0.1437619566058776,0.5312133063465478,0.5577511047146989,0.12393112266034398,-0.0028947985195771583,-0.13050797220832897,0.2628852471029363,0.4422927198662379,0.21421325739238337,0.30439265609611965,-0.10335668531298285,0.15842614139368766,-0.07605921739722447,0.02573066550823312,0.32123873071954684,-0.08630304371919895,-0.1599788934092648,0.35779420948543,0.020087496740914652,-0.22308738610590656,0.3520232231218157,0.03404974897767011,0.15186639486772657,-0.029224834542587123,-0.49468303721499796,-0.146175023494877,0.05540504055904031,-0.3463878384524947,-0.27928768884472677,-0.05002899923460605,0.08781699683946836,0.07369919575865337,0.22158595541505183,-0.08392709268750351,0.273969582324858,-0.08438078754539755,-0.01792988194430399,0.45542137574847624
Cingulate_Post_L,0.34345026143115714,0.27491789585172155,0.4555448532636641,-0.05706903919999811,1.0,0.4960663001467384,0.0186618603605818,0.01041738970322732,0.17396931358521758,0.0017517398277595844,-0.09951642275962648,-0.10060359720165328,0.06882203182142489,0.16788720183141548,0.35928752803193353,0.2995632522152518,0.3231067524437752,-0.007489592438593764,0.2895251179770996,-0.11673835679669672,0.5252099800793256,0.42651775940806486,-0.1061221981232635,-0.06184472219799476,-0.07328933683620727,-0.022925859605142984,-0.10705283976856159,0.4553992573372584,0.4561696993880278,0.3425759773861073,0.27642043162436825,0.369078034196849,0.033952637470761625,0.1494699371930188,-0.15276066523169526,0.06576511307152307,0.4114023041452936,0.24350692779428912,0.2835844046366515,0.2802352336025121,0.45516690086348954,0.06412960915584645,0.479373018059439,0.09947064079118044,0.3774289114863177,0.20152895920285388,-0.007213264242105042,0.5217304549216321,0.07543166304026112,0.2908498598633087,0.4181161889014031,0.12454547799021758,-0.011622066737363787,0.3700549031230847,0.28683040214038713,0.3514284267566308,0.45121009419702923,0.1663262924938747,0.3110563889690027,-0.01936620878138395,0.47842414244175013,0.45019610823573486,0.4074947568429058,0.14076695604251022,0.29611153166673726,0.5396682595225973,-0.05508956932193957,-0.266562253448329,0.019034418725465015,0.5948934038477847,0.3893820108459626,0.1360068708705639,0.44760962013939004,0.3323602426646737,-0.23210001978901582
Thal_PuI_L,0.43126513090069696,0.440082760555427,0.5850868781879413,-0.1610651186768673,0.4960663001467384,1.0,0.059479395061619485,0.003328280177800806,0.21140677976489552,-0.13578385151870329,-0.007319301224105065,-0.4051180001826256,-0.06443369079816404,0.031060224285921062,0.46560010091590315,0.4883173516068323,0.42606490395744995,-0.3321663176264467,0.123854269955171,-0.13326239797062886,0.584400014380555,0.6219778697321441,-0.31866885593509947,-0.33985748345721656,-0.29496015400377196,-0.24746691144458255,0.04823672859328311,0.3781967572440936,0.555962791108341,0.5654493683428531,0.34349660953580896,0.4828104068675323,0.02010038770014479,0.12429518173148457,-0.21242003128765494,0.07925178552330078,0.533356938684478,0.13640650132422477,0.4468975392880124,0.16643558108867573,0.5401067775585792,0.2796493125827209,0.6787419547790162,-0.15970141975946395,0.19172849590151614,0.1645723289599823,-0.18585095073940167,0.5798221469977162,-0.3242482099077384,0.227403183651906,0.36578104895200797,-0.006554920331619259,0.15609219852478623,0.47709443138796825,0.0158804048235673,0.2777374235784844,0.5722363676104167,0.34555384516420906,0.4559343332855136,0.06967924272226349,0.325397064302798,0.4726596411014926,0.2456620663410855,-0.10668531170082818,0.444230601503594,0.5544352897692253,0.056674868020682424,-0.5261108106370441,-0.15253592600805654,0.37447110177416154,0.34935369112942966,0.19751887298522508,0.4346834055092782,0.3981174203800002,-0.4282766055272656
Parietal_Inf_L,-0.11909419958767152,0.16053203982658867,-0.09150205112394325,0.8019267925437418,0.0186618603605818,0.059479395061619485,1.0,0.9093410557432531,0.14727139188537347,-0.2858557653378879,0.01675500518736446,-0.3895200141247605,0.6956639526372687,-0.32123826760893515,0.19667450316609536,0.09054782862809446,-0.19886707080394314,-0.3660567224742512,0.4593503644134528,0.16897877578072062,-0.08613869661780948,0.12712693968746122,-0.3677154495182797,0.112626609797484,0.27272734913298297,-0.20746138512635218,0.46787548199695217,0.21796340674213335,0.26686302157509567,0.21926214345427997,0.3544396419834478,-0.17412592306265687,0.511670292587101,0.5323108744868323,0.05487507925733987,-0.04525739111665507,-0.32175872901688357,0.3867638390425323,0.6938784666957644,0.7678927550847219,0.3080775375452936,0.1090354773044122,-0.008671680067415657,0.20252285127336006,0.43226617019432395,-0.07781881026441043,0.44844669033763734,0.0637138813858581,-0.041054940613506875,-0.20335710731981357,-0.04265590131615826,0.02112593475367765,-0.08953812460964751,-0.049887401891603955,0.4381682683619655,-0.19938497971394467,-0.1568798603632171,0.4588927659905125,0.3756985520705494,0.23205223647448248,-0.15400263142864234,-0.5070492669928605,-0.22995566218389304,-0.021270905095883377,-0.16271001955897776,-0.16388327510392062,-0.18408390258053253,-0.19153628752846663,0.18866146903209147,0.4116245558736124,-0.31205933693745974,0.532957453372323,-0.11297283277852076,0.2551329202864506,0.35512447362788874
Postcentral_L,-0.11113208266463429,0.10996089479174008,-0.1639630554228199,0.7589035017089252,0.01041738970322732,0.003328280177800806,0.9093410557432531,1.0,0.0035792935413748077,-0.21893880603150748,-0.06246046894397032,-0.28045450236360103,0.7055834412206169,-0.2989134546497509,0.16385731020314057,0.009530995087395962,-0.315539600779878,-0.23691154333471368,0.4669391269194359,0.09780844541715587,-0.1309203631888923,0.20187419492447667,-0.3250288121035009,0.2052946204278801,0.3153820886563237,-0.1901218004230308,0.32123044415128604,0.3280651932905245,0.1265690675743336,0.005481265224111149,0.20493990424197336,-0.22321789466437164,0.45566575155333056,0.48695458505723266,0.060430956602803114,-0.049895804727936685,-0.3422194954781004,0.3493803427364734,0.540463976514806,0.8543543135456985,0.18690558800936385,0.006775341670534317,-0.0023725336563098685,0.2563530417172988,0.3993233656255164,-0.14286980589270193,0.46462182742010744,0.11619004356977831,0.08271005935109306,-0.27101573870395235,-0.09102986774386089,-0.008285839436048869,-0.16076788548629234,-0.10612631755229407,0.3959191812422827,-0.20731702288221338,-0.06100324106374916,0.3295928849977553,0.3349353321872961,0.05634346657390916,-0.09072210470758903,-0.4898017996575826,-0.1882660521898636,-0.008151523860948076,-0.1987500497918985,-0.1540390462724949,-0.18413477732112207,-0.09151891586248001,0.15978357271527002,0.35339023336301933,-0.3711255129915908,0.4297638966363754,-0.18532757510959305,0.13931007578729934,0.3535920745296259
Rectus_L,0.14840134429227878,-0.037859685100506545,0.14345446256374025,0.04062750830075605,0.17396931358521758,0.21140677976489552,0.14727139188537347,0.0035792935413748077,1.0,-0.2213299780056203,-0.060607115641932024,-0.23834063799830116,0.03306219429022051,-0.1579794536730131,0.12914228142762854,0.2648745170953267,0.20420581526295936,-0.14225130602763858,0.07905735515138354,0.04448767226861836,0.32147718605672565,0.20014897043104735,-0.1722491243054041,-0.08383695234293599,-0.12127713886938807,-0.05291618857466861,0.0596028670419701,-0.022180568669066394,0.46484463600155734,0.48074961029350644,0.4415056509123851,0.20596775078120605,0.2251087992723557,0.26950141779688475,-0.04091432471064863,-0.05324325403495873,0.15414954685584745,0.21157081970611427,0.28303796862271735,0.031960262077562404,0.18033677977600604,0.18007551286133625,0.13218911009940054,-0.05114866281251091,0.24420729995105434,0.01995534686302475,0.08923460445971494,0.11459417417953993,-0.11608087013000341,0.07350211410725457,0.20004776132997076,0.06062132547467148,-0.0303743859344691,0.18914355347010742,-0.029037703272094244,0.15952410431711678,0.14282426310109952,0.35753672224846567,0.2923514815429857,0.2769300134869405,0.022121557029687034,0.15785209983814355,0.11115452794010348,-0.02240427272175172,0.19814501260630463,0.2525870685167701,-0.04773989564433784,-0.2503792310503012,0.12841053150409626,0.2976427158918426,0.027109491253363968,0.29070065910402143,0.21258122565473078,0.44190000974911664,-0.1195783585866044
Temporal_Pole_Mid_R,0.2650505422456592,-0.1265833265141006,-0.1604848788843176,-0.20671608799335708,0.0017517398277595844,-0.13578385151870329,-0.2858557653378879,-0.21893880603150748,-0.2213299780056203,1.0,-0.19088943854524093,0.4065485660650804,0.009037266342942392,-0.010232810383850153,0.126809947743917,-0.4193207412136651,-0.33867810994483066,0.456388487932956,0.014466455859566477,-0.015860071308179097,-0.01905135781839687,-0.1738474726363021,0.3664233966216557,0.41352086981074826,0.38602449195200844,0.06153539863478153,-0.2857528839516148,-0.05004446725290151,-0.3884419007531142,-0.3842253136056335,-0.15758563833609024,-0.41383549429100913,0.13415414762845176,0.06985485600798778,0.15429703108653547,-0.00930060395096951,-0.2901939001620125,0.062370306672126966,-0.3036592297327818,-0.08796120637522173,-0.11238778429416076,-0.16224168777434628,-0.3005797184709513,0.3804096005735445,-0.4038240649042743,-0.29452894368393584,0.17612700164988734,0.05289822601489235,0.5223605492425073,-0.267672949210494,-0.04263078792991201,-0.04427447440408074,0.16645510597405946,-0.184363815567249,0.15397827372004297,-0.297336847145962,-0.21567613711923372,-0.2716841866274026,-0.1597231315766239,-0.3985704996742903,-0.008197058012817657,-0.029934822070919565,0.189460653386792,0.46784638993937017,0.13350353446781152,0.16534531238939795,-0.10929546413055584,0.5356816467657407,-0.08369595707719411,-0.18522603692798334,0.024495704437273575,-0.09718755603806765,-0.16572580020105437,-0.3174625497527493,0.24407997911702994
