,VTA_L,Putamen_R,Hippocampus_R,Thal_LGN_R,Cerebellum_8_L,Vermis_7,Temporal_Mid_L,Caudate_R,Lingual_L,Cuneus_L,Cerebellum_9_L,Cerebellum_Crus2_R,Cerebellum_4_5_L,Thal_VA_R,Cerebellum_4_5_R,Thal_VA_L,Frontal_Inf_Oper_R,ParaHippocampal_R,Thal_PuM_L,SN_pr_R,Red_N_L,SN_pc_R,OFClat_R,OFCant_R,OFCpost_R,OFClat_L,ParaHippocampal_L,Temporal_Mid_R,ACC_sup_R,Cerebellum_7b_L,Thal_MDm_L,Olfactory_L,Vermis_10,Fusiform_L,Fusiform_R,Frontal_Sup_2_R,Cerebellum_Crus1_R,Rolandic_Oper_R,Temporal_Pole_Mid_L,Angular_L,Temporal_Inf_R,Raphe_M,Precuneus_L,Thal_PuL_L,Thal_MDm_R,ACC_sub_R,Temporal_Pole_Sup_R,Red_N_R,Supp_Motor_Area_R,Cingulate_Mid_R,Vermis_9,Supp_Motor_Area_L,Hippocampus_L,Cerebellum_Crus1_L,Putamen_L,Precentral_R,Rectus_R,Thal_PuI_R,Caudate_L,Thal_IL_R,Occipital_Sup_L,Thal_PuI_L,Thal_MGN_R,ACC_pre_L,Occipital_Inf_R,Thal_MGN_L,SupraMarginal_L,Occipital_Sup_R,Cerebellum_Crus2_L,Paracentral_Lobule_L,Precuneus_R,Parietal_Inf_R,Vermis_6,Frontal_Mid_2_L,Temporal_Pole_Mid_R,Vermis_3,Thal_AV_L,Thal_IL_L,Pallidum_R,Thal_PuA_R,N_Acc_R,Cerebellum_3_R,Thal_MDl_L,Frontal_Inf_Orb_2_R,Heschl_R,OFCant_L,Rectus_L,Thal_LP_R,Vermis_8,Insula_L,Cingulate_Post_R,Cuneus_R,Angular_R,ACC_pre_R,Temporal_Pole_Sup_L,Frontal_Inf_Tri_R,Cerebellum_10_L,Frontal_Inf_Oper_L,Cerebellum_6_L,Lingual_R,ACC_sup_L,Occipital_Mid_R,Thal_VPL_R,Postcentral_L,Frontal_Med_Orb_R,SN_pr_L,Raphe_D,Frontal_Sup_Medial_L,Temporal_Sup_L,Paracentral_Lobule_R,Frontal_Sup_2_L,Cerebellum_8_R,Calcarine_L,Frontal_Med_Orb_L,Postcentral_R,Parietal_Inf_L,Frontal_Sup_Medial_R,Pallidum_L,Precentral_L,Thal_VL_L,Cingulate_Mid_L,Vermis_4_5,Parietal_Sup_R,SN_pc_L,Occipital_Inf_L,N_Acc_L,OFCmed_R,Thal_LGN_L,Temporal_Inf_L,Thal_PuM_R
VTA_L,1.0,0.4315721637692467,0.4795893230562545,-0.0029353988736464365,0.10705432629655914,0.030917916304420437,0.013673215810518554,0.433017829823254,0.02883185489805554,-0.06976678760918806,0.217629097762068,-0.15899428513366876,0.2059004600904479,0.4699808793461502,0.1692437385640317,0.3630902855998205,0.2515385327241335,0.5228254131413993,-0.013050763585069522,0.7277830516693433,0.18113212568588638,0.7859018630663309,0.22807637783540388,0.32981176905384,0.4834461145097668,0.1856733314162613,0.482023880077468,-0.0034011613720953517,0.1428802267318678,-0.24298535366632562,0.03223618970465434,0.5076563162322246,-0.043023652008650395,0.30260700560240683,0.1793753257971727,0.2750565284920059,0.21906439970343575,0.20432802359401173,-0.076801793096055,-0.2755557397510637,-0.12188223340855948,0.13852488720865247,-0.05925808774707229,0.158174626345464,0.3557418524864626,-0.2697123091561796,0.35901319050328845,0.2878014177520676,-0.01624740356204638,0.32252233530466845,-0.0669231203185394,0.12783499125902292,0.576957216162013,-0.05804010555388404,0.4223651194612107,-0.03244906044602855,0.282866644587268,-0.20871900467589902,0.3976205943373548,0.321477856593991,-0.17920820754053393,0.4383734460604006,-0.190344173898394,0.30025806943514016,-0.15939526951359054,-0.11718036790352865,-0.1069870094273824,-0.18841890534259811,-0.22170417649608226,-0.17564406798131169,0.01806390610512093,-0.18716189202078773,0.08612196856082725,0.04190091781589856,0.3056952924108389,0.3607761110818032,0.3176780265238797,0.46241973854364277,0.24639893180429204,-0.29450508896997263,0.0938378691329442,0.19314373923295505,0.3188531195117025,0.3938136929200518,0.21240411857145855,0.12888238405747374,0.14684633216819498,0.2176796703430189,-0.05471552433659639,0.39819659338482793,0.17675922179284476,-0.4223075399044259,-0.12124060435703021,0.5388986875478329,0.17556688215704314,0.35434169055453646,0.3602521744384607,0.3806773565295244,0.07033529487609945,0.061269016478724084,0.3026057682574803,-0.22346995340066717,-0.20457115086339916,-0.17288181975817482,-0.0929075119124712,0.35964315140662795,-0.2327407056365674,0.43876567632833047,0.22835689754151042,-0.08824209589978768,0.2185763192922476,0.2368075376489054,0.027056583798109032,0.3977736555170067,-0.02715534072679424,-0.20030430295318014,0.49563915030101324,0.15627101739229868,-0.16982836930264225,0.2764596682006828,0.2852722113979432,0.21130894629501015,-0.3412967949245878,0.16294279249178437,-0.08112216402717172,0.5579970301284096,0.1361252868528902,0.0622347198703628,0.21544864967840122,0.24127701244853286
Putamen_R,0.4315721637692467,1.0,0.7663924799748525,0.4087550956113148,0.09239731296433776,-0.2558702147980615,-0.2675613127568901,0.6645964934810408,0.053591952882629065,0.0860598341466708,0.3219235265238743,-0.2245768313912909,0.20962970405949877,0.5164899626784994,0.3065999124269109,0.6167333455388861,0.6686463049389089,0.8068790069457786,0.5783516665293232,0.7302638454597646,0.43752805350455715,0.6407360273042944,0.3860980844415468,0.38639556234068506,0.42884119581961233,-0.17229346218210728,0.6625264852149972,0.31291489277370665,0.6079448184609356,0.11033760174139201,0.6692023793928974,0.5340458911625932,-0.1520176071768407,0.039965790682608214,0.4805414230625755,0.6112580107935889,0.2048671491011689,0.6589931293855045,-0.11857126115711245,-0.21152170388851374,0.1388422847079995,0.49472800988440346,0.48251492251322187,0.5519043072957346,0.7248710228737687,-0.28870725076441517,0.6543754237438952,0.44600161857933823,0.439230114055325,0.5648500351032323,-0.39525884866569866,0.5418214055675274,0.5429198406494841,-0.28734844618291505,0.6182031057490361,0.3082788184790527,0.20005256319226788,0.20683504770027863,0.7195557687507906,0.5684652707053421,-0.070588703163942,0.65328520664988,0.17994788324217728,0.4999402530029669,-0.06101545940064032,0.4534973161727102,-0.014496657980871339,0.06357239980459307,-0.061907210111651255,0.3863423815752805,0.5360216251871004,0.09581524050817755,-0.22068308681578844,0.5153782919486254,0.5385068044098864,0.6886798198102398,0.45241269087378816,0.7034619109481689,0.6081879412033987,0.1417482513834144,0.49890414521206067,0.7402323589214479,0.5516751194008516,0.7166296436421877,0.5546819328779082,0.3795028893782619,0.4851286020898312,0.4710868673301076,0.22254694377804304,0.5009000259943626,0.46690164884015295,-0.12746703475997065,0.14784677201645632,0.4246041850957,-0.11240900306047619,0.7725958539624317,0.4393783360477538,0.18631802815247367,-0.17014264603374657,0.3201021977611463,0.5934562510959484,-0.24621548133363708,0.20304876402097027,0.33970767510261674,0.07538021596314746,0.5395879764621531,-0.24347110522629797,0.3867770003505623,0.4090449791695436,0.3171824299302133,0.4656674457776768,0.10208021263128302,0.2151404279047986,0.2845173392160573,0.26402050943374233,0.2532378336032573,0.5799377815553489,0.46805442574296446,0.35598336463975006,0.5691623296081543,0.5523163080486698,0.37724642428246674,0.09833807968766266,0.3909771139651441,-0.42454203661942735,0.8102105710017534,0.10654966211698935,0.3589091857391112,-0.06963397955644138,0.7037040756237737
Hippocampus_R,0.4795893230562545,0.7663924799748525,1.0,0.5371024196103826,0.09325415835712565,-0.24445043184058432,-0.21730001445683841,0.7626580143754377,0.18757939787025882,0.2013801082396903,0.4871841118237577,-0.12423354970466323,0.34761479677712565,0.6312634367371848,0.43290011301431375,0.5171042966770454,0.655168051232969,0.8635352823604172,0.46985323849478755,0.7487719012806613,0.3111644017608298,0.594413947068765,0.5333268779875046,0.6018286006766013,0.6646405250595595,-0.13449659390341132,0.8045987433394445,0.5144137497453383,0.4900786921764338,-0.05534568480927153,0.5861438945046434,0.6191543055778651,-0.04513144294110229,0.19625161054916368,0.6232343423964485,0.6834899706908633,0.3568141934816262,0.5758413593674581,-0.11064243355497372,-0.32934928476819636,0.3632912981259167,0.42164699172469955,0.4776968033307269,0.37432014312000417,0.5772590052524654,-0.33617484224694805,0.8088398982317839,0.3775202667841268,0.35279112910067745,0.629163310606408,-0.22665557002269057,0.5088419908479389,0.6250657194367051,-0.1564417566227772,0.6665932720528617,0.19014000595283762,0.271687500531291,0.3184493458837437,0.7001072399318468,0.44725521924388423,-0.08593134888792453,0.6495596724628773,0.02606412613637544,0.5988245776327185,0.004605459785190677,0.4615122183307114,0.054050722278662415,0.11187040814131341,-0.12155666697882693,0.30603899722062383,0.5573731433482739,-0.060296303271222346,-0.14347847233641092,0.401907652616701,0.6663494251664381,0.6994195180131213,0.5620878969259379,0.5125605223026825,0.5492362496256421,0.09599203724581813,0.3464186141775611,0.6493270735901119,0.6164324236277119,0.7108558319891943,0.6056213689321944,0.42614980431685956,0.6739177009112568,0.5499643622989305,0.12175372930606539,0.5262528701137547,0.33350860212971045,0.018259675951367536,0.11403434575684095,0.5629890045878871,-0.014337208484355334,0.8090888808693512,0.46395679526012834,0.33247222606146276,-0.08036333394060914,0.39605643819659053,0.6274132516682714,-0.216876257613804,0.11647749931596331,0.2863572503755614,0.11318375052418198,0.4529829887493853,-0.16802709470614902,0.5311214786753565,0.3895883810732594,0.21127056230468283,0.48369658761494533,0.25407677968188597,0.33182263317486843,0.2933181407175931,0.11574571746080715,0.20184471591812175,0.7181706466987052,0.2898490558262996,0.26920280529037843,0.5968808793461821,0.6099810979838526,0.5108915019003359,-0.03268065246332456,0.4195917296122021,-0.29302005199358566,0.7650082090207659,0.2333162698775698,0.46092464214876167,-0.03262986788518326,0.5908011773310639
Thal_LGN_R,-0.0029353988736464365,0.4087550956113148,0.5371024196103826,1.0,0.38010162306054995,-0.13614475733114503,0.016580160763476008,0.4446175385912818,0.40268379726565007,0.4310983600814374,0.48986767813932375,0.22556008631804156,0.4900653254888528,0.07213693210496917,0.5471153470010068,0.4171057804889698,0.4566793117520507,0.5324988887396325,0.39074435066871316,0.1536242987104398,0.411321957769706,0.15079832693860656,0.11837149044231303,0.16495316989253922,0.15538373152825355,-0.25618333595124143,0.48994054397165293,0.6371574681220664,0.22104802918490557,0.1821456643789685,0.5357105577902237,0.291845054862503,0.25489666359125723,0.3273348330970517,0.593318490998253,0.39882557632656057,0.4279390596725933,0.4821964356589715,-0.15882120057642524,-0.15075530045774446,0.49264239473272664,0.26712543276086675,0.4311892504772393,0.153059321634942,0.3830018456129389,0.025464793468751582,0.31363157833418004,0.3688929783834878,0.3504922781777048,0.5229319356072751,0.059776280902731585,0.3830384472880986,0.21494863670114972,0.1378238091945233,0.4535780808446446,0.3732871264849194,0.1846759995424724,0.4782315611958775,0.4305213143983286,0.07238953542855864,0.013960900314966215,0.23148957210084703,0.4097409000163391,0.13943272504694654,0.23964214704010942,0.34920476216530405,0.19427788376938424,0.3343767633529037,0.05280441198628703,0.4250553363934875,0.7185604131017359,0.09750393909304504,-0.017268448160142405,0.1288728282364903,0.3852196648143591,0.613744830661762,0.31031605460523837,0.22407962569389248,0.4014820269433748,0.6330267492830125,0.43818804469874045,0.5375884075500754,0.3960308626587006,0.21991863794414226,0.4095808642553955,0.017492774897193128,0.32487862395977335,0.39034407802872295,-0.07300864964366895,0.433540040690933,-0.004524059093230376,0.4227353065909441,0.10799704511140511,0.14555300989859843,-0.08373042906960837,0.47973306087192225,0.2772442733458932,0.10783434274221768,0.1321869803739641,0.6715789158508224,0.24750789110703997,0.029911107816264503,0.5824188934154954,0.20041467419342252,0.13277351913849336,0.356612937964124,0.322747572285653,0.2582401747287101,0.3056202250217142,0.38050797892068194,0.3571384122097251,0.3050112170054854,0.5347308142922416,-0.01431932344353906,0.30005773677750047,0.18562747127995352,0.30200535665051725,0.2814852379494864,0.3100726433944258,0.40839581438521866,0.4350760342240819,0.7360673280531834,0.047804560837914394,0.4629023111190856,-0.034676219575852485,0.2919552114876805,0.2378451939557331,0.18154356568846852,0.2354003857486365,0.43247770418752124
Cerebellum_8_L,0.10705432629655914,0.09239731296433776,0.09325415835712565,0.38010162306054995,1.0,0.061222072999074596,0.6467145188839675,0.26282566225558196,0.6587203225091965,0.26909926246731497,0.5238036985330633,0.5337821356457297,0.7328692286283799,0.04607810481768011,0.656102347814394,0.272589727006777,0.18013199999452567,0.15028028331093182,0.1362924706916631,0.13408545750520823,0.4200616261375801,0.1434149598474225,-0.03965480127128034,0.04036795540176557,0.10357598434768464,0.1708323423606313,0.36817631124883077,0.26737952038851465,0.018393348493225603,0.08592283094454585,0.2745261204012424,0.2139820346444717,0.6623836696221705,0.7290568451837526,0.40268358061558757,0.1962247517347772,0.5798309973222985,0.30749766805034384,-0.13862549102734217,0.08083745494017683,0.2529744321625568,0.29763350687470935,-0.07297128005844494,0.11446649432526966,0.10396460496799306,0.12697552531920597,0.03100102826484473,0.19868601794447524,0.22169680348948914,0.45548783307041263,0.617150267957985,0.319765183453841,0.4408132015080968,0.5076375676987279,0.4332803803030563,0.23353428009467336,0.10442560361508184,0.12027049447442957,0.2907120212956683,-0.03175773869998159,0.035980203603762126,0.23923056609758972,0.22634767432681668,-0.09645601117646069,0.32739748837713706,0.028538578677624025,0.19683468468906454,0.015590634850035036,0.20696477354884482,-0.03763962706434453,0.22001460895011551,-0.06349751071993415,0.5830454073513078,0.022058252400556123,0.15544075205411026,0.41157680460394064,0.22391379554342947,0.07005940803641847,0.17941454267259932,0.27222654888037656,0.19657235200985637,0.17824418148079776,0.3973744428603581,-0.0480654860771772,0.27970573092191336,-0.2459820680914801,-0.12858661194858842,0.44381867464361185,-0.10663728863645686,0.5708536533811784,-0.013979823506789472,0.14788213544888978,-0.062079784515391444,0.19050580638664577,0.4088678380603944,0.11873525926884435,0.10382360521713323,0.4505614126394486,0.6925357007934945,0.590738697717587,0.1481229546429801,0.05732475221714392,0.42763420788479517,-0.28127344239813473,-0.16597293990213385,0.45910209921089395,0.4938024656782133,0.28547556903926347,0.4698304368820395,0.09828183392208292,0.33055764097783863,0.6145483638326882,0.4994524660501895,0.15861091032379016,0.19560653884909832,-0.17564911387407825,0.22812892277383479,0.015109400208826769,-0.10861355985890124,0.46093178304760635,0.38912286095826715,0.6396997899450225,-0.37672339867927784,0.40728603876256186,0.40733489205888135,-0.0322162158829874,0.07243301506960545,0.18791299503901834,0.6703198995472759,-0.01813779261988281
Vermis_7,0.030917916304420437,-0.2558702147980615,-0.24445043184058432,-0.13614475733114503,0.061222072999074596,1.0,0.1839001821344091,-0.14817583307079688,0.05514339151703402,0.06374934903242029,-0.03891483931549188,0.1841622134402756,-0.08652676209792222,-0.12451603569402696,-0.08479186767793949,-0.20870401042899797,-0.20624063114515698,-0.16644731767654528,-0.19436295393133024,-0.18219651456017677,0.05654220365248307,-0.12996832249190254,-0.17196601960705546,-0.17920489082778057,-0.1076581038390852,0.024403154749194064,-0.19322371272581607,-0.061777230487420086,-0.17171915064682047,0.03869495656661894,-0.28524607138257196,-0.0509487158204882,0.17161831554728965,0.033916594450983426,-0.21987381726421681,-0.19217881075848506,-0.04032370914778385,-0.020607061983389567,-0.1777195633463041,0.11452758479769341,-0.18575772238968893,-0.22147463481868992,-0.11611202657657246,-0.056278473607665455,-0.17233289079627173,0.043847921625116616,-0.24254442122198858,-0.026878041773148786,-0.1359645609152762,-0.05608398906435917,0.23358130705281108,-0.22031908682999096,-0.10346536112875668,0.20101658219852717,-0.09753990658558372,-0.044349666508748935,-0.07859817114897759,-0.17035661203932198,-0.1863836591980091,-0.18334560553437643,0.10637384753701691,-0.1018455636067042,0.09108901780075777,-0.032018484915511,-0.055739594071969,-0.26655925845428813,0.23557954855801647,0.01382573694572354,0.01116015785899698,-0.11181249551769462,-0.215687275984787,0.003914343247895554,0.10239762264742747,-0.2770638678996774,-0.35840766716385786,-0.18641429433287324,-0.16518695693240376,-0.09427285183335665,-0.19490099173591038,-0.10892191004211504,-0.10358532636034971,-0.18112431492455427,-0.1650370832743426,-0.2733091829334814,0.003213516959755663,-0.09215415614031869,-0.20882629421401716,-0.14028791462747334,-0.4106052694447287,0.07338992796790708,-0.22760516206656292,0.0019667087387883276,-0.07442475112483823,0.06689838740215107,0.09777814122553308,-0.1715209860927911,0.019555425854663192,0.03131720696577592,0.027243642884206668,-0.025610238311556382,-0.12926856323228259,0.16089661938787134,-0.023794729336114824,-0.03144954133590646,-0.16851800719482493,0.02589531363383954,0.14952103555509627,-0.052537713106437116,-0.012906361155978466,-0.01438227695367216,-0.16230500643145127,-0.06532311638981687,-0.013117669414026322,-0.06074507820995434,-0.023543062902002875,-0.03167579013501505,-0.07346927157680375,-0.026168730574481346,-0.13883091200873868,-0.14326873773811996,-0.03892529104144535,-0.06459125988061112,0.023648607177294115,-0.13865984493907121,0.20743390969409065,-0.155978547150866,0.06911691334855376,-0.22398381574781628,0.11610493025979529,-0.28070768118901107
Temporal_Mid_L,0.013673215810518554,-0.2675613127568901,-0.21730001445683841,0.016580160763476008,0.6467145188839675,0.1839001821344091,1.0,-0.09547705086797631,0.6943512651778818,0.3846595233692721,0.1860919010892357,0.5463547081465112,0.6027109039830005,-0.08055414467796736,0.5012595248857067,0.000709875451463716,-0.08546818836341721,-0.2648518761475484,-0.17725299152543095,-0.10345651582332048,0.26504358482090934,-0.2365079013550626,-0.1528490595046776,-0.1351157891990447,-0.13351721175213158,0.4165106883221037,0.08335699557430166,0.11004544904816549,-0.08960585511433075,0.04761747441791666,-0.18718859903343832,0.03767548487990344,0.6831460037105461,0.7462641491527878,0.1095259750133581,0.000958080371894928,0.3583153665985945,0.09161729661507383,-0.05796637021507831,0.3869684186877701,0.0400384083378061,0.09867761908085865,-0.17766419355766977,-0.10539730089929207,-0.2216705502395702,0.01730214493561669,-0.32196777408356186,-0.16344128428981483,0.07453918376815948,0.2946269559345611,0.8098213757103928,0.10520589797027334,0.27665731309954256,0.5399077074122406,0.2566109177212265,0.10748203851913274,-0.18657031054988532,-0.08446949760993809,-0.013507008043749776,-0.3072594458065641,0.26836874927189097,-0.09050182755379634,-0.03145548570693297,-0.29481099617263634,0.23193408193136067,-0.18413990872755537,0.44693548781291614,0.08004867570137528,0.2112335482074892,-0.16813003653784592,-0.0017295142057567993,0.05349366072566005,0.69781907425204,-0.09713470334363607,-0.20146048507569034,0.08483223789275625,0.0014375318616698925,-0.12277940980315888,-0.09055572476118798,-0.006687599418985106,-0.18714680284908286,-0.09275527497533094,0.09450435912573163,-0.43750712402761294,0.034682504913268145,-0.23158361618921447,-0.420171322682159,0.1223426990933027,-0.16042874405619068,0.48348529486892045,-0.042157947025020834,0.17257894489277184,0.057942582600602206,0.07275406353728399,0.6570489894999537,-0.28817280906929305,-0.13803667909796907,0.6350543144255464,0.7719168383395216,0.4387696853503077,0.13922474805956492,0.3453954485550257,0.1755380111524064,-0.29385761466845434,-0.1503863519631719,0.11664894184941489,0.4849697994682462,0.24176205978992235,0.5239143992821742,0.019536992820451463,0.23183487804970718,0.563212706277574,0.48003258597620796,0.24637836163161309,0.15442871674331207,-0.1511936919331622,0.10279950045420856,-0.05015723166951177,-0.24805536886871746,0.19820119675000425,0.2858971903984168,0.37775831357501377,-0.3110767850772,-0.03253081699296498,0.6250807707321328,-0.24303651906070992,-0.040549421253974254,0.22991064520684068,0.7609167775092391,-0.19036901704878462
Caudate_R,0.433017829823254,0.6645964934810408,0.7626580143754377,0.4446175385912818,0.26282566225558196,-0.14817583307079688,-0.09547705086797631,1.0,0.14025276358653874,0.019248732582908504,0.501407452591128,-0.12165482044317737,0.30954123364931946,0.4788726819769604,0.3411670369546991,0.47426664738812657,0.5131419008705753,0.7481040909603797,0.6037159955940901,0.696987467992523,0.4484266195863411,0.5856445395439642,0.4901834601380263,0.5462189626734418,0.7643622149703719,0.06638656237946816,0.7440233462488712,0.3095114531921389,0.2901994318241139,-0.1097489810570436,0.6249236555952694,0.6854275758323221,0.01403986551231975,0.21860273493743643,0.45163993810536057,0.6808882824094769,0.3167748533930667,0.5238199036681228,-0.14498016068908787,-0.3331248723839832,0.20917090382699086,0.47404568263622915,0.2932637597484764,0.4115107792937966,0.6449008267386027,-0.19958196921718838,0.8214249263153519,0.5748614924811335,0.22142344474140851,0.6292120159025594,-0.16082569651744608,0.41148711403934013,0.7607118213564326,-0.004070316431937283,0.6633760439132698,0.03814620061972517,0.3927904221602783,0.33454737047220234,0.7256861153993868,0.4675709205140038,-0.13593274666090907,0.7254467207630708,0.23070059106234073,0.7227205421642804,-0.056195903210271764,0.43790617979013186,-0.029034178552808557,-0.10004804226258925,-0.10630203892047238,0.07702767518590814,0.42671698656774865,-0.14523829299060168,-0.13168016706652227,0.27557515794808674,0.5947139842530242,0.645751954338187,0.5695370365494422,0.32393566008548863,0.6584880608525703,0.1664328951109939,0.4833352399052903,0.5421713088727926,0.5274591825487154,0.7508961869363108,0.6257047429979555,0.40315480316150876,0.5587053838367263,0.7436414170581922,-0.0569087048644709,0.5540647171445079,0.33701974385131944,-0.0539189113828298,-0.0509391047101013,0.7591048223736784,0.26485285091076194,0.7941987280245596,0.5432659617729123,0.4303654562800072,-0.03568556020064819,0.2737908232733411,0.5288657373763779,-0.3598087990469247,0.2628763403056528,0.039672235766089886,-0.04184711953229536,0.4937581674756675,-0.038688240988799714,0.6200965373045003,0.48046736212026847,0.06998266931548197,0.40095800005142435,0.1385657702989407,0.19018817278851638,0.3496485917334977,-0.01236264620403453,0.046568117033394356,0.8098944524408194,-0.008011437384113404,0.019039155505435397,0.6298849992972354,0.5436481087445754,0.4509174558076903,-0.14541492489216598,0.5389273633220907,-0.19489895260705828,0.7044206937442675,0.30701927032949977,0.3986876531541146,0.04565456559911751,0.4781189086927057
Lingual_L,0.02883185489805554,0.053591952882629065,0.18757939787025882,0.40268379726565007,0.6587203225091965,0.05514339151703402,0.6943512651778818,0.14025276358653874,1.0,0.6684998680035279,0.5197203448501767,0.6075340012816477,0.8196907047150751,0.18473992913847262,0.8330632708358429,0.3026881067935292,0.3782256373464067,0.0555716227302851,0.1629944704733877,0.010394692353399005,0.4170057964679556,-0.12819281192861753,-0.06411874549871839,-0.0486014627149016,-0.0696168354012908,0.11633560927114804,0.2901187746053093,0.651617844601755,0.2764925484648035,0.17729898935854488,0.12917419673337346,0.07027423129346753,0.7809694803851241,0.8221587564604014,0.6659440662887823,0.31301266149938894,0.7043735271633237,0.3640691714957887,-0.03132316337783857,0.3001972075429531,0.5519775684980265,0.26579297794675383,0.23620828264382948,-0.032053081345155415,0.1009490923196457,0.06252355362616016,-0.015088502542760947,-0.048212730353198764,0.4937123728604122,0.5689622767888676,0.7176029181666609,0.5438014805711165,0.29070704511126205,0.5696104018061137,0.5145197094663194,0.39999858002799166,-0.05084902175742818,0.3139326106507417,0.3105228101633801,-0.250822679522404,0.36056962659001013,0.1601082666884759,0.2266438548193765,-0.2367092761528682,0.598863107980393,0.07610727552213188,0.4955906444731255,0.4187882848036543,0.3058715747787759,0.2868518279139891,0.4138062547829236,0.19235501938317318,0.713344108193876,0.23866618865235992,0.13107346963462746,0.3691799360603732,0.18168721457350595,0.2026128586936946,0.17055205917476718,0.2743771472246544,-0.0658285956382951,0.3505916729479404,0.38456678759156304,-0.18586260955223752,0.35557431283488633,-0.28892060206055764,-0.15012032260524288,0.36205082199666205,-0.17685100301258574,0.6022624128516045,0.1070761868703354,0.4663916735585767,0.35296352997442754,0.019724700517438864,0.3630822162200763,0.08990633736070694,-0.09271395251156145,0.44181423348910737,0.8108072061245832,0.8613871615563049,0.4071730096387858,0.4454937827456722,0.48662182406628146,0.020113521474100306,0.0005563089898718369,0.19284403352501847,0.5232321279582958,0.31216205219022797,0.5001113157015367,0.33738924988321006,0.5104321913627734,0.723218966184233,0.8895729376137327,0.10493708561980011,0.3441289352656488,0.14691942992567517,0.2791278208654985,0.3848637181400412,0.13678715083102294,0.4814062794985493,0.5835242785794816,0.7158827669508095,-0.1294910696855217,0.1693982547160425,0.3981440413985616,-0.03294340229023072,-0.012888112971303258,0.38572308397424554,0.6437436982844896,0.09168008275765756
Cuneus_L,-0.06976678760918806,0.0860598341466708,0.2013801082396903,0.4310983600814374,0.26909926246731497,0.06374934903242029,0.3846595233692721,0.019248732582908504,0.6684998680035279,1.0,0.3305760892582483,0.3879301035745356,0.4343664642313158,0.2279118998510377,0.4901414414462934,0.07857532521049107,0.5019631062792324,0.06439522403429346,0.19097233385210177,-0.10352072312308554,0.2261626117579373,-0.2656140321180551,-0.16417140465342608,-0.14747121161379062,-0.24155619408277126,-0.08115041686282096,0.19220835121586433,0.6950743801151185,0.40032215935866106,0.32402548734217623,0.0023720045571350547,-0.07143534368661124,0.4687843222062263,0.39107291883357015,0.43211884353916497,0.38010437977971645,0.33938402020518477,0.46966900554336044,0.17208785047889671,0.5758160309477268,0.3404403300446177,0.1462021065638714,0.6735060551218831,-0.13618423822150505,0.0773391507547872,0.07657255616905807,-0.09179130144885243,-0.16361025378623376,0.5631433402632088,0.48944990846500835,0.34758356621095815,0.42779595687958555,0.03919157525431086,0.20455374812324714,0.46012443805880604,0.6361245073230793,-0.07823934892326605,0.3760910376820784,0.26492446947835263,-0.19379413574692597,0.7167262717923409,0.05040368303503374,0.23156912581736902,-0.20867117330435137,0.3334415161104135,0.06282093832279813,0.6594516003090666,0.8799432594412225,0.2547769594182351,0.5584190493491755,0.6497080984488874,0.623339016181016,0.2523199886364052,0.12573029122456167,0.027247265149651805,0.3977558602183785,0.03076410513639185,0.1992749036244581,0.06999031831338337,0.24460588673771336,-0.1830387437617019,0.38373724060304704,0.17461368752907602,-0.233792423327414,0.3559042779780962,-0.27999994645354215,-0.09227586619051581,-0.009466399324253534,-0.15200134192976414,0.49029201914393244,0.0494919454635486,0.7636360809226315,0.7222263949548736,-0.13342408253782886,0.07866953232965648,0.12514482613127528,0.02098912463078165,0.1557565188269236,0.2835173616602879,0.6747574375495401,0.439820004552378,0.7427410980244638,0.4646059732417352,0.4190332096209383,0.15209283260414425,-0.04584855371840537,0.262513792608372,0.2326529747804157,0.36899800716180037,0.5656871715729029,0.4155516347913607,0.351392892386847,0.8603395516756335,-0.057018335563926395,0.5851964646844257,0.5820756807398638,0.25511330758289574,0.57116495142446,0.43158051559493615,0.21176035251536973,0.5623627229533431,0.548264131352624,0.45981095440379555,-0.02071897345668576,0.16474174824971083,0.022801166477667622,0.028471186726795668,0.2553236865493816,0.28668187301055914,0.1508826046192349
