,Precentral_L,Thal_VA_R,ACC_sub_R,Cerebellum_8_L,ACC_sub_L,Postcentral_R,Occipital_Mid_L,VTA_R,Occipital_Inf_L,Hippocampus_L,Paracentral_Lobule_R,Putamen_L,OFCant_L,Pallidum_L,Frontal_Mid_2_R,Thal_PuM_L,OFCant_R,Temporal_Sup_L,Thal_LP_R,SupraMarginal_L
Precentral_L,1.0,0.19143551629868114,0.2159431455348177,-0.10861355985890124,0.13790604724190275,0.5790761713006339,0.10095247863727064,-0.29556838592788454,-0.30897889898865044,-0.16952343228895161,0.7757283421529118,0.20859366324878065,-0.2372821765147729,0.6338276892351898,0.44524911739833617,0.3640075536283193,-0.1468501892110315,0.12847626542911222,-0.03446327443628035,0.39983258581168996
Thal_VA_R,0.19143551629868114,1.0,-0.20575736658281538,0.04607810481768011,0.5033717593472492,0.2145217607754285,-0.04399028625089277,0.2661574851105345,-0.13051080369208048,0.5501361566864714,0.18008599257628452,0.5870646965435302,0.2182247449638302,0.31728620112253303,0.5824972344495711,0.28269655838392654,0.40851919415316446,0.40350290785040976,0.30956014392860365,0.13963137568643594
ACC_sub_R,0.2159431455348177,-0.20575736658281538,1.0,0.12697552531920597,-0.4875508295978931,0.10858771711937483,0.13197361535611277,-0.14351698237882002,0.08009250260179959,-0.2105213225664204,0.22370913592779654,-0.1890268411088025,-0.6119316008489873,0.019459941809035736,-0.07426381742501297,0.190695234653094,-0.4961580788669903,-0.1717132704569389,-0.20591638206827517,0.0735646055611504
Cerebellum_8_L,-0.10861355985890124,0.04607810481768011,0.12697552531920597,1.0,-0.4656995787112352,0.19560653884909832,0.08844048853452822,0.16279919862747827,0.40733489205888135,0.4408132015080968,0.09828183392208292,0.4332803803030563,-0.2459820680914801,0.015109400208826769,0.04732091509114584,0.1362924706916631,0.04036795540176557,0.4698304368820395,0.44381867464361185,0.19683468468906454
ACC_sub_L,0.13790604724190275,0.5033717593472492,-0.4875508295978931,-0.4656995787112352,1.0,0.07244775522371959,-0.1592027125161065,-0.009132661942395067,-0.31697130341147783,0.06597384020592482,0.048851518589764296,0.10626075409803849,0.5158362133052042,0.11827292294666589,0.3667329919681189,-0.052257917246213016,0.4278556476755415,0.09710040445921952,0.029741210896048604,-0.03776746173740823
Postcentral_R,0.5790761713006339,0.2145217607754285,0.10858771711937483,0.19560653884909832,0.07244775522371959,1.0,0.24336333421272904,-0.23768886539325454,0.03583655763577536,0.011756340800732899,0.8001615389479331,0.43049523708076,-0.15697232836569078,0.5983756915209123,0.20878054266520296,0.30994308142897053,-0.16510353665026617,0.40623677735469854,0.04241457717442162,0.39259260888241565
Occipital_Mid_L,0.10095247863727064,-0.04399028625089277,0.13197361535611277,0.08844048853452822,-0.1592027125161065,0.24336333421272904,1.0,-0.21850326721111832,0.2985169498327752,-0.10904933957237194,0.23410746719543316,0.11240077406792498,-0.30794652980776355,0.17356797356038567,-0.18336937825644856,-0.14449445254978321,-0.19070775174782534,0.1576333073984494,-0.22737218051311642,0.4756587699140147
VTA_R,-0.29556838592788454,0.2661574851105345,-0.14351698237882002,0.16279919862747827,-0.009132661942395067,-0.23768886539325454,-0.21850326721111832,1.0,-0.13960017520367937,0.5620698752561953,-0.29102763397158365,0.21303599591735892,0.10654662012075267,-0.1311073291824713,0.08597137051791956,0.044732769759807355,0.3002101232092447,0.09007181292543084,0.19992411975628901,-0.2117093101362217
Occipital_Inf_L,-0.30897889898865044,-0.13051080369208048,0.08009250260179959,0.40733489205888135,-0.31697130341147783,0.03583655763577536,0.2985169498327752,-0.13960017520367937,1.0,0.03465984126126173,-0.11362469724811938,0.005869595758011867,-0.20243574369867698,-0.2488324403539687,-0.3379477554245584,-0.24698427674832152,-0.1445378625563905,0.20744982443410942,0.04389596055707026,0.1494806496152621
Hippocampus_L,-0.16952343228895161,0.5501361566864714,-0.2105213225664204,0.4408132015080968,0.06597384020592482,0.011756340800732899,-0.10904933957237194,0.5620698752561953,0.03465984126126173,1.0,-0.07801005564166225,0.6948609844109332,0.34919016150952387,-0.07743456075233139,0.4528633634398572,0.45923946167122714,0.4249582427418065,0.6363972054187589,0.6010596969392724,0.10161584170183793
