,Olfactory_L,Putamen_R,Frontal_Sup_Medial_L,Cerebellum_10_L,ACC_sup_R,Fusiform_R,VTA_R,Thal_VPL_L,OFCant_R,OFCpost_L,Temporal_Mid_R,Lingual_L,Thal_PuM_L,Paracentral_Lobule_L,Temporal_Pole_Mid_R,Heschl_L,Angular_L,Cingulate_Mid_R,Frontal_Inf_Tri_L,Olfactory_R,Caudate_R,Thal_PuM_R,Paracentral_Lobule_R,LC_R,Thal_PuL_R,Temporal_Sup_R,Rectus_R,Putamen_L,SN_pc_R,OFCmed_L,Cerebellum_Crus1_R,Amygdala_L,Supp_Motor_Area_L,Cerebellum_6_R,Cuneus_R,Frontal_Inf_Tri_R,Thal_PuI_R,Temporal_Inf_R,Frontal_Inf_Orb_2_R,SN_pc_L,Lingual_R,Postcentral_L,Angular_R,Frontal_Mid_2_R,Thal_MGN_R,Thal_IL_R,Frontal_Med_Orb_L,Supp_Motor_Area_R,Cerebellum_7b_R,Parietal_Sup_R,Thal_LP_L,Occipital_Inf_R,Cerebellum_10_R,Cerebellum_Crus1_L,Frontal_Sup_2_L,Cerebellum_9_L,LC_L,Occipital_Mid_L,Frontal_Mid_2_L,Cerebellum_8_L,ACC_pre_R,Parietal_Inf_R,Temporal_Pole_Mid_L,Vermis_9,Cerebellum_4_5_R,Frontal_Inf_Orb_2_L,Amygdala_R,ACC_sub_L,Cerebellum_9_R,Occipital_Inf_L,Raphe_D,N_Acc_R,Cerebellum_Crus2_R,Occipital_Sup_L,Thal_MDm_L,Vermis_1_2,Thal_LP_R,Temporal_Sup_L,Occipital_Sup_R,Thal_LGN_L,Thal_PuA_L,Thal_IL_L,Rolandic_Oper_L,Cerebellum_3_R,Thal_PuI_L,Insula_L,Thal_AV_L,ParaHippocampal_L,Hippocampus_R,Thal_MGN_L,OFCmed_R,Heschl_R,Cingulate_Post_R,Insula_R,Cerebellum_Crus2_L,N_Acc_L,Hippocampus_L,Thal_AV_R,OFClat_L,Temporal_Mid_L
Olfactory_L,1.0,0.351414876873819,0.1717668141105947,0.4714022156648156,0.4997282076946268,-0.028898724471295018,0.34939622455193353,0.6291345322379488,0.0776035241101332,0.6198817451917364,0.13697627265352122,-0.5744709449646526,0.5139107021356251,0.4035817956276992,-0.3483300730889863,0.19025643995926084,-0.11636044562677025,0.2570868594919914,0.5136215962253069,0.5831428707995209,0.5432780716543293,0.24206437099211495,0.0740468189134088,0.12187001830301013,-0.3932639208898834,0.21564558151026744,0.5161329492687431,0.41110550887259145,0.05975996108537197,-0.1941236309071157,-0.3474233116346916,0.4302840656447953,0.3578352929854304,-0.473364170739826,-0.14769356261347943,0.4826313013250321,0.26889232020664017,0.149534268095443,0.7334767129319437,0.2267231239666469,-0.42544030056546017,0.4197045460434449,0.023207413214619804,0.12278866670690963,-0.09629550315585009,0.21838156667035258,-0.2677410172508417,0.4331885296274341,-0.31692990250926284,0.2772066179910131,0.31914228126728544,-0.4745876335252641,-0.18415950667458236,-0.620129560553943,0.43487410621719924,-0.5587106741223276,0.2947428366513774,-0.5971702210602131,0.6054186685198768,-0.5872409914752571,0.572189639938657,-0.02561522342511673,-0.25820203090159777,-0.5512464986863155,-0.023027718018726277,0.6244010049939636,0.45291190653202956,0.6344423583745876,-0.5945307809938074,-0.6001812774788734,0.0040437020062125476,0.08657784730129521,0.18129904676373043,-0.45826261622141845,0.2376570440184446,0.058044557161432246,-0.1784064797014728,-0.16727562974697607,0.06861783050976039,0.6463017884009418,0.6255834653252617,0.2963656442499718,0.18044529713811935,0.1341797776395369,0.6152659709388838,0.3854369340946098,0.16400217473269957,0.5003197450988215,0.7239613094989604,0.35869793016332946,0.3964639654832396,0.2130487531477889,-0.17974106441757706,0.21775973035977966,-0.5222462287526433,0.4393388427367767,0.2608748040281947,0.4566807341678147,0.17403115679920914,-0.5787792398782958
Putamen_R,0.351414876873819,1.0,0.502650035289209,0.45355686423797,0.5295814070950233,0.37510286329392506,0.4047936440400751,0.6134798507847798,0.4067546735850275,0.43838165309457683,0.20282345430683935,-0.18607482811466583,0.45131438545044406,0.5724529777626718,-0.2964302859203295,0.5471964255358482,0.03041083390955874,0.6525198361510999,0.7091091108220138,0.5565768770630524,0.7288010750296112,0.619040680480396,0.21042792051347978,0.34955369300617806,-0.03691303078141748,0.49731269823815283,0.4337390300817429,0.7810350611735855,0.32939762953476126,-0.025339364632689414,-0.320855286055454,0.4958662744384372,0.6464789261420992,-0.07050908249028134,0.05025577451789195,0.5028160606005316,0.4844641174775909,0.13211819415165052,0.4448500770467072,0.31603329895727394,0.0005932467681421194,0.5313018002455951,0.13963627434309758,0.5231059517470669,0.20730847743545103,0.4678561977949309,-0.0456020366634813,0.6115144311767694,-0.23940791135517037,0.2613033099778821,0.3158779949699563,-0.2925998099858767,0.17225479975879057,-0.3522057846540201,0.6961173340085735,-0.3151503231111484,0.3721910423688699,-0.2933607709476593,0.6518071939081016,-0.3153329919253493,0.6110306091695236,0.2557651449969556,0.04316904118489881,-0.32915626768063955,0.43814842210726335,0.5172056294515782,0.46222476823255165,0.4131768981121048,-0.3697368331865198,-0.3445400946271308,0.09083811948263877,0.4203541236166428,0.014948211791550987,-0.007393874263633606,0.17429915605605692,0.23204396391245044,-0.07315846566468882,0.4440951010850834,0.09983519824270103,0.5081881877835531,0.3523957902191926,0.395268483443763,0.5455904635614087,0.13155346331098222,0.48905675366724316,0.6869897280187328,0.2753963462690083,0.6653842922937059,0.616398160305252,0.3354923115192863,0.39250793862285416,0.3770545309040133,0.39337585397188823,0.5343068116503151,-0.33912380489135807,0.48343224209675506,0.6511396109073915,0.4791219103479755,0.4103289026859099,-0.04109526836282131
Frontal_Sup_Medial_L,0.1717668141105947,0.502650035289209,1.0,0.20419800791919035,0.577021721664384,0.3795397557807606,0.04585011746823716,0.31336114858447633,0.021502203909322844,0.3815343219890546,0.3954683423442782,0.06214857825169671,0.30908173725173915,0.3761868048902585,-0.017601700137499045,0.4877119122236261,0.05191968738748014,0.6277237347218447,0.6211702857261877,0.4121502551917841,0.5221556946185062,0.5492539151603844,0.19672297097699054,0.1272667618178565,-0.11970656586529929,0.6414850154003424,0.3777753411030863,0.45728396598284154,0.3602282871483291,0.1334914168327928,-0.045001047326319314,0.25099025935150293,0.5958516859284564,0.09796372059582112,0.1113834826118958,0.6180454718355194,0.19136647969595658,0.2141060149728975,0.3600994771790991,0.27423333841528796,0.14480211633059512,0.3752898585822455,0.3068831856566957,0.5962567314053752,0.41118019813337314,0.2875683945502681,-0.03495878116891535,0.4968597189571898,-0.04138129175149812,0.1582685546691985,0.1972779223637437,-0.05896841446898866,0.06912260779366707,-0.13618177363073816,0.6274374724925159,-0.09365885227288494,0.11652744368624722,-0.09098716008644833,0.4738842998174016,-0.11357331004226472,0.537869530947874,0.34326857268328526,0.017516207225204087,-0.056810039445408266,0.30206939345292033,0.349824516936623,0.4216064254956959,0.3347884668854893,-0.09503430359518202,-0.09661522692513114,0.013799471290723212,0.030650956630751458,0.123724330295765,0.12583738718307444,0.1505715018563576,0.09189066783175692,-0.15078583680621666,0.4451257702834528,0.14307552543539606,0.2728165372038402,0.26888789657161,0.19778824417846316,0.6769124655632563,0.14366374102224144,0.18832605195718016,0.63470570218544,0.27598072741014235,0.3220960017526429,0.3572137944943231,0.2579335448592283,0.3219882966529912,0.5582058781185585,0.47102658622193166,0.6158838597211536,-0.1394793393196706,0.24835437064354454,0.3722886751385221,0.25141960446979994,0.18558393661926645,0.05933998647390362
Cerebellum_10_L,0.4714022156648156,0.45355686423797,0.20419800791919035,1.0,0.37568243652934563,0.19133918011623963,0.3883052590198002,0.48536899305138725,0.25255547601787176,0.5744468442347274,0.241114080102318,-0.46983153935237376,0.3700719016070887,0.5082838679176865,-0.2750007467432446,0.281622493429369,0.10661888379936724,0.4426226393546964,0.5492837013592837,0.5029019028894265,0.6244138371089113,0.39029696999339814,0.04747855702593572,0.3298906887365412,-0.301094132465271,0.35789185755328706,0.45874361813206493,0.5361098010332727,0.1632036914262456,-0.11419549832895354,-0.36510254932179226,0.45475551323618413,0.42891861436761086,-0.2913756735774293,0.011112905556738342,0.41419802918477155,0.3033429980725562,0.3194597032045165,0.5541509032417621,0.2924721840176098,-0.2921734888109219,0.5791843612201768,0.11637694067709584,0.2690943747469626,0.16882865175489434,0.24392819829008605,-0.21661014581544627,0.5622834908207456,-0.1831704655738943,0.3825736849885829,0.18389023604019406,-0.4253428122569826,0.1272863358476703,-0.5925361077701851,0.6119065769474759,-0.4676556295473319,0.46153091594284884,-0.4863285877174703,0.6596494584247534,-0.569087148672904,0.5597597038814635,0.0862780285413177,-0.2805638376359566,-0.5003774960217091,0.23735211929793823,0.4226334009868195,0.4281408439790673,0.4868767450298025,-0.5439817343953249,-0.5660920918992024,-0.07657767873613364,0.21280013874690876,0.1212388312737421,-0.21749445666378173,0.1007265433728332,0.1190278277462839,-0.14282142629625333,0.004134528221513834,0.11521776142589141,0.5311349458532056,0.30103285281722,0.435428556969647,0.20473397499466853,0.07197431714387643,0.3602673842460839,0.5084221166424477,0.002022821636906444,0.5806182144048193,0.6515144168079146,0.3923306404185406,0.37233111132181035,0.3817139132656064,0.0552088882657033,0.29536396078983684,-0.6091873945584931,0.30689767624808306,0.4113243374212882,0.5292013481781099,0.30545254723463483,-0.46449643805654617
ACC_sup_R,0.4997282076946268,0.5295814070950233,0.577021721664384,0.37568243652934563,1.0,0.2591415830627087,0.21515210481864358,0.5546904866207727,-0.12986951653925866,0.570814974884588,0.5125553765464923,-0.2012880001031536,0.7377951334695599,0.42572367283401014,-0.04703720529260088,0.3865952327331698,0.165302228661458,0.5163177602541211,0.6004612054038034,0.5091529941060787,0.7729220527258167,0.42509458319096194,0.10120397721022988,0.2360662194693067,-0.11518817152292873,0.624069830846276,0.47725922209462884,0.549912113527595,0.24486947929497183,-0.11369066570657926,-0.15704938433450139,0.2887646703431893,0.5134589358316438,-0.244154571554207,0.2638768969582998,0.6631094345108091,0.3812832863414419,0.36673606928469654,0.5740889070878364,0.19559435189222546,-0.13719438078375926,0.5174316238624573,0.42119705218901254,0.36101482808609475,0.2230621246714932,0.1501939219798234,-0.04312179375718703,0.5735154724379711,-0.06982017801306209,0.3993271414962378,0.6178523759155415,-0.1763589636764219,-0.08138930137397006,-0.41239877985701334,0.6234847719751261,-0.33164623562969225,0.17479423951415649,-0.2934635462854231,0.7028883000730989,-0.40115022104416137,0.6948806734655854,0.23416352946443766,-0.15302882174400081,-0.2794024781364103,0.05605939603321101,0.3962958000795514,0.5447947326903951,0.3742031630423336,-0.3544717639361273,-0.398400205960792,0.07354295396385228,0.05442397533429764,0.16807141453327523,-0.06869402997956243,0.34523126918582475,-0.08813821031554418,0.11396971466551759,0.17072621666287127,0.3451797905344991,0.5256191576900561,0.6094602348453229,0.2231063867764561,0.5169203541988238,0.17438941168360028,0.3438631315739948,0.7275530703520524,0.2548520058374804,0.4514656493530822,0.6195516008336979,0.5020808310957531,0.32830944905473836,0.623437800351252,0.21876732958377226,0.6052168770543624,-0.4195691838541758,0.3931341276050114,0.3824175181050693,0.32538754283091786,0.17004002076391145,-0.3249641889776311
Fusiform_R,-0.028898724471295018,0.37510286329392506,0.3795397557807606,0.19133918011623963,0.2591415830627087,1.0,0.17449502815487472,0.0031301451578152435,-0.14633371848756918,0.08176495077952109,0.6929778760385873,0.4882002604674433,0.2376502111090986,0.3111488418148922,0.2943465849832172,0.5095014797365665,0.2637172330848146,0.2965267730043291,0.219192084121499,0.10610976747797239,0.2258728100587233,0.23813679738521665,0.4993037725383087,0.29359224795521266,0.1893030395623979,0.6836751786017403,0.011625610285752735,0.41290370525510955,0.08709909405266242,0.030104744455811,0.44973827014462026,-0.2640079441520624,0.40219322357713005,0.6427573595068774,0.503996642839372,0.28050312659511184,0.18573741909158745,0.616269798745762,0.10814569937308778,0.15471381013270438,0.6814872370473505,0.2568765445742491,0.4987723773453983,0.38020885647170755,0.180397792697788,0.3856288239544846,0.14731858258668032,0.3903328740075655,0.2763341142875166,0.23356055998469202,0.09887650797836933,0.48492795506275305,0.4142924127928651,0.2523929639341353,0.3213532945061099,0.3916654774828894,0.15558310765918207,0.3481032155956151,0.12976559272239027,0.3120309115455299,0.08518833448074653,0.4368606653254916,0.19328402506194986,0.4256412101911233,0.7052261027859904,0.1497848227159838,0.22194392587246695,-0.020827065569556363,0.3261817213755179,0.211128502924746,0.29419565139741244,0.29571638643271225,0.35418144792694933,0.4297416589962923,0.5366227041326308,0.18753962136000069,0.2060979215446782,0.6460765083507852,0.47263093130214984,-0.01850175958299237,0.17457207115815032,0.0480889109200616,0.4401024654741495,0.5856504387255342,-0.08733752402930338,0.4180520451600564,0.21164282982534594,0.11334086604169524,0.1888973134826155,0.18955274962232416,0.044590122449968066,0.2703642878633587,0.47181734716564205,0.4743407789776346,0.2412634136338478,0.2862385948878881,0.12297776034904982,0.03012044200030542,0.2613278042380277,0.3997449582022743
VTA_R,0.34939622455193353,0.4047936440400751,0.04585011746823716,0.3883052590198002,0.21515210481864358,0.17449502815487472,1.0,0.32044973534991616,0.1305426051659493,0.37097811855866414,0.1312423025205201,-0.19842310202374142,0.1868643569370678,0.3122072846651172,-0.08783049343442384,0.24516791143237535,0.012063278547099416,0.22193337608786956,0.32848409298946324,0.47375040086667713,0.43494073754811363,0.22572834173118664,0.16624744750334636,0.17122809785574716,-0.12911136119425815,0.2357681737170314,0.24191573671442038,0.47779597939388657,0.22072340334789853,0.12079934634527999,-0.11084289445626674,0.3336102405613969,0.2237439822114929,-0.10939181269997322,-0.052400929412559166,0.2701785877454547,0.1290241861088166,0.23442296505873547,0.3530645719756254,0.39089741554124313,-0.07097025881120464,0.2771078040039487,0.055931850752230707,0.17458892326616923,0.19079299950330422,0.16230503592090872,-0.08762040872519798,0.2520880305851934,-0.17827358716596714,0.17276998738533653,0.20945447298740877,-0.13942426944191721,0.13452997769265668,-0.22093198820365137,0.2763961540858647,-0.18993387034089831,0.23145559314053757,-0.22383631335959606,0.37721879505687644,-0.22044828302470038,0.3037769507407225,-0.00265586812240096,0.024375393679043296,-0.2694667912841772,0.11030529238803806,0.3502340827756816,0.3288558608499675,0.3660720890094983,-0.22003755639061184,-0.22691902516849197,0.1361749692818247,0.43446114386131585,0.11870413067038736,-0.16192137529227454,0.17747216273637267,0.22083392856948741,0.03889206047693955,0.07310983618748033,0.05080352715734287,0.2349586391281098,0.10498867591285208,0.33205785879401967,0.219951086085104,0.18846382452282914,0.15261648477213643,0.4308969262110942,-0.08289482889934725,0.4144889737481097,0.4515494936929152,0.28853401883493596,0.14802725818649975,0.22386817318931082,-0.025356191622179836,0.31629606994239967,-0.2065907172100228,0.3909783829194642,0.5077072683734746,0.36841248085676265,0.00841440477315707,-0.21624974115715923
Thal_VPL_L,0.6291345322379488,0.6134798507847798,0.31336114858447633,0.48536899305138725,0.5546904866207727,0.0031301451578152435,0.32044973534991616,1.0,0.43455652750830354,0.6182617756083876,0.04765363123910249,-0.6016334974274506,0.6300094289000544,0.41424620041317173,-0.4572523411434487,0.4374389335108848,-0.34180570094199325,0.5395399610426485,0.7060307772694931,0.5769048864651998,0.717780261456025,0.5936025113967407,-0.0766311631620467,0.2927289486899545,-0.48159097806430534,0.32037309505521533,0.5537621950681679,0.4965729821812043,0.1475053701170723,-0.05868434191994352,-0.4497446214118009,0.6101381445119478,0.4994526787772546,-0.43347192707678195,-0.3400033337825481,0.6443172642298259,0.3875740415523226,0.08233278057708812,0.6890043835162648,0.20526129065935653,-0.40971035566148317,0.4178044733480851,-0.20961565475316107,0.3457762648620109,-0.007816822816362203,0.3544940647164231,-0.26228440528904706,0.5081985531026981,-0.3311601089381084,-0.0225754425537492,0.36781738023246835,-0.5821042806470241,-0.10417454406524981,-0.6294338740742008,0.5737561086931003,-0.5855641769131321,0.2999351859029652,-0.654490273962197,0.7085948270781037,-0.6223839839703226,0.7857112977175245,-0.18338746762993938,-0.16273645907654147,-0.6403756963699344,0.16991062323434855,0.590582470030056,0.4917684414531629,0.6363731784894598,-0.6201659017866756,-0.5643587048451758,-0.10249089442451063,0.1048953014295689,0.007859851279311224,-0.44071762468750264,0.001264845532081553,0.00822507000667531,-0.3766139111106083,0.020306601091523213,-0.19264442795851358,0.8375044225212716,0.732421684283896,0.4821117994857131,0.269468069934927,-0.15839711622905128,0.8187136693631865,0.4920762504817829,0.16866605464986406,0.635751242271645,0.7675411512747794,0.4016239247254712,0.5209517322115924,0.325488121222415,0.09839976531965375,0.2640778809299327,-0.5859430704093361,0.4230106813094807,0.5387761808334866,0.7254226712740032,0.35015063327429136,-0.4954291300541267
OFCant_R,0.0776035241101332,0.4067546735850275,0.021502203909322844,0.25255547601787176,-0.12986951653925866,-0.14633371848756918,0.1305426051659493,0.43455652750830354,1.0,0.058823989622454144,-0.40755924782528613,-0.43305516465447197,-0.030451880012739546,0.29432826449189675,-0.615562857874078,0.09046146674498397,-0.4191960550603934,0.36931413921920203,0.38173182157992375,0.1636594043778113,0.23488262839729745,0.3895033387107721,-0.017966183251838304,0.2858754263429016,-0.38541323389271775,-0.08491996726419972,0.17747685638962785,0.30710716730570886,0.17021813499644986,-0.06436208588052209,-0.5687323207145715,0.5423718150935989,0.31917145421958715,-0.24644525667935147,-0.489094559948648,0.21205965788889689,0.19623144593329864,-0.32534121755483864,0.12355022578344502,0.10390225816995843,-0.31414329936176916,0.1895138675397555,-0.4462769066404336,0.3658573385306573,-0.03197342817622207,0.2508246888787619,-0.15463537948415948,0.2776495329872189,-0.3949847949770063,-0.2051843938919861,-0.027881141538877635,-0.5704603770995887,0.05300555310841593,-0.39207186868204563,0.27045275923103934,-0.41199318365132803,0.2780430805181752,-0.4983036344416605,0.2336886947466834,-0.35758570554343794,0.2945828735275174,-0.09170334102176114,-0.13534376844559026,-0.4921270563795882,0.27257717087742034,0.20021728484715984,0.05795180902385788,0.21013218120943788,-0.4488092995028001,-0.3344813042388104,-0.18488239144553922,0.09579890969733848,-0.307560404091985,-0.3808996197754942,-0.4044723937283476,0.21853868562305848,-0.5340071199941198,0.016550731947041854,-0.44915011516392844,0.34162196683351465,-0.019762119814217122,0.3248839587876128,-0.04328312084031755,-0.3468951964710686,0.37966867937717175,0.054664113219277506,-0.0039656287846046665,0.4611171126202179,0.19995327904243293,-0.08698265290643428,0.23840672494516685,-0.1437738069127888,0.08187982116125157,-0.1569678662454239,-0.3332390845775414,-0.05158494949526999,0.3589786542023536,0.508360282580535,0.5592855049350607,-0.18472873596465073
OFCpost_L,0.6198817451917364,0.43838165309457683,0.3815343219890546,0.5744468442347274,0.570814974884588,0.08176495077952109,0.37097811855866414,0.6182617756083876,0.058823989622454144,1.0,0.27328597820277484,-0.5591710072160785,0.42394227261051337,0.39315655199320343,-0.3058741342745252,0.33899695716886347,-0.07810968631847491,0.3552660192237263,0.6909605871535882,0.8056985849501103,0.6648636035811456,0.3487941418657499,-0.06714965114901698,0.2805051264903233,-0.4893428890590549,0.38895846305765974,0.6978558731014378,0.4813924519576023,0.2675008043181143,0.06939450838026794,-0.37300462518906335,0.6012583800755891,0.40119237561230536,-0.4788439650903576,-0.16312384128594057,0.657567253073677,0.27624917443248365,0.31929083013110476,0.8373763185226243,0.35549269002150413,-0.44354345358889274,0.49546181836587017,0.06223125622585892,0.207862466639681,0.31965227910415484,0.2700418299730418,-0.1458014519039032,0.472561487842452,-0.27311546759249966,0.26609913638569077,0.200425051860023,-0.5052578950499631,-0.21751292175329576,-0.6587828318078244,0.5641033182497247,-0.5706883074568214,0.3303664782987428,-0.6178969031675636,0.7498071394076132,-0.6675842745564787,0.7622363654466747,-0.05978248063278296,-0.09528937213552559,-0.5801657405039562,0.015268416562675956,0.6784496212899743,0.7535585771579856,0.7656043657702594,-0.6040093547062072,-0.6471840807306624,-0.11933789561749987,0.12482054905441542,0.11002028387162383,-0.3785151030172066,-0.0023479329594304865,-0.13246184397489158,-0.29973137453269755,-0.010284275166210725,-0.017836196951728278,0.699834868331495,0.4925844393199335,0.3913298403528165,0.3969285165355793,-0.08203631703296557,0.41194188819278277,0.6903457201633708,-0.04226443622541821,0.6289469262111692,0.8133511332534875,0.42708397335240594,0.7388967863247218,0.6284170230272729,-0.11943572344305275,0.5137934345722049,-0.6565464814485025,0.532030043986469,0.4692215141028694,0.5525259586026628,0.09059047538996828,-0.5793636147755338
