,Thal_VPL_L,Putamen_R,Cerebellum_8_R,Cingulate_Post_L,OFCmed_R,ACC_sup_L,Cerebellum_Crus2_L,Occipital_Sup_L,Caudate_L,SN_pc_L,Cerebellum_3_L,Precentral_L,Parietal_Sup_R,Thal_PuI_R,Cerebellum_Crus1_R,Cerebellum_7b_L,Thal_MDl_L,Thal_AV_L,Hippocampus_R,Thal_AV_R,Cerebellum_6_R,Frontal_Inf_Oper_L,Temporal_Pole_Mid_L,Precuneus_R,OFCpost_R,Lingual_R,Frontal_Sup_2_L,Cingulate_Post_R,Vermis_4_5,Raphe_D,ACC_pre_R,Cerebellum_9_L,Cerebellum_Crus2_R,Thal_IL_R,Thal_PuA_L,LC_L,Thal_VL_L,Putamen_L,Cerebellum_8_L,Paracentral_Lobule_L,Cingulate_Mid_R,Cerebellum_Crus1_L,Vermis_3,Temporal_Inf_L,Heschl_R,Occipital_Mid_R,Frontal_Med_Orb_L,ACC_pre_L,Thal_MGN_R,SupraMarginal_R,ParaHippocampal_R,Temporal_Pole_Sup_L,Thal_LP_R,Thal_IL_L,Thal_PuL_L,Thal_LGN_R,VTA_L,Temporal_Inf_R,Frontal_Sup_Medial_L,N_Acc_R,Rectus_R,Parietal_Sup_L,Rolandic_Oper_R,Thal_LP_L,Postcentral_L,Thal_PuM_L,Cerebellum_6_L,SN_pr_L,Temporal_Mid_R,Hippocampus_L,Vermis_9,Thal_VL_R,LC_R,Thal_VA_L,Vermis_6,Lingual_L,ACC_sub_R,Red_N_R,Temporal_Sup_R,Cerebellum_4_5_L,Angular_L,SN_pc_R,Thal_LGN_L,Thal_PuL_R,Parietal_Inf_L,Supp_Motor_Area_L,Calcarine_R,Occipital_Sup_R,Cerebellum_10_R,ParaHippocampal_L,Thal_MDl_R,Thal_VA_R,Temporal_Sup_L,Precuneus_L,Cingulate_Mid_L,Parietal_Inf_R,Precentral_R,VTA_R,Frontal_Inf_Tri_R,OFCant_R,Thal_MDm_L,Fusiform_L,Thal_PuI_L,Cerebellum_7b_R,OFCpost_L
Thal_VPL_L,1.0,0.6134798507847798,-0.515919440385871,0.12559231964049877,0.5209517322115924,0.3232205825309298,-0.5859430704093361,-0.44071762468750264,0.6147718675532449,0.20526129065935653,-0.046683388073739215,0.48451236642580686,-0.0225754425537492,0.3875740415523226,-0.4497446214118009,-0.625520053515566,0.33935735303964737,0.16866605464986406,0.7675411512747794,0.7254226712740032,-0.43347192707678195,0.41388209936867537,-0.16273645907654147,0.04678598394162734,0.14657191850084242,-0.40971035566148317,0.5737561086931003,0.09839976531965375,-0.042329995821068944,-0.10249089442451063,0.7857112977175245,-0.5855641769131321,0.007859851279311224,0.3544940647164231,0.732421684283896,0.2999351859029652,0.7855055226053506,0.4965729821812043,-0.6223839839703226,0.41424620041317173,0.5395399610426485,-0.6294338740742008,-0.2737378394061191,-0.38517260126525044,0.325488121222415,-0.42939170579048186,-0.26228440528904706,0.7083471189372377,-0.007816822816362203,-0.07460733326022763,0.6425076392364525,-0.28357606164509164,-0.3766139111106083,0.4821117994857131,0.40767699490591325,0.06306045172476082,0.25558016299872854,0.08233278057708812,0.31336114858447633,0.1048953014295689,0.5537621950681679,0.043566412710365876,0.3555488304823829,0.36781738023246835,0.4178044733480851,0.6300094289000544,-0.6063059382276444,0.3966889960393708,0.04765363123910249,0.5387761808334866,-0.6403756963699344,0.8037410322883604,0.2927289486899545,0.5306912104685377,-0.3593605604376924,-0.6016334974274506,0.5573819204296672,0.39324127660265706,0.32037309505521533,0.3831645823246618,-0.34180570094199325,0.1475053701170723,0.8375044225212716,-0.48159097806430534,0.09529146950587379,0.4994526787772546,-0.36563794702704816,-0.19264442795851358,-0.10417454406524981,0.635751242271645,0.3213356355978695,0.6551883738254736,0.020306601091523213,0.1559846414679446,0.6154189153233465,-0.18338746762993938,-0.065449024471528,0.32044973534991616,0.6443172642298259,0.43455652750830354,0.001264845532081553,-0.3888422260219588,0.8187136693631865,-0.3311601089381084,0.6182617756083876
Putamen_R,0.6134798507847798,1.0,-0.3621931882853895,0.4610250341926969,0.39250793862285416,0.5063048351644672,-0.33912380489135807,-0.007393874263633606,0.610861488150151,0.31603329895727394,0.39914467126305286,0.5786693361799914,0.2613033099778821,0.4844641174775909,-0.320855286055454,-0.33508902049537737,0.1147290710503283,0.2753963462690083,0.616398160305252,0.4791219103479755,-0.07050908249028134,0.6875162299091425,0.04316904118489881,0.41350749171753187,0.24529465271750764,0.0005932467681421194,0.6961173340085735,0.39337585397188823,0.2798939498995381,0.09083811948263877,0.6110306091695236,-0.3151503231111484,0.014948211791550987,0.4678561977949309,0.3523957902191926,0.3721910423688699,0.6404409366260886,0.7810350611735855,-0.3153329919253493,0.5724529777626718,0.6525198361510999,-0.3522057846540201,0.12724008031547782,-0.10241440923384472,0.3770545309040133,-0.038363117814449905,-0.0456020366634813,0.45944564547216155,0.20730847743545103,0.2696526390043565,0.6549024069187032,-0.07470623840771397,-0.07315846566468882,0.395268483443763,0.2793876572400886,0.2643450813067485,0.12895842576043168,0.13211819415165052,0.502650035289209,0.4203541236166428,0.4337390300817429,0.22542665227791295,0.6122916460950478,0.3158779949699563,0.5313018002455951,0.45131438545044406,-0.3031906620909834,0.3759109781494566,0.20282345430683935,0.6511396109073915,-0.32915626768063955,0.6892806723700973,0.34955369300617806,0.6992303239388225,0.007886249303576646,-0.18607482811466583,0.3832906614223001,0.37126405811903795,0.49731269823815283,0.49582465793296543,0.03041083390955874,0.32939762953476126,0.5081881877835531,-0.03691303078141748,0.29801949221231905,0.6464789261420992,0.08763050045936926,0.09983519824270103,0.17225479975879057,0.6653842922937059,0.41314993861443877,0.6619771216884413,0.4440951010850834,0.39854305265027057,0.627278288020584,0.2557651449969556,0.27232785964104694,0.4047936440400751,0.5028160606005316,0.4067546735850275,0.17429915605605692,-0.026182718557983646,0.48905675366724316,-0.23940791135517037,0.43838165309457683
Cerebellum_8_R,-0.515919440385871,-0.3621931882853895,1.0,0.04593118255415955,-0.3531580305659212,-0.2983368324639992,0.7194185491865895,0.5060946362282602,-0.2710176775046038,-0.14253882341452476,0.06320824495371259,-0.2908495135798007,-0.20881759778857542,-0.40240863299699337,0.8810247948104828,0.7638427294036035,0.02739238437187185,-0.08230600544536423,-0.48588209285273204,-0.46201261979000063,0.7100282111236076,-0.0748727430010919,0.3901759487696755,-0.07539541094335529,0.34579983986411067,0.6852662276830569,-0.35007631686037655,0.0982651848604167,0.22372052866016318,0.3026317738197535,-0.45870830623073,0.8662350155722793,0.337491423852796,-0.19313588581487087,-0.16308085806931502,-0.19789588155831556,-0.3440230329559981,-0.3844998872591346,0.7392936370949319,-0.3195212176960863,-0.23310418763122726,0.8026927122781592,0.42081968401826503,0.4519444190397997,0.06804108739318812,0.5222116829258284,0.031241627309457346,-0.47221195938885696,0.005595391304784287,0.2418506474254565,-0.34850380399411424,0.6621985571816487,0.37703907470001685,-0.1546318666327616,-0.07869415642413725,0.049357555794107534,-0.07997953841627112,0.4128858025414247,-0.051130637818856246,0.007264148992111752,-0.35082182569854503,-0.211435115204162,-0.07431718719142595,-0.19786120030318388,-0.3508940443015558,-0.19124846660093886,0.7272066931273768,-0.10578816139939434,0.36851904506397903,-0.2126022700743493,0.7922265166315332,-0.3381879173672535,-0.13001290806001867,-0.2893807007426496,0.5400998014962698,0.6968355186821186,-0.5160000677194694,-0.032822131807266605,0.14749943412256794,0.0107909469583134,0.2182141571691243,-0.13584788541836867,-0.5641419291933072,0.38586024108714984,-0.14298506039374143,-0.1904746246916399,0.588660929176745,0.2354234049107997,0.3817909174211192,-0.47158124285901337,0.08112282714346167,-0.31837647861730806,0.34025965234371375,-0.20739107178309052,-0.33583308037251786,-0.005684405833909459,0.2449794215957116,-0.17267259384256076,-0.23304948054244295,-0.5074144622109057,0.287149290331748,0.5640334599986825,-0.5386788101947766,0.49413573059986776,-0.4043559031245083
Cingulate_Post_L,0.12559231964049877,0.4610250341926969,0.04593118255415955,1.0,0.02575974221878667,0.3624400862079204,0.09729036264569639,0.5076660270543415,0.3158756281047537,0.1411766746714153,0.44595294559040616,0.27383147820236103,0.2076166225564066,0.20697573088293472,0.15331116739241182,0.08772955382127756,0.11686046553030784,0.25940925082670424,0.16770187891552668,0.050577327913456295,0.39176926088416136,0.3702454988366753,0.11150894661242185,0.5553305335834124,0.14193899189962794,0.43434026480392207,0.46821197969046435,0.8504820275211536,0.5274656141140016,0.175301777976518,0.16561700106602714,0.15217296684383697,0.17034462247233226,0.3174761407593149,0.05612861253006866,0.10450365298455987,0.2746342523702776,0.43911581065326777,0.15095930340154848,0.19026222479337843,0.40383653567409344,0.11636561627431861,0.43908403599946627,0.25240785632338997,0.16928840307437634,0.30638655576105234,0.1288303338249481,-0.07633991573128773,0.2261217068528021,0.4007124924499535,0.25265491752984925,0.09868189743082116,0.1980695363375968,0.11722213350719755,0.23141238786500584,0.2404248262058304,-0.013416554129721443,0.196149262873111,0.44715359985796804,0.25837828291118003,0.04366732067622394,0.14203012270694781,0.4084153865808533,0.25756907838424714,0.19408778937420137,0.25799556443228205,0.16673493700425498,0.11116545551230597,0.4079923142437568,0.29806363929889734,0.21631633880762113,0.28189745711462627,0.15205904986124594,0.47981011041372934,0.4078886421871652,0.24542409969882933,-0.11878719913612965,0.07054327111574571,0.4551559981051628,0.3293099725063185,0.3275845928198365,0.2121911328493668,0.01506408798709733,0.25713406801592636,0.2507293307661326,0.32290645176565597,0.4784178525700414,0.3223018461882616,0.45066313447386896,0.12402106673471876,0.3989844311877062,0.31838853256382976,0.493260577429982,0.30918517875398804,0.2491610807751781,0.2636018475498924,0.37362014569091584,0.07766619346779431,0.10454094482933324,0.09450977941268217,0.31723404340112726,0.2845810708438817,-0.019967181573954586,0.1209174931076983,0.015717390341288
OFCmed_R,0.5209517322115924,0.39250793862285416,-0.3531580305659212,0.02575974221878667,1.0,-0.13894468659739478,-0.5276153397216272,-0.25039355411396147,0.5293153706502689,0.25268069604999366,0.058900868941984784,0.38857826965378944,0.06680546291231837,0.1543353201701876,-0.3578613701821678,-0.5172708475203533,0.12915462548112575,-0.0157321505815757,0.5416466912975855,0.45772717174612126,-0.324629013584608,0.38934587036583035,0.036878391474046056,-0.006251680416453494,0.33399679629809975,-0.3618790737336788,0.5278476651993391,-0.08281652005641064,-0.02436011884736791,-0.13725838293725343,0.6248216068618188,-0.4366517642495905,0.012408074633764091,0.2651681403974869,0.3547777638792648,0.3648814799086988,0.5218546464773995,0.29700596525165684,-0.5259567625235589,0.24435426089045303,0.32235536650480145,-0.5241474355723252,-0.2484357907446928,-0.24443136959792372,0.45459384831389116,-0.25546169152182524,-0.2568324166633487,0.6633090907686884,0.3023633630622731,-0.033613212816255636,0.5419346737287998,-0.02822649100909548,-0.34842624579023984,0.24337329694343907,0.06062654352471837,-0.10822339433177747,-0.01867955982737381,0.19879505257804084,0.3219882966529912,-0.031308906082933005,0.7068777774660663,0.13555349397826208,0.2265946404474346,-0.0035666324584582025,0.34643043200283674,0.21588344195437184,-0.4721179685059379,0.11019612199881136,0.09500418100944318,0.4339963500999834,-0.4629671509893678,0.4114092248044639,0.3138056902964114,0.2769232302877938,-0.2672054079756498,-0.48065685598066565,0.6196368771269165,0.32891200606182075,0.2549247839128568,0.38982905572182036,-0.07680281029615624,0.3268043601168867,0.5927026697974562,-0.425161072969493,0.2278478072424804,0.37379333813599,-0.27011945368380896,-0.11872801474398495,-0.0793240512085534,0.5563185947972611,0.11618245885614305,0.4129428849934517,0.19325261296992313,0.20463106778352882,0.48381145127549824,-0.14245089911668032,-0.22898305367630303,0.14802725818649975,0.5105406739951437,0.23840672494516685,-0.1804644478744539,-0.25238121376686956,0.3782886869809972,-0.23592762990740954,0.7388967863247218
ACC_sup_L,0.3232205825309298,0.5063048351644672,-0.2983368324639992,0.3624400862079204,-0.13894468659739478,1.0,-0.16706024071309328,-0.10792160701270863,0.18684279496421338,0.1291360535333496,0.17269720319415063,0.3260736687715959,0.06576263973064957,0.38875872844866066,-0.279309930574677,-0.18030128491977684,-0.08329939539564112,0.17199108145868885,0.2255802900827816,0.2407746559858785,-0.11702139868776401,0.3877281461633851,-0.20352517968389872,0.20942877180145472,-0.05403144963231596,-0.029791311219165863,0.3196072097751534,0.34566208625934847,0.079970006512787,-0.0964576824514388,0.28065077834418634,-0.22458279857696894,-0.1309137325854815,0.20040515818922547,0.029404200209616923,0.05914870874144225,0.22980500662289913,0.5485579250832882,-0.15854074368792956,0.43132017565418723,0.49795992049207877,-0.20667000723294196,0.03576139162132067,-0.09369908721302724,0.04554086394815919,-0.11134273058251334,0.05674704781281569,0.1428597375432666,0.11131773333796961,0.2079133599399612,0.15499288809740105,-0.27219255548954946,-0.13592894836377073,0.2225302577066929,0.16318559509115624,0.17400719165107967,0.05901305430911124,-0.13030772954060657,0.3225002447040097,0.24675274281724766,-0.008299638646548604,0.053750876428062117,0.5063672530549796,0.38513222501294575,0.3390130055681297,0.2688926486810788,-0.1897693231199263,0.06747082495753383,-0.012001473043749444,0.28924431283732505,-0.2029822346793374,0.275052224939456,0.16932155460284437,0.3981686870210064,-0.0435738758663514,-0.02544504090060727,0.12740941674695816,-0.012798884561994179,0.21481249895664675,0.07648573296373096,-0.11980267673463176,0.19501672774053008,0.157296704016632,0.012127576738583607,0.05143056227508307,0.3555659913931217,0.0261085643498556,-0.08370969139872336,0.02811610192234948,0.27353784630779615,0.19992289148062117,0.2938637308185223,0.0843009348150591,0.13334015162316906,0.31185098693164576,0.22844723748277412,0.4064905788350061,0.19371808057486078,0.2721498075531867,0.48381156991351226,-0.009165252656854805,-0.09769424327226538,0.24617102587587333,-0.15511886170310685,0.007389555266182711
Cerebellum_Crus2_L,-0.5859430704093361,-0.33912380489135807,0.7194185491865895,0.09729036264569639,-0.5276153397216272,-0.16706024071309328,1.0,0.5228870391302776,-0.35139779649938463,-0.16427768286931216,0.06185838643773098,-0.5827750463518616,-0.39653030704645187,-0.3186967311947109,0.7604776020620898,0.9030666181184985,-0.11258399118670036,0.012412838581888228,-0.6602801838831694,-0.5710670571373667,0.7873134320362432,-0.3044059776849031,0.5371143039471875,-0.1488710764341026,-0.023775969501462726,0.7354379970936322,-0.5342701772927394,0.21171730533809785,0.31728767953843456,0.3713627917152611,-0.6280457135933047,0.8638499911869021,0.10634229237055906,-0.05437112372118824,-0.28405074683099985,-0.3464472401716233,-0.4320180808102129,-0.43452548653219536,0.9248404361172363,-0.47515148919068273,-0.3678037778755436,0.9293586382267622,0.5323967686165304,0.7841181089417674,-0.36931928193600616,0.340606224236145,0.2758342833209698,-0.601769763624538,-0.23051704636774267,0.12797090092581692,-0.5651186009408493,0.714650035367845,0.3272941183148318,-0.30325097548642893,-0.20927195039477015,0.17499892531575822,-0.1349179564465956,-0.06528458408123605,-0.1394793393196706,0.020132270958802982,-0.6115099713097697,-0.5038379344721027,-0.04683009923299423,-0.3085513035231173,-0.6609782839884765,-0.38526481662956547,0.9297160522411113,-0.02853356238571603,0.009007204862859506,-0.33471958340525665,0.8455383180130431,-0.4857683287035829,-0.2599003344331554,-0.35606257592757445,0.6673750281133976,0.7515849797731358,-0.6862198692873032,-0.1289884891230641,-0.14564443103581992,-0.1780191856236962,0.004063786386965822,-0.14675569229891533,-0.671536591009024,0.4706710099524669,-0.4530668801927527,-0.2751364760249125,0.5036295330845335,0.05441238733896936,0.35275556394174157,-0.5994754488763433,-0.05446363240817442,-0.5065207461246597,0.30751440642150646,-0.47841695417198576,-0.539996366792722,0.031098136728125544,0.3007152393215792,-0.2065907172100228,-0.46035383175097233,-0.3332390845775414,0.2077872957030239,0.8039626361069836,-0.47111683223292117,0.4407951757955345,-0.6565464814485025
Occipital_Sup_L,-0.44071762468750264,-0.007393874263633606,0.5060946362282602,0.5076660270543415,-0.25039355411396147,-0.10792160701270863,0.5228870391302776,1.0,-0.06462933719580556,-0.03419461186883229,0.31662027869830994,-0.12646406707590224,0.18076385038221854,-0.12631770764883313,0.5791324433082295,0.5401197463811698,-0.012292118677206646,0.11606970010780747,-0.3482543421711351,-0.5052738766130854,0.6756374286930111,-0.009143027450433052,0.24482706809799107,0.394969585914214,0.12349965971780505,0.6947577903782179,-0.03835604726195263,0.5403910530182752,0.44272446597084053,0.26583448657448294,-0.39877421097274274,0.6150713750951884,0.2329203684884267,-0.01920387140399679,-0.22954086579811347,-0.07561131188410601,-0.2610976165548057,-0.07532394339886268,0.5680828079834166,-0.1503453310278355,-0.06631329026734602,0.5986716489935848,0.577421257450073,0.498591856257584,-0.030911417390217463,0.6753791237031086,0.2089630700606268,-0.5368564572179751,0.17907436010375197,0.4020632264598367,-0.19267279509016663,0.402410542598516,0.5254720381472374,-0.21224957682386822,-0.02733963910454766,0.15440831376048936,-0.16239276606035413,0.27418017196356903,0.12583738718307444,0.13171308474602944,-0.2815520382872852,0.09411490197494106,-0.0031875074341468804,-0.06503335746200137,-0.13778931944628198,-0.11308026104446034,0.5977940178304564,-0.1234681652390704,0.40919986139590814,-0.09176899851047264,0.6657672247825525,-0.2377958245581403,-0.07290946357813378,-0.0002159839557652187,0.5988716057333193,0.6408535681301875,-0.4805963751085401,-0.12626115322626322,0.19762518250225686,0.09646265930054529,0.5870113191825265,0.03489770025366386,-0.45000417517338404,0.6711426109766705,0.21271938679654284,-0.1137650560905811,0.704998499755616,0.5230649522104603,0.5051458781491326,-0.3179469887316084,0.1586098225374138,-0.16794836787416517,0.44494998399090535,0.17200764967765636,-0.2037265478021792,0.3269350061605977,0.2270711616516038,-0.16192137529227454,-0.3587800097368689,-0.3808996197754942,0.39687237820287175,0.5363793585918639,-0.41762477519612845,0.39050911361428875,-0.3785151030172066
Caudate_L,0.6147718675532449,0.610861488150151,-0.2710176775046038,0.3158756281047537,0.5293153706502689,0.18684279496421338,-0.35139779649938463,-0.06462933719580556,1.0,0.2420147062906363,0.1089642192905281,0.4137275741507839,0.10908429860686918,0.2556097882189818,-0.22597106047765966,-0.29799259506938236,0.5151900784732608,0.1303358321193121,0.5192211906654625,0.41280301881528003,-0.11066662231705068,0.480242466732286,0.12105021996735384,0.20769456698223435,0.31451381492932795,-0.07704257742705486,0.6193076936005615,0.2702650244264348,0.19383476617393516,0.06978508404012433,0.5849693621137649,-0.2511820934909796,0.10209730656337195,0.3044920839927181,0.42771304020033635,0.2941068936834988,0.7529482737022701,0.4486624778679714,-0.31103408409766625,0.2902000704170819,0.5193658775826241,-0.31578277320209763,-0.049921596294560916,-0.11047400935928539,0.4030842125338929,-0.08950206234574433,-0.25652710544605006,0.4885637413158157,0.20899190170233953,0.15194973842926127,0.5421018646049517,0.02486549552484811,-0.037973331428347426,0.46438857836953923,0.2917674916044855,0.223178626447554,0.011023441601496728,0.20022229538303904,0.41028638510793325,0.22124449113708214,0.4834208762115223,0.1210362400211339,0.3151360798240186,0.2028854875184594,0.33175220323113414,0.42121067556082964,-0.26815769601583644,0.2908998335516845,0.1690184050325428,0.6123892544052167,-0.3075227539290288,0.634348674428523,0.27204943243582147,0.5145212103696357,-0.0748682159176116,-0.27050022054779826,0.3838178353559728,0.3602463282987319,0.37245103649827654,0.47431624241687825,0.03671119413543055,0.291578749452465,0.49785083484601406,-0.16795824315141314,0.23520902230165158,0.4490843074407119,-0.03438676407957119,0.08972570967776283,0.2046667981536454,0.4505886057960609,0.5043361572970562,0.5569976719783273,0.3616670784427323,0.2761175992901481,0.5504371163447206,-0.007237311443869285,0.004465138430710801,0.2950409885587342,0.4519494231882439,0.23066875151705535,0.14148688558499659,-0.06621392190367029,0.4305504122456343,-0.12801217724645686,0.4464586856070754
SN_pc_L,0.20526129065935653,0.31603329895727394,-0.14253882341452476,0.1411766746714153,0.25268069604999366,0.1291360535333496,-0.16427768286931216,-0.03419461186883229,0.2420147062906363,1.0,0.3731289530576794,0.1667982030376853,0.04539947274177072,0.060037348210640724,-0.1202834428195637,-0.1575755159421401,0.05900582087993916,-0.005135056668683019,0.3303084879882895,0.255105715558392,0.017998220481766483,0.2787934194249207,0.05265287674802144,0.019879184210801065,0.29023651140740425,-0.06444623528777801,0.2123260484995973,0.06711108024976395,0.13220584720856654,0.11382828006381651,0.30258841745920956,-0.1981160266566881,0.17214428414717395,0.21191146485419754,0.016212535786383056,0.29528891960829473,0.2674265749952175,0.4316071417462278,-0.21973894126495963,0.15819148393849092,0.18531739037719847,-0.17140689787120153,0.0032096974541075923,-0.022479086205250725,0.2997328975922648,-0.10827226765249695,-0.019021637206214814,0.3977006042789086,0.416655291124516,0.05403029919330701,0.33642161560552175,-0.008126932992518043,-0.12099503437218002,0.23479474547078713,-0.07561051283045499,0.09342508263478908,-0.15477232761270368,0.07755095192399586,0.27423333841528796,0.11216072049952867,0.37517742714169033,0.03328832197728825,0.21737197859529567,0.023510969224929606,0.112558323632974,-0.0004913392250216151,-0.14459812508943018,0.30938398822512414,0.040902104502409296,0.4376174687830928,-0.19135473028002367,0.1960642057872318,0.13178402162886285,0.31957169402971675,-0.05175420644404166,-0.1631715931362101,0.3946588668478679,0.27749048592610637,0.14381202182180144,0.35265692446443,-0.06272112417754785,0.509114686622205,0.20989990384190463,-0.12241965225826858,0.01900620493243389,0.19940365783355712,-0.04451826839070447,-0.0853644058605645,0.059264396252983485,0.33444746272631715,-0.0016459845584009954,0.2501279074059216,0.0819398173910597,0.06706569093652422,0.16346867937640638,-0.044973604375492866,0.008540235502477343,0.39089741554124313,0.28837390028297855,0.10390225816995843,0.025871998488080528,-0.03044772951936322,0.06646190186256423,-0.03944021446987555,0.35549269002150413
