,Temporal_Pole_Sup_R,Olfactory_R,Rolandic_Oper_R,Thal_PuM_L,Occipital_Sup_L,Thal_VPL_L,Cingulate_Mid_L,Frontal_Inf_Tri_R,Fusiform_R,Insula_R,Paracentral_Lobule_R,Frontal_Inf_Orb_2_L,Vermis_4_5,Lingual_L,Vermis_10,Postcentral_R,Hippocampus_L,VTA_L,Angular_R,Temporal_Pole_Mid_R,Thal_MDm_L,Parietal_Sup_L,Temporal_Pole_Mid_L,Frontal_Inf_Oper_L,ACC_sup_L,Frontal_Sup_2_L,Heschl_L,Cerebellum_8_R,Frontal_Med_Orb_L,Parietal_Inf_L,Frontal_Mid_2_L,Olfactory_L,Cerebellum_Crus1_L,Thal_MGN_L,Thal_PuM_R,Thal_VL_L,Lingual_R,ParaHippocampal_R,ACC_sub_L,Putamen_L,Parietal_Inf_R,OFClat_L,Occipital_Inf_L,Hippocampus_R,Vermis_1_2,OFCant_R,Cuneus_R,Raphe_D,OFClat_R,Pallidum_L,Amygdala_R,Thal_MDl_R,Rectus_R,Cerebellum_8_L,SN_pc_L,SN_pc_R,Thal_IL_R,Occipital_Sup_R,ACC_pre_R,Caudate_L,Rolandic_Oper_L,Cerebellum_9_L,Pallidum_R,Cerebellum_6_R,Parietal_Sup_R,Supp_Motor_Area_R,Caudate_R,Vermis_6,Cerebellum_10_L,Cerebellum_3_L,Vermis_9,N_Acc_R,Insula_L,Precentral_L,Putamen_R,Cerebellum_Crus2_L,Thal_AV_R,Temporal_Mid_L,Occipital_Mid_R,Thal_MDm_R,Thal_LGN_L,Cingulate_Post_R,Red_N_R,Frontal_Sup_2_R,Cingulate_Mid_R,Frontal_Inf_Oper_R,Thal_VA_L,Cerebellum_7b_R,OFCmed_R,Temporal_Inf_L,OFCpost_R,Thal_VL_R,Frontal_Inf_Tri_L,OFCant_L,Thal_VA_R,OFCpost_L,Temporal_Pole_Sup_L,Calcarine_R,Temporal_Mid_R,Temporal_Sup_L,Cerebellum_Crus1_R,Thal_PuL_L,Occipital_Mid_L,Temporal_Sup_R,Fusiform_L,Vermis_3,Precuneus_L,Cerebellum_6_L,N_Acc_L,Frontal_Mid_2_R,Cerebellum_4_5_R,Thal_PuL_R,Cerebellum_Crus2_R,Vermis_7,Postcentral_L,Thal_PuI_L,Cerebellum_7b_L,ACC_pre_L,Precentral_R,Amygdala_L
Temporal_Pole_Sup_R,1.0,0.6631861938214488,0.33516964222144024,0.4170905003030047,-0.2255747986108666,0.4698896041969741,0.5291921889432349,0.7725313218214164,0.3041916917077028,0.591431188939864,0.1339251216742439,0.47143135600908637,0.019497715139606697,-0.2227899366881885,-0.24790571758431554,0.27299280039705437,0.485867863376053,0.07700237567450283,0.16068716798645236,0.0659083329033621,0.09900094537592594,0.22989546437519645,-0.036787035758820044,0.5832613227831025,0.026118084894345476,0.5447828514775809,0.5034623257656654,0.014949538906311004,-0.3016037696029955,0.21755239284707442,0.6654623876630233,0.455789519283318,-0.33872041567592187,0.4444743781272945,0.37844119779426544,0.4999249278441201,-0.10900740586749307,0.6107583836950248,0.4914660778981941,0.39889133245719105,-0.03153161430619432,0.1349815429048238,-0.3560462306330919,0.6107547723063751,0.00637143603963684,-0.03611897784691818,-0.04727861384632071,0.038975002120545846,0.2513002970475044,0.5278652724511914,0.5203754050846714,0.33432740262840765,0.5548500927333502,-0.34417739169414535,0.2667306685493281,0.2062096575061356,0.15366707530681908,0.024248880200340012,0.7004306354605547,0.351081374114391,0.4825791689043615,-0.18200942669386955,0.5894118115850582,-0.12153517144947569,0.14042438545140967,0.5615826184876908,0.6470675687937233,-0.13056470952694887,0.4512443567367899,0.17351560149953463,-0.262610247614268,0.11171767093700989,0.7117377425188591,0.5839805086560004,0.33580599904840225,-0.3581605033029424,0.5288070059851101,-0.3666250327722538,-0.01713799981465087,-0.1653555487666966,0.4844336487370856,-0.01336793156473492,0.3785218602324642,0.6671848917411672,0.4428982402003055,0.5160499993979252,0.44450569574851195,-0.04113805530278821,0.47727232680017734,-0.4196737021579112,0.6487049118525884,0.5530140353504553,0.6481826086214716,0.14882118264675034,0.58582785961423,0.7120751000564854,0.03259061237706407,-0.011748114816942134,0.48173097804215953,0.2107177662873842,-0.0034179368607648057,0.22624084154986424,-0.3803457785945592,0.6389726689663376,-0.25652100351017654,-0.06222722300111685,0.2968869679856884,-0.38522010506225474,0.3085143843013461,0.4013847908027691,0.1558420206315835,-0.47668114376738535,0.2966375502998887,-0.17640613591452384,0.4545547675232076,0.18003550818007968,-0.32987062127514405,0.5740153132142676,0.13582344185337653,0.3222218708142503
Olfactory_R,0.6631861938214488,1.0,0.3797965067155706,0.32013206945774614,-0.3016368976049499,0.5769048864651998,0.5090960559490089,0.6432703797499506,0.10610976747797239,0.5885846127668684,0.05597405777621163,0.7710988897849167,-0.04411598401139931,-0.4590977244118067,-0.4031700212592434,0.08696648033594288,0.6794583794965822,0.05325359086131834,0.030952585234756302,-0.26852619609279743,-0.018324627173080768,0.2518465500655417,0.0419588908990099,0.5735829142436992,0.11196741914758318,0.5410403561595615,0.3930484424028394,-0.35153193182144354,-0.15712915754618184,0.21767443336903447,0.7034092694074714,0.5831428707995209,-0.5227065707858235,0.4129942940514844,0.41016162180220567,0.5841001585291623,-0.3328421395559964,0.6675047874969373,0.7977335426143689,0.5085957730554863,-0.07819533746013232,0.07916302959773072,-0.5217969293271294,0.735595854174803,0.18875670924441812,0.1636594043778113,-0.18177372637985392,-0.10541483566836425,0.3266487213099636,0.6107803267924541,0.6600014005149261,0.29940108374466645,0.6654253180530675,-0.5373575548882553,0.46613528105993,0.4287327832256285,0.29263347867179884,-0.052997091451760056,0.7241262517693957,0.4985978807184647,0.5351794743766348,-0.48457263401954814,0.6970145928023119,-0.3420454979237317,0.21745527048604593,0.4449497739715878,0.6392320723532462,-0.34054490487878264,0.5029019028894265,0.23599934137112077,-0.5323915287037877,0.26115450571111887,0.6973558359971239,0.49496788624148713,0.5565768770630524,-0.502500101044149,0.5772643107133509,-0.40335833632668977,-0.20670932855913934,-0.31182729943855647,0.5973840745280936,-0.013757462707010336,0.5512359136109137,0.6613894219446864,0.371583735452898,0.36583732673141317,0.4963115250102714,-0.2645282646408483,0.6583047825489307,-0.42363552097594065,0.49418711764429873,0.6121474997536902,0.7218633785820274,0.07023597521066387,0.5112887216605205,0.8056985849501103,-0.06977245765026856,-0.1564706580479972,0.1796137404956472,0.10405357866763355,-0.3409660280047439,0.23362939961550522,-0.5403015664343854,0.37837880890771997,-0.3189678333675453,-0.029387500026995743,0.29852564561682104,-0.5287714254544459,0.48013939208152734,0.32329061959467975,0.11325224446544915,-0.3888232011227738,0.11932679337049988,-0.4099930916298645,0.443377918435569,0.3996713336214273,-0.49652553891463996,0.7475113494731569,-0.10430977817595709,0.6720186693400007
Rolandic_Oper_R,0.33516964222144024,0.3797965067155706,1.0,0.14214974424147395,-0.0031875074341468804,0.3555488304823829,0.39200136431040117,0.602055148754599,0.5222786508474938,0.5518242078792485,0.38375196472442286,0.4820515157301382,0.49938679772287914,0.1496695593564156,0.31327235417059013,0.7096396003282918,0.4649991876623939,0.04421103501797196,0.08444738068235637,-0.1368755113661212,0.04874995531634896,-0.03676036630871169,0.21132116125257647,0.6628524085949874,0.5063672530549796,0.42841721206456834,0.5460021892738193,-0.07431718719142595,0.0762391672244794,0.042002310669414254,0.2967100347486707,0.03590327011556717,-0.060390567219242755,0.1173800447920409,0.487482728953594,0.4314134527171668,0.3087291997062362,0.4618798670894768,0.2910021543965647,0.5194044809040353,0.29487132935035065,0.41525145434298655,-0.024930480401187394,0.32920674374707937,0.29383900256097534,0.4042073695349203,-0.02074031966951911,0.03901433896422579,0.24793771818302815,0.5281268444934456,0.2584303973781101,0.3267206641889226,0.15952255414424088,0.005837413791773751,0.21737197859529567,0.2722830055327469,0.4237534624399214,-0.04063974826284783,0.3962921806812445,0.3151360798240186,0.5970023542783681,-0.02070857693757599,0.4081583877082919,0.24144744249287367,0.0019862282255794055,0.46676447282829625,0.3758106113645983,0.3193889371775523,0.1989558248876732,0.45871080540374964,-0.07357715373899933,0.3655900999517981,0.522172650542742,0.36541831495191346,0.6122916460950478,-0.04683009923299423,0.4815991006761106,0.15465976452303626,-0.014477052512610517,0.060895258294176774,0.22235493845408877,0.45299066220781126,0.25222792516675807,0.43589597198959396,0.5108228592719671,0.7532396791032824,0.5475860363395544,-0.07749769723540073,0.2265946404474346,0.13179857093752262,0.21644218317714164,0.3946527601325127,0.5690449776947335,0.11952660837827589,0.5104836640526611,0.2265887989824807,0.12078279861609344,0.30954468123217277,0.2132240470086041,0.5663771972968252,-0.07126595344970808,0.10057607905100355,-0.09377728651555538,0.5843379800517193,0.27055297090880004,0.3352541144581658,0.14232785707450368,0.021354565660233443,0.29015999918625957,0.6735332115127038,0.5994093006220259,-0.1614179464863619,0.0010597412243867933,-0.009175168414590474,0.3271715461117348,0.21309333037274536,-0.025488063725883355,0.3616392626276816,0.5916611943596032,0.21424787399303313
Thal_PuM_L,0.4170905003030047,0.32013206945774614,0.14214974424147395,1.0,-0.11308026104446034,0.6300094289000544,0.43258880272842937,0.5022121225848205,0.2376502111090986,0.39957853180174685,0.06115728947883394,0.37246981046520916,-0.16334032568725299,-0.20782686805418094,-0.25699447409007165,0.17922584393569732,0.24754707107606852,0.1751286741895748,0.3634844579227881,-0.07223912161429312,0.4349388425713159,0.4159978611181788,-0.27088464821048236,0.47500135828274664,0.2688926486810788,0.48402743345087257,0.29807842147992214,-0.19124846660093886,-0.10869315348353965,0.37917309151425704,0.5755639745494846,0.5139107021356251,-0.39468202417949866,0.542968042427907,0.31528354472379455,0.3813301681419287,-0.12535066789475008,0.48020729029961723,0.2830484331114769,0.5143086209729538,0.145755920346667,0.28826623949197766,-0.4000802918222143,0.5904917793945089,-0.07952108962476537,-0.030451880012739546,0.22612215702135124,0.04751127091462913,0.42994065418140315,0.38363911815141233,0.3513914017183289,0.42793017611461054,0.29937963871666823,-0.3650540809004937,-0.0004913392250216151,0.03555841447258918,0.3026765016970359,0.31857430581195734,0.5658736577589571,0.42121067556082964,0.3489212621934172,-0.26742138403576754,0.451334231835132,-0.23769756229588831,0.3547766088042375,0.4808474674231462,0.6475579058386468,-0.16791699675207947,0.3700719016070887,0.00677568213735262,-0.19331080949616117,0.11035336503369517,0.5487291855099369,0.5333747565540395,0.45131438545044406,-0.38526481662956547,0.3072047700643194,-0.340487258067849,0.20456082459185038,0.12061205112096271,0.5221636507154088,0.17139927213019718,0.19708031652119193,0.5010890408571914,0.4076847801058899,0.3573195875640606,0.45556599172964946,0.0013755741667867444,0.21588344195437184,-0.39022586174695095,0.19714593335464609,0.7195539387357412,0.48804835181068495,0.3657313487898436,0.46347034111500934,0.42394227261051337,-0.23577407996553462,0.06958706833443883,0.49961751792751535,0.11501716595761029,-0.09888446034455034,0.6545638318398126,-0.3014816337255451,0.5203739412520377,-0.3234630813544712,0.05179679583674899,0.4669803073032005,-0.4300820985127841,0.3302808192849693,0.15162054724478066,0.05252856093055578,-0.09626993117361421,0.27642665858177234,-0.3768405619886292,0.4661086449127061,0.502196819359517,-0.40939514580180236,0.2387970467860776,0.06006392204505869,0.1356058996762412
Occipital_Sup_L,-0.2255747986108666,-0.3016368976049499,-0.0031875074341468804,-0.11308026104446034,1.0,-0.44071762468750264,-0.2037265478021792,-0.3587800097368689,0.4297416589962923,0.15715902081406574,0.18194724635424783,-0.3268133619268173,0.44272446597084053,0.6408535681301875,0.36188046303641946,0.21776592441137846,-0.09176899851047264,-0.16239276606035413,0.5020628299364257,0.5385239848244496,0.39687237820287175,0.09411490197494106,0.24482706809799107,-0.009143027450433052,-0.10792160701270863,-0.03835604726195263,0.15528603150675033,0.5060946362282602,0.2089630700606268,0.21271938679654284,-0.30606209582239036,-0.45826261622141845,0.5986716489935848,-0.08003220367892179,-0.012106805482426744,-0.2610976165548057,0.6947577903782179,-0.19267279509016663,-0.4154159931352221,-0.07532394339886268,0.3269350061605977,-0.18612579994693215,0.5068441416008421,-0.3482543421711351,0.20725238926013476,-0.3808996197754942,0.5902573306435385,0.26583448657448294,-0.3719436553817282,-0.09988530889028563,-0.18188229389091423,0.1586098225374138,-0.2815520382872852,0.5680828079834166,-0.03419461186883229,0.03489770025366386,-0.01920387140399679,0.5230649522104603,-0.39877421097274274,-0.06462933719580556,0.1332407384356299,0.6150713750951884,-0.39561983378943366,0.6756374286930111,0.18076385038221854,-0.13655676915201545,-0.23698493270637352,0.5988716057333193,-0.21749445666378173,0.31662027869830994,0.6657672247825525,0.13171308474602944,-0.06793557291728088,-0.12646406707590224,-0.007393874263633606,0.5228870391302776,-0.5052738766130854,0.6931078409474489,0.6753791237031086,0.5763435734625143,-0.45000417517338404,0.5403910530182752,-0.12626115322626322,-0.26284802298887416,-0.06631329026734602,-0.03647272138350575,-0.0002159839557652187,0.39050911361428875,-0.25039355411396147,0.498591856257584,0.12349965971780505,-0.2377958245581403,-0.29947954111809044,-0.3331827333111729,-0.16794836787416517,-0.3785151030172066,0.402410542598516,0.704998499755616,0.40919986139590814,0.44494998399090535,0.5791324433082295,-0.02733963910454766,0.8013482134650186,0.19762518250225686,0.5363793585918639,0.577421257450073,0.17200764967765636,0.5977940178304564,-0.10345132342284676,-0.06151848417132142,0.32290155254536784,0.6711426109766705,0.2329203684884267,0.5634762806423718,-0.13778931944628198,-0.41762477519612845,0.5401197463811698,-0.5368564572179751,0.2270711616516038,-0.4646930222494679
Thal_VPL_L,0.4698896041969741,0.5769048864651998,0.3555488304823829,0.6300094289000544,-0.44071762468750264,1.0,0.6154189153233465,0.6443172642298259,0.0031301451578152435,0.2640778809299327,-0.0766311631620467,0.590582470030056,-0.042329995821068944,-0.6016334974274506,-0.3154878660609284,0.04552862751843908,0.5387761808334866,0.25558016299872854,-0.20961565475316107,-0.4572523411434487,0.001264845532081553,0.043566412710365876,-0.16273645907654147,0.41388209936867537,0.3232205825309298,0.5737561086931003,0.4374389335108848,-0.515919440385871,-0.26228440528904706,0.09529146950587379,0.7085948270781037,0.6291345322379488,-0.6294338740742008,0.4016239247254712,0.5936025113967407,0.7855055226053506,-0.40971035566148317,0.6425076392364525,0.6363731784894598,0.4965729821812043,-0.18338746762993938,0.35015063327429136,-0.5643587048451758,0.7675411512747794,0.00822507000667531,0.43455652750830354,-0.3400033337825481,-0.10249089442451063,0.506037609001604,0.6775490042961133,0.4917684414531629,0.3213356355978695,0.5537621950681679,-0.6223839839703226,0.20526129065935653,0.1475053701170723,0.3544940647164231,-0.19264442795851358,0.7857112977175245,0.6147718675532449,0.269468069934927,-0.5855641769131321,0.7742336948629782,-0.43347192707678195,-0.0225754425537492,0.5081985531026981,0.717780261456025,-0.3593605604376924,0.48536899305138725,-0.046683388073739215,-0.6403756963699344,0.1048953014295689,0.4920762504817829,0.48451236642580686,0.6134798507847798,-0.5859430704093361,0.7254226712740032,-0.4954291300541267,-0.42939170579048186,-0.2291756046002582,0.8375044225212716,0.09839976531965375,0.39324127660265706,0.6297869586637933,0.5395399610426485,0.43360754669757223,0.5306912104685377,-0.3311601089381084,0.5209517322115924,-0.38517260126525044,0.14657191850084242,0.8037410322883604,0.7060307772694931,0.39865470412109355,0.6551883738254736,0.6182617756083876,-0.28357606164509164,-0.36563794702704816,0.04765363123910249,0.020306601091523213,-0.4497446214118009,0.40767699490591325,-0.654490273962197,0.32037309505521533,-0.3888422260219588,-0.2737378394061191,0.1559846414679446,-0.6063059382276444,0.4230106813094807,0.3457762648620109,0.16991062323434855,-0.48159097806430534,0.007859851279311224,-0.4866060350204839,0.4178044733480851,0.8187136693631865,-0.625520053515566,0.7083471189372377,-0.065449024471528,0.6101381445119478
Cingulate_Mid_L,0.5291921889432349,0.5090960559490089,0.39200136431040117,0.43258880272842937,-0.2037265478021792,0.6154189153233465,1.0,0.602243460704685,0.22563542908613274,0.40476492102235023,0.02947368937774472,0.4004573695849991,0.08194386974304264,-0.3539800694115381,-0.1645357006989257,0.38667443129961476,0.5115630573134461,0.29786857502081243,0.18436080892942114,-0.24219181130526388,0.006620445885059609,0.38238852277691915,-0.21947271484816477,0.6692084377579107,0.31185098693164576,0.8754443108829498,0.5116687536211658,-0.33583308037251786,-0.36789559359781915,0.5298577338431463,0.878310998670611,0.43603175605597094,-0.5262744822864672,0.4056630791450914,0.5692899244737222,0.6426900086978888,-0.2257081094675359,0.6552429185640138,0.4094532283411208,0.515768947366932,0.20181432349939724,0.3662938161421653,-0.47875462927611473,0.5737323612159495,0.0046823495836629085,0.3148864146065814,0.03256115213095692,-0.0593882780906002,0.36500311197444596,0.6425342966129044,0.3884903596345267,0.2899219690177408,0.6250015161022053,-0.5144634561247696,0.16346867937640638,0.21028853634325045,0.13961641533133554,0.15628108995977236,0.6672910744858829,0.5504371163447206,0.45847896199109794,-0.3945899226228941,0.7050977885636028,-0.26612142638386355,0.3166425397612737,0.8133716300847106,0.7588446142882521,-0.17154210851268364,0.569637439754177,0.20187565828148438,-0.46931485905042425,0.1264457483930863,0.6216357595590346,0.8421547703572958,0.627278288020584,-0.539996366792722,0.5805446560243979,-0.3315041442801379,-0.08543471783495314,-0.11818921002425034,0.5611370851093194,0.16648411446062167,0.22896637729309152,0.8441363498125756,0.8805932387703652,0.5584271671941109,0.6018296620649188,-0.27721311660254944,0.48381145127549824,-0.4254050649306118,0.31117878781470437,0.6571074110039212,0.7430234745301014,0.23175141955419462,0.7145028586363453,0.5262668021914244,-0.24384372284211187,-0.11304379306319934,0.28568273143913947,0.28256895836840235,-0.32082579048860577,0.242340339427465,-0.4470554674646233,0.5238835224591141,-0.3232262163098276,-0.1758855616377858,0.5285500147036956,-0.5052011200204811,0.23333085533222847,0.5810170240818219,0.21023129793405532,-0.27328774996000804,0.07103837897659955,-0.3928304776883982,0.7600407840881892,0.4021154870145657,-0.509853209249435,0.4995765925203722,0.2509583061819308,0.4830552414439714
Frontal_Inf_Tri_R,0.7725313218214164,0.6432703797499506,0.602055148754599,0.5022121225848205,-0.3587800097368689,0.6443172642298259,0.602243460704685,1.0,0.28050312659511184,0.5743914148946085,0.22755092446627448,0.5816626293294522,0.09167562138582812,-0.27301297006272673,-0.17837724892330678,0.4853987122156795,0.49039764703928435,0.12816571364328844,0.13889688224406566,-0.19993254587177411,0.08804385634738958,0.19935554231561528,-0.0724714088846063,0.7161750102613039,0.2721498075531867,0.5946886607784679,0.4868904678532208,-0.23304948054244295,-0.1893219581527861,0.19594282076798988,0.6909712956015338,0.4826313013250321,-0.4891054715795988,0.36794336876486167,0.45682825012039807,0.5688733594510064,-0.1665704408806196,0.6658436938362957,0.5845606504360262,0.5160194125341608,0.14308971748805097,0.30280857530916877,-0.4314691544078242,0.6311244179534405,0.08185418228416372,0.21205965788889689,-0.10779601911075054,-0.057629631109477344,0.4306638892957511,0.6234322212004986,0.5334529641443184,0.3179661684418694,0.5591033117135901,-0.4550912698982468,0.28837390028297855,0.25080464768057537,0.31330440364719103,-0.0035324463486470347,0.7792860185522641,0.4519494231882439,0.5585745117653774,-0.3790315787624959,0.6762283847804574,-0.21364672092217166,0.14114923669361354,0.6850787990622538,0.7074884594377111,-0.15307451210887071,0.41419802918477155,0.1940828193799373,-0.42438944139536633,0.10607966270243349,0.7318896617251373,0.648549445548039,0.5028160606005316,-0.46035383175097233,0.6795246155981393,-0.39144885264514434,-0.10801957166907827,-0.15514252443924356,0.5953252986036845,0.04409509480667465,0.3093091256041606,0.7806067719679054,0.5727679224982873,0.7692192013926175,0.5535332792462483,-0.20272981135640977,0.5105406739951437,-0.3831692471800463,0.3871084438832911,0.6512218273233802,0.7792328353414294,0.2663875908316538,0.6672652424036687,0.657567253073677,-0.137255607845923,-0.051490972696413305,0.3517819098956475,0.27091764824722364,-0.27402424960276345,0.3348202837606023,-0.520570501914521,0.6874081676890608,-0.250061527442285,-0.048683178305084514,0.3208917990071802,-0.46973625932183255,0.3485566053786372,0.6719036185922149,0.2782080330348644,-0.5497917125425105,0.10702678655365071,-0.36703144561091916,0.5220477867754042,0.4141183655288489,-0.4765986537734632,0.6568829694413095,0.305634655405444,0.4468448761796913
Fusiform_R,0.3041916917077028,0.10610976747797239,0.5222786508474938,0.2376502111090986,0.4297416589962923,0.0031301451578152435,0.22563542908613274,0.28050312659511184,1.0,0.4743407789776346,0.4993037725383087,0.1497848227159838,0.6016513384941456,0.4882002604674433,0.3647407816194567,0.6288087393391513,0.12297776034904982,0.006097077850815561,0.4987723773453983,0.2943465849832172,0.5366227041326308,0.19281298711219572,0.19328402506194986,0.4824770726473637,0.12773041689017287,0.3213532945061099,0.5095014797365665,0.3286043928778814,0.14731858258668032,0.28451335748528034,0.12976559272239027,-0.028898724471295018,0.2523929639341353,0.18955274962232416,0.23813679738521665,0.0834064596006458,0.6814872370473505,0.38751605794416705,-0.020827065569556363,0.41290370525510955,0.4368606653254916,0.2613278042380277,0.211128502924746,0.1888973134826155,0.18753962136000069,-0.14633371848756918,0.503996642839372,0.29419565139741244,0.1262132232662602,0.31159831910032093,0.22194392587246695,0.33496377186385473,0.011625610285752735,0.3120309115455299,0.15471381013270438,0.08709909405266242,0.3856288239544846,0.47263093130214984,0.08518833448074653,0.16879849489634408,0.4401024654741495,0.3916654774828894,0.06790315035436169,0.6427573595068774,0.23356055998469202,0.3903328740075655,0.2258728100587233,0.7130058174141867,0.19133918011623963,0.6047367357544123,0.4256412101911233,0.29571638643271225,0.4180520451600564,0.35824101928615987,0.37510286329392506,0.2412634136338478,0.03012044200030542,0.3997449582022743,0.5742857143087378,0.43250169273867184,-0.01850175958299237,0.47181734716564205,0.2166483535064936,0.2701045031210935,0.2965267730043291,0.5059338704201789,0.3945356759010732,0.2763341142875166,0.044590122449968066,0.2946084806420934,0.3196119167887304,0.2301659561795858,0.219192084121499,0.0660013027264894,0.33203164803890534,0.08176495077952109,0.2851110894611174,0.6398095122071726,0.6929778760385873,0.6460765083507852,0.44973827014462026,0.05012809769340692,0.3481032155956151,0.6836751786017403,0.5201543024936129,0.5546254422060509,0.3606834862767088,0.306408059420178,0.2862385948878881,0.38020885647170755,0.7052261027859904,0.1893030395623979,0.35418144792694933,0.25297461456263304,0.2568765445742491,-0.08733752402930338,0.24752741973999914,-0.10868844638678543,0.5669945649280049,-0.2640079441520624
Insula_R,0.591431188939864,0.5885846127668684,0.5518242078792485,0.39957853180174685,0.15715902081406574,0.2640778809299327,0.40476492102235023,0.5743914148946085,0.4743407789776346,1.0,0.1408683636528643,0.5168422440414335,0.20011705691997952,0.15889506653338814,-0.027394100911934602,0.4097179045438571,0.5369783191381998,-0.05527658503473885,0.46945609078608563,0.22449505668849892,0.2754970113374071,0.33564546364293935,0.1593302695233994,0.8021015887886952,0.1637106454729433,0.50712979890571,0.5687840130693538,0.12184299092031423,-0.037059069209170875,0.36828010425034585,0.4857616503689594,0.21775973035977966,-0.06092093071651052,0.41157173168480005,0.3635167397322118,0.35103217426074307,0.2597913678637068,0.5109156603947276,0.31825211414180454,0.5328672643917821,0.23028150079019374,0.009960795578804462,-0.10454870429359085,0.4863032921565615,0.11932747187491756,-0.1569678662454239,0.32942314542870166,0.1541448575814049,0.08521670934896643,0.49638734671121837,0.490536200344126,0.4106962783671752,0.36007824902158436,-0.07605768757513676,0.28624705532526634,0.41783495734064074,0.19394966454013898,0.2663560202755283,0.4589392822253787,0.38132114911122794,0.8427979987391654,0.03218799568173913,0.38184570246519633,0.13873115963448002,0.3113497512782252,0.43269447008548123,0.5605655236206865,0.12351191088528349,0.29536396078983684,0.3731725698370264,0.030697286554258917,0.25415104002628364,0.800440772282632,0.47403990485999625,0.5343068116503151,-0.12636207563566934,0.22488701224981686,0.028511974573927065,0.3492869794207214,0.10100491651338177,0.2242738341404473,0.3098214752297655,0.41233949066344183,0.51831510524019,0.38168031541794334,0.5312103921011712,0.5384588939970486,0.11888587623271193,0.34729252095921814,-0.1433399890369085,0.6309508969096659,0.47407652272091627,0.5960938329343302,-0.041341584567075,0.42421568247324176,0.5137934345722049,0.2316373187463121,0.4667417204523211,0.5984971726577618,0.5272051046158254,0.1569473946060616,0.30732413653378754,0.024470401032309082,0.7170226189073727,0.020046646345558722,0.34984931523861945,0.4095690557865761,-0.09970869731939207,0.3662696667153912,0.3735598690917708,0.22982205547976597,0.05141010030241033,0.31537372411605197,-0.009565262844222842,0.39924934561672687,0.04491693343045208,-0.09311194602019271,0.32344671624086996,0.196987350861445,0.14349599702765167
