,Frontal_Mid_2_L,Frontal_Med_Orb_R,Cerebellum_3_L,Red_N_L,SN_pr_L,Cingulate_Mid_R,Temporal_Pole_Sup_R,Thal_VA_L,Parietal_Inf_R,Cerebellum_Crus2_R,Cuneus_R,ACC_pre_L,N_Acc_R,Cerebellum_8_L,Occipital_Inf_L,ACC_sup_L,Frontal_Inf_Oper_L,OFCpost_R,Temporal_Mid_R,Cerebellum_7b_L,Insula_L,Thal_IL_L,Cerebellum_4_5_R,Occipital_Inf_R,ParaHippocampal_R,Thal_MGN_L,Precuneus_R,Thal_MDm_L,Thal_PuM_L,ParaHippocampal_L,Paracentral_Lobule_R,Parietal_Inf_L,ACC_sup_R,Frontal_Inf_Orb_2_R,Cerebellum_Crus2_L,Thal_LP_R,Temporal_Mid_L,LC_L,Thal_PuA_L,Rolandic_Oper_L,Cerebellum_Crus1_R,Thal_PuA_R,Temporal_Pole_Mid_L,SN_pc_L,Thal_VA_R,Temporal_Pole_Sup_L,Cuneus_L,Thal_LP_L,Caudate_L,Rectus_R,Frontal_Sup_2_L,OFCpost_L,VTA_R,Vermis_10,Thal_PuL_L,Cerebellum_9_L,Rectus_L,Temporal_Sup_R,Caudate_R,Vermis_6,Thal_PuI_R,Thal_VPL_R,Cingulate_Mid_L,Lingual_R,VTA_L,Cerebellum_3_R,Raphe_D,Angular_R,Thal_PuI_L,Olfactory_R
Frontal_Mid_2_L,1.0,0.1659406720665257,0.15969891169429787,-0.030102404703162885,0.32228647792482207,0.7433987503079478,0.6654623876630233,0.6305308491483518,0.128054052984682,0.09085914219935,-0.01155836721778987,0.6515101212501301,0.1558009226152134,-0.6630982136133796,-0.644664835735703,0.2501866715583383,0.6817354038150821,0.411581800383342,0.29931404648839227,-0.6542666009775568,0.7511893811802289,0.4126510698060493,0.10758479537684018,-0.4758456384832732,0.7448002009205448,0.5117041153561445,0.3515432344678104,0.038205492881044995,0.5755639745494846,0.6742931251908204,0.006260083992389916,0.5141253588809848,0.7028883000730989,0.7239695522959624,-0.6818295642524038,-0.13025176859494397,-0.4969347664463323,0.37882677581672514,0.48548783850673133,0.48826232753953963,-0.43240427815529875,0.28451373824691634,-0.22570760691138225,0.23870830263096546,0.7222043374159217,-0.2756058316495238,-0.26787001513413056,0.45482280213229265,0.6216180010751011,0.7300775821648076,0.884892089513761,0.7498071394076132,0.37721879505687644,-0.3423985386872251,0.3779400070427076,-0.549458442725069,0.6843271476732801,0.5209108252408344,0.8744971565309306,-0.3514046515316329,0.37372641941786994,-0.006996869167742886,0.878310998670611,-0.38331021173906044,0.20668809218529374,0.0350069967027154,-0.08404909500176554,0.19876775609364364,0.46711210243063417,0.7034092694074714
Frontal_Med_Orb_R,0.1659406720665257,1.0,0.011294549751847202,0.2177871175026942,0.36694845372197527,-0.03631106333277096,0.08689431121055963,0.16228477289643592,-0.24216304443628742,-0.11394882593410163,-0.4495969787782109,0.5218835148586493,0.44708946542094496,-0.2524497928267248,-0.2552624318239957,0.08990338225473224,-0.006207820132795694,0.104318973463696,-0.3116884205176951,-0.17700633375954467,0.09507350919127724,0.403448763738958,0.10277695738735397,-0.4366295168144428,0.32879419281954003,0.10271421795078253,-0.15869660455756263,-0.11931509760468512,-0.05701485421516296,0.379585758177938,0.05201760684252396,-0.18583709980370766,-0.07529500325660927,0.41874298717223846,-0.22779276400756943,-0.2903263186554256,-0.20360013575285313,0.22510229942299662,0.10314839274672716,0.01934273398271276,-0.32372007965542576,-0.10026497057717926,0.22085510883753645,0.20428723558492648,0.180897216932043,0.0376693690594064,-0.41445773765491706,-0.1040080961480715,0.2447513469693068,0.15882303517974294,0.03925769613884238,0.36745402202553773,0.3896163337606861,-0.184205629857027,0.0238048897128419,-0.33128931319844074,0.4313790178165577,-0.13971017334488178,0.12648176842905146,-0.24349554378530947,0.01668826396286785,-0.024827756283263423,0.045813114974475704,-0.2295993225223184,0.027807460908399195,-0.15280443230448473,-0.08926657475162067,-0.35585615966907114,0.39663291856458543,0.4899952097655891
Cerebellum_3_L,0.15969891169429787,0.011294549751847202,1.0,0.30821366772920417,0.22094314953643646,0.24809838748751045,0.17351560149953463,0.3457626008319678,0.3525825651239277,0.18266956854350994,0.303050226383556,0.06184930762910826,0.2911813876955477,0.11974248431189442,0.04595649070898262,0.17269720319415063,0.4256819344413473,0.26179809541671845,0.3275967549902681,0.10195717582628666,0.3771023558150718,0.05705343661085554,0.595246141549583,0.17022716093139065,0.37642935815569056,0.07145533046738173,0.44675542523031675,0.268925472510593,0.00677568213735262,0.2684528021266852,0.4071266947260351,0.24371444449367438,0.14264685132694074,0.04399585447824413,0.06185838643773098,0.11090203353268178,0.28630969449251403,0.2876951697419271,-0.1183097580395112,0.4072301159043582,0.1027131727764712,0.32698802637411933,0.13451616336696157,0.3731289530576794,0.291724322856094,0.13884424237670254,0.3500280663548718,0.02589793477131115,0.1089642192905281,0.13913400180786412,0.32331971895908135,0.06387427266984842,0.23828107231376153,0.30830421176628653,-0.07261408991263388,0.16133407497949342,0.010805615748272655,0.4258858776138774,0.2227327274755152,0.48071935466450383,0.13285211448462653,0.05959789078090944,0.20187565828148438,0.4265600202281732,0.035528676708277064,0.47797780267879303,0.24515358466545983,0.31886924867009475,-0.10135088995927616,0.23599934137112077
Red_N_L,-0.030102404703162885,0.2177871175026942,0.30821366772920417,1.0,0.23607966546939524,-0.038095166181340255,0.20326856560960752,0.12765368022570414,0.04046323650422386,0.20403191915315005,0.04006266357503289,0.09509264434889393,0.24964127877768083,0.27906888894780996,0.2756962691763776,-0.06427067519063176,0.23275187029141328,0.3604537150878167,0.22949782114235065,0.2877048023075175,0.2814997751814467,0.08114646019841099,0.19742687080625404,0.22382041840730854,0.04777470334046432,0.08565686034662781,0.02685139172334022,0.21769411205774514,-0.05865911250927749,-0.06875677710102401,0.2185109560151286,-0.15465425382398934,0.1370932605258526,0.08922275775401446,0.24771694524146212,0.08717511277407991,0.3124509884228702,-0.03589404349956114,0.04569502410536548,0.3941287672454785,0.303899575143922,0.010795829683240417,0.46851111054083655,0.4380192957052926,0.031395518050622184,0.4762000636112065,0.1624592797209329,-0.12469931523319046,0.2081704762474402,0.036058493497911404,-0.006743647727143825,0.23880780001974936,0.17951339219247456,-0.051981140665076024,-0.06622662530432666,0.2541558795108941,0.0256504284677839,0.24294485417515577,0.047814757107011295,0.2524962556235483,-0.036292620762353796,0.16708890650231709,-0.10201707246764227,0.3541722873888485,-0.25809865434149,0.24543225092061685,0.18752492699654222,0.12143194179379904,-0.08337176702076839,0.3423076522055606
SN_pr_L,0.32228647792482207,0.36694845372197527,0.22094314953643646,0.23607966546939524,1.0,0.21388176446726984,0.28861398248779097,0.3122924523927926,0.04908858966410073,0.2432953623609289,-0.0659315480133888,0.2937478508529523,0.2597151372667089,-0.0904337831797636,-0.09846054454062649,0.06747082495753383,0.22807148861167617,0.23490073971414738,0.11725627886432101,-0.09289766195043693,0.2610358863502512,0.30329815022583,0.24351397791182589,-0.07086264981208788,0.44609699859148555,0.2288280402446117,0.14869076509758927,0.3680952596603703,0.2696011897122498,0.2814945663500898,0.23218610276899518,0.028657505515386806,0.22691565966187985,0.39254939743065187,-0.02853356238571603,-0.05309179052230714,-0.0875838622819821,0.20586259209015995,0.4054353723666665,0.2122791529211683,0.01791698056637967,0.027871763566686865,0.11725519661668897,0.30938398822512414,0.30990052681483177,0.13194226360510516,-0.11342795454898445,0.11580384563390714,0.2908998335516845,0.15128866671786514,0.28041806571690475,0.3134309658878314,0.4600776674161133,-0.11446505394322277,0.14629653891833602,-0.09477347521734626,0.31293674322139636,0.19730701694140937,0.3213541730731212,0.06513663177896493,0.1624483013056541,0.24948741671343502,0.23756950746815253,0.09284880317248051,0.281113548997093,0.3184055540332655,0.3466408942795836,9.95586336094253e-05,0.41433519918732303,0.36900821606656325
Cingulate_Mid_R,0.7433987503079478,-0.03631106333277096,0.24809838748751045,-0.038095166181340255,0.21388176446726984,1.0,0.4428982402003055,0.6172025703091016,0.29531031729433976,0.06042306400542128,0.02896347015266264,0.3817563366469078,0.1555282651808632,-0.34040009442587,-0.3010829196191424,0.49795992049207877,0.6866967840363595,0.27331432037395087,0.30778674480793666,-0.35050315334038956,0.6154682414893977,0.31757718471054464,0.27744657749671775,-0.21778098486770667,0.5267228306362677,0.3382278855393232,0.3890242751451094,0.05601340033912593,0.4076847801058899,0.4947913755696003,0.1063965333002963,0.42399656796890134,0.5163177602541211,0.39712820123619735,-0.3678037778755436,-0.15414364745451378,-0.16172632516447225,0.3035339909814696,0.32577855078178913,0.48077874819022653,-0.23008662974855962,0.37115879353923376,-0.19425283482643296,0.18531739037719847,0.6557734839459098,-0.15662715854724057,-0.052855331787878164,0.31650278293269635,0.5193658775826241,0.4673589679934749,0.8260207481638898,0.3552660192237263,0.22193337608786956,0.0034080497335710696,0.23845222876911767,-0.2531663748097476,0.3260296342730022,0.5756654407480923,0.6988431962259002,-0.032141341376896206,0.3273214743246993,-0.05242903828094372,0.8805932387703652,-0.06450510236206551,0.20702074055786943,0.0849493013341407,-0.04595055668618754,0.2024505212095895,0.33297061644304765,0.371583735452898
Temporal_Pole_Sup_R,0.6654623876630233,0.08689431121055963,0.17351560149953463,0.20326856560960752,0.28861398248779097,0.4428982402003055,1.0,0.44450569574851195,-0.03153161430619432,0.2966375502998887,-0.04727861384632071,0.5740153132142676,0.11171767093700989,-0.34417739169414535,-0.3560462306330919,0.026118084894345476,0.5832613227831025,0.6487049118525884,0.48173097804215953,-0.32987062127514405,0.7117377425188591,0.4389133520536074,0.1558420206315835,-0.13253283714688663,0.6107583836950248,0.4444743781272945,0.12975760034628908,0.09900094537592594,0.4170905003030047,0.4850917915367804,0.1339251216742439,0.21755239284707442,0.5765073356487944,0.6955824281256513,-0.3581605033029424,-0.22697561186540566,-0.3666250327722538,0.23074270431894578,0.42844905991680443,0.4825791689043615,-0.0034179368607648057,0.11462622718239342,-0.036787035758820044,0.2667306685493281,0.58582785961423,0.03259061237706407,-0.21263037096962967,0.21484775289387104,0.351081374114391,0.5548500927333502,0.5447828514775809,0.7120751000564854,0.33209589674200257,-0.24790571758431554,0.22624084154986424,-0.18200942669386955,0.535959681317388,0.6389726689663376,0.6470675687937233,-0.13056470952694887,0.09459324623486429,-0.09964522728609056,0.5291921889432349,-0.10900740586749307,0.07700237567450283,0.1454006600716287,0.038975002120545846,0.16068716798645236,0.18003550818007968,0.6631861938214488
Thal_VA_L,0.6305308491483518,0.16228477289643592,0.3457626008319678,0.12765368022570414,0.3122924523927926,0.6172025703091016,0.44450569574851195,1.0,0.27198514393098155,0.11188117674470655,0.11276845961677832,0.3791505735164711,0.3755830305936816,-0.29525254009333,-0.3486893781637957,0.3981686870210064,0.6316556121937839,0.2824609842205863,0.32959235666010656,-0.3181079077581132,0.689749156980316,0.43201013951001677,0.4091394688132895,-0.21473257780499416,0.6648263753133198,0.30762605591449854,0.4889414938249399,0.25629199691839555,0.45556599172964946,0.5549695642114844,0.2529455617224915,0.3995337971057982,0.5474940305224743,0.4465144787419589,-0.35606257592757445,0.014049920608781746,-0.1293440637154738,0.3546125047203867,0.28264717043857057,0.5103020854622935,-0.21513298014675858,0.3704829553026361,-0.055461712308310485,0.31957169402971675,0.7278162350567143,-0.14677432681715888,0.03946833774201513,0.4019635184874456,0.5145212103696357,0.385025989172031,0.6566019839947915,0.444763680248239,0.4241740684499826,0.04525587692854354,0.33005156456281476,-0.26064365199178496,0.3704839632746034,0.5809558235771002,0.7171020106911822,0.009720449458016233,0.3700565675965615,0.1252582792261868,0.6018296620649188,0.00936812738083692,0.08837807718471964,0.15668606059838686,0.10016744894116442,0.29042965645841434,0.29536829887056626,0.4963115250102714
Parietal_Inf_R,0.128054052984682,-0.24216304443628742,0.3525825651239277,0.04046323650422386,0.04908858966410073,0.29531031729433976,-0.03153161430619432,0.27198514393098155,1.0,0.04544617241129985,0.5857345477079885,-0.2573802043501762,0.17552553711297803,0.14479155210148367,0.017856173754329026,0.22844723748277412,0.38473852734971586,-0.07540065365743422,0.3565959866653748,0.06681522814884218,0.27287533885370263,-0.09204335082524452,0.26358072964452256,0.17936421529992125,0.13748399665575461,0.03467848828302641,0.7682954235089886,0.4011300823470815,0.145755920346667,-0.031601577694054576,0.5941205424893198,0.5083779467994849,0.23416352946443766,-0.020620442663073103,0.031098136728125544,0.29344817822697566,0.2273093301322578,0.0834287755050748,-0.07150718327202167,0.26490111903705577,-0.057158267480675144,0.3813194078140005,-0.02159816286485784,-0.044973604375492866,0.17050101398670808,-0.04285773519274701,0.5547909617289213,0.19915667307375587,-0.007237311443869285,-0.09684285160366121,0.2925643036181782,-0.05978248063278296,-0.00265586812240096,0.24127337773316807,0.0895652122329256,0.10631798669504534,-0.1555905546143583,0.41401627560363097,0.1294775368558373,0.3065860687915053,0.29725528462227974,0.05994935764023993,0.20181432349939724,0.31327971300688906,0.021060027986411663,0.3365154771790062,0.04320723491888678,0.7165312687800802,-0.1324846565635933,-0.07819533746013232
Cerebellum_Crus2_R,0.09085914219935,-0.11394882593410163,0.18266956854350994,0.20403191915315005,0.2432953623609289,0.06042306400542128,0.2966375502998887,0.11188117674470655,0.04544617241129985,1.0,0.30922062885551055,-0.035488539309057064,0.18520825750318853,0.11167441381786332,0.03957196381254206,-0.1309137325854815,0.1842269751890125,0.3348938018402968,0.5603646967431996,0.12723841289589924,0.19499264217540302,0.21149401036331714,0.18567457911286028,0.34601229325047017,0.1616146982466557,0.2246454720808302,0.25214611863642844,0.5066175794666292,0.27642665858177234,0.03013137995054937,0.263820320753459,0.2345255075758368,0.16807141453327523,0.18345201701524763,0.10634229237055906,0.18188221522120734,0.04683528229748559,0.036213218619953115,0.24797255963905454,0.18173503551483597,0.43833127578042175,-0.10488735271777323,0.0007692549589094044,0.17214428414717395,0.08192383702298037,0.13312085206425542,0.3007966047057589,0.019265904817292682,0.10209730656337195,0.06672109971032783,0.14084428866565643,0.11002028387162383,0.11870413067038736,-0.023001888880397114,0.11557602164128253,0.2728071896061376,-0.000926572658590816,0.35671888720468975,0.13921352252638147,0.21920979997526058,0.02954326060514332,0.29354242670976166,0.07103837897659955,0.28671968703785944,0.12162988727390876,0.5309336047278739,0.24647738924696896,0.3255754072756873,-0.044572480590199644,0.11932679337049988
