,Frontal_Inf_Oper_R,Frontal_Mid_2_L,Hippocampus_L,Fusiform_L,Cerebellum_10_R,Temporal_Pole_Sup_L,Vermis_7,Thal_LP_L,Frontal_Sup_2_L,Precuneus_R,Thal_LGN_L,Rectus_R,Occipital_Inf_L,Vermis_4_5,Cerebellum_7b_L,Thal_IL_R,Angular_R,Olfactory_L,Thal_LGN_R,Temporal_Mid_R,Thal_PuM_R,Frontal_Inf_Tri_L,Cerebellum_9_R,Paracentral_Lobule_R,Temporal_Pole_Sup_R,Rolandic_Oper_R,OFCpost_R,Cerebellum_6_L,ParaHippocampal_L,Thal_PuM_L,SupraMarginal_R,Raphe_D,Thal_VA_L,Rolandic_Oper_L,VTA_L,Cerebellum_4_5_L,Temporal_Mid_L,Frontal_Med_Orb_R,Cuneus_R,Thal_PuI_L,Cerebellum_6_R,Frontal_Inf_Tri_R,Vermis_3,Cerebellum_8_R,Vermis_8,Red_N_R,Vermis_6,Angular_L,N_Acc_R,Rectus_L,Cingulate_Mid_L,Fusiform_R,Thal_AV_R,OFCmed_R,Temporal_Sup_L,SN_pc_L,Lingual_L,Thal_PuL_L,Amygdala_L,Frontal_Med_Orb_L,Frontal_Sup_Medial_R,Thal_MDm_R,OFCpost_L,OFClat_L,Cuneus_L,Cerebellum_Crus2_R,Insula_R,Thal_PuL_R,SN_pc_R,Olfactory_R,Parietal_Sup_L,OFCant_R,N_Acc_L,Temporal_Pole_Mid_R,Hippocampus_R,SN_pr_R,Postcentral_L,Thal_MGN_R,Occipital_Inf_R,Thal_PuI_R,Cerebellum_3_R,Red_N_L,Frontal_Inf_Oper_L,Cerebellum_Crus1_L,Cerebellum_7b_R
Frontal_Inf_Oper_R,1.0,0.47753118020963076,0.44587068019847614,0.10138158567823885,0.23867336016345064,-0.014553508221441667,-0.042850090543495103,0.2725473532464154,0.5323050341278213,0.38999312333752434,0.3041398276087003,0.3012978730584618,-0.1352426521199777,0.4171158051044459,-0.1297197705151772,0.29026270576874275,0.24620649815970752,0.16313776366565366,0.05235488424173759,0.3759033714194666,0.49847861123665665,0.5910177963791557,-0.10245279037543845,0.4308345506078083,0.5160499993979252,0.7532396791032824,0.27056405573816517,-0.10896822858133724,0.4387315216034623,0.3573195875640606,0.5652275592180511,0.08132286333700797,0.591689262197158,0.5530622182508796,0.1645057050869525,0.5156268004445312,-0.028623422079960555,0.01192872522158543,0.13350302208894646,0.2140236928557086,0.16440810608733347,0.7692192013926175,0.20307959869992695,-0.008113717822613812,0.141658809293725,0.1637636168755993,0.20488565738052636,-0.09612757028515569,0.21801829385016464,0.2515899664807036,0.5584271671941109,0.5059338704201789,0.4913915449352357,0.19280184033174144,0.4735642467314468,0.2083403638844379,0.050565459975227954,0.22944122104521142,0.2068769022215598,-0.10688243422299379,0.40673321497821413,0.10750735694923139,0.2682908040526413,0.390895841767104,0.08006739664700123,0.09129817959277753,0.5312103921011712,-0.220225716066585,0.22154639220130934,0.36583732673141317,0.11330803332504294,0.27034612997852286,0.19232581705634128,-0.07440491126073068,0.35260327205697267,0.19253648072085572,0.4649560425236047,0.22421795715124457,-0.043854482606182174,0.23929150374441396,0.19606003327550647,0.11764900062884878,0.7340781495108352,-0.1476929618917607,-0.08311816358105178
Frontal_Mid_2_L,0.47753118020963076,1.0,0.6057336710535841,-0.49224140756503776,-0.0241914626613091,-0.2756058316495238,-0.547970506749428,0.45482280213229265,0.884892089513761,0.3515432344678104,0.6860103464460171,0.7300775821648076,-0.644664835735703,-0.06475842852316269,-0.6542666009775568,0.19416741130814608,0.19876775609364364,0.6054186685198768,0.004856886510190174,0.29931404648839227,0.5510470917428335,0.8357393547087887,-0.613447912925206,0.006260083992389916,0.6654623876630233,0.2967100347486707,0.411581800383342,-0.6813554729199846,0.6742931251908204,0.5755639745494846,0.2328004169195459,-0.08404909500176554,0.6305308491483518,0.48826232753953963,0.20668809218529374,0.418442779033576,-0.4969347664463323,0.1659406720665257,-0.01155836721778987,0.46711210243063417,-0.43840139150533386,0.6909712956015338,-0.21112748508683932,-0.44544812221732893,0.05784132962593465,0.32918064188899343,-0.3514046515316329,0.1129337039847869,0.1558009226152134,0.6843271476732801,0.878310998670611,0.12976559272239027,0.629541265768061,0.6046305305765812,0.1809897869742525,0.23870830263096546,-0.5052287359770612,0.3779400070427076,0.5928641801732267,-0.3665958341075239,0.8845549250896141,-0.19675026638631188,0.7498071394076132,0.26026846862511965,-0.26787001513413056,0.09085914219935,0.4857616503689594,-0.3665859860968228,0.2782536158543655,0.7034092694074714,0.4680789391074202,0.2336886947466834,0.35480736109479977,-0.2804356322359934,0.745785319658432,0.31355718266465976,0.7372094220537665,0.24754460768744405,-0.4758456384832732,0.37372641941786994,0.0350069967027154,-0.030102404703162885,0.6817354038150821,-0.6756860115665335,-0.31319279954846024
Hippocampus_L,0.44587068019847614,0.6057336710535841,1.0,-0.10769560636649024,0.264848403248965,0.09546027502785964,-0.0863836176178697,0.2740950162552052,0.5406295294281569,0.11741268377731809,0.40609029131014995,0.506886937107736,-0.2947634680718292,0.25291521005924744,-0.24611612881949207,0.13575629928387395,0.012195952836598857,0.2608748040281947,0.32220101628388426,0.10082701123607407,0.5792983077423791,0.6193977776745567,-0.26433471903083494,-0.0003209574650631775,0.485867863376053,0.4649991876623939,0.5598279880661676,-0.2547579822642967,0.6305998210817817,0.24754707107606852,0.10932207816957674,0.06235207950798109,0.5539785924524963,0.5041447993240155,-0.10344445856455792,0.5985682576055967,-0.10319097580052165,0.383552989863673,-0.121781792712992,0.2737418412700041,-0.08007510057166851,0.49039764703928435,0.08240232147292412,-0.2126022700743493,0.21148823875152614,0.327907724189397,-0.14729223293628207,0.030694250060935208,0.3679895875032912,0.5245414075133896,0.5115630573134461,0.12297776034904982,0.5208829316572406,0.4339963500999834,0.36274739798564215,0.4376174687830928,-0.21674279857541712,0.2943687526720764,0.5930065498847694,-0.2871481556770046,0.5832544086899484,-0.09563199848573212,0.4692215141028694,0.004497775418649196,-0.18441866386006112,0.005662466024378263,0.5369783191381998,-0.1634648323862172,0.5147326218715517,0.6794583794965822,0.09316603105752229,0.3589786542023536,0.23358855399378328,-0.12133975005576847,0.5224925114901151,0.2828383991290458,0.304247613871035,0.42596947608489355,-0.27618620055997434,0.12178201483796863,0.04256253324824208,0.18800336286407165,0.5377137236022523,-0.277149959455477,-0.20263435472120125
Fusiform_L,0.10138158567823885,-0.49224140756503776,-0.10769560636649024,1.0,0.4767982477952084,0.7306462910805717,0.7443676115380753,-0.3090491228816341,-0.28202979565779274,0.0457454751386462,-0.4727775787786573,-0.4486387109421293,0.7836881779915056,0.6109507195661223,0.7978913563202608,0.20271933914114326,0.06166918963758078,-0.4667794616253699,0.2589734316234895,0.055745770137094475,-0.06287529125217026,-0.3272991493171539,0.7716346795363704,0.360351171029408,-0.25652100351017654,0.27055297090880004,-0.02077625787615798,0.898201205939566,-0.3529172363481278,-0.3234630813544712,0.26087690804761815,0.37065148260919595,-0.09282702877148014,0.03795899467825629,-0.1409988210397488,0.14994618007880453,0.9074273209179766,-0.09846421647097475,0.23459714774991752,-0.30682123603541583,0.862034136942731,-0.250061527442285,0.6174057974736219,0.5640334599986825,0.22807946254263306,-0.02914879460131567,0.8331227994189041,-0.014425008846381175,0.12439857374465584,-0.5138168266133455,-0.3232262163098276,0.5201543024936129,-0.3594208118243631,-0.25238121376686956,0.6156459522463978,-0.03044772951936322,0.7353693803270793,-0.20500491700911846,-0.48534324782658417,0.3144478587149628,-0.48419053754517066,0.5341350783610218,-0.4918532802641954,-0.16751428192719328,0.5455147470471574,0.0626210532953635,0.020046646345558722,0.42550498947329923,0.03512018749314119,-0.3189678333675453,-0.45699295591416755,-0.12622653947857948,-0.06388662785061769,0.48319232117641564,-0.4732640164193432,-0.04156269336643889,-0.5081423980204366,-0.11787878508049282,0.646803886874432,-0.19297303620457573,0.32522691083988886,0.3741299320329421,-0.08809294541635047,0.8061413175217093,0.39266670041226415
Cerebellum_10_R,0.23867336016345064,-0.0241914626613091,0.264848403248965,0.4767982477952084,1.0,0.38005928887372087,0.4764215623083227,-0.10962843994525583,0.15745051755368072,0.29750896758716605,-0.23168397771941235,-0.09651462484925942,0.32533036270741095,0.5618848330655137,0.4287196850779168,0.19390770837766147,0.20480649060709397,-0.18415950667458236,0.23130157534800216,0.2558781634186858,0.21224236232713511,0.03620848108553589,0.453895903153447,0.32618515504328593,0.09602664032280098,0.2544174494570122,0.29096949810712947,0.43295071277090685,0.0027718690666644133,-0.04465854805475956,0.2417021731936226,0.28511189461439446,0.25388309457960195,0.13507331844372586,0.0019192534351371831,0.4645165997969288,0.5012635260973088,-0.02897163013161712,0.23036994724092452,-0.19625558564789752,0.6086219176030009,-0.032322466474956825,0.5094215536013675,0.3817909174211192,0.24037020888553756,0.040872646490385064,0.5185933455216546,0.2503786220567681,0.3935128222922397,-0.1422777966258116,0.045289985759257544,0.4142924127928651,-0.00872764499342405,-0.0793240512085534,0.5274685755574575,0.059264396252983485,0.3551028780240439,-0.01005198661325838,-0.20514946895482097,-0.11651306509072346,-0.0662832632893148,0.512237311403505,-0.21751292175329576,-0.01703865871687236,0.468306556276057,0.2890685281882799,0.18791813669476726,0.26218947084098543,0.07686927492459927,-0.0375456596672988,-0.0347044669120783,0.05300555310841593,-0.02678368231401619,0.37725489679155194,-0.10654354817214032,0.1957875619459529,-0.04324280513039408,0.08359795085619981,0.3894091220560384,-0.10334177488269101,0.41104138657253164,0.133917778583311,0.13886041813872244,0.40969791112338655,0.2596514192384916
Temporal_Pole_Sup_L,-0.014553508221441667,-0.2756058316495238,0.09546027502785964,0.7306462910805717,0.38005928887372087,1.0,0.7889664407621635,-0.2441763783788806,-0.2289100349885463,-0.21423519150903098,-0.40688366526137876,-0.2072573838645352,0.7470903967105141,0.30559255490330905,0.7470287221527668,-0.016556591452385912,0.0326480467664805,-0.3184269706805469,0.21247334300507498,0.11497921718920835,-0.10844026407187787,-0.17492573239447648,0.7653048444403248,0.10038775222743428,0.03259061237706407,0.12078279861609344,0.43825845282766673,0.7569954802573291,-0.32461323254850655,-0.23577407996553462,0.1602215050231536,0.3781330061615087,-0.14677432681715888,0.22060802919751904,-0.22821619758040976,0.10439400737852053,0.7249106218498645,0.0376693690594064,0.10161097815578508,-0.3290472461545452,0.654886013377459,-0.137255607845923,0.4513766030105987,0.6621985571816487,0.11824095308012453,0.19703445873822595,0.5311207931719841,0.009229839470049447,0.08836053463543453,-0.3106450874609817,-0.24384372284211187,0.2851110894611174,-0.3431978001303321,-0.02822649100909548,0.5743880093842005,-0.008126932992518043,0.6369196748189251,-0.05214311873291283,-0.3792501759396226,0.05360772804139551,-0.1980762582911306,0.2914428510666505,-0.18171873392752527,-0.4832273099620394,0.33162470796116944,0.13312085206425542,0.2316373187463121,0.3219301563201911,0.0897329997156204,-0.06977245765026856,-0.47315033937494944,-0.3088875582357103,0.007528304292381989,0.6834729550864153,-0.34901907297072876,0.04998970953909246,-0.5224607079704918,0.0692249579577248,0.6412285421953521,-0.28559206099931544,0.32000070933144265,0.4762000636112065,0.004188024260008107,0.7647333880312002,0.36281472983613977
Vermis_7,-0.042850090543495103,-0.547970506749428,-0.0863836176178697,0.7443676115380753,0.4764215623083227,0.7889664407621635,1.0,-0.3266359063707516,-0.41453948387492967,-0.17998410726624806,-0.6103692735159224,-0.4553279986131841,0.8568495852986872,0.42782049522905197,0.8789263079463862,-0.1680986672547346,0.023840291619971008,-0.560432029639463,0.24047063028422358,0.11632761217733008,-0.15430652187239513,-0.4457832454770743,0.9285350885279633,0.12972210071357052,-0.17640613591452384,-0.009175168414590474,0.2441057690727548,0.8953395503064703,-0.49182476714722134,-0.3768405619886292,0.14195438435538643,0.355038569167577,-0.28299801018624887,-0.01867319736928819,-0.17788787629509745,0.03798941559341208,0.7611188206271157,-0.19522005965930458,0.21492323541727237,-0.49890014367806707,0.8264379439930317,-0.36703144561091916,0.4903948748868202,0.8275895631506217,0.1899544930870908,-0.08592403120569815,0.6443888595523645,0.07458265228661975,0.026200232538835962,-0.5392169507631871,-0.3928304776883982,0.25297461456263304,-0.4615169710033246,-0.3887272514264599,0.39545520682182345,-0.1071311634306671,0.7043376473444942,-0.17516667123978605,-0.570715203801419,0.02465560211625058,-0.4488281620584402,0.4234227353897394,-0.5519728635403799,-0.3988779340204605,0.4839147088529218,0.20030198815422104,-0.009565262844222842,0.43200791088448964,-0.06471222957418583,-0.4099930916298645,-0.5033653174393984,-0.31623990041153965,-0.24312560160637314,0.7302222709550407,-0.595078208416181,-0.07943038858655829,-0.5886402253401681,-0.04090223720868629,0.8068892924148793,-0.44357729444620503,0.31299443932315374,0.27320663573143555,-0.20797790443418585,0.9191353678476308,0.43488894649000853
Thal_LP_L,0.2725473532464154,0.45482280213229265,0.2740950162552052,-0.3090491228816341,-0.10962843994525583,-0.2441763783788806,-0.3266359063707516,1.0,0.37962337935726587,0.3272688668309105,0.2082584367933919,0.19497392058302518,-0.2884880196862597,-0.1516222722196281,-0.2983173304560804,-0.06134960745138788,0.4257917941735951,0.31914228126728544,0.14487505686914265,0.315356325146718,0.21265595328628709,0.2940362655577541,-0.2653713554034256,-0.005240284215160825,0.21484775289387104,0.11181228585448076,0.14706662751938082,-0.3247044541162232,0.15854223038797544,0.6650916985079655,0.3769399885412175,0.08384592623561883,0.4019635184874456,0.29480342313810975,0.07697436539648383,-0.04517332796590845,-0.23431308627194358,-0.1040080961480715,0.23480484704940258,0.1581364067326724,-0.26458868768725463,0.32602357217680317,-0.003214177995608889,-0.19786120030318388,-0.33096499055111356,-0.015731480255561172,-0.20784064011344977,0.3363098299881584,0.12457757576335288,0.16508221911867668,0.3711794781878488,0.09887650797836933,0.18388825900914516,-0.0035666324584582025,0.09767914358624623,0.023510969224929606,-0.024108821779525287,0.6344138573501357,0.050140899582289816,-0.04599423954905705,0.42042702658316383,-0.015475669634246614,0.200425051860023,0.12591701559705887,0.08737902566946833,0.019265904817292682,0.31880991245305407,0.08074828506800473,0.11619069519871138,0.19380925581083275,0.4847524408475065,-0.027881141538877635,0.13288237639412445,-0.032327067479888776,0.3279372417218545,0.09433186777043207,0.41778002006197773,0.1475500604896568,-0.07918496383909872,0.2539149146552042,0.10453067942189828,-0.12469931523319046,0.3761748438945336,-0.2984135249987521,0.01730407460868246
Frontal_Sup_2_L,0.5323050341278213,0.884892089513761,0.5406295294281569,-0.28202979565779274,0.15745051755368072,-0.2289100349885463,-0.41453948387492967,0.37962337935726587,1.0,0.5350271617549527,0.5364369834896641,0.6077907151921347,-0.5079705338949492,0.1971742428507166,-0.5089710567150275,0.25847623303808814,0.31805734550350884,0.43487410621719924,0.11767353216769548,0.395842676034384,0.6495556476290962,0.7986438369339475,-0.4523328813719025,0.09343033043736278,0.5447828514775809,0.42841721206456834,0.3513743911459518,-0.4863250397378436,0.6093160138663121,0.48402743345087257,0.4036075362333676,-0.023455326916082524,0.6566019839947915,0.52538367208272,0.20707042995208697,0.46846380961462275,-0.234793815180695,0.03925769613884238,0.1360045402210008,0.35702537372815046,-0.1819066063657282,0.5946886607784679,-0.038601481767212696,-0.35007631686037655,0.1220886909623354,0.22472166203388272,-0.08339623020329677,0.27087634487556816,0.18544636290929578,0.500310471448631,0.8754443108829498,0.3213532945061099,0.5287814165634369,0.5278476651993391,0.3804567528054774,0.2123260484995973,-0.30427061189238785,0.2885437738259953,0.4697239245373695,-0.289850832192008,0.7534843451175779,0.00948064879618144,0.5641033182497247,0.36986301067093125,0.0038473467706819616,0.14084428866565643,0.50712979890571,-0.20483873333094837,0.26844852403769603,0.5410403561595615,0.48825961617583247,0.27045275923103934,0.30055364162233494,-0.21970830912249845,0.6239541974620149,0.21969041088208965,0.7593155592559856,0.30265959551843524,-0.3197724877439738,0.342651031735644,0.13307540940675813,-0.006743647727143825,0.7083801836946148,-0.5208537342971603,-0.24934911821647912
Precuneus_R,0.38999312333752434,0.3515432344678104,0.11741268377731809,0.0457454751386462,0.29750896758716605,-0.21423519150903098,-0.17998410726624806,0.3272688668309105,0.5350271617549527,1.0,0.07559859703849538,0.06289782265621324,-0.23333843764337373,0.33837898488215423,-0.10724218486418571,0.28211350930566764,0.7588083593504823,0.15446417102242124,-0.009562597861190536,0.582517643452902,0.2656922070581492,0.2612679061808637,-0.09719964668254695,0.5970067464326313,0.12975760034628908,0.2940635053471354,0.035730629125050484,-0.11004384889798333,0.2167643943227255,0.3552492424801889,0.6495676239527355,0.07971355788294059,0.4889414938249399,0.30072484296706614,0.1405829428510413,0.33237612183054654,0.08501516904845043,-0.15869660455756263,0.7004140477552705,-0.00047834883427778934,0.18341990544986048,0.19991664289859426,0.36963527910905203,-0.07539541094335529,-0.06588472757093097,0.04749881882323446,0.2815820883203989,0.5577936213637924,0.33461200749699205,0.02932711254964208,0.3690513309307092,0.5415796789457478,0.08524305596658782,-0.006251680416453494,0.3638372802349848,0.019879184210801065,0.12086402130618636,0.23739471210799415,-0.07058908540430511,0.130912466377983,0.23037595055476007,0.4072052001404387,0.12101143944114433,0.2895415349673676,0.5981929746497204,0.25214611863642844,0.33958763418331167,0.2822471599347814,0.01916230080302236,0.12208958679027813,0.6975133381953766,-0.05980974079818361,0.19121302916919927,-0.010530276690182593,0.2732059709075181,0.19645033422009334,0.576007088213924,0.12801566920913982,0.098726859382482,0.3310152476515237,0.44380781428498634,0.02685139172334022,0.45870551467208504,-0.1494401922131828,-0.04715941411285421
