,Thal_PuL_R,VTA_L,Frontal_Sup_Medial_L,Postcentral_L,N_Acc_L,Temporal_Mid_R,Insula_R,Frontal_Sup_2_R,Cerebellum_6_L,Thal_MGN_R
Thal_PuL_R,1.0,0.2217766166267721,-0.06750557095989797,0.2292836790810288,-0.10007073809627264,0.23530174735481177,0.26058227634698267,0.24635508872701897,0.055886510345995156,0.4893027087521839
VTA_L,0.2217766166267721,1.0,0.18991983072830143,0.28768036808699404,0.3136513695213083,0.28038276760469566,0.3580054094681321,0.20065650490709186,0.23528311843708113,0.17231338215651995
Frontal_Sup_Medial_L,-0.06750557095989797,0.18991983072830143,1.0,-0.02455824817636534,0.1767460354524862,0.1284503388037704,0.44203390440604146,0.2966284936164492,0.11822234915167724,0.1531042221675229
Postcentral_L,0.2292836790810288,0.28768036808699404,-0.02455824817636534,1.0,0.012269667877736267,0.010563931031140374,0.066343273744877,-0.014763224291259022,0.022132848928671563,-0.11808991228615255
N_Acc_L,-0.10007073809627264,0.3136513695213083,0.1767460354524862,0.012269667877736267,1.0,0.16415716938347008,0.35750382658915314,0.15505444886551975,0.03654286389377213,0.20885642164393511
Temporal_Mid_R,0.23530174735481177,0.28038276760469566,0.1284503388037704,0.010563931031140374,0.16415716938347008,1.0,0.2797417213846715,0.15563343869673127,0.2798508788901239,0.29870961131396506
Insula_R,0.26058227634698267,0.3580054094681321,0.44203390440604146,0.066343273744877,0.35750382658915314,0.2797417213846715,1.0,0.42238265113170026,0.01737784454704186,0.409575157826944
Frontal_Sup_2_R,0.24635508872701897,0.20065650490709186,0.2966284936164492,-0.014763224291259022,0.15505444886551975,0.15563343869673127,0.42238265113170026,1.0,-0.04767602434439531,0.26353445828770844
Cerebellum_6_L,0.055886510345995156,0.23528311843708113,0.11822234915167724,0.022132848928671563,0.03654286389377213,0.2798508788901239,0.01737784454704186,-0.04767602434439531,1.0,0.18353926518911431
Thal_MGN_R,0.4893027087521839,0.17231338215651995,0.1531042221675229,-0.11808991228615255,0.20885642164393511,0.29870961131396506,0.409575157826944,0.26353445828770844,0.18353926518911431,1.0
